Tamil,Malayalam
மத்திய கலப்பு கான்கிரீட்,സെൻട്രൽ മിക്സഡ് കോൺക്രീറ്റ്
மத்திய கலவை,സെൻട്രൽ മിക്സർ
மையவிலக்கு விசிறி,അപകേന്ദ്ര ഫാൻ
சுண்ணாம்பு,ചോക്ക്
சேம்ஃபர்,ചാംഫർ
சேம்பர் துண்டு,ചേംഫർ സ്ട്രിപ്പ്
சேனல் கற்றை,ചാനൽ ബീം
சிறப்பியல்பு சுமை,സ്വഭാവസവിശേഷത ലോഡ്
பண்பு வலிமை,സ്വഭാവ ശക്തി
சார்ஜ் ஆஃப்,ചാർജ്ജ് ഓഫ്
சார்ஜ் செய்கிறது,ചാർജിംഗ്
சரிபார்க்கிறது,പരിശോധിക്കുന്നു
இரசாயன பிணைப்பு,കെമിക്കൽ ബോണ്ട്
செர்னோசெம்,ചെർനോസെം
கஷ்கொட்டை மண்,ചെസ്റ്റ്നട്ട് മണ്ണ്
புகைபோக்கி சாக்கடை,ചിമ്മിനി ഗട്ടർ
சிப் போர்டு,ചിപ്പ് ബോർഡ്
சிப்பிங்,ചിപ്പിംഗ്
சீவல்கள்,ചിപ്സ്
சரிவு,ചട്ടി
வகுப்பு (கான்கிரீட்),ക്ലാസ് (കോൺക്രീറ്റ്)
களிமண்,കളിമണ്ണ്
களிமண் உள்ளடக்கம்,കളിമൺ ഉള്ളടക്കം
களிமண் பான்,കളിമൺ പാൻ
சுத்தம் செய்,പൂർണമായി കാലിയാക്കുക
சுத்தம் செய்,ക്ലീനപ്പ്
கிளீட்,ക്ലീറ്റ്
கிளிங்கர்,ക്ലിങ്കർ
கிளிப்,ക്ലിപ്പ്
உறைதல்,കട്ടപിടിക്കൽ
கரடுமுரடான மொத்த,നാടൻ മൊത്തത്തിലുള്ളത്
கரடுமுரடான தானிய மண்,പരുക്കൻ ധാന്യമുള്ള മണ്ണ്
கோட்,കോട്ട്
காஃபர் அணை,കോഫർ ഡാം
ஒருங்கிணைப்பு,ഒത്തുചേരൽ
கொலாய்டு,കൊളോയിഡ്
கூழ் ஈரப்பதம் சமமான விகிதம்,കൊളോയ്ഡൽ ഈർപ്പം തുല്യ അനുപാതം
கூழ் அமைப்பு,കൊളോയ്ഡൽ സിസ്റ്റം
கொலுவல் மண்,കൊളുവിയൽ മണ്ണ്
நெடுவரிசை,കോളം
சீப்பு பூச்சு,കോമ്പഡ് ഫിനിഷ്
இணைந்த அடி,സംയോജിത കാൽപ്പാദം
ஒருங்கிணைந்த நீர்,സംയോജിത വെള്ളം
பொதுவான அறை,പൊതു മുറി
நிறைவு சான்றிதழ்,പൂർത്തീകരണ സർട്ടിഫിക്കറ്റ്
கூறு சதுரம்,ഘടകം ചതുരം
கான்கிரீட்,കോൺക്രീറ്റ്
கான்கிரீட்,കോൺക്രീഷൻ
ஒருங்கிணைந்த விகிதம்/தட்டை விகிதம்,ഏകീകൃത നിരക്ക്/ഫ്ലാറ്റ് നിരക്ക്
அசுத்தங்கள்,മലിനീകരണം
அல்கோவ் சமையல்,ആൽക്കോട്ട് പാചകം ചെയ്യുന്നു
சமாளிப்பது,നേരിടുകയാണ്
கோர்பெல்,കോർബെൽ
கார்னிஸ்,കോർണിസ്
இணைப்பான்,കപ്ലർ
"கப்லர், இரட்டை","കപ്ലർ, ഇരട്ട"
"கப்லர், புட்லாக்","കപ്ലർ, പുട്ട്ലോഗ്"
"இணைப்பு, சுழல்","കപ്ലർ, സ്വിവൽ"
பாடநெறி,കോഴ്സ്
சீரற்ற இடிந்த கொத்து,ക്രമരഹിതമായ അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ
மூடப்பட்ட பகுதி,മൂടിയ പ്രദേശം
தவழும்,ഇഴയുക
க்ரீப் குணகம்,ക്രീപ്പ് കോഫിഫിഷ്യന്റ്
குரோடோவின்,ക്രോട്ടോവിൻ
காக்கை கால்,കാക്ക കാൽ
நொறுக்குத் தீனி அமைப்பு,നുറുക്കിന്റെ ഘടന
கட்டுப்படுத்து,കർബ്
தற்போதைய,നിലവിലുള്ളത്
வளைவு எதிர்ப்பு,വക്ര പ്രതിരോധം
ஈரப்பதம் இல்லாத பாடநெறி,ഈർപ്പം പ്രൂഫ് കോഴ്സ്
நிறைவு தேதி,പൂർത്തിയാക്കിയ തീയതി
நிலைச்சுமை,ഡെഡ് ലോഡ്
இறந்த நீர்,ചത്ത വെള്ളം
டெசிபல்,ഡെസിബെൽ
டிஃப்ளோகுலேஷன்,ഡിഫ്ലോക്കുലേഷൻ
காற்றோட்டம் அல்லது காற்று விண்வெளி விகிதம்,വായുസഞ്ചാരത്തിന്റെ ഡിഗ്രി അല്ലെങ്കിൽ എയർ സ്പേസ് അനുപാതം
திரட்டல் பட்டம்,അഗ്രഗേഷൻ ബിരുദം
சிதறல் பட்டம்,വ്യാപനത്തിന്റെ അളവ്
செறிவூட்டல் பட்டம்,സാച്ചുറേഷൻ ഡിഗ്രി
அடர்த்தி,സാന്ദ്രത
பாலைவன நடைபாதை,മരുഭൂമിയിലെ നടപ്പാത
பாலைவன மண்,മരുഭൂമിയിലെ മണ്ണ്
விவரங்கள்,വിശദാംശങ്ങൾ
வளர்ச்சி காலம்,വികസന കാലയളവ്
டி-அடிவானம்,ഡി-ചക്രവാളം
மூலைவிட்ட பிணைப்பு,ഡയഗണൽ ബോണ്ട്
வரைபடம்,ഡയഗ്രം
டிஜிட்டல் டாக்,ഡിജിറ്റൽ ഡോക്ക്
வேறுபட்ட நீர் விகிதம்,വ്യത്യസ്ത ജലനിരക്ക്
நீர்த்த காற்றோட்டம்,ഡില്യൂഷൻ വെന്റിലേഷൻ
டிலுவியம்,ഡിലുവിയം
சாப்பிடும் அல்லது உணவருந்தும் அறை,ഡൈനിംഗ് റൂം
திசை ஆப்பு,ദിശ കുറ്റി
சிதறல்,വിസരണം
டிஸ்டெம்பர்,ഡിസ്റ്റെമ്പർ
கப்பல்துறை,മുറിവാല്
கதவு,വാതിൽ
டார்மர்,ഡോർമർ
டார்மர் சோதனை,ഡോർമർ പരിശോധന
இரட்டை சதை பிணைப்பு,ഇരട്ട ഫ്ലെമിഷ് ബോണ്ട്
இரட்டை அடுக்கு,ഇരട്ട പാളി
டோவல்,ഡോവൽ
வரைதல் பலகை,വരക്കാനുള്ള ബോർഡ്
வரைதல் அறை,സന്ദര്ശകമുറി
சறுக்கல்,ഡ്രിഫ്റ്റ്
உலர் குமிழ் வெப்பநிலை,ഉണങ്ങിയ ബൾബ് താപനില
உலர் கப்பல்துறை,ഡ്രൈ ഡോക്ക്
உலர் ரப்பர் கொத்து,ഉണങ്ങിയ റബ്ബർ കൊത്തുപണി
டச்சு பத்திரம்,ഡച്ച് ബോണ്ട്
குள்ள சுவர்,കുള്ളൻ മതിൽ
குடியிருப்பு அலகு,പാർപ്പിട യൂണിറ്റ്
ஈவ்,ഈവ്
ஈவ்ஸ் சாக்கடை,ഈവ്സ് ഗട്ടർ
பொருளாதார சாத்தியம்,സാമ്പത്തിക സാധ്യത
எக்டோடைனமார்பிக் மண்,എക്ടോഡൈനാമോർഫിക് മണ്ണ്
எட்டி,എഡ്ഡി
பயனுள்ள அளவு,ഫലപ്രദമായ വലിപ്പം
மலர்ச்சி,പുഷ്പം
கழிவுநீர்,മലിനജലം
உயரம்,ഉയരത്തിലുമുള്ള
எலுவியேஷன்,എലുവിയേഷൻ
எலுவியம்,എലൂവിയം
எண்டோடைனமார்பிக் மண்,എൻഡോഡൈനാമോർഫിക് മണ്ണ്
பொறியியல் சாத்தியம்,എഞ്ചിനീയറിംഗ് സാധ്യത
ஆங்கில பத்திரம்,ഇംഗ്ലീഷ് ബോണ്ട്
ஆங்கில தோட்ட சுவர் பத்திரம்,ഇംഗ്ലീഷ് ഗാർഡൻ വാൾ ബോണ്ട്
"EPM (ஒரு மில்லியனுக்கு சமம்),&quot;","EPM (ഒരു ദശലക്ഷത്തിന് തുല്യം),&quot;"
சமமான எடை,തുല്യ ഭാരം
எ.கா,ഉദാ
மாற்றத்தக்கது,കൈമാറ്റം ചെയ്യാവുന്നത്
மாற்றக்கூடிய அமிலத்தன்மை,കൈമാറ്റം ചെയ്യാവുന്ന അസിഡിറ്റി
மாற்றக்கூடிய சோடியம் சதவீதம் (ESP),കൈമാറ്റം ചെയ്യാവുന്ന സോഡിയം ശതമാനം (ESP)
ஈ.எஸ்.பி.,ഇ.എസ്.പി.
பரிமாற்ற அமிலத்தன்மை,അസിഡിറ്റി കൈമാറ്റം ചെയ്യുക
பரிமாற்ற வளாகம்,എക്സ്ചേഞ്ച് കോംപ്ലക്സ്
வெளியேற்ற,എക്സോസ്റ്റ്
வெளிப்பட்ட பூச்சு,തുറന്ന ഫിനിഷ്
கண்,കണ്ണ്
கண் புருவம்,കണ് പുരികം
எதிர்கொள்ளும்,അഭിമുഖീകരിക്കുന്നു
எதிர்கொள்ளும் பிணைப்பு,ഫേസിംഗ് ബോണ്ട്
பாதுகாப்பு காரணி,സുരക്ഷാ ഘടകം
வீழ்ச்சி,വീഴ്ച
ஃபேசியா,ഫേഷ്യ
முக பலகை,ഫേഷ്യൽ ബോർഡ്
தவறு,തെറ്റ്
வயல் ஈரப்பதம்,വയലിലെ ഈർപ്പം
இறுதி ஈரப்பதம் சமம்,അന്തിമ ഈർപ്പം തുല്യമാണ്
ஃபில்லட் (மோட்டார்),ഫില്ലറ്റ് (മോർട്ടാർ)
இறுதி,ഫൈനൽ
இறுதி அளவீடு,അന്തിമ അളവ്
இறுதி கட்டணம்,അന്തിമ പേയ്മെന്റ്q
இறுதி முன் மன அழுத்தம்,ഫൈനൽ പ്രീ-സ്ട്രെസ്
இறுதி பதற்றம்,അവസാന പിരിമുറുക്കം
நிதி சாத்தியம்,സാമ്പത്തിക സാധ്യത
நேர்த்தியான மொத்த,ഫൈൻ അഗ്രഗേറ്റ്
பிளவுபட்ட பாறை,പിളർന്ന പാറ
கொடி கல்,പതാക കല്ല്
பிளெமிஷ் பிணைப்பு,ഫ്ലെമിഷ് ബോണ്ട്
ஒளிரும்,മിന്നുന്നു
பளிச்சிடும் ஓடை,മിന്നുന്ന പ്രവാഹം
தட்டையான கூரை,പരന്ന മേൽക്കൂര
Fleche,ഫ്ലെഷെ
பிளெமிஷ் தோட்ட சுவர் பிணைப்பு,ഫ്ലെമിഷ് ഗാർഡൻ വാൾ ബോണ്ട്
பிளின்ட்,ഫ്ലിന്റ്
பிளின்ட் சுவர்,ഫ്ലിന്റ് മതിൽ
மிதக்கும் தளம்,ഫ്ലോട്ടിംഗ് ഫ്ലോർ
ஃப்ளோக்குலேஷன்,ഫ്ലോക്കുലേഷൻ
ஃப்ளோகுலேஷன் வரம்பு,ഫ്ലോക്കുലേഷൻ പരിധി
ஃப்ளோகுலேஷன் விகிதம்,ഫ്ലോക്കുലേഷൻ അനുപാതം
ஃப்ளோக்குல்ஸ்,ഫ്ലോക്കുളുകൾ
தரை,തറ
மாடி முத்திரை,ഫ്ലോർ സീൽ
ஓட்டம்,ഒഴുക്ക്
ஏற்ற இறக்கம்,ഏറ്റക്കുറച്ചിലുകൾ
காலடி,കാൽനടയായി
அறக்கட்டளை,ഫൗണ്ടേഷൻ
இலவச வீழ்ச்சி பாரோ டாப்பிங் மிக்சர்,ഫ്രീ ഫാൾ ബാരോ ടോപ്പിംഗ് മിക്സർ
இலவச வீழ்ச்சி கலவை (டிரம் வகை),ഫ്രീ ഫാൾ മിക്സർ (ഡ്രം തരം)
இலவச கல்,സ്വതന്ത്ര കല്ല്
புதியது,ഫ്രെഷെറ്റ്
உராய்வு குவியல்,ഘർഷണ കൂമ്പാരം
தவளை,തവള
கேபிள்,ഗേബിൾ
கேப்லெட்,ഗബ്ലെറ്റ്
சூதாட்ட கூரை,ഗാംബ്രൽ മേൽക്കൂര
அளவீடு,ഗേജ്
அளவிடும் பிரிவு,അളക്കൽ വിഭാഗം
அளவிடும் நிலையம்,ഗേജിംഗ് സ്റ്റേഷൻ
பொதுவான இருப்பிடத் திட்டம்,പൊതുവായ ലൊക്കേഷൻ പ്ലാൻ
பொது காற்றோட்டம்,പൊതു വെന്റിലേഷൻ
G அடிவானம் அல்லது gley அடிவானம்,ജി ചക്രവാളം അല്ലെങ്കിൽ ഗ്ലേ ചക്രവാളം
வரை பனிப்பாறை,വരെ ഗ്ലേഷ്യൽ
Gneiss,ഗ്നീസ്
பொருட்கள் முற்றம்,ഗുഡ്സ് യാർഡ്
சாய்வு எதிர்ப்பு,ഗ്രേഡിയന്റ് പ്രതിരോധം
கிரானைட்,ഗ്രാനൈറ്റ്
சிறுமணி அமைப்பு,ഗ്രാനുലാർ ഘടന
குருணையாக்கம்,ഗ്രാനുലേഷൻ
சிறுமணி,ഗ്രാനുൾ
ஈர்ப்பு நீர் இல்லாத நீர்,ഗുരുത്വാകർഷണ ജല രഹിത ജലം
ஈர்ப்பு முற்றம்,ഗുരുത്വാകർഷണ മുറ്റം
பெரிய மண் குழு,വലിയ മണ്ണ് ഗ്രൂപ്പ്
கிரில்லேஜ் அடித்தளம்,ഗ്രില്ലേജ് അടിസ്ഥാനം
தரையில் கை மோல்டிங்,ഗ്രൗണ്ട് ഹാൻഡ് മോൾഡിംഗ്
குழுவாக்கப்பட்ட கப்பல்துறை,ഗ്രൂപ്പുചെയ്ത ഡോക്ക്
குழு வீடுகள்,ഗ്രൂപ്പ് ഭവനം
விருந்தினர் அறை,അതിഥി മുറി
