English,Gujarati
Box tree,બ boxટ -ઝાડ
Bread fruit,બ્રેડ ફળો
Bridal creeper,લગ્ન સમારંભ
Brinjal,શોરબકોર
Broad bean,વ્યાપક બીન
Broccoli,કોતરણી
Brussel's sprout,બ્રસેલ્સ sprout
Buckwheat,બિયાં સાથેનો દાણો
Butea,Butોરિયા
Bandicoot,એક જાતની નાની ભડકી
Bear,સહન કરવું
Beetle,ભમરો
Blister beetle,ફોલ્લો ભમરો
Blue bull,વાદળી બળદ
Boll worm,Bણપત્ર
Butterfly,બ butterટરફ્લાય
Bacteriologist,જીવાણુવિજ્ologistાની
Biochemist,જૈવ રસાયણાકાર
Biologist,જીવવિજ્ologistાન
Biotechnologist,જીવવિજ્ologistાની
Botanist,વનસ્પતિશાસ્ત્ર
C moisture characteristic curve,સી ભેજ લાક્ષણિકતા વળાંક
Cake,કેક
Calcarious,ગુણવાળું
Calcification,ચુન્યાસ
Calcination of phosphate,ફોસ્ફેટનું ગણતરી
Callosity,ઉશ્કેરાટ
Callus,ક callલસ
Calyx,Calાળ
Calyx-end,ક calલિક્સનો અંત
Cambium,કણસ
Canker,ક canંગું
Canning,ડબ્બા
Canopy,છત્ર
Capital,પાટનગર
Caprification,કરચલીકરણ
Capsule,ક capંગલ
Carbonated,કાર્બન
Carbonization,કાર્બનલાઇઝેશન
Carpel,કળ
Carpus,કળશ
Casting,કિલ્લો
Catabolism,વિસર્જન
Catalysis,ઉદ્દીપન
Caterpillar,ઈયળ
C-DNA Library,સી-ડી.એન.એ.
Ceiling,છત
Cell,ઓરડું
Central leader system,કેન્દ્રીય નેતા પદ્ધતિ
Centric,કેન્દ્ર બનાવવી
Centrifugation,કેન્દ્રો
Centrifuge,કેન્દ્ર
Centriole,કેન્દ્ર
Centrogenic,કેન્દ્રોવાળું
Centrogenous,કેન્દ્રો
Cercus,કરકસર
Cereal,ધારણ
Certification,પ્રમાણપત્ર
Certified seed,પ્રમાણિત બીજ
Chaff,કણ
Chalaza,ચલાઝા
Chemotropism,વાદળવિજ્ismાન
Chiasma,જાંબુડિયા રંગ
Chilling hours,ઠંડક કલાકો
Chilling injury,ઠંડક ઇજા
Chimera,તંગ
Chloranthy,કળ
Chlorophyll,હરિતદ્રવ્ય
Chlorosis,હરિતદ્રવ્ય
Chlorology,હરિતદ્રવ્ય
Chromatid,ક્રોમેટિડ
Chromatin,ક્રોમટિન
Chromatography,ક્રોમશલિઓ
Chromatolysis,ક્રોધિતતા
Chromocentre,ક્રોમોસેન્ટ્રી
Chromogenesis,ક્રોમતત્વ
Chromoprotein,રંગભૂમિ
Chromosome,રંગબેરંગી
Chronic,કાયમી
Citrange,સિત્તર
Cladode,કવડો
Classification,વર્ગીકરણ
Clay,માટી
Cleaning,સફાઈ
Cleistogamy,રોટી
Climacteric fruit,ઘાતકી ફળ
Climate,વાતાવરણ
Climatology,આબોહવાવિજ્ologyાન
Clipper,જાડું
Clod,ગાલ
Clone,ક્લોન
Cloud,વાદળ
Clump,ઝગડો
Cluster,ઝગડો
Coarse,બરછટ
Coat (seed),કોટ (બીજ)
Cocoon,કોપરો
Coenzyme,કોનઝાઇમ
Cohesion,સુશોભન
Coir,Coાંકણ
Coleorrhiza,કોયડો
Collar,કોઠાર
Colloid (soil),કોલોઇડ (માટી)
Columella,જાંબુડિયા રંગનું બનેલું
Column,કોલમ
Commensalism,સંપ્રદાય
Commercial bank,વેપારી બેંક
Commodity,કોડ્યુ
Community,સમુદાય
Compaction (of soil),કોમ્પેક્શન (માટીનું)
Compatibility,સુસંગતતા
Compatibility,સુસંગતતા
Compensation,વળતર
Competitive interaction,સ્પર્ધાત્મક ક્રિયાપ્રતિક્રિયા
Complementary crop,પૂરક પાક
Complex,સંકુલ
Component,ઘટક
Composition,-નું જોડાણ
Compost,કંપોસ્ટ
Compound interest,સંયોજન વ્યાજ
Computation,ગણતરી
Computer,કોમ્પ્યુટર
Concentration,એકાગ્રતા
Conditioner,શરત
Conductance,વાહકતા
Configuration,ગોઠવણી
Conformity,સુસંગતતા
Confounding,મૂંઝવણભર્યું
Conjugation,જોડાણ
Connective,સંબંધક
Conservation,સંરક્ષણ
Consolidation,એકીકરણ
Constituents,ઘટ
Consumer,ગ્રાહક
Consumption,વપરાશ
Contamination,દૂષણ
Contour planting,સમોચ્ચ વાવેતર
Contour,સમતૈલી
Contract farming,કરાર -ખેતી
Controlled storage,નિયંત્રિત સંગ્રહ
Co-operative bank,સહકારી બેંક
Cooperator,ભૌતિક
Coppice,ક copંગું
Corm,કોતર
Corolla,કોથળી
Cortex,કોતરણી
Cost,ખર્ચ
Cotyledon (seed),કોટિલેડોન (બીજ)
Credit society,ધિરાણ મંડળી
Credit,જમા
Creditor,લેણદાર
Crest,ખરબચડું
Crinkle,કરચલી
Crisis,સંકટ
Criterion,માપદંડ
Critical,વિવેકી
Crop insurance,પાક વીમો
Crop loan,પાક -લોન
Crop,પાક
Cropping area,પાક વિસ્તાર
Cross-incompatible,વળગાડ
Crown (plant),તાજ (છોડ)
Crumb,ભડકો
Crust,બંદર
Cryptogam,ગુપ્ત
Cull (fruits),કુલ (ફળો)
Culm,ક culંગું
Cultivar,ખેડૂત
Cultivation,ખેતી
Cultivator,ખેડૂત
Culture,સંસ્કાર
Curing,ઉપચાર
Curling,કરચલી
Currency,ચલણ
Cuticle,પહાડીચણો
Cutting,કાપવા
Cyst,કોતરણી
Cytochrome,કોયડો
Cytogamy,ચિત્ત્રમણિકા
Cytogenesis,ચક્રાક્રમ
Cytogenetics,સાયટોજેનેટિક્સ
Cytokinesis,ચિત્તભ્રમ
Cytology,મનોહરવિજ્ cyાન
Cytolysis,કોયતરો
Cytomere,કોથળી
Cytoplasm,કોયડો
Cabbage,કોબી
Cactus,કactક્ટસ
Calendula,ક calંડન
Canary grass (phalaris),કેનેરી ઘાસ (ફાલારિસ)
Canna,ઝેર
Capparis,કળણ
Capsicum,ક capંગિકમ
Carambola,કોથળી
Carapa,કાર્પા
Cardamom,ઇલાયચી
Carnation,સંતાડ
Carrot,ગાજર
Cashew nut,કાજુ
Cassia,કાસિયા
Castor,એરપોર
Cauliflower,ફૂલકોબી
Celery,કચુંબરની વનસ્પતિ
Champac,ચેમ્પ
Chenopodium,ચેતાન
Cherry tomato,ચેરી ટમેટા
Cherry,ચેરી
"Chickpea, gram","ચણા, ગ્રામ"
Chillies,મરચાં
China turpentine tree,ચાઇના ટર્પેન્ટાઇન ટ્રી
Chow-chow,ચો-ચો
Chrysanthemum,ક્રાયસન્થેમમ
"Chufa, earth almond","ચુફા, પૃથ્વી બદામ"
Cichory,ચિત્ત
Cinnamon,તજ
Citron,સિટ્રોન
Citronella grass,સિટ્રોનેલા ઘાસ
Climbing jasmine,ચ bingતી જાસ્મિન
Clove,ફાટવું
Cluster bean,કલગીર બીન
Cocoa,કોકો
Coconut,નારિયેળ
Coffee,કોફી
Coleus,કોલસ
Colocasia,કોલોકસિયા
"Colocynth, bitter apple","કોલોસિન્થ, કડવો સફરજન"
Common purslane,સામાન્ય પરત
Coriander,કોથમીર
Cotton,સુતરાઉ
Cowpea,કોથળી
Cubeb,ઘનબી
Cucumber,કાકડી
Cucurbits,કકર્બિટ્સ
Cumin,જીરું
Curry leaf,પર્ણ
Custard apple,સીતાફળ
Capsule borer,કોઇ
Caterpiller,કેટરપિલર
Citrus psylla,સાઇટ્રસ સાયલ્લા
Cricket,ક્રિકેટ
Crow,તારવું
Cut worm,કૃમિ
Dairy,ડેરી
Dairying,ડેરીંગ
Dam,ડામ
Day-neutral,તટસ્થ
Days after flowering,ફૂલો પછીના દિવસો
Days after full bloom,સંપૂર્ણ મોર પછીના દિવસો
Deblossoming,ભિન્ન
Decalcification,છળ
Decant,ડોકટ
Decay,સડો
Deciduous,નિર્ણાયક
Decimal,દશાંશ
Deficiency,ઉણલી
Deflocculation (soil),ડિફ્લોક્યુલેશન (માટી)
Defloration,ઉન્મત્ત
Defoliation,અસ્થિરતા
Deforestation,વન -નાબૂદી
Degeneration,અધ degપન
Degradation,અધોગતિ
Degree days,ડિગ્રી દિવસ
Degree,પ્રમાણ
Dehiscence,વિકૃત
Dehulling,ઉદ્ધત
Dehusking,ધ્રુવીય
Dehydration,નિર્જલીકરણ
Dehydrator,નિર્જૃપક
Demand,માંગ
Denaturation,પ્રાણઘાતક
Denudation,ખોટો ઉપયોગ
Deposit,થાપણ
Deposition,જુબાની
Depreciation desalinization,ઘસૃષ્ટિ
Desiccation,અવ્યવસ્થા
Design,આચાર
Dessicator,બેસાડનાર
Destoning,ખામી
Desuckering,આછું
Desynapsis,દેશી
Detassel,ખાદ્ય પદાર્થ
Detasseling,અસ્થિર
Determinant,નિર્ધારક
Devaluation,અવમૂલ્યન
Devegetation,નીરસ
Deviation,વિચલનો
Diad,નિષ્ઠુર
Diagnosis,નિદાન
Dichogamy,દ્વિ -દખલ
Dichotomy,અલગ -અલગ
Dicotyledon (seed),ડિકોટિલેડોન (બીજ)
Die back (disease),પાછા ડાઇ (રોગ)
Diffusion,પ્રસાર
Digestibility,પાચનત્વ
Dihybrid,દિગ્ગજ
Dike (dyke),ડાઇક (ડાઇક)
Dilute,પાતળું
Dioecious,દ્વેષી
Diploid,રાજદ્રોહ
Diploid,રાજદ્રોહ
Diplonema,રાજદ્રોહ
Disbudding,અવજ્ disા
Discing,ઠપકો
Discount,છૂટ
Disinfection,જીવાલો
Dispersion,વિક્ષેપ
Dissemination,પ્રસાર
Diversification,વૈવિધ્ય
Diversified farming,વૈવિધ્યપૂર્ણ ખેતી
DNA Ladder,ડીએનએ સીડી
DNA receptor,ડીએનએ રીસેપ્ટર
Dockage,ગોળાકાર
Dominant,પ્રભુત્વપૂર્ણ
Dormancy,નિષ્ક્રિયતા
Dose,માત્રા
Double sigmoid curve,ડબલ સિગ્મ id ઇડ વળાંક
Draft (draught),ડ્રાફ્ટ (ડ્રાફ્ટ)
Drain,ગટર
Drainage,ગટર
Draw,ખેંચાણ
Drenching,ભીડિયું
Dressing (seed),ડ્રેસિંગ (બીજ)
Drill (n.),ડ્રિલ (એન.)
Drilling (ag. engg),ડ્રિલિંગ (એજી. એન્જીજી)
Drilling (agronomy),ડ્રિલિંગ (કૃષિવિજ્) ાન)
Drip irrigation,ટીપું સિંચાઈ
Dryland farming,સૂકરાની ખેતી
Dust,ધૂળ
Duster,ડસ્ટર
Dusting,ધૂમ્રપાન
Dwarf,વામન
Dwarf pyramid,વામન પિરામિડ
Dwarfing,વામન
Daisy,ડેઝી
Dates,તારીખ
Day jasmine,જાસ્મિન
Dill,સુવાદાણા
Dinanath grass,દંડ
Dodder,ઘા
"Doob grass, bermuda grass","ડૂબ ઘાસ, બર્મુડા ઘાસ"
Druce,ભડકો
Dry ginger,સૂકા આદુ
Defoliating beetle,અછડતી ભમરો
Drone,ડ્રોન
Duck,બતક
Ecology,પરિસ્થિતિવિજ્ologyાન
Econometrics,અર્થશાસ્ત્ર
Economic efficiency,આર્થિક કાર્યક્ષમતા
Ecotype,પર્યાવરણ
Ectotrophic,શિષ્ટાચારને લગતું
Edaphic,શેખીને લગતું
Edaphology,પદવિજ્ologyાન
Edging,ધાર
Edible part,ખાદ્ય ભાગ
Elasticity of demand,સ્થિતિસ્થાપકતા
Elasticity of production,સ્થિતિસ્થાપકતા
Electrolysis,વિદ્યાપમાણ
Electrophoresis,વિદ્યુતપ્રવાહ
Eluviation,નિરુત્સાહ
Emasculator,છાતીવાળું
Embanking,પાંુમાદ
Embryo,ભ્રમણ
Embryology,ગર્ભવિજ્ embાન
Emergence,આતુરતા
Emulsifier,પ્રવાહી ભ્રષ્ટ વ્યક્તિ
Endogenous,અંતર્ગત
Endomitosis,અંતર્જ્ endાન
Endoparasite,એન્ડોપારસાઇટ
Endosperm,એંજીવ
Enterprise,સાહસ
Entomology,પરિશિષ્ટ
Environment,વાતાવરણ
Enzyme,મનાઈ
Epicotyl grafting,મહાકાવ્ય
Epiphyte,ઉપદ્રવ
Equity,સમાનતા
Eradication,નાબૂદી
Essential nutrients,આવશ્યક પોષક તત્ત્વો
Estimation,અંદાજ
Etiolation,નિષ્ઠા
Eugenic,સુશોભિત
Evaluation,મૂલ્યાંકન
Evaporimeter,વરાળ
Evapo-transpiration,સ્થાવર સંક્રમણ
Evergreen revolution,સદાબહાર ક્રાંતિ
Evergreen,શાશ્વત
Evolution,વિકસિત થવું
Excise,આબકારી
Exhaustion (fertility),થાક (ફળદ્રુપતા)
Exploitation,શોષણ
Exploration,સંશોધન
Extrusion,ઉત્તેજના
Eye (sugercane/potato),આંખ (સુગરકેન/બટાકાની)
Edible pine,ખાદ્ય પાઇન
"Elephant foot, yam","હાથી પગ, યમ"
Eucalyptus,નીરોગીત
Earthworm,ધામ ખળો
Entomologist,એન્ટોમોલોગ્ધાર વિજ્ologistાની
Environmentalist,પર્યાવરણવાદક
Factor,પરિબળ
Factor productivity,પરિબળ ઉત્પાદકતા
Factorage,પરિબળ
Factorial block design,કાલ્પનિક અવરોધ રચના
Facultative,વિદ્યાશાખા
Fallow,પડતર
Family,કુટુંબ
Farm appraisal,ખેતર -મૂલ્યાંકન
Farm budgeting,ખેતી અંદાજપત્ર
Farm business,ખેત વ્યવસાય
Farm planning,ખેતી આયોજન
Farmer,ખેડૂત
Farming,ખેતી
Fasciation,ફાંસી
Fecundation,ઉશ્કેરાટ
Fermentation,આથો
Fertility,ફળદ્રુપતા
Fertilizer,ખાતર
Fertilizer use efficiency,ખાતરનો ઉપયોગ કાર્યક્ષમતા
Fibrous,રેસાવાળું
Field,ક્ષેત્ર
Field capacity,ક્ષેત્ર -ક્ષમતા
Field demonstration,ક્ષેત્ર પ્રદર્શન
Fixation,નિર્ધારણ
Flooding,ફાટ
Flow diagram,પ્રવાહ વિધિ
Food value,ખાદ્ય મૂલ્ય
Forage (fodder),ઘાસચારો (ઘાસચારો)
Forecasting,આગાહી
Forest,વન
Forestation,વનનિવારણ
Frond,ક frંગું
Frost resistant,હિમનો પ્રતિરોધક
Frost,હિમ
Frozen (fruit & vegetable),સ્થિર (ફળ અને શાકભાજી)
Fructification,ફળ
Fruit drop,ફળ ટીપાં
Fruit-set (fruit setting),ફળ-સેટ (ફળની ગોઠવણી)
Fumigation,ધૂણી
Fungicide,ફૂગનાશક
Fungistatic,ફૂગવાદી
Fungus,ફૂગ
Furow,Furીલું કરવું
Fusion,મિશ્રણ
Fuzz,ઝઘડો
Fuzzy,ઝાંખું
"Fennel, anise","વરિયાળી, વરિયાળી"
Fenugreek,મેથી
Fig,અંજીર
Finger millet,આંગળીથી બાજરી
Fire-flame bush,અગ્નિશામક ઝાડવું
Flame of forest,વન ની જ્યોત
French bean,ફ્રેન્ચ બીન
Flea,ચાંચડ
Fox,શિયાળ
Fruit fly,ફળ
Gall (Hort),પિત્ત (હોર્ટ)
Gamete,જુગાર
Garden,ખાદ્ય
Gauge (water),ગેજ (પાણી)
Gene bank,પશુ બેંક
Gene tagging,જીન ટેગિંગ
Geneology,જિનોલોજી
Genetic map,આનુવંશિક નકશો
Genetics,આનુવંશિકતા
Genome,જિનોમ
Genomic library,જિનોમિક ગ્રંથાલય
Genomics,જર્નીશ
Genotype,વિનોટાઇપ
Genotype,વિનોટાઇપ
Genus,જાતિ
Genus,જાતિ
Germ,જીવાણુ
Germicide,જીવાણુનાશક
Germination,અંકુર
Germplasm,જંતુરહિત
Gibberellic acid,જિબ્રેલિલીક એસિડ
Ginning,ગિનિંગ
Glume,ધાંધલ
Glutinous,ખાઉધરું
Glycolysis,ગ્લાયકોલિસીસ
Gneiss,ગુંડાગીરી
Golden revolution,સુવર્ણ ક્રાંતિ
Grading,ક્રમ
Grafted plant,કલમી છોડ
Graft-incompatible,કલમ
Granna,માંદગી
Granulation,દાણાદાર
Green manure,લીલો રંગ
Green revolution,લીલો ક્રાંતિ
Growth and development,વિકાસ અને વિકાસ
Gummosis,ગુંડો
Gynodioecious,સંયુક્ત
Gall nut,બાપ
Garlic,લસણ
Gerbera,જર્થી ઘડતર
Gherkin,ગિરિન
Ginger,આદુ
Gladiolus,ગંધયંત્ર
Goat weed (ageratum),બકરી નીંદણ (એગરાટમ)
Grapefruit,દ્રાક્ષ
Grapes,દ્રાક્ષ
Green gram,લીલો ગ્રામ
Grewia,ગ્રોઇયા
Groundnut,મગફળી
Guava,જામફળ
Guinea grass,ગિની ઘાસ
Gall midge,પિત્તાશય
Grass hopper,ઘાસના ઘેરા
Gundhy bug,ગુંડિ
Habit,આદત
Hail,કરચરો
Hairyvetch,વાળ
Halophyte,હાર્વેગેટ
Harrow,દલાલ
Harvest index,લણણી અનુક્રમણિકા
Harvest,લણણી
Harvesting,લણણી
Hatch,ક hંગું
Hay,ઘાસની
Haylage,દાદાગીરી
Haystock,ઘાસ
Haze,ઝાકળ
Hazy,ધૂંધળું
Head (Agro),વડા (કૃષિ)
Head (of channel),વડા (ચેનલનું)
Heading back,પાછા મથાળા
Hedge,હેજ
Hedging,હેજ
Helix,રખડુ
Hematite,હિમેટાઇટ
Herb,વનસ્પતિ
Herbarium,વનસ્પતિ
Herbicide,વનસ્પતિનાશક
Heredity,આનુવંશિકતા
Heretability,વિપુલતા
Hermaphrodite,હર્મેફ્રોડાઇટ
Heterochromatic,વિજાત્ય
Heterofertilization,હેટરફેરિલાઇઝેશન
Heterosis,તકરારી
Heterosome,વિજાતીય
Heterotroph,વિજાત્ય
Hexaploid,હેકસપ્લોઇડ
Hibernate,સ્તુતિ
High density planting,ઉચ્ચ ઘનતા વાવેતર
Hill (rice),હિલ (ચોખા)
Histogram,Histંચર
Hitech horticulture,હિટેક બાગાયતી
Hive,મધપૂડો
Hoeing,ઉશ્કેરણી
Holding,યજમાન
Home farm,દેશી ખેતર
Homeostasis,હોમિયોસ્ટેસિસ
Homestead,ઘર
Homogeneity,એકરૂપતા
Homogenous,એકરૂપ
Homologus,સમલૈંગિક
Homozygote,સજાવટ
Hopper,ઘૂંટણ
Horizon,ક્ષિતિજ
Horticultural crops,બાગાયતી પાક
Horticulture,બાગાયત
Horti-silvi pastoral farming,હોર્ટી-સિલ્વી પશુપાલન ખેતી
Host,યજમાન
Hot water treatment,ગરમ પાણીની સારવાર
Hull,હલકું
Humidity,ભેજ
Humus,ફર્સ્ટ
Husk,ક husંગું
Husker,ક husંગર
Husking,ભૂખ
Hybrid,સંકર
Hybridization,સંકર
Hydration,હાઇડ્રેશન
Hydrology,જળવિજ્ologyાન
