Bengali,Punjabi
অ্যাকোস্টিক মডেম,ਧੁਨੀ ਮਾਡਮ
অ্যাকোস্টিক সিগন্যাল,ਧੁਨੀ ਸੰਕੇਤ
অ্যাকোস্টিক স্টোরেজ,ਧੁਨੀ ਸਟੋਰੇਜ
সংক্ষিপ্ত বিবরণ,ਐਕਰੋਨਾਈਮ
কর্ম,ਕਾਰਵਾਈ
অ্যাকশন চক্র,ਐਕਸ਼ਨ ਚੱਕਰ
অ্যাকশন লাইন,ਐਕਸ਼ਨ ਲਾਈਨ
অ্যাকশন বার্তা,ਐਕਸ਼ਨ ਸੰਦੇਸ਼
ক্রিয়া স্পেসিফিকেশন,ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ
অ্যাক্টিভেশন,ਸਰਗਰਮੀ
সক্রিয়,ਕਿਰਿਆਸ਼ੀਲ
সক্রিয় ফাইল,ਐਕਟਿਵ ਫਾਈਲ
সক্রিয় লাইন,ਐਕਟਿਵ ਲਾਈਨ
সক্রিয় লিঙ্ক,ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ
সক্রিয় মাস্টার ফাইল,ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ
সক্রিয় মাস্টার আইটেম,ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ
সক্রিয় স্যাটেলাইট,ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ
সক্রিয় স্টেশন,ਐਕਟਿਵ ਸਟੇਸ਼ਨ
সক্রিয় স্টোরেজ,ਐਕਟਿਵ ਸਟੋਰੇਜ
ক্রিয়াকলাপ,ਸਰਗਰਮੀ
কর্মকান্ডের পর্যায়,ਸਰਗਰਮੀ ਪੱਧਰ
ক্রিয়াকলাপ লোড হচ্ছে,ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ
ক্রিয়াকলাপ অনুপাত,ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ
আসল ঠিকানা (= পরম ঠিকানা),ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ)
আসল কোড (= পরম কোড),ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ)
প্রকৃত ডেটা স্থানান্তর হার,ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ
আসল দশমিক পয়েন্ট,ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ
প্রকৃত নির্দেশ (= কার্যকর নির্দেশ),ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ)
আসল কী,ਅਸਲ ਕੁੰਜੀ
প্রকৃত সময়,ਅਸਲ ਸਮਾਂ
আসল কাজের সময়,ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ
অ্যাকিউটিং সিগন্যাল,ਅਦਾਕਾਰੀ ਸੰਕੇਤ
অভিযোজনযোগ্যতা,ਅਨੁਕੂਲਤਾ
অ্যাডাপ্টার,ਅਡੈਪਟਰ
অভিযোজিত চ্যানেল বরাদ্দ,ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ
অভিযোজিত সংহতকরণ,ਅਨੁਕੂਲ ਏਕੀਕਰਣ
অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার,ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ
যুক্ত এন্ট্রি,ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ
সংযোজন,ਐਡੇਂਡ
সংযোজন,ਐਡਰਰ
অ্যাডার সাবট্র্যাক্টর,ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ
ফাইল যুক্ত কর,ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ
অতিরিক্ত চরিত্র (= বিশেষ চরিত্র),ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ)
সংযোজন রেকর্ডার,ਜੋੜ ਰਿਕਾਰਡਰ
সংযোজন টেবিল,ਜੋੜ ਸਾਰਣੀ
সংযোজন বৈশিষ্ট্য,ਜੋੜ
মোড যুক্ত করুন,ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ
অপারেশন যুক্ত করুন,ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ
ঠিকানা,ਪਤਾ
ঠিকানা পরিমাপ,ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ
ঠিকানাযোগ্য অনুভূমিক অবস্থান,ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ
ঠিকানাযোগ্য পয়েন্ট,ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ
ঠিকানাযোগ্য অবস্থান,ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ
ঠিকানাযোগ্য নিবন্ধ,ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ
ঠিকানাযোগ্য স্টোরেজ,ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ
ঠিকানাযোগ্য উল্লম্ব অবস্থান,ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ
ঠিকানা বাস,ਪਤਾ ਬੱਸ
ঠিকানা কোড,ਪਤਾ ਕੋਡ
ঠিকানা তুলনামূলক,ਪਤਾ ਕੰਪਰੇਟਰ
ঠিকানা গণনা,ਪਤਾ ਬਕਾਏ
ধ্রুবক ঠিকানা,ਪਤਾ ਲਗਾਤਾਰ
ঠিকানা রূপান্তর,ਪਤਾ ਬਦਲਣਾ
ঠিকানা ডেটা,ਪਤਾ ਡਾਟਾ
সম্বোধন স্মৃতি,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
ঠিকানা কার্যকর,ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ
ঠিকানা ক্ষেত্র,ਪਤਾ ਖੇਤਰ
ঠিকানা ফর্ম্যাট,ਪਤਾ ਫਾਰਮੈਟ
ঠিকানা বিনামূল্যে প্রোগ্রাম,ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ
সম্বোধন,ਸੰਬੋਧਨ ਕਰਨਾ
"সম্বোধন
 চরিত্র","ਸੰਬੋਧਨ ਕਰਨਾ
 ਅੱਖਰ"
বাধা সম্বোধন,ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ
লুপ সম্বোধন,ਪਤਾ ਲਗਾਉਣ
ভার্চুয়াল মেমরি সম্বোধন,ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ
ঠিকানা ইন্টারল্যাকিং,ਪਤਾ ਲਗਾਉਣਾ
ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট,ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ
ঠিকানা লাইন,ਐਡਰੈੱਸ ਲਾਈਨ
ঠিকানা ম্যাপিং,ਪਤਾ ਮੈਪਿੰਗ
ঠিকানা চিহ্ন,ਪਤਾ ਮਾਰਕ
ঠিকানা পরিবর্তন,ਪਤਾ ਸੋਧ
ঠিকানা অংশ,ਪਤਾ ਭਾਗ
ঠিকানা পয়েন্টার,ਪਤਾ ਪੁਆਇੰਟਰ
ঠিকানা রেজিস্টার,ਪਤਾ ਰਜਿਸਟਰ
ঠিকানা সংকেত,ਪਤਾ ਸਿਗਨਲ
ঠিকানা আকার,ਪਤਾ ਅਕਾਰ
ঠিকানা স্থান,ਪਤਾ ਸਪੇਸ
ঠিকানা স্পেস আইডেন্টিফায়ার,ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ
ঠিকানা স্টপ,ਪਤਾ ਬੰਦ
ঠিকানা ট্রেস,ਪਤਾ ਟਰੇਸ
ঠিকানা ট্র্যাক,ਪਤਾ ਟਰੈਕ
ঠিকানা অনুবাদ,ਪਤਾ ਅਨੁਵਾਦ
ঠিকানা অনুবাদক,ਪਤਾ ਅਨੁਵਾਦਕ
বিয়োগের সময় যোগ করুন,ਸ਼ਾਮਲ ਕਰੋ-ਘਟਾਓ
সময় যোগ করুন,ਸਮਾਂ ਸ਼ਾਮਲ ਕਰੋ
সংলগ্নতা,ਅਡਜੈਂਸੀ
সংলগ্ন কাঠামো,ਐਡਜੈਂਸੀ structure ਾਂਚਾ
সংলগ্ন চ্যানেল,ਨਾਲ ਲੱਗਦੇ ਚੈਨਲ
সংলগ্ন ডোমেন,ਨਾਲ ਲੱਗਦੇ ਡੋਮੇਨ
সংলগ্ন ম্যাট্রিক্স,ਨਾਲ ਲੱਗਦੀ ਮੈਟ੍ਰਿਕਸ
সংলগ্ন নোড,ਨਾਲ ਲੱਗਦੀ ਨੋਡ
সংলগ্ন সুবেরিয়া,ਆਸ ਪਾਸ ਦੇ ਉਪਰਾਸਾ
স্থগিত (সিস্টেম),ਐਡਰਜਾਈਨ (ਸਿਸਟਮ)
সামঞ্জস্য করুন,ਵਿਵਸਥਤ ਕਰੋ
সামঞ্জস্যযোগ্য মাত্রা,ਵਿਵਸਥਤ ਹੱਦ ਤੱਕ
পাঠ্য মোড সামঞ্জস্য করুন,ਟੈਕਸਟ ਮੋਡ ਨੂੰ ਵਿਵਸਥਤ ਕਰੋ
প্রশাসনিক ডেটা প্রসেসিং,ਪ੍ਰਬੰਧਕੀ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
প্রশাসনিক অপারেশন,ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ
প্রশাসনিক অপারেটর,ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ
প্রশাসনিক অপারেটর স্টেশন,ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ ਸਟੇਸ਼ਨ
প্রশাসনিক সহায়তা সিস্টেম,ਪ੍ਰਬੰਧਕੀ ਸਹਾਇਤਾ ਸਿਸਟਮ
উন্নত যোগাযোগ পরিষেবা,ਤਕਨੀਕੀ ਸੰਚਾਰ ਸੇਵਾ
উন্নত তথ্য সিস্টেম,ਐਡਵਾਂਸਡ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
উন্নত অপটিক্যাল চরিত্র পাঠক,ਐਡਵਾਂਸਡ ਆਪਟੀਕਲ ਅੱਖਰ ਪਾਠਕ
উন্নত বৈজ্ঞানিক কম্পিউটার,ਤਕਨੀਕੀ ਵਿਗਿਆਨਕ ਕੰਪਿ computer ਟਰ
এরিয়াল,ਏਰੀਅਲ
সমষ্টি,ਸਮੁੱਚੀ
সামগ্রিক অভিব্যক্তি,ਸਮੁੱਚੀ ਸਮੀਕਰਨ
লক্ষ্য বৃত্ত,ਉਦੇਸ਼ ਸਰਕਲ
লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক),ਉਦੇਸ਼ ਖੇਤਰ (= ਪ੍ਰਤੀਕ ਦਾ ਨਿਸ਼ਾਨਾ)
লক্ষ্য প্রতীক,ਪ੍ਰਤੀਕ ਬਣਾਉਣਾ
বায়ুবাহিত কম্পিউটার সিস্টেম,ਏਅਰਬੋਰਨ ਕੰਪਿ Computer ਟਰ ਸਿਸਟਮ
বীজগণিত ইগেনভ্যালু সমস্যা,ਅਲਜਬ੍ਰਿਕ ਈਗਨਵੈਲਯੂ ਦੀ ਸਮੱਸਿਆ
"বীজগণিত
 মিশ্রণ","ਅਲਜਬ੍ਰਿਕ
 ਏਕੀਕਰਣ"
বীজগণিত ভাষা,ਅਲਜਬ੍ਰਿਕ ਭਾਸ਼ਾ
বীজগণিত হেরফের,ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ
বীজগণিত ম্যানিপুলেশন ভাষা,ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ ਭਾਸ਼ਾ
বীজগণিতমুখী ভাষা,ਐਲਜਬਰੇਕ ਅਧਾਰਤ ਭਾਸ਼ਾ
বীজগণিত শিফট,ਅਲਜਬੈਰਾਿਕ ਸ਼ਿਫਟ
বীজগণিত সাইন কনভেনশন,ਐਲਜਬ੍ਰਿਕ ਸਾਈਨ ਕਨਵੈਨਸ਼ਨ
অ্যালগল,ਐਲਗੋਲ
অ্যালগল বৈশিষ্ট্য,ਐਲਗੋਲ ਵਿਸ਼ੇਸ਼ਤਾ
অ্যালগল প্রোগ্রামিং,ਐਲਗੋਲ ਪ੍ਰੋਗਰਾਮਿੰਗ
অ্যালগরিদম,ਐਲਗੋਰਿਦਮ
অ্যালগরিদম সহযোগী ভাষা,ਐਲਗੋਰਿਦਮ ਐਸੋਸੀਏਟਿਵ ਭਾਸ਼ਾ
অ্যালগরিদম শ্রেণিবিন্যাস,ਐਲਗੋਰਿਦਮ ਵਰਗੀਕਰਣ
অ্যালগরিদম জটিলতা,ਐਲਗੋਰਿਦਮ ਦੀ ਗੁੰਝਲਤਾ
অ্যালগরিদম গণনাযোগ্যতা,ਐਲਗੋਰਿਦਮ ਕੰਪੂਟਿਟੀ
অ্যালগরিদমিক বিশ্লেষণ,ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ
অ্যালগরিদমিক পদ্ধতির,ਐਲਗੋਰਿਦਮਿਕ ਪਹੁੰਚ
অ্যালগরিদমিক ভাষা,ਐਲਗੋਰਿਦਮਿਕ ਭਾਸ਼ਾ
অ্যালগরিদমিক রুটিন,ਐਲਗੋਰਿਦਮਿਕ ਰੁਟੀਨ
অ্যালগরিদমিক তত্ত্ব,ਐਲਗੋਰਿਧੀਮਿਕ ਸਿਧਾਂਤ
ওরফে,ਉਪਨਾਮ
এলিয়াসিং,ਅਲਾਇਸਿੰਗ
ওরফে নাম (= বিকল্প নাম),ਅਲਾਇਸ ਨਾਮ (= ਵਿਕਲਪਿਕ ਨਾਮ)
প্রান্তিককরণ,ਅਲਾਈਨਮੈਂਟ
বরাদ্দ,ਨਿਰਧਾਰਤ ਕਰੋ
বরাদ্দ কাঠামো,ਅਲਾਕਸੇਸ਼ਨ structure ਾਂਚਾ
সমস্ত উদ্দেশ্যমূলক কম্পিউটার,ਸਾਰੇ-ਉਦੇਸ਼ ਕੰਪਿ computer ਟਰ
বর্ণমালা চরিত্র,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
বর্ণমালা চরিত্র সেট,ਵਰਣਮਾਲਾ ਅੱਖਰ ਸੈਟ
বর্ণমালা চরিত্রের সাবসেট,ਵਰਣਮਾਲਾ ਅੱਖਰ ਸਬਸੈੱਟ
বর্ণমালা কোড,ਵਰਣਮਾਲਾ ਕੋਡ
বর্ণমালা শিফট,ਵਰਣਮਾਲਾ ਸ਼ਿਫਟ
বর্ণমালা স্ট্রিং,ਵਰਣਮਾਲਾ ਸਤਰ
বর্ণমালা শব্দ,ਵਰਣਮਾਲਾ ਸ਼ਬਦ
বর্ণমালা,ਵਰਣਮਾਲਾ
আলফেজোমেট্রিক্স,ਕਫਾਈਜੋਮੈਟ੍ਰਿਕਸ
বর্ণমালা,ਅਲਫ਼ਾਮਿਕ
আলফামোসাইক,ਅਲਫੋਮੋਸੈਕ
বর্ণমালা,ਅਲਫਾਨੁਮਿਕ
আলফানুমারিকাল কীবোর্ড ডিভাইস,ਅਲਫਾਨੂਮੇਰਿਕਲ ਕੀਬੋਰਡ ਡਿਵਾਈਸ
আলফানিউমেরিক চরিত্র সেট,ਅਲਫਾਨੁਮਿਕ ਅੱਖਰ ਸਮੂਹ
আলফানিউমেরিক কোড,ਅੱਖਰ ਕੋਡ
আলফানিউমেরিক কোডেড চরিত্র সেট,ਅੱਖਰ ਕੋਡਿਡ ਅੱਖਰ ਸਮੂਹ
আলফানিউমেরিক ডেটা,ਅਲਫਾਨੁਮਿਕ ਡੇਟਾ
আলফানিউমেরিক ডিসপ্লে ডিভাইস,ਅਲਫਾਨਮੋਰਿਕ ਡਿਸਪਲੇਅ ਡਿਵਾਈਸ
আলফানিউমেরিক সম্পাদিত চরিত্র,ਅੱਖਰ ਸੰਪਾਦਕੀ ਅੱਖਰ
আলফানিউমেরিক ফিল্ড,ਅਲਫਾਨੁਮਿਕ ਖੇਤਰ
বর্ণমালা নির্দেশ,ਅਲਫਨੀਮਿਕ ਹਦਾਇਤ
আলফানিউমেরিক কীবোর্ড,ਅਲਫਾਨੁਮਿਕ ਕੀਬੋਰਡ
আলফানিউমেরিক বাছাই,ਅੱਖਰ ਛਾਂਟੀ
আলফানিউমেরিক স্টোরেজ,ਅਲਫਾਨਮੂਮਿਕ ਸਟੋਰੇਜ
পরিবর্তনযোগ্য মেমরি,ਅਸ਼ੁੱਧ ਮੈਮੋਰੀ
পরিবর্তন সুইচ,ਤਬਦੀਲੀ ਸਵਿੱਚ
পরিবর্তন,ਬਦਲਣਾ
পরিবর্তন মোড,ਬਦਲੋ
বিকল্প পুনরুদ্ধার,ਵਿਕਲਪਿਕ ਰਿਕਵਰੀ
বিকল্প রুট,ਵਿਕਲਪੀ ਰਸਤੇ
বিকল্প রাউটিং,ਵਿਕਲਪਿਕ ਰੂਟਿੰਗ
বিকল্প ট্র্যাক,ਵਿਕਲਪਿਕ ਟਰੈਕ
বিকল্প (= বা অপারেশন),ਬਦਲ (= ਜਾਂ ਆਪ੍ਰੇਸ਼ਨ)
বিকল্প বৈশিষ্ট্য,ਵਿਕਲਪਕ ਗੁਣ
বিকল্প অস্বীকার (= না-অপারেশন),ਵਿਕਲਪਿਕ ਇਨਕਾਰ (= ਨਾ-ਅਤੇ ਓਪਰੇਸ਼ਨ)
অস্পষ্টতা ত্রুটি,ਅਸਪਸ਼ਟਤਾ ਗਲਤੀ
অস্পষ্ট রেফারেন্স,ਅਸਪਸ਼ਟ ਹਵਾਲਾ
অ্যানালগ,ਐਨਾਲਾਗ
অ্যানালগ অ্যাডার,ਐਨਾਲਾਗ ਐਡਰਰ
অ্যানালগ চ্যানেল,ਐਨਾਲਾਗ ਚੈਨਲ
অ্যানালগ কম্পিউটার,ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ
অ্যানালগ রূপান্তরকারী,ਐਨਾਲਾਗ ਕਨਵਰਟਰ
অ্যানালগ ডেটা,ਐਨਾਲਾਗ ਡੇਟਾ
অ্যানালগ বিভাজক,ਐਨਾਲਾਗ ਡਿਵਾਈਡਰ
অ্যানালগ সুবিধা টার্মিনাল,ਐਨਾਲਾਗ ਸਹੂਲਤ ਟਰਮੀਨਲ
"অ্যানালগ ফাংশন
 জেনারেটর","ਐਨਾਲਾਗ ਫੰਕਸ਼ਨ
 ਜੇਨਰੇਟਰ"
অ্যানালগ ইন্টিগ্রেশন,ਐਨਾਲਾਗ ਏਕੀਕਰਣ
অ্যানালগ গুণক,ਐਨਾਲਾਗ ਮਲਟੀਪਲਾਇਰ
অ্যানালগ প্রোগ্রামিং,ਐਨਾਲਾਗ ਪ੍ਰੋਗਰਾਮਿੰਗ
অ্যানালগ স্কেলিং,ਐਨਾਲਾਗ ਸਕੇਲਿੰਗ
এনালগ সংকেত,ਐਨਾਲਾਗ ਸਿਗਨਲ
অ্যানালগ সিমুলেশন,ਐਨਾਲਾਗ ਸਿਮੂਲੇਸ਼ਨ
অ্যানালগ সুইচ,ਐਨਾਲਾਗ ਸਵਿਚ
অ্যানালগ সিস্টেম,ਐਨਾਲਾਗ ਸਿਸਟਮ
"ডিজিটাল অ্যানালগ
 রূপান্তরকারী","ਐਨਾਲਾਗ ਡਿਜੀਟਲ
 ਕਨਵਰਟਰ"
"ডিজিটাল অ্যানালগ
 এনকোডার","ਐਨਾਲਾਗ ਡਿਜੀਟਲ
 ਏਨਕੋਡਰ"
অ্যানালগ সংক্রমণ,ਐਨਾਲਾਗ ਪ੍ਰਸਾਰਣ
অ্যানালগ প্রকার,ਐਨਾਲਾਗ ਕਿਸਮ
বিশ্লেষণ ব্লক,ਵਿਸ਼ਲੇਸ਼ਣ ਬਲਾਕ
বিশ্লেষণ মোড,ਵਿਸ਼ਲੇਸ਼ਣ ਮੋਡ
বিশ্লেষণাত্মক ইঞ্জিন,ਵਿਸ਼ਲੇਸ਼ਣ ਇੰਜਣ
পৈতৃক কাজ,ਪੂਰਵਜ ਦਾ ਕੰਮ
আনুষঙ্গিক সরঞ্জাম,ਸਹਾਇਕ ਉਪਕਰਣ
এবং,ਅਤੇ
এবং সার্কিট,ਅਤੇ ਸਰਕਟ
এবং উপাদান,ਅਤੇ ਤੱਤ
এবং গেট,ਅਤੇ ਗੇਟ
এবং মাস্কিং,ਅਤੇ ਮਾਸਕਿੰਗ
এবং অপারেশন নয় (= বর্জন,ਅਤੇ ਓਪਰੇਸ਼ਨ ਨਹੀਂ (= ਬਾਹਰ ਕੱ .ਣਾ)
এবং অপারেশন,ਅਤੇ ਓਪਰੇਸ਼ਨ
সংযুক্তি স্মৃতি,ਅਨੇਕਸ ਮੈਮੋਰੀ
টীকা,ਐਨੋਟੇਸ਼ਨ
ঘোষণা,ਐਨੀਨੀਸੀਆਟਰ
উত্তর পাঠাও,ਵਾਪਸ ਜਵਾਬ
উত্তর দেরি,ਉੱਤਰ ਦੇਰੀ
উত্তর সময়,ਜਵਾਬ ਦੇਣ ਦਾ ਸਮਾਂ
উত্তর প্রদীপ,ਦੀਵੇ ਦਾ ਜਵਾਬ
উত্তর তালিকা,ਜਵਾਬ ਸੂਚੀ
শুধুমাত্র উত্তর,ਜਵਾਬ ਸਿਰਫ
প্রত্যাশা মোড,ਐਂਟੀਪੇਸ਼ਨ ਮੋਡ
প্রত্যাশিত বাফারিং,ਅਨੁਮਾਨਤ ਬਫਰਿੰਗ
প্রত্যাশিত বহন,ਅਨੁਮਾਨਤ ਕੈਰੀ
প্রত্যাশিত পেজিং,ਅਨੁਮਾਨਤ ਪੈਜਿੰਗ
অ্যান্টিকোয়েনসেন্স অপারেশন,ਐਂਟੀਕਾਇਸਿਸ ਓਪਰੇਂਸ
অ্যান্টিকোইনসেন্টেন্ট উপাদান,ਐਂਟੀਕੋਇੰ.ਰਤਸ ਇੰਦਰਾ ਤੱਤ
অ্যাপেরিওডিক অ্যান্টেনা,ਅਫੀਮਿਕ ਐਂਟੀਨਾ
অ্যাপারচার কার্ড,ਅਪਰਚਰ ਕਾਰਡ
অ্যাপারচার কোড,ਅਪਰਚਰ ਕੋਡ
অ্যাপারচার সময়,ਅਪਰਚਰ ਟਾਈਮ
সংযোজন,ਅੰਤਿਕਾ
অ্যাপেন্ডেজ টাস্ক,ਅਪੰਡਿਤ ਕੰਮ
