English,Kannada
adiabat,ಅಡಿಯಾಬಟ್
adiabatic,ಅಡಿಯಾಬಾಟಿಕ್
adiathermanous,ಶಾಖ ನಿರೋಧಕ
adjacent,ಬಾಂಧವ್ಯ
adjustable,ಹೊಂದಾಣಿಕೆ
admittance,ನುಗ್ಗುವಿಕೆ
adsorption,ಹೊರಹೀರುವಿಕೆ
advanced,ಮುಂದೆ
advancing,ಪ್ರಗತಿಪರ
aerial,"ಆಕಾಶಿ, ವಾಯು (ವಿ.), ವೈಮಾನಿಕ (ಸಂ)"
aerial current,ಆಂಟೆನಾ ಸ್ಟ್ರೀಮ್
aerial survey,ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ
aerial velocity,ಗಾಳಿಯ ವೇಗ
aerodynamic coefficient,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಗುಣಾಂಕ
aerodynamic,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ
aerodynamics,ವಾಯುಬಲವಿಜ್ಞಾನ
aeronautical,ಏರೋನಾಟಿಕಲ್
aeronautics,ಏರೋನಾಟಿಕ್ಸ್
aeropulse,ಗಾಳಿಯ ನಾಡಿ
aerosphere,"ವಾತಾವರಣ, ಅನಿಲಗೋಳ"
afocal system,ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ
after burning,ಹಿಂಭಾಗದ ದಹನ
after glow,ಹಿಂಬದಿ ಬೆಳಕು
aftershock,ಕನ್ಕ್ಯುಶನ್
age,"ವಯಸ್ಸು, ವಯಸ್ಸು, ವಯಸ್ಸು, ಯುಗ (ed.), ಸಮಯವನ್ನು ಪ್ರಭಾವಿಸಲು (ver.), ಸಮಯ, ಸಮಯದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ"
aged,ಸಮಯ ಪ್ರಭಾವಿತವಾಗಿದೆ
ageing (aging),"ವಯಸ್ಸಾದ, ವಯಸ್ಸಾದ"
aging (=ageing),ಸಮಯದ ಪರಿಣಾಮ
aging test,ಸಮಯ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
agravic,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಲ್ಲದ
aim,ಸಮನ್ವಯ
airborne radar,"ವಾಯುಗಾಮಿ ರಾಡಾರ್, ವೈಮಾನಿಕ ರಾಡಾರ್"
airborne target,"ವೈಮಾನಿಕ ಗುರಿ, ವೈಮಾನಿಕ ಗುರಿ"
air breather,ವಾಯು ಉಸಿರಾಟಕಾರಕ
air conditioning,ಹವಾನಿಯಂತ್ರಣ
aircore transformer,ಏರ್ಕ್ರೂ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್
aircraft,ವಿಮಾನ
alignment,ಜೋಡಣೆ
alignment error,ಜೋಡಣೆ ದೋಷ
alive circuit,ಲೈವ್ ಸರ್ಕ್ಯೂಟ್
all glass tube,ಪೂರ್ಣ ಗಾಜಿನ ಕೊಳವೆ
all metal tube,ಸಂಪೂರ್ಣ ಲೋಹದ ಕೊಳವೆ
allocate,ಸರಿಪಡಿಸಲು
alloy,"ಮಿಶ್ರತು (ಸಂ), ಮಿಶ್ರತ್ವಾನ್ (ಸಿಆರ್.)"
alloying,ಮಿಶ್ರತ್ವಾನ್
all-pervading medium,ಸರ್ವತ್ರ ಮಾಧ್ಯಮ
all-wave antenna,ಓಮ್ನಿ ಆಂಟೆನಾ
almanac,ಪಂಚಾಂಗ
alpha,ಆಲ್ಫಾ
alpha-activity,ಆಲ್ಫಾ ಚಟುವಟಿಕೆ
alphabetical,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
alpha ray,ಆಲ್ಫಾ ಕಿರಣ
alteration,ಬದಲಾವಣೆ
alternating,"ಪರ್ಯಾಯ, ಪರ್ಯಾಯ"
alternator,ಆವರ್ತಕ
altigraph,ಅಲ್ಟಿಮೀಟರ್
altimeter,ಅಲ್ಟಿಮೀಟರ್
altimetry,ಆಲ್ಟೈಮೆಟ್ರಿ
altitude,"ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ"
ALU (Arithmatic Logic Unit),ಅಂಕಗಣಿತದ ತಾರ್ಕಿಕ ಘಟಕ (ALU)
Amagat law,ಅಮೇಟ್ ನಿಯಮ
ambient,ಪರಿಸರ
amicron,ಅಮಿಕ್ರಾನ್
amméter,ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಮಾಪಕ
ampere,ಆಂಪಿಯರ್
Ampere's rule,ಆಂಪಿಯರ್-ಕಾನೂನು
amphoteric ion,ಉಭಯಚರ ಅಯಾನು
amplification,ವರ್ಧನೆ
amplifier,ಆಂಪ್ಲಿಫಯರ್
amplitude,"ಕೋನ, ಆಯಾಮ"
a. m. u. (atomic mass unit),ಎ. ಎಂ.ಯು. (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
analog (=analogue),ಹೊಂದಬಲ್ಲ
analogy,ಸಾದೃಶ್ಯ
analyser,ವಿಶ್ಲೇಷಕ
analysis,ವಿಶ್ಲೇಷಣೆ
analytical,ವಿಶ್ಲೇಷಣಾತ್ಮಕ
anastigmatic,ಪಾಯಿಂಟ್ ಅಲ್ಲದ
anastigmatism,ಅಸಂಗತ
AND gate,ಮತ್ತು ಬಾಗಿಲು
anechoic,ಅಕೌಸ್ಟಿಕ್ ಅಲ್ಲದ
anelasticity,ಅಸಂಗತ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ
aneroid,ಜಲರಹಿತ
angle,ಕೋನ
Angstrom unit,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
angular,ಕೋನೀಯ
angular vernier,ಪ್ರೊಟ್ರಾಕ್ಟರ್ ವರ್ನಿಯರ್
anharmonic,ವಿವಾದಾತೀತ
anharmonicity,ಗೌರವವಿಲ್ಲದ
anhysteresis,ವರ್ಣರಹಿತ ಕಾಂತೀಕರಣ
anhysteretic,ಆಲಸ್ಯ
anion,ಅಯಾನ್
anisodimensional,ಅಸಮ್ಮಿತ
anisotropic,ಐಸೊಟ್ರೊಪಿಕ್
anisotropy,ಐಸೊಟ್ರೋಪಿಸಮ್
annihilation,ಅಳಿಸುವಿಕೆ
annunciator,ನಿರೂಪಕ
anode,ಆನೋಡ್
anodize,ಆನೋಡೈಸೇಶನ್
anomalous,ಅಸಮಂಜಸ
anoptic system,ಆಪ್ಟಿಕಲ್ ಸಿಸ್ಟಮ್
antenna,ಆಂಟೆನಾ
antibaryon,ಆಂಟಿಬೆರಿಯನ್
antibinding property,ವಿರೋಧಿ ಬಂಧ ಆಸ್ತಿ
anitibonding,ಕೌಂಟರ್ ಬಾಂಡ್
antiferroelectricity,ಹಿಮ್ಮುಖ ಶಕ್ತಿ
antiferromagnetic,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್
antiferromagnetics,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್ ವಸ್ತು
antifoggant,ವಿರೋಧಿ ಉರಿಯೂತ
antigravity,ಗುರುತ್ವ ವಿರೋಧಿ
anti-lambda particle,antilamda ಕಣ
anti-lepton,ಅಲೆಲೆಪ್ಟನ್
antimagnetic,ಕಾಂತೀಯ
antimatter,ಆಂಟಿಮಾಟರ್
antimissile,ವಿರೋಧಿ ಕ್ಷಿಪಣಿ
antineutron,ಆಂಟಿನ್ಯೂಟ್ರಾನ್
antinode,ಮಿಡಿಯುತ್ತಿದೆ
antinucleon,ಆಂಟಿನ್ಯೂಕ್ಲಿಯಾನ್
antiparticle,ಪ್ರತಿಕಣ
antiproton,ಆಂಟಿಪ್ರೋಟಾನ್
antireflection,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ
antisymmetric,ಆಂಟಿಸಮ್ಮಿತೀಯ
aperiodical,ಮರುಕಳಿಸುವುದಿಲ್ಲ
aperiodicity,ಅನಾಕ್ರೊನಿಸಮ್
apertural disc,ರಂದ್ರ ಸ್ಕ್ಯಾನಿಂಗ್ ಡಿಸ್ಕ್
aperture,ದ್ವಾರಕ್
apex,"ಮೇಲ್ಭಾಗ, ಮೇಲ್ಭಾಗ, ಮುಂಭಾಗ"
aphelion,"ಸೂರ್ಯ ಅಧಿಕ, ಸೂರ್ಯ ಅಧಿಕ, ಅಪ್ಸೌರ್"
aplanat,ನಿರಾಸಕ್ತಿ ಲೇಸ್
aplanatic,ಕರುಣಾಜನಕವಲ್ಲದ
aplanatism,ಅಂಗವೈಕಲ್ಯವಲ್ಲದ
apochromatic,ಬಹಳ ವರ್ಣರಹಿತ
apogee,"ಭೂಮಿ-ಎತ್ತರ, ಅಪೋಜಿ"
apolar,"ಧ್ರುವೀಯವಲ್ಲದ, ವೃತ್ತಾಕಾರದ"
apolarity,ಪರಧ್ರುವೀಯತೆ
apparatus,ಸಾಧನ
apparent,"ವಾಸ್ತವ, ದೃಶ್ಯ"
apparent sun,ಗೋಚರ ಸೂರ್ಯ
apparent time,ದೃಶ್ಯ ಸಮಯ
appearance,ಹೊರಹೊಮ್ಮುವ ನೋಟ
appliance,ಅಪ್ಲಿಕೇಶನ್
applicability,ಅನ್ವಯಿಸುವಿಕೆ
applied,ಅನ್ವಯಿಸಲಾಗಿದೆ
appreciable,ಗಮನಿಸಬಹುದಾದ
approach,ಅನುಸಂಧಾನ
approximate,"ಹತ್ತಿರ, ಸುಮಾರು"
approximation,ಅಂದಾಜು
aqueous tension,ಆವಿಯ ಒತ್ತಡ
arbitrary,ಸ್ವಯಂಪ್ರೇರಿತ
arc furnace,"ಆರ್ಕ್ ಫರ್ನೇಸ್, ಆರ್ಕ್ ಫರ್ನೇಸ್"
Archimedes principle,ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು
architectural acoustics,ವಾಸ್ತುಶಿಲ್ಪದ ಅಕೌಸ್ಟಿಕ್ಸ್
arc lamp,ಆರ್ಕ್ ದೀಪ
arc spectrum,ಆರ್ಕ್-ಸ್ಪೆಕ್ಟ್ರಮ್
area,"ಪ್ರದೇಶ, ಪ್ರದೇಶ"
areal,"ಪ್ರಾದೇಶಿಕ, ಪ್ರಾದೇಶಿಕ"
arm,"ತೋಳು, ತೋಳು, ಶಾಖೆ"
armature,ಹವ್ಯಾಸಿ
array,"ವ್ಯೂಹ, ವ್ಯೂಹ"
arrester,ರಿಸೀವರ್
articulation,ಉಚ್ಚಾರಣೆ ಸ್ಪಷ್ಟತೆ
artificial,ಸಂಶ್ಲೇಷಿತ
artificial transmutation,ಕೃತಕ ರೂಪಾಂತರ
ascending,ಆರೋಹಣ
ascension of the star,ಆರೋಹಣ
ascent,ಹತ್ತುವುದು
aspheric,ಆಗೋಲಿ
aspherizing,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
assemblage,ಜೊತೆ
assemble,"ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
assembly (=assemblage),"ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
assessment of accuracy,ನಿಖರವಾದ ಅಂದಾಜು
assigned assignment (of quantum numbers),ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ (ಕ್ವಾಂಟಮ್ ಸಂಖ್ಯೆಗಳ) ವಿಶೇಷಣಗಳು
associated,"ಸಂಬಂಧಿತ, ಸಹಾಯಕ, ಸಂಯೋಜಿತ"
assonance,ಸ್ವರ ಧ್ವನಿ
astable multivibrator (=free running multivibrator),ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
astatic,ಅಸ್ತೇನಿಕ್
astigmatism,"ಇಂದ್ರಿಯನಿಗ್ರಹ, ಅಸ್ಟಿಗ್ಮ್ಯಾಟಿಸಮ್"
astrionics,ಬಾಹ್ಯಾಕಾಶ ಪ್ರಯಾಣ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
astrometry,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
astronaut,ಗಗನಯಾತ್ರಿ
astronomer,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
astronomical,ಆಕಾಶ
astronomy,ಖಗೋಳಶಾಸ್ತ್ರ
astrophysics,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
asymmetrical,ಅಸಮ್ಮಿತ
asymptote,ಲಕ್ಷಣರಹಿತ
asymptotic,ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
asynchronous,ಅಸಮಕಾಲಿಕ
atmosphere,"ವಾತಾವರಣ, ವಾತಾವರಣ"
atmospheric,ವಾತಾವರಣದ
atmospherics,ಗಾಳಿ ಪ್ರಕ್ಷುಬ್ಧತೆ
atom,ಪರಮಾಣು
atomic,ಪರಮಾಣು
atomicity,ಪರಮಾಣುತ್ವ
atomic mass,ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ
atomic number,ಪರಮಾಣು ಸಂಖ್ಯೆ
atomic reactor (=atomic pile),"ಪರಮಾಣು ರಿಯಾಕ್ಟರ್, ಪರಮಾಣು ರಾಶಿ"
atomistic,ಪರಮಾಣು
atomization,ಕಣ
atomizer,ಕಣ
attenuation,ಕ್ಷೀಣತೆ
attenuator,"ಕ್ಷೀಣಿಸುವುದು, ಕ್ಷೀಣಿಸುವುದು"
attraction,ಮೋಡಿ
attractive forces,ಆಕರ್ಷಣೆಯ ಶಕ್ತಿ
audibility,ಶ್ರವ್ಯತೆ
audio-amplifier,ಆಡಿಯೊ ಆವರ್ತನ ಆಂಪ್ಲಿಫಯರ್
audio,ಶ್ರವ್ಯ
audio generator,ಆಡಿಯೋ ಜನರೇಟರ್
audiogram,ಶ್ರವಣ ಗ್ರಾಫ್
audiology,ಶ್ರವಣ ವಿಜ್ಞಾನ
audiometer,ಆಡಿಯೋಮೀಟರ್
audio oscillator,ಶ್ರವ್ಯ ಆವರ್ತನ ಆಂದೋಲಕ
audio signal,ಧ್ವನಿ ಸಂಕೇತ
audiovisual,ಶ್ರವ್ಯ-ದೃಶ್ಯ
auditorium,"ಸಭಾಂಗಣ, ಸಭಾಂಗಣ"
Auger effect,OZ ಪರಿಣಾಮ
augmentation,ಪ್ರಚಾರ
augmentor,ವರ್ಧಕ
aurora,ಧ್ರುವ ಜ್ವಾಲೆ
aurora australis,ದಕ್ಷಿಣ ಧ್ರುವ ಜ್ವಾಲೆ
aurora borealis,ಉತ್ತರ ಧ್ರುವ ಜ್ವಾಲೆ
autoalarm,ಸ್ವಯಂಚಾಲಿತ ಎಚ್ಚರಿಕೆ
autocollimator,ಸ್ವಯಂ ಸಮಾನಾಂತರಕಾರಕ
automatic,"ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ"
automation,"ಯಾಂತ್ರೀಕೃತಗೊಂಡ, ಯಾಂತ್ರೀಕೃತಗೊಂಡ"
auxiliary,"ಸಹಾಯಕ, ಸಹಕಾರಿ, ಹೆಚ್ಚುವರಿ"
avalanche,"ಅವದಾವ, ಅವಲಾಂಚೆ"
average,"ಅರ್ಥ, ಅರ್ಥ"
avoidance,ಪರಿವಾರನ್
axial,ಅಕ್ಷೀಯ
axis,ಅಕ್ಷರೇಖೆ
azimuth,ಅಜಿಮುತ್
azimuthal,ಅಜಿಮುತ್
back,ಹಿಂದೆ
background,"ಹಿನ್ನೆಲೆ, ಹಿನ್ನೆಲೆ"
backlash,"ಹಿಂದುಳಿದ, ಹಿಂದುಳಿದ"
backout,ತಿರುವು
back swing voltage pulser,ಬ್ಯಾಕ್ ವೋಲ್ಟೇಜ್ ಪಲ್ಸರ್
back to back connection,ನಂತರದ ಸಂಬಂಧ
back up,ಮರುಪಾವತಿ
back voltage (Freverse voltage),ವಿರೋಧಿ ವೋಲ್ಟೇಜ್
backward scattering,ಹಿಂಭಾಗದ ಚದುರುವಿಕೆ
back wave (=spacing wave),ತೆರಪಿನ ಅಲೆ
bad conductor,ಇನ್ಸುಲೇಟರ್
bail out,ಪ್ಯಾರಾಚೂಟ್ ಜಿಗಿತ
bakeout,ಬಿಸಿ
balance,"ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ"
balancer,ಬ್ಯಾಲೆನ್ಸರ್
balancing,ಸಮತೋಲನ
ball ended magnet,ಗೋಳಾಕಾರದ
ballistic,"ಬ್ಯಾಲಿಸ್ಟಿಕ್, ಬ್ಯಾಲಿಸ್ಟಿಕ್"
ballistic galvanometer,"ಪ್ರೊಜೆಕ್ಷನ್ ಗಾಲ್ವನೋಮೀಟರ್, ಪ್ರೊಜೆಕ್ಷನ್ ಗಾಲ್ವನೋಮೀಟರ್"
ballistic missile,ಕ್ಷಿಪಣಿ
ballistics,"ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್, ಶಸ್ತ್ರಾಸ್ತ್ರ"
ballistic throw,ಪ್ರೊಜೆಕ್ಷನ್
ballistic trajectory,ಉಚಿತ ಪಥ
balloon,"ಬಲೂನ್, ಬಲೂನ್"
Balmer discontinuity,ಬಾಲ್ಮರ್ ಸ್ಥಗಿತಗೊಳಿಸುವಿಕೆ
band,"ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡ್"
bang,ಸ್ಫೋಟ
bank,"ವ್ಯೂಹ, ಕಿರಣ, ತೀರ, ದಂಡೆ, ಕರಾವಳಿ"
bar,"ಕಾಲಮ್, ಬಾರ್, ಕೋಬ್, ಬ್ಲಾಕ್, ಬಾರ್, ರಾಡ್, ಬಾರ್, 8. ಗೋಡೆ, 9. ಲೈನ್, 10. ಎಡ್ಜ್, 1 ಬ್ಲಾಕ್, 1, ಬಾರ್, 1, ಲೈನ್, 1, ಟೆಸ್ಟ್ ಲೈನ್"
Bardeen theory,ಬಾರ್ಡೀನ್ ತತ್ವ
Barkhausen effect,ಬರ್ಖೌಸೆನ್ ಪರಿಣಾಮ
Barlow's wheel,ಬಾರ್ಲೋ ಸೈಕಲ್
bar magnet,ಬಾರ್ ಮ್ಯಾಗ್ನೆಟ್
barn,ಕೊಟ್ಟಿಗೆ
barogram,ವಾಯು ಒತ್ತಡದ ಗ್ರಾಫ್
barograph,"ಬರೋಗ್ರಾಫ್, ಬರೋಗ್ರಾಫ್"
barometer,ವಾಯುಭಾರ ಮಾಪಕ
barometry,ವಾತಾವರಣದ ಒತ್ತಡ
barosphere,"ಬ್ರಹ್ಮಾಂಡ, ವಾಯುಮಂಡಲ"
bar pendulum,ಲೋಲಕ ಲೋಲಕ
barrier,"ತಡೆಗೋಡೆ, ಪರಮಾಣು ತಡೆಗೋಡೆ, ಪರಮಾಣು ತಡೆಗೋಡೆ"
barrier layer (rectifier)=blocking layer -depletion layer =space charge layer,ತಡೆ ಮಟ್ಟ
baryon,ಬೇರಿಯನ್
barysphere,ಗುರುಮಂಡಲ
base band,ಬೇಸ್ ಬ್ಯಾಂಡ್
basic,"ಮೂಲ, ಮೂಲ, ಕ್ಷಾರೀಯ"
basis,ಬೇಸ್
batching,"ಎಣಿಕೆ, ತಂಡ ರಚನೆ"
bath,"ತೊಟ್ಟಿ, ತೊಟ್ಟಿ, ಹೀಟರ್, ತಾಪನ ಮಡಕೆ, ಸ್ನಾನ"
battery,ಬ್ಯಾಟರಿ
bay,"ಅರೇ ವಿಭಾಗ, ಚೇಂಬರ್, ಕೊಲ್ಲಿ"
B-display,ಪ್ರದರ್ಶನ
beacon,ಕಿಬಾನ್
bead,"ಮಾಣಿಕ, ಬೀಡು"
beam,"ಕಿರಣ, ಕಿರಣ, ಕಿರಣ, ಟ್ರಂಪ್"
bearing,"ಡಿಕ್ಮನ್, ಡಿಕನ್"
beat,"ಡೋಲ್, ವಿಸ್ಪಾಂಡ್"
Becqueral effect,ಬೆಕ್ವೆರೆಲ್ ಪರಿಣಾಮ
bell jar,ಬೆಲ್ ಜಾರ್
bellow,ಬೆಲ್ಲೋಸ್
bell shaped,ಗಂಟೆ ಗಡಿಯಾರ
bench,"ವೇದಿಕಾ, ಪೀಠ"
bend,"ಮೋಡ್, ಬಂಕ್ (ಸಂ.), ಬೆಂಡ್ (ವಿ.)"
bending,ಬ್ಯಾಂಕನ್
bent,"ಬಾಗಿದ, ಬಾಗಿದ"
Bernoulli's equation,ಬರ್ನೌಲ್ಲಿ-ಸಮೀಕರಣ
Bessel function,ತಳದ-ಕಾರ್ಯ
best fit,ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
beta (भ्),ಬೀಟಾ (ಬಿ)
betatron,ಬೆಟಾಟ್ರಾನ್
Bethe's model,ಮಾದರಿ
bevatron,ಬಿವಟ್ರಾನ್
B-H curve,BH ಕರ್ವ್
biangular,ದ್ವಿಕೋನ
bias,"ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ"
biaxial,ದ್ವಿ-ಅಕ್ಷೀಯ
bichromate cell,ಬೈಕ್ರೋಮೇಟ್ ಕೋಶ
biconcave,ಅಭ್ಯವತಲ್
biconical aerial,ಡಬಲ್ ಆಂಟೆನಾ
biconvex,ಬೈಕಾನ್ವೆಕ್ಸ್
bicrystal,"ದ್ವಿ-ಸ್ಫಟಿಕ, ದ್ವಿ-ಸ್ಫಟಿಕ"
bidirectional microphone,ದ್ವಿಮುಖ ಮೈಕ್ರೊಫೋನ್
bifactor model,ದ್ವಿಪದ ಮಾದರಿ
bifilar,ಡಿಪ್ಲಾಯ್ಡ್
bilateral,ದ್ವಿಪಕ್ಷೀಯ
bilinear,ಬೈಲಿನಿಯರ್
bimolecular,ದ್ವಿಮಾಣು
binary,"ದ್ವಿ-ವೇರಿಯಬಲ್, ಬೈ-ಬೇಸ್, ಡ್ಯುಯಲ್"
binary code,"ಬೈನರಿ ಕೋಡ್, ಬೈನರಿ ಕೋಡ್"
binary star,ಆಟದ ತಾರೆ
binary system,ಬೈನರಿ ವಿಧಾನ
binaural,ದ್ವಿಮುಖ
binding,ಕರಾರುಪತ್ರ
binocular,"ದುರ್ಬೀನು, ದುರ್ಬೀನು"
binode,ಅವಳಿ
binomial distribution,ದ್ವಿಪದ ವಿತರಣೆ
binuclear,"ದ್ವಿಕೇಂದ್ರ, ದ್ವಿಕೇಂದ್ರ, ಬೈನ್ಯೂಕ್ಲಿಯೇಟೆಡ್"
biodynamics,ಬಯೋಡೈನಾಮಿಕ್ಸ್
bioelectronics,ಜೈವಿಕ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
biophysicist,ಜೈವಿಕ ಭೌತಶಾಸ್ತ್ರಜ್ಞ
biophysics,ಜೈವಿಕ ಭೌತಶಾಸ್ತ್ರ
biosatellite,ಜೈವಿಕ ಉಪಗ್ರಹ
bioscope,"ಸಿನಿಮಾಟೋಗ್ರಾಫರ್, ಬಯೋಸ್ಕೋಪ್"
Biot-Savart'law,ಬಯೋ-ಸಾವರ್ಟ್ ನಿಯಮ
biphase current,ಬೈಫಾಸಿಕ್ ಕರೆಂಟ್
bipolar,ದ್ವಿಧ್ರುವಿ
biprism,"ಬಿಪ್ರಿಸಂ, ಬಿಪ್ರಿಸಂ"
biquartz,"biquartz, biquartz"
bistable characteristics,ಬೈಫಾಸಿಕ್ ಪಾತ್ರ
bistable multivibrator,ಎರಡು ಹಂತದ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
