Bengali,Tamil
আইন,நாடகம்
অভিনয় ভাতা,நடிப்பு கொடுப்பனவு
কর্ম,செயல்
অ্যাকশন প্ল্যান,செயல் திட்டம்
সক্রিয়,செயலில்
সক্রিয়ভাবে,சுறுசுறுப்பாக
কর্মী,ஆர்வலர்
Of শ্বরের আইন,கடவுளின் செயல்
অসদাচরণের আইন,தவறான நடத்தை செயல்
কমিশন ও বাদ দেওয়া আইন,கமிஷன் மற்றும் விடுபடுதல் சட்டம்
আসল,உண்மையான
বাস্তব,உண்மையான
অভিযোজন,தழுவல்
সংযোজন,கூடுதலாக
অতিরিক্ত চার্জ,கூடுதல் கட்டணம்
অতিরিক্ত তহবিল,கூடுதல் நிதி
অতিরিক্ত অনুদান,கூடுதல் மானியம்
অতিরিক্ত তথ্য,கூடுதல் தகவல்
অতিরিক্ত বেতন,கூடுதல் ஊதியம்
সংযোজন এবং পরিবর্তন,கூட்டல் மற்றும் மாற்றம்
ঠিকানা,முகவரி
ঠিকানা,முகவரி
স্বাগত ঠিকানা,வரவேற்பின் முகவரி
পর্যাপ্ত,போதுமானது
মেনে চলুন,பின்பற்றவும்
অ্যাডহক,தற்காலிக
অ্যাডহক দাবি,தற்காலிக உரிமைகோரல்
তদর্থক কমিটি,தற்காலிக குழு
অ্যাডহক বৃদ্ধি,தற்காலிக அதிகரிப்பு
অ্যাডহক পেমেন্ট,தற்காலிக கட்டணம்
সংলগ্ন,அருகில்
সংলগ্ন (= সংহত),அருகிலுள்ள (= தொடர்ச்சியான)
স্থগিতাদেশ,ஒத்திவைப்பு
স্থগিতের গতি,ஒத்திவைப்பு இயக்கம்
রায়,தீர்ப்பளிக்கவும்
বিচারক,தீர்ப்பளிக்கவும்
বিচার,தீர்ப்பு
বিচারক,தீர்ப்பாளர்
সামঞ্জস্য,சரிசெய்தல்
প্রশাসনিক,நிர்வாகி
শপথ পরিচালনা করুন,சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்
প্রশাসন,நிர்வாகம்
বিচার প্রশাসন,நீதி நிர்வாகம்
প্রশাসনিক,நிர்வாக
প্রশাসনিক ক্রিয়া,நிர்வாக நடவடிக்கை
প্রশাসনিক মূল্যায়ন,நிர்வாக மதிப்பீடு
প্রশাসনিক অনুমোদন,நிர்வாக ஒப்புதல்
প্রশাসনিক কর্তৃপক্ষ,நிர்வாக அதிகாரம்
প্রশাসনিক নিয়ন্ত্রণ,நிர்வாக கட்டுப்பாடு
প্রশাসনিক সিদ্ধান্ত,நிர்வாக முடிவு
প্রশাসনিক দপ্তর,நிர்வாகத் துறை
প্রশাসনিক মাথা,நிர்வாகத் தலைவர்
প্রশাসনিক সদর দফতর,நிர்வாக தலைமையகம்
প্রশাসনিক ব্যবস্থা,நிர்வாக நடவடிக்கைகள்
প্রশাসনিক শক্তি,நிர்வாக சக்தி
প্রশাসনিক অনুমোদন,நிர்வாக அனுமதி
প্রশাসনিক কৌশল,நிர்வாக நுட்பம்
প্রশাসনিক ট্রাইব্যুনাল,நிர்வாக தீர்ப்பாயம்
প্রবেশযোগ্যতা,ஒப்புதல்
স্বীকৃত ব্যয়,ஏற்றுக்கொள்ளக்கூடிய செலவு
স্বীকার করুন,அனுமதிக்கவும்
ভর্তি কার্ড,அட்டை சேர்க்கவும்
ভর্তি,ஒப்புக்கொள்ளப்பட்டது
উপদেশ,அறிவுறுத்துங்கள்
গ্রহণ,தத்தெடுப்பவர்
গ্রহণকারী,தத்தெடுப்பவர்
গ্রহণ,தத்தெடுப்பு
প্রাপ্তবয়স্ক,வயது வந்தோர்
ভেজাল,கலப்படம்
ব্যভিচার,விபச்சாரம்
প্রাপ্তবয়স্ক ভোটাধিকার,வயதுவந்தோர் உரிமை
বিজ্ঞাপন ভ্যালোরেম ডিউটি,விளம்பர மதிப்பீட்டு கடமை
অগ্রিম,முன்கூட்டியே
আগাম বুকিং,முன்கூட்டியே முன்பதிவு
অগ্রিম অনুলিপি,முன்கூட்டியே நகல்
অগ্রিম বৃদ্ধি,அட்வான்ஸ் அதிகரிப்பு
অগ্রিম প্রদান,முன் பணம்
প্রতিকূল এন্ট্রি,பாதகமான நுழைவு
বিরূপ মন্তব্য,பாதகமான கருத்துக்கள்
প্রতিকূল প্রতিবেদন,பாதகமான அறிக்கை
বিজ্ঞাপন,விளம்பரம்
পরামর্শ,ஆலோசனை
অর্থ প্রদানের পরামর্শ,கட்டண ஆலோசனை
উপদেষ্টা কমিটি,ஆலோசனை குழு
উপদেষ্টা পরিষদ,ஆலோசனை கவுன்சில்
অ্যাডভোকেট,வக்கீல்
বিষয়,விவகாரங்கள்
হলফনামা,பிரமாணப் பத்திரம்
অধিভুক্তি,இணைப்பு
নিশ্চিতকরণ,உறுதிப்படுத்தல்
ইতিবাচক,உறுதியான
সামর্থ্য,வாங்க
উপরোক্ত,மேற்கூறிய
নতুন করে,புதிதாக
বিরুদ্ধে,எதிராக
বয়স,வயது
বয়স শংসাপত্র,வயது சான்றிதழ்
ভোটাধিকার জন্য বয়স,வாக்குரிமைக்கான வயது
বয়স সীমা,வயது எல்லை
এজেন্সি,ஏஜென்சி
আলোচ্যসূচি,நிகழ்ச்சி நிரல்
অবসর বয়স,ஓய்வூதிய வயது
তদারকির বয়স,மேலதிக வயது
সমষ্টি,திரட்டுதல்
আক্রান্ত,வேதனைக்குள்ளானது
আন্দোলন,கிளர்ச்சி
এজিএম,ஏஜிஎம்
চুক্তি,ஒப்பந்தம்
চুক্তি ফর্ম,ஒப்பந்த படிவம்
কৃষি,வேளாண்மை
শস্য উৎপাদন কেন্দ্র,வேளாண் தொழில்
সাহায্য,உதவி
অ্যালার্ম,அலாரம்
সতর্কতা,விழிப்புணர்வு
ওরফে,மாற்றுப்பெயர்
অভিযোগ,குற்றச்சாட்டு
আনুগত্য,விசுவாசம்
জোট,கூட்டணி
মিত্র পরিষেবা,தொடர்புடைய சேவைகள்
সমস্ত অন্তর্ভুক্ত ব্যয়,அனைத்து உள்ளடக்கிய செலவு
সমস্ত ভারত পরিষেবা,அகில இந்திய சேவைகள்
বরাদ্দ,ஒதுக்கீடு
বরাদ্দ,ஒதுக்கீடு
বরাদ্দ চিঠি,ஒதுக்கீட்டு கடிதம்
বরাদ্দ,ஒதுக்கீடு
অনুমোদিত,அனுமதிக்கக்கூடியது
অনুমোদিত ব্যয়,அனுமதிக்கக்கூடிய செலவுகள்
একটি আপিলের অনুমতি দিন,மேல்முறையீட்டை அனுமதிக்கவும்
ভাতা,கொடுப்பனவு
সমস্ত অধিকার সংরক্ষিত,அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை
বর্ণমালা অর্ডার,அகரவரிசை வரிசை
বিক্ষোভ,வாக்குவாதம்
বিকল্প,மாற்று
বিকল্প,மாற்று
সংমিশ্রণ,ஒருங்கிணைப்பு
সংশোধিত খসড়া,திருத்தப்பட்ட வரைவு
সংশোধন,திருத்தம்
সুযোগ,வசதி
মায়াময়,இணக்கமான
গোলাবারুদ,வெடிமருந்து
Debt ণের or ণদান,கடனின் கடன்தொகை
পরিমাণ,தொகை
পেনশন পরিমাণ,ஓய்வூதியத்தின் அளவு
সাদৃশ্য পোস্ট,ஒப்பீட்டு இடுகை
বিশ্লেষণ,பகுப்பாய்வு
বিশ্লেষণাত্মক অধ্যয়ন,பகுப்பாய்வு ஆய்வு
পূর্বপুরুষ,மூதாதையர்
আনুষঙ্গিক শিল্প,துணை தொழில்
শত্রুতা,பகை
সংযুক্তি,இணைப்பு
বার্ষিকী,ஆண்டு
ঘোষণা,அறிவிப்பு
বিরক্তি,எரிச்சல்
বার্ষিক আর্থিক বিবৃতি,ஆண்டு நிதி அறிக்கை
বার্ষিক প্রতিবেদন,ஆண்டு அறிக்கை
বার্ষিকী,ஆண்டு
বেনামে,அநாமதேய
বেনামে অভিযোগ,அநாமதேய புகார்
উত্তরযোগ্যতা,பதில்
উত্তরপত্র,விடைத்தாள்
বিরোধী,எதிரி
পূর্বসূরি,முன்னோடிகள்
প্রত্যাশিত ব্যয়,எதிர்பார்க்கப்பட்ட செலவு
প্রত্যাশিত আয়,எதிர்பார்க்கப்பட்ட வருமானம்
অগ্রজ্ঞান,எதிர்பார்ப்பு
প্রত্যাশিত জামিন,எதிர்பார்ப்பு ஜாமீன்
দুর্নীতি দমন ব্যবস্থা,ஊழல் எதிர்ப்பு நடவடிக்கை
অ্যান্টি-ডাম্পিং,டம்பிங் எதிர்ப்பு
প্রাচীন,பழங்கால
বর্ণবাদ,நிறவெறி
উদাসীনতা,அக்கறையின்மை
অ্যাপেক্স বডি,உச்ச உடல்
ক্ষমা প্রার্থনা,மன்னிப்பு
আবেদন,மேல்முறையீடு
চেহারা,தோற்றம்
সন্তুষ্টি,திருப்தி
আপিল ট্রাইব্যুনাল,மேல்முறையீட்டு தீர்ப்பாயம்
পরিশিষ্ট,பின் இணைப்பு
যন্ত্রপাতি,சாதனம்
প্রযোজ্য,பொருந்தும்
প্রার্থী,விண்ணப்பதாரர்
আবেদন,விண்ணப்பம்
আবেদনপত্র,விண்ணப்ப படிவம்
প্রয়োগ,பயன்படுத்தப்பட்டது
প্রয়োগ করুন,விண்ணப்பிக்கவும்
নিয়োগ,நியமிக்கப்பட்டவர்
কর্তৃপক্ষ নিয়োগ,அதிகாரத்தை நியமித்தல்
অ্যাপয়েন্টমেন্ট,நியமனம்
নিয়োগপত্র,நியமனம் கடிதம்
মন্ত্রিপরিষদের অ্যাপয়েন্টমেন্ট কমিটি,அமைச்சரவையின் நியமனங்கள் குழு
মজুরির অংশ,ஊதியப் பகிர்வு
মূল্যায়ন,மதிப்பீடு
মূল্যায়নকারী,மதிப்பீட்டாளர்
প্রশংসা,பாராட்டு
আশঙ্কা,அச்சம்
শিক্ষানবিশ,பயிற்சி
পদ্ধতির,அணுகுமுறை
যথাযথ,பொருத்தமானது
যথাযথ ব্যবস্থা,பொருத்தமான நடவடிக்கை
উপযুক্ত মাথা,பொருத்தமான தலை
বরাদ্দ,ஒதுக்கீடு
অনুমোদন,ஒப்புதல்
আনুমানিক,தோராயமான
বুদ্ধিমত্তার পরীক্ষা,ஆப்டிட்யூட் சோதனை
ইচ্ছামত,தன்னிச்சையானது
সালিশ,நடுவர்
সালিশ,நடுவர்
আরবিট্রেশন ট্রাইব্যুনাল,நடுவர் தீர்ப்பாயம்
সালিস,நடுவர்
আর্কিটেকচার,கட்டிடக்கலை
সংরক্ষণাগার,காப்பகங்கள்
অঞ্চল,பகுதி
অঞ্চল সদর দফতর,பகுதி தலைமையகம்
যুক্তি,வாதம்
উত্থিত,எழும்
সশস্ত্র বাহিনী,ஆயுத படைகள்
ব্যবস্থা,ஏற்பாடு
বকেয়া,நிலுவைத் தொகை
বকেয়া বিবৃতি,நிலுவைத் அறிக்கை
আগমনের প্রতিবেদন,வருகை அறிக்கை
অহংকার,ஆணவம்
আর্সেনাল,அர்செனல்
নিবন্ধ,கட்டுரை
সমিতির নিবন্ধ,சங்கத்தின் கட்டுரைகள்
নিবন্ধ,கட்டுரைகள்
উর্দ্ধক্রমানুসারে,ஏறுவரிசை ஒழுங்கு
নিরূপণ করা,தெரிந்து கொள்ளுங்கள்
যেমনটি যেখানে,எங்கே இருக்கிறது
দিক,அம்சம்
Aspersion,ஆவேசம்
হত্যাকাণ্ড,படுகொலை
হামলা,தாக்குதல்
একত্রিত করা,ஒன்றுகூடு
সমাবেশ,சட்டசபை
সম্মতি,ஒப்புதல்
জাহির করা,உறுதிப்படுத்தவும்
মূল্যায়নকারী,மதிப்பீட்டாளர்
মূল্যায়ন,மதிப்பீடு
মূল্যায়ন বছর,மதிப்பீட்டு ஆண்டு
মূল্যায়নকারী,மதிப்பீட்டாளர்
সম্পদ,சொத்துக்கள்
Assignee,ஒதுக்கப்பட்டவர்
অ্যাসাইনমেন্ট,ஒதுக்கீடு
নিয়োগকারী,ஒதுக்குபவர்
সহায়তা,உதவி
সহযোগী,இணை
সংঘ,தொடர்பு
চার্জ অনুমান,கட்டணம் அனுமானம்
আশ্বাস,உத்தரவாதம்
আশ্বাস সংস্থা,உத்தரவாத நிறுவனம்
আশ্বাস,உறுதி
ছাড় এ,தள்ளுபடியில்
পারমাণবিক শক্তি,அணு சக்தி
সমমূল্যে,சமமாக
প্রিমিয়ামে,பிரீமியத்தில்
সংযুক্ত,இணைக்கவும்
সংযুক্ত অফিস,இணைக்கப்பட்ட அலுவலகம்
সংযুক্তি,இணைப்பு
সংযুক্তি আদেশ,இணைப்பு வரிசை
অর্জন,அடைதல்
চেষ্টা,முயற்சி
উপস্থিতি,வருகை
উপস্থিতি নিবন্ধ,வருகை பதிவு
উপস্থিতি স্লিপ,வருகை சீட்டு
মনোযোগ,கவனம்
সত্যতা,சான்றளித்தல்
সত্যায়িত অনুলিপি,சான்றளிக்கப்பட்ட நகல்
মনোভাব,அணுகுமுறை
আকর্ষণীয় বেতন,கவர்ச்சிகரமான சம்பளம்
নিলাম,ஏலம்
নিলামকারী,ஏலதாரர்
নিলাম বিক্রয়,ஏல விற்பனை
শ্রোতা,பார்வையாளர்கள்
অডিও-ভিজ্যুয়াল ডিসপ্লে,ஆடியோ-காட்சி காட்சி
অডিও-ভিজ্যুয়াল প্রচার,ஆடியோ காட்சி விளம்பரம்
নিরীক্ষা,தணிக்கை
নিরীক্ষিত অ্যাকাউন্ট,தணிக்கை செய்யப்பட்ட கணக்குகள்
নিরীক্ষিত ব্যালেন্স শীট,தணிக்கை செய்யப்பட்ட இருப்புநிலை
নিরীক্ষণ,தணிக்கை
নিরীক্ষা আপত্তি,தணிக்கை ஆட்சேபனை
নিরীক্ষকের প্রতিবেদন,தணிக்கையாளரின் அறிக்கை
অডিটোরিয়াম,ஆடிட்டோரியம்
অডিট অনুচ্ছেদ,தணிக்கை பத்தி
অডিট রিপোর্ট,தணிக்கை அறிக்கை
কঠোরতা,சிக்கன நடவடிக்கை
কঠোরতা ব্যবস্থা,சிக்கன நடவடிக்கை
খাঁটি,உண்மையான
অনুমোদিত প্রতিনিধি,அங்கீகரிக்கப்பட்ட பிரதிநிதி
কর্তৃত্বমূলক,அதிகாரப்பூர்வ
কর্তৃপক্ষ,அதிகாரம்
কর্তৃপক্ষের চিঠি,அதிகார கடிதம்
অনুমোদিত,அங்கீகாரம் பெற்றவர்
স্বীকৃত মূলধন,அங்கீகரிக்கப்பட்ட மூலதனம்
স্বয়ংক্রিয়,தானியங்கி
স্বায়ত্তশাসিত,தன்னாட்சி
স্বায়ত্তশাসিত শরীর,தன்னாட்சி உடல்
স্বায়ত্তশাসন,தன்னாட்சி
সহায়ক,துணை
উপলব্ধ,கிடைக்கிறது
গড়,சராசரி
গড় ছুটি,சராசரி விடுப்பு
বিপর্যয়,வெறுப்பு
এড়ানো,தவிர்க்கவும்
এড়াতে,தவிர்க்கவும்
কর এড়ানো,வரியைத் தவிர்ப்பது
অপেক্ষা করছি,காத்திருந்தது
পুরষ্কার,விருது
পুরষ্কার কর্তৃপক্ষ,அதிகாரம் வழங்குதல்
সচেতনতা,விழிப்புணர்வு
ব্যাকডেটেড,பின்வாங்கியது
পটভূমি,பின்னணி
জমা কাজ,பின் பதிவு
ফিরে,பின்னால்
পিছনে রেফারেন্স,பின் குறிப்பு
ব্যাক আপ,காப்புப்பிரதி
পশ্চাদপদ শ্রেণি,பின்தங்கிய வகுப்புகள்
পশ্চাদপদ উপজাতি,பின்தங்கிய பழங்குடி
খারাপ দর কষাকষি,மோசமான பேரம்
খারাপ আচরণ,மோசமான நடத்தை
খারাপ চরিত্র,மோசமான தன்மை
খারাপ জলবায়ু ভাতা,மோசமான காலநிலை கொடுப்பனவு
খারাপ আচরণ,மோசமான நடத்தை
খারাপ ঋণ,மோசமான கடன்
লাগেজ,சாமான்கள்
জামিন,ஜாமீன்
ভারসাম্য,இருப்பு
ভারসাম্য নামা,சமநிலை வீழ்த்தப்பட்டது
ভারসাম্য এগিয়ে আনা,இருப்பு முன்வைக்கப்பட்டது
সুষম বাজেট,சீரான பட்ஜெட்
ব্যালেন্স শীট,இருப்புநிலை
ব্যালট,வாக்குப்பதிவு
ব্যালট বাক্স,வாக்குப் பெட்டி
ভোট পত্র,வாக்குப்பதிவு காகிதம்
নিষেধাজ্ঞা,தடை
ব্যাংক,வங்கி
ব্যাংক হিসাব,வங்கி கணக்கு
ব্যাংক ভারসাম্য,வங்கி இருப்பு
ব্যাংক চার্জ,வங்கி கட்டணங்கள்
ব্যাংক গ্যারান্টি,வங்கி உத்தரவாதம்
ব্যাংক ছুটির দিন,வங்கி விடுமுறை
ব্যাংকিং সুবিধা,வங்கி வசதி
ব্যাংকিং সময়,வங்கி நேரம்
ব্যাংকিং লেনদেন,வங்கி பரிவர்த்தனை
ব্যাংক হার,வங்கி வீதம்
ব্যাংক পুনর্মিলন,வங்கி சமரசம்
দেউলিয়া,திவாலானது
ব্যাংক সুরক্ষা,வங்கி பாதுகாப்பு
ব্যাংক দলিল,வங்கி அறிக்கை
বনভোজন,விருந்து
বার কাউন্সিল,பார் கவுன்சில்
দর কষাকষি,பேரம்
দর কষাকষি,பேரம் பேசுதல்
অনুর্বর জমি,தரிசு நிலம்
বার্টার,பண்டமாற்று
বেস,அடித்தளம்
ভিত্তিহীন,ஆதாரமற்றது
বেসমেন্ট,அடித்தளம்
ভিত্তিবছর,அடிப்படை ஆண்டு
বেসিক,அடிப்படை
মূলত,அடிப்படையில்
বেসিক বুদ্ধি,அடிப்படை நுண்ணறிவு
মূল বেতন,அடிப்படை ஊதியம்
বেতনের প্রাথমিক স্কেল,ஊதியத்தின் அடிப்படை அளவு
মৌলিক প্রশিক্ষণ,அடிப்படை பயிற்சி
ভিত্তি,அடிப்படை
ব্যাচ,தொகுதி
ব্যাচ নাম্বার,தொகுதி எண்
বহনকারী চেক,தாங்கி காசோலை
উদ্ধৃত করার আগে,மேற்கோள் காட்டப்படுவதற்கு முன்
আচরণ,நடத்தை
বিশ্বাস,நம்பிக்கை
নীচে নীচে,Par க்கு கீழே
এজলাস,பெஞ்ச்
মাপকাঠি,பெஞ்ச்மார்க்
উপকারী,நன்மை பயக்கும்
মৃত ব্যক্তির সম্পত্তির উত্তরাধিকারী,பயனாளி
উপকার,நன்மை
দ্বিধার সুবিধা,சந்தேகத்தின் நன்மை
দানশীলতা,கருணை
দানশীল তহবিল,நல்ல நிதி
উইল,விருப்பம்
উইল,விருப்பப்படி
শোক,துயரமடைந்தது
সেরা প্রচেষ্টা,சிறந்த முயற்சிகள்
উন্নততা,மேம்பாடு
পক্ষপাত,சார்பு
পক্ষপাতদুষ্ট মতামত,பக்கச்சார்பான கருத்து
গ্রন্থপঞ্জি,நூலியல்
দ্বিবার্ষিক,இருபது ஆண்டு
দ্বিখণ্ডিত,பிளவுபட்டு
বিগামি,பெரிய
দ্বিপক্ষীয়,இருதரப்பு
দ্বিভাষিক,இருமொழி
দ্বিখণ্ডিত,இரு
বিল,ர சி து
বিনিময় বিল,மாற்றச்சீட்டு
দ্বিখণ্ডিত প্রতিবেদন,இருதரப்பு அறிக்கை
বাঁধাই,பிணைப்பு
বায়োডাটা,பயோடேட்டா
দ্বিপক্ষীয়,இருதரப்பு
দ্বিপক্ষীয় চুক্তি,இரு கட்சி ஒப்பந்தம்
জন্ম বার্ষিকী,பிறப்பு ஆண்டுவிழா
জন্ম সনদ,பிறப்பு சான்றிதழ்
জন্ম নিয়ন্ত্রণ,பிறப்பு கட்டுப்பாடு
জন্ম তারিখ,பிறந்த தேதி
জন্মের জায়গা,பிறந்த இடம்
জন্ম হার,பிறப்பு வீதம்
দ্বিপক্ষীয়,இரு வாராந்திர
কালো অর্থনীতি,கருப்பு பொருளாதாரம்
কালো তালিকা,கருப்பு பட்டியல்
ব্ল্যাকমেল,பிளாக்மெயில்
কালোবাজার,கருப்பு சந்தை
দোষ,பழி
ফাঁকা চেক,வெற்று சோதனை
কম্বল ডিল,போர்வை ஒப்பந்தம்
কম্বল আদেশ,போர்வை ஒழுங்கு
বিস্ফোরণ,குண்டு வெடிப்பு
মিশ্রণ,கலத்தல்
ব্লক,தொகுதி
অবরোধ,முற்றுகை
অবরুদ্ধ মূলধন,தடுக்கப்பட்ட மூலதனம்
ব্লক লেটার,தொகுதி கடிதம்
রক্তদান,இரத்த தானம்
রক্ত সম্পর্ক,இரத்த உறவுகள்
নীল কলার কাজ,நீல காலர் வேலை
ব্লুপ্রিন্ট,புளூபிரிண்ட்
ব্লাফ,பிளஃப்
বোর্ড,பலகை
বোর্ডিং এবং থাকার ব্যবস্থা,போர்டிங் மற்றும் உறைவிடம்
পরিচালনা পর্ষদ,இயக்குநர்கள் குழு
রাজস্ব বোর্ড,வருவாய் வாரியம்
দেহ,உடல்
দেহরক্ষী,மெய்க்காப்பாளர்
বোগাস ভাউচার,போலி வவுச்சர்
সদিচ্ছা,உண்மையான
বন্ধন,பத்திரம்
চুক্তিভুক্ত শ্রমিক,பிணைக்கப்பட்ட உழைப்பு
বোনাস,போனஸ்
বুকিং অফিস,பதிவு அலுவலகம்
বই-রক্ষক,புத்தகக் காப்பாளர்
বই-রক্ষণাবেক্ষণ,புத்தகத்தை வைத்தல்
পুস্তিকা,கையேடு
রেফারেন্স বই,குறிப்பு புத்தகம்
বই মান,புத்தகம் மதிப்பு
বুথ,பூத்
বুথ ক্যাপচারিং,பூத் கைப்பற்றுதல்
সীমান্ত ভাতা,எல்லை கொடுப்பனவு
বর্ডার লাইন,பார்டர் லைன்
Or ণগ্রহীতা,கடன் வாங்குபவர்
Orrow ণ ক্ষমতা,கடன் வாங்கும் சக்தி
বস,பாஸ்
বাধা,சிக்கல்
বন্ধনী,அடைப்புக்குறி
সীমানা,எல்லை
বয়কট,புறக்கணிப்பு
মেধা পাচার,மூளை வடிகால்
শাখা কার্যালয়,கிளை அலுவலகம்
লঙ্ঘন,மீறல்
চুক্তি লঙ্ঘন,ஒப்பந்தத்தை மீறுதல்
আত্মবিশ্বাস লঙ্ঘন,நம்பிக்கையை மீறுதல்
চুক্তি লঙ্ঘন,ஒப்பந்த மீறல்
শৃঙ্খলা লঙ্ঘন,ஒழுக்கத்தை மீறுதல்
আইন লঙ্ঘন,சட்ட மீறல்
শান্তি লঙ্ঘন,சமாதான மீறல்
অধিকার লঙ্ঘন,சலுகை மீறல்
প্রতিশ্রুতি লঙ্ঘন,வாக்குறுதியை மீறுதல்
নিয়ম লঙ্ঘন,விதியை மீறுதல்
বিশ্বাস ভঙ্গ,நம்பிக்கை துரோகம்
বিরতি,உடைப்பு
ভাঙ্গা,உடைக்கவும்
পরিষেবা বিরতি,சேவையில் இடைவெளி
বিচ্ছিন্ন,முறிவு
প্রজনন,இனம்
ঘুষ,கையூட்டு
সংক্ষিপ্ত,சுருக்கமான
সারসংক্ষেপ,மாநாடு
সংক্ষিপ্ত পুনঃসূচনা,சுருக்கமான விண்ணப்பம்
উজ্জ্বল রেকর্ড,புத்திசாலித்தனமான பதிவு
নোটিশ আনুন,கவனத்திற்கு கொண்டு வாருங்கள்
সম্প্রচার,ஒளிபரப்பு
ব্রডশিট,பிராட்ஷீட்
ব্রোশিওর,சிற்றேடு
দালালি,தரகு
এগিয়ে আনা (বি/এফ),முன்னோக்கி கொண்டு வரப்பட்டது (பி/எஃப்)
বাজেট বরাদ্দ,பட்ஜெட் ஒதுக்கீடு
বুগেটারি নিয়ন্ত্রণ,பிழையான கட்டுப்பாடு
বাজেটের অনুমান,பட்ஜெட் மதிப்பீடு
বাজেট বিধান,பட்ஜெட் வழங்கல்
বিল্ডিং,கட்டிடம்
স্তূপ,மொத்த
বাল্ক ক্রয়,மொத்த கொள்முதல்
বুলেটিন,புல்லட்டின்
বাম্পার ফসল,பம்பர் பயிர்
শূন্যপদ গুচ্ছ,காலியிடங்களின் கொத்து
বাংগল,பஞ்ச்லிங்
আমলাতন্ত্র,அதிகாரத்துவம்
আমলা,அதிகாரத்துவம்
ব্যবসায়িক শ্রেণী,வணிக வகுப்பு
ব্যবসায়ের সময় (= ব্যবসায়ের ঘন্টা),வணிக நேரம் (= வணிக நேரம்)
ব্যবসায়ী,தொழிலதிபர்
কিনুন,திரும்ப வாங்கு
ক্রেতা,வாங்குபவர்
বাই নির্বাচন (= নির্বাচনের মাধ্যমে),மூலம் தேர்தல் (= தேர்தல் மூலம்)
হাতের দ্বারা,கையால்
পোস্ট দ্বারা,தபால் மூலம்
কেবিন লাগেজ,கேபின் சாமான்கள்
মন্ত্রিসভা,மந்திரி சபை
ক্যাডার,பணியாளர்
বিপর্যয়,பேரழிவு
গণনা,கணக்கீடு
ক্যালেন্ডার বছর,காலண்டர் ஆண்டு
প্রচার,பிரச்சாரம்
ক্যাম্পাস,வளாகம்
ক্যাম্পাসের সাক্ষাত্কার,வளாக நேர்காணல்
বাতিল,ரத்துசெய்
বাতিল,ரத்து செய்தல்
