English,Gujarati
allelochemicals,એલેલો રસાયણશાસ્ત્ર
allelomorph,એલીલ
allelopathy,એલોપથી
alley cropping,વેથી પાક
allocarpy,પૂર્ણતા
allogamy,ગર્ભાધાન
allometry,1. સાપેક્ષતા 2. એલોમેટ્રી
allopolyploid,મલ્ટીપ્લોઇડી
allosynapsis (allosyndesis),1. પેરાઝીગોસિટી
alternate bearing,1. વૈકલ્પિક વર્ષ કાર્ય 2. વૈકલ્પિક કાર્ય
alternate land use,વૈકલ્પિક જમીનનો ઉપયોગ
ambient,પર્યાવરણ
ameliorant,સુધારક
amitosis,મિટોસિસ
amminization,આમીન
ammonification,એમોનિયન
ammonifier,એમ્નિફરસ
amorph,1. બિનઅસરકારક સ્વરૂપ 2. અરૂપી
amphimixis,ઉભયજીવી મિશ્રણ
amphoteric,એમ્ફોટેરિક
anabolism,સંગ્રહ
anaerobe,1. એનારોબિક 2. એનારોબિક સજીવો
aneuploid,હેપ્લોઇડ
angle planting,કોણીય વાવેતર
animal husbandry,પશુપાલન
animal refuse,પ્રાણીના મળમૂત્ર
animate energy,જીવંત ઊર્જા
anisoploid,વિસંગત
annual plant,એક વર્ષ જૂનો છોડ
annual,વાર્ષિક
anthesis,1. પરમાનંદ 2. ઉજાસ
anthrax,એન્થ્રેક્સ
anthropogenic factor,એન્થ્રોપોજેનિક પરિબળો
antibiosis,અસ્તિત્વ
antibiotic,1. એન્ટિબાયોટિક 2. એન્ટિબાયોટિક
antidote,પ્રતિકૂળ
antioxidants,એન્ટીઑકિસડન્ટ
antitoxin,એન્ટિટોક્સિન
anulus,રિંગ આંગળી
aphid,1. એફિડ 2. મહુ 3. ચેપા
apical bud,ટોચની કળી
apical dominance,ટોચની અસરકારકતા
apiculture (bee keeping),મધમાખી ઉછેર
apomixis,અજાતીયતા
apoptosis,એપોપ્ટોસિસ
appendage,પરિશિષ્ટ
appetizer,ભૂખ લગાડનાર
applied,લાગુ
aquatic weed,જળચર નીંદણ
arboreal,1. વૃક્ષ 2. વૃક્ષ નિવાસી
arborization,શાખાઓ
archaeo-botanical records,પ્રોટોબોટનિકલ રેકોર્ડ્સ
area statistics,ઝોન નંબર
area,1. વિસ્તાર 2. વિસ્તાર
arid ecosystem,શુષ્ક ઇકોસિસ્ટમ
aril,કોટિલેડોન
aroma,સૌરભ
aromatic plant,સુગંધિત છોડ
aromatic rice,સુગંધિત ચોખા
arrowing,ઇક્ષુ પુષ્પન
asepsis,એસેપ્ટિક
aseptic,1. એસેપ્ટિક 2. એસેપ્ટિક
asexual propagation,અજાતીય પ્રજનન
assay,કદ
assets,સંપત્તિ
assimilation,1. એસિમિલેશન 2. એસિમિલેશન
association,1. એસોસિએશન 2. એસોસિએશન
astringent,1. કૉલમ 2. અસ્પષ્ટતા
asynapsis,હેટરોઝાયગોસિટી
atavism,1. પૂર્વજ 2. એટાવિઝમ
atomizer,કણ
atrophy,1. પુષ્ટિ 2. ક્ષતિ
autogamy,સ્વ જોડી
autolysis,ઓટોલિસિસ
autooxidation,1. સ્વયંસ્ફુરિત ઓક્સિડેશન 2. સ્વયંસ્ફુરિત ઓક્સિડેશન
autopolyploid,સ્વ મલ્ટિપ્લેક્સ્ડ
auxins,ઓક્સિન
awn (bristle),1. હચમચી 2. દેડકો
baccilovirus,દંડ વાયરસ
bacillus,1. બેસિલસ 2. બેસિલસ
bacteria,1. બેક્ટેરિયા 2. બેક્ટેરિયા
bacteriotoxin,બેક્ટેરિયલ ઝેર
bagasse,બગાસ
balance sheet,સરવૈયા
balanced fertilization,સંતુલિત ખાતરનો ઉપયોગ
bar diagram,બાર ગ્રાફ
bark,છાલ
barometer,1. બેરોમીટર 2. બેરોમીટર
barren,1. બઝર 2. જડ 3. ઉજ્જડ
base,1. આધાર 2. આધાર 3. કપંગ
basin,1. તાલા 2. બેસિન
basipetal,તલાબીસરી
basisternum,1. બેસિસ્ટર્નમ 2. રુટ ધારક
bay monsoon,ગલ્ફ ચોમાસું
bearing plant,ફળનો છોડ
bed,પથારી
bedder,બેડ પ્લાન્ટ
bedding,પથારી
beet molasses,બીટ દાળ
bellows,બેલો
belt,1. પટ્ટી 2. ભૂપ્રદેશ
benefit-cost analysis,નફો-ખર્ચ વિશ્લેષણ
biased (sampling),મહત્વાકાંક્ષી (સેમ્પલિંગ)
biennial,દ્વિવાર્ષિક છોડ
binomial,દ્વિપદી
bioagent,બાયોફેક્ટર
bioclimate,જૈવિક આબોહવા
bioenergy,જૈવ ઊર્જા
bionomics,પ્રાણીસૃષ્ટિ ઇકોલોજી
bio-reactor,1. બાયો-પ્રોસેસર 2. બાયો-રિએક્ટર
biosphere,બાયોસ્ફિયર
biotic,જૈવિક
biotype,પ્રાણીસૃષ્ટિ
bisexual,ડિવિલિંગી
blanching,ધવલન
blast,1. પ્રધવાસન (રોગ) 2. ગસ્ટ રોગ
blend,મિશ્રણ
blight,1. અંગમારી (રોગ) 2. બ્લાઈટ (રોગ)
blister,1. ફોલ્લો 2. ફોલ્લો 3. ફાટી નીકળવો 4. ફોલ્લો
blue revolution,વાદળી ક્રાંતિ
bottom heat chamber,પ્લાનર હીટિંગ ચેમ્બર
bottom heat technique,પ્લાનર હીટિંગ ટેકનોલોજી
bran,થૂલું
branching,શાખાઓ
branchlet,1. ટ્વિગ 2. સબબ્રાન્ચ
breed,જાતિ
breeding,પ્રજનન
brimming,પ્રારંભિક અંકુરણ સારવાર
brood,1. બચ્ચા 2. ઇંડા 3. ગર્ભ
budding,ઉભરતા
budget,બજેટ
buffer,1.એમ્ફોટેરિક 2. બફર
bulb,શક્કરિયા
bunt,બંટ (રોગ)
by-product,1. આડપેદાશ 2. આડપેદાશ
c moisture characteristic curve,c ભેજ સ્પષ્ટીકરણ વળાંક
cake,તેલ કેક
calcarious,1. ચૂનો 2. કેલ્શિયમ
calcification,કેલ્સિયન
calcination of phosphate,ફોસ્ફેટ દૂર કરવું
callosity,1. કિનાટા 2. કેલાટા
callus,1.કેલસ 2. કિરણ
calyx,1. સેપલ્સ 2. કેલિક્સ
calyx-end,બહારનો છેડો
cambium,એધા
canker,કર્કશ (બેક્ટેરિયલ રોગ)
canning,કેનિંગ
canopy,આકાશ
capital,ફાઇનાન્સ
caprification,પરાગનયન (અંજીરનું)
capsule,1. કેપ્સ્યુલ 2. કેપ્સ્યુલ 3. કેપ્સ્યુલ
carbonated,કાર્બનયુક્ત
carbonization,કાર્બનન
carpel,કારાપેસ
carpus,બંગડી
casting,1. કાસ્ટિંગ (લોખંડ) 2. ક્ષિપ્તિ (જંતુ)
catabolism,અપચય
catalysis,પ્રેરિત
caterpillar,1. કેટરપિલર 2. કેટરપિલર
C-DNA Library,c ડી. એન. a સંગ્રહ
ceiling,શ્રેણી
cell,1. સેલ 2. સેલ
central leader system,કેન્દ્રીય ફ્રન્ટ સિસ્ટમ
centric,1. બિંદુ 2. ફોકસ
centrifugation,સેન્ટ્રીફ્યુગેશન
centrifuge,સેન્ટ્રીફ્યુજ
centriole,સ્ટાર સેન્ટર
centrogenic,એપિજેનેટિક
centrogenous,કેન્દ્રજા
cercus,લૂમ
cereal,1. અનાજ 2. સીરીયલ
certification,1. પ્રમાણપત્ર 2. પ્રમાણપત્ર
certified seed,પ્રમાણિત બીજ
chaff,1. સ્ટ્રો 2. કુટ્ટી 3. શલક સહપાત્ર
chalaza,1. નિભાગ 2. કૈલાજા
chemotropism,કીમોગ્રાફી
chiasma,1. કિયાઝમા 2. વ્યસ્ત
chilling hours,સુપરકૂલિંગ કલાકો
chilling injury,હિમ નુકસાન
chimera,1. વિચિરોતકી 2. ચિમેરા
chloranthy,લીલો પોર્રીજ
chlorophyll,1. પર્ણસમૂહ 2. લીલો
chlorosis,સાયનોસિસ
chorology,જૈવિક વિતરણ વિજ્ઞાન
chromatid,1. ક્રોમેટિડ 2. અર્ધ રંગસૂત્રો
chromatin,ક્રોમેટિન
chromatography,ક્રોમેટોગ્રાફી
chromatolysis,ક્રોમેટિનલેશન
chromocentre,ધમની બિંદુ
chromogenesis,ક્રોમેટોજેનેસિસ
chromoprotein,1. ક્રોમોપ્રોટીન 2. પિગમેન્ટપ્રોટીન
chromosome,1. રંગસૂત્રો 2. રંગસૂત્રો
chronic,1. ક્રોનિક 2. ક્રોનિક 3. ક્રોનિક 4. અપ્રચલિત
citrange,સાઇટ્રેન્જ
cladode,પાનખર તહેવાર
classification,વર્ગીકરણ
clay,1. માટી 2. માટી
cleaning,1. સફાઈ 2. સ્ક્રબિંગ 3. સફાઈ 4. શુદ્ધિકરણ
cleistogamy,સતત પરાગનયન
climacteric fruit,ક્રુસિફેરસ ફળ
climate,વાતાવરણ
climatology,આબોહવાશાસ્ત્ર
clipper,કાતર
clod,ગઠ્ઠો (માટી)
clone,ક્લોન
cloud,1.વાદળો 2.વાદળો
clump,ઝુંડ
cluster,ટોળું
coarse,1. બરછટ 2. ખરબચડી 3. કાચી 4. ખરબચડી
coat (seed),1. કવર 2. ચામડું
cocoon,કોયા
coenzyme,1. કોએનઝાઇમ 2. કો-એન્ઝાઇમ
cohesion,સંયોગ
coir,1. ફાઇબર (જ્યુટ જ્યુટ) 2. નારિયેળ બરછટ
coleorrhiza,મુલંકુર ચોલા
collar 1. स्तंभमूलसंधि 2. कॉलर 3. ग्रीवा,
colloid (soil),કોલોઇડ (માટી)
columella,1.કૉલમ 2.કોલ્યુમેલા
column,1. દંડ 2. કૉલમ 3. કૉલમ
commensalism,કોમ્યુનિયન
commercial bank,કોમર્શિયલ બેંક
commodity,1. કોમોડિટી 2. મર્ચેન્ડાઇઝ
community,સમુદાય
compaction (of soil),કોમ્પેક્શન (માટીનું)
compatibility,1. સુસંગતતા 2. સુસંગતતા
compatibility,સુસંગતતા
compensation,1. વળતર 2. વળતર
competitive interaction,સ્પર્ધાત્મક ક્રિયાપ્રતિક્રિયા
complementary crop,પૂરક પાક
complex,1.સંયુક્ત 2.જટિલ
component,ઘટક
composition,રચના
compost,ખાતર
compound interest,સંયોજન વ્યાજ
computation,ગણતરી
computer,1. કોમ્પ્યુટર 2. કોમ્પ્યુટર
concentration,1. એકાગ્રતા 2. એકાગ્રતા
conditioner,1. ઑપ્ટિમાઇઝર 2. રિવાઇટલાઇઝર
conductance,વાહકતા
configuration,1. રૂપરેખાંકન 2. રૂપરેખા
conformity,1. અનુરૂપતા 2. રૂપરેખાંકન 3. અનુરૂપતા
confounding,1. એકીકરણ 2. હાઇબ્રિડાઇઝેશન
conjugation,જોડાણ
connective,1. એડિટિવ 2. કનેક્ટિવ
conservation,રક્ષણ
consolidation,એકીકરણ
constituents,1. ઘટક 2. ઘટકો
consumer,ઉપભોક્તા
consumption,વપરાશ
contamination,દૂષણ
contour planting,સમોચ્ચ વાવેતર
contour,સમોચ્ચ રેખા
contract farming,1. કોન્ટ્રાક્ટ ફાર્મિંગ 2. કોન્ટ્રાક્ટ ફાર્મિંગ 3. કોન્ટ્રાક્ટ ફાર્મિંગ
controlled storage,નિયંત્રિત વાતાવરણીય સંગ્રહ
co-operative bank,સહકારી બેંક
cooperator,સહકારી મંડળીના સભ્ય
coppice,ગુલમાવન
corm,ક્યુબ્ડ
corolla,1. દાલપુંજ 2. કોરોલા
cortex,1. કોર્ટેક્સ 2. કોર્ટેક્સ
cost,ખર્ચ
cotyledon (seed),કોટિલેડોન
credit society,ક્રેડિટ કમિટી
credit,1. ધિરાણ 2. ક્રેડિટ
creditor,1. શાહુકાર 2. લેણદાર
crest,1. ક્રેસ્ટ 2. શિરોબિંદુ 3. સ્પાયર
crinkle,પાછું ખેંચવું
crisis,સમસ્યા
criterion,પરીક્ષણ
critical,જટિલ
crop insurance,પાક વીમો
crop loan,પાક લોન
crop,1. પાક 2. પાક
cropping area,ખેતી વિસ્તાર
cross-incompatible,ક્રોસ અસંગત
crown (plant),1. તાજ 2. શિખર (છોડ)
crumb,નરમ કણો
crust,પોપડો
cryptogam,1. ક્રિપ્ટોગમ 2. નોન-ફ્લોરીફોર્મ
cull (fruits),કાપણી (ફળ)
culm,પેન
cultivar,કલ્ટીવાર વિવિધ
cultivation,1. ટ્રેક્શન 2. ખેતી 3. ખેતી
cultivator,1. ખેડૂત 2. ખેડૂત
culture,1. ખેતી 2. ખેતી 3. ઉછેર
curing,1.સંસાધન 2.તૈયારી
curling,1.કુંતલન 2.કુંચોન
currency,મુદ્રા
cuticle,1. બાહ્ય ત્વચા 2. ક્યુટિકલ
cutting,1. પેન 2. કટિંગ 3. કટીંગ 4. કટીંગ 5. કટીંગ
cyst,1. કૃમિ કોર્પસ 2. ફોલ્લો 3. ફોલ્લો 4. વિકૃત ગઠ્ઠો 5. નિયોપ્લાઝમ
cytochrome,સાયટોક્રોમ
cytogamy,કોષ જોડાણ
cytogenesis,સેલ પ્રજનન
cytogenetics,સેલ જીનેટિક્સ
cytokinesis,સાયટોપ્લાઝમિક વિભાજન
cytology,સેલ બાયોલોજી
cytolysis,સેલ લિસિસ
cytomere,1. સાયટોમેર 2. કોષ વિભાજન
cytoplasm,સાયટોપ્લાઝમ
dairy,1. ડેરી 2. ડેરી
dairying,ડેરી ઉદ્યોગ
dam,1. ડેમ 2. સંવર્ધક
day-neutral,ડે એબ્સોલ્યુટ પ્લાન્ટ
days after flowering,ફૂલો પછીનો દિવસ
days after full bloom,સંપૂર્ણ ફૂલો પછીનો દિવસ
deblossoming,બિનકાર્યક્ષમતા
decalcification,decalcification
decant,1. ડિસ્લોજ 2. ડિસ્લોજ
decay,સડો
deciduous,પાનખર
decimal,1. દશાંશ 2. દશાંશ
deficiency,હીનતા
deflocculation (soil),અનુરાન (માટી)
defloration,વિપુષ્પન
defoliation,બિલિંગ
deforestation,વનનાબૂદી
degeneration,અપમાન
degradation,અધોગતિ
degree days,ભાગ દિવસ
degree,1. જથ્થો 2. ભાગ
dehiscence,અવક્ષય
dehulling,કુશ્કી દૂર કરવી
dehusking,કુશ્કી દૂર કરવી
dehydration,નિર્જલીકરણ
dehydrator,નિર્જળ
demand,માંગ
denaturation,1. વિકૃતિકરણ 2. ગુણાકાર
denudation,નિંદા
deposit,1. થાપણ (માટી) 2. થાપણ (અર્થશાસ્ત્ર)
deposition,જમા
depreciation,1. અવમૂલ્યન 2. અવમૂલ્યન
desalinization,ડિસેલિનેશન
desiccation,1. પાણી સુકાઈ જવું 2. નિર્જલીકરણ
design,1. ડિઝાઇન 2. ડિઝાઇન
dessicator,સુકા
destoning,કર્નલ દૂર કરવું
desuckering,ડી-ઇન્ટરકલેશન
desynapsis,જોડાણ
detassel,1. પુરુષ મંજરી નિષ્કર્ષણ (મકાઈ) 2. બલ્લાર નિષ્કર્ષણ
detasseling,બલ્લાર અથવા કુંદન કટીંગ
determinant,નિર્ધારક
devaluation,અવમૂલ્યન
devegetation,ડી-વનસ્પતિ
deviation,વિચલન
diad,ડબલ
diagnosis,નિદાન
dichogamy,વિવિધ પરિપક્વતા
dichotomy,વિભાજન
dicotyledon (seed),1. ડાઇકોટાઇલ્ડન 2. ડિકોટાઇલ્ડન (બીજ)
die back (disease),પીઠનો રોગ
diffusion,1. પ્રસરણ 2. પ્રસરણ
digestibility,પાચનક્ષમતા
dihybrid,દ્વિસંકર
dike (dyke),1. ડેમ 2. ડ્રેઇન 3. કુટુંબ
dilute,અલ્પ
dioecious,1. મોનોગેમસ 2. મોનોગેમસ
diploid,ડિપ્લોઇડ
diploid,1. ડિપ્લોઇડ 2. ડિપ્લોઇડ
diplonema,દ્વિધ્રુવ
disbudding,1. નિષ્કર્ષણ 2. બડ દૂર કરવું
discing,1. હળ ખેડવું 2. કાંતવું
discount,ડિસ્કાઉન્ટ
disinfection,જીવાણુ નાશકક્રિયા
dispersion,1. વિખેરવું 2. છૂટાછવાયા
dissemination,1.સ્કેટરિંગ 2.વિવિધતા
diversification,વૈવિધ્યકરણ
diversified farming,વૈવિધ્યસભર કૃષિ
DNA Ladder,ડીએનએ પગલું
DNA receptor,ડીએનએ રીસીવર
dockage,ગોદી ભાડે
dominant,અસરકારક
dormancy,નિષ્ક્રિયતા
dose,1. જથ્થો 2. માત્રા 3. માત્રા
douole sigmoid curve,ડબલ સિગ્મોઇડ વળાંક
draft (draught),1. ગસ્ટ 2. સ્ટ્રેચ
drain,1. એક્ઝોસ્ટ ડ્રેઇન 2. પ્રવાહ
drainage,ડ્રેનેજ
draw,ટ્રેક્શન
drenching,1. દવા આપો 2. ભીંજાવો
dressing (seed),સૌંદર્ય પ્રસાધનો (બીજ)
drill (n.),1. ઓગર 2. છીછરા ફોલ્ટ 3. ડ્રીલ 4. ઓગર
drilling (ag. engg),1. છિદ્ર 2. કવાયત 3. કવાયત
drilling (agronomy),1. ડ્રિલિંગ 2. ડ્રિલ વડે વાવણી 3. ડ્રિલ વડે રેડવું
drip irrigation,ટપક સિંચાઈ
dryland farming,સૂકી ખેતી
dust,1.ધૂળ 2.બુકની
duster,1. ડસ્ટર 2. સ્કેટરર
dusting,છંટકાવ કરવા માટે
dwarf,1. વામન 2. વામન
dwarf pyramid,વામન પિરામિડ
dwarfing,વામિની ભવન
ecology,ઇકોલોજી
econometrics,અર્થશાસ્ત્ર
economic efficiency,આર્થિક કાર્યક્ષમતા
ecotype,પરિસ્થિતિગત પ્રકાર
ectotrophic,વધારાનું સ્તરીકરણ
edaphic,નરમ
edaphology,માટી વિજ્ઞાન
edging,1. બ્રિજિંગ 2. એજિંગ 3. સ્ટ્રાન્ડ ક્લોઝર
edible part,ખોરાકનો ભાગ
elasticity of demand,માંગની સ્થિતિસ્થાપકતા
elasticity of production,ઉત્પાદન સ્થિતિસ્થાપકતા
electrolysis,વિદ્યુત વિચ્છેદન-વિશ્લેષણ
electrophoresis,ઇલેક્ટ્રોફોરેસિસ
eluviation,બાષ્પીભવન
emasculator,1. શિરચ્છેદ કરનાર 2. જંતુમુક્ત કરનાર 3. શિરચ્છેદ કરનાર 4. જંતુમુક્ત કરનાર
embanking,1. વિયર બંડી 2. સ્ટ્રોબંદી
embryo,ગર્ભ
embryology,1. ગર્ભવિજ્ઞાન 2. ભૌતિકશાસ્ત્ર
emergence,1. બહાર નીકળો 2. બહાર નીકળો
emulsifier,ઇમલ્સિફાયર
endogenous,અંતર્જાત
endomitosis,આંતર-બિંદુ વિભાગ
endoparasite,આંતર-પરજીવી
endosperm,એન્ડોસ્પર્મ
enterprise,એન્ટરપ્રાઇઝ
entomology,કીટશાસ્ત્ર
environment,પર્યાવરણ
enzyme,1. એન્ઝાઇમ 2. એન્ઝાઇમ
epicotyl grafting,ક્લસ્ટર કલમ બનાવવી
epiphyte,1. એપિફાઇટ 2. એપિફાઇટ
equity,ઇક્વિટી
eradication,નાબૂદી
essential nutrients,આવશ્યક પોષક તત્વો
estimation,1. માપન 2. જમ્પ 3. આકારણી
etiolation,સુંદરતા
eugenic,સુજનનિક
evaluation,મૂલ્યાંકન
evaporimeter,વરાળ માપક
evapo-transpiration,બાષ્પીભવન
evergreen revolution,શાશ્વત ક્રાંતિ
evergreen,1. સદાબહાર 2. સદાબહાર
evolution,વિકાસ
excise,કાપી નાખવું
exhaustion (fertility),પરિક્ષય (ફર્ટિલિટી)
exploitation,શોષણ
exploration,1. અન્વેષણ 2. અન્વેષણ
extrusion,1. ઉત્સર્જન 2. ઉત્સર્જન
eye (sugarcane/potato),આંખ
factor,1. પરિબળ 2. ઘટક 3. પરિબળ 4. સંસાધન
factor productivity,પરિબળ ઉત્પાદકતા
factorage,વેપારીનું ડિસ્કાઉન્ટ
factorial block design,ફેક્ટોરિયલ બ્લોક ડિઝાઇન
facultative,વૈકલ્પિક
fallow,1. પટ્ટી 2. પાલિહાર
family,સ્થૂળ
farm appraisal,ક્ષેત્ર મૂલ્યાંકન
farm budgeting,ફાર્મ બજેટિંગ
farm business,કૃષિ વ્યવસાય
farm planning,ક્ષેત્ર આયોજન
farmer,1. ખેડૂત 2. ખેડૂત
farming,1. ખેતી 2. ખેતી
fasciation,અથડામણ
fecundation,બહુવિધ સંવર્ધન
fermentation,આથો
fertility,ફળદ્રુપતા
fertilizer,ખાતર
fertilizer use efficiency,ખાતર ઉપયોગ કાર્યક્ષમતા
fibrous,તંતુમય
field,1. ફાર્મ 2. વિસ્તાર 3. સ્થાન
field capacity,માટી પાણી હોલ્ડિંગ
field demonstration,ક્ષેત્ર પ્રદર્શન
fixation,1. સ્થિરીકરણ 2. ફિક્સેશન 3. ફિક્સેશન
flooding,1. પાણી ભરવું 2. ગર્ભાધાન
flow diagram,પ્રવાહ રેખાકૃતિ
food value,ખોરાક મૂલ્ય
forage (fodder),ચારો
forecasting,આગાહી
forest,વન
forestation,વનીકરણ
frond,1. તડપાર્ન 2. ફોર્મ
frost resistant,હિમ પ્રતિરોધક
frost,1. પાલા 2. બ્લાઈટ
frozen (fruit & vegetable),1. સ્થિર 2. સ્થિર
fructification,કાર્ય
fruit drop,1. ફ્રુટ ફોલ 2. ફ્રુટ ફોલ
fruit -set (fruit setting),ફળ બની જાય છે
fumigation,1. ધૂણી 2. ધૂણી
fungicide,ફૂગનાશક
fungistatic,ફૂગપ્રતિરોધી
fungus,ફૂગ
furow,1. ખુદ 2. સીતા
fusion,1. ફ્યુઝન 2. ફ્યુઝન
fuzz,કપાસ ઉન
fuzzy,રુવાંટીવાળું
gall (Hort),1. ઝાડનું અલ્સર 2. પિટિકા
gamete,1. ગેમેટ્સ 2. ગેમેટ્સ
garden,1. બગીચો 2. બગીચો
gauge (water),1. પંસલ 2. હાઇડ્રોમીટર
gene bank,જનીન સંગ્રહ
gene tagging,જીન ટેગોન
geneology,વંશાવળી
genetic map,જનીન નકશો
genetics,જીનેટિક્સ
genome,1. જીનોમ 2. સંગેન
genomic library,સંજીની કલેક્શન
genomics,જીનોમિક્સ
genotype,જીનોટાઇપ
genotype,1. જનીન માળખું 2. જનીન પ્રકાર
genus,લિનેજ
genus,1. જીનસ 2. વંશ
germ,1. જીવાણુ 2. જીવાણુ
germicide,જીવાણુનાશક
germination,અંકુરણ
germplasm,1. જર્મપ્લાઝમ 2. જર્મપ્લાઝમ
gibberellic acid,ગીબેરેલિક એસિડ
ginning,ઉગાડવું
glume,ટશ
glutinous,1. ગ્લુટેન 2. ખાઉધરાપણું
glycolysis,ગ્લાયકોલિસિસ
gneiss,સરસ
golden revolution,સુવર્ણ ક્રાંતિ
grading,1. વર્ગીકરણ 2. વર્ગીકરણ 3. સ્તરીકરણ
grafted plant,1. કલમી છોડ 2. પેનમ્બ્રલ પ્લાન્ટ
graft-incompatible,પેન અસંગત
granna,ગ્રેના
granulation,દાણાદાર
green manure,લીલું ખાતર
green revolution,હરિયાળી ક્રાંતિ
growth and development,વૃદ્ધિ અને વિકાસ
gummosis,1. ગમ રોગ
gynodioecious,વિષમલિંગી
habit,1. પ્રકૃતિ 2. પ્રકૃતિ 3. રૂપગુણ 4. દેખાવ
hail,1. ઓલા 2. કરકપાટ 3. કાર્કા
hairyvetch,રોમિલવોચ
halophyte,ખારા ફોલ્લો
harrow,હેરો
harvest index,1. હાર્વેસ્ટિંગ ઈન્ડેક્સ 2. હાર્વેસ્ટિંગ ઈન્ડેક્સ
harvest,1. લણણી 2. લણણી કરેલ પાક 3. સમાપ્ત પાક 4. ઉપજ
harvesting,1. તોડવું 2. લણણી 3. તોડવું
hatch,1. એગ લેઇંગ 2. એગ ફોર્સ
hay,સૂકું ઘાસ
haylage,શુષ્ક ફીડ
haystock,ગંજી
haze,ઝાકળ
hazy,ધૂંધળું
head (Agro),1. બાલી 2. સિત્ત 3. મુંડક 4. ટોપ 5. હેડ 6. સિરા
head (of channel),ખાંચનો અંત
heading back,ટોચ કાપણી
hedge,વાડ
hedging,કસ્ટડીમાં
helix,કુંડલિની
hematite,હેમેટાઇટ
herb,1. ઔષધિ 2. ઔષધિ
herbarium,1.બોટનિકલ કલેક્શન 2.બોટનિકલ મ્યુઝિયમ
herbicide,હર્બિસાઇડ
heredity,આનુવંશિકતા
