Odiya,English
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,applied geometry
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,applied mathematics
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,applied statistics
ପାଖାପାଖି,approximately
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,approximately continuous function
ଆନୁମାନିକ ପଦ୍ଧତି |,approximate method
ଆନୁମାନିକ ସମାଧାନ,approximate solution
ଆନୁମାନିକ ସମସ୍ୟା,approximation problem
ଆନୁମାନିକ ସମ୍ପତ୍ତି,approximation property
ଦକ୍ଷତା ପରୀକ୍ଷା ବ୍ୟାଟେରୀ |,aptitude test battery
ଅର୍ଗାନ୍ ଚିତ୍ର |,Argand diagram
ମନଇଚ୍ଛା ମନୋନୀତ |,arbitrarily chosen
ଇଚ୍ଛାଧୀନ |,arbitrary
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,arbitrary constant
ଇଚ୍ଛାଧୀନ ଉପାଦାନ |,arbitrary element
ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |,arbitrary point
ଆର୍କେମିଡିଆନ୍ ନିୟମ |,Archemedean law
ଆର୍କିମିଡିସ୍ ନୀତି |,Archimedes principle
ଆର୍କ ଲମ୍ବ |,arc length
ବୃତ୍ତର ଆର୍କ |,arc of circle
ଆର୍କ ସାଇନ ବଣ୍ଟନ |,arc sine distribution
ଆର୍କ ସାଇନ ପରିବର୍ତ୍ତନ,arc sine transformation
କ୍ଷେତ୍ର,area
ଆରେଲ୍ ଟେକ୍ସଚର୍ |,areal texture
ଜଟିଳ ସଂଖ୍ୟାର ଯୁକ୍ତି,argument of complex number
ଗାଣିତିକ ଅର୍ଥ |,arithmetic mean
ଗାଣିତିକ କାର୍ଯ୍ୟ,arithmetic operation
ଗାଣିତିକ ଏକକ,arithmetic unit
ବ୍ୟବସ୍ଥା,arrangement
ଆରେ,array
କୃତ୍ରିମ ଉପଗ୍ରହ |,artificial satellite
କୃତ୍ରିମ ଭେରିଏବଲ୍ |,artificial variable
ଆରୋହଣ,ascend
ଆରୋହଣ,ascending
ତୀବ୍ରତାର କ୍ରମ,ascending order of magnitude
ଆରୋହଣ କ୍ରମ |,ascending series
ଏକତ୍ରକାରୀ ଭାଷା |,assembler language
ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା,assignment problem
ସହଯୋଗୀ ନିୟମ |,associative law
ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |,associative law of operators
ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |,associative operation
ସହଯୋଗୀତା |,associativity
ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |,assumed mean
ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |,assumed probability distribution
ଅନୁମାନ,assumption
ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର,astrology
ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର,astronautical engineer
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ,astronomer
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |,astronomical clock
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,astronomy
ଅସୀମିତ ବକ୍ର,asymmetrical curve
ଅସୀମତା |,asymmetry
asymptote,asymptote
ଅସ୍ମିପଟୋଟିକ୍ |,asymptotic
ଅସାମାଜିକ ଭାବରେ ଦକ୍ଷ ଆକଳନକାରୀ |,asymptotically efficient estimator
ଅସାମାଜିକ ଭାବରେ ନିରପେକ୍ଷ ଆକଳନକାରୀ |,asymptotically unbiased estimator
ଅସ୍ମିତିକ ଆଚରଣ |,asymptotic behavior
ଅସ୍ମିପଟୋଟିକ୍ ବଣ୍ଟନ କାର୍ଯ୍ୟ |,asymptotic distribution function
ଅସ୍ମିପଟୋଟିକ୍ ବିସ୍ତାର |,asymptotic expansion
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,atmospheric pressure
ଅନିୟମିତତାରେ |,at random
ଗୁଣ,attribute
ଗୁଣବତ୍ତା ନମୁନା ପ୍ରକ୍ରିୟା,attributes sampling procedure
ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ,augmented matrix
ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,autocorrelation coefficient
ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍,autocorrelation function
ଅଟୋକୋଭାରିଆନ୍ସ |,autocovariance
ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |,automatic computer
ଆତ୍ମସମ୍ମାନ,autoregression
ସହାୟକ ସମୀକରଣ,auxiliary equation
ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (ASN ବକ୍ର),average sample number curve (A.S.N. Curve)
axiom,axiom
ସ୍ୱୀକୃତିପ୍ରାପ୍ତ ଉପାୟ |,axiomatic approach
ସମ୍ଭାବ୍ୟତାର axiom |,axiom of probability
ଅକ୍ଷ,axis
ଅବସିସା ର ଅକ୍ଷ |,axis of abscissa
ପୃଥିବୀର ଅକ୍ଷ,axis of earth
ବିପ୍ଳବର ଅକ୍ଷ,axis of revolution
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,axis of rotation
ସ୍ପିନ୍ ର ଅକ୍ଷ |,axis of spin
ବ୍ୟାକ୍-ପ୍ରତିସ୍ଥାପନ,back-substitution
ପଛୁଆ ପାର୍ଥକ୍ୟ |,backward difference
ପଛୁଆ-ଇଣ୍ଟରପୋଲେସନ୍ ସୂତ୍ର |,backward-interpolation formula
ସନ୍ତୁଳନ,balance
ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |,balanced design
ତୂଳନା ପତ୍ର,balance sheet
ବାଲିଷ୍ଟିକ୍ କ୍ଷେପଣାସ୍ତ୍ର |,ballistic missile
ବାଲିଷ୍ଟିକ୍,ballistics
ଦଣ୍ଡିକା,bar
ଆଧାର,base
ମୂଳ କୋଣ,base angle
ଲୋଗାରିଦମର ଆଧାର |,base of logarithm
ମ basic ଳିକ,basic
ମ basic ଳିକ ସମ୍ଭାବ୍ୟ ସମାଧାନ |,basic feasible solution
ମ basic ଳିକ ସମାଧାନ |,basic solution
ମ basic ଳିକ ଭେରିଏବଲ୍ |,basic variable
ଆଧାର,basis
ଆଧାର ଉପାଦାନ |,basis element
ଆଧାର ମ୍ୟାଟ୍ରିକ୍ସ |,basis matrix
ଏକ ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |,basis of a vector space
ସବ୍ ସ୍ପେସ୍ ର ଆଧାର |,basis of subspace
ବାଏସିଆନ୍ ଆକଳନ |,Bayesian estimate
ବାଇସ୍ ନିୟମ |,Bayes' law
ବାଇସ୍ ଥିଓରେମ୍ |,Bayes' theorem
ବର୍ନୁଲି ବଣ୍ଟନ |,Bernoulli distribution
ବର୍ନୁଲି ସଂଖ୍ୟା |,Bernoulli number
ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |,Bernoulli probability function
ବର୍ନୁଲିଙ୍କ ସମୀକରଣ |,Bernoulli's equation
ବେରୀ କାର୍ଯ୍ୟ,Berry function
ସର୍ବୋତ୍ତମ ଫିଟ୍ |,best fit
ସର୍ବୋତ୍ତମ - ଫିଟ୍ ଲାଇନ୍ |,best - fit line
ସର୍ବୋତ୍ତମ ସମାଧାନ |,best solution
ସର୍ବୋତ୍ତମ ରଣନୀତି |,best strategies
ବିଟା ବଣ୍ଟନ |,beta distribution
ପକ୍ଷପାତ,bias
ପକ୍ଷପାତ ଅନୁମାନ |,biased estimate
ବିହାରମୋନିକ୍ ସମୀକରଣ |,biharmonic equation
bijection,bijection
ବାୟଜେକ୍ଟିଭ୍ ମାନଚିତ୍ର,bijective map
ବାୟଜେକ୍ଟିଭ୍ ମ୍ୟାପିଙ୍ଗ୍ |,bijective mapping
ବିଲିନାର୍ ଫର୍ମ |,bilinear form
ବିଲିନାର୍ ଫଙ୍କସନ୍,bilinear function
ବିଲିନାର୍ ହର୍ମିଟିଆନ୍ ଫର୍ମ |,bilinear Hermitian form
ବାଇନାରୀ,binary
ବାଇନାରୀ କୋଡ୍ |,binary code
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |,binary coded decimal
ବାଇନାରୀ କୋଡିଂ |,binary coding
ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |,binary computer
ବାଇନାରୀ ଅଙ୍କ,binary digit
ବାଇନାରୀ ଅପରେସନ୍ |,binary operation
ବାଇନାରୀ ସିଷ୍ଟମ୍ |,binary system
ବାଇନାରୀ ଭେରିଏବଲ୍ |,binary variable
ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |,binomial coefficient
ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,binomial distribution
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,binomial equation
ଦ୍ୱିପାକ୍ଷିକ ବିସ୍ତାର |,binomial expansion
ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |,binomial expression
ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |,binomial random variable
ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |,binomial theorem
ବିଭାଜନ,bisection
ବିଭାଜନ ପଦ୍ଧତି |,bisection method
bisector,bisector
ଦ୍ୱିପାକ୍ଷିକ |,biserial
ବିଟ୍,bit
ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,bivariate binomial distribution
ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |,bivariate correlation coefficient
ବିଭାରିଏଟ୍ ବଣ୍ଟନ |,bivariate distribution
ସାଧାରଣ ବଣ୍ଟନ,bivariate normal distribution
ବିଭେକ୍ଟର୍ |,bivector
ବୋଲ୍ଟଜମାନ୍ ସମୀକରଣ |,Boltzmann equation
ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା |,Boolean algebra
ବୋଷ - ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |,Bose - Einstein statistics
ସୀମା ଅବସ୍ଥା,boundary condition
ସୀମା ସ୍ତର |,boundary layer
ସୀମା ରେଖା |,boundary line
ସୀମା ମୂଲ୍ୟ,boundary value
ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |,boundary value problem
ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ,bounded function
ସୀମିତ ମାଟ୍ରିକ୍ସ |,bounded matrix
ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ |,bounded region
ସୀମାବଦ୍ଧ ସେଟ୍ |,bounded set
ବ୍ରାଉନିଆନ୍ ଗତି |,Brownian motion
ଗଣନା କର,calculate
ଗଣନା,calculating
ଗଣନା ଯନ୍ତ୍ର,calculating machine
ଗଣନା,calculation
ଗଣନା ପ୍ରଣାଳୀ,calculational procedure
କାଲକୁଲେଟର,calculator
ଗଣନା,calculus
ପରିବର୍ତ୍ତନର ଗଣନା,calculus of variation
କ୍ୟାଲୋରୀ,calorie
ବାତିଲ ନିୟମ,cancellation law
କାନୋନିକାଲ୍ ସମୀକରଣ |,canonical equation
କାନୋନିକାଲ୍ ଫର୍ମ |,canonical form
କାନୋନିକାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,canonical matrix
କ୍ୟାଣ୍ଟର ସେଟ୍ |,Cantor set
କ୍ୟାଣ୍ଟରର ଟର୍ନାରୀ ସେଟ୍ |,Cantor's ternary set
କ୍ଷମତା ସମ୍ପନ୍ନ ପରିବହନ ସମସ୍ୟା |,capacitated transportation problem
କ୍ଷମତା,capacity
କ୍ୟାପିଲାରୀ ଫୋର୍ସ |,capillary force
କାର୍ଡିନାଲ୍ ସଂଖ୍ୟା,cardinal number
କାର୍ଟେସିଆନ୍ କୁମ୍ଭ |,Cartesian axes
କାର୍ଟେସିଆନ୍ ସଂଯୋଜନା |,Cartesian coordinates
କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |,Cartesian product
ସେଟ୍ ର କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |,Cartesian product of sets
କେସ୍ ଷ୍ଟଡି |,case study
ବିପର୍ଯ୍ୟସ୍ତ ପରିବର୍ତ୍ତନ,catastrophic fluctuation
କ୍ୟାଟେନାରୀ |,Catenary
କାଚି ବଣ୍ଟନ |,Cauchy distribution
କାଚି ସୂତ୍ର |,Cauchy formula
କାଚି ଗୁରସାଟ ଥିଓରେମ୍ |,Cauchy Goursat theorem
କାଚି ରିମାନ୍ ଅବସ୍ଥା |,Cauchy Riemann conditions
କାଚି କ୍ରମ |,Cauchy sequence
କାଚି ଇଣ୍ଟିଗ୍ରାଲ୍ |,Cauchy integral
କାଚି ମୁଖ୍ୟ ମୂଲ୍ୟ |,Cauchy principal value
କାଚି ଅବଶିଷ୍ଟ ଥିଓରେମ୍ |,Cauchy residue theorem
କେଲେ ହାମିଲଟନ୍ ଥିଓରେମ୍ |,Cayley Hamilton theorem
ସ୍ୱର୍ଗୀୟ ଶରୀର |,celestial body
ସ୍ୱର୍ଗୀୟ ମାପ,celestial measurement
ସ୍ୱର୍ଗୀୟ ଯାନ୍ତ୍ରିକ,celestial mechanics
ସ୍ୱର୍ଗୀୟ ବସ୍ତୁ |,celestial object
କକ୍ଷ ଫ୍ରିକ୍ୱେନ୍ସି |,cell frequency
ଜନଗଣନା,census
ସେଣ୍ଟିଲ୍ |,centile
ସେଣ୍ଟିମିଟର |,centimeter
ସେଣ୍ଟିମିଟର ଗ୍ରାମ୍ ଦ୍ୱିତୀୟ ସିଷ୍ଟମ୍ |,centimeter gram second system
କେନ୍ଦ୍ରୀୟ |,central
କେନ୍ଦ୍ରୀୟ ଅକ୍ଷ,central axis
କେନ୍ଦ୍ରୀୟ ପାର୍ଥକ୍ୟ |,central difference
କେନ୍ଦ୍ରୀୟ ପାର୍ଥକ୍ୟ ସୂତ୍ର |,central difference formula
କେନ୍ଦ୍ରୀୟ ପାର୍ଥକ୍ୟ ସାରଣୀ |,central difference table
କେନ୍ଦ୍ରୀୟ ସୀମା ଥିଓରେମ୍ |,central limit theorem
କେନ୍ଦ୍ରୀୟ ମୁହୂର୍ତ୍ତ |,central moment
କେନ୍ଦ୍ରୀୟ ପ୍ରକ୍ରିୟାକରଣ ଏକକ (CPU),central processing unit (C.P.U)
କେନ୍ଦ୍ରୀୟ ପ୍ରବୃତ୍ତି |,central tendency
କେନ୍ଦ୍ର,centre
ମାଧ୍ୟାକର୍ଷଣ କେନ୍ଦ୍ର |,centre of gravity
ଗୋଷ୍ଠୀର କେନ୍ଦ୍ର |,centre of group
ଜନତା କେନ୍ଦ୍ର |,centre of mass
ସମୃଦ୍ଧତାର କେନ୍ଦ୍ର |,centre of symmetry
ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ଫୋର୍ସ |,centrifugal force
ସେଣ୍ଟ୍ରିପେଟାଲ୍ ଫୋର୍ସ |,centripetal force
ସେଣ୍ଟ୍ରଏଡ୍,centroid
ନିଶ୍ଚିତତା,certainty
cgs ସିଷ୍ଟମ୍ |,c.g.s. system
cgs ଏକକ,c.g.s. unit
ଭିନ୍ନତାର ଶୃଙ୍ଖଳା ନିୟମ |,chain rule of differentiation
ସୁଯୋଗ କାରଣ,chance causes
ସୁଯୋଗ ଗତି କରେ |,chance moves
କୁମ୍ଭଗୁଡ଼ିକର ପରିବର୍ତ୍ତନ,change of axes
ଆଧାର ପରିବର୍ତ୍ତନ,change of basis
କ୍ରମ ପରିବର୍ତ୍ତନ,change of order
ବ character ଶିଷ୍ଟ୍ୟ ଗୁଣବତ୍ତା,characteristic coefficient
ନିର୍ଣ୍ଣୟକାରୀ,determinant
ବ character ଶିଷ୍ଟ୍ୟ ସମୀକରଣ,characteristic equation
ଚରିତ୍ରଗତ କାର୍ଯ୍ୟ,characteristic function
ଲୋଗାରିଦମର ଚରିତ୍ର |,characteristic of logarithm
ଚରିତ୍ରିକ ବହୁଭୂତ |,characteristic polynomial
ଚରିତ୍ରିକ ମୂଲ୍ୟ,characteristic value
ଚରିତ୍ର ଭେକ୍ଟର୍ |,characteristic vector
ବର୍ଣ୍ଣ ସେଟ୍ |,character set
ଚାର୍ଟ,chart
ଚି-ବର୍ଗ ବଣ୍ଟନ |,chi-square distribution
ଚି-ବର୍ଗ ସୂତ୍ର |,chi-square formula
ଚି-ବର୍ଗ ପରୀକ୍ଷା |,chi-square test
ଧ୍ୱନି,chord
କୋର୍ଡ-ବିସେକସନ ପଦ୍ଧତି |,chord-bisection method
ସାଇଫର୍ ବାର୍ତ୍ତା (= କୋଡ୍ ହୋଇଥିବା ବାର୍ତ୍ତା),cipher message (=coded message)
ସାଇଫର୍ (ଶୂନ),cipher (zero)
ବୃତ୍ତ,circle
ସମ୍ମିଶ୍ରଣର ବୃତ୍ତ |,circle of convergence
ସର୍କିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,circuit matrix
ବୃତ୍ତାକାର |,circular
ବୃତ୍ତାକାର ଅସ୍ମପଟ୍ଟ |,circular asymptote
ବୃତ୍ତାକାର ହେଲିକ୍ସ |,circular helix
ବୃତ୍ତାକାର ଗତି |,circular motion
ସୁନ୍ନତ,circumcentre
ସୁନ୍ନତ,circumcircle
ସର୍କୁସ୍କ୍ରିପ୍ କରନ୍ତୁ |,circumscribe
ସର୍କୁକ୍ରାଇଡ୍ |,circumscribed
ସର୍କୁକ୍ରାଇଡ୍ ସର୍କଲ୍ |,circumscribed circle
ଶାସ୍ତ୍ରୀୟ deductive କ que ଶଳ |,classical deductive technique
ଶାସ୍ତ୍ରୀୟ ଗତିଶୀଳତା |,classical dynamics
ଶାସ୍ତ୍ରୀୟ ଅପ୍ଟିମାଇଜେସନ୍ |,classical optimization
ଶାସ୍ତ୍ରୀୟ ଧ୍ୱଂସ ସମସ୍ୟା |,classical ruin problem
ଶାସ୍ତ୍ରୀୟ ପରିସଂଖ୍ୟାନ ଯାନ୍ତ୍ରିକ |,classical statistical mechanics
ତ୍ରୁଟିର ଶ୍ରେଣୀକରଣ,classification of errors
ଶ୍ରେଣୀ ବ୍ୟବଧାନ,class interval
ଶ୍ରେଣୀ-ବ୍ୟବଧାନ ଏକକ |,class-interval unit
ଶ୍ରେଣୀ ସୀମା,class limit
ଘଣ୍ଟା ବୁଲାଇ |,clockwise
clopen (= ବନ୍ଦ ଏବଂ ଖୋଲା),clopen (= closed and open)
ବନ୍ଦ |,closed
ବନ୍ଦ କନଭକ୍ସ ହଲ୍ |,closed convex hull
ବନ୍ଦ କ୍ୟୁବ୍ |,closed cube
ବନ୍ଦ ବକ୍ର,closed curve
ବନ୍ଦ ଡୋମେନ୍ |,closed domain
ବନ୍ଦ ଚିତ୍ର,closed figure
ବନ୍ଦ ବ୍ୟବଧାନ |,closed interval
ବନ୍ଦ ଅଞ୍ଚଳ |,closed region
ବନ୍ଦ ସେଟ୍ |,closed set
ବନ୍ଦ ପୃଷ୍ଠ,closed surface
ବନ୍ଦ,closure
ବନ୍ଦ ଅପରେଟର |,closure operator
ବନ୍ଦ ବିନ୍ଦୁ (= ଯୋଗାଯୋଗ ବିନ୍ଦୁ),closure point (= contact point)
ବନ୍ଦ ଡାକରା,closure postulate
ବନ୍ଦ ସେଟ୍ |,closure set
କ୍ଲଷ୍ଟର ବିନ୍ଦୁ |,cluster point
କ୍ଲଷ୍ଟର ନମୁନା,cluster sampling
କ୍ଲଷ୍ଟର ସେଟ୍ |,cluster set
