Telugu,Tamil
ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ),காப்பகம் (=காப்பக சேகரிப்பு)
ఆర్కిపిస్కోపేట్,ஆர்க்கிபிஸ்கோபேட்
దొర,பிரபுத்துவம்
దొర,பிரபு
కులీన స్నోబరీ,பிரபுத்துவ ஸ்னோபரி
అరిస్టాటిలియన్,அரிஸ்டாட்டிலியன்
ఆర్మడ,அர்மடா
ఆర్మడ (=ది స్పానిష్ ఆర్మడ),அர்மடா (=ஸ்பானிய அர்மடா)
ఆయుధాగాడు (=ఆయుధాకారుడు),கவசக்காரர் (=கவசக்காரர்)
కవచం (=కవచం),கவசம் (=கவசம்)
ఆయుధాగాడు,ஆயுதக்கடைக்காரர்
ఆర్యన్,ஆர்யன்
ఆర్యన్,ஆர்யன்
అస్కారి,அஸ்காரி
కేటాయించండి,ஒதுக்கு
అసైజ్ చేయండి,உதவு
అసైజ్ చేయండి,உதவு
అసైజ్ చేయండి,உதவு
అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్,ஆயுதச் சட்டம்
డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్,அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்
మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్,மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்
అసైజ్ ఆఫ్ నవల డిస్సీసిన్,நாவல் Disseisin Assize
దారుణం,கொடுமை
దాడి,தாக்குதல்
ఆలిక్ కౌన్సిల్,ஆலிக் கவுன்சில்
గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి),கோடரியின் கோடாரி (=கெடெஸ் கோடாரி)
యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్),அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு)
బాబిలోన్,பாபிலோன்
బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా),பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு)
బచ్చనాల్ భక్తుడు,பச்சனல் பக்தர்
బచ్చనాలియా,பச்சனாலியா
బ్రహ్మచారి,இளங்கலை
బాగ్దాద్ ఒప్పందం,பாக்தாத் ஒப்பந்தம்
బాల్కన్ లీగ్,பால்கன் லீக்
బాల్కన్ ఒప్పందం,பால்கன் ஒப்பந்தம்
బాల్కన్ యుద్ధాలు,பால்கன் போர்கள்
బాల్టిక్ ఒప్పందం,பால்டிக் ஒப்பந்தம்
బందిపోటు,கொள்ளைக்காரன்
బాండుంగ్ కాన్ఫరెన్స్,பாண்டுங் மாநாடு
బహిష్కరణ,நாடுகடத்தல்
బ్యానర్,பதாகை
బార్బేరియన్,காட்டுமிராண்டித்தனம்
బార్బికన్,பார்பிகன்
బార్డోలీ సత్యాగ్రహం,பர்தோலி சத்தியாகிரகம்
బార్న్ బర్నర్స్,பார்ன் பர்னர்ஸ்
బారన్,பரோன்
బారోనేజ్,பாரோனேஜ்
బారోన్స్ మేజర్లు,பரோன்ஸ் மேஜர்கள்
బారోన్స్ మైనర్లు,பரோன்ஸ் மைனர்கள்
బారోనెస్,பரோனஸ்
బారోనెట్,பரோனெட்
బారోనెటేజ్,பரோனேடேஜ்
బారోనెటేజ్,பரோனேடேஜ்
బారోనెట్సీ,பேரோனெட்டி
బారోనీ,பேரோனி
బారకూన్,பாராகூன்
బారకూన్,பாராகூன்
బారికేడ్ (=బారికాడో),தடுப்பு (=பேரிகாடோ)
బారికేడ్ (=బారికాడో),தடுப்பு (=பேரிகாடோ)
బారికేడ్ (=బారికాడో),தடுப்பு (=பேரிகாடோ)
మూల శిబిరం,அடிப்படை முகாம்
బసిలికా,பேராலயம்
బసిలికా,பேராலயம்
బస్తీలా,பஸ்திலா
బాస్టిల్,பாஸ்டில்
బాస్టిల్,பாஸ்டில்
బ్యాటరీ,மின்கலம்
యుద్ధం,போர்
బాటిల్-అరే,போர்-வரிசை
యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు,யுத்த அழுகுரல்
బాటిల్ డిన్,போர் டின்
యుద్ధ క్షేత్రం,போர்க்களம்
యుద్ధ శ్లోకం,போர் பாடல்
స్పర్స్ యుద్ధం,ஸ்பர்ஸ் போர்
స్టాండర్డ్ యుద్ధం,ஸ்டாண்டர்ட் போர்
యుద్ధనౌక,போர்க்கப்பல்
యుద్ధనౌక-బలం,போர்க்கப்பல்-வலிமை
Bayeux వస్త్రం,பேயுக்ஸ் சீலை
బెకన్,கலங்கரை விளக்கம்
బెకన్ టవర్,கலங்கரை விளக்கம் கோபுரம்
బీవర్,பீவர்
బీవర్,பீவர்
సముద్రపు బిచ్చగాళ్ళు,கடலின் பிச்சைக்காரர்கள்
బెల్లికోస్,பெல்லிகோஸ்
బెల్లికోస్,பெல்லிகோஸ்
బెల్లికోస్,பெல்லிகோஸ்
బెల్లికోసిటీ,பெல்கோசிட்டி
బెలోనా,பெல்லோனா
ప్రయోజనం,நன்மை
మతపెద్దల వల్ల ప్రయోజనం,குருமார்களின் பலன்
బెనెలక్స్,பெனலக்ஸ்
బెర్లిన్ డిక్రీ,பெர்லின் ஆணை
బెర్సెర్కర్,பெர்சர்கர்
బెసెంట్ (=బెజాంట్),பெசன்ட் (=பெசண்ட்)
బేతేలు,பெத்தேல்
గ్రంథకర్త,நூலாசிரியர்
గ్రంథారాధన,புத்தக வழிபாடு
బిగ్ బెర్తా,பெரிய பெர்தா
మతోన్మాదుడు,மதவெறி
బిల్లేటింగ్,பில்லெட்டிங்
అటెయిండర్ బిల్లు,பில்
హక్కుల చట్టం,உரிமைகள் மசோதா
జీవిత చరిత్ర రచయిత,வாழ்க்கை வரலாற்றாசிரியர்
జన్మ కథలు,பிறப்பு கதைகள்
తాత్కాలిక శిబిరం,Bivouac
తాత్కాలిక శిబిరం,Bivouac
తాత్కాలిక శిబిరం,Bivouac
బిజోనియా,பிசோனியா
బ్లాక్ బర్డింగ్,கருப்பு பறவைகள்
నల్ల జండా,கருப்பு கொடி
కృష్ణ బిలం,கருந்துளை
కృష్ణ బిలం,கருந்துளை
నల్ల కాలు (=స్కాబ్),கருப்பு கால் (=சிரங்கு)
నల్ల చొక్కా,கருப்பு சட்டை
బ్లజోన్,பிளேசன்
బ్లజోన్,பிளேசன்
బ్లేజోన్రీ,பிரகாசம்
బ్లజోన్రీ,பிரகாசம்
బ్లిట్జ్‌క్రీగ్,பிளிட்ஸ்கிரீக்
రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్),இரத்தமில்லாத புரட்சி (=புகழ்பெற்ற புரட்சி)
బ్లడ్వైట్,இரத்தம் கொண்டவர்
బ్లడీ మేరీ,ப்ளடி மேரி
నీలం,நீலம்
నీలం రక్తం,நீல இரத்தம்
నీలి పుస్తకం,நீல புத்தகம்
నీలం రంగు రిబ్బన్,நீல தலைப்பட்டை
నీలం రంగు రిబ్బన్,நீல தலைப்பட்டை
బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్),ப்ளூஸ் (=ராயல் குதிரை காவலர்கள்)
నీలం చొక్కా,நீல நிற சட்டை
బ్లూ వాటర్ స్కూల్,நீல நீர் பள்ளி
బోర్డ్ ఆఫ్ కంట్రోల్,கட்டுப்பாட்டு வாரியம்
శరీర కవచం,உடல் கவசம்
బోయర్,போயர்
దోపిడి,கொள்ளை
బరో,பெருநகரம்
బౌల్యూటేరియన్,பவுல்யூடெரியன்
బోర్బన్,போர்பன்
బాక్సర్ తిరుగుబాటు,குத்துச்சண்டை வீரர் கிளர்ச்சி
బ్రేస్,பிரேஸ்
బ్రాస్సార్డ్,பிராசர்ட்
బ్రాస్సార్డ్,பிராசர்ட்
బ్రెడ్ కాలనీలు,ரொட்டி காலனிகள்
బ్రెస్ట్ ప్లేట్,மார்பக தட்டு
రొమ్ము పని,மார்பக வேலை
బ్రెట్వాల్డా,ப்ரெட்வால்டா
బ్రిగాండ్,பிரிகாண்ட்
బ్రిగేండేజ్,பிரிகாண்டேஜ்
బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్,பிரிட்டிஷ் காமன்வெல்த் நாடுகள்
బ్రౌన్ షర్ట్స్ (=నాజీలు),பிரவுன் ஷர்ட்ஸ் (=நாஜிக்கள்)
బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్),பிரஸ்ஸல்ஸ் உடன்படிக்கை (ஒப்பந்தம்) அமைப்பு (=மேற்கு ஐரோப்பிய ஒன்றியம்)
యెదురు,பஃப்
యెదురు,பஃப்
బఫ్-కోటు,பஃப்-கோட்
బఫ్స్,பஃப்ஸ்
బులే (=మండలి),புலே (=சபை)
బర్గేజ్,பர்கேஜ்
బర్గెస్,பர்கெஸ்
బైజాంటైన్,பைசண்டைன்
బైజాంటైన్ చర్చి,பைசண்டைன் தேவாலயம்
బైజాంటైన్ సామ్రాజ్యం,பைசண்டைன் பேரரசு
బైజాంటైన్ యుగం,பைசண்டைன் சகாப்தம்
బైజాంటైన్ చరిత్రకారులు,பைசண்டைன் வரலாற்றாசிரியர்கள்
కాబాల్,கபால்
సీజరిజం,சீசரிசம்
ఖలీఫ్,கலீஃபா
కాలిగ్రాఫర్,எழுத்தாளன்
కాలిగ్రాఫిస్ట్,கையெழுத்து எழுதுபவர்
కాలిగ్రఫీ,எழுத்துக்கலை
కాల్ట్రాప్,கால்ட்ராப்
సాహచర్యం,தோழமை
కమరిల్లా,கேமரிலா
కమరిల్లా,கேமரிலா
కామెలాకమ్,கேமலாகம்
మభ్యపెట్టడం,உருமறைப்பு
ప్రచారం,பிரச்சாரம்
క్యాంపు అనుచరుడు,முகாம் பின்பற்றுபவர்
కాంపో శాంటో,காம்போ சாண்டோ
క్యాంపస్ మార్టియస్,மார்டியஸ் வளாகம்
కనెఫోరా,கேனபோரா
కంగు,கங்கு
ఫిరంగి,பீரங்கி
ఫిరంగి మేత,பீரங்கி தீவனம்
కానన్,நியதி
కానన్ చట్టం,நியதி சட்டம்
కానోపస్ డిక్రీ,கனோபஸ் ஆணை
ఆయుధాలు పట్టుకోవడం,ஆயுதங்களை ஏந்துதல்
బందీ,கைதி
కాప్టర్,பிடிப்பவன்
కార్డినల్,கார்டினல்
కార్ల్,கார்ல்
కరోలింగియన్ రాజవంశం,கரோலிங்கியன் வம்சம்
కార్తుసియన్ శాఖ,கார்த்தூசியன் பிரிவு
కార్టోసా,கார்டோசா
కాస్టేలియన్,காஸ்ட்லியன்
కాస్టేలియన్,காஸ்ட்லியன்
కుల వ్యవస్థ,சாதி அமைப்பு
కోట,கோட்டை
కోట,கோட்டை
కోట పట్టణం,கோட்டை நகரம்
కాస్ట్రా,காஸ்ட்ரா
కాస్ట్రా,காஸ்ட்ரா
కేథడ్రా,கதீட்ரா
కేథడ్రల్,கதீட்ரல்
కాటో స్ట్రీట్ కుట్ర,கேட்டோ ஸ்ட்ரீட் சதி
కౌడిల్లో,காடிலோ
కావలీర్,காவலர்
కావలీర్,காவலர்
కావలీర్ పార్లమెంట్,கவாலியர் பாராளுமன்றம்
అదుల్లాం గుహ,அதுலாம் குகை
గుహ పెయింటింగ్,குகை ஓவியம்
గుహ పెయింటింగ్,குகை ஓவியம்
సెంటంవిర్,சென்டம்விர்
సెంచూరియన్,செஞ்சுரியன்
సెంచరీ,நூற்றாண்டு
చైన్ ఆర్మర్ (=చైన్ మెయిల్),சங்கிலி கவசம் (=செயின் மெயில்)
చాంట్రీ,சாந்த்ரி
చాంట్రీ,சாந்த்ரி
చాప్ పుస్తకం,அத்தியாய புத்தகம்
చాప్లిన్,சாப்ளின்
అధ్యాయం,அத்தியாயம்
ప్రమాదాల అధ్యాయం,விபத்துகளின் அத்தியாயம்
ఆరోపణ,கட்டணம்
ఛార్జ్ డి&#39;ఎఫైర్స్,பொறுப்பாளர்கள்
ఛార్జ్ విడిపోవడం,கட்டணம் பிரித்தல்
ఛార్జర్,சார்ஜர்
రథము,தேர்
రథసారధి,தேரோட்டி
రథసారధి,தேரோட்டி
రథసారధి,தேரோட்டி
ఛారిటీ వంటగది,தொண்டு சமையலறை
చార్టర్,சாசனம்
చార్టిస్ట్ ఉద్యమం (=చార్టిజం),சார்டிஸ்ட் இயக்கம் (=சார்டிசம்)
చార్టోఫిలాసియం,சார்ட்டோபிலாசியம்
చాటౌ,அரட்டை
చెక్ పోస్ట్,செக் போஸ்ட்
రసాయన యుద్ధం,இரசாயனப் போர்
చెస్టర్,செஸ்டர்
చీఫ్,முதல்வர்
అధిపతి,தலைவன்
అధిపతి,தலைவன்
అధిపతి,தலைவன்
షిఫాన్,சிஃப்பான்
శూరత్వం,வீரம்
ఎంచుకున్న వ్యక్తులు,தேர்ந்தெடுக்கப்பட்ட மக்கள்
క్రిస్మోగ్రఫీ,கிறிஸ்மோகிராஃபியன்
క్రైస్తవమత సామ్రాజ్యం,கிறிஸ்தவமண்டலம்
క్రైస్తవ యుగం,கிறிஸ்தவ சகாப்தம்
క్రిస్టియన్ సోషలిజం,கிறிஸ்தவ சோசலிசம்
క్రానికల్,நாளாகமம்
క్రానికల్,க்ரோனிக்லர்
Chryse Chersonese,கிரைஸ் செர்சோனீஸ்
సిమిలియం,சிமிலியம்
సింక్వెసెంటో స్టైల్,Cinquecento உடை
ప్రదక్షిణ,சுற்றறிக்கை
సిస్టెర్సియన్ సన్యాసి,சிஸ்டர்சியன் துறவி
కోట,கோட்டை
అనులేఖనం,மேற்கோள்
అనులేఖనం,மேற்கோள்
శాసన ఉల్లంఘన,கீழ்ப்படியாமை
పౌర యుద్ధం,உள்நாட்டுப் போர்
సివిస్ రోమనస్,சிவிஸ் ரோமானஸ்
సాంప్రదాయ వయస్సు,கிளாசிக்கல் வயது
క్లెఫ్ట్ (=క్లెఫ్ట్),கிளெஃப்ட் (=கிளெஃப்ட்)
మతాధికారం,மதகுருத்துவம்
క్లర్చ్,மதகுரு
క్లినియాక్ ఉద్యమం,க்ளூனியாக் இயக்கம்
కోటు కవచం,கோட் கவசம்
కోట్ ఆఫ్ ఆర్మ్స్,கோட் ஆஃப் ஆர்ம்ஸ்
కోట్ ఆఫ్ ఆర్మ్స్,கோட் ஆஃப் ஆர்ம்ஸ்
కోట్ ఆఫ్ ఆర్మ్స్,கோட் ஆஃப் ஆர்ம்ஸ்
కోట్ ఆఫ్ మెయిల్,அஞ்சல் கோட்
కోహోర్ట్,கோஹார்ட்
కమిటియా,கொமிடியா
కమిటియా సెంచురియాటా,கொமிடியா செஞ்சுரியாட்டா
కమిటియా క్యూరియాటా,கொமிடியா குரியாட்டா
కమిటియా ట్రిబ్యూటా,கமிட்டியா திரிபுட்டா
స్మారక వంపు,நினைவு வளைவு
స్మారక నాణెం,நினைவு நாணயம்
స్మారక ముద్ర,நினைவு முத்திரை
సాధారణ క్షేత్రం,பொதுவான புலம்
కమ్యూనార్డ్,கம்யூனார்ட்
కాంకోర్డాట్,கான்கார்டாட்
కాంకోర్డాట్,கான்கார்டாட்
కండోటియర్,காண்டோட்டியர்
నిర్ధారణ కార్టరమ్,உறுதிப்படுத்தல் கார்டரம்
సంఘర్షణ,மோதல்
సభ,சபை
రాష్ట్రాన్ని జయించడం,மாநிலத்தை வென்றது
విజేత,வெற்றியாளர்
విజేత,வெற்றியாளர்
కన్సిలియం,கான்சிலியம்
క్రమబద్ధమైన,கன்சிஸ்டரி
కుట్ర,சதி
కుట్ర,சதி
కాన్సులేట్,துாதரகம்
సలహా పుస్తకం,ஆலோசனை புத்தகம்
ఖండాంతర వ్యవస్థ,கான்டினென்டல் அமைப்பு
కన్వెన్షన్ పార్లమెంట్,மாநாடு பாராளுமன்றம்
కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు),காப்பர்ஹெட்ஸ் (=அமைதி ஜனநாயகவாதிகள்)
కాపీహోల్డ్,காப்பிஹோல்ட்
కార్డనింగ్,சுற்றிவளைத்தல்
కరోనా,கொரோனா
పట్టాభిషేకం,முடிசூட்டு விழா
పట్టాభిషేక రాయి,முடிசூட்டுக்கல்
కార్పస్,கார்பஸ்
కోర్సెయిర్,கோர்செயர்
కోర్సెయిర్,கோர்செயர்
కార్సెట్ (=కోర్సెలెట్),கோர்செட் (=கோர்செலெட்)
కోర్టెస్,கோர்டெஸ்
కోటార్ (=కోటియర్),கோட்டர் (=கோட்டியர்)
కోటార్ (=కోటియర్),கோட்டர் (=கோட்டியர்)
కౌంట్ పాలటినేట్,பலடினேட் எண்ணுங்கள்
పూరిల్లు,நாட்டு வீடு
కౌంటీ,மாவட்டம்
కౌంటీ బరో,கவுண்டி பரோ
కౌంటీ కోర్టులు,மாவட்ட நீதிமன்றங்கள்
కౌంటీ పాలటైన్,கவுண்டி பாலாடைன்
కోర్టు,நீதிமன்றம்
కోర్టు,நீதிமன்றம்
కోర్టు సర్క్యులర్,நீதிமன்ற சுற்றறிக்கை
కోర్టు మర్యాదలు,நீதிமன்ற ஆசாரம்
సభికుడు,நீதிமன்ற அதிகாரி
కోర్ట్ ఆఫ్ కాసేషన్,கேசேஷன் நீதிமன்றம்
కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC),இயக்குநர்கள் நீதிமன்றம் (EIC)
యాజమాన్యాల న్యాయస్థానం,உரிமையாளர்களின் நீதிமன்றம்
ఆస్థాన కవి,நீதிமன்ற கவிஞர்
ఒప్పందం చేసుకున్న కామెరోనియన్లు,உடன்படிக்கை செய்யப்பட்ட கேமரோனியர்கள்
కిరీటం,கிரீடம்
కిరీటం,கிரீடம்
కిరీటం,கிரீடம்
కిరీటం భూమి,கிரீடம் நிலம்
కిరీటం భూమి,கிரீடம் நிலம்
క్రౌన్ ప్రిన్స్,பட்டத்து இளவரசர்
క్రూసేడ్,சிலுவைப் போர்
క్రూసేడర్,சிலுவைப்போர்
క్రిప్టోగ్రామ్,கிரிப்டோகிராம்
క్యూరాస్,குயிராஸ்
క్యూరాసియర్,கியூராசியர்
కల్ట్ దేవత,வழிபாட்டு தெய்வம்
క్యూరియా,கியூரியா
క్యూరియా,கியூரியா
జారిజం,ஜாரிசம்
చీకటి ఖండం,இருண்ட கண்டம்
తీర్పు రోజు,தீர்ப்பு நாள்
తీర్పు రోజు,தீர்ப்பு நாள்
డీన్,டீன்
దశాబ్దం,தசாப்தம்
డెనారియస్,டெனாரியஸ்
పదవీచ్యుతుడైన చక్రవర్తి,பதவி நீக்கம் செய்யப்பட்ட மன்னர்
పాడుచేయు,கெடுக்கும்
చెడిపోవడం,கெடுதல்
సింహాసనాన్ని తొలగించు,அரியணை
డయాడెమ్,டயடம்
డయాడెమ్,டயடம்
డయాడెమ్,டயடம்
డయాసియా,தியாசியா
డికాస్టీరియం,டிகாஸ்டீரியம்
డైలువియలిస్ట్,டிலுவியலிஸ்ட்
డియోసెస్,மறைமாவட்டம்
డియోసెస్,மறைமாவட்டம்
డైరెక్టరీ (=డైరెక్టరీ),டைரக்டயர் (=டைரக்டரி)
డైరెక్టరీ (=డైరెక్టరీ),டைரக்டயர் (=டைரக்டரி)
దిర్హమ్,திர்ஹம்
నమ్మకద్రోహం,விசுவாசமற்ற
నమ్మకద్రోహం,விசுவாசமற்ற
లోపము యొక్క సిద్ధాంతము,தோல்வியின் கோட்பாடு
పత్రం,ஆவணம்
డాక్యుమెంటరీ సాక్ష్యం,ஆவண ஆதாரம்
డోమ్స్‌డే బుక్,டோம்ஸ்டே புத்தகம்
కాన్స్టాంటైన్ విరాళం,கான்ஸ்டன்டைன் நன்கொடை
డూమ్,பேரழிவு
వరవరపు రాణి,வரதட்சணை ராணி
డ్రాగన్,டிராகன்
డ్రోమెడిరియన్,டிரோமேடியன்
డ్రోమెడరీ,டிரோமெடரி
డ్రోమండ్,ட்ரோமண்ட்
ద్వంద్వ,இரட்டை
ద్వంద్వ కూటమి,இரட்டைக் கூட்டணி
ద్వంద్వ ఉద్దేశం,இரட்டை எண்ணம்
ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం),இரட்டை அமைப்பு (=இரட்டை அரசாங்கம்)
డ్యూక్,டியூக்
డూమా,டுமா
వామన అవతారం,வாமன அவதாரம்
రాజవంశం,ஆள்குடி
రాజవంశం,ஆள்குடி
డేగ,கழுகு
పెద్ద మనిషి,கிழவன்
ఎర్ల్,ஏர்ல்
ఎర్ల్డమ్,ஏர்ல்டம்
తొలి గుప్తులు,ஆரம்பகால குப்தர்கள்
ప్రారంభ (చారిత్రక) సైట్లు,ஆரம்பகால (வரலாற்று) தளங்கள்
ప్రారంభ వేద కాలం,ஆரம்ப வேத காலம்
ఎక్లేసియా,பிரசங்கம்
పునరుద్ధరణ శాసనం,மறுசீரமைப்பு ஆணை
ఎనిమిది రెట్లు మార్గం,எட்டு மடங்கு பாதை
పెద్దలు,பெரியவர்கள்
పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో),மூத்த அரசியல்வாதி (=ஜென்ரோ)
ఏనుగు మేడ,யானைக்கால்
పదకొండు సంవత్సరాల నిరంకుశత్వం,பதினோரு வருட கொடுங்கோன்மை
ఎలిసే (=ఎలీసీ),எலிசே (=எலிசே)
ఎన్‌క్లోజర్ ఉద్యమం,அடைப்பு இயக்கம்
ఎన్సైక్లికల్,கலைக்களஞ்சியம்
ఎన్సైక్లోపెడిస్ట్ ఉద్యమం,கலைக்களஞ்சிய இயக்கம்
ఎంటెంటే,என்டென்டே
ఎంటెంటే కార్డియాల్,என்டென்ட் கார்டியல்
సింహాసనం,சிம்மாசனம்
పరివారం,பரிவாரங்கள்
ఎఫోడ్,எபோத்
ఎఫోర్,எபோர்
పురాణ యుగం,காவிய யுகம்
పురాణ వీరుడు,காவிய நாயகன்
ఎపిగ్రాఫ్,கல்வெட்டு
ఎపిస్కోపసీ,எபிஸ்கோப்பசி
ఎపిస్కోపేట్,பேராயர்
ఎపిసోడ్,அத்தியாயம்
యుగం,சகாப்தம்
యుగాన్ని సృష్టించే సంఘటన,சகாப்தத்தை உருவாக்கும் நிகழ்வு
యుగపురుషుడు,சகாப்தத்தை உருவாக்கும் மனிதன்
పేరుపేరు,பெயர்ச்சொல்
ఎక్వెరీ,குதிரைப்படை
ఎక్వెరీ,குதிரைப்படை
గుర్రపుస్వారీ విగ్రహం,குதிரையேற்ற சிலை
యుగం,சகாப்தம்
ఎర్గస్టులం,எர்கஸ்டுலம்
యూకారిస్ట్,நற்கருணை
సువార్తవాదం,சுவிசேஷம்
సువార్త ఉద్యమం,சுவிசேஷ இயக்கம்
మత ప్రచారకుడు,சுவிசேஷகர்
