English,Tamil
air breather,காற்று சுவாசக் கருவி
air conditioning,ஏர் கண்டிஷனிங்
aircore transformer,காற்று எதிர்ப்பு மின்மாற்றி
aircraft,விமானம்
alignment,சீரமைப்பு
alignment error,சீரமைப்பு பிழை
alive circuit,நேரடி சுற்று
all glass tube,முழு கண்ணாடி குழாய்
all metal tube,முழு உலோக குழாய்
allocate,சரி செய்ய
alloy,"மிஸ்ரது (பதிப்பு), மிஷ்ரத்வான் (சிஆர்.)"
alloying,மிஷ்ரத்வான்
all-pervading medium,எங்கும் நிறைந்த ஊடகம்
all-wave antenna,ஆம்னி ஆண்டெனா
almanac,பஞ்சாங்கம்
alpha,ஆல்பா
alpha-activity,ஆல்பா-செயல்பாடு
alphabetical,எண்ணெழுத்து
alpha ray,ஆல்பா கதிர்
alteration,மாற்றம்
alternating,"மாற்று, மாற்று"
alternator,மின்மாற்றி
altigraph,உயரமானி
altimeter,உயரமானி
altimetry,அல்டிமெட்ரி
altitude,"உயரம், உயரம், உயரம், உயரம்"
ALU (Arithmatic Logic Unit),எண்கணித ரீசனிங் யூனிட் (ALU)
Amagat law,அமுத விதி
ambient,சூழல்
amicron,அமிக்ரான்
amméter,அம்மீட்டர்
ampere,ஆம்பியர்
Ampere's rule,ஆம்பியர்-சட்டம்
amphoteric ion,நீர்வீழ்ச்சி அயனி
amplification,பெருக்கம்
amplifier,பெருக்கி
amplitude,"கோணம், பரிமாணம்"
a. m. u. (atomic mass unit),அ. எம்.யு. (அணு நிறை அலகு)
analog (=analogue),இணக்கமான
analogy,ஒப்புமை
analyser,ஆய்வாளர்
analysis,பகுப்பாய்வு
analytical,பகுப்பாய்வு
anastigmatic,புள்ளி அல்லாத
anastigmatism,முரண்பாடான
AND gate,மற்றும் கதவு
anechoic,ஒலி அல்லாத
anelasticity,ஒழுங்கற்ற நெகிழ்ச்சி
aneroid,நீரற்ற
angle,கோணம்
Angstrom unit,angstrom அலகு
angular,கோணல்
angular vernier,நீடிப்பான் வெர்னியர்
anharmonic,சர்ச்சைக்குரிய
anharmonicity,மரியாதையற்ற
anhysteresis,வண்ணமயமான காந்தமாக்கல்
anhysteretic,மந்தமான
anion,அயனி
anisodimensional,சமச்சீரற்ற
anisotropic,ஐசோட்ரோபிக்
anisotropy,ஐசோட்ரோபிசம்
annihilation,நீக்குதல்
annunciator,சதிகாரர்கள்
anode,நேர்மின்முனை
anodize,அனோடைசேஷன்
anomalous,சீரற்ற
anoptic system,ஒளியியல் அமைப்பு
antenna,ஆண்டெனா
antibaryon,ஆன்டிபெரியன்
antibinding property,பிணைப்பு எதிர்ப்பு சொத்து
anitibonding,எதிர் பத்திரம்
antiferroelectricity,தலைகீழ் சக்தி
antiferromagnetic,காந்தவியல்
antiferromagnetics,காந்தப் பொருள்
antifoggant,அழற்சி எதிர்ப்பு
antigravity,ஈர்ப்பு எதிர்ப்பு
anti-lambda particle,ஆன்டிலாம்டா துகள்
anti-lepton,அலெப்டன்
antimagnetic,காந்தவியல்
antimatter,எதிர்ப்பொருள்
antimissile,எதிர்ப்பு ஏவுகணை
antineutron,எதிர்நியூட்ரான்
antinode,துடிக்கும்
antinucleon,எதிர் அணுக்கரு
antiparticle,எதிர் துகள்
antiproton,ஆன்டிபுரோட்டான்
antireflection,எதிர் பிரதிபலிப்பு
antisymmetric,சமச்சீரற்ற
aperiodical,மீண்டும் நிகழாதது
aperiodicity,காலமற்ற தன்மை
apertural disc,துளையிடப்பட்ட ஸ்கேனிங் வட்டு
aperture,துவாரக்
apex,"மேல், மேல், முன்"
aphelion,"சூரியன் உயர், அதிக சூரியன்"
aplanat,அக்கறையற்ற சரிகை
aplanatic,பரிதாபமற்றது
aplanatism,இயலாமை
apochromatic,மிகவும் வண்ணமயமான
apogee,"நிலம்-உயர்ந்த, உச்சநிலை"
apolar,"துருவமற்ற, சுற்றளவு"
apolarity,பார்ப்பனியம்
apparatus,சாதனம்
apparent,"மெய்நிகர், காட்சி"
apparent sun,தெரியும் சூரியன்
apparent time,காட்சி நேரம்
appearance,வெளிப்படும் தோற்றம்
appliance,விண்ணப்பம்
applicability,பொருந்தக்கூடிய தன்மை
applied,விண்ணப்பித்தார்
appreciable,கவனிக்கத்தக்கது
approach,அணுகுமுறை
approximate,"அருகில், தோராயமாக"
approximation,தோராயம்
aqueous tension,நீராவி அழுத்தம்
arbitrary,தன்னார்வ
arc furnace,"வில் உலை, வில் உலை"
Archimedes principle,ஆர்க்கிமிடிஸ் சட்டம்
architectural acoustics,கட்டிடக்கலை ஒலியியல்
arc lamp,பரிதி விளக்கு
arc spectrum,வில்-ஸ்பெக்ட்ரம்
area,"பகுதி, பகுதி"
areal,"பிராந்திய, பிராந்திய"
arm,"கை, கை, கிளை"
armature,அமெச்சூர்
array,"வரிசை, வரிசை"
arrester,பெறுபவர்
articulation,உச்சரிப்பு தெளிவு
artificial,செயற்கை
artificial transmutation,செயற்கை மாற்றம்
ascending,ஏறுமுகம்
ascension of the star,ஏற்றம்
ascent,ஏறும்
aspheric,அகோலி
aspherizing,திரட்டுதல்
assemblage,தொகுப்பு
assemble,"கூட்டுதல், கூட்டுதல்"
assembly (=assemblage),"அசெம்பிளிங், அசெம்பிள், அசெம்பிள்"
assessment of accuracy,துல்லியமான மதிப்பீடு
assigned assignment (of quantum numbers),குறிப்பிடப்பட்ட (குவாண்டம் எண்களின்) விவரக்குறிப்புகள்
associated,"தொடர்புடைய, துணை, இணைந்த"
assonance,உயிர் ஒலி
astable multivibrator (=free running multivibrator),தானியங்கி மல்டிவிபிரேட்டர்
astatic,ஆஸ்தெனிக்
astigmatism,"மதுவிலக்கு, astigmatism"
astrionics,விண்வெளி பயண மின்னணுவியல்
astrometry,வானியற்பியல்
astronaut,விண்வெளி
astronomer,வானியலாளர்
astronomical,விண்ணுலகம்
astronomy,வானியல்
astrophysics,வானியற்பியல்
asymmetrical,சமச்சீரற்ற
asymptote,அறிகுறியற்ற
asymptotic,மோசமாக்கும்
asynchronous,ஒத்திசைவற்ற
atmosphere,"வளிமண்டலம், வளிமண்டலம்"
atmospheric,வளிமண்டலம்
atmospherics,காற்று கொந்தளிப்பு
atom,அணுக்கரு
atomic,அணு
atomicity,அணுசக்தி
atomic mass,அணுக்கரு நிறை
atomic number,அணு எண்
atomic reactor (=atomic pile),"அணு உலை, அணுக் குவியல்"
atomistic,அணு
atomization,துகள்
atomizer,துகள்
attenuation,"தணிவு, தணிவு"
attenuator,"தணித்தல், தணித்தல்"
attraction,வசீகரம்
attractive forces,ஈர்ப்பு சக்தி
audibility,கேட்கக்கூடிய தன்மை
audio-amplifier,ஒலி அதிர்வெண் பெருக்கி
audio,கேட்கக்கூடிய
audio generator,ஆடியோ ஜெனரேட்டர்
audiogram,கேட்கக்கூடிய வரைபடம்
audiology,கேட்கும் அறிவியல்
audiometer,ஒலிமானி
audio oscillator,கேட்கக்கூடிய அதிர்வெண் ஆஸிலேட்டர்
audio signal,ஒலி சமிக்ஞை
audiovisual,ஒலி-ஒளி காட்சி
auditorium,"ஆடிட்டோரியம், ஆடிட்டோரியம்"
Auger effect,OZ விளைவு
augmentation,பதவி உயர்வு
augmentor,மேம்படுத்துபவர்
aurora,துருவ சுடர்
aurora australis,தென் துருவ சுடர்
aurora borealis,வட துருவ சுடர்
autoalarm,தானியங்கி எச்சரிக்கை
autocollimator,தானாக இணையாக
automatic,"தானியங்கி, தானியங்கி, தானியங்கி"
automation,"ஆட்டோமேஷன், ஆட்டோமேஷன்"
auxiliary,"உதவியாளர், கூட்டுறவு, கூடுதல்"
avalanche,"அவடவா, அவலாஞ்சி"
average,"சராசரி, சராசரி"
avoidance,பரிவாரன்
axial,அச்சு
axis,அச்சு
azimuth,அஜிமுத்
azimuthal,அஜிமுத்
back,மீண்டும்
background,"பின்னணி, பின்னணி"
backlash,"பின்தங்கிய, பின்தங்கிய"
backout,திருப்புமுனை
back swing voltage pulser,பின் மின்னழுத்த துடிப்பு
back to back connection,பிந்தைய உறவு
back up,கொடுக்கப்படுவதுடன்
back voltage (Freverse voltage),எதிர்ப்பு மின்னழுத்தம்
backward scattering,பின்புற சிதறல்
back wave (=spacing wave),இடைநிலை அலை
bad conductor,இன்சுலேட்டர்
bail out,பாராசூட் ஜம்ப்
bakeout,வெப்பமூட்டும்
balance,"சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை"
balancer,சமநிலைப்படுத்துபவர்
balancing,சமநிலை
ball ended magnet,உருண்டை
ballistic,"பாலிஸ்டிக், பாலிஸ்டிக்"
ballistic galvanometer,"ப்ராஜெக்ஷன் கால்வனோமீட்டர், ப்ராஜெக்ஷன் கால்வனோமீட்டர்"
ballistic missile,ஏவுகணை
ballistics,"பந்துவீச்சு, ஆயுதம்"
ballistic throw,கணிப்பு
ballistic trajectory,இலவச பாதை
balloon,"பலூன், பலூன்"
Balmer discontinuity,பால்மர் இடைநிறுத்தம்
band,"இசைக்குழு, இசைக்குழு, இசைக்குழு"
bang,குண்டு வெடிப்பு
bank,"வரிசை, கற்றை, கரை, கரை, கடற்கரை"
bar,"நெடுவரிசை, பட்டை, கோப், தொகுதி, பட்டை, கம்பி, பட்டை, 8. சுவர், 9. கோடு, 10. விளிம்பு, 1 தொகுதி, 1, பட்டை, 1, கோடு, 1, சோதனைக் கோடு"
Bardeen theory,பார்டீன் கொள்கை
Barkhausen effect,barkhausen விளைவு
Barlow's wheel,பார்லோ சுழற்சி
bar magnet,பட்டை காந்தம்
barn,கொட்டகை
barogram,காற்று அழுத்த வரைபடம்
barograph,"barograph, barograph"
barometer,காற்றழுத்தமானி
barometry,வளிமண்டல அழுத்தம்
barosphere,"அண்டம், காற்றழுத்தம்"
bar pendulum,ஊசல்
barrier,"தடை, அணு, அணு தடை"
barrier layer (rectifier)=blocking layer -depletion layer =space charge layer,தடை நிலை
baryon,பேரியன்
barysphere,குருமண்டலம்
base band,அடிப்படை இசைக்குழு
basic,"அடிப்படை, அடிப்படை, கார"
basis,அடித்தளம்
batching,"கணக்கெடுப்பு, குழு உருவாக்கம்"
bath,"தொட்டி, தொட்டி, ஹீட்டர், வெப்பமூட்டும் பானை, குளியல்"
battery,மின்கலம்
bay,"வரிசை பிரிவு, அறை, விரிகுடா"
B-display,கண்காட்சி
beacon,கிபான்
bead,"மாணிக்கா, பீட்"
beam,"பீம், பீம், பீம், டிரம்ப்"
bearing,"டிக்மன், டிக்கான்"
beat,"டோல், விஸ்பாண்ட்"
Becqueral effect,பெக்கரல் விளைவு
bell jar,மணி ஜாடி
bellow,பெல்லோஸ்
bell shaped,மணி கடிகாரம்
bench,"வேதிகா, பெஞ்ச்"
bend,"முறை, பங்க் (எட்.), வளைவு (வி.)"
bending,வங்கியாளர்
bent,"வளைந்த, வளைந்த"
Bernoulli's equation,பெர்னோலி-சமன்பாடு
Bessel function,அடிப்படை-செயல்பாடு
best fit,சிறந்த ஒட்டுதல்
beta (भ्),பீட்டா (பி)
betatron,பீட்டாட்ரான்
Bethe's model,bethe மாதிரி
bevatron,bivatron
B-H curve,BH வளைவு
biangular,இருகோணமானது
bias,"சார்பு, சார்பு"
biaxial,இரு-அச்சு
bichromate cell,பைக்ரோமேட் செல்
biconcave,அப்யவடல்
biconical aerial,இரட்டை ஆண்டெனா
biconvex,பைன்வெக்ஸ்
bicrystal,"இரு-படிகம், இரட்டை-படிகம்"
bidirectional microphone,இருதரப்பு ஒலிவாங்கி
bifactor model,இருவகை மாதிரி
bifilar,டையோசியஸ்
bilateral,இருதரப்பு
bilinear,இருமுனை
bimolecular,இரு மூலக்கூறு
binary,"இரு-மாறி, இரு-அடிப்படை, இரட்டை"
binary code,"பைனரி குறியீடு, பைனரி குறியீடு"
binary star,விளையாட்டு நட்சத்திரம்
binary system,பைனரி முறை
binaural,இரட்டை பக்க
binding,பத்திரம்
binocular,"தொலைநோக்கி, தொலைநோக்கி"
binode,பைனரி
binomial distribution,இருவகைப் பரவல்
binuclear,"இருமைய, இருமைய, இரு அணுக்கரு"
biodynamics,உயிரியக்கவியல்
bioelectronics,உயிர் மின்னணுவியல்
biophysicist,உயிர் இயற்பியலாளர்
biophysics,உயிர் இயற்பியல்
biosatellite,உயிரியல் செயற்கைக்கோள்
bioscope,"ஒளிப்பதிவாளர், பயாஸ்கோப்"
Biot-Savart'law,பயோ-சாவர்ட் விதி
biphase current,இருமுனை மின்னோட்டம்
bipolar,இருமுனை
biprism,"இருபிரிசம், இருபிரிசம்"
biquartz,"biquartz, biquartz"
bistable characteristics,இருமுனை பாத்திரம்
bistable multivibrator,இரண்டு-நிலை மல்டிவிபிரேட்டர்
bit,"ட்வயங்க்* (பைனரி எண்), பர்மிஸ், அனி, துக்"
black,"கருப்பு, கிருஷ்ணா"
black body,கருப்பு உடல்
black light,கண்ணுக்கு தெரியாத ஒளி
black out,திமிராயன் வானொலி திமிராயன்
black out pulse (=blanking pulse),வெளியேற்ற துடிப்பு
black out voltage (=cut of bias),முடிவு சார்பு
black radiation,கருப்பு கதிர்வீச்சு
blank,"முடிக்கப்படாத, வெற்று"
blanketing,கவர்
blanking,ரத்து
blast,"வெடிப்பு, வெடிப்பு, புயல்"
bleeder,"savika, bleeder, savi"
blind,"மாறுவேடமிட்டு, குருடர்"
Bloch theorem,ப்ளாச்சின் தேற்றம்
blocking,"தொகுதி, தொகுதி, தொகுதி"
blow,"அடி, அடி, அடி"
blue print,நீல அச்சு
blur circle,தெளிவின்மை வட்டம்
blurred,தெளிவற்ற
bob,"பந்து, கோளம், பதக்கம்"
body,"உடல், பொருள்"
body capacitance,உடல் திறன்
body centred,மையம் கொண்டது
body diagonal,"உடல்-மூலைவிட்ட, இறுதி-மூலைவிட்ட"
bogie,"போகி, தெரியாத கண்டறிதல் (ரேடார்)"
Bohr effect,துளை விளைவு
Bohr magneton,துளை காந்தம்
boiler,"கொதிகலன், கொதிகலன்"
boiling,"கொதிக்கும், கொதிக்கும்"
Boltzmann equation,போல்ட்ஸ்மேன் சமன்பாடு
bombarding electron,குண்டுவீச்சு எலக்ட்ரான்
bombarding energy,"அதிர்ச்சிகரமான ஆற்றல், குண்டுவீச்சு ஆற்றல்"
bond,அடமானம்
bonding,"பிணைக்கப்பட்ட, பிணைக்கப்பட்ட, பிணைக்கப்பட்ட"
booster,மேம்படுத்துபவர்
boron,பழுப்பம்
Bose particle,போஸ்-துகள்
boson,போஸான்
bounce,"முட்டாள், குதி"
bound,கட்டுப்பட்டது
boundary,"வரம்பு, வரம்பு (பதிப்பு), விளிம்பு (வி.)"
bound,பிணைக்கப்பட்ட
bow,தனுசு முற்றம்
bow wave,பாய்மர அலை
Boyle point,கொதிகலன் வெப்பமூட்டும்
Boyle's law,பாயின் சட்டம்
Boyle' temperature,கொதிகலன் வெப்பமூட்டும்
Bracket series,அடைப்பு-வகுப்பு
Bragg law,பை விதி
braided wire,பின்னிப் பிணைந்த கம்பி
braking orbit,பிரேக் வகுப்பு
Bramah press,பிரமா அமுக்கி
branching,கிளைகள்
Bravais lattice,"துணிச்சலான லட்டு, துணிச்சலான லட்டு"
braze,"பித்தளை பிரேசிங், பித்தளை சாலிடரிங்"
break,துண்டித்தல்
break contact,இணைப்பு உடைப்பு
breakdown diode,"எலும்பு முறிவு டையோடு, ஜீனர் டையோடு"
breaking,எலும்பு முறிவு
breeder reactor,"ப்ரீடர் ரியாக்டர், ப்ரீடர் நியூக்ளியர் ஃபர்னஸ், பிரீடர் ஃபர்னஸ்"
breeding,இனப்பெருக்கம்
bremsstrahlung,"retardant கதிர்வீச்சு, brastralung"
Brewster angle,brewster-angle
Brewster fringe,ப்ரூஸ்டர் குளிர்சாதன பெட்டி
bridge,பாலம்
bridging,பாலம் பிணைப்பு
bright,"பிரகாசமான, பளபளப்பான, திகைப்பூட்டும்"
brightening,ஒளிரும்
bright,பிரகாசம்
brightness,"தியுதி, பிரபா"
Brillouin zone,பிருலுவான் பகுதி
British Standard Candle,பிரிட்டிஷ் நிலையான மெழுகுவர்த்தி
brittle,உடையக்கூடிய
brittleness,உடையக்கூடிய தன்மை
broadcasting,ஒளிபரப்பு
broad,விரிவான
broadside,பிற்போக்கு
Broglie formula,ப்ரோக்லி சூத்திரம்
broken,துண்டு துண்டாக
Brownian motion,பிரவுனி இயக்கம்
brush,"குச்சி, புருஷ், குர்ச், குல்ம்"
bubble,"குமிழி, குமிழி (பதிப்பு), முணுமுணுப்பு (வி.)"
bubbling,உமிழும்
bucking,எதிர் நடவடிக்கைகள்
buckling,சுருக்கம்
buffer,"amphoteric, buffered"
building acoustics,ஒலியியல்
build up,பர்தன்
bulb,பல்பு
bulging,வெளிப்படு
bulk,"தொகுதி, மொத்த, நிறை, நிறை, தொகுதி"
bulk modulus,தொகுதி நெகிழ்ச்சி குணகம்
bulk property,மக்கள் சொத்து
bulk temperature,அதிகபட்ச வெப்பநிலை
bump (in a curve),வீக்கம்
bunch,"கொத்து, கொத்து (n.), கொத்தாக இருக்க வேண்டும் (ver.)"
buncher,கொத்து
Bunsen cell,பன்சென் செல்
buoy,மிதப்பு
buoyancy,"மிதப்பு, மிதப்பு"
Burger's circuit,பர்கர் சுற்று
burglar alarm,திருடன் மணி
burner,"எரிப்பான், பற்றவைப்பான்"
burn out,முழு பற்றவைப்பு
burst,"வெடிப்பு, வெடிப்பு, பிளவு"
busy line,வரிசை பிஸி
busy tone,பிஸியான தொனி
buzzer,ஒலிப்பவர்
bypass,பைபாஸ்
bypassing,சுற்று
cable,"கடல் கம்பி, கேபிள்"
cadmium,காட்மியம்
caesium cell,சீசியம்-செல்
cage dipole,பஞ்சர் இருமுனை
cage effect,பஞ்சர் விளைவு
calculate,கணக்கெடுக்க
calculator,கால்குலேட்டர்
calendar,நாட்காட்டி
calibrate,"அளவீடு, அளவுத்திருத்தம், திருத்தம்"
calibration factor,"அளவீடு பெருக்கி, அளவுத்திருத்த பெருக்கி"
callipers,காலிப்பர்கள்
call-meter,"கால்குலேட்டர், பேச்சு கால்குலேட்டர்"
caloric,"வெப்பம் (வி.), கலோரிக் (எட்.)"
calorimeter,"கலோரிமீட்டர், கலோரிமீட்டர்"
calorimetry,"கலோரிமெட்ரி, கலோரிமெட்ரி"
camera,புகைப்பட கருவி
canal rays,"குல்யா கிரண், கால்வாய் கிரண்"
candela,குத்துவிளக்கு
candle,"மெழுகுவர்த்தி, மெழுகுவர்த்தி"
canonical,நியமனம்
cantilever,காண்டிலீவர்
cap,"தொப்பி, ஆடை (எட்.), இன்டர்லேசிங் (வி.)"
capacitance,வைத்திருக்கும்
capacitor,மின்தேக்கி
capillarity,"கேபிலரிட்டி, கேபிலரிட்டி"
capillary,"தந்துகி, தந்துகி"
capillary force,தந்துகி விசை
capsule,"காப்ஸ்யூல், காப்ஸ்யூல், காப்ஸ்யூல்"
capture,பிடிப்பு
carbon 14 dating,கார்பன் 14 திட்டமிடல்
cardinals,"முதன்மை புள்ளி, கார்டினல் எண், எண்ணிக்கை எண்"
Carnot's theorem,கார்னோவின் தேற்றம்
carrier,கேரியர்
Cartesian axes,கார்ட்டீசியன் அச்சு
cartridge,கார்ட்ரிட்ஜ்
cascade,"சோபானி (வி.), சோபானிபட் (பதிப்பு)"
catalysed,ஈர்க்கப்பட்டார்
catastrophe,"பேரழிவு, பேரழிவு"
catching diode,லிமிட்டர் டையோடு
cathetometer,"orthometer, cathetometer"
cathetron,கதீட்ரான்
cathode,கேத்தோடு
cation,கேஷன்
caustic surface,ஒளிரும் பக்கம்
cavity,கோட்டார்
ceiling,"விளிம்பு, கவர், குறுக்குவெட்டு, அதிக எண், கவர்"
celestial,விண்ணுலகம்
cell constant,செல்-நிலையான
cemented lens,சிமென்ட் லென்ஸ்
centering,கவனம்
centigrade,சென்டிகிரேட்
centimeter,சென்டிமீட்டர்
centimeter gram second system,சென்டிமீட்டர்-கிராம்-இரண்டாம் முறை
central,"மத்திய, மத்திய"
central processing unit (C.P.U),மத்திய வள அலகு
centre,மையம்
centre of collineation,சீரமைப்பு மையம்
centric ray,சராசரி கதிர்
centripetal,மையவிலக்கு
centroid,கரு
ceramic,பீங்கான்
c.g.s. system,c. கிராம். இருந்து. முறை
chain decay,தொடர் சிதைவு
chamber,"செல், அறை, அறை"
chance,"வாய்ப்பு, வாய்ப்பு, வாய்ப்பு"
changing,மாறி
channel,"கால்வாய், கால்வாய், கால்வாய், நீர்வழி"
channelling,"சேனலைசேஷன், சேனலைசேஷன்"
chaos,"குழப்பம், கோளாறு"
character,"பாத்திரம், தன்மை, தன்மை"
characteristic,"பண்பு, பண்பு, பண்பு, முழு, பண்பு"
charge,"கட்டணம், கட்டணம், கட்டணம், கட்டணம்"
charger,சார்ஜர்
charging,நிரப்பவும்
Charles' law,சார்லஸ் சட்டம்
chart,"விளக்கப்படம், விளக்கப்படம்"
chasing,பின்தொடர்தல்
chasis,"புறக்காவல் நிலையம், சேஸ்"
check,"சோதனை, சோதனை"
chemical,இரசாயன
chemi-luminescence,இரசாயன ஒளிர்வு
chip,"ஷேவிங்ஸ், சிப்ஸ், சிப்ஸ்"
chi-square test,வகுப்பு இல்லாத சோதனை
choke,"மூச்சுத் திணறல் (குறைபாடு), மூச்சுத் திணறல்"
chopper amplifier,இடைப்பட்ட பெருக்கி
choral music,குழு இசை
chromatic,வண்ணமயமான
chromaticity,நிறமி
chromaticness,நிறமி
chromastism,நிறமி
chromatograph,குரோமடோகிராம்
chromometer,"நிறமானி, குரோமோமீட்டர்"
chromophore,குரோமோஃபோர்
chromosphere,"குரோமோஸ்பியர், குரோமோஸ்பியர்"
chronograph,"கால வரைபடம், கால வரைபடம், கால வரைபடம்"
chronometer,காலமானி
cinema,"திரைப்படங்கள், திரைப்படங்கள்"
cinematography,ஒளிப்பதிவு
cipher (zero),"பூஜ்யம், மறைக்குறியீடு"
circle in (=iris in),மறுநிகழ்வு
circuit,சுற்று
circuitry,சுற்று
circular,"வட்ட, வட்ட"
circulating,சுற்றுகிறது
circulation,"சுழற்சி, சுழற்சி"
circulator,சுழற்சி செய்பவர்
circumferential,சுற்றளவு
circumuclear electron,அணு எலக்ட்ரான்
circumterrestrial satellite,பரிபு செயற்கைக்கோள்
citizen's band,சிவில் அதிர்வெண் பட்டை
cladding,"ஆடை, ஆக்கிரமிப்பு"
clamping,பத்திரம்
Clapeyron equation,Klepeyron சமன்பாடு
classical,"கிளாசிக், கிளாசிக், கிளாசிக்"
clearance,"இடைவெளி, நீக்கம் (adj.)"
cleavage,பிளவு
climate,காலநிலை
climb,ஏற்ற
clinical thermometer,"பைரோமீட்டர், மருத்துவ வெப்பமானி"
clock voltage,கடிகார மின்னழுத்தம்
clockwise,கடிகாரகடிகாரச்சுற்று
closed circuit,மூடிய சுற்று
closed circuit television (=piped television),மூடிய சுற்று தொலைக்காட்சி
close packed,"இறுக்கமாக நிரம்பிய, இறுக்கமாக நிரம்பிய"
close packed structure,நன்கு தொகுக்கப்பட்ட அமைப்பு
closest approach,நெருங்கிய அணுகுமுறை
closest packed,சமீபத்திய பேக்
close-up (=close-up view),நெருக்கமான பார்வை
cloud,"மேகங்கள், மேகங்கள், மங்கல், புள்ளிகள்"
cluster,கொத்து
coarse,"கரடுமுரடான, கரடுமுரடான, கச்சா, தரமற்ற, சுத்திகரிக்கப்படாத"
coarsely crystalline,மேக்ரோ படிக
coast,"கடற்கரை, இலக்கு வீடு (ரேடார்)"
coat,"கவர், கோட், கோட், பூச்சு"
coating,"பூச்சு, பூச்சு, பூச்சு"
coaxial,கோக்ஸ்
code,"குறியீடு, அடையாளம், குறியீடு, குறியீடு, குறியீடு"
coded,குறியிடப்பட்டது
coding pulse,குறியீட்டு துடிப்பு
