English,Tamil
bivariate binomial distribution,இருவகை இருவகைப் பரவல்
bivariate correlation coefficient,இருவகை தொடர்பு குணகம்
bivariate distribution,இருவகை விநியோகம்
bivariate normal distribution,இருவகை சாதாரண விநியோகம்
bivector,பைவெக்டர்
Boltzmann equation,போல்ட்ஸ்மேன் சமன்பாடு
Boolean algebra,பூலியன் இயற்கணிதம்
Bose - Einstein statistics,போஸ் - ஐன்ஸ்டீன் புள்ளிவிவரங்கள்
boundary condition,எல்லை நிலை
boundary layer,எல்லை அடுக்கு
boundary line,எல்லைக் கோடு
boundary value,எல்லை மதிப்பு
boundary value problem,எல்லை மதிப்பு பிரச்சனை
bounded function,வரையறுக்கப்பட்ட செயல்பாடு
bounded matrix,கட்டுப்பட்ட அணி
bounded region,எல்லைக்குட்பட்ட பகுதி
bounded set,வரையறுக்கப்பட்ட தொகுப்பு
Brownian motion,பிரவுனிய இயக்கம்
calculate,கணக்கிட
calculating,கணக்கிடுகிறது
calculating machine,கணக்கிடும் இயந்திரம்
calculation,கணக்கீடு
calculational procedure,கணக்கீட்டு செயல்முறை
calculator,கால்குலேட்டர்
calculus,கால்குலஸ்
calculus of variation,மாறுபாட்டின் கணக்கீடு
calorie,கலோரி
cancellation law,ரத்து சட்டம்
canonical equation,நியமன சமன்பாடு
canonical form,நியமன வடிவம்
canonical matrix,நியமன அணி
Cantor set,கேன்டர் செட்
Cantor's ternary set,கேண்டரின் மும்முனைத் தொகுப்பு
capacitated transportation problem,திறன் கொண்ட போக்குவரத்து பிரச்சனை
capacity,திறன்
capillary force,தந்துகி விசை
cardinal number,கார்டினல் எண்
Cartesian axes,கார்ட்டீசியன் அச்சுகள்
Cartesian coordinates,கார்ட்டீசியன் ஆயத்தொகுப்புகள்
Cartesian product,கார்ட்டீசியன் தயாரிப்பு
Cartesian product of sets,தொகுப்புகளின் கார்ட்டீசியன் தயாரிப்பு
case study,வழக்கு ஆய்வு
catastrophic fluctuation,பேரழிவு ஏற்ற இறக்கம்
Catenary,கேடனரி
Cauchy distribution,காச்சி விநியோகம்
Cauchy formula,கௌச்சி சூத்திரம்
Cauchy Goursat theorem,Cauchy Goursat தேற்றம்
Cauchy Riemann conditions,Cauchy Rimann நிபந்தனைகள்
Cauchy sequence,கௌச்சி வரிசை
Cauchy integral,Cauchy ஒருங்கிணைந்த
Cauchy principal value,Cauchy முதன்மை மதிப்பு
Cauchy residue theorem,கௌச்சி எச்ச தேற்றம்
Cayley Hamilton theorem,கெய்லி ஹாமில்டன் தேற்றம்
celestial body,வானுலக
celestial measurement,வான அளவீடு
celestial mechanics,வான இயக்கவியல்
celestial object,வான பொருள்
cell frequency,செல் அலைவரிசை
census,மக்கள் தொகை கணக்கெடுப்பு
centile,சென்டைல்
centimeter,சென்டிமீட்டர்
centimeter gram second system,சென்டிமீட்டர் கிராம் இரண்டாவது அமைப்பு
central,மத்திய
central axis,மைய அச்சு
central difference,மைய வேறுபாடு
central difference formula,மைய வேறுபாடு சூத்திரம்
central difference table,மைய வேறுபாடு அட்டவணை
central limit theorem,மத்திய வரம்பு தேற்றம்
central moment,மைய தருணம்
central processing unit (C.P.U),மத்திய செயலாக்க அலகு (CPU)
central tendency,மைய போக்கு
centre,மையம்
centre of gravity,ஈர்ப்பு மையம்
centre of group,குழுவின் மையம்
centre of mass,வெகுஜன மையம்
centre of symmetry,சமச்சீர் மையம்
centrifugal force,மையவிலக்கு விசை
centripetal force,மையவிலக்கு விசை
centroid,மையப்பகுதி
certainty,உறுதி
c.g.s. system,cgs அமைப்பு
c.g.s. unit,cgs அலகு
chain rule of differentiation,வேறுபாட்டின் சங்கிலி விதி
chance causes,வாய்ப்பு காரணங்கள்
chance moves,வாய்ப்பு நகர்கிறது
change of axes,அச்சுகளின் மாற்றம்
change of basis,அடிப்படை மாற்றம்
change of order,ஒழுங்கு மாற்றம்
characteristic coefficient,பண்பு குணகம்
determinant,தீர்மானிக்கும்
characteristic equation,சிறப்பியல்பு சமன்பாடு
characteristic function,பண்பு செயல்பாடு
characteristic of logarithm,மடக்கையின் சிறப்பியல்பு
characteristic polynomial,பண்பு பல்லுறுப்புக்கோவை
characteristic value,பண்பு மதிப்பு
characteristic vector,பண்பு திசையன்
character set,எழுத்துத் தொகுப்பு
chart,விளக்கப்படம்
chi-square distribution,சி-சதுர விநியோகம்
chi-square formula,சி-சதுர சூத்திரம்
chi-square test,சி-சதுர சோதனை
chord,நாண்
chord-bisection method,நாண்-பிரித்தல் முறை
cipher message (=coded message),மறைக்குறியீடு செய்தி (=குறியிடப்பட்ட செய்தி)
cipher (zero),மறைக்குறியீடு (பூஜ்ஜியம்)
circle,வட்டம்
circle of convergence,ஒன்றிணைந்த வட்டம்
circuit matrix,சுற்று அணி
circular,வட்ட
circular asymptote,வட்ட அறிகுறி
circular helix,வட்ட சுருளி
circular motion,வட்ட இயக்கம்
circumcentre,சுற்று மையம்
circumcircle,வட்ட வட்டம்
circumscribe,சுற்றம்
circumscribed,சுற்றத்தார்
circumscribed circle,சுற்றப்பட்ட வட்டம்
classical deductive technique,கிளாசிக்கல் கழித்தல் நுட்பம்
classical dynamics,கிளாசிக்கல் இயக்கவியல்
classical optimization,கிளாசிக்கல் தேர்வுமுறை
classical ruin problem,பாரம்பரிய அழிவு பிரச்சனை
classical statistical mechanics,கிளாசிக்கல் புள்ளியியல் இயக்கவியல்
classification of errors,பிழைகளின் வகைப்பாடு
class interval,வகுப்பு இடைவெளி
class-interval unit,வகுப்பு இடைவெளி அலகு
class limit,வகுப்பு வரம்பு
clockwise,கடிகாரகடிகாரச்சுற்று
clopen (= closed and open),குளோபன் (= மூடிய மற்றும் திறந்த)
closed,மூடப்பட்டது
closed convex hull,மூடிய குவிந்த மேலோடு
closed cube,மூடிய கன சதுரம்
closed curve,மூடிய வளைவு
closed domain,மூடப்பட்ட டொமைன்
closed figure,மூடிய உருவம்
closed interval,மூடிய இடைவெளி
closed region,மூடப்பட்ட பகுதி
closed set,மூடிய தொகுப்பு
closed surface,மூடிய மேற்பரப்பு
closure,மூடல்
closure operator,மூடல் ஆபரேட்டர்
closure point (= contact point),மூடல் புள்ளி (= தொடர்பு புள்ளி)
closure postulate,மூடல் நிலைப்பாடு
closure set,மூடல் தொகுப்பு
cluster point,கொத்து புள்ளி
cluster sampling,கொத்து மாதிரி
cluster set,கொத்து தொகுப்பு
coaxial circles,கோஆக்சியல் வட்டங்கள்
coaxial parabolas,கோஆக்சியல் பரவளையங்கள்
coaxial planes,கோஆக்சியல் விமானங்கள்
coaxial triangles,கோஆக்சியல் முக்கோணங்கள்
Cobb - Douglas function,கோப் - டக்ளஸ் செயல்பாடு
coding,குறியீட்டு முறை
coding of data,தரவு குறியீட்டு முறை
co-domain,இணை டொமைன்
coefficient matrix,குணகம் அணி
coefficient of correlation,தொடர்பு குணகம்
coefficient of determination,நிர்ணய குணகம்
coefficient of elasticity,நெகிழ்ச்சி குணகம்
coefficient of expansion,விரிவாக்க குணகம்
coefficient of friction,உராய்வு குணகம்
coefficient of linear expansion,நேரியல் விரிவாக்கத்தின் குணகம்
coefficient of regression,பின்னடைவின் குணகம்
coefficient of surface tension,மேற்பரப்பு பதற்றத்தின் குணகம்
coefficient of variation,மாறுபாட்டின் குணகம்
cofactor,இணைக்காரன்
coin throw (coin toss),நாணயம் வீசுதல் (நாணயத்தை வீசுதல்)
collection of sample,மாதிரி சேகரிப்பு
collinear,கோலினியர்
collinearity,ஒற்றுமை
column,நெடுவரிசை
column equivalence,நெடுவரிசை சமநிலை
column equivalent,நெடுவரிசைக்கு சமமானது
column equivalent matrix,நெடுவரிசைக்கு சமமான அணி
column matrix,நிரல் அணி
column rank,நெடுவரிசை தரவரிசை
column reduced echolon matrix,நெடுவரிசை குறைக்கப்பட்ட echolon matrix
column vector,நெடுவரிசை திசையன்
columnwise,நெடுவரிசையில்
combined equation,ஒருங்கிணைந்த சமன்பாடு
common angle,பொதுவான கோணம்
common axis,பொதுவான அச்சு
common base,பொதுவான அடிப்படை
common denominator,பொதுவான வகுக்கும்
common difference,பொதுவான வேறுபாடு
common factor,பொதுவான காரணி
common logarithm,பொதுவான மடக்கை
common multiple,பொதுவான பல
common ratio,பொதுவான விகிதம்
common section,பொதுவான பிரிவு
common side,பொதுவான பக்கம்
common tangent,பொதுவான தொடுகோடு
common term,பொதுவான சொல்
commutative law,பரிமாற்ற சட்டம்
commutative property,பரிமாற்ற சொத்து
commutative rule,பரிமாற்ற விதி
commutative law of addition,கூட்டல் பரிமாற்ற சட்டம்
commutative law of multiplication,பெருக்கல் பரிமாற்ற விதி
commutative operation,பரிமாற்ற செயல்பாடு
commutator group,பரிமாற்றி குழு
commuting of matrices,மெட்ரிக்குகளின் பரிமாற்றம்
compact set,சிறிய தொகுப்பு
comparability,ஒப்பீடு
comparision of means,வழிமுறைகளின் ஒப்பீடு
comparision of percentage,சதவீத ஒப்பீடு
comparision test,ஒப்பீட்டு சோதனை
compatibility equation,பொருந்தக்கூடிய சமன்பாடு
competitive game,போட்டி விளையாட்டு
competitive situation,போட்டி நிலைமை
competitive strategy,போட்டி உத்தி
compiler,தொகுப்பி
complementary,நிரப்பு
complementary angle,நிரப்பு கோணம்
complementary event पूरक घटना,நிரப்பு நிகழ்வு பூரக் கட்டனா
complementary factor,நிரப்பு காரணி
complementary function,நிரப்பு செயல்பாடு
complementary half space,நிரப்பு அரை இடம்
complementary interval,நிரப்பு இடைவெளி
complementary set,நிரப்பு தொகுப்பு
complementation,நிரப்புதல்
complement of a set,ஒரு தொகுப்பின் நிரப்பு
complete census,முழுமையான மக்கள் தொகை கணக்கெடுப்பு
complete correlation matrix,முழுமையான தொடர்பு அணி
complete metric space,முழுமையான மெட்ரிக் வெளி
complete orthonormal set,முழுமையான ஆர்த்தோநார்மல் தொகுப்பு
complete quadrangle,முழு நாற்கர
complete quotient,முழுமையான பங்கு
complete set,மொத்த தொகுப்பு
complete solution,முழுமையான தீர்வு
completely randomised design,முற்றிலும் சீரற்ற வடிவமைப்பு
complex argument,சிக்கலான வாதம்
complex conjugate,சிக்கலான இணைப்பு
complex differentiation,சிக்கலான வேறுபாடு
complex function,சிக்கலான செயல்பாடு
complex integration,சிக்கலான ஒருங்கிணைப்பு
complex matrices,சிக்கலான மெட்ரிக்குகள்
complex number,சிக்கலான எண்
complex number field,சிக்கலான எண் புலம்
complex orthogonal matrix,சிக்கலான ஆர்த்தோகனல் அணி
complex plane,சிக்கலான விமானம்
complex quantity,சிக்கலான அளவு
complex reciprocal,சிக்கலான பரஸ்பர
complex resultant,சிக்கலான விளைவாக
complex space,சிக்கலான இடம்
complex valued function,சிக்கலான மதிப்புள்ள செயல்பாடு
complex variable,சிக்கலான மாறி
componendo and divindendo,கூட்டு மற்றும் டிவிண்டெண்டோ
component,கூறு
component analysis,கூறு பகுப்பாய்வு
component of variance,மாறுபாட்டின் கூறு
component of vector,திசையன் கூறு
composite function,கூட்டு செயல்பாடு
composite hypothesis,கூட்டு கருதுகோள்
composite number,கூட்டு எண்
composite series,கூட்டுத் தொடர்
composition of vectors,திசையன்களின் கலவை
compound angle,கூட்டு கோணம்
compound division,கூட்டுப் பிரிவு
compound fraction,கலவை பின்னம்
compound interest,கூட்டு வட்டி
compound probability,கூட்டு நிகழ்தகவு
compressible flow,சுருக்கக்கூடிய ஓட்டம்
compression,சுருக்கம்
computation,கணக்கீடு
computational formula,கணக்கீட்டு சூத்திரம்
computed value,கணக்கிடப்பட்ட மதிப்பு
computer,கணினி
computer algorithm,கணினி அல்காரிதம்
computer programme,கணினி நிரல்
computer programming,கணனி செய்நிரலாக்கம்
computer simulation,கணினி உருவகப்படுத்துதல்
computing,கம்ப்யூட்டிங்
concave function,குழிவான செயல்பாடு
concave polygon,குழிவான பலகோணம்
concave programming,குழிவான நிரலாக்கம்
concentric circles,மைய வட்டங்கள்
concentric curves,செறிவான வளைவுகள்
concrete form,கான்கிரீட் வடிவம்
concurrency of lines,வரிகளின் ஒத்திசைவு
concurrent,ஒரே நேரத்தில்
concurrent forces,ஒரே நேரத்தில் சக்திகள்
conditional density function,நிபந்தனை அடர்த்தி செயல்பாடு
conditional distribution,நிபந்தனை விநியோகம்
conditional expectation,நிபந்தனை எதிர்பார்ப்பு
conditional mean,நிபந்தனை சராசரி
conditional probability,நிபந்தனை நிகழ்தகவு
condition of collinearity,கோலினரிட்டி நிலை
condition of consistency,நிலைத்தன்மையின் நிலை
condition of integrability,ஒருங்கிணைப்பு நிலை
condition of tangency,தொடுநிலையின் நிலை
cone,கூம்பு
confidence interval,நம்பக இடைவெளியை
confidence interval estimate,நம்பிக்கை இடைவெளி மதிப்பீடு
confidence limits,நம்பிக்கை வரம்புகள்
confidence region,நம்பிக்கை மண்டலம்
conflict situation,மோதல் சூழ்நிலை
confocal conics,confocal conics
confocal ellipses,கன்ஃபோகல் நீள்வட்டங்கள்
confocal geometry,கன்ஃபோகல் வடிவியல்
confocal hyperbolae,கன்ஃபோகல் ஹைபர்போலா
confocal hyperboloids,கன்ஃபோகல் ஹைப்பர்போலாய்டுகள்
confocal parabola,கன்ஃபோகல் பரவளையம்
confocal paraboloidal cordinates,confocal paraboloidal cordinates
conformal,இணக்கமான
conformal mapping,முறையான மேப்பிங்
congruence,ஒற்றுமை
congruence of circles,வட்டங்களின் ஒற்றுமை
congruent,ஒத்த
congruent matrices,ஒத்த மெட்ரிக்குகள்
conic,கூம்பு
conical frustum,கூம்பு விரக்தி
conical helix,கூம்பு சுருளி
conical section,கூம்பு பிரிவு
conics,கூம்புகள்
conic section,கூம்பு பிரிவு
conjugate,இணை
conjugate angles,இணைந்த கோணங்கள்
conjugate axis,இணைந்த அச்சு
conjugate complex numbers,சிக்கலான எண்களை இணைக்கவும்
conjugate directions,இணைந்த திசைகள்
conjugate functions,இணைந்த செயல்பாடுகள்
conjugate of matrix,அணி இணை
conjugate permutation,இணை வரிசைமாற்றம்
conjugate transpose,இணைந்த இடமாற்றம்
conjuction,இணைதல்
consecutive,தொடர்ச்சியாக
consecutive numbers,தொடர்ச்சியான எண்கள்
conservation of energy,ஆற்றல் சேமிப்பு
conservation of mass,வெகுஜன பாதுகாப்பு
conservative,பழமைவாத
consistency,நிலைத்தன்மையும்
consistency condition,நிலைத்தன்மை நிலை
consistent estimate,நிலையான மதிப்பீடு
consistent estimator,நிலையான மதிப்பீட்டாளர்
consistent statistic,நிலையான புள்ளிவிவரம்
consistent system,சீரான அமைப்பு
consol,கன்சல்
constant,நிலையான
constant acceleration,நிலையான முடுக்கம்
constant function,நிலையான செயல்பாடு
constant of gravity,ஈர்ப்பு நிலையானது
constant of integration,ஒருங்கிணைப்பின் நிலையானது
constant of proportionality,விகிதாச்சாரத்தின் மாறிலி
constant parameter,நிலையான அளவுரு
constant polynomial,நிலையான பல்லுறுப்புக்கோவை
constant proportion,நிலையான விகிதம்
constant speed,நிலையான வேகம்
constant term,நிலையான கால
constant velocity,நிலையான வேகம்
constitutive equation,அமைப்புச் சமன்பாடு
constraint,கட்டுப்பாடு
construct,கட்டமைக்க
construction,கட்டுமானம்
consumer preference,நுகர்வோர் விருப்பம்
consumption function,நுகர்வு செயல்பாடு
contact angle,தொடர்பு கோணம்
contact point,தொடர்பு புள்ளி
contained in,இதில் இருக்கிறது
contingency table,தற்செயல் அட்டவணை
continuum mechanics,தொடர்ச்சியான இயக்கவியல்
continued fraction,தொடர்ந்த பின்னம்
continued product,தொடர்ந்த தயாரிப்பு
continuity,தொடர்ச்சி
continuity of function,செயல்பாட்டின் தொடர்ச்சி
continuity test,தொடர்ச்சி சோதனை
continuous,தொடர்ச்சியான
continuous derivative,தொடர்ச்சியான வழித்தோன்றல்
continuous distribution,தொடர்ச்சியான விநியோகம்
continuous from above,மேலே இருந்து தொடர்ந்து
continuous function,தொடர்ச்சியான செயல்பாடு
continuously differentiable,தொடர்ந்து வேறுபடக்கூடியது
continuous map,தொடர்ச்சியான வரைபடம்
continuous mapping,தொடர்ச்சியான மேப்பிங்
continuous probability density function,தொடர்ச்சியான நிகழ்தகவு அடர்த்தி செயல்பாடு
continuous probability distribution,தொடர்ச்சியான நிகழ்தகவு விநியோகம்
continuous random variable,தொடர்ச்சியான சீரற்ற மாறி
continuous sample space,தொடர்ச்சியான மாதிரி இடம்
continuous variable,தொடர்ச்சியான மாறி
continuous wave,தொடர்ச்சியான அலை
continuum,தொடர்ச்சி
