Malayalam,Kannada
ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ,ಪುರಾತತ್ವ-ಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ,ಪ್ರದೇಶದ ಅಂಕಿಅಂಶಗಳು
പദേശം,ಪ್ರದೇಶ
വരണ്ട ആവാസവ്യവസ്ഥ,ಶುಷ್ಕ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
വര്ഷ്ടിക്കുക,ಹದಮೆರಗಿ
സൗരഭം,ಸುವಾಸನೆ
ആരോമാറ്റിക് പ്ലാന്റ്,ಆರ್ಯ ಸಸ್ಯ
ആരോമാറ്റിക് അരി,ಆರೊಮ್ಯಾಟಿಕ್ ಅಕ್ಕಿ
അഴുക്കുചാല്,ಬಾಣ
അശെപ്സിസ്,ಕಸ ರೋಗಿಗಳು
അസെപ്ലെവ്,ಅಸೆಪ್ಟ್
അസുഖകരമായ പ്രചരണം,ಅಲೈಂಗಿಕ ಪ್ರಸಾರ
അസേ,ಪರಾಕ್ರಮ
ആസ്തി,ಸ್ವಸಮಾನಗಳು
ഉറപ്പ്,ಏಕೀಕರಣ
ചങ്ങാത്തം,ಸಂಘ
രേണിംഗന്റ്,ತಗ್ಗು
അസിനാപ്സിസ്,ಕಸ ರೋಗ
Atawavism,ಅಟಾವ್ ವಾದ
ആലേറ്ററിജർ,ವ್ಯಭಿಚಾರಿ
അട്രോഫി,ಕ್ಷೀಣತೆ
ഓട്ടോഗാമി,ಸ್ವಯಂಚಾಲಿತ
ഓട്ടോലിസിസ്,ಆಟೊಲಿಸಿಸ್
യന്തവഹനം,ದಾಟುವಿಕೆ
ഓട്ടോപോളിപ്ലോയിഡ്,ಸ್ವಯಂಚಾಲನ ಫಲಕ
ഓക്സിൻസ്,ಸಮಶೀತ
Awn (ബ്രിട്ട്),AWN (ಬಿರುಗೂದಲುಗಳು)
ബദാം കായ്,ಬಾದು
കറ്റാർ,ಅಡೆ
അമരന്തസ്,ಹುಳಿ
ആംമി,ಅಮ್ಮ
അഞ്ജൻ പുല്ല്,ಅಂಜಾನ್ ಹುಲ್ಲು
ആന്തറിയം,ಆಧಿವಾತ
"ആരോള, ഇന്ത്യൻ നെല്ലിക്ക","ಅಯಾನ್ಲಾ, ಭಾರತೀಯ ಗೂಸ್ಬೆರ್ರಿ"
ആപ്പിൾ,ಸೇಬು
ആപ്രിക്കോട്ട്,ಏಪ್ರಲಿ
Arbian ജാസ്മിൻ,ಆರ್ಬಿಯಾನ್ ಜಾಸ್ಮಿನ್
Arcaunt,ಅರೆನಗವ
അർജുൻ,ಹಳ್ಳ
അസ്ഫോറ്റിഡ,ಅಸ್ಫೊಟಿಡಾ
ആഷ് പൊറോട്ട,ಬೂದಿ ಸೋರೆಕಾಯಿ
അശോക ട്രീ,ಅಶೋಕ ಮರ
അഷെതർ കള (യൂഫോർബിയ),ಆಶ್ಥಮಾ ವೀಡ್ (ಯುಫೋರ್ಬಿಯಾ)
ശതാവരിച്ചെടി,ಶತಾವರಿ
അവോക്കാഡോ,ಆವಕಾಡು
പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ),ಅಲ್ಫಾಲ್ಫಾ (ಲುಸೆರ್ನ್)
ഉറുമ്പുകൾ,ಇರುವೆಗಳು
മുഞ്ഞ,ಗಿಡಹೇನುಗಳು
സൈനിക വേം,ಸೈನ್ಯದ ಹುಳು
കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ,ಕೃಷಿ ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ
കാർഷിക വിപുലീകരണവാദി,ಕೃಷಿ ವಿಸ್ತರಣಾವಾದಿ
കാർഷിക ശാസ്ത്രജ്ഞൻ,ಕೃಷಿ ವಿಜ್ಞಾನಿ
കാർഷിക എഞ്ചിനീയർ,ಕೃಷಿ ಎಂಜಿನಿಯರ್
അഗ്രോബയോളജിസ്റ്റിക്,ಕೃಷಿ ವಿಜ್ಞಾನಿ
അഗ്രോണമിസ്റ്റ്,ಕೃಷಿವಾದಿ
Agrofysicst,ಕೃಷಿ ಭೌತ
മൃഗങ്ങളുടെ ബ്രീഡർ,ಪ್ರಾಣಿ ತಳಿಗಾರ
ബാസിലസ് വൈറസ്,ಬ್ಯಾಸಿಲಸ್ ವೈರಸ್
ബാസിലസ്,ಗಾಡಿ
ബാക്ടീരിയ,ಬ್ಯಾಕ್ಟೀರಿಯಾ
ബാക്ടറോമോക്സിൻ,ಬ್ಯಾಕ್ಟೀರಿಯೊಕ್ಸಿನ್
ബാഗസ്,ಬಜಾಸ್ಸೆ
ബാലൻസ് ഷീറ്റ്,ಸಮತೋಲನ
സമതുലിതമായ ബീജസങ്കലനം,ಸಮತೋಲನೀಕರಣ
ബാർ ഡയഗ്രം,ಗಿರಣಿ ರೇಖೆ
കുര,ತೊಗಟೆ
ബാരോമീമീറ്റർ,ಮಾಪಕ
തരിശായ,ಬಂಜೆ
അടിത്തറ,ಬೇನೆ
പരന്നപാതം,ಜಲಾನಯನ ಪ್ರದೇಶ
അടിസ്ഥാനപരമായ,ಸ್ವಲ್ಪ
ബസിസ്റ്റർനം,ಬಾಸದ
ബേ മൺസൂൺ,ಕೊಂಬೆ ಮಾನ್ಸುನ್
വഹിക്കുന്ന പ്ലാന്റ്,ಹೊಳಪಿನ
കിടക്ക,ಹಾಸಿಗೆ
അടിദേഡർ,ದಟ್ಟಕಾರ
ശയ്യോപകരണങ്ങള്,ಹಾಸಿಗೆ
ബീറ്റ്റൂട്ട് മോളസ്,ಬೀಟ್ ಮೊಲಾಸಸ್
മണിനാദം,ಬೆನ್ನೆಲುಬು
അരപ്പട്ട,ಪಟ್ಟಿಗೆ
ആനുകൂല്യ-വില വിശകലനം,ಲಾಭ-ವೆಚ್ಚ ವಿಶ್ಲೇಷಣೆ
പക്ഷപാതപരമായ (സാമ്പിൾ),ಪಕ್ಷಪಾತ (ಮಾದರಿ)
ബിനാത്തില്,ದ್ವೈವಾರ್ಷಿಕ
ബിനോമിയൽ,ದ್ವಿಪದೀಯ
ബയോജന്റ്,ಜೈವಿಕ ವ್ಯಾಪ್ತಿಯ
ബയോക്രിമേറ്റ്,ಜೈ ಜೈವಿಕ ಗ್ರಂಥಾಲಯ
ബയോ എനെർജി,ಜೈವಿಕ ಕರ್ತವ್ಯ
ബയോണോമിക്സ്,ಜೈವಿಕಶಾಸ್ತ್ರ
BIOREACTOR,ಜೈವಿಕ ರಿಯಾಯಿತಿ
ബയോസ്ഫിയർ,ಜೀವಗೋಳ
ഉപകാരന്,ಜೈವಿಕ
ബയോട്ടിവൈപ്പ്,ಬಯೋಟೈತನ
ബൈസെക്ഷ്വൽ,ದ್ವಿಲಿಂಗಿ
ബ്ലാഞ്ചിംഗ്,ಚಿರತೆ
സ്ഫോടനം,ಹರಡು
സങ്കലനം,ಮಿಶ್ರಣ
വരണ്ടതാണ,ಗದ್ದಲ
പൊള്ളല്,ಗುಳ್ಳೆ
നീല വിപ്ലവം,ನೀಲಿ ಕ್ರಾಂತಿ
ചുവടെ ചൂട് ചേമ്പർ,ಕೆಳಗಿನ ಶಾಖ ಕೊಠಡಿ
ചുവടെയുള്ള താപ രീതി,ಕೆಳಗಿನ ಶಾಖ ತಂತ್ರ
തണ്ണീര്,ಹೊಟ್ಟು
ശാചിനമായ,ಕವಲೊಡೆ
ലഘുലേഖ,ಸಣ್ಣ ಕೊಂಬೆ
ഇനം,ತಳಿ
പ്രജനനം,ತಳಿ
തിളങ്ങുന്ന,ಕಂಗುರು
കുഞ്ഞുങ്ങള്,ಸಂಸಾರ
വളർന്നുകാരി,ಮೊಳಕೆಯ
വരവ്ചെലവ് മതിപ്പ്,ಬಜೆ
ബഫർ,ಬಫಲು
ബൾബ്,ಬಟಗು
മുണ്ടു,ಚೂರುಚೂರಾಗಿ
ഉപോൽപ്പന്നം,ಉಪ-ಉತ್ಪನ್ನ
ബാബുൾ അക്കേഷ്യ,ಬಾಬುಲ್ ಅಕೇಶಿಯ
കുഞ്ഞ് ധാന്യം,ಬೇಬಿ ಕಾರ್ನ್
ബാലിനെ,ಬುದ್ದಿ
ബില്ലാൻ,ಬಾಯಿ
ബൽസം,ಕಸಕ
മുള,ಬಿದಿರು
വാഴപ്പഴം,ಬಾಳೆಹಣ್ಣು
ബനിയൻ ട്രീ,ಆಲದ ಮರ
യവം,ಬಾರ್ಲಿ
ബാർയ്യാർഡ് മില്ലറ്റ്,ಬಾರ್ನ್ಯಾರ್ಡ್ ರಾಗಿ
തുളക്ടി,ತುಳಸಿ
ബാസ്റ്റാർഡ് ദേവദാരു,ಬಾಸ್ಟರ್ಡ್ ಸೀಡರ್
ബാസ്റ്റാർഡ് മൈറോബലൻ,ಬಾಸ್ಟರ್ಡ್ ಮೈರೋಬಾಲನ್
ബവായീനിയ,ಮಾಟ
ബേ ബെറി,ಕೊಲ್ಲಿ ಬೆರ್ರಿ
അമര,ಹುರುಳಿ
മധുരക്കിഴങ്ങുചെടി,ಬೀಟ್
ബെല്ലഡോണ,ಬೆಲ್ಲ
മുളകു,ಗಡಿ
പതുക്കമുള്ള,ಗಡಿ
മുയേറ്റ,ಬಿಲ್ಲೆ
ബിലിമ്പി,ಬಿಲಿಂಬಿ
പാവയ്ക്ക,ಹಾಗಲಕಾಯಿ
കറുത്ത ഗ്രാം,ಕಪ್ಪು ಗ್ರಾಂ
കറുത്ത നൈറ്റ്ഷെയ്ഡ്,ಕಪ್ಪು ನೈಟ್ಶೇಡ್
ബ g ഗൻവില്ല,ಬಾಗ್‌ನ್ವಿಲ್ಲಾ
കുപ്പി ബ്രഷ്,ಬಾಟಲಿ ಕುಂಚ
ബോട്ടിൽ പൊറോട്ട,ಬಾಟಲಿ ಸೋರೆ
ബോക്സ് മരം,ಬಾಕ್ಸ್ ಮರ
ബ്രെഡ് ഫലം,ಬ್ರೆಡ್ ಹಣ್ಣು
വധുവിന്റെ ക്രീപ്പർ,ವಧುವಿನ
വശ്ശീല,ಬಿಲ್ಲಾ
വിശാലമായ ബീൻ,ವಿಶಾಲ ಹುರುಳಿ
ബ്രോക്കോളി,ಕೋಸುಗಡ್ಡೆ
ബ്രസ്സൽസ് മുള,ಬ್ರಸೆಲ್ ಮೊಳಕೆ
താനിന്നു,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯೆಟ್
ബദ്ധ,ದೆವ್ವ
ബാൻഡികാൂട്ട്,ದಳ
കരടി,ಕರಾರು
വണ്ട്,ಜೀರುಂಡೆ
ബ്ലിസ്റ്റർ വണ്ട്,ಗುಳ್ಳೆ ಜೀರುಂಡೆ
നീല കാള,ನೀಲಿ ಬುಲ್
ബോൾ വേം,ಬಾಲ್ ಹುಳು
ചിതശലഭം,ಚಿಟ್ಟೆ
ബാക്ടീരിയോളജിസ്റ്റ്,ಬ್ಯಾಕ್ಟೀರಿಯವಿಜ್ಞಾನಿ
ബയോകെമിസ്റ്റ്,ಜೈವಿಕ ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ
ജീവശാസ്തജ്ഞന്,ಜೀವಶಾಸ್ತ್ರಜ್ಞ
ബയോടെക്നോളജിക്,ಜೈವಿಕ ತಂತ್ರಜ್ಞಾನಶಾಸ್ತ್ರಜ್ಞ
സസ്യശാസ്ത്രജ്ഞൻ,ಸಸ್ಯಶಾಸ್ತ್ರಜ್ಞ
സി ഈർപ്പം സ്വഭാവ വക്ര,ಸಿ ತೇವಾಂಶ ವಿಶಿಷ್ಟ ವಕ್ರರೇಖೆ
കേയ്ക്ക്,ಕೇಕು
കണക്കാക്കാന്വേമികമായ,ಕ್ಯಾಲ್ಕೇರಿಯ
കണക്കുകഷ്ടം,ಲೆಕ್ಕಪರಿಶೋಧನೆ
ഫോസ്ഫേറ്റിന്റെ കാൽനികം,ಫಾಸ್ಫೇಟ್ನ ಲೆಕ್ಕಾಚಾರ
കൗണം,ಗಲಾಟೆ
ഞങ്ങളെ വിളിക്കൂ,ನಮ್ಮನ್ನು ಕರೆ ಮಾಡಿ
കാലിക്സ്,ಕಣಿವೆ
കാലിക്സ്-അവസാനം,ಕ್ಯಾಲಿಕ್ಸ್ ಅಂತ್ಯ
കാമ്പി,ಕ್ಯಾಂಬಿಯಂ
കാൻകെറർ,ಗೋಪುರ
കാനിംഗ്,ಡಬ್ಬಿ
മേലാപ്പ്,ಮೇಲಾವರಣ
തലസ്ഥാനം,ಬಂಡವಾಳ
പിസേരിഫിക്കേഷൻ,ರಭಸ
കാപ്സ്യൂൾ,ಬಿರಡೆ
കാർബണേറ്റഡ്,ಇಂಗಾಲದ
കാർബണലൈസേഷൻ,ಇಂಗಾಲೀಕರಣ
പരല്പം,ಗಡಿ
കാർപസ്,ಗಾಡಿ
കാസ്റ്റിംഗ്,ಬಿಂಚು
കാറ്റബോളിസം,ಕಟಾಬೋಲಿಸಂ
കവചലിസ്,ವೇಗವರ್ಧನೆ
ചിതശലഭപ്പുഴു,ಮರಿಹುಳು
സി-ഡിഎൻഎ ലൈബ്രറി,ಸಿ-ಡಿಎನ್‌ಎ ಗ್ರಂಥಾಲಯ
മച്ച്,ಚಾವಣಿಯ
കോശം,ಕೋಶ
കേന്ദ്ര നേതാവ് സംവിധാനം,ಕೇಂದ್ರ ನಾಯಕ ವ್ಯವಸ್ಥೆ
ഒരിനംവീപ്പ്,ಕೇಂದ್ರೀಯ
സെൻറ്ഫ്യൂഗേഷൻ,ಕೇಂದ್ರೀಕರಣ
കേന്ദ്രീകൃത,ಕೇಂದ್ರಾಪಗಾಮಿ
സെൻട്രിയോൾ,ಕೇಂದ್ರ
നൂന്കോജാനിക്,ಮಧ್ಯಭಾಗದ
നൂനിശ്ചയമുള്ള,ಮಧ್ಯಮ ಜನಕ
കടല്ചലട്,ಸರ್ಕಸ್
ധാനം,ಏಕದಳ
സാക്ഷപ്പെടുത്തല്,ಪ್ರಮಾಣೀಕರಣ
സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്,ಬೀಜ
ചാട്ട,ಚಾವಟಿ
ചാലസ,ದನಗಳು
പരോപപാതം,ರಾಸಾಯನಿಕತೆ
ചിയാസ്മ,ಚಿರತೆ
ചില്ലിംഗ് സമയം,ತಣ್ಣಗಾಗುವ ಸಮಯ
ചില്ലിംഗ് പരിക്ക്,ತಣ್ಣಗಾಗುವುದು
ചിമേര,ಚಿಮಿಯ
ക്ലോറോറാന്തി,ಕ್ಲೋರಾಂಥಿ
ക്ലോറോഫിൽ,ಚೂರು
ക്ലോറോസിസ്,ಕ್ಲೋರೋಸಿಸ್
ക്ലോറോളജി,ಕ್ಲೋರಸ್ ಶಾಸ್ತ್ರ
ക്രോമാറ്റിഡ്,ವರ್ಣರಂಜಿತ
ക്രോമാറ്റിൻ,ಕ್ರೊಮ್ಯಾಟಿನ್
ക്രോമാറ്റോഗ്രാഫി,ವರ್ಣರೇಖನ
ക്രോമാറ്റോളിസിസ്,ವರ್ಣರಂಗೀಕರಣ
ക്രോമസെന്റ്റന്റ്,ವರ್ಣಚಿತ್ರ
ക്രോമോജെനിസിസ്,ವರ್ಣಗುವನ
ക്രോമോപ്രോട്ടൻ,ವರ್ಣರಂಜಿತ
ക്രോമസോം,ವರ್ಣತಂತು
വിട്ടുമാറാത്ത,ದೀರ್ಘಕಾಲದ
സിട്രഞ്ച്,ನಲಿದ
പചാരു,ಕ್ಲಾಡೋಡ್
വര്ഗീകരണം,ವರ್ಗೀಕರಣ
കളിമണ്ണ്,ಮಣ್ಣಿನ
ശുചിയാക്കല്,ಸ್ವಚ್ aning ಗೊಳಿಸುವುದು
Clistogay,ಕ್ಲಿಸ್ಟೊಗಮಿ
ക്ലൈമാക്രിക് ഫ്രൂട്ട്,ಕ್ಲೈಮ್ಯಾಕ್ಟರಿಕ್ ಹಣ್ಣು
കാലാവസ്ഥ,ವಶ
കാലാവസ്ഥയുള്ള,ಹವಾಮಾನಶಾಸ್ತ್ರ
ക്ലിപ്പര്,ಹಸುರು
വലം,ಹೆಪ್ಪುಗಟ್ಟಿಸು
ക്ലോൺ,ತದ್ರೂಪಿ
മേഘം,ಮೋಡ
തോപ്പ്,ಕಡು
ക്ലസ്റ്റർ,ಚೂರು
പരുക്കനായ,ಒರಟಾದ
കോട്ട് (വിത്ത്),ಕೋಟ್ (ಬೀಜ)
കീടകോശം,ಕೋಕೂನ್
Coenzyme,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ
ഏകീകരണം,ಒಗ್ಗಟ್ಟು
കയർ,ಗುಣ
കൊളോറൈസ,ಕೋಲೀರರಿ iz ಾ
കുപ്പായക്കഴുത്ത്,ಕತ್ತುಪಟ್ಟಿ
കൊളോയിഡ് (മണ്ണ്),ಕೊಲಾಯ್ಡ್ (ಮಣ್ಣು)
കൊളംറ്റെല്ല,ಕೊಲ್ಯುಮೆಲ್ಲಾ
കോളം,ಕಾಲಮ್
ആമേനസം,ಆರಂಭದ ಆರಂಭ
വാണിജ്യ ബാങ്ക്,ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್
ചരക്ക്,ಸರಕು
സമൂഹം,ಸಮುದಾಯ
കോംപാക്ഷൻ (മണ്ണിന്റെ),ಸಂಕೋಚನ (ಮಣ್ಣಿನ)
അനുയോജ്യത,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
അനുയോജ്യത,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
നഷ്ടപരിഹാരം,ಪರಿಹಾರ
മത്സര ഇടപെടൽ,ಸ್ಪರ್ಧಾತ್ಮಕ ಸಂವಹನ
പൂരക വിള,ಪೂರಕ ಬೆಳೆ
കോംപ്ലമായ,ಸಂಕೀರ್ಣ
ഘടകം,ಅಂಶ
രചന,ಸಂಯೋಜನೆ
കമ്പോസ്റ്റ്,ಕಾಂಪೋಸ್ಟ್
കൂട്ടുപലിശ,ಚಕ್ರಬಡ್ಡಿ
കണക്കുകൂട്ടൽ,ಗಣನೆ
കന്വൂട്ടര്,ಕಂಪ್ಯೂಟರ್
ഏകാഗത,ಏಕಾಗ್ರತೆ
