Hindi,Gujarati
"(व्यक्‍ति) परिचित, परिचय",પરિચય
"अधिग्रहण, अर्जन",સંપાદન
"भुगतान, भरपाई, निस्तारण",મુક્તિ
"कार्य, कृत्य, अधिनियम",કૃત્ય
कार्यकारी भत्‍ता,કાર્યકારી ભથ્થું
"कार्रवाई, क्रिया, कार्य, संघर्ष",ક્રિયા
कार्य योजना,કાર્ય યોજના
सक्रिय,સક્રિય
"सक्रियता से, सक्रियतापूर्वक",સક્રિયપણે
"कर्मठ कार्यकता, सक्रियतावादी",સક્રિયકાર્ય
दैव कृत्य,ભગવાનનો કૃત્ય
कदाचार,ગેરવર્તન
भूल-चूक,કમિશન અને કમિશન અને બાદબાકી
वास्तविक,વાસ્તવિક
वास्तविक आंकडे,વાસ્તવિક
"अनुकूलन, रूपांतर",અનુકૂલન
"योग, जोड़, परिवर्धन",વધારા
अतिरिक्‍त प्रभार,વધારાનો ખર્ચ
अतिरिक्‍त निधि,વધારાના નિધિ
अतिरिक्‍त अनुदान,વધારાની અનુદાન
"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी",વધારાની માહિતી
अतिरिक्‍त वेतन,વધારાનો પગાર
परिवर्तन-परिवर्धन,ઉમેરો અને ફેરફાર
"पता, अभिभाषण, संबोधन, संबोधित करना, मानपत्र, विचार करना",સંબોધન
"पाने वाला, प्रेषिती",સંબોધન કરનાર
अभिनंदन पत्र,સ્વાગતનું સરનામું
पर्याप्‍त,પૂરતું
"पर दृढ़ रहना, पर जमे रहना",ને અનુરૂપ બનાવવું
तदर्थ,તદર્થ
तदर्थ दावा,તદર્થપત્ર
तदर्थ समिति,તદર્થ સમિતિ
तदर्थ वृद्‌धि,તદર્થ વધારો
तदर्थ भुगतान,તદ્દન ચુકવણી
‍पार्श्‍वस्थ,અડીને
"लगा होना, सटा होना",અડીને (= સુસંગત)
स्थगन,મોકૂફી
"स्थगन प्रस्ताव, काम रोको प्रस्ताव",મોકૂફીની દરખાસ્ત
न्यायनिर्णीत करना,ન્યાયનિર્ણય કરવો
न्यायनिर्णय करना,ન્યાયનિર્ણય કરવો
न्यायनिर्णयन,ન્યાયનિર્ણય
न्यायनिर्णायक,ન્યાયનિધીકરણ કરનાર
समायोजन,સમાયોજન
"प्रशासन करना, देना, दिलाना, व्यवस्था करना",સંચાલન કરવું
शपथ दिलाना,સોગંદ કરવો
प्रशासन,વહીવટ
न्याय-प्रशासन,ન્યાય પ્રણાલી
प्रशासनिक,વહીવટી
प्रशासनिक कार्रवाई,વહીવટી પગલાં
प्रशासनिक मूल्यांकन,વહીવટી મૂલ્યાંકન
प्रशासनिक अनुमोदन,વહીવટી મંજૂરી
प्रशासनिक प्राधिकारी,વહીવટી સત્તા
प्रशासनिक नियंत्रण,વહીવટી નિયંત્રણ
प्रशासनिक निर्णय,વહીવટી નિર્ણય
प्रशासकीय विभाग,વહીવટી વિભાગ
प्रशासनिक प्रधान,વહીવટી વડા
प्रशासनिक मुख्यालय,વહીવટી મથક
प्रशासनिक उपाय,વહીવટી પગલાં
"प्रशासी शक्‍ति, प्रशासनिक शक्ति",વહીવટી સત્તા
प्रशासनिक मंजूरी,વહીવટી મંજૂરી
"प्रशासन तकनीक, प्रशासनिक प्रविधि",વહીવટી તકનીક
प्रशासनिक अधिकरण,વહીવટી પંચ
ग्राह्‌यता: स्वीकार्यता,સ્વીકાર્યતા
ग्राह्‌य व्यय,સ્વીકાર્ય ખર્ચ
"प्रवेश करने देना, अंदर आने देना, स्वीकार करना, प्रविष्‍ट करना, दाखिल करना, दाखिला देना",કબૂલવું
"प्रवेश पत्र, प्रवेश पत्रक",પ્રવેશ કાર્ડ
"प्रविष्‍ट दाखिल, स्वीकृत",સ્વીકૃત
भर्त्‍सना करना,સલાહ આપવી
दत्‍तक,દત્તક
दत्‍तकगृहीता,અપનાવનાર
"अंगीकरण, दत्‍तक-ग्रहण",દત્તક
"प्रौढ, वयस्क",પુખ્ત
"अपमिश्रण, मिलावट",ભેગ
जारकर्म,વ્યભિચાર
वयस्क मताधिकार,પુખ્ત મતાધિકાર
यथामूल्य शुल्क,બહાનું
"अग्रिम, पेशगी",આગળ વધવું
अग्रिम बुकिंग,અગ્રિમ બુકિંગ
अग्रिम प्रति,અગ્રિમ પ્રત
अग्रिम  वृद्‌धि,અગ્રિમ ઈજા
"अग्रिम अदायगी, अग्रिम भुगतान",અગાઉથી ચુકવણી
"प्रतिकूल इंदराज, प्रतिकूल प्रविष्‍टि",પ્રતિકૂળ નોંધ
प्रतिकूल अभ्युक्‍ति,પ્રતિકૂળ નોંધ
प्रतिकूल रिपोर्ट,પ્રતિકૂળ અહેવાલ
विज्ञापन,જાહેરખબર
"सलाह, सूचना, संज्ञापन",સલાહ
"भुगतान सूचना, भुगतान-संज्ञापन",ચુકવણી
सलाहकार समिति,સલાહકાર સમિતિ
सलाहकार परिषद्,સલાહકાર પરિષદ
"अधिवक्‍ता, एडवोकेट, पक्ष-समर्थक",હિમાયતી
"कार्य, मामले",બાબતો
"शपथपत्र, हलफ़नामा",સોગંદનામું
संबंधन,જોડાણ
"अभिपुष्‍टि, प्रतिज्ञान",સમર્થન
सकारात्मक,ખાતરીપૂર્વક
"समर्थ होना, प्रदान करना, दे सकना",પરવડી
पूर्वोक्‍त,ઉપરોક્ત
नए सिरे से,ફરી
"विरुद्‌ध, के प्रति, के सामने, के सम्मुख, की तुलना में",વિરુદ્ધ
"आयु, उम्र, युग",ઉંમર
आयु प्रमाणपत्र,વય પ્રમાણપત્ર
मताधिकार आयु,મતાધિકાર માટે વય
आयु सीमा,વય -મર્યાદા
"अभिकरण, एजेंसी",સંસ્થા
कार्यसूची,કાર્યસૂચિ
सेवानिवृत्‍ति आयु,નિવૃત્તિની ઉંમર
अधिवर्षिता आयु,નિવૃત્તિની ઉંમર
"समुच्चय, समूह",એકંદર
व्यथित,નારાજ
आंदोलन,આંદોલન
"वार्षिक महासभा, वार्षिक आमसभा",અકસ્માત
"क़रार, अनुबंध, सहमति, रजामंदी",સહમત
"क़रारनामा, अनुबंध पत्र",સહમત ફોર્મ
कृषि,કૃષિ
कृषि-उद्‌योग,કૃષિ ઉદ્યોગ
"सहायता, मदद",સહાય
"आपद संकेत, खतरे का संकेत, अलार्म",ભય
सजगता,જાગરૂકતા
"उपनाम, उर्फ़ (क्रि.वि.)",ઉર્ફે
अभिकथन,આરોપ
निष्ठा,વાન
मैत्री,સુમેળ
सम्बद्‌ध सेवाएं,સંલગ્ન સેવાઓ
सर्वसमावेशी लागत,તમામ સમાવિષ્ટ ખર્ચ
अखिल भारतीय सेवा,અખરાબ સેવા
नियतन,ફાળવણી
आबंटन,ફાળવણી
आबंटन-पत्र,ફાળવણીનો પત્ર
आबंटिति,ફાળવણી કરનાર
"अनुज्ञेय, अनुमतियोग्य",માન્ય
"अनुज्ञेय व्यय, अनुमतियोग्य व्यय",માન્ય -ખર્ચ
अपील मंजूर करना,અપીલ કરવાની મંજૂરી આપવી
"भत्‍ता, छूट",છૂટ
सर्वाधिकार सुरक्षित,બધા હકો અમારી પાસે રાખેલા છે
"वर्णक्रम, अकारादिक्रम",વર્ણાનુક્રમ
कहासुनी,બોલો
"एकांतर, विकल्पी",વૈભવી
"विकल्प, वैकल्पिक",વૈકલ્પિક
समामेलन,સંવાદ
"संशोधित मसौदा, संशोधित प्रारूप",સુધારેલો મુસદ્દો
संशोधन,સુધારો
सुख-सुविधा,સુંદરતા
"सौहार्दपूर्ण, मैत्रीपूर्ण",સુખદ
गोला-बारूद,દારૂગોળો
"ऋण परिशोधन, ऋण मुक्‍ति",દેવું
"राशि, रक़म, मात्रा",રકમ
पेन्शन राशि,પેન્શનની રકમ
अनुरूप पद,એકસમાન સ્થાન
विश्‍लेषण,વિશ્લેષણ
विश्‍लेषणात्मक अध्ययन,વિશ્લેષણાત્મક
पूर्वज,વડપણ
अनुषंगी उद्‌योग,આનુષંગિક ઉદ્યોગ
बैर,શિષ્ટાચાર
संलग्नक,જોડાણ
वर्षगांठ,વર્ષગાંઠ
"उद्‌घोषण, ऐलान, आख्यापन",જાહેરાત
"खिन्‍नता, चिढ, खीज",ત્રાસ
वार्षिक वित्‍तीय विवरण,વાર્ષિક નિવેદન
वार्षिक रिपोर्ट,વાર્ષિક હિસાબ
वार्षिकी,વાર્ષિકી
"अनाम, गुमनाम",અનામી
गुमनाम शिकायत,નામંજૂર ફરિયાદ
जवाबदेही,જવાબદારપણું
उत्‍तर पत्रक,ઉત્તરવહી
विरोधी,વિરોધી
पूर्ववृत्‍त,પૂર્વવર્તીઓ
प्रत्याशित व्यय,અપેક્ષિત ખર્ચ
प्रत्याशित आय,અપેક્ષિત આવક
"प्रत्याशा, पूर्वानुमान",અપેક્ષા
अग्रिम ज़मानत,અપેક્ષિત જામીન
भ्रष्‍टाचार-निरोधक उपाय,ભ્રષ્ટાચાર માપદંડ
"प्रति-पाटन, पाटन-निरोधी",પ્રતિષ્ઠાવાન
पुरावस्तु,પ્રાચીન
रंगभेद,રંગભુળ
उदासीनता,દુ: ખ
शीर्ष निकाय,ટોચ
क्षमायाचना,માફી
"अपील, अपील करना",અપીલ
"हाजि़री, उपसंजाति, रूप",દેખાવ
तुष्‍टीकरण,સંતાપવું
अपील अधिकरण,અપીલ પંચ
परिशिष्‍ट,પરિશિષ્ટ
उपयंत्र,ઉપકરણ
"अनुप्रयोज्य, लागू",લાગુ પડે એવું
आवेदक,અરજદાર
"आवेदन, अर्ज़ी, अनुप्रयोग, लागू होना",નિયમ
"आवेदन पत्र, अर्ज़ी",અરજી પત્ર
अनुप्रयुक्‍त,લાગુ કરવું
"आवेदन करना, अर्जी देना, लागू करना, लागू होना, अनप्रयुक्‍त होना",અરજી કરવી
नियुक्‍त व्यक्‍ति,નિમણૂક કરનાર
नियुक्‍ति प्राधिकारी,નિયુક્ત સત્તા
नियुक्‍ति,નિમણૂક
नियुक्‍ति पत्र,નિમણૂક -પત્ર
मंत्रीमंडलीय नियुक्‍ति समिति,નિમણૂક સમિતિ
मजदूरी प्रभाजन,વેતનનું વિભાજન
"मूल्यनिरूपण, आंकना",મૂલ્યાંકન
मूल्यांक,મુલવણી કરનાર
"सराहना, वृद्‌धि",કદર
"पकड़ा जाना, गिरफ़्तारी, बोध, समझ, आशंका",આશંકા
शिक्षु,ઉમેદવાર
"पहुंच, उपगम, उपमार्ग, दृष्‍टिकोण",અભિગમ
"उपयुक्‍त, उचित, विनियोजन करना",યોગ્ય
उचित कार्रवाई,યોગ્ય કાર્યવાહી
उपयुक्‍त शीर्ष,યોગ્ય
विनियोजन,વિનિયોગ
अनुमोदन,મંજૂરી
"लगभग, सन्‍निकट",આશરે
"अभिक्षमता परीक्षा, रुझान परीक्षण",અભિરુચિ કસોટી
मनमाना,મનસ્વી
मध्यस्थता करना,મધ્યસ્થી
"विवाचन, माध्यस्थम्",લવાદી
माध्यस्थम् अधिकरण,લવાદી પંચ
"विवाचक, मध्यस्थ",લવાદી
वास्तुकला,સ્થાપત્ય
अभिलेखागार,દફ્તર
"क्षेत्र, क्षेत्रफल",વિસ્તાર
"क्षेत्र मुख्यालय, क्षेत्रीय मुख्यालय",વિસ્તારનું મુખ્ય મથક
"तर्क, बहस",દલીલ
"उठना, उद्‌भूत होना, पैदा होना",ઊગવું
"सशस्त्र बल, सशस्त्र सेनाएं",સશસ્ત્ર દળો
"व्यवस्था, विन्यास, प्रबंध",વ્યવસ્થા
बक़ाया,બાકી
बक़ाया विवरण,બાકી રાખનાર પત્રક
आगमन रिपोर्ट,આગોતડી અહેવાલ
"दंभ, अक्खड़पन",ઘમંડ
"आयुधागार, शास्त्रागार",શસ્ત્રસાર
"अनुच्छेद, वस्तु, लेख",વસ્તુ
संस्था के अंतर्नियम,મંડળ
नियमावली,લેખ
आरोही क्रम,ચડતો હુકમ
अभिनिश्‍चित करना,ખાતરી કરવી
जैसा है जहाँ है,જ્યાં છે ત્યાં છે
"पहलू, पक्ष, दृष्‍टि",દૃષ્ટિ
लांछन,આછા
"हत्या, हनन",હત્યા
हमला,હુમલો
"जुटना, एकत्र होना, इकट्ठा होना, जोड़ना, सम्मिलित करना, एकत्र करना",ભેગા
"सभा, जमाव",વિધાનસભા
अनुमति,અનુમાન
"दृढ़ता से कहना, जोर देकर कहना",ભારપૂર્વક કહેવું
निर्धारिती,આકારણી કરનાર
निर्धारण,આકારણી
निर्धारण वर्ष,આકારણી વર્ષ
"कर-निर्धारक, असेसर",આકારણીકાર
परिसंपत्‍ति,અસ્ક્યામત
समनुदेशिती,મુખત્ર
"समनुदेशन, सुपुर्द काम",સોંપણી
समनुदेशक,મુલકવનાર
"सहायता, मदद",સહાય
"सह, सहयुक्‍त, सम्मिलित करना, सहयुक्‍त करना",સાથી
"संघ, संगम, संबंध, साहचर्य",મંડળ
कार्यभार-ग्रहण,હવાલો
"आश्‍वासन, बीमा, हस्तांतरण पत्र",ખાતરી
बीमा कंपनी,ખાતરી કંપની
आश्‍वस्त करना,ખાતરી આપવી
बट्टे पर,અપટ
परमाणु शक्‍ति,અણુની શક્તિ
सममूल्य पर,સમકક્ષ
"बढ़े मूल्य पर, अधिमूल्य पर, प्रीमियम पर",ઈમારત
"साथ लगाना, संलग्न करना, कुर्की करना",સંલગ્ન કરવું
संलग्न कार्यालय,જોડાયેલ કચેરી
"संलग्नक, कुर्की",જોડાણ
कुर्की आदेश,જોડાણનો હુકમ
"लब्धि, प्राप्‍ति",પ્રાપ્તિ
"प्रयत्‍न करना, प्रयत्‍न",પ્રયત્ન
"उपस्थिति, हाजि़री",ઉપસ્થિત
"उपस्थिति पंजी, हाजि़री रजिस्टर",ઉપસ્થિત રજિસ્ટર
उपस्थिति पर्ची,ઉપસ્થિત કાપલી
"ध्यान, सावधान",ધ્યાન
"अनुप्रमाणन, तसदीक़",પ્રમાણન
"अनुप्रमाणित प्रति, साक्ष्यांकित प्रति",પ્રમાણિત પ્રત
अभिवृत्‍ति,વલણ
आकर्षक वेतन,આકર્ષક પગાર
नीलामी,હરાજી
नीलामकर्ता,હરાજી કરવી
नीलामी बिक्री,હરાજીનું વેચાણ
"श्रोता, दर्शक, सुनवाई, दर्शन",શ્રોતા
दृश्य-श्रव्य प्रदर्श,દૃષ્ટિકોણ
दृश्य-श्रव्य प्रचार,વિઝ્યુઅલી પ્રચાર
"लेखापरीक्षा, संपरीक्षा",હિસાબ -તપાસણી
"परीक्षित लेखा, संपरीक्षित लेखा",ઓડિટ કરેલ હિસાબ
समपरीक्षित तुलनपत्र,Ited ડિટ કરેલી સર્ટિલશીટ
लेखा परीक्षण,Itingણ
लेखापरीक्षा आपत्‍ति,હિસાબ -તપાસણીનો વાંધો
लेखापरीक्षक की रिपोर्ट,Itor ડિટર અહેવાલ
प्रेक्षागृह,સભાગૃહ
लेखापरीक्षा पैरा,ઓડિટ ફકરા
लेखापरीक्षा रिपोर्ट,હિસાબ -તપાસણી અહેવાલ
मितोपभोग,કઠોરતા
मितोपभोग उपाय,કઠોર પગલાં
प्रामाणिक,અધિકૃત
प्राधिकृत प्रतिनिधि,અધિકૃત પ્રતિનિધિ
"प्राधिकृत, प्राधिकारिक",પ્રમાણભૂત
"(व्यक्‍ति) प्राधिकारी, प्राधिकार, प्राधिकरण, अधिकारी विद्‌वान",અધિકાર
प्राधिकार पत्र,સત્તાધિકારનો પત્ર
प्राधिकृत,અધિકૃત
प्राधिकृत पूंजी,અધિકૃત મૂડી
स्वचालित,સ્વચાલિત
स्वायत्‍त,સ્વાયત્ત
स्वायत्‍त निकाय,સ્વાયત્ત સંસ્થા
स्वायत्‍तता,સ્વાયત્તતા
सहायक,સહાયક
"प्राप्य, उपलब्ध",ઉપલબ્ધ
"औसत, सामान्य",સરેરાશ
औसत छुट्टी,સરેરાશ રજા
विरुचि,અણગમો
बचा लेना,અટકાવવું
"परिहार करना, परिवर्जन करना, से बचना",ટાળવું
कर देने से बचना,કર બંધ
प्रतीक्षित,રાહ જોવાયેલું
"पंचाट, अधिनिर्णय, पुरस्कार, प्रदान करना",પુરસ્કાર
अधिनिर्णयन प्राधिकारी,પુરસ્કાર સત્તાધિકારી
जागरूकता,જાગરૂકતા
पूर्व-दिनांकित,પીછેહઠ
पृष्‍ठभूमि,પૃષ્ઠભૂમિ
पिछला बक़ाया,પાછલી લોગ
"मुकर जाना, से हटना",પાછા બહાર
पिछला संदर्भ,પાછલી વાત
पूर्तिकर,પીછેહઠ કરવી
पिछड़ा वर्ग,પછાત વર્ગ
पिछड़ी जनजाति,પછાત આદિજાતિ
"अलाभकर सौदा, घाटे का सौदा",ખરાબ સોદો
बुरा व्यवहार,ખરાબ વર્તન
"दुश्‍चरित्र, दु:शील",ખરાબ પાત્ર
विषम जलवायु भत्‍ता,ખરાબ આબોહવા ભથ્થું
दुराचरण,ખરાબ વર્તન
अशोध्य ऋण,ખરાબ દેવું
असबाब,સામાન
ज़मानत,જામીન
"शेष, बाक़ी, संतुलन",સમતોલ
अधोनीत शेष,સરખામણી નીચે લાવવામાં
अग्रेनीत शेष,સંતુલન આગળ લાવવામાં
संतुलित बजट,સમતોલ અંદાજપત્ર
तुलन पत्र,સરવૈયા
"मतपत्र, मतदान",મતદાન
मतपेटी,મતપેટી
मतपत्र,મતદાનનો કાગળ
"प्रतिबंध, रोक, पाबंदी",પ્રતિબંધ
"बैंक, साहूकारी करना",બેંક
बैंक खाता,બેંક એકાઉન્ટ
बैंक शेष,બેંક સિલક
बैंक प्रभार,બેંક ખર્ચ
"बैंक गारंटी, बैंक प्रत्याभूति",બેંક ની ખાતરી
बैंक अवकाश,બેંક રજા
बैंकिंग सुविधाबैंककारी सुविधा,બેંકિંગ સુવિધા
बैंकिंग कार्य-समय,બેંકિંગ કલાકો
"बैंक कार्य-व्यवहार, बैंक लेन-देन",બેંકિંગ લેવડદેવડ
बैंक दर,બેંક દર
बैंक समाधान,બેંક સમાધાન
दिवालिया,નાદાર
"बैंक प्रतिभूति, बैंक ज़मानत",બેંક સુરક્ષા
बैंक विवरण,બેંક સ્ટેટમેન્ટ
"प्रीतिभोज, भोज",ભોજન સમારંભ
"विधिज्ञ परिषद्, बार काउंसिल",પટ્ટી પરિષદ
"सौदा, सौदा करना",સોદો
"सौदेबाजी, सौदाकारी",સોદાબાજી
बंजर भूमि,ઉજ્જડ જમીન
वस्तु विनिमय,સાપ્તાહિક
आधार,પાયો
"निराधार, बेबुनियाद",તબાને
तहख़ाना,આધાર
आधार वर्ष,મુખ્ય વર્ષ
"मूल, बुनियादी",પાયાની
मूलतः बुनियादी तौर पर,મૂળભૂત રીતે
आधारिक आसूचना,મૂળ બાતમી
मूल वेतन,મૂળ પગાર
मूल वेतनमान,મૂળ પગાર ધોરણ
बुनियादी प्रशिक्षण,મૂળભૂત તાલીમ
आधार,આધાર
"बैच, टोली, खेप, घान",ચોપડી
"बैच नंबर, खेप नंबर",બેચ નંબર
धारक चैक,વાહક ચેક
पूर्व-कथित,ટાંકવામાં આવે તે પહેલાં
व्यवहार,વર્તન
विश्‍वास,વિશ્વાસ
अवमूल्य पर,નીચે
"न्यायपीठ, बेंच",હોદ્દો
"तल चिह्‌न, मानक",બેહદ નિશાની
"लाभप्रद, हितकारी",લાભદાયી
"हितभागी, लाभार्थी",લાભ મેળવનાર
"हितलाभ, हित, लाभ",લાભ
संदेह लाभ,શંકાનો લાભ
हितकारिता,પરોપકારી
हितकारी निधि,હિતકારી નિધિ
"वसीयत करना, वसीयत द्‌वारा देना",વારસામાં આપવું
वसीयत,વસિયતનામા
शोकसंतप्त,પડદાથી છીનવી લેવું
भरसक प्रयत्‍न,શ્રેષ્ઠ પ્રયત્નો
"सुमुन्नति, बेहतरी, खुशहाली",સુધારણા
"अभिनति, झुकाव, पूर्वाग्रह",પક્ષપાત
पूर्वाग्रही मत,પક્ષપાતી અભિપ્રાય
ग्रंथसूची,ગ્રંથસૂચિ
द्‌विवार्षिक,દ્વિવાર્ષિક
दो भागों में बांटना/बंटना,દ્વિભાજિત કરવું
द्‌विविवाह,દ્વિપૂજ
द्‌विपक्षीय,દ્વિપક્ષીય
द्‌विभाषी,દ્વિભાષી
"द्‍‌विसदन, द्‌विसदनी",દ્વિકય
"विधेयक, बिल",બિલ
विनिमय पत्र,વિનિમય
"द्‌विमासिक रिपोर्ट, अर्धमासिक रिपोर्ट",દ્વિમાસિક અહેવાલ
"जिल्दसाजी, बाध्यकारी",બાંધણી
जीवनवृत्‍त,જૈવનું
"द्‌विदक्षीय, द्‌विदलीय",દ્વિપક્ષી
द्‌विपक्षीय करार,દ્વિપક્ષીય કરાર
जन्म वर्षगाँठ,જન્મજાસતિ
जन्म प्रमाणपत्र,જન્મ પ્રમાણપત્ર
संतति निरोध,જન્મ -નિયંત્રણ
"जन्म तिथि, जन्म की तारीख",જન્મતારીખ
जन्म स्थान,જન્મસ્થળ
जन्मदर,જન્મ દર
"पाक्षिक, अर्ध-साप्ताहिक",દ્વિપક્ષીય
काली अर्थव्यवस्था,કાળા અર્થતંત્ર
"काली सूची, काली सूची में नाम डालना",કાળી યાદી
भयादोहन,શરત
"चोर बाजार, काला बाजार",કાળા બજાર
दोष लगाना,દોષારોપણ
कोरा चेक,ખાલી તપાસ
व्यापक सौदा,ઘોષણા
व्यापक आदेश,અણીદાર હુકમ
धमाका,વિનોદ
सम्मिश्रण,સંમિશ્રણ
"खंड, ब्लॉक",અવરોધ
"नाकाबंदी, अवरोध",નાકાબંધી
अवरूद्‌ध पूंजी,અવરોધિત મૂડી
"बड़ा अक्षर, साफ़ अक्षर",અવરોધ
रक्‍तदान,રક્તદાન
रक्‍त-संबंधी,રક્ત સંબંધ
कायिक कार्य,વાદળી રંગની નોકરી
"ब्लूप्रिंट, खाका",બ્લ્યુપ્રિન્ટ
झांसा,ખસી
"बोर्ड, मंडल, गत्‍ता",પાટીયું
भोजन तथा आवास,નિવારણ
निदेशक मंडल,નિયામક મંડળ
राजस्व मंडल,મહેસૂલ બોર્ડ
निकाय,મંડળ
अंगरक्षक,અંગરક્ષક
जाली वाउचर,બોગસ વાઉચર
"सद्‍भाव, सदाशयता",ખચ્ચર
"बंधपत्र, बांड",ખત
बंधुआ मज़दूर,મજૂર
बोनस,બોનસ
"टिकटघर, बुकिंग कार्यालय",નોંધણી ની ઓફીસ
"बही लेखक, मुनीम",ચોપડી
"बहीखाता पद्‌धति, बहीखाता-लेखन",ચોપડે
पुस्तिका,પુસ્તક
संदर्भ पुस्तक,સંદર્ભ
"खाता मूल्य, अंकित मूल्य",પુસ્તકની કિંમત
"बूथ, कोष्‍ठ, मतदान कोष्‍ठ",પહાડી
"बूथ कब्ज़ा करना, बूथ कब्जाना, बूथ लूटना, मतदान कोष्‍ठ पर कब्जा करना",બૂથ
सीमा भत्‍ता,સરહદ ભથ્થું
"सीमारेखा, सीमावर्ती (वि.)",સરહદ -રેખા
उधारकर्ता,Bણ લેનાર
"उधार लेने की शक्‍ति, ऋणादान शक्‍ति",ઉધાર લેવાની શક્તિ
बॉस,બસ
गत्यवरोध,સંકલ્પશક્તિ
कोष्‍ठक,કૌંસ
सीमा,હદ
"बहिष्कार, बॉयकाट",બહિષ્કાર
प्रतिभा पलायन,મગજની ગટર
शाखा कार्यालय,શાખા કચેરી
"भंग, तोड़ना",ભંગ
क़रार-भंग,કરારભંગ
विश्‍वास भंग,આત્મવિશ્વાસ
संविदा भंग,કરારભંગ
अनुशासन भंग,શિસ્તનો ભંગ
"विधिभंग, क़ानून तोड़ना",કાયદાનું ઉલ્લંઘન
शांति भंग,શાંતિનો ભંગ
विशेषाधिकार भंग,વિશેષાધિકારનો ભંગ
वचन भंग,વચનભંગ
नियम भंग,નિયમનો ભંગ
"विश्‍वास भंग, अमानत में खयानत",વિશ્વાસભંગ
"टूट-फूट, टूट-फूट प्रभार",તૂટફૂટ
ठप,ભાંગી નાખવું
सेवा में व्यवधान,કામમાં વિરામ
ब्योरा,છુટુ થવું
नस्ल,ઉછેર
"घूस, रिश्‍वत",લાંચ
"संक्षिप्त, पक्षसार, ब्रीफ़",ટૂંકું
"सार बताना, पक्षसार बताना",બ્રીફિંગ
संक्षिप्त वृत्‍त,ટૂંકું ફરી શરૂ
"शानदार कीर्तिमान, शानदार रिकार्ड",તેજસ્વી વિક્રમ
ध्यान में लाना,ધ્યાનમાં લેવું
प्रसारण,પ્રસારણ
बड़ा चिट्ठा,બ્રોડશીટ
विवरणिका,બ્રોશર
दलाली,દલાલ
अग्रानीत,આગળ લાવ્યું (બી/એફ)
