Malayalam,Bengali
ആകാശ വ്യതിയാനം,আকাশ বিকৃতি
abfarad,আবফারদ
എബൻറി,ইবেনরি
എബോണി പ്രഭാവം,আবলুস প্রভাব
അസാധാരണ ധ്രുവീകരണം,অস্বাভাবিক মেরুকরণ
അസാധാരണമായ സംക്രമണം,অস্বাভাবিক সংক্রমণ
അസാധാരണമായ പ്രതിഫലനം,অলৌকিক প্রতিফলন
അസാധാരണ അപവർത്തനം*,অস্বাভাবিক প্রতিসরণ*
അസാധാരണമായ പ്രതിരോധം,অস্বাভাবিক প্রতিরোধ
ab-om,ab-om
"മുൻതൂക്കം, പരാജയം","preponderance, ব্যর্থতা"
"ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച","সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত"
പലപ്പോഴും ചാടുന്നു,প্রায়ই লাফ দেয়
കൈ*,হাত*
പ്രതിഫലനം നഷ്ടപ്പെട്ടു,হারিয়ে যাওয়া প্রতিফলন
സ്പെക്ട്രം കാണുന്നില്ല,অনুপস্থিত বর্ণালী
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","পরম, পরম, ধ্রুবক, নিখুঁত"
സമ്പൂർണ്ണ ത്വരണം,পরম ত্বরণ
കേവല യാഥാർത്ഥ്യം,পরম বাস্তবতা
സമ്പൂർണ്ണ വിലാസം,পরম ঠিকানা
ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ,ভূ-আপেক্ষিক উচ্চতা মিটার
ഭൂമിശാസ്ത്രപരമായ ഉയരം,ভূতাত্ত্বিক উচ্চতা
കേവല ആമ്പിയർ,পরম অ্যাম্পিয়ার
സമ്പൂർണ്ണ തിളനില,পরম ফুটন্ত বিন্দু
കേവല പ്രകാശം,পরম আলোকসজ্জা
കേവല കപ്പാസിറ്റൻസ്,পরম ক্ষমতা
കേവല ഉയരം,পরম উচ্চতা
കേവല പിഗ്മെന്റ്,পরম রঙ্গক
"സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ","পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন"
കേവല കൂലം,পরম কুলম্ব
പൂർണ്ണമായ ഇരുട്ട്,সম্পূর্ণ অন্ধকার
സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്,পরম সময়সূচী
കേവല സാന്ദ്രത*,পরম ঘনত্ব*
സമ്പൂർണ്ണ ഡ്രെയിനേജ്,পরম নিষ্কাশন
സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്),পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট)
സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്),পরম ESU (স্থির শক্তি ইউনিট)
സമ്പൂർണ്ണ കാര്യക്ഷമത,পরম দক্ষতা
കേവല ഇലക്ട്രോമീറ്റർ,পরম ইলেক্ট্রোমিটার
കേവല ആവൃത്തി കേവല ആവൃത്തി,পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি
കേവല ഈർപ്പം,পরম আর্দ্রতা
കേവല സംഭവങ്ങൾ,পরম ঘটনা
കേവല അപവർത്തന സൂചിക,পরম প্রতিসরাঙ্ক সূচক
സമ്പൂർണ്ണ അസ്ഥിരത,পরম অস্থিরতা
സമ്പൂർണ്ണ അസ്ഥിരത,পরম অস্থিরতা
"കേവല തീവ്രത, കേവല തീവ്രത","পরম তীব্রতা, পরম তীব্রতা"
അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി,অ্যাথেনিয়ার পরম সীমা
കേവല പ്രകാശം സിൽ,পরম আলোকসজ্জা সিল
കേവല പ്രകാശ വക്രം,পরম হালকা বক্ররেখা
കേവലമായ അളവ്,পরম মাত্রা
കേവല ബാരോമീറ്റർ,পরম ব্যারোমিটার
പരമോന്നത പരമോന്നത,সর্বোচ্চ সর্বোচ্চ
സമ്പൂർണ്ണ പരിധി,পরম চরম
ഏറ്റവും താഴ്ന്നത്,পরম সর্বনিম্ন
കേവല ആക്കം,পরম গতিবেগ
കേവല വേഗത,পরম গতি
കേവല സംഗീതം,পরম সঙ্গীত
സമ്പൂർണ നിരീക്ഷണം,পরম পর্যবেক্ষণ
കേവല ഓം,পরম ওম
കേവല ഓറിയന്റേഷൻ,পরম অভিযোজন
കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി,পরম বৈদ্যুতিক ঋণাত্মকতা
കേവല ഗുരുത്വാകർഷണം,পরম মাধ্যাকর্ষণ
കേവല മർദ്ദം,পরম চাপ
സമ്പൂർണ്ണ സ്വത്ത്,পরম সম্পত্তি
കേവല സ്കെയിലർ,পরম স্কেলার
താപനിലയുടെ കേവല സ്കെയിൽ*,তাপমাত্রার পরম স্কেল*
"കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം","পরম সমলয়, পরম সমলয়"
സമ്പൂർണ്ണ സമ്മർദ്ദം,পরম চাপ
കേവല സമമിതി,পরম প্রতিসাম্য
കേവല ചലന ശരീരം,পরম গতি শরীর
കേവല യൂണിറ്റ് സിസ്റ്റം,পরম ইউনিট সিস্টেম
കേവല താപനില,পরম তাপমাত্রা
കേവല സമയം,পরম সময়
കേവല യൂണിറ്റുകൾ,পরম একক
യഥാർത്ഥ മൂല്യം,পরম মান
പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ,পূর্ণসংখ্যা ক্যালকুলেটর
കേവല വേഗത,পরম বেগ
കേവല വിസ്കോസിറ്റി,পরম সান্দ্রতা
കേവല ഭാരം,পরম ওজন
കേവല പൂജ്യം*,পরম শূন্য*
പൂജ്യത്തിന്റെ കേവല വിഭജനം,শূন্যের পরম ভাজক
ആഗിരണം ചെയ്യുക,শোষণ করা
ആഗിരണ സൂചിക*,শোষণ সূচক*
ആഗിരണം ചെയ്ത ഊർജ്ജം,শোষিত শক্তি
"ആഗിരണം, ആഗിരണം","শোষক, শোষক"
ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*,শোষক মাধ্যম*
ആഗിരണം ശേഷി,শোষণ ক্ষমতা
ആഗിരണം,শোষণ
അബ്സോർപ്റ്റിയോമീറ്റർ*,শোষণ যন্ত্র*
അബ്സോർപ്റ്റിയോമെട്രി*,শোষণমিতি*
ആഗിരണം,শোষণ
ആഗിരണം - ബാൻഡ്*,শোষণ - ব্যান্ড*
ആഗിരണം സർക്യൂട്ട്,শোষণ সার্কিট
ആഗിരണം ഗുണകം,শোষণ গুণাঙ্ক
ആഗിരണം കോളം,শোষণ কলাম
ആഗിരണ സ്ഥിരത,শোষণ ধ্রুবক
ആഗിരണ തുടർച്ച,শোষণ ধারাবাহিকতা
ആഗിരണം മേഖല,শোষণ অঞ্চল
ആഗിരണം കറന്റ്,শোষণ বর্তমান
ആഗിരണം വക്രം*,শোষণ বক্ররেখা*
ആഗിരണം ഒടിവ്,শোষণ ফ্র্যাকচার
ആഗിരണം കോർ,শোষণ কোর
ആഗിരണം ഘടകം,শোষণ ফ্যাক্টর
ആഗിരണം ഫിൽട്ടർ,শোষণ ফিল্টার
അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*,শোষণ শিখা ফটোমেট্রি*
ആഗിരണം ഹൈഗ്രോമീറ്റർ,শোষণ হাইগ্রোমিটার
ആഗിരണ ഘാതം,শোষণ সূচক
ആഗിരണം നാമമാത്രമാണ്,শোষণ প্রান্তিক
ആഗിരണം ലൈൻ,শোষণ লাইন
ആഗിരണം നഷ്ടം,শোষণ ক্ষতি
ആഗിരണം മോഡുലേഷൻ,শোষণ মড্যুলেশন
പ്രകാശം ആഗിരണം,আলো শোষণ
റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം,বিকিরণ শক্তি শোষণ
ആഗിരണം കൊടുമുടി,শোষণ শিখর
ആഗിരണം ഫോട്ടോമെട്രി,শোষণ ফটোমেট্রি
ആഗിരണം അനുപാതം,শোষণ অনুপাত
ആഗിരണം പരിധി*,শোষণ পরিসীমা*
ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*,শোষণ স্পেকট্রাম ফটোমেট্রি*
ആഗിരണം സ്പെക്ട്രം*,শোষণ বর্ণালী*
"ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്","শোষণ নল, শোষণ নল"
ആഗിരണം ഹൈഗ്രോമീറ്റർ,শোষণ হাইগ্রোমিটার
ആഗിരണം ചെയ്യാവുന്ന*,শোষক*
ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം,শোষক বাষ্পীভবনকারী
ആഗിരണം നിയമം*,শোষণ আইন*
ആഗിരണം മീഡിയം,শোষণ মাধ্যম
"ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*","শোষণ ক্ষমতা, শোষণ*"
ആഗിരണം*,শোষণ*
സ്റ്റുഡിയോ അലങ്കാരം,স্টুডিও সজ্জা
ഗുണിത അനുപാതം,বহুগুণ অনুপাত
അബോൾട്ട്,বিভ্রান্তি
കുറിച്ച്,সম্পর্কিত
ത്വരിതപ്പെടുത്തുക,ত্বরান্বিত করা
ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം,ত্বরণ-স্টপ দূরত্ব
തിടുക്കപ്പെട്ടു,তাড়াতাড়ি
ദ്രുത സമയ ഫല പരിശോധന,দ্রুত সময়ের প্রভাব পরীক্ষা
പെട്ടെന്നുള്ള ഒഴുക്ക്,দ্রুত প্রবাহ
പെട്ടെന്നുള്ള വേഗത,দ্রুত গতি
പെട്ടെന്നുള്ള ശരീരം,দ্রুত শরীর
ആക്സിലറേറ്റർ തൂക്കം,এক্সিলারেটর ওজনকারী
ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*,এক্সিলারেটর ইলেক্ট্রোড*
ആക്സിലറേറ്റർ സമയം*,এক্সিলারেটরের সময়*
ആക്സിലറേറ്റർ ഘട്ടം,এক্সিলারেটর ফেজ
ആക്സിലറേറ്റർ നിരക്ക്,অ্যাক্সিলারেটর হার
ആക്സിലറേറ്റർ വോൾട്ടേജ്*,এক্সিলারেটর ভোল্টেজ*
ത്വരണം,ত্বরণ
ത്വരിതപ്പെടുത്തിയ ജ്വലനം,ত্বরিত জ্বলন
ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്,ত্বরণ সহগ
ത്വരണം ഘടകം,ত্বরণ উপাদান
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
ത്വരണം ഘടകം,ত্বরণ ফ্যাক্টর
ത്വരിതപ്പെടുത്തിയ ചാർജ്,ত্বরিত চার্জ
ഗുരുത്വാകർഷണ ത്വരണം,অভিকর্ষের ত্বরণ
ത്വരണം സാധ്യത,ত্বরণ সম্ভাবনা
ത്വരിതപ്പെടുത്തൽ നിയമം,ত্বরণ আইন
ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ,ত্বরণ প্রক্রিয়া
ആക്സിലറേഷൻ സോൺ,ত্বরণ অঞ্চল
ത്വരിതപ്പെടുത്തൽ രീതി,ত্বরণ পদ্ধতি
"ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്","ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা"
ആക്സിലറേഷൻ വെക്റ്റർ,ত্বরণ ভেক্টর
ത്വരണം-വോൾട്ടേജ്,ত্বরণ-ভোল্টেজ
ത്വരണം തരംഗം,ত্বরণ তরঙ্গ
ആക്സിലറേറ്റർ,এক্সিলারেটর
"ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*","ত্বরণ, ত্বরণক*"
ആക്സിലറേറ്റർ സമവാക്യം,অ্যাক্সিলারেটর সমীকরণ
ആക്സിലറേറ്റർ*,এক্সিলারেটর*
ആക്സിലറോമീറ്റർ,অ্যাক্সিলোমিটার
ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ,অ্যাক্সিলোমিটার মিল
പ്രിസ്ട്രെസർ,prestresser
സാധുവായ പ്രതീകങ്ങൾ,বৈধ অক্ষর
സ്വീകാര്യത കോൺ,গ্রহণযোগ্যতা কোণ
സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ,গ্রহণযোগ্যতা স্পেসিফিকেশন
സ്വീകാര്യമായ പരിശോധന,গ্রহণযোগ্য পরীক্ষা
"സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ","গ্রহণকারী*, গ্রহণকারী"
റിസപ്റ്റർ ആറ്റം,রিসেপ্টর পরমাণু
റിസപ്റ്റർ ബോണ്ട്,রিসেপ্টর বন্ড
റിസീവർ സർക്യൂട്ട്,রিসিভার সার্কিট
റിസപ്റ്റർ ലെവൽ,রিসেপ্টর স্তর
ദാതാവിന്റെ തന്മാത്ര,দাতা অণু
റിസപ്റ്റർ പ്രോപ്പർട്ടി,রিসেপ্টর সম্পত্তি
റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ,রিসেপ্টর সম্পত্তি স্তর
ആക്സിലറേറ്റർ ഹോസ്,অ্যাক্সিলারেটর পায়ের পাতার মোজাবিশেষ
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেস"
ഭുജിലേക്ക് പ്രവേശിക്കുക,ভুজ অ্যাক্সেস করুন
ആക്സസ് സിസ്റ്റം,অ্যাক্সেস সিস্টেম
പ്രവേശന സമയം,প্রবেশাধিকার সময়
പ്രവേശനക്ഷമത,অ্যাক্সেসযোগ্যতা
"അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ","অতিরিক্ত, সহায়ক, আনুষঙ্গিক (v, ), আনুষাঙ্গিক"
അധിക നിയന്ത്രണങ്ങൾ,অতিরিক্ত সীমাবদ্ধতা
യാദൃശ്ചികം,কাকতালীয়
ആകസ്മികമായ തിരുത്തൽ,আকস্মিক সংশোধন
ആകസ്മികമായ ബയോജനസിസ്,দুর্ঘটনাজনিত বায়োজেনেসিস
ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ,আকস্মিক ডাইভারশন
സന്ദർശക പിശക്,ভিজিটর ত্রুটি
"പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക","হঠাৎ বন্ধ, হঠাৎ বাতা"
ആകസ്മികമായ കൈമാറ്റം,দুর্ঘটনাজনিত সংক্রমণ
ക്രമരഹിതമായ വ്യതിയാനം,এলোমেলো পার্থক্য
ക്രമീകരിക്കൽ,সমন্বয়
സ്ഥാനം പിടിച്ചു,অবস্থিত
സഞ്ചിത പിശക്,সঞ্চিত ত্রুটি
"ശേഖരണം, ശേഖരണം","accumulation, accumulation"
ഊർജ്ജ സംഭരണം,শক্তি সঞ্চয়
ശേഖരണം*,সঞ্চয়ক*
കൃത്യത,সঠিকতা
റിയാലിറ്റി,বাস্তবতা
യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം,বাস্তব যন্ত্র পর্যবেক্ষণ
കൃത്യമായ റേഞ്ച് മാർക്കർ,সঠিক পরিসীমা চিহ্নিতকারী
കൃത്യമായ സ്കാനിംഗ്,নির্ভুলতা স্ক্যানিং
പ്രാക്ടീസ്,অনুশীলন করা
ആക്സിലറേറ്റർ സെൽ*,এক্সিলারেটর সেল*
അക്രോമാറ്റിക് ലെൻസ്*,অ্যাক্রোমেটিক লেন্স*
അക്രോമാറ്റിക്*,অ্যাক্রোমেটিক*
അക്രോമാറ്റിക് അനലൈസർ,অ্যাক্রোম্যাটিক বিশ্লেষক
ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന,ফ্রিকোয়েন্সি নিরপেক্ষ অ্যান্টেনা
അക്രോമാറ്റിക് ആകൃതി,অ্যাক্রোমেটিক আকৃতি
അക്രോമാറ്റിക് തൊങ്ങൽ,অ্যাক্রোম্যাটিক ফ্রিঞ্জ
അക്രോമാറ്റിക് ലെൻസ്*,অ্যাক্রোমেটিক লেন্স*
അക്രോമാറ്റിക് പോയിന്റ് പാത,অ্যাক্রোম্যাটিক পয়েন্ট পাথ
അക്രോമാറ്റിക് ലെൻസ്,অ্যাক্রোম্যাটিক লেন্স
അക്രോമാറ്റിക് പ്രിസം,অ্যাক্রোমেটিক প্রিজম
അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്,অ্যাক্রোম্যাটিক টেলিস্কোপ
അക്രോമാറ്റിറ്റി*,বর্ণহীনতা*
അക്രോമാറ്റിസേഷൻ*,অ্যাক্রোমাটাইজেশন*
അക്രോമാറ്റിറ്റി*,বর্ণহীনতা*
"ഇലാസ്റ്റിക്, അൺഫ്രാക്റ്ററി, റിഫ്രാക്ടറി","স্থিতিস্থাপক, অবাধ্য, অবাধ্য"
"അക്രോൺ ഹോസ്, ബഞ്ചു ഹോസ്","আকর্ণ হোস, বানজু হোস"
മിനിയേച്ചർ വാൽവ്,ক্ষুদ্রাকৃতির ভালভ
എക്കോഫോണി,ইকোফোনি
അക്കോസ്റ്റിക്,শাব্দিক
അക്കോസ്റ്റിക് ആഗിരണം,শাব্দ শোষণ
അക്കോസ്റ്റിക് അറ്റൻവേഷൻ കോഫിഫിഷ്യന്റ്,অ্যাকোস্টিক অ্যাটেন্যুয়েশন সহগ
അക്കോസ്റ്റിക് അറ്റൻവേഷൻ,অ্যাকোস্টিক অ্যাটেন্যুয়েশন
അക്കോസ്റ്റിക് കള്ളൻ അലാറം,শাব্দ চোর অ্যালার্ম
അക്കോസ്റ്റിക് കപ്പാസിറ്റൻസ്,অ্যাকোস্টিক ক্যাপাসিট্যান্স
ശ്രവണ കേന്ദ്രം,শ্রবণ কেন্দ্র
അക്കോസ്റ്റിക് വിശദീകരണം,শাব্দ ব্যাখ্যা
അക്കോസ്റ്റിക് കവർ,শাব্দ আবরণ
ശബ്ദ പ്രതികരണം,শাব্দ প্রতিক্রিয়া
അക്കോസ്റ്റിക് ഘടകം,শাব্দিক উপাদান
ശബ്ദ ചാലകത,শাব্দ পরিবাহিতা
അക്കോസ്റ്റിക് ഡാംപിംഗ്,শাব্দ স্যাঁতসেঁতে
അക്കോസ്റ്റിക് ഡിസ്പർഷൻ,শাব্দ বিচ্ছুরণ
സൗണ്ട് ഹാക്കർ,শব্দ হ্যাকার
ശബ്ദ ഊർജ്ജം*,শাব্দ শক্তি*
അക്കോസ്റ്റിക് ഊർജ്ജ സമവാക്യം,শাব্দ শক্তি সমীকরণ
ശബ്ദ സമവാക്യം,শাব্দিক সমীকরণ
അക്കോസ്റ്റിക് പുനഃസ്ഥാപിക്കൽ,শাব্দ পুনঃস্থাপন
ക്ലാഡ്നി രൂപങ്ങൾ,ক্ল্যাডনি আকার
അക്കോസ്റ്റിക് ഫിൽട്ടർ,শাব্দ ফিল্টার
ശബ്ദ ജനറേറ്റർ,শব্দ জেনারেটর
അക്കോസ്റ്റിക് ഗ്രേറ്റിംഗ്,শাব্দ ঝাঁঝরি
ശബ്ദ തടസ്സം*,শব্দের সংরোধ*
അക്കോസ്റ്റിക് ജഡത്വം,শাব্দিক জড়তা
ശബ്ദ തീവ്രത,শাব্দ তীব্রতা
അക്കോസ്റ്റിക് ഇടപെടൽ മീറ്റർ,শাব্দ হস্তক্ষেপ মিটার
അക്കോസ്റ്റിക് ഇടപെടൽ ഡിറ്റക്ടർ,শাব্দ হস্তক্ষেপ আবিষ্কারক
അക്കോസ്റ്റിക് ലെൻസ്,শাব্দ লেন্স
ശബ്ദരേഖ,শব্দ লাইন
അക്കോസ്റ്റിക് പിണ്ഡം,শাব্দ ভর
അക്കോസ്റ്റിക് മെറ്റീരിയൽ,শাব্দ উপাদান
അക്കോസ്റ്റിക് അർത്ഥം സ്വതന്ത്ര പാത,অ্যাকোস্টিক মানে মুক্ত পথ
അക്കോസ്റ്റിക് മോഡ്,শাব্দ মোড
അക്കോസ്റ്റിക് ശബ്ദം,শাব্দিক শব্দ
അക്കോസ്റ്റിക് ഓം*,শাব্দিক ওহম*
"അക്കോസ്റ്റിക് പാനൽ, അക്കോസ്റ്റിക് ബോർഡ്","অ্যাকোস্টিক প্যানেল, অ্যাকোস্টিক বোর্ড"
അക്കോസ്റ്റിക് ഘട്ടം സ്ഥിരം,শাব্দ ফেজ ধ্রুবক
അക്കോസ്റ്റിക് റിസീവർ,শাব্দ রিসিভার
ശബ്ദ സമ്മർദ്ദം,শাব্দ চাপ
ശബ്ദത്തിന്റെ സമമിതി നിയമം,শব্দের প্রতিসাম্য নিয়ম
അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ,শাব্দ সংক্রমণ
ശബ്ദ ഗുണങ്ങൾ,শাব্দ বৈশিষ্ট্য
അക്കോസ്റ്റിക് ക്വാഡ്രുപോള്,শাব্দ চতুর্ভুজ
അക്കോസ്റ്റിക് വികിരണം മൂലകം,শাব্দ বিকিরণ উপাদান
അക്കോസ്റ്റിക് വികിരണം,শাব্দ বিকিরণ
ശബ്ദപ്രതിരോധം,শব্দরোধী
അക്കോസ്റ്റിക് റേഡിയോമീറ്റർ,অ্যাকোস্টিক রেডিওমিটার
ശബ്ദ പ്രതികരണം,শাব্দ প্রতিক্রিয়া
അക്കോസ്റ്റിക് റിസിപ്രോസിറ്റി സിദ്ധാന്തം,অ্যাকোস্টিক পারস্পরিক তত্ত্ব
അക്കോസ്റ്റിക് റിഡക്ഷൻ ഘടകം,শাব্দ হ্রাস ফ্যাক্টর
അക്കോസ്റ്റിക് പ്രതിഫലന ഗുണകം,শাব্দ প্রতিফলন সহগ
ശബ്ദ അപവർത്തനം,শাব্দ প্রতিসরণ
ശബ്ദ പ്രതിരോധം,শাব্দ প্রতিরোধের
ശബ്ദ പ്രതികരണം,শাব্দ প্রতিক্রিয়া
അക്കോസ്റ്റിക് ചിതറിക്കൽ,শাব্দ বিচ্ছুরণ
ശ്രവണ പോയിന്റ്,শ্রবণ বিন্দু
അക്കോസ്റ്റിക് കാഠിന്യം,শাব্দিক অনমনীয়তা
ശബ്ദസംവിധാനം,শাব্দ ব্যবস্থা
അക്കോസ്റ്റിക് തെർമോമീറ്റർ,শাব্দ থার্মোমিটার
ശബ്ദ പ്രവേഗം,শাব্দ বেগ
ശബ്ദ തരംഗം,শব্দ - তরঙ্গ
അക്കോസ്റ്റിക്,শাব্দিক
ശബ്ദ ആഗിരണം ഗുണകം,শব্দ শোষণ সহগ
ശബ്ദ ആഗിരണം ഘടകം,শব্দ শোষণ উপাদান
അക്കോസ്റ്റിക് സർക്യൂട്ട്,শাব্দ সার্কিট
അക്കോസ്റ്റിക് പ്രതികരണം,শাব্দ প্রতিক্রিয়া
അക്കോസ്റ്റിക് കാലതാമസം ലൈൻ,শাব্দ বিলম্ব লাইন
ശബ്ദ വികലത,শাব্দ বিকৃতি
അക്കോസ്റ്റിക് ശബ്ദശാസ്ത്രം,শাব্দিক ধ্বনিবিদ্যা
അക്കോസ്റ്റിക് ഫിൽട്ടർ,শাব্দ ফিল্টার
ശബ്ദ തടസ്സം*,শব্দের সংরোধ*
ഫോണോഗ്രാഫ്,ফোনোগ্রাফ
അക്കോസ്റ്റിക് ഓം*,শাব্দিক ওহম*
അക്കോസ്റ്റിക് സ്ഥിരാങ്കം,শাব্দিক ধ্রুবক
അക്കോസ്റ്റിക് ഫോണോൺ,শাব্দিক ফোনন
അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ സ്ഥിരാങ്കം,শাব্দ সংক্রমণ ধ্রুবক
ശബ്ദ പരിവർത്തന ഗുണകം,শব্দ পরিবর্তন সহগ
ശബ്ദ പ്രതിരോധം,শাব্দ প্রতিরোধের
അക്കോസ്റ്റിക് കാഠിന്യം,শাব্দিক অনমনীয়তা
ശബ്ദ യൂണിറ്റ്,শব্দ ইউনিট
ശബ്ദപ്രതിരോധം,শব্দরোধী
അക്കോസ്റ്റിക് സൈഡ് ലൈൻ,শাব্দ পার্শ্ব লাইন
"ശബ്ദശാസ്ത്രം, ശബ്ദശാസ്ത്രം","ধ্বনিবিদ্যা, ধ্বনিবিদ্যা"
ശബ്ദ മീറ്റർ,শব্দ মিটার
ശബ്ദ സമ്മർദ്ദം,শব্দ চাপ
ഏറ്റെടുക്കൽ റഡാർ,অধিগ্রহণ রাডার
ഫോട്ടോസിന്തറ്റിക് റേഡിയേഷൻ,সালোকসংশ্লেষী বিকিরণ
ആക്ടിനിയം എമിഷൻ,অ্যাক্টিনিয়াম নির্গমন
ആക്ടിനോ-യുറേനിയം,অ্যাক্টিনো-ইউরেনিয়াম
ആക്ടിനോ-യുറേനിയം പരമ്പര,অ্যাক্টিনো-ইউরেনিয়াম সিরিজ
റേഡിയോ ഇലക്ട്രിക്,তেজস্ক্রিয়
"ആക്ടിനോമീറ്റർ, ഫോട്ടോമൈക്രോമീറ്റർ","অ্যাক্টিনোমিটার, ফটোমাইক্রোমিটার"
"പ്രവൃത്തി, പ്രവൃത്തി","কর্ম, কাজ"
പ്രവർത്തനവും പ്രതികരണവും,কর্ম এবং প্রতিক্রিয়া
പ്രവർത്തന സ്ഥിരത,কর্ম ধ্রুবক
സ്വാധീന മേഖല,প্রভাব গোলক
"സജീവമാക്കി, സജീവമാക്കി","সক্রিয়, সক্রিয়"
സജീവ വ്യാപനം,সক্রিয় বিস্তার
"സജീവമാക്കിയ ഫൈബർ, സജീവമാക്കിയ ഫൈബർ","সক্রিয় ফাইবার, সক্রিয় ফাইবার"
സജീവമാക്കൽ പ്രഭാവം,সক্রিয়করণ প্রভাব
