Assamese,Punjabi
যোগসূত্ৰৰ বৈশিষ্ট্য,additive ਸੰਪਤੀ
যোগকৰণ,additivity
সংলগ্নতা মেট্ৰিক্স,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
পাৰ্শ্বৱৰ্তী,ਨੇੜੇ
কাষৰীয়া কোণ,ਨੇੜੇ ਦੇ ਕੋਣ
কাষৰীয়া শিখৰ,ਨੇੜੇ ਦਾ ਸਿਰਾ
adjoin,ਨਾਲ ਜੁੜੋ
সংলগ্ন,ਨਾਲ ਲੱਗਦੇ
সংযুক্ত নিৰ্ণায়ক,ਸੰਜੋਗ ਨਿਰਧਾਰਕ
সংযুক্ত অৱভেদ্য সমীকৰণ,ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ
সংযুক্ত সমীকৰণ,ਸੰਜੋਗ ਸਮੀਕਰਨ
সংলগ্ন মেট্ৰিক্স,ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ
মেট্ৰিক্সৰ সংযুক্ত,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
এডজুগেট মেট্ৰিক্স,ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
গ্ৰহণযোগ্য অনুমান,ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ
বায়ুগতিবিদ্যা বল,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
বায়ুগতিবিদ্যা,ਐਰੋਡਾਇਨਾਮਿਕਸ
affine জ্যামিতি,affine ਜਿਓਮੈਟਰੀ
affine মেপিং,affine ਮੈਪਿੰਗ
affine ৰূপান্তৰ,affine ਪਰਿਵਰਤਨ
চলকসমূহ একত্ৰিত কৰা,ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ
বীজগণিত,ਅਲਜਬਰਾ
বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে,ਬੀਜਗਣਿਤ ਬੰਦ
বীজগণিতীয় সমীকৰণ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
বীজগণিতীয় প্ৰকাশ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
বীজগণিতীয় ৰূপ,ਬੀਜਗਣਿਤ ਰੂਪ
বীজগণিতীয় ফলন,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
বীজগণিতীয় জ্যামিতি,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
বীজগণিতীয় বহুগুণতা,ਬੀਜਗਣਿਤ ਗੁਣਾ
বীজগণিতীয় ব্যৱস্থা,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
সকলো-পূৰ্ণসংখ্যা সমস্যা,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
আবণ্টনৰ সমস্যা,ਵੰਡ ਸਮੱਸਿਆ
বৰ্ণানুক্ৰমিক সংকেত,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
বৰ্ণানুক্ৰমিক আখৰ,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
বিকল্প কোণ,ਵਿਕਲਪਕ ਕੋਣ
বিকল্প ৰূপ,ਬਦਲਵੇਂ ਰੂਪ
বিকল্প গোট,ਬਦਲਵੇਂ ਸਮੂਹ
বিকল্প মেট্ৰিক্স,ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ
বিকল্প শৃংখলা,ਬਦਲਵੀਂ ਲੜੀ
বিকল্প অনুমান,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
বিকল্প optima,ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ
বিকল্প ফলাফল,ਵਿਕਲਪਕ ਨਤੀਜਾ
এনালগ-টু-ডিজিটেল ৰূপান্তৰক,ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ
এনালগ কম্পিউটাৰ,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
বিশ্লেষণ,ਵਿਸ਼ਲੇਸ਼ਣ
সহাৱস্থানৰ বিশ্লেষণ,ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
গণনা তথ্যৰ বিশ্লেষণ,ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
ভ্যাৰিয়েন্সৰ বিশ্লেষণ,ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
বিশ্লেষণাত্মক জ্যামিতি,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
বিশ্লেষণাত্মক কাৰ্য্য,ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ
কোণ,ਕੋਣ
সংস্পৰ্শৰ কোণ,ਸੰਪਰਕ ਦਾ ਕੋਣ
বিচ্যুতিৰ কোণ,ਭਟਕਣ ਦਾ ਕੋਣ
বিষণ্ণতাৰ কোণ,ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ
বিচ্যুতিৰ কোণ,ਭਟਕਣ ਦਾ ਕੋਣ
বিবৰ্তনৰ কোণ,ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ
উচ্চতাৰ কোণ,ਉਚਾਈ ਦਾ ਕੋਣ
প্ৰাদুৰ্ভাৱৰ কোণ,ਘਟਨਾ ਦਾ ਕੋਣ
প্ৰক্ষেপণৰ কোণ,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
প্ৰতিফলনৰ কোণ,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
বিবৰ্তনৰ কোণ,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
ঘূৰ্ণনৰ কোণ,ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ
মুঠ প্ৰতিফলনৰ কোণ,ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
কৌণিক ত্বৰণ,ਕੋਣੀ ਪ੍ਰਵੇਗ
কৌণিক গতি,ਕੋਣੀ ਗਤੀ
কৌণিক গতি,ਕੋਣੀ ਗਤੀ
কৌণিক বেগ,ਕੋਣੀ ਵੇਗ
annulus,ਐਨੁਲਸ
উত্তৰ,ਜਵਾਬ
এন্টি – ডেৰাইভেটিভ,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
এন্টিচিমেট্ৰিক ফাংচন,ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ
প্ৰযোজ্য,ਲਾਗੂ ਹੈ
দৰ্খাস্ত,ਐਪਲੀਕੇਸ਼ਨ
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
প্ৰয়োগ কৰা জ্যামিতি,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
প্ৰয়োগ কৰা গণিত,ਲਾਗੂ ਗਣਿਤ
প্ৰয়োগ কৰা পৰিসংখ্যা,ਲਾਗੂ ਅੰਕੜੇ
অনুমানিক,ਲਗਭਗ
প্ৰায় অবিৰত ফলন,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
আনুমানিক পদ্ধতি,ਅੰਦਾਜ਼ਨ ਢੰਗ
আনুমানিক সমাধান,ਅੰਦਾਜ਼ਨ ਹੱਲ
আনুমানিক সমস্যা,ਲਗਭਗ ਸਮੱਸਿਆ
আনুমানিক বৈশিষ্ট্য,ਲਗਭਗ ਸੰਪਤੀ
aptitude পৰীক্ষাৰ বেটাৰী,ਯੋਗਤਾ ਟੈਸਟ ਬੈਟਰੀ
আৰ্গাণ্ড ডায়েগ্ৰাম,Argand ਚਿੱਤਰ
ইচ্ছাকৃতভাৱে বাছি লোৱা,ਆਪਹੁਦਰੇ ਢੰਗ ਨਾਲ ਚੁਣਿਆ ਗਿਆ ਹੈ
স্বেচ্ছাচাৰী,ਮਨਮਾਨੀ
ইচ্ছাকৃত ধ্ৰুৱক,ਆਪਹੁਦਰੇ ਸਥਿਰ
ইচ্ছাকৃত উপাদান,ਆਪਹੁਦਰੇ ਤੱਤ
ইচ্ছাকৃত বিন্দু,ਮਨਮਾਨੀ ਬਿੰਦੂ
আৰ্কিমিডিয়ান আইন,ਆਰਕੀਮੀਡੀਅਨ ਕਾਨੂੰਨ
আৰ্কিমিডিছ নীতি,ਆਰਕੀਮੀਡੀਜ਼ ਸਿਧਾਂਤ
চাপৰ দৈৰ্ঘ্য,ਚਾਪ ਦੀ ਲੰਬਾਈ
বৃত্তৰ চাপ,ਚੱਕਰ ਦਾ ਚਾਪ
চাপ চাইন বিতৰণ,ਚਾਪ ਸਾਇਨ ਵੰਡ
চাপ চাইন ৰূপান্তৰ,ਚਾਪ ਸਾਇਨ ਪਰਿਵਰਤਨ
এলাকা,ਖੇਤਰ
এৰিয়াল টেক্সচাৰ,ਖੇਤਰੀ ਬਣਤਰ
জটিল সংখ্যাৰ যুক্তি,ਕੰਪਲੈਕਸ ਨੰਬਰ ਦੀ ਦਲੀਲ
গাণিতিক গড়,ਗਣਿਤ ਦਾ ਮਤਲਬ
গাণিতিক কাৰ্য্য,ਗਣਿਤ ਦੀ ਕਾਰਵਾਈ
গাণিতিক একক,ਗਣਿਤ ਦੀ ਇਕਾਈ
ব্যৱস্থা,ਪ੍ਰਬੰਧ
এৰে,ਐਰੇ
কৃত্ৰিম উপগ্ৰহ,ਨਕਲੀ ਸੈਟੇਲਾਈਟ
কৃত্ৰিম চলক,ਨਕਲੀ ਵੇਰੀਏਬਲ
আৰোহণ কৰা,ਚੜ੍ਹਨਾ
আৰোহী,ਵੱਧਦੇ ਹੋਏ
মাত্ৰাৰ আৰোহী ক্ৰম,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
আৰোহী শৃংখলা,ਚੜ੍ਹਦੀ ਲੜੀ
এছেম্বলাৰ ভাষা,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
নিযুক্তিৰ সমস্যা,ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ
সহযোগী আইন,ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
এছ&#39;চিয়েটিভ অপাৰেচন,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
সহযোগিতা,ਸੰਗਤ
ধৰি লোৱা গড়,ਮਤਲਬ ਮੰਨਿਆ
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
ধাৰণা,ਧਾਰਨਾ
জ্যোতিষ,ਜੋਤਿਸ਼
মহাকাশ অভিযন্তা,ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ
জ্যোতিৰ্বিজ্ঞানী,ਖਗੋਲ ਵਿਗਿਆਨੀ
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,ਖਗੋਲੀ ਘੜੀ
জ্যোতিৰ্বিজ্ঞান,ਖਗੋਲ ਵਿਗਿਆਨ
অসমতাপূৰ্ণ বক্ৰ,ਅਸਮਿਤ ਵਕਰ
বিষমতা,ਅਸਮਿਤੀ
asymptote,asymptote
এছিম্পটটিক,asymptotic
asymptotically দক্ষ অনুমানক,asymptotically ਕੁਸ਼ਲ ਅਨੁਮਾਨਕ
asymptotically নিৰপেক্ষ অনুমানক,asymptotically ਨਿਰਪੱਖ ਅਨੁਮਾਨਕ
asymptotic আচৰণ,asymptotic ਵਿਵਹਾਰ
এছিম্পটটিক বিতৰণ ফলন,asymptotic ਵੰਡ ਫੰਕਸ਼ਨ
এছিম্পটটিক প্ৰসাৰণ,asymptotic ਵਿਸਥਾਰ
বায়ুমণ্ডলীয় চাপ,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
যাদৃচ্ছিকভাৱে,ਬੇਤਰਤੀਬੇ &#39;ਤੇ
বৈশিষ্ট্য,ਵਿਸ਼ੇਸ਼ਤਾ
বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি,ਗੁਣ ਨਮੂਨਾ ਪ੍ਰਕਿਰਿਆ
বৰ্ধিত মেট্ৰিক্স,ਵਧੀ ਹੋਈ ਮੈਟਰਿਕਸ
স্ব-সম্বন্ধ সহগ,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
স্বয়ংসম্বন্ধ কাৰ্য্য,ਸਵੈ-ਸਬੰਧੀ ਫੰਕਸ਼ਨ
অটোকোভেৰিয়েন্স,autocovariance
স্বয়ংক্ৰিয় কম্পিউটাৰ,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
অটোৰিগ্ৰেছন,ਆਟੋਰਿਗਰੇਸ਼ਨ
সহায়ক সমীকৰণ,ਸਹਾਇਕ ਸਮੀਕਰਨ
গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ),ਔਸਤ ਨਮੂਨਾ ਨੰਬਰ ਵਕਰ (ASN ਕਰਵ)
axiom,axiom
স্বতন্ত্ৰীয় পদ্ধতি,ਸਵੈ-ਜੀਵਨੀ ਪਹੁੰਚ
সম্ভাৱনাৰ স্বতন্ত্ৰতা,ਸੰਭਾਵਨਾ ਦਾ axiom
অক্ষ,ਧੁਰਾ
abscissa ৰ অক্ষ,abscissa ਦਾ ਧੁਰਾ
পৃথিৱীৰ অক্ষ,ਧਰਤੀ ਦੀ ਧੁਰੀ
বিপ্লৱৰ অক্ষ,ਇਨਕਲਾਬ ਦੀ ਧੁਰੀ
ঘূৰ্ণনৰ অক্ষ,ਰੋਟੇਸ਼ਨ ਦਾ ਧੁਰਾ
স্পিনৰ অক্ষ,ਸਪਿਨ ਦਾ ਧੁਰਾ
বেক-বিকল্প,ਵਾਪਸ-ਸਥਾਪਨਾ
পিছপৰা পাৰ্থক্য,ਪਿਛਲਾ ਫਰਕ
বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ,ਬੈਕਵਰਡ-ਇੰਟਰਪੋਲੇਸ਼ਨ ਫਾਰਮੂਲਾ
ভাৰসাম্যতা বজাই ৰখা,ਸੰਤੁਲਨ
সুষম ডিজাইন,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
বেলেন্স শ্বীট,ਸੰਤੁਲਨ ਸ਼ੀਟ
বেলিষ্টিক মিছাইল,ਬੈਲਿਸਟਿਕ ਮਿਜ਼ਾਈਲ
বেলিষ্টিকছ,ਬੈਲਿਸਟਿਕਸ
বাৰ,ਪੱਟੀ
ভেঁটি,ਅਧਾਰ
ভিত্তি কোণ,ਅਧਾਰ ਕੋਣ
লগাৰিদমৰ ভিত্তি,ਲਘੂਗਣਕ ਦਾ ਅਧਾਰ
প্ৰাথমিক,ਬੁਨਿਆਦੀ
মূল সম্ভৱপৰ সমাধান,ਬੁਨਿਆਦੀ ਸੰਭਵ ਹੱਲ
মূল সমাধান,ਬੁਨਿਆਦੀ ਹੱਲ
মূল চলক,ਬੁਨਿਆਦੀ ਵੇਰੀਏਬਲ
ভিত্তিত,ਆਧਾਰ
ভিত্তি উপাদান,ਆਧਾਰ ਤੱਤ
ভিত্তি মেট্ৰিক্স,ਆਧਾਰ ਮੈਟਰਿਕਸ
এটা ভেক্টৰ স্থানৰ ভিত্তি,ਇੱਕ ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
উপস্থানৰ ভিত্তি,ਸਬਸਪੇਸ ਦਾ ਆਧਾਰ
বেইছিয়ান অনুমান,ਬੇਸੀਅਨ ਅੰਦਾਜ਼ਾ
বেইছৰ নিয়ম,ਬੇਸ ਦਾ ਕਾਨੂੰਨ
বেইছৰ উপপাদ্য,ਬੇਅਸ ਦਾ ਸਿਧਾਂਤ
বাৰ্নৌলি বিতৰণ,ਬਰਨੌਲੀ ਵੰਡ
বাৰ্নৌলি নম্বৰ,ਬਰਨੌਲੀ ਨੰਬਰ
বাৰ্নৌলি সম্ভাৱনা ফলন,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
বাৰ্নৌলিৰ সমীকৰণ,ਬਰਨੌਲੀ ਦਾ ਸਮੀਕਰਨ
বেৰী ফাংচন,ਬੇਰੀ ਫੰਕਸ਼ਨ
বেষ্ট ফিট,ਵਧੀਆ ਫਿੱਟ
শ্ৰেষ্ঠ - ফিট লাইন,ਵਧੀਆ - ਫਿੱਟ ਲਾਈਨ
উত্তম সমাধান,ਵਧੀਆ ਹੱਲ
শ্ৰেষ্ঠ কৌশলসমূহ,ਵਧੀਆ ਰਣਨੀਤੀਆਂ
বিটা বিতৰণ,ਬੀਟਾ ਵੰਡ
পক্ষপাত,ਪੱਖਪਾਤ
পক্ষপাতমূলক অনুমান,ਪੱਖਪਾਤੀ ਅਨੁਮਾਨ
বিহাৰমনিক সমীকৰণ,biharmonic ਸਮੀਕਰਨ
bijection,ਦੋਭਾਗ
bijective মানচিত্ৰ,ਦੋ-ਪੱਖੀ ਨਕਸ਼ਾ
bijective মেপিং,ਦੋ-ਪੱਖੀ ਮੈਪਿੰਗ
দ্বিৰৈখিক ৰূপ,ਦੋ-ਲੀਨੀਅਰ ਫਾਰਮ
দ্বিৰৈখিক ফলন,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਰੂਪ
বাইনাৰী,ਬਾਈਨਰੀ
বাইনাৰী ক&#39;ড,ਬਾਈਨਰੀ ਕੋਡ
বাইনাৰী ক&#39;ড কৰা দশমিক,ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ
বাইনাৰী ক&#39;ডিং,ਬਾਈਨਰੀ ਕੋਡਿੰਗ
বাইনাৰী কম্পিউটাৰ,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
বাইনাৰী অংক,ਬਾਈਨਰੀ ਅੰਕ
বাইনাৰী অপাৰেচন,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
বাইনাৰী ব্যৱস্থা,ਬਾਈਨਰੀ ਸਿਸਟਮ
বাইনাৰী চলক,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
দ্বিপদ সহগ,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
দ্বিপদ বিতৰণ,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
দ্বিপদ সমীকৰণ,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
দ্বিপদ সম্প্ৰসাৰণ,ਬਾਇਨੋਮੀਅਲ ਵਿਸਤਾਰ
দ্বিপদ অভিব্যক্তি,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
দ্বিপদ ৰেণ্ডম চলক,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
দ্বিপদ উপপাদ্য,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
দ্বিখণ্ড,ਦੋਭਾਗ
দ্বিখণ্ডন পদ্ধতি,ਦੋਭਾਗ ਵਿਧੀ
দ্বিখণ্ড,ਬਾਈਸੈਕਟਰ
biserial,biserial
বিট,ਬਿੱਟ
দ্বিচলকীয় দ্বিপদ বিতৰণ,bivariate binomial distribution
দ্বিচলকীয় সম্পৰ্ক সহগ,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
দ্বিচলকীয় বিতৰণ,ਦੋ-ਪੱਖੀ ਵੰਡ
দ্বিচলকীয় স্বাভাৱিক বিতৰণ,ਬਾਇਵਰੀਏਟ ਸਧਾਰਣ ਵੰਡ
বাইভেক্টৰ,bivector
বোল্টজমেন সমীকৰণ,ਬੋਲਟਜ਼ਮੈਨ ਸਮੀਕਰਨ
বুলিয়ান বীজগণিত,ਬੂਲੀਅਨ ਅਲਜਬਰਾ
Bose - আইনষ্টাইন পৰিসংখ্যা,ਬੋਸ - ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
সীমাৰ অৱস্থা,ਸੀਮਾ ਸਥਿਤੀ
সীমা স্তৰ,ਸੀਮਾ ਪਰਤ
সীমাৰেখা,ਸੀਮਾ ਰੇਖਾ
সীমা মূল্য,ਸੀਮਾ ਮੁੱਲ
সীমা মূল্যৰ সমস্যা,ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ
সীমাবদ্ধ ফলন,ਸੀਮਾਬੱਧ ਫੰਕਸ਼ਨ
সীমাবদ্ধ মেট্ৰিক্স,ਸੀਮਾਬੱਧ ਮੈਟ੍ਰਿਕਸ
সীমাবদ্ধ অঞ্চল,ਸੀਮਾਬੱਧ ਖੇਤਰ
সীমাবদ্ধ ছেট,ਸੀਮਾਬੱਧ ਸੈੱਟ
ব্ৰাউনিয়ান গতি,ਬ੍ਰਾਊਨੀਅਨ ਮੋਸ਼ਨ
গণনা কৰ,ਗਣਨਾ ਕਰੋ
গণনা কৰা,ਗਣਨਾ
গণনা কৰা মেচিন,ਗਣਨਾ ਮਸ਼ੀਨ
গণনা কৰা,ਗਣਨਾ
গণনামূলক পদ্ধতি,ਗਣਨਾ ਵਿਧੀ
কেলকুলেটৰ,ਕੈਲਕੁਲੇਟਰ
কেলকুলাছ,ਕੈਲਕੂਲਸ
তাৰতম্যৰ কেলকুলাছ,ਪਰਿਵਰਤਨ ਦਾ ਕੈਲਕੂਲਸ
কেলৰি,ਕੈਲੋਰੀ
বাতিল আইন,ਰੱਦ ਕਰਨ ਦਾ ਕਾਨੂੰਨ
কেননিক সমীকৰণ,ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ
কেননিক ৰূপ,ਕੈਨੋਨੀਕਲ ਰੂਪ
কেননিক মেট্ৰিক্স,ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ
কেন্টৰ ছেট,ਕੈਂਟਰ ਸੈੱਟ
কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট,ਕੈਂਟਰ ਦਾ ਟਰਨਰੀ ਸੈੱਟ
ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা,ਸਮਰੱਥਾ ਵਾਲੀ ਆਵਾਜਾਈ ਦੀ ਸਮੱਸਿਆ
ক্ষমতা,ਸਮਰੱਥਾ
কেপিলাৰী বল,ਕੇਸ਼ਿਕਾ ਬਲ
কাৰ্ডিনেল নম্বৰ,ਮੁੱਖ ਨੰਬਰ
কাৰ্টেছিয়ান অক্ষ,ਕਾਰਟੇਸੀਅਨ ਧੁਰੇ
কাৰ্টেছিয়ান স্থানাংক,ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ
কাৰ্টেছিয়ান উৎপাদন,ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ
গোটৰ কাৰ্টেছিয়ান উৎপাদক,ਸੈੱਟਾਂ ਦਾ ਕਾਰਟੇਸ਼ੀਅਨ ਉਤਪਾਦ
কেছ ষ্টডি,ਮਾਮਲੇ &#39;ਦਾ ਅਧਿਐਨ
বিপৰ্যয়জনক উঠা-নমা,ਘਾਤਕ ਉਤਰਾਅ-ਚੜ੍ਹਾਅ
কেটেনাৰী,ਕੈਟੇਨਰੀ
কাউচি বিতৰণ,ਕੌਚੀ ਵੰਡ
কাউচি সূত্ৰ,ਕੌਚੀ ਫਾਰਮੂਲਾ
কৌচি গৌৰছাট উপপাদ্য,ਕੌਚੀ ਗੌਰਸਤ ਪ੍ਰਮੇਯ
