Bengali,Malayalam
পরিবর্ধন,ആംപ്ലിഫിക്കേഷൻ
প্রশস্তকরণ ফ্যাক্টর,ആംപ്ലിഫിക്കേഷൻ ഫാക്ടർ
পরিবর্ধক,ആംപ്ലിഫയർ
পরিবর্ধক লাভ,ആംപ്ലിഫയർ നേട്ടം
পরিবর্ধক শব্দ,ആംപ്ലിഫയർ ശബ്ദം
পরিবর্ধক সরঞ্জাম,ഉപകരണങ്ങൾ ആംപ്ലിഫൈയിംഗ് ചെയ്യുന്നു
ক্লাইস্ট্রনকে প্রশস্তকরণ,Klystron ആംപ്ലിഫൈയിംഗ്
পরিবর্ধক ইউনিট,ആംപ്ലിഫൈയിംഗ് യൂണിറ്റിംഗ്
প্রশস্ততা,വ്യാശമുള്ള
প্রশস্ততা বিকৃতি,വ്യാപ്തി വികസനം
প্রশস্ততা ভ্রমণ,ആംപ്ലിഡ്യൂഡ് ആസക്തി
প্রশস্ততা ফ্যাক্টর,വ്യാപ്തി ഘടകം
প্রশস্ততা সীমাবদ্ধ,ആംപ്ലിറ്റ്യൂഡ് ലിമിറ്റർ
প্রশস্ততা মোডুলেটেড,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റ് ചെയ്തു
প্রশস্ততা মড্যুলেশন,ആംപ്ലിറ്റ്ഇൻഡ് മോഡുലേഷൻ
অ্যানালগ (অ্যানালগ),അനലോഗ് (അനലോഗ്)
অ্যানালগ সার্কিট,അനലോഗ് സർക്യൂട്ട്
অ্যানালগ কম্পিউটার,അനലോഗ് കമ്പ്യൂട്ടർ
অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল,അനലോഗ് റേഡിയോ ഫ്രീക്വൻസി ചാനൽ
অ্যানালগ উপস্থাপনা,അനലോഗ് പ്രാതിനിധ്യം
এনালগ সংকেত,അനലോഗ് സിഗ്നൽ
ডিজিটাল অ্যানালগ,ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
ডিজিটাল কনভার্টারে অ্যানালগ,ഡിജിറ്റൽ കൺവെർട്ടറിലേക്കുള്ള അനലോഗ്
অ্যানালগ ভিডিও,അനലോഗ് വീഡിയോ
সাদৃশ্য,അനസ്)
উপমা,അനലോഗി
বিশ্লেষণ,വിശകലനം
ডেটা বিশ্লেষণ,ഡാറ്റയുടെ വിശകലനം
বিশ্লেষণাত্মক ঘনত্ব,അനലിറ്റിക്കൽ സാന്ദ്രത
বিশ্লেষণ করুন,വിശകലനം ചെയ്യുക
বিশ্লেষক,വിശകലന
আনুষঙ্গিক সরঞ্জাম,അനുബന്ധ ഉപകരണങ്ങൾ
এবং গেট,ഗേറ്റിലും
কলিমেশন কোণ,കൂട്ടിയിടിയുടെ കോണിൽ
মেরুকরণের কোণ,ധ്രുവീകരണത്തിന്റെ കോണിൽ
ঘূর্ণনের কোণ,ഭ്രമണത്തിന്റെ ആംഗിൾ
অ্যাংস্ট্রোম (Å),Angstrom (å)
কৌণিক,കോകാരുമായ
কৌণিক ত্বরণ,കോണീയ ത്വരണം
কৌণিক সমন্বয়,കോണീയരായ കോ-ഓർഡിനേറ്റുകൾ
কৌণিক ডিফ্লেশন,കോണീയ വ്യതിചലനം
কৌণিক বিচ্ছুরণ,കോണീയ ചിതറിപ്പോയത്
কৌণিক স্থানচ্যুতি,കോണീയ സ്ഥാനചലനം
কৌণিক ত্রুটি,കോണീയ പിശക്
কৌণিক কম্পাংক,കോണീയ ആവൃത്തി
কৌণিক ভরবেগ,കോണീയ ആക്കം
কৌণিক গতি,കോണീയ ചലനം
কৌণিক বেগ,കോണീയ പ്രവേഗം
অ্যানিমেশন,ജീവസഞ്ചാരണം
আনোড,ആനോഡ്
আনোড ব্যাটারি,അനോഡ് ബാറ്ററി
অ্যানোড বৈশিষ্ট্য,ആനോഡ് സ്വഭാവം
আনোড সার্কিট,അനോഡ് സർക്യൂട്ട്
অ্যানোড অপচয়,ആനോഡ് ഡിസ്പിപ്പ്
আনোড দক্ষতা,ആനോഡ് കാര്യക്ഷമത
আনোড ইনপুট শক্তি,ആനോഡ് ഇൻപുട്ട് പവർ
অ্যানোড মড্যুলেশন,ആനോഡ് പരിഷ്കരണം
অ্যান্টেনা,ഏരിയെല്
অ্যান্টেনা বিমউইথ,ആന്റിന ബീഫ്റ്റ്വിഡ്ത്ത്
অ্যান্টেনা বুস্টার,ആന്റിന ബൂസ്റ്റർ
অ্যান্টেনা চেঞ্জওভার সুইচ,ആന്റിന ട്രാനെറ്റ് സ്വിച്ച്
অ্যান্টেনা কয়েল,ആന്റിന കോയിൽ
অ্যান্টেনা কনফিগারেশন,ആന്റിന കോൺഫിഗറേഷൻ
অ্যান্টেনা কাপলার,ആന്റിന കപ്ലർ
অ্যান্টেনা ক্রস পোলার প্যাটার্ন,ആന്റിന ക്രോസ് പോളാർ പാറ്റേൺ
অ্যান্টেনা কারেন্ট,ആന്റിന കറന്റ്
অ্যান্টেনা ডাইরেক্টিভিটি লাভ,ആന്റിന ഡയറക്റ്റബേഷൻ നേട്ടം
অ্যান্টেনা ডুপ্লেক্সার,ആന്റിന ഡ്യുപ്ലെർസർ
অ্যান্টেনা কার্যকর অঞ্চল,ആന്റിന ഫലപ്രദമായ പ്രദേശം
অ্যান্টেনা দক্ষতা,ആന്റിന കാര്യക്ഷമത
অ্যান্টেনা ফিড,ആന്റിന ഫീഡ്
অ্যান্টেনা ফুট প্রিন্ট,ആന്റിന ഫൂട്ട് പ്രിന്റ്
এন্টেনা,ആന്റിന നേട്ടം
অ্যান্টেনার উচ্চতা,ആന്റിന ഉയരം
অ্যান্টেনা প্রতিবন্ধকতা,ആന്റിന ഇംപെഡൻസ്
অ্যান্টেনা ইন্ডাক্ট্যান্স,ആന്റിന ഇൻഡക്റ്റൻസ്
অ্যান্টেনা প্যাটার্ন,ആന്റിന പാറ്റേൺ
অ্যান্টেনা প্লেক্সার,ആന്റിന പ്ലെക്സർ
অ্যান্টেনা মেরুকরণ,ആന്റിന പോളൈസേഷൻ
অ্যান্টেনা শক্তি,ആന്റിന പവർ
অ্যান্টেনা পাওয়ার লাভ,ആന്റിന പവർ ലാഭം
অ্যান্টেনা বিকিরণ প্রতিরোধের,ആന്റിന റേഡിയേഷൻ പ്രതിരോധം
অ্যান্টেনা প্রতিক্রিয়া,ആന്റിന റിനോപ്പൻസ്
অ্যান্টেনা প্রতিচ্ছবি,ആന്റിന റിഫ്ലക്ടർ
অ্যান্টেনা প্রতিরোধের,ആന്റിന റെസിസ്റ്റൻസ്
অ্যান্টেনা অনুরণিত ফ্রিকোয়েন্সি,ആന്റിന പുന ons ണ്ടന്റ് ആവൃത്തി
অ্যান্টেনা ব্যবধান,ആന്റിന സ്പെയ്സിംഗ്
অ্যান্টেনা স্যুইচিং রুম,ആന്റിന സ്വിച്ചിംഗ് റൂം
অ্যান্টেনা টিউনিং কয়েল,ആന്റിന ട്യൂണിംഗ് കോയിൽ
অ্যান্টেনা টিউনিং হাট,ആന്റിന ട്യൂണിംഗ് ഹട്ട്
অ্যাপারচার,അപ്പേണ്ടർ
অপোজি,അപ്പോജി
অ্যাপোজি রকেট,അപ്പോജി റോക്കറ്റ്
যন্ত্রপাতি,ഉപകരണങ്ങള്
আপাত,കാണാവുന്ന
অ্যাপলেট,ആപ്ലെറ്റ്
আবেদন,അപേക്ഷ
আনুমানিক,ഏകദേശമായ
জলীয় সমাধান,ജല പരിഹാരം
আর্ক,കമാനം
আর্কিটেকচার,വാസ്തുവിദ
সাউন্ড রেকর্ডিংয়ের সংরক্ষণাগার স্থানান্তর,ശബ്ദ റെക്കോർഡിംഗിന്റെ ആർക്കൈവൽ കൈമാറ്റം
সংরক্ষণাগার,ഗന്ഥരക്ഷാലയം
গাণিতিক কোডিং,അരിത്മെറ്റിക് കോഡിംഗ്
আর্মার,യക്ഷി
আর্ম্যাচার বাতাস,അർമേച്ചർ വിൻഡിംഗ്
অ্যারে,ശേണി
অ্যারেস্টার,അറസ്റ്റർ
বক্তৃতা,കൃതില്
আর্টিফ্যাক্ট (= আর্টফ্যাক্ট),ആർട്ടിഫക്റ്റ് (= ആർട്ടിഫാക്റ്റ്)
আরোহী,ആരോഹണം
আনুমানিক অনুপাত,വീക്ഷണാനുപാതം
এসেম্বলার,അസംബ്ലി
দাবী,ഉറപ്പിച്ചുപറയല്
অ্যাসাইনমেন্ট,ചുമതല
অ্যাসাইনমেন্ট চ্যানেল,അസൈൻമെന്റ് ചാനൽ
অসম্পূর্ণ,അസമമായ
অ্যাসিঙ্ক্রোনাস,അസിൻക്രണസ്
বায়ুমণ্ডল,അന്തരീക്ഷം
বায়ুমণ্ডলীয় ক্ষতি,അന്തരീക്ഷ നഷ്ടം
বায়ুমণ্ডলীয় শব্দ,അന്തരീക്ഷ ശബ്ദം
বায়ুমণ্ডলীয় চাপ,അന്തരീക്ഷമർദ്ദം
বায়ুমণ্ডলীয় প্রচার,അന്തരീക്ഷ പ്രചരണം
বায়ুমণ্ডলীয় রেডিও-তরঙ্গ,അന്തരീക്ഷ റേഡിയോ-വേവ്
বায়ুমণ্ডল,അന്തരീക്ഷ
পরমাণু,പരമാണു
পারমাণবিক গঠন,ആറ്റോമിക ഘടന
সংযুক্তি,ബന്ധം
মনোযোগ,അറ്റൻവറൻസ്
মনোযোগ ক্ষতি,അറ്റൻവേേഷൻ നഷ്ടം
শব্দ তরঙ্গের মনোযোগ,ശബ്ദ തരംഗങ്ങളുടെ അറ്റൻവേഷൻ
অ্যাটেনুয়েটর,അറ്റൻവേറ്റർ
অ্যাটেনুয়েটর-প্যাড,അറ്റൻവേറ്റർ പാഡ്
অডিবিলিটি থ্রেশহোল্ড,സവിശേഷത പരിധി
শ্রুতিমধুর,ശ്രമത്തിനും
শ্রুতিমধুর ফ্রিকোয়েন্সি,കേൾക്കാവുന്ന ആവൃത്തി
শ্রুতিমধুর সুর,കേൾക്കാവുന്ന ടോൺ
শ্রুতি-বর্ণালী,കേൾക്കാവുന്ന-സ്പെക്ട്രം
শ্রোতা,സദസര്
শ্রুতি,ഓഡിയോ
অডিও পরিবর্ধক,ഓഡിയോ ആംപ്ലിഫയർ
অডিও বিশ্লেষক,ഓഡിയോ അനലൈസർ
অডিও সম্প্রচার,ഓഡിയോ ബ്രോഡ്കാസ്റ്റിംഗ്
অডিও কেবল,ഓഡിയോ കേബിൾ
অডিও চেইন,ഓഡിയോ ചെയിൻ
অডিও কোডেক,ഓഡിയോ കോഡെക്
অডিও সংক্ষেপণ,ഓഡിയോ കംപ്രഷൻ
অডিও সংক্ষেপক,ഓഡിയോ കംപ്രസ്സർ
অডিও কনসোল,ഓഡിയോ കൺസോൾ
অডিও বিকৃতি,ഓഡിയോ വക്രീകരണം
অডিও গতিশীল পরিসীমা,ഓഡിയോ ഡൈനാമിക് ശ്രേണി
অডিও ফাইল ফর্ম্যাট,ഓഡിയോ ഫയൽ ഫോർമാറ്റ്
অডিও ফ্রেম ফর্ম্যাট,ഓഡിയോ ഫ്രെയിം ഫോർമാറ്റ്
অডিও ফ্রিকোয়েন্সি পরিবর্ধক,ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ
অডিও ফ্রিকোয়েন্সি জেনারেটর,ഓഡിയോ ഫ്രീക്വൻസി ജനറേറ്റർ
অডিও ফ্রিকোয়েন্সি ব্যাপ্তি,ഓഡിയോ ഫ്രീക്വൻസി ശ്രേണി
অডিও ফ্রিকোয়েন্সি প্রতিক্রিয়া,ഓഡിയോ ഫ്രീക്വൻസി പ്രതികരണം
অডিও সীমাবদ্ধ,ഓഡിയോ പരിധി
অডিও লাইন,ഓഡിയോ ലൈൻ
অডিও মিক্সার,ഓഡിയോ മിക്സർ
অডিও মড্যুলেশন,ഓഡിയോ മോഡുലേഷൻ
অডিও দোলক,ഓഡിയോ ഓസ്സിലേറ്റർ
অডিও আউটপুট,ഓഡിയോ output ട്ട്പുട്ട്
অডিও শক্তি,ഓഡിയോ പവർ
অডিও মানের,ഓഡിയോ നിലവാരം
অডিও সংকেত,ഓഡിയോ സിഗ്നൽ
অডিও সিগন্যাল প্রসেসিং,ഓഡിയോ സിഗ്നൽ പ്രോസസ്സിംഗ്
অডিও বর্ণালী,ഓഡിയോ സ്പെക്ട്രം
অডিও স্টোরেজ,ഓഡിയോ സ്റ്റോറേജ്
অডিও সাব-ক্যারিয়ার,ഓഡിയോ ഉപ-കാരിയർ
অডিও ট্রান্সফর্মার,ഓഡിയോ ട്രാൻസ്ഫോർമർ
অডিও ট্রান্সমিটার,ഓഡിയോ ട്രാൻസ്മിറ്റർ
অডিও/ভিডিও সংক্ষেপণ,ഓഡിയോ / വീഡിയോ കംപ്രഷൻ
অডিও-ফ্রিকোয়েন্সি দোলক,ഓഡിയോ-ഫ്രീക്വൻസി ഓസ്സിലേറ്റർ
অডিও-ফ্রিকোয়েন্সি সিগন্যাল,ഓഡിയോ-ഫ്രീക്വൻസി സിഗ്നൽ
অডিওমেট্রি,ഓഡിയോമെട്രി
অডিও-ভিজ্যুয়াল সহায়তা,ഓഡിയോ-വിഷ്വൽ സഹായം
শ্রুতি উপলব্ধি,ഓഡിറ്ററി ധാരണ
প্রমাণীকরণ,പ്രാമാണീകരണം
অনুমোদিত ক্যারিয়ার ফ্রিকোয়েন্সি,അംഗീകൃത കാരിയർ ആവൃത്തി
অটো ক্যাড,ഓട്ടോ കാഡ്
অটো ডায়াগনস্টিকস,യാന്ത്രിക ഡയഗ്നോസ്റ്റിക്സ്
স্বয়ংক্রিয়,ഓട്ടോമാറ്റിക്
স্বয়ংক্রিয় নিয়ন্ত্রণ,യാന്ത്രിക നിയന്ത്രണം
স্বয়ংক্রিয় সনাক্তকরণ,യാന്ത്രിക കണ്ടെത്തൽ
স্বয়ংক্রিয় সরঞ্জাম,യാന്ത്രിക ഉപകരണങ്ങൾ
স্বয়ংক্রিয় ফ্রিকোয়েন্সি নিয়ন্ত্রণ,യാന്ത്രിക ആവൃത്തി നിയന്ത്രണം
স্বয়ংক্রিয় সীমাবদ্ধ,യാന്ത്രിക പരിധി
স্বয়ংক্রিয় মেশিন,യാന്ത്രിക യന്ത്രം
স্বয়ংক্রিয় ফ্যাসি নিয়ন্ত্রণ,യാന്ത്രിക ഫാസ നിയന്ത്രണം
স্বয়ংক্রিয় চিত্র সংক্রমণ,യാന്ത്രിക ചിത്രം ട്രാൻസ്മിഷൻ
স্বয়ংক্রিয় প্লেব্যাক,യാന്ത്രിക പ്ലേബാക്ക്
স্বয়ংক্রিয় শক্তি নিয়ন্ত্রণ,യാന്ത്രിക വൈദ്യുതി നിയന്ത്രണം
স্বয়ংক্রিয় প্রোগ্রামিং,യാന്ത്രിക പ്രോഗ്രാമിംഗ്
স্বয়ংক্রিয় রেকর্ডিং,യാന്ത്രിക റെക്കോർഡിംഗ്
স্বয়ংক্রিয় রিসেট,യാന്ത്രിക പുന .സജ്ജമാക്കുക
স্বয়ংক্রিয় শাটার,യാന്ത്രിക ഷട്ടർ
স্বয়ংক্রিয় সিস্টেম,യാന്ത്രിക സംവിധാനം
স্বয়ংক্রিয় টেলিফোন,യാന്ത്രിക ടെലിഫോൺ
স্বয়ংক্রিয় তাপমাত্রা নিয়ন্ত্রণ,യാന്ത്രിക താപനില നിയന്ത്രണം
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রক,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് റെഗുലേറ്റർ
স্বয়ংক্রিয় ভলিউম সংক্ষেপক,യാന്ത്രിക വോളിയം കംപ്രസർ
স্বয়ংক্রিয় ভলিউম নিয়ন্ত্রণ,യാന്ത്രിക വോളിയം നിയന്ത്രണം
স্বয়ংক্রিয় ভলিউম এক্সপেন্ডার,യാന്ത്രിക വോളിയം എക്സ്പാൻഡർ
অটোমেশন,യന്തവല്ക്കരണം
অটোমেশন নিয়ন্ত্রণ,യന്തമോടിക്കൽ
অটোমেশন ফ্রিকোয়েন্সি নিয়ামক,ഓട്ടോമേഷൻ ഫ്രീക്റ്റി കണ്ട്രോളർ
সহায়ক,ഉക്സിലറി
সহায়ক অডিও বাস,സഹായ ഓഡിയോ ബസ്
উপলব্ধ শক্তি,ലഭ്യമായ ശക്തി
তুষারপাত ভাঙ্গন,ഹിമപാത തകർച്ച
গড় আয়ু,ശരാശരി ജീവിതം
গড় চাপ,ശരാശരി മർദ്ദം
গড় গতি,ശരാശരി വേഗത
স্পিনের অক্ষ,സ്പിൻ ആക്സിസ്
আজিমুথ,അസിമുത്ത്
আজিমুথ কোণ,അസിമുത്ത് ആംഗിൾ
আজিমুথ ত্রুটি,അസിമുത്ത് പിശക്
পিছনে আলো,ബാക്ക് ലൈറ്റ്
পিছনে অভিক্ষেপ,ബാക്ക് പ്രൊജക്ഷൻ
ব্যাক ভোল্টেজ (= বিপরীত ভোল্টেজ),ബാക്ക് വോൾട്ടേജ് (= റിവേഴ്സ് വോൾട്ടേജ്)
ব্যাকফায়ার (আর্ক ব্যাক),ബാക്ക്ഫയർ (ആർക്ക് ബാക്ക്)
পটভূমি আলো,പശ്ചാത്തല വെളിച്ചം
পিছনের শব্দ,പശ്ചാത്തലം ശബ്ദം
পটভূমি প্রক্ষেপণ,പശ്ചാത്തലം പ്രൊജക്ഷൻ
ব্যাকআপ,ബാക്കപ്പ്
বাফেল,അന്ധാളിപ്പക്കുക
বেকিং,ബേക്കിംഗ്
সুষম অডিও,സമതുലിതമായ ഓഡിയോ
ভারসাম্যহীন অডিও লাইন,സമതുലിതമായ ഓഡിയോ ലൈൻ
সুষম সংক্রমণ লাইন,സമതുലിതമായ ട്രാൻസ്മിഷൻ ലൈൻ
ভারসাম্য,സന്തുഗതം
ব্যালাস্ট,ബാല്ലാസ്റ്റ്
ব্যালাস্ট ফ্যাক্টর,ബാലസ്റ്റ് ഫാക്ടർ
বালুন,Sulun
ব্যান্ড,കൂട്ടം
ব্যান্ড পাস ফিল্টার,ബാൻഡ് പാസ് ഫിൽട്ടർ
ব্যান্ড নির্বাচক,ബാൻഡ് സെലക്ടർ
ব্যান্ড বিভাজন,ബാൻഡ് വിഭജനം
