English,Odiya
Ageing (=aging),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
Ageing process,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
Agelai,ଆଗେଲାଇ |
Age of chivalry,Ival ିଭାଲିର ବୟସ |
Age of Englightment,ଜ୍ଞାନର ବୟସ |
Age of Pericles,ପେରିକଲ୍ସର ବୟସ |
Age of reason,କାରଣର ବୟସ |
Agrarianism,କୃଷିବାଦ
Agrarian movement,କୃଷି ଆନ୍ଦୋଳନ |
Albion,ଆଲବିଅନ୍ |
Album,ଆଲବମ୍
Alderman,ଆଲଡରମ୍ୟାନ୍ |
Allusive arms,ଭ୍ରାନ୍ତ ବାହୁ |
Amity,ବନ୍ଧୁତା
Amphictyonic Council,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
Amphictyonic League,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
Amphitheatre,ଆମ୍ଫିଥେଟର
Amri Nal group (of pottery),ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର)
Anachronism,ଆନାକ୍ରୋନିଜିମ୍ |
Anachronistic,ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |
Ancestor,ପୂର୍ବପୁରୁଷ
Ancestor Worship,ପୂର୍ବପୁରୁଷ ପୂଜା |
Ancestry,ପିତୃପୁରୁଷ
Ancestry,ପିତୃପୁରୁଷ
Ancestry,ପିତୃପୁରୁଷ
Ancestry,ପିତୃପୁରୁଷ
Ancien regime,ପ୍ରାଚୀନ ଶାସନ
Ancient,ପ୍ରାଚୀନ
Ancient ballad,ପ୍ରାଚୀନ ବାଲାଡ୍ |
Ancient belief,ପ୍ରାଚୀନ ବିଶ୍ୱାସ
Ancient custom,ପ୍ରାଚୀନ ପ୍ରଥା
Ancient history,ପ୍ରାଚୀନ ଇତିହାସ
Ancient monuments,ପ୍ରାଚୀନ ସ୍ମାରକୀ
Anecdote,ଉପନ୍ୟାସ
Angelot,ଆଞ୍ଜେଲଟ୍ |
Angelus,ଆଞ୍ଜେଲସ୍ |
Angevin (=anjevin),ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍)
Angles,କୋଣ
Anglican,ଅଙ୍ଗଲିକାନ୍ |
Anglican Communion,ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |
Anglicanism,ଅଙ୍ଗଲିକାନିଜିମ୍ |
Anglo-phobe,ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |
Anglo-phobia,ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |
Anglo-Saxon,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |
Anglo-Saxonism,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |
Annalist,ଆନ୍ନାଲିଷ୍ଟ |
Annals,ବାର୍ଷିକ
Annexation,ସଂଲଗ୍ନ
Ante-bellum,ଆଣ୍ଟେ-ବେଲମ୍ |
Ante date,ଆଣ୍ଟେ ତାରିଖ |
Anti-clericalism,ଧର୍ମ-ବିରୋଧୀ
Anti-clerical legislation,ଧର୍ମ-ବିରୋଧୀ ନିୟମ
Antiquity,ପ୍ରାଚୀନତା
Anti-rent,ଆଣ୍ଟି-ଭଡା
Anti-rent,ଆଣ୍ଟି-ଭଡା
Anti Semitism,ବିରୋଧୀ ଦଳ
Anzac,ଅଞ୍ଜାକ |
Apella,ଆପେଲା |
Aralu,ଅରୁଲୁ |
Arch bishop,ଆର୍ ବିଶପ୍ |
Arch duchy,ଆର୍ ଡୁଚି |
Arch duke,ଆର୍ ଡ୍ୟୁକ୍ |
Archief (=archival collection),ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ)
Archiepiscopate,ଆର୍କିପିସ୍କୋପେଟ୍ |
Aristocracy,ଆଭିମୁଖ୍ୟ
Aristocrat,ଆରିଷ୍ଟୋକ୍ରାଟ୍ |
Aristocratic snobbery,ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |
Aristotelian,ଆରିଷ୍ଟୋଟେଲିଆନ୍ |
Armada,ଆର୍ମଡା |
Armada (=The Spanish Armada),ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା)
Armorist (=armourist),ବାହୁବଳୀ (= ବାହୁବଳୀ)
Armour (=armor),ବାହୁବଳୀ (= ବାହୁବଳୀ)
Armourist,ବାହୁବଳୀ |
Aryan,ଆର୍ଯ୍ୟନ୍
Aryan,ଆର୍ଯ୍ୟନ୍
Askari,ଆସ୍କାରି |
Assignat,ନ୍ୟସ୍ତ କରନ୍ତୁ |
Assize,Assize
Assize,Assize
Assize,Assize
Assize of Arms Act,ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |
Assize of Darrein Presentment,ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |
Assize of Mort 'D' Ancestor,ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |
Assize of Novel Disseisin,ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |
Atrocity,ଅତ୍ୟାଚାର
Attack,ଆକ୍ରମଣ
Aulic Council,ଆୟୁଲିକ୍ ପରିଷଦ |
Axe of the Geddess (=the Geddess axe),ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି)
Axis (=The Rome-Berlin-Tokyo Axis),ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍)
Babylon,ବାବିଲ
Babylonian captivity (=Babylonish captivity),ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ)
Bacchanal devotee,ବ୍ୟାଚାନାଲ ଭକ୍ତ
Bacchanalia,ବ୍ୟାଚାନାଲିଆ |
Bachelor,ଅବିବାହିତ
Baghdad Pact,ବାଗଦାଦ ଚୁକ୍ତି |
Balkan League,ବାଲକାନ୍ ଲିଗ୍ |
Balkan Pact,ବାଲକାନ୍ ଚୁକ୍ତି |
Balkan Wars,ବାଲକାନ ଯୁଦ୍ଧ |
Baltic Pact,ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |
Bandit,ବୃନ୍ଦାବନ
Bandung Conference,ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |
Banishment,ବହିଷ୍କାର |
Banner,ବ୍ୟାନର |
Barbarian,ବର୍ବର
Barbican,ବାର୍ବିକାନ୍ |
Bardoli satyagraha,ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |
Barn Burners,ବାର୍ ବର୍ନର୍ସ |
Baron,ବରୁଣ |
Baronage,ବରୁଣ
Barones majores,ବାରୋନସ୍ ମେଜୋରସ୍ |
Barones minores,ବାରୋନସ୍ ମାଇନୋରସ୍ |
Baroness,ବରୁଣେସ୍ |
Baronet,ବରୁଣେଟ୍ |
Baronetage,ବରୁଣେଟେଜ୍ |
Baronetage,ବରୁଣେଟେଜ୍ |
Baronetcy,ବାରୋନେଟସି |
Barony,ବାରୋନି |
Barracoon,ବାରାକୁନ୍ |
Barracoon,ବାରାକୁନ୍ |
Barricade (=barricado),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
Barricade (=barricado),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
Barricade (=barricado),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
Base camp,ବେସ୍ କ୍ୟାମ୍ପ୍ |
Basilica,ବେସିଲିକା |
Basilica,ବେସିଲିକା |
Bastila,ବସ୍ତିଲା |
Bastille,ବସ୍ତିଲ୍ |
Bastille,ବସ୍ତିଲ୍ |
Battery,ବ୍ୟାଟେରୀ
Battle,ଯୁଦ୍ଧ
Batlle-array,ବଟଲ୍-ଆରେ |
Battle cry,ଯୁଦ୍ଧ କାନ୍ଦ |
Battle din,ଯୁଦ୍ଧ ଡିନ |
Battle field,ଯୁଦ୍ଧ କ୍ଷେତ୍ର |
Battle hymn,ଯୁଦ୍ଧ ଭଜନ
Battle of the Spurs,ସ୍ପର୍ସର ଯୁଦ୍ଧ |
Battle of the Standard,ମାନାଙ୍କ ଯୁଦ୍ଧ |
Battleship,ଯୁଦ୍ଧ ଜାହାଜ |
Battleship-strength,ଯୁଦ୍ଧ-ଶକ୍ତି |
Bayeux tapestry,ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |
Beacon,ବିକନ୍ |
Beacon tower,ବିକନ୍ ଟାୱାର୍ |
Beaver,ବିଭର୍ |
Beaver,ବିଭର୍ |
Beggars of the sea,ସମୁଦ୍ରର ଭିକାରୀ |
Bellicose,ବେଲିକୋଜ୍ |
Bellicose,ବେଲିକୋଜ୍ |
Bellicose,ବେଲିକୋଜ୍ |
Bellicosity,ବେଲିକୋସିଟି |
Bellona,ବେଲୋନା |
Benefice,ଉପକାର
Benefit of clergy,ପାଦ୍ରୀମାନଙ୍କର ଲାଭ
Benelux,ବେନେଲକ୍ସ |
Berlin Decree,ବର୍ଲିନ୍ ଆଦେଶ |
Berserker,ବର୍ସରକର |
Besant (=bezant),ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ)
Bethel,ବ Bethel ଥେଲ୍ |
Bibliolater,Bibliolater
Bibliolatry,ଗ୍ରନ୍ଥସମୂହ
Big Bertha,ବିଗ୍ ବର୍ଥା |
Bigot,ବିଗଟ୍ |
Billeting,ବିଲିଂ
Bill of Attainder,ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |
Bill of Rights,ଅଧିକାର ବିଲ୍ |
Biographer,ଜୀବନୀ
Birth stories,ଜନ୍ମ କାହାଣୀ |
Bivouac,ବିଭିଆକ୍ |
Bivouac,ବିଭିଆକ୍ |
Bivouac,ବିଭିଆକ୍ |
Bizonia,ବିଜୋନିଆ |
Black birding,କଳା ପକ୍ଷୀ
Black flag,କଳା ପତାକା
Black Hole,ବ୍ଲାକ୍ ହୋଲ୍ |
Black Hole,ବ୍ଲାକ୍ ହୋଲ୍ |
Black leg (=scab),କଳା ଗୋଡ (= ସ୍କାବ)
Black Shirt,କଳା ସାର୍ଟ |
Blazon,ବ୍ଲାଜନ୍
Blazon,ବ୍ଲାଜନ୍
Blazonry,ବ୍ଲାଜୋନ୍ରି |
Blazonry,ବ୍ଲାଜୋନ୍ରି |
Blitzkrieg,ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |
Bloodless Revolution (=Glorious Revolution),ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ)
Bloodwite,ରକ୍ତଚାପ
Bloody Mary,ରକ୍ତାକ୍ତ ମରିୟମ |
Blue,ନୀଳ
Blue blood,ନୀଳ ରକ୍ତ
Blue book,ନୀଳ ପୁସ୍ତକ |
Blue ribbon,ନୀଳ ରିବନ୍ |
Blue ribbon,ନୀଳ ରିବନ୍ |
Blues (=Royal Horse Guards),ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ)
Blue Shirt,ନୀଳ ସାର୍ଟ |
Blue Water School,ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |
Board of Control,ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |
Body armour,ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |
Boer,ବୋଇର୍
Booty,ବୁଟି
Borough,ବୋରୱୋ |
Bouleuterion,ବୁଲୁଟେରିଅନ୍ |
Bourbon,ବୋର୍ବନ୍ |
Boxer rebellion,ବକ୍ସର ବିଦ୍ରୋହ |
Brace,ବନ୍ଧନୀ
Brassard,ପିତ୍ତଳ |
Brassard,ପିତ୍ତଳ |
Bread colonies,ରୁଟି କଲୋନୀ |
Breast Plate,ସ୍ତନ ପ୍ଲେଟ୍ |
Breast work,ସ୍ତନ କାମ
Bretwalda,ବ୍ରେଟୱାଲଡା |
Brigand,ବ୍ରିଗାଣ୍ଡ୍ |
Brigandage,ବ୍ରିଗେଣ୍ଡେଜ୍
British Commonwealth of Nations,ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |
Brown Shirts (=The Nazis),ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି)
Brussels Treaty (Pact) organisation (=Western Europeon union),ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍)
Buff,ବଫ୍ |
Buff,ବଫ୍ |
Buff-coat,ବଫ୍-କୋଟ୍ |
Buffs,ବଫସ୍ |
Bule (=council),ବୁଲେ (= ପରିଷଦ)
Burgage,ବନ୍ଧକ
Burgess,ବରଗଡ |
Byzantine,ବାଇଜାଣ୍ଟାଇନ
Byzantine church,ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ
Byzantine Empire,ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |
Byzantine Era,ବାଇଜାଣ୍ଟାଇନ ଯୁଗ
Byzantine historians,ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |
Cabal,କ୍ୟାବଲ୍ |
Caesarism,କେଜରିଜିମ୍ |
Caliph,ଖଲିଫ୍ |
Calligrapher,କଲିଗ୍ରାଫର୍ |
Calligraphist,କଲିଗ୍ରାଫିଷ୍ଟ |
Calligraphy,କାଲିଗ୍ରାଫି |
Caltrop,କାଲ୍ଟ୍ରପ୍ |
Camaraderie,କାମାଡେରି |
Camarilla,କାମାରିଲା |
Camarilla,କାମାରିଲା |
Camelaucum,କାମେଲାକମ୍ |
Camouflage,କାମୁଫ୍ଲେଜ୍ |
Campaign,ଅଭିଯାନ |
Camp follower,କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |
Campo santo,କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |
Campus martius,କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍
Canephora,କାନେଫୋରା |
Cangue,କଙ୍ଗୁ
Cannonade,କାନନେଡ୍ |
Cannon fodder,ତୋପ ଖାଇବା |
Canon,କାନନ୍ |
Canon law,କାନନ୍ ନିୟମ |
Canopus decree,କାନୋପସ୍ ଆଦେଶ |
Canting arms,ବାହୁବଳୀ
Captive,ବନ୍ଦୀ
Captor,କ୍ୟାପ୍ଟର
Cardinal,କାର୍ଡିନାଲ୍ |
Carl,କାର୍ଲ |
Carolingian dynasty,କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |
Carthusian sect,କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |
Cartosa,କାର୍ଟୋସା |
Castelian,କାଷ୍ଟେଲିଆନ୍ |
Castelian,କାଷ୍ଟେଲିଆନ୍ |
Caste system,ଜାତି ପ୍ରଣାଳୀ |
Castle,ଦୁର୍ଗ
Castle,ଦୁର୍ଗ
Castle town,ଦୁର୍ଗ ସହର
Castra,କାଷ୍ଟ୍ରା |
Castra,କାଷ୍ଟ୍ରା |
Cathedra,କ୍ୟାଥେଡ୍ରା |
Cathedral,କ୍ୟାଥେଡ୍ରାଲ୍ |
Cato Street conspiracy,କାଟୋ ଷ୍ଟ୍ରିଟ୍ ଷଡଯନ୍ତ୍ର |
Caudillo,କାଉଡିଲୋ |
Cavalier,କାଭାଲିଅର୍ |
Cavalier,କାଭାଲିଅର୍ |
Cavalier Parliament,କାଭାଲିଅର୍ ସଂସଦ |
Cave of Adullam,ଅଦୁଲ୍ଲାମର ଗୁମ୍ଫା |
Cave painting,ଗୁମ୍ଫା ଚିତ୍ର
Cave painting,ଗୁମ୍ଫା ଚିତ୍ର
Centumvir,Centumvir
Centurion,ସେଞ୍ଚୁରିଅନ୍ |
Century,ଶତାବ୍ଦୀ
Chain armour (=chain mail),ଶୃଙ୍ଖଳା ବାହୁବଳୀ (= ଶୃଙ୍ଖଳା ମେଲ୍)
Chantry,ଚାନ୍ଟ୍ରି |
Chantry,ଚାନ୍ଟ୍ରି |
Chap book,ଅଧ୍ୟାୟ ପୁସ୍ତକ
Chaplain,ଚାପଲେନ୍ |
Chapter,ଅଧ୍ୟାୟ
Chapter of accidents,ଦୁର୍ଘଟଣାର ଅଧ୍ୟାୟ |
Charge,ଚାର୍ଜ
Charge d'affaires,ଡିଫେୟାର୍ ଚାର୍ଜ କରନ୍ତୁ |
Charge parting,ଚାର୍ଜ ବିଭାଜନ |
Charger,ଚାର୍ଜର
Chariot,ରଥ
Charioteer,ରଥ
Charioteer,ରଥ
Charioteer,ରଥ
Charity kitchen,ଚାରିଟି ରୋଷେଇ ଘର |
Charter,ଚାର୍ଟର୍
Chartist Movement (=Chartism),ଚାର୍ଟିଷ୍ଟ ଆନ୍ଦୋଳନ (= ଚାର୍ଟିଜିମ୍)
Chartophylacium,ଚାର୍ଟୋଫିଲାସିୟମ୍ |
Chateau,Chateau |
Check post,ପୋଷ୍ଟ ଯାଞ୍ଚ କରନ୍ତୁ |
Chemical Warfare,ରାସାୟନିକ ଯୁଦ୍ଧ |
Chester,ଚେଷ୍ଟର୍ |
Chief,ମୁଖ୍ୟ
Chieftain,ମୁଖିଆ
Chieftain,ମୁଖିଆ
Chieftain,ମୁଖିଆ
Chiffon,ଚିଫନ୍ |
Chivalry,ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା |
Chosen People,ମନୋନୀତ ଲୋକ
Chrismographion,କ୍ରିସମୋଗ୍ରାଫିନ୍ |
Christendom,ଖ୍ରୀଷ୍ଟଧର୍ମ
Christian era,ଖ୍ରୀଷ୍ଟିଆନ ଯୁଗ |
Christian Socialism,ଖ୍ରୀଷ୍ଟିଆନ ସମାଜବାଦ |
Chronicle,ଇତିହାସ
Chronicler,କ୍ରୋନିକଲର୍
Chryse Chersonese,କ୍ରିସ୍ ଚେରସୋନିସ୍ |
Cimelium,ସିମେଲିୟମ୍ |
Cinquecento Style,ସିନକେସେଣ୍ଟୋ ଷ୍ଟାଇଲ୍ |
Circumnavigation,ସର୍କୁନାଭିଗେସନ୍ |
Cistercian monk,ସିଷ୍ଟର୍ସିଆନ୍ ମାଙ୍କଡ |
Citadel,ସୀତା
Citation,ଉଦ୍ଧୃତ
Citation,ଉଦ୍ଧୃତ
Civil disobedience,ନାଗରିକ ଅବମାନନା |
Civil war,ଗୃହଯୁଦ୍ଧ |
Civis Romanus,ସିଭିସ୍ ରୋମାନସ୍ |
Classical age,ଶାସ୍ତ୍ରୀୟ ବୟସ |
Clepht (=klepht),କ୍ଲିଫ୍ଟ (= କ୍ଲେଫ୍ଟ)
Clericalism,ଧର୍ମ ଧର୍ମ
Cleruch,କ୍ଲାରଚ
Cluniac movement,କ୍ଲୁନିୟକ୍ ଗତିବିଧି |
Coat armour,କୋଟ ବାହୁ
Coat of arms,କୋଟ୍
Coat of arms,କୋଟ୍
Coat of arms,କୋଟ୍
Coat of mail,କୋଟ୍ ମେଲ୍ |
Cohort,କୋହର୍ଟ |
Comitia,Comitia
Comitia Centuriata,Comitia Centuriata
Comitia Curiata,Comitia Curiata
Comitia Tributa,Comitia Tributa
Commemorative arch,ସ୍ମରଣୀୟ ଆର୍
Commemorative coin,ସ୍ମରଣୀୟ ମୁଦ୍ରା
Commemorative seal,ସ୍ମରଣୀୟ ସିଲ୍ |
Common field,ସାଧାରଣ କ୍ଷେତ୍ର |
Communard,କମ୍ୟୁନାର୍ଡ |
Concordat,କନକର୍ଡେଟ୍ |
Concordat,କନକର୍ଡେଟ୍ |
Condottiere,କଣ୍ଡୋଟିଅର୍ |
Confirmation Cartarum,ନିଶ୍ଚିତକରଣ କାର୍ଟାରମ୍ |
Conflict,ଦ୍ୱନ୍ଦ୍ୱ |
Congregation,ମଣ୍ଡଳୀ
Conquering state,ରାଜ୍ୟ ଜିତିବା |
Conqueror,ଜୟ
Conquistador,କନକ୍ୟୁଷ୍ଟାଡର୍ |
Consilium,କନସିଲିୟମ୍ |
Consistory,ସ୍ଥିର
Conspiracy,ଷଡଯନ୍ତ୍ର
Conspiracy,ଷଡଯନ୍ତ୍ର
Consulate,କନସୁଲେଟ୍ |
Consulation book,କନସୁଲେସନ୍ ବୁକ୍ |
Continental system,କଣ୍ଟିନେଣ୍ଟାଲ୍ ସିଷ୍ଟମ୍ |
Convention Parliament,ସମ୍ମିଳନୀ ସଂସଦ |
Copperheads (=peace democrats),କପରହେଡ୍ସ (= ଶାନ୍ତି ଗଣତାନ୍ତ୍ରିକ)
Copyhold,କପିହୋଲ୍ଡ |
Cordoning,କର୍ଡୋନିଂ |
Corona,କରୋନା |
Coronation,କରୋନେସନ୍ |
Coronation stone,କରୋନେସନ୍ ପଥର |
Corpus,କର୍ପସ୍
Corsair,କର୍ସାୟର୍ |
Corsair,କର୍ସାୟର୍ |
Corset (=corselet),କର୍ସେଟ୍ (= କର୍ସଲେଟ୍)
Cortes,କର୍ଟସ୍ |
Cottar (=cottier),କୁଟୀର (= କୁଟିଅର୍)
Cottar (=cottier),କୁଟୀର (= କୁଟିଅର୍)
Count Palatinate,ପାଲାଟିନେଟ୍ ଗଣନା କରନ୍ତୁ |
Country house,ଦେଶ ଘର
County,କାଉଣ୍ଟି |
County borough,କାଉଣ୍ଟି ବୋରୱେଲ |
County courts,କାଉଣ୍ଟି କୋର୍ଟ |
County palatine,କାଉଣ୍ଟି ପାଲାଟାଇନ୍ |
Court,କୋର୍ଟ
Court,କୋର୍ଟ
Court circular,କୋର୍ଟ ସର୍କୁଲାର୍ |
Court etiquette,କୋର୍ଟ ଶ iqu ଳୀ
Courtier,କୋର୍ଟ
Court of cassation,ଅଦାଲତ
Court of Directors (E. I. C.),କୋର୍ଟ ଅଫ୍ ଡାଇରେକ୍ଟର୍ସ (EIC)
Court of Proprietors,ମାଲିକଙ୍କ କୋର୍ଟ
Court poet,କୋର୍ଟ କବି
Covenanted Cameronians,ଚୁକ୍ତିଭିତ୍ତିକ କାମେରୋନିଆନ୍ |
Crown,ମୁକୁଟ |
Crown,ମୁକୁଟ |
Crown,ମୁକୁଟ |
Crown land,ମୁକୁଟ ଜମି |
Crown land,ମୁକୁଟ ଜମି |
Crown Prince,କ୍ରାଉନ୍ ପ୍ରିନ୍ସ |
Crusade,କ୍ରୁସେଡ୍ |
Crusader,କ୍ରୁସେଡର୍ |
Cryptogram,କ୍ରିପ୍ଟୋଗ୍ରାମ୍ |
Cuirass,କୁଇରାସ୍ |
Cuirassier,କୁଇରାସିଅର୍ |
Cult deity,ଦେବତା ସଂସ୍କୃତି
Curia,କୁରିଆ
Curia,କୁରିଆ
Czarism,ରାଜା
Dark continent,ଅନ୍ଧାର ମାଳଦ୍ୱୀପ |
Day of judgement,ବିଚାର ଦିନ
Day of judgement,ବିଚାର ଦିନ
Dean,ଡିନ୍
Decade,ଦଶନ୍ଧି
Denarius,ଡେନାରିୟସ୍ |
Deposed monarch,ବିତାଡିତ ରାଜତନ୍ତ୍ର |
Despoil,ଲୁଟ
Despoilation,ବିଚ୍ଛିନ୍ନତା |
Dethrone,ଡେଥ୍ରୋନ୍ |
Diadem,ଡାଏଡେମ୍ |
Diadem,ଡାଏଡେମ୍ |
Diadem,ଡାଏଡେମ୍ |
Diasia,ଡିଆସିଆ
Dicasterium,ଡିକାଷ୍ଟେରିୟମ୍ |
Diluvialist,ଦିଲୁଭିଆଲିଷ୍ଟ |
Diocese,ଡ଼ିଓସିସ୍
Diocese,ଡ଼ିଓସିସ୍
Directoire (=Directry),Directoire (= Directry)
Directoire (=Directry),Directoire (= Directry)
Dirham,ଦିରହମ୍ |
Disloyal,ଅବିଶ୍ୱାସୀ |
Disloyal,ଅବିଶ୍ୱାସୀ |
Doctrine of lapse,ତ୍ୟାଗ
Document,ଡକ୍ୟୁମେଣ୍ଟ୍
Documentary evidence,ଡକ୍ୟୁମେଣ୍ଟାରୀ ପ୍ରମାଣ |
Domesday Book,ଡୋମେସ୍ ବୁକ୍ |
Donation of Constantine,କନଷ୍ଟାଣ୍ଟିନର ଦାନ |
Doom,ନିପାତ |
Dowager queen,ଡାଉଜର୍ ରାଣୀ |
Dragoon,ଡ୍ରାଗନ୍ |
Dromedarian,ଡ୍ରୋମେଡାରିଆନ୍ |
Dromedary,ଡ୍ରୋମେଡାରୀ |
Dromond,ଡ୍ରୋମଣ୍ଡ |
Dual,ଡୁଆଲ୍ |
Dual alliance,ଦ୍ୱ ual ତ ମିଳିତତା |
Dual entente,ଡୁଆଲ୍ ଏଣ୍ଟେଣ୍ଟେ |
Dual system (=dual government),ଡୁଆଲ୍ ସିଷ୍ଟମ୍ (= ଦ୍ୱ ual ତ ସରକାର)
Duke,ଡ୍ୟୁକ୍ |
Duma,ଡୁମା
Dwarf incarnation,ବାଘ ଅବତାର |
Dynasty,ରାଜବଂଶ
Dynasty,ରାଜବଂଶ
Eagle,ଇଗଲ
Ealder man,ଏଲଡର୍ ମ୍ୟାନ୍ |
Earl,କର୍ଣ୍ଣ
Earldom,Earldom
Early Guptas,ପ୍ରାରମ୍ଭିକ ଗୁପ୍ତା |
Early (historic) sites,ପ୍ରାରମ୍ଭିକ (histor ତିହାସିକ) ସାଇଟଗୁଡିକ |
Early Vedic period,ପ୍ରାରମ୍ଭିକ ବ ed ଦିକ ଅବଧି |
Ecclesia,ଉପଦେଶ
Edict of Restitution,ପୁନ it ଉଦ୍ଧାରର ଆଦେଶ |
Eight fold path,ଆଠ ଗୁଣା ପଥ |
Elders,ପ୍ରାଚୀନମାନେ
Elder statesman (=genro),ବୟସ୍କ ରାଜ୍ୟସ୍ତରୀୟ (= ଜେନ୍ରୋ)
Elephant goad,ହାତୀ ଛେଳି |
