Assamese,Hindi
বেলিকোচিটি,"युयुत्सा, युद्धप्रियता, लड़ाकूपन"
বেলোনা,बेलोना
বেনিফিচ,"मठवृत्ति, धमवृत्ति, पादरी की वृत्ति"
ধৰ্মগুৰুসকলৰ লাভ,पादरी-सुविधा
বেনেলাক্স,बेनीलक्स
বাৰ্লিন ডিক্রী,"बर्लिन डिकी, बर्लिन निषेध"
Berserker,"जुझारू योद्धा, नार्सी योद्धा"
Besant (=বেজান্ট),बजांत
বেথেল,बैथेल
বিব্লিঅ&#39;লেটাৰ,ग्रंथ-पूजक
গ্ৰন্থবিজ্ঞান,ग्रंथपूजन
বিগ বাৰ্থা,बिग बर्था
কুসংস্কাৰ,धर्मांध
বিলেটিং,वासादेश
বিল অৱ এটেইণ্ডাৰ,बिल ऑफ अटेन्डर
অধিকাৰৰ বিল,अधिकार-पत्र
জীৱনীকাৰ,"जीवनीकार, चरित लेखक"
জন্মৰ কাহিনী,जातक कथाएँ
বিভক,पड़ाव
বিভক,2. रण-शिविर
বিভক,3. सैनिक पहरा
বিজোনিয়া,बाइज़ोनिया
ক&#39;লা চৰাই চোৱা,अवैध दास आयात
ক&#39;লা পতাকা,काला झंडा
ব্লেক হোল,काल-कोठरी
ব্লেক হোল,2. ब्लैक होल
ক&#39;লা ভৰি (=scab),"गद्दार, द्रोही"
ক&#39;লা চাৰ্ট,"ब्लैक शर्ट, काली कुर्ती दल"
ব্লেজন,कुल चिह्र
ব্লেজন,2. कुल चिह्र अंकन
ব্লেজনাৰী,कुल-चिह्रांकन कला
ব্লেজনাৰী,2. कलात्मक प्रदर्शन
ব্লিটজক্ৰিগ,"तड़ित युद्ध, तूफानी हमला"
ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ),"गौरवमय क्रांति, रक्तहीन क्रांति"
ব্লাডৱাইট,"रक्तपात देय, खून की कीमत, रक्तपात दण्ड"
ব্লাডি মেৰী,खूनी मेरी (सन् - ईo)
নীলা,ब्लू
নীলা তেজ,"आभिजात्य, कुलीनता"
নীলা কিতাপ,"नीली पुस्तिका, सरकारी रिपोर्ट, ब्लू बुक"
নীলা ফিতা,"नीला फीता, ब्लू रिबन"
নীলা ফিতা,2. सर्वोच्च सम्मान
ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড),राजकीय रक्षक
নীলা চাৰ্ট,नीली कुर्ती दल (इटली)
ব্লু ৱাটাৰ স্কুল,नौसेना समर्थक
নিয়ন্ত্ৰণ ব’ৰ্ড,"संचालन-मंडल, संचालन-बोर्ड, नियंन्त्रण मंडल"
শৰীৰৰ কৱচ,"वर्म, जिरह-बख्तर"
ব&#39;ৰ,बूर
লুটপাত,लूट का माल
বৰো,बरो
Bouleuterion,सीनेट सदन
বোৰ্বন,बूर्बा
বক্সাৰ বিদ্ৰোহ,बॉक्सर विद्रोह
ব্ৰেচ,भुज कवच
ব্ৰাছাৰ্ড,बाहु पट्टिका
ব্ৰাছাৰ্ড,"2. भुज बंध, भुज कवच"
ব্ৰেড কলনী,बहुधान्यक प्रदेश
ব্ৰেষ্ট প্লেট,"वक्षस्त्राण, उरस्ताण"
স্তনৰ কাম,आवक्ष भित्ति
ব্ৰেটৱাল্ডা,"ब्रेटवाल्डा, ब्रिटनों का अधिपति"
ব্ৰিগাণ্ড,बटमार
ব্ৰিগেণ্ডেজ,"बटमारी, लुंठन, राहजनी"
ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ,"ब्रिटिश कॉमनवेल्य, राष्ट्रमंडल"
ব্ৰাউন চাৰ্ট (=নাজী),"ब्राउन शर्ट्स, भूरी कुर्ती दल"
ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ),ब्रुसेल्स संधि संगठन
বাফ,महिष चर्म
বাফ,2. लघु कोट
বাফ-কোট,बफ़-कोट
বাফছ,बफ़-रेज़िमेंट
বুলে (=পৰিষদ),ब्यूल
বাৰ্গেজ,पट्टेदारी
বাৰ্জেছ,पौर प्रतिनिधि
বাইজেন্টাইন,बाईजेन्टिनी
বাইজেন্টাইন গীৰ্জা,बाइजेन्टिनी गिरजाघर
বাইজেন্টাইন সাম্ৰাজ্য,बाइजेन्टिनी साम्राज्य; पूर्वी रोम साम्राज्य
বাইজেন্টাইন যুগ,बाइजेन्टिनी संवत्
বাইজেন্টাইন ইতিহাসবিদ,बाइजेन्टिनी इतिहासकार
কেবাল,"काबेल, षडयंत्रकारियों का गुट"
ছিজাৰীজম,सीज़रतंत्र
খলিফা,खलीफ़ा
কেলিগ্ৰাফাৰ,"खुशनवीस, सुलेखक"
কেলিগ্ৰাফিষ্ট,सुलेख-विशारद
কেলিগ্ৰাফী,सुलेख
কেলট্ৰপ,कैल्ट्रॉप
সতীৰ্থতা,सौहार्द
কেমাৰিলা,लघु कक्ष
কেমাৰিলা,2. षाड्यंत्रिक
কেমেলাকম,(पोप का) मुकुट
ছদ্মবেশ,"छद्मावरण, छद्म गोपन"
অভিযান,अभियान
কেম্প অনুগামী,लश्करी; शिविरानुचर
কেম্পো ছান্টো,गिरजा क़ब्रिस्तान
কেম্পাছ মাৰ্চিয়াছ,कैंपस मारशियस
কেনেফোৰা,"कान्फोरा, डलियावाली"
কেংগু,कैंग; काष्ठबंध
কেননেড,गोलाबारी
কামানৰ ঘাঁহ,"युद्ध-बलि, तोपचारा"
কেনন,धर्म-सूत्र
কেনন আইন,"चर्च क़ानून, ईसाई धर्म-नियम, धमनियम"
কেন&#39;পাছৰ ডিক্রী,"कैनोपेस आज्ञप्ति, कैनोपस डिक्री"
কেনটিং আৰ্মছ,"चिह्रित शस्त्र, चिह्रित आयुध"
বন্দী,बंदी
বন্দী,बंदीकर्त्ता
কাৰ্ডিনেল,कार्डिनल
কাৰ্ল,कार्ल
কেৰ&#39;লিঞ্জিয়ান বংশ,कैरोलिन्जी राजवंश
কাৰ্থুছিয়ান পন্থা,कारथूसी संप्रदाय
কাৰ্টোছা,कारथूसी मठ
কেষ্টেলিয়ান,"किलेदार, कोटपाल"
কেষ্টেলিয়ান,2. केस्टेलन
জাতি ব্যৱস্থা,वर्ण-व्यवस्था
দুৰ্গ,() दुर्ग
দুৰ্গ,(2) गढ़ी
কেছল টাউন,दुर्ग-नगर
কাষ্ট্ৰা,कैस्ट्रा
কাষ্ট্ৰা,2. रोमन शिविर
কেথেড্ৰা,पादरी का सिंहासन
কেথেড্ৰেল,मुख्य गिरजाघर
কেটো ষ্ট্ৰীটৰ ষড়যন্ত্ৰ,केटो स्ट्रीट षडयंत्र
কৌডিলো,कॉडिलो
কেভেলিয়াৰ,() कैवेलियर
কেভেলিয়াৰ,(2) घुड़सवार
কেভেলিয়াৰ সংসদ,कैवेलियर पार्लियामेंट
আদুল্লামৰ গুহা,"पक्ष-त्यागी गुट, आडुलम गुट"
গুহা চিত্ৰকলা,"गुहा-चित्रकारी, गुहा-चित्रण"
গুহা চিত্ৰকলা,2. गुहा-चित्र
চেণ্টুমভিৰ,सेन्टुमविर
চেঞ্চুৰিয়ান,सेंचुरियन
শতিকা,"शताब्दी, सदी, शती"
চেইন আৰ্মৰ (=চেইন মেইল),"जिरह-बख्तर, श्रृंखला-कवच"
চান্ট্ৰী,"समर्पित मंदिर, समर्पित पूजागृह"
চান্ট্ৰী,2. समर्पित धर्मदास
চ্যাপ কিতাপ,चैप पुस्तिका
চেপলিন,"धर्माधिकारी, चैपलिन"
অধ্যায়,पादरी मंडल
দুৰ্ঘটনাৰ অধ্যায়,सांयोगिक दुर्घटनाएँ
চাৰ্জ,कीतिंचिह्र
চাৰ্জ ডি এফেয়াৰ্ছ,"कार्यदूत, दूत-कार्यकारी"
চাৰ্জ পাৰ্টিং,विदाई परामर्श
চাৰ্জাৰ,युद्धाश्व
ৰথ,विजय रथ
ৰথী,रथारोही
ৰথী,2. रथी
ৰথী,3. सारथी
চেৰিটি কিচেন,"अन्नसत्र, लंगर"
চনদ,"अधिकार-पत्र, चार्टर"
চাৰ্টিষ্ট আন্দোলন (=চাৰ্টিষ্ট),चार्टिस्ट आंदोलन
চাৰ্ট’ফাইলেচিয়াম,"अभिलेख-कक्ष, अभिलेख-प्रकोष्ठ"
চেট&#39;,"सामंत गढ़ी, शातो"
পোষ্ট চেক কৰক,पड़ताल चौकी
ৰাসায়নিক যুদ্ধ,रासायनिक युद्ध
চেষ্টাৰ,दुर्ग-नगर
প্ৰধান,सरदार
মুখীয়াল,सरदार
মুখীয়াল,2. सामंत
মুখীয়াল,3. राजा
চিফন,"जालांशुक, जालीदार कपड़ा, शिफान"
অশ্বাৰোহীতা,शौर्य
নিৰ্বাচিত লোকসকল,यहूदी लोग
ক্ৰীছমোগ্ৰাফী,दिव्यवाणी कक्ष प्रवचन कक्ष
খ্ৰীষ্টান ধৰ্ম,ईसाई जगत
খ্ৰীষ্টান যুগ,ईसवी काल
খ্ৰীষ্টান সমাজবাদ,ईसाई समाजवाद
ক্ৰনিকল,इतिवृत्त
ক্ৰনিকলাৰ,इतिवृत्तकार
ক্ৰাইজ চেৰ্চোনিজ,स्वर्ण-भूमि
চিমেলিয়াম,रत्न-कक्ष
Cinquecento শৈলী,सोलहवीं शती की शैली
প্ৰদক্ষিণ,परिनौचालन
চিষ্টাৰচিয়ান সন্ন্যাসী,सिस्तर्शी साधु
দুৰ্গ,"दुर्ग, गढ़ी"
উদ্ধৃতি,() प्रशस्ति
উদ্ধৃতি,(2) उपस्थिति सूचना
নাগৰিক অবাধ্যতা,सविनय अवज्ञा (आन्दोलन)
গৃহযুদ্ধ,गृह-युद्ध
চিভিছ ৰোমানাছ,रोमन नागरिक
ধ্ৰুপদী যুগ,"कलासिकी युग, श्रेण्य युग"
ক্লেফ্ট (=klepht),बटमार
কেৰাণীবাদ,"पादरीवाद, पुरोहितवाद"
ক্লাৰুচ,"भूग्राही, क्लेरुक"
ক্লুনিয়াক আন্দোলন,क्लूनी आंदोलन
কোট কৱচ,"कवच, जिरह-बख्तर"
কোট অৱ আৰ্মছ,कुलांक
কোট অৱ আৰ্মছ,2. आयुधांक
কোট অৱ আৰ্মছ,3. अस्त्र-ध्वजादि-चित्रण
কোট অৱ মেইল,"कवच, जिरह-बख्तर, अंगत्राण"
কোহৰ্ট,कोहॉर्ट
কমিটিয়া,कोमिशिया
কমিটিয়া চেঞ্চুৰিয়াটা,कोमिशिया सेंतुरियाता
কমিটিয়া কুৰিয়াটা,कोमिशिया क्यूरिआता
কমিটিয়া ট্ৰিবুটা,कोमिशिया ट्रिब्यूता
স্মৃতিচাৰণ তোৰণ,स्मारक तोरण
স্মৃতিচাৰণ মুদ্ৰা,स्मारक सिक्का
স্মৃতিসৌধ,स्मारक मुहर
সাধাৰণ ক্ষেত্ৰ,सार्वजनिक भूमि
কমিউনাৰ্ড,कम्यूनार्ड
কনকৰ্ডেট,समझौता
কনকৰ্ডেট,2. धर्म-संधि
কণ্ডোটিয়েৰ,कंदोत्यर
নিশ্চিতকৰণ Cartarum,"अधिकार-पत्र की पुष्टि, चार्टर-पुष्टि"
বিবাদ,संघर्ष
মণ্ডলী,धर्म-संगति
বিজয়ী ৰাষ্ট্ৰ,विजेता राज्य
বিজয়ী,विजेता
কনকিষ্টাডৰ,"वर्षक वीर, अत्याचारी विजेता"
কনচিলিয়াম,राजपरिषद्
কনচিষ্টৰী,"चर्च न्यायालय, काँसिस्टरी"
ষড়যন্ত্ৰ,षड़यन्त्र
ষড়যন্ত্ৰ,2. साजिश
কনছুলেট,कांसुली शासन
কনছুলেচন কিতাপ,परामर्श-पुस्तिका
মহাদেশীয় ব্যৱস্থা,महाद्वीपीय व्यवस्था
অধিৱেশন সংসদ,अनधिकृत आहूत पार्लियामेंट
কপাৰহেড (=শান্তি গণতন্ত্ৰ),कापरहेड्स
কপিহ&#39;ল্ড,"पट्ट-भूमि, पट्टे पर मिली भूमि"
ঘেৰাও কৰা,परिसीमन; घेरा डालना
কৰ&#39;না,"मुकुट, किरीट"
ৰাজ অভিষেক,राज्याभिषेक
ৰাজ অভিষেক শিল,"अभिषेकाश्म, अभिषेक-शिला"
কৰ্পাছ,(ग्रंथ) संग्रह
কৰ্চেয়াৰ,"जलदस्यु, समुद्री डाकू"
কৰ্চেয়াৰ,2. दस्यु पोत
কৰ্চেট (=কোৰ্চলেট),"उरस्त्राण, वक्षस्त्राण"
কৰ্টেছ,"कार्टिज़, स्पेनी संसद"
কোটাৰ (=cottier),कुटी घर
কোটাৰ (=cottier),2. खिदमती काश्तकार
কাউন্ট পেলেটিনেট,काउन्ट पैलेटीनेट
দেশৰ ঘৰ,ग्राम्य आवास
কাউন্টি,काउन्टी
কাউন্টি বৰো,काउन्टी बरो
কাউন্টি আদালত,काउन्टी न्यायालय
কাউন্টি পেলেটিন,काउन्टी रियासत
আদালত,दरबार
আদালত,2. राजसभा
আদালতৰ চক্ৰান্তমূলক,राजपरिपत्र
আদালতৰ শিষ্টাচাৰ,"दरबारी शिष्टाचार, दरबारी अदब, दरबारी क़ायदा"
কৰ্টিয়াৰ,"राजदरबारी, राजसभासद, मुसाहिब"
কেচেচনৰ আদালত,कोर्ट ऑफ कैसेशन
সঞ্চালক আদালত (EIC),"(ईस्ट इंडिया कंपनी का) निदेशक मंडल, कोर्ट ऑफ डायरेक्टर्स"
মালিকৰ আদালত,"(ईस्ट इंडिया कंपनी का) स्वामी मंडल, कोर्ट ऑफ प्रोप्राइटर्स"
আদালতৰ কবি,राजकवि
চুক্তিবদ্ধ কেমেৰনিয়ানসকল,प्रसंविदाकारी केमेरोनपंथी
মুকুট,"राजा, क्राउन"
মুকুট,2. (क) ताज
মুকুট,(ख) मुकुट
মুকুটৰ ভূমি,"खालसा, राजभूमि"
মুকুটৰ ভূমি,2. संघ राज्य
ক্ৰাউন প্ৰিন্স,युवराज
ক্ৰুছেড,"धर्मयुद्ध, जिहाद"
ক্ৰুছেডাৰ,धर्म-योद्धा
ক্ৰিপ্টোগ্ৰাম,"गुप्त लेख, छद्म लेख, गुप्त संदेश, कूट लेख, कूट संदेश, छद्म संदेश"
কুইৰাছ,"वक्षस्त्राण, जिरहबख़्तर"
কুইৰাচিয়াৰ,"चर्म कवचधारी, अश्वारोही"
কাল্ট দেৱতা,संप्रदाय देवता
কুৰিয়া,"क्यूरिया, सभा-भवन, परिषद"
কুৰিয়া,2. रोम का सीनेट भवन
জাৰবাদ,जारशाही
অন্ধকাৰ মহাদেশ,अंध महाद्वीप
বিচাৰৰ দিন,प्रलय-दिवस
বিচাৰৰ দিন,2. क़यामत का दिन
ডিন,"डीन, अधिष्ठाता"
দশক,जशक
ডেনাৰিয়াছ,दीनार
পদচ্যুত ৰজা,सिंहासनच्युत राजा
লুটপাত কৰা,विलुंठन
লুণ্ঠন,"अपहरण, लूट-खसोट"
ডিথ্ৰন,गद्दी से उतारना
ডায়েডেম,राजमुकुट
ডায়েডেম,2. किरीट
ডায়েডেম,3. राजचिह्र
ডায়েচিয়া,डायेसिया
ডিকাষ্টেৰিয়াম,न्यायालय
ডিলুভিয়ালিষ্ট,जलप्रलयवादी
ডাইচ,बिशप-क्षेत्र
ডাইচ,2. डायोसीज़
ডাইৰেক্টৰ (=নিৰ্দেশনা),क्रांतिकारी कार्यकारिणी
ডাইৰেক্টৰ (=নিৰ্দেশনা),2. दायरोक्तायर
দিৰহাম,दिरहम
অবিশ্বাসী,निष्ठाहीन
অবিশ্বাসী,2. देशद्रोही
লেপছৰ মতবাদ,"राज्य-अपहरण नीति, राज्यलय-नीति"
নথিপত্ৰ,"प्रलेख, दस्तावेज़"
নথিপত্ৰৰ প্ৰমাণ,"दस्तावेज़ी साक्ष्य, प्रलेखी साक्ष्य"
ডমছডে বুক,"अंतिम निर्णय पुस्तक, क़यामत के दिन की पुस्तक"
কনষ্টেণ্টাইনৰ দান,कॉन्सटेन्टाइन का दान
ডুম,"विधि, क़ानून"
বিধৱা ৰাণী,राजमाता
ড্ৰেগুন,"ड्रेगून, घुड़सवार"
ড্ৰ&#39;মেডাৰিয়ান,साँडनी सवार
ড্ৰমেডাৰী,"साँडनी, मादा ऊँट"
ড্ৰমণ্ড,महा नौका
দ্বৈত,द्वंद्व युद्ध
দ্বৈত মিত্ৰতা,"डुअल अलाएँस, दोहरी संधि"
ডুৱেল এণ্টেণ্ট,ड्यूल आँताँत
দ্বৈত ব্যৱস্থা (=দ্বিতীয় চৰকাৰ),"दोहरा शासन, दुहरी सरकार, द्वैध शासन"
ড্যুক,ड्यूक
ডুমা,ड्यूमा
বামন অৱতাৰ,वामन अवतार
বংশ,वंश
বংশ,2. राजवंश
ঈগল,गरूड़
এলডাৰ মানুহ,एल्डरमेन
আৰ্ল,अर्ल
আৰ্লডম,"अर्लपद, अर्लक्षेत्र"
আদিম গুপ্তাসকল,"पूर्व गुप्त वंश, पूर्व गुप्त वंशीय राजा"
প্ৰাথমিক (ঐতিহাসিক) স্থান,पूर्वकालीन (ऐतिहासिक) स्थल
প্ৰাথমিক বৈদিক যুগ,पूर्व वैदिक काल
ইক্লেছিয়া,नागरिक सभा
পুনৰুদ্ধাৰৰ আদেশ,"प्रत्यास्थापन धर्मादेश, प्रत्यास्थापनराजादेश, एडिक्ट ऑफ रेस्टिट्यूशन"
আঠ ভাঁজ পথ,अष्टांगिक मार्ग
বয়োজ্যেষ্ঠসকল,"चर्च अधिकारी, गिरजाधिकारी, प्रेसबीटर"
জ্যেষ্ঠ ৰাষ্ট্ৰনেতা (=genro),वयोवृद्ध राजविद्
হাতী গোড,अंकुश
এঘাৰ বছৰৰ অত্যাচাৰ,"ग्यारह वर्ष का आतंक राज्य, एकादश वर्षीय आतंक राज्य"
এলিছাই (=এলিচি),एलीजे
ঘেৰাও আন্দোলন,बाड़ाबंदी आंदोलन
এনচাইক্লিকেল,पोप-परिपत्र
বিশ্বকোষবাদী আন্দোলন,विश्वकोशकार आंदोलन
এন্টেন্টে,"आंतांत, सौहार्द"
