Malayalam,Telugu
പരസ്യ ഹോക് പേയ്മെന്റ്,తాత్కాలిక చెల్లింపు
തൊട്ടുകിടക്കുന്ന,ప్రక్కనే
തൊട്ടടുത്ത് (= തുടർച്ചയായ),ప్రక్కనే (= పరస్పర)
വചലിക്കുക,వాయిదా
നീരസം ചലനം,వాయిదా చలన
Cakudgge,అనుబంధం
ശിക്ഷിക്കപ്യം,తీర్పు
വിധിന്യായ,తీర్పు
Adjudication,న్యాయాధికారి
കമപ്പെടുത്തല്,సర్దుబాటు
രാജംഭരിക്കുക,నిర్వహించండి
സത്യപ്രതിഷേധിക്കുന്നു,ప్రమాణం చేయండి
ഭരണകൂടം,పరిపాలన
നീതിയുടെ ഭരണം,న్యాయం యొక్క పరిపాలన
ഭരണപരമായത്,పరిపాలనా
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,పరిపాలనా చర్య
അഡ്മിനിസ്ട്രേറ്റീവ് മൂല്യനിർണ്ണയം,అడ్మినిస్ట్రేటివ్ అప్రైసల్
അഡ്മിനിസ്ട്രേറ്റീവ് അംഗീകാരം,పరిపాలనా ఆమోదం
അഡ്മിനിസ്ട്രേറ്റീവ് അതോറിറ്റി,పరిపాలనా అధికారం
അഡ്മിനിസ്ട്രേറ്റീവ് നിയന്ത്രണം,పరిపాలనా నియంత్రణ
അഡ്മിനിസ്ട്രേറ്റീവ് തീരുമാനം,పరిపాలనా నిర్ణయం
അഡ്മിനിസ്ട്രേറ്റീവ് വകുപ്പ്,పరిపాలనా విభాగం
അഡ്മിനിസ്ട്രേറ്റീവ് ഹെഡ്,అడ్మినిస్ట్రేటివ్ హెడ్
അഡ്മിനിസ്ട്രേറ്റീവ് ആസ്ഥാനം,పరిపాలనా ప్రధాన కార్యాలయం
ഭരണപരമായ നടപടികൾ,పరిపాలనా చర్యలు
ഭരണപരമായ ശക്തി,పరిపాలనా శక్తి
ഭരണപരമായ അനുമതി,పరిపాలనా అనుమతి
അഡ്മിനിസ്ട്രേറ്റീവ് രീതി,పరిపాలనా సాంకేతికత
അഡ്മിനിസ്ട്രേറ്റീവ് ട്രൈബ്യൂണൽ,అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్
അനഭാക്ഷ്യം,ప్రవేశం
അനുവദനീയമായ ചെലവ്,ఆమోదయోగ్యమైన వ్యయం
സമ്മതിക്കുക,అంగీకరించండి
അഡ്മിറ്റ് കാർഡ്,అడ్మిట్ కార్డ్
പ്രവേശിപ്പിച്ചു,అంగీకరించారు
ഉപദേഷ്ടാപ്പ്,సలహా
ദന്തം,దత్తత తీసుకున్న వ్యక్తి
ച്ചക്കല്,దత్తత
ദത്ത്,దత్తత
പായപൂര്ത്തിയായി,వయోజన
മായം,కల్తీ
വഭിചാരം,వ్యభిచారం
മുതിർന്നവർക്കുള്ള ഫ്രാഞ്ചൈസി,వయోజన ఫ్రాంచైజ్
പരസ്യ മൂല്യനിർണ്ണയം,ప్రకటన విలువ
മുന്നേറുക,అడ్వాన్స్
അഡ്വാൻസ് ബുക്കിംഗ്,అడ్వాన్స్ బుకింగ్
അഡ്വാൻസ് കോപ്പി,ముందస్తు కాపీ
അഡ്വാൻസ് ഇൻക്രിമെന്റ്,ముందస్తు పెరుగుదల
അഡ്വാൻസ് പേയ്മെന്റ്,ముందస్తు చెల్లింపు
പ്രതികൂല പ്രവേശനം,ప్రతికూల ప్రవేశం
പ്രതികൂല പരാമർശങ്ങൾ,ప్రతికూల వ్యాఖ్యలు
പ്രതികൂല റിപ്പോർട്ട്,ప్రతికూల నివేదిక
വിജ്ഞാപനം,ప్రకటన
ഉപദേശം,సలహా
പേയ്മെന്റിന്റെ ഉപദേശം,చెల్లింపు సలహా
ഉപദേശക സമിതി,సలహా సమితి
ഉപദേശക സമിതി,సలహా మండలి
വാദിക്കുക,న్యాయవాది
കാര്യങ്ങൾ,వ్యవహారాలు
സതവാങ്മൂലം,అఫిడవిట్
ബന്ധം,అనుబంధం
സ്ഥിരീകരണം,ధృవీకరణ
ഉറപ്പിക്കുന്ന,ధృవీకరించేది
ഉളവാക്കുക,స్థోమత
മേൽപ്പറഞ്ഞ,పైన పేర్కొన్నది
ശെറെഷ്,అఫ్రెష్
എതിരായി,వ్యతిరేకంగా
വയസ്സ്,వయస్సు
പ്രായപരിധി,వయస్సు ధృవీకరణ పత్రం
വോട്ടവകാശത്തിനുള്ള പ്രായം,ఓటు హక్కు కోసం వయస్సు
പ്രായപരിധി,వయో పరిమితి
നിര്വ്വഹണം,ఏజెన్సీ
കാരപരിപാടി,ఎజెండా
വിരമിക്കലിന്റെ പ്രായം,పదవీ విరమణ వయస్సు
അപാദന പ്രായം,పర్యవేక్షణ వయస్సు
അഗ്രഗേഷൻ,సమూహనం
ദു ved ഖിച്ചു,బాధపడ్డాడు
പ്രക്ഷോഭക്തി,ఆందోళన
AGM,AGM
കരാര്,ఒప్పందం
കരാർ ഫോം,ఒప్పంద ఫారం
കൃഷിപ്പണി,వ్యవసాయం
കാർഷിക വ്യവസായം,అగ్రో-ఇండస్ట్రీ
സഹായം,సహాయం
ആപല്സൂചന,అలారం
ജാല്തചിഹ്നം,అప్రమత్తత
അപരാഭിധാനം,అలియాస్
കുറ്റാരോപണം,ఆరోపణ
മേല്ക്കോയ്മയോട് ഭക്തി,విధేయత
സഖം,కూటమి
അനുബന്ധ സേവനങ്ങൾ,అనుబంధ సేవలు
എല്ലാം ഉൾക്കൊള്ളുന്ന ചെലവ്,అన్ని కలుపుకొని ఖర్చు
അഖിലേന്ത്യാ സേവനങ്ങൾ,ఆల్ ఇండియా సర్వీసెస్
പങ്കുവയ്ക്കല്,కేటాయింపు
അനുവദിച്ചതുക,కేటాయింపు
അലോട്ട്മെന്റ് കത്ത്,కేటాయింపు లేఖ
അല്ലോട്ടി,కేటాయింపు
അനുവദനീയം,అనుమతించదగినది
അനുവദനീയമായ ചെലവുകൾ,అనుమతించదగిన ఖర్చులు
ഒരു അപ്പീൽ അനുവദിക്കുക,అప్పీల్‌ను అనుమతించండి
അനുമതി നല്കുക,భత్యం
എല്ലാ അവകാശങ്ങളും നിക്ഷിപ്തം,అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది
അക്ഷരമാല ഓർഡർ,అక్షర క్రమం
വാസസ്ഥലമായ,వాగ్వాదం
ഏകാന്തരക്രമത്തിൽ,ప్రత్యామ్నాయ
ബദൽ,ప్రత్యామ్నాయం
സംയോജനം,సమ్మేళనం
ഭേദഗതി ചെയ്ത ഡ്രാഫ്റ്റ്,సవరించిన చిత్తుప్రతి
ഭേദഗതി,సవరణ
സഖ്യം,సౌకర్యం
മിതഭാവമുള്ള,స్నేహపూర్వక
വെടിക്കോപ്പ്,మందుగుండు సామగ్రి
കടത്തിന്റെ പവിത്രത,రుణ రుణమాఫీ
സംഖ,మొత్తం
പെൻഷന്റെ തുക,పెన్షన్ మొత్తం
അനലോഗസ് പോസ്റ്റ്,సారూప్య పోస్ట్
വിശകലനം,విశ్లేషణ
അനലിറ്റിക്കൽ പഠനം,విశ్లేషణాత్మక అధ్యయనం
പൂര്വ്വികന്,పూర్వీకుడు
അനുബന്ധ വ്യവസായം,సహాయక పరిశ్రమ
ബദ്ധവൈരം,శత్రుత్వం
അനുബന്ധം,అనుబంధం
വാര്ഷികദിനം,వార్షికోత్సవం
അറിയിപ്പ്,ప్రకటన
ഉപദവം,కోపం
വാർഷിക സാമ്പത്തിക പ്രസ്താവന,వార్షిక ఆర్థిక ప్రకటన
വാർഷിക റിപ്പോർട്ട്,వార్షిక నివేదిక
ആന്വിറ്റി,యాన్యుటీ
പേരറിയാത്ത,అనామక
അജ്ഞാത പരാതി,అనామక ఫిర్యాదు
ഉത്തരവിദ്ധി,జవాబుదారీతనం
ഉത്തരക്കടലാസ്,జవాబు పత్రం
ശതാപകന്,విరోధి
മുൻഗാമികൾ,పూర్వజన్మలు
പ്രതീക്ഷിച്ച ചെലവ്,Bean హించిన ఖర్చు
പ്രതീക്ഷിച്ച വരുമാനം,Ntic హించిన ఆదాయం
മുന്തോന്നല്,Ntic హించడం
മുൻകൂട്ടി ജാമ്യം,ముందస్తు బెయిల్
അഴിമതി വിരുദ്ധ നടപടി,అవినీతి నిరోధక కొలత
വിരുദ്ധ ഡമ്പിംഗ്,యాంటీ డంపింగ్
പഴക്കം ചെന്ന,పురాతన
വർത്തിഡ്,వర్ణవివక్ష
അപരാഭിചികം,ఉదాసీనత
അപെക്സ് ബോഡി,అపెక్స్ బాడీ
ക്ഷമാപണം,క్షమాపణ
പുനര്വിചാരണയ്ക്ക് അപേക്ഷിക്കുക,అప్పీల్
കാഴ്ച,స్వరూపం
വിശേഷണം,సంతృప్తి
അപ്പീലേറ്റ് ട്രൈബ്യൂണൽ,అప్పీలేట్ ట్రిబ్యునల్
അനുബന്ധം,అపెండిక్స్
ഉപകരണം,ఉపకరణం
പയോഗക്ഷമമായ,వర్తిస్తుంది
അപേക്ഷക,దరఖాస్తుదారు
അപേക്ഷ,అప్లికేషన్
അപേക്ഷാ ഫോറം,దరఖాస్తు ఫారం
പ്രയോഗിച്ചു,అనువర్తిత
അപേക്ഷിക്കുക,వర్తించండి
നിയമിത,నియామకం
അധികാരം നിയമിക്കുന്നു,నియమించే అధికారాన్ని
നിയമനം,నియామకం
നിയമന പത്രിക,నియామక పత్రం
മന്ത്രിസഭയുടെ നിയമന സമിതി,నియామకాల కమిటీ క్యాబినెట్
വേതനത്തെ വിഭവങ്ങൾ,వేతనాల విభజన
വിലനിശ്ചയിക്കല്,అంచనా
വിലഹരവാദി,మదింపుదారు
അഭിനന്ദനം,ప్రశంసతో
അവബോധം,దిగులు
തൊഴില്പരിശീലക,అప్రెంటిస్
സമീപിക്കുക,విధానం
അനുഗുണമായ,తగినది
ഉചിതമായ പ്രവർത്തനം,తగిన చర్య
ഉചിതമായ തല,తగిన తల
വിനിയോഗം,కేటాయింపు
അംഗീകരിക്കല്,ఆమోదం
ഏകദേശമായ,సుమారు
ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ്,ఆప్టిట్యూడ్ పరీక్ష
സേച്ഛാചാരിയായ,ఏకపక్ష
മാദ്ധസ്ഥം വഹിക്കുക,మధ్యవర్తిత్వం
മാദ്ധസ്ഥം,మధ్యవర్తిత్వ
മാദ്ധ്യസ്ഥതാ ട്രിബ്യൂണൽ,మధ్యవర్తిత్వ ట్రిబ్యునల్
മദ്ധസ്ഥന്,మధ్యవర్తి
വാസ്തുവിദ,వాస్తుశిల్పం
ഗന്ഥരക്ഷാലയം,ఆర్కైవ్స్
പദേശം,ప్రాంతం
ഏരിയസ്ഥാനം,ఏరియా ప్రధాన కార్యాలయం
വാദം,వాదన
എഴുന്നേല്ക്കുക,తలెత్తండి
സായുധ സേന,సాయుధ దళాలు
കമീകരണം,అమరిక
ഊരി,బకాయి
അരീയർ പ്രസ്താവന,రాక ప్రకటన
വരവ് റിപ്പോർട്ട്,రాక నివేదిక
ധിക്കാരം,అహంకారం
ആയുധശാല,ఆర్సెనల్
പദാര്ത്ഥം,వ్యాసం
അസോസിയേഷന്റെ ലേഖനങ്ങൾ,అసోసియేషన్ వ్యాసాలు
ലേഖനങ്ങൾ,వ్యాసాలు
ആരോഹണ ക്രമം,ఆరోహణ క్రమం
നിർണ്ണയിക്കുന്ന,నిర్ధారించడం
എവിടെയാണ്,ఎక్కడ ఉందో
വശം,కారక
കയറിയ,ఆస్పర్షన్
രാഷ്ടീയക്കൊല,హత్య
കയ്യേറ്റം നടത്തുക,దాడి
സംയോജിപ്പിക്കുക,సమీకరించటం
നിയമനിര്മ്മാണസഭ,అసెంబ్లీ
അനുമതി,అస్సెంట్
ഉറപ്പുപറയുക,నొక్కి చెప్పండి
വിലയിരുത്തുന്ന,మదింపుదారుడు
നികുതിചുമത്തല്,అంచనా
വിലയിരുത്തൽ വർഷം,అసెస్‌మెంట్ ఇయర్
അസര്യാകം,మదింపుదారు
ആസ്തി,ఆస్తులు
നിയമനിക,కేటాయించిన
ചുമതല,అసైన్‌మెంట్
യാസ,అసైనర్
സഹായം,సహాయం
തോഴന്,అసోసియేట్
ചങ്ങാത്തം,అసోసియేషన్
ചാർജ് അനുമാനം,ఛార్జ్ యొక్క umption హ
ഉറപ്പുനല്കല്,హామీ
അഷ്വറൻസ് കമ്പനി,అస్యూరెన్స్ కంపెనీ
ഉറപ്പുതരുന്നു,భరోసా
കിഴിവിൽ,డిస్కౌంట్ వద్ద
ആറ്റോമിക് പവർ,అణు శక్తి
തുല്യത്തിൽ,పార్ వద్ద
പ്രീമിയത്തിൽ,ప్రీమియం వద్ద
ഘടിപ്പിക്കുക,అటాచ్
അറ്റാച്ചുചെയ്ത ഓഫീസ്,జతచేయబడిన కార్యాలయం
ബന്ധം,అటాచ్మెంట్
അറ്റാച്ചുമെന്റ് ഓർഡർ,అటాచ్మెంట్ ఆర్డర్
നേട്ടം,సాధించడం
പരിശമം,ప్రయత్నం
ഹാജർ,హాజరు
ഹാജർ രജിസ്റ്റർ,హాజరు రిజిస్టర్
പങ്കെടുക്കുന്ന സ്ലിപ്പ്,హాజరు స్లిప్
ശ്രദ്ധ,శ్రద్ధ
സാക്ഷ്യപ്പെടുത്തൽ,ధృవీకరణ
സാക്ഷ്യപ്പെടുത്തിയ പകർപ്പ്,ధృవీకరించబడిన కాపీ
ഭാവം,వైఖరి
ആകർഷകമായ ശമ്പളം,ఆకర్షణీయమైన జీతం
ലേലം,వేలం
ലേറ്റീയർ,వేలంపాట
ലേല വിൽപ്പന,వేలం అమ్మకం
സദസര്,ప్రేక్షకులు
ഓഡിയോ-വിഷ്വൽ ഡിസ്പ്ലേ,ఆడియో-విజువల్ డిస్ప్లే
ഓഡിയോ-വിഷ്വൽ പബ്ലിസിറ്റി,ఆడియో-విజువల్ పబ్లిసిటీ
കണക്കുപരിശോധിക്കുക,ఆడిట్
ഓഡിറ്റുചെയ്ത അക്കൗണ്ടുകൾ,ఆడిట్ చేసిన ఖాతాలు
ഓഡിറ്റുചെയ്ത ബാലൻസ് ഷീറ്റ്,ఆడిట్ చేసిన బ్యాలెన్స్ షీట్
ഓഡിറ്റിംഗ്,ఆడిటింగ్
ഓഡിറ്റ് എതിർപ്പ്,ఆడిట్ అభ్యంతరం
ഓഡിറ്ററുടെ റിപ്പോർട്ട്,ఆడిటర్ నివేదిక
ആഡിറ്റോറിയം,ఆడిటోరియం
ഓഡിറ്റ് ഖണ്ഡിക,ఆడిట్ పేరా
കണക്കിറ്റ് റിപ്പോർട്ട്,ఆర్థిక లెక్కల నివేదిక
ഉത്സവമായ,కాఠిన్యం
ചെലവുചുരുക്കൽ നടപടികൾ,పొదుపు చర్యలు
ആധികാരികം,ప్రామాణికమైన
അംഗീകൃത പ്രതിനിധി,అధీకృత ప్రతినిధి
അംഗീകാരപരമായ,అధికారిక
അധികാരം,అధికారం
അതോറിറ്റി കത്ത്,అధికారం లేఖ
അധികാരപ്പെടുത്തി,అధికారం
അംഗീകൃത മൂലധനം,అధీకృత మూలధనం
ഓട്ടോമാറ്റിക്,ఆటోమేటిక్
സയംശാസിതമായ,స్వయంప్రతిపత్తి
സ്വയംഭരണ സംഘടന,అటానమస్ బాడీ
സയംഭരണാവകാശം,స్వయంప్రతిపత్తి
ഉക്സിലറി,సహాయక
സുലഭം,అందుబాటులో ఉంది
ശരാശരി,సగటు
ശരാശരി അവധി,సగటు సెలవు
അപീതി,విరక్తి
അകറ്റുക,అవర్ట్
ഒഴിവാക്കുക,నివారించండి
നികുതി ഒഴിവാക്കുക,పన్నును నివారించడం
കാത്തിരിക്കുന്നു,వేచి ఉంది
കൊടുക്കുക,అవార్డు
അതോറിറ്റി അവാർഡ്,అథారిటీ అవార్డు
ബോധപ്പെടുത്തല്,అవగాహన
കസ്റ്റേറ്റഡ്,బ్యాక్‌డేటెడ్
പശ്ചാത്തലം,నేపథ్య
ബാക്ക് ലോഗ്,బ్యాక్ లాగ్
പുറപ്പെട്ടു,బ్యాక్ అవుట్
തിരികെ റഫറൻസ്,వెనుక సూచన
ബാക്കപ്പ് ചെയ്യുക,బ్యాకప్
പിന്നോക്ക ക്ലാസുകൾ,వెనుకబడిన తరగతులు
പിന്നോക്ക ഗോത്രം,వెనుకబడిన తెగ
മോശം വിലപേശൽ,చెడు బేరం
ചീത്ത സ്വഭാവം,చెడు ప్రవర్తన
മോശം പ്രതീകം,చెడ్డ పాత్ర
മോശം കാലാവസ്ഥാ അലവൻസ്,చెడు వాతావరణ భత్యం
മോശം പെരുമാറ്റം,చెడు ప్రవర్తన
കിട്ടാ കടം,చెడు రుణం
ബാഗ്,సామాను
ജാമം,బెయిల్
ബാക്കി,సంతులనం
ബാലൻസ് കൊണ്ടുവന്നു,బ్యాలెన్స్ తగ్గింది
ബാലൻസ് മുന്നോട്ട് കൊണ്ടുവന്നു,బ్యాలెన్స్ ముందుకు తెచ్చింది
സമതുലിതമായ ബജറ്റ്,సమతుల్య బడ్జెట్
ബാലൻസ് ഷീറ്റ്,బ్యాలెన్స్ షీట్
വോട്ടിന്റെ നറുക്ക്,బ్యాలెట్
ബാലറ്റ് ബോക്സ്,వోట్లు వేసే డబ్బా
ബാലറ്റ് പേപ്പർ,బ్యాలెట్ పేపర్
നിരോധനം,నిషేధం
ബാങ്ക്,బ్యాంక్
ബാങ്ക് അക്കൗണ്ട്,బ్యాంకు ఖాతా
ബാങ്ക് ബാലൻസ്,బ్యాంక్ బ్యాలెన్స్
ബാങ്ക് ചാർജുകൾ,బ్యాంకు చార్జీలు
ബാങ്ക് ഗ്യാരന്റി,బ్యాంకు హామీ
ബാങ്ക് അവധി,బ్యాంకు సెలవు
ബാങ്കിംഗ് സൗകര്യം,బ్యాంకింగ్ సౌకర్యం
ബാങ്കിംഗ് സമയം,బ్యాంకింగ్ గంటలు
ബാങ്കിംഗ് ഇടപാട്,బ్యాంకింగ్ లావాదేవీ
ബാങ്ക് നിരക്ക്,బ్యాంక్ రేటు
ബാങ്ക് അനുരഞ്ജനം,బ్యాంకు సయోధ్య
നിര്ദ്ധനന്,దివాళా
ബാങ്ക് സുരക്ഷ,బ్యాంక్ భద్రత
ബാങ്ക് സ്റ്റേറ്റ്മെന്റ്,బ్యాంకు వాజ్ఞ్మూలము
വിരോതം,విందు
ബാർ കൗൺസിൽ,బార్ కౌన్సిల్
വില്പ്പനക്കരാര്,బేరం
വില പേശൽ,బేరసారాలు
തരിശുഭൂമി,బంజరు భూమి
ചരക്കുകൈമാറ്റക്കച്ചവടം,బార్టర్
അടിത്തറ,బేస్
അടിസ്ഥാനപരമായ,నిరాధారమైన
കെട്ടിടത്തിന്റെ അടിത്തറ,బేస్మెంట్
അടിസ്ഥാന വർഷം,బేస్ ఇయర్
അടിസ്ഥാനപരമായ,ప్రాథమిక
അടിസ്ഥാനപരമായി,సాధారణంగా
അടിസ്ഥാന ഇന്റലിജൻസ്,ప్రాథమిక మేధస్సు
അടിസ്ഥാന ശമ്പളം,ప్రాథమిక వేతనం
ശമ്പളത്തിന്റെ അടിസ്ഥാന തോത്,ప్రాథమిక స్థాయి వేతనం
അടിസ്ഥാന പരിശീലനം,ప్రాథమిక శిక్షణ
അടിസ്ഥാനം,ఆధారంగా
ഓടിക്കല്ല്,బ్యాచ్
ബാച്ച് നമ്പര്,బ్యాచ్ సంఖ్య
ചുമക്കുന്ന ചെക്ക്,బేరర్ చెక్
ഉദ്ധരിച്ചതിന് മുമ്പ്,ఉదహరించడానికి ముందు
പെരുമാറ്റം,ప్రవర్తన
വിശാസം,నమ్మకం
പാരത്തില് താഴെ,పార్ క్రింద
ബഞ്ച്,బెంచ్
ബെഞ്ച്മാർക്ക്,బెంచ్ మార్క్
പ്രയോജനകരമായ,ప్రయోజనకరమైనది
പയോജകന്,లబ్ధిదారుడు
ആനുകൂലം,ప్రయోజనం
സംശയത്തിന്റെ പ്രയോജനം,సందేహం యొక్క ప్రయోజనం
നന്മ,బెనెవోలెన్స్
ബെൻ വോളന്റ് ഫണ്ട്,బెనెవోలెంట్ ఫండ్
Arequeliathe,Bequeath
അയവിസ്താരം,బీక్వెస్ట్
ദുര്ത്തന്ത,మరణించారు
മികച്ച ശ്രമങ്ങൾ,ఉత్తమ ప్రయత్నాలు
കാഴ്ചപ്പാട്,మంచి
പക്ഷപാതം,బయాస్
പക്ഷപാതപരമായ അഭിപ്രായം,పక్షపాత అభిప్రాయం
ബിബ്ലിയോഗ്രാഫി,గ్రంథ పట్టిక
ബിനാത്തില്,ద్వైవార్షిక
വിഭജനം,విభజన
ദിഭാരതം,బిగామి
ഉഭയകക്ഷി,ద్వైపాక్షిక
രണ്ടുഭാഷകളിലുള്ള,ద్విభాషా
ബൈകാമെറൽ,ద్విమకరణ
ബില്,బిల్లు
വ്യവഹാര പത്രം,మార్పిడికి సంభంధించిన బిల్లు
ബിമോണി റിപ്പോർട്ട്,బిమోంత్లీ రిపోర్ట్
ബന്ധിക്കുക,బైండింగ్
ബയോഡറ്റ,బయోడేటా
ബിപർട്ടിനെറ്റ്,బైపార్టైట్
Biparteait കരാർ,ద్వైపాక్షిక ఒప్పందం
ജന്മവാർഷികം,జనన వార్షికోత్సవం
ജനന സർട്ടിഫിക്കറ്റ്,జనన ధృవీకరణ పత్రం
ജനന നിയന്ത്രണം,జనన నియంత్రణ
ജനിച്ച ദിവസം,పుట్టిన తేదీ
ജന്മസ്ഥലം,పుట్టిన ప్రదేశం
ജനന നിരക്ക്,జనన రేటు
ബിക്കുളികം,వారం వారం
കറുത്ത സമ്പദ്വ്യവസ്ഥ,బ్లాక్ ఎకానమీ
കറുത്ത പട്ടിക,బ్లాక్ జాబితా
കൊള്ളയടിക്കുക,బ్లాక్ మెయిల్
കരിഞ്ചന്ത,చీకటి వ్యాపారం
കുറ്റപ്പെടുത്തുക,నింద
ശൂന്യമായ പരിശോധന,ఖాళీ చెక్
പുതപ്പ് ഇടപാട്,దుప్పటి ఒప్పందం
പുതപ്പ് ഓർഡർ,దుప్పటి క్రమము
സ്ഫോടനം,పేలుడు
മിശ്രിതമാക്കുക,బ్లెండింగ్
ഉപരോധിക്കുക,బ్లాక్
ഉപരോധിക്കല്,దిగ్బంధనం
തടഞ്ഞ മൂലധനം,నిరోధించబడిన మూలధనం
വലിയ അക്ഷരം,పెద్ద అక్షరం
രക്ത ദാനം,రక్త దానం
രക്തബന്ധങ്ങൾ,రక్త సంబంధాలు
ബ്ലൂ കോളർ ജോലി,బ్లూ కాలర్ ఉద్యోగం
ബ്ലൂപ്രിന്റ്,బ్లూప్రింట్
മല്പ്പാതം,బుకాయింపు
പലക,బోర్డు
"ബോർഡിംഗ്, താമസം",బోర్డింగ్ మరియు బస
