Hindi,Punjabi
सक्रिय मूलक्षेत्र,ਸਰਗਰਮ ਕੋਰ
1.उग्र 2. तीव्र,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
अनुकूलनशीलता,ਅਨੁਕੂਲਤਾ
अनुकूलन,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
1. आसंजन 2. अभिलाग,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
वसामय,sebaceous
समायोजन समीकरण,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
ऐडोब मृदा,ਅਡੋਬ ਮਿੱਟੀ
अपमिश्रक,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
अपस्थानिक,ਐਕਟੋਪਿਕ
इसीडियोस्पोर इसीडियम बीजाणु,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
वातोढ़ प्रक्रिया,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
वातोढ़,ਵੈਂਟ੍ਰਲ
वातन करना,ਹਵਾ ਦੇਣ ਲਈ
1. वायव 2. आकाशी,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
ऐरोसोल,ਐਰੋਸੋਲ
1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता,1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ
रोग हेतु विज्ञान,ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ
वनरोपण,ਜੰਗਲਾਤ
1. विलोडन 2. प्रक्षोभन,1. ਅੰਦੋਲਨ 2. ਗੜਬੜ
ऐगमार्क,ਐਗਮਾਰਕ
1. भूमि संबंधी 2. कृषि संबंधी,1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ
कृषि निदानालय,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
1. कृषि श्रम 2. खेतिहर मजदूर,1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ
कृषि विपणन,ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ
कृषि प्रद्योगिकी,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
1. कृषि 2. खेतीबारी 3. कृषि विज्ञान,1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ
कृषि वनवर्धन,ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ
कृषि जैविक विविधता,ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ
कृषि जैविक दोष,ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ
कृषि जैविकी,ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ
कृषि जलवायुवीय विविधता,ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ
कृषिजलवायुवीय जोन निर्माण,ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ
कृषिवानिकी,ਖੇਤੀ ਜੰਗਲਾਤ
सस्य मृदा विज्ञान,ਖੇਤੀ ਵਿਗਿਆਨ
सस्य विज्ञान,ਖੇਤੀ ਵਿਗਿਆਨਕ
कृषि पशुचारणिक,ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ
फसल प्रसंस्करण,ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ
घास विज्ञान,ਘਾਹ ਵਿਗਿਆਨ
सस्य प्ररूप,ਫਸਲ ਦੀ ਕਿਸਮ
अधिपादप,epiphyte
ऐकिओची मृदा,aikiochi ਮਿੱਟੀ
वर्णकहीनता,ਰੰਗ ਅੰਨ੍ਹਾਪਨ
एल्फिसॉल,alfisol
शैवाल,ਐਲਗੀ
शैवाल रोग,ਐਲਗੀ ਰੋਗ
क्षार जल,ਖਾਰੀ ਪਾਣੀ
क्षारीय,ਖਾਰੀ
विकल्पी,ਵਿਕਲਪਕ
एलीलो रसायन,ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ
युग्मविकल्पी,ਐਲੀਲ
एलीलोपैथी,ਐਲੇਲੋਪੈਥੀ
वीथी सस्यन,ਵੇਥੀ ਦੀ ਫਸਲ
परनिषेक-फलता,ਸੰਪੂਰਨਤਾ
परनिषेचन,ਗਰੱਭਧਾਰਣ ਕਰਨਾ
1. सापेक्षमिति 2. ऐलोमैट्री,1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ
परबहुगुणित,multiploidy
1. परयुग्मन 2. अपायुग्लन,1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ
1. एकातंर वर्ष फलन 2. एकांतरित फलन,1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ
वैकल्पिक भूमि उपयोग,ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
परिवेश,ਵਾਤਾਵਰਣ
सुधारक,ਸੁਧਾਰਕ
असूत्रीविभाजन,ਮਾਈਟੋਸਿਸ
ऐमीनन,ਆਮੀਨ
अमोनियन,ਐਮੋਨੀਅਨ
अमोनीकारक,amniferous
1.अप्रभावी रूप  2.अरूपी,1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ
उभय मिश्रण,amphibian ਮਿਸ਼ਰਣ
उभयधर्मी,ਐਮਫੋਟੇਰਿਕ
उपचय,ਭੰਡਾਰ
1. अवायुजीव 2. अनाक्सी जीव,1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ
असुगुणित,ਹੈਪਲੋਇਡ
कोणीय रोपण,ਕੋਣੀ ਲਾਉਣਾ
पशुपालन,ਪਸ਼ੂ ਪਾਲਣ
पशु उच्छिष्ट,ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ
सजीव ऊर्जा,ਜੀਵਤ ਊਰਜਾ
असमगुणित,ਅਸਧਾਰਨ
एकवर्षीय पादप,ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ
वार्षिक,ਸਾਲਾਨਾ
1. परागोद्भव 2. प्रफुल्लन,1. ਅਨੰਦ 2. ਚਮਕ
ऐन्थ्रेक्स,ਐਂਥ੍ਰੈਕਸ
मानवजनिक कारक,ਮਾਨਵ-ਜਨਕ ਕਾਰਕ
प्रतिजीविता,ਬਚਾਅ
1.प्रतिजैविक2.  ऐन्टीबायोटिक,1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ
प्रतिकारक,ਘਿਣਾਉਣੀ
प्रतिऑक्सीकारक,ਐਂਟੀਆਕਸੀਡੈਂਟ
प्रतिआविष,ਐਂਟੀਟੌਕਸਿਨ
वलयिका,ਰਿੰਗ ਉਂਗਲ
1. ऐफिड 2. माहू 3. चेपा,1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ
शीर्ष कलिका,ਚੋਟੀ ਦੇ ਮੁਕੁਲ
शिखाग्र प्रभाविता,ਸਿਖਰ ਪ੍ਰਭਾਵ
मधुमक्खी पालन,ਮਧੂ ਮੱਖੀ ਪਾਲਣ
असंगजनन,ਅਲੌਕਿਕਤਾ
एपोप्टोसिस,apoptosis
उपांग,ਜੋੜ
क्षुधावर्धक,ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ
अनुप्रयुक्त,ਲਾਗੂ ਕੀਤਾ
जलीय खरपतवार,ਜਲਜੀ ਬੂਟੀ
1. वृक्षीय 2. वृक्षवासी,1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ
शाखायन,ਬ੍ਰਾਂਚਿੰਗ
आद्य वानस्पतिक अभिलेख,ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
क्षेत्रांकड़,ਜ਼ੋਨ ਨੰਬਰ
1. क्षेत्र 2. क्षेत्रफल,1. ਖੇਤਰ 2. ਖੇਤਰ
शुष्क पारितंत्र,ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ
बीजचोल,cotyledon
सौरभ,ਸੌਰਭ
सुगंधी पादप,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
सुगंधित चावल,ਸੁਗੰਧਿਤ ਚੌਲ
इक्षु पुष्पन,ਇਕੁ ਪੁਸ਼ਪੰ ॥
अपूति,ਅਸੈਪਟਿਕ
1.अपूतित 2. अजर्म,1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ
अलैंगिक प्रवर्धन,ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ
आमाप,ਆਕਾਰ
परिसंपत्ति,ਸੰਪਤੀ
1. स्वांगीकरण 2. आत्मसात्करण,1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ
1. साहचर्य 2. संघ,1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ
1. स्तंभक 2. कषाय,1. ਕਾਲਮ 2. astringency
असूत्रयुग्मन,heterozygosity
1. पूर्वजता 2. ऐटाविज्म,1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ
कणित्र,ਕਣ
1.अपुष्टि 2. क्षीणता,1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ
स्वयुग्मन,ਸਵੈ ਜੋੜਾ
स्वलयन,autolysis
1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन,1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ
स्वबहुगुणित,ਸਵੈ ਮਲਟੀਪਲੈਕਸ
ऑक्सिन,auxin
1. शूक 2. तूड़,1. ਹਿਲਾ 2. ਟੌਡ
दंड विषाणु,ਸਜ਼ਾ ਵਾਇਰਸ
1. दंडाणु 2. बैसिलस,1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ
1. जीवाणु 2. बैक्टीरिया,1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ
जीवाणु आविष,ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ
खोई,ਬੈਗਾਸ
तुलन-पत्र,ਸੰਤੁਲਨ ਸ਼ੀਟ
संतुलित उर्वरक उपयोग,ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ
दंड आरेख,ਬਾਰ ਗ੍ਰਾਫ
छाल,ਸੱਕ
1. वायुदाबमापी 2. बैरोमीटर,1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ
1. बजर 2. अकृष्य 3. बांझ,1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ
1. आधार 2. बेस 3. कपांग,1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ
1.थाला 2. द्रोणी,1. ਤਾਲਾ 2. ਬੇਸਿਨ
तलाभिसारी,ਤਾਲਾਬੀਸਰੀ
1. बेसिस्टर्नम 2. मूलाधारक,1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ
खाड़ी मानसून,ਖਾੜੀ ਮਾਨਸੂਨ
फलदायी पौधा,ਫਲ ਪੌਦਾ
क्यारी,ਬਿਸਤਰਾ
क्यारी - पौधा,ਬੈੱਡ ਪੌਦਾ
क्यारी बनाना,ਬਿਸਤਰਾ
चुकंदर शीरा,ਚੁਕੰਦਰ ਗੁੜ
धौंकनी,ਘੰਟੀ
1. पट्टी 2. इलाका,1. ਪੱਟੀ 2. ਭੂਮੀ
लाभ-लागत विश्लेषण,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
अभिनत (प्रतिचयन),ਚਾਹਵਾਨ (ਨਮੂਨਾ)
द्विवर्षीय पादप,ਦੋ-ਸਾਲਾ ਪੌਦੇ
द्विपद,ਬਾਇਨੋਮੀਅਲ
जैवकारक,ਬਾਇਓਫੈਕਟਰ
जीव जलवायु,ਜੈਵਿਕ ਜਲਵਾਯੂ
जैव ऊर्जा,ਬਾਇਓ ਊਰਜਾ
जीव पारिस्थितिकी,ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ
1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर,1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ
जीव-मंडल,ਜੀਵ-ਮੰਡਲ
जीवीय,ਬਾਇਓਟਿਕ
जीव प्ररूप,ਜੀਵ-ਜੰਤੂ
दविलिंगी,ਡਿਵਿਲਿੰਗੀ
धवलन,ਧਵਲਨ
1.  प्रध्वसं (रोग) 2.  झोंका रोग,1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ
संमिश्रण,ਮਿਲਾਉਣਾ
1. अंगमारी (रोग) 2.  ब्लाइट (रोग),1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ)
1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर,1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ
नीली क्रांति,ਨੀਲੀ ਕ੍ਰਾਂਤੀ
तलीय ताप चैंबर,ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ
तलीय ताप तकनीक,ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ
चोकर,ਬਰੈਨ
शाखन,ਬ੍ਰਾਂਚਿੰਗ
1. टहनी 2. उपशाखा,1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ
नस्ल,ਨਸਲ
प्रजनन,ਪ੍ਰਜਨਨ
शीघ्र अंकुरण उपचार,ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ
1. शाव 2. अंड 3. भ्रूण,1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ
कलिकायन,ਉਭਰਦਾ
बजट,ਬਜਟ
1.उभयप्रतिरोधी 2. बफर,1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ
शल्ककंद,ਮਿਠਾ ਆਲੂ
बंट (रोग),ਬੰਟ (ਰੋਗ)
1. उपजात 2. उपोत्पाद,1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ
c नमी विशिष्टता वक्र,c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ
खली,ਤੇਲ ਕੇਕ
1. चूनेदार 2.कैल्सियमी,1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ
कैल्सीयन,ਕੈਲਸੀਓਨ
फॉस्फेट का निस्तापन,ਫਾਸਫੇਟ ਹਟਾਉਣ
1. किणता 2. कैलसता,1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ
1.कैलस 2. किण,1. ਕੈਲਸ 2. ਕਿਰਨ
1. बाह्यदल पुंज 2.कैलिक्स,1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ
वाह्यदल अंत,ਬਾਹਰੀ ਅੰਤ
एधा,ਏਡਾ
कैंकर (जीवाणु रोग),ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ)
डिब्बाबंदी,ਕੈਨਿੰਗ
वितान,ਅਸਮਾਨ
पूंजी,ਵਿੱਤ
परागण (अंजीर का),ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ)
1. संपुट 2. संपुटिका 3. कैप्सूल,1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ
कार्बोनीकृत,ਕਾਰਬਨਾਈਜ਼ਡ
कार्बनन,ਕਾਰਬਨਾਨ
अंडप,carapace
मणिबंध,ਬਰੇਸਲੈੱਟ
1. ढलाई (लोहे की) 2. क्षिप्ति (कीट),1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ)
अपचय,catabolism
उत्प्रेरण,ਪ੍ਰੇਰਣਾ
1. इल्ली 2. सूंडी,1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ
सी ड़ी. एन. ए. संग्रह,c d. ਐਨ. a ਸੰਗ੍ਰਹਿ
सीमा,ਸੀਮਾ
1. कोशिका 2. कोष्ठिका,1. ਸੈੱਲ 2. ਸੈੱਲ
केंद्रीय अग्रग प्रणाली,ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ
1. सबिंदु 2. सकेंद्र,1. ਪੁਆਇੰਟ 2. ਫੋਕਸ
अपकेंद्रण,centrifugation
अपकेंद्रक,ਸੈਂਟਰਿਫਿਊਜ
तारककेंद्र,ਸਟਾਰ ਸੈਂਟਰ
केंद्रजनिक,epigenetic
केंद्रजा,ਕੇਂਦਰਜਾ
लूम,ਲੂਮ
1. धान्य 2. सीरियल,1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ
1. प्रमाणीकरण 2. प्रमाणन,1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ
प्रमाणित बीज,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
1. भूसा 2. कुट्टी 3. शल्क सहपत्र,1. ਤੂੜੀ 2. ਕੁੱਟੀ 3. ਸ਼ਲਕ ਸਹਪਾਤਰਾ
1. निभाग 2. कैलाजा,1. ਨਿਭਾਗ 2. ਕੈਲਜਾ
रसानुवर्तन,ਕਾਇਮੋਗ੍ਰਾਫੀ
1. किआज्मा 2. व्यत्यस्त,1. ਕੀਜ਼ਮਾ 2. ਵਿਅਸਤ
अतिशीतन घंटे,ਸੁਪਰ ਕੂਲਿੰਗ ਘੰਟੇ
शीतज क्षति,ਠੰਡ ਦਾ ਨੁਕਸਾਨ
1.  विचित्रोतकी 2. काइमेरा,1. ਵੀਚਰੋਤਕੀ 2. ਚਿਮੇਰਾ
हरित दली,ਹਰਾ ਦਲੀਆ
1. पर्णहरित 2. हरितक,1. ਪੱਤੇ 2. ਹਰੇ
हरिमाहीनता,ਸਾਇਨੋਸਿਸ
जीव वितरण विज्ञान,ਜੈਵਿਕ ਵੰਡ ਵਿਗਿਆਨ
1. क्रोमैटिड 2. अर्धगुणसूत्र,1. ਕ੍ਰੋਮੇਟਿਡਜ਼ 2. ਅੱਧੇ ਕ੍ਰੋਮੋਸੋਮਜ਼
क्रोमैटिन,chromatin
वर्णलेखन,ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
क्रोमोटिनलयन,chromatinlation
परिसूत्र बिंदु,ਅਟਲ ਬਿੰਦੂ
वर्णजनन,chromatogenesis
1. क्रोमोप्रोटीन 2. वर्णकप्रोटीन,1. ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ 2. ਪਿਗਮੈਂਟਪ੍ਰੋਟੀਨ
1. गुणसूत्र 2. क्रोमोसोम,1. ਕ੍ਰੋਮੋਸੋਮਜ਼ 2. ਕ੍ਰੋਮੋਸੋਮਜ਼
1. चिरकाली 2. दीर्घकाली 3. जीर्ण 4. पुराना,1. ਪੁਰਾਣੀ 2. ਪੁਰਾਣੀ 3. ਪੁਰਾਣੀ 4. ਪੁਰਾਣੀ
सिट्रेंज,citrange
पर्णाभपर्व,ਪਤਝੜ ਤਿਉਹਾਰ
वर्गीकरण,ਵਰਗੀਕਰਨ
1.मृत्तिका 2. चिकनी मिट्टी,1. ਮਿੱਟੀ 2. ਮਿੱਟੀ
1. निर्मलन 2. मार्जन 3. सफाई 4.  शोधन,1. ਸਫਾਈ 2. ਰਗੜਨਾ 3. ਸਫਾਈ 4. ਸ਼ੁੱਧੀਕਰਨ
अनुन्मील्य परागण,ਲਗਾਤਾਰ ਪਰਾਗਣ
क्रतिक श्वसनी फल,cruciferous ਫਲ
जलवायु,ਜਲਵਾਯੂ
जलवायु विज्ञान,ਜਲਵਾਯੂ ਵਿਗਿਆਨ
कतरनी,ਕੱਟਣਾ
ढेला (मिट्टी का),ਗੰਢ (ਮਿੱਟੀ)
क्लोन,ਕਲੋਨ
1.मेघ 2. बादल,1. ਬੱਦਲ 2. ਬੱਦਲ
पुंज (क्लंप,ਝੁੰਡ
गुच्छ,ਝੁੰਡ
1.स्थूल 2. मोटा 3. कच्चा 4. अपरिष्कृत,1. ਮੋਟਾ 2. ਮੋਟਾ 3. ਕੱਚਾ 4. ਮੋਟਾ
1. आवरण 2.  चर्मावरण,1. ਕਵਰ 2. ਚਮੜਾ
कोया,ਕੋਯਾ
1. कोएन्जाइम 2. सह-एन्जाइम,1. ਕੋਐਨਜ਼ਾਈਮ 2. ਕੋ-ਐਨਜ਼ਾਈਮ
संसंजन,ਤਾਲਮੇਲ
1. रेशा (जूट पटसन) 2. नारियल जटा,1. ਫਾਈਬਰ (ਜੂਟ ਜੂਟ) 2. ਨਾਰੀਅਲ ਮੋਟੇ
मूलांकुर चोल,ਮੁਲੰਕੁਰ ਚੋਲਾ
,
कोलॉइड (मृदा),ਕੋਲਾਇਡ (ਮਿੱਟੀ)
1.स्तंभिका 2. कॉलुमेला,1.ਕਾਲਮ 2.ਕੋਲੁਮੇਲਾ
1.दंड 2. स्तंभ 3. कॉलम,1. ਜੁਰਮਾਨਾ 2. ਕਾਲਮ 3. ਕਾਲਮ
सहभोजिता,ਸਾਂਝ
वाणिज्यिक बैंक,ਵਪਾਰਕ ਬੈਂਕ
1. जिंस 2. पण्य वस्तु,1. ਵਸਤੂ 2. ਵਪਾਰਕ ਮਾਲ
समुदाय,ਭਾਈਚਾਰਾ
संहनन (मृदा का),ਮਿਸ਼ਰਣ (ਮਿੱਟੀ ਦਾ)
1. सुसंगति 2. संगतता,1. ਅਨੁਕੂਲਤਾ 2. ਅਨੁਕੂਲਤਾ
सुसंगतता,ਅਨੁਕੂਲਤਾ
1. क्षतिपूर्ति 2. मुआवजा,1. ਮੁਆਵਜ਼ਾ 2. ਮੁਆਵਜ਼ਾ
स्पर्धी अन्योन्यक्रिया,ਪ੍ਰਤੀਯੋਗੀ ਪਰਸਪਰ ਪ੍ਰਭਾਵ
पूरक सस्य,ਪੂਰਕ ਫਸਲ
1.सम्मिश्र 2. जटिल,1. ਸੰਯੁਕਤ 2. ਗੁੰਝਲਦਾਰ
घटक,ਸੰਵਿਧਾਨਕ
संघटन,ਰਚਨਾ
कंपोस्ट,ਖਾਦ
चक्रवृद्धि ब्याज,ਮਿਸ਼ਰਿਤ ਵਿਆਜ
अभिकलन,ਗਣਨਾ
1.अभिकलित्र 2.कंप्यूटर,1. ਕੰਪਿਊਟਰ 2. ਕੰਪਿਊਟਰ
1. सांद्रण 2. संकेद्रण,1. ਇਕਾਗਰਤਾ 2. ਇਕਾਗਰਤਾ
1. अनुकूलक 2. पुनरुद्धारक,1. ਆਪਟੀਮਾਈਜ਼ਰ 2. ਰੀਵਾਈਟਲਾਈਜ਼ਰ
चालकता,ਚਾਲਕਤਾ
1. विन्यास 2. संरूपण,1. ਸੰਰਚਨਾ 2. ਸੰਰਚਨਾ
1. अनुरूपता 2. समविन्यास 3. संरूपता,1. ਅਨੁਕੂਲਤਾ 2. ਸੰਰਚਨਾ 3. ਅਨੁਕੂਲਤਾ
1.समाकुलन 2. संकरण,1. ਏਕੀਕਰਣ 2. ਹਾਈਬ੍ਰਿਡਾਈਜ਼ੇਸ਼ਨ
संयुग्मन,ਸੰਜੋਗ
1. योजी 2. संयोजी,1. ਜੋੜਨ ਵਾਲਾ 2. ਜੋੜਨ ਵਾਲਾ
सरंक्षण,ਸੁਰੱਖਿਆ
चकबंदी,ਏਕੀਕਰਨ
1.संघटक 2. अवयव,1. ਸਮੱਗਰੀ 2. ਸਮੱਗਰੀ
उपभोक्ता,ਖਪਤਕਾਰ
उपभोग,ਖਪਤ
संदूषण,ਗੰਦਗੀ
समोच्च रोपण,ਕੰਟੂਰ ਲਾਉਣਾ
समोच्च रेखा,ਕੰਟੋਰ ਲਾਈਨ
