Hindi,Bengali
उत्प्रेरण,ক্যাটালাইসিস
"इल्ली, सूंडी",শুঁয়াপোকা
C- डीएनए संग्रह,সি-ডিএনএ লাইব্রেরি
सीमा,সিলিং
"कोशिका, कोष्ठिका",সেল
केंद्रीय अग्रलेख प्रणाली,কেন্দ্রীয় নেতা ব্যবস্থা
"सबिंदु, सकेंद्र",কেন্দ্রিক
अपकेंद्रण,সেন্ট্রিফিউগেশন
अपकेंद्रित,সেন্ট্রিফিউজ
तारककेंद्र,সেন্ট্রিওল
केंद्रजनिक,সেন্ট্রোজেনিক
केंद्रजा,সেন্ট্রোজেনাস
लूम,সার্কাস
"धान्य, सीरियल",সিরিয়াল
"प्रमाणीकरण, प्रमाणन",শংসাপত্র
प्रमाणित बीज,প্রত্যয়িত বীজ
"भूसा, कुट्टी, शल्क सहपत्र",চ্যাফ
"निभाग, कैलाजा",চালাজা
रसानुवर्तन,কেমোট্রপিজম
"काएज्मा, व्यत्यस्त",চিয়াসমা
द्रुतशीतन घंटे,শীতল সময়
शीतज क्षति,শীতল আঘাত
"विचित्रोतकी, किमेरा",চিমেরা
हरित दली,ক্লোরান্টি
"पर्णहरित, हरितक",ক্লোরোফিল
हरिमाहीनता,ক্লোরোসিস
जीव वितरण विज्ञान,ক্লোরোলজি
"क्रोमैटिड, अर्धगुणसूत्र",ক্রোমাটিড
क्रोमैटिन,ক্রোমাটিন
वर्णलेखन,ক্রোমাটোগ্রাফি
क्रोमोटिनलयन,ক্রোমাটোলাইসিস
परिसूत्र बिंदु,ক্রোমোসেন্ট্রে
वर्णजनन,ক্রোমোজেনেসিস
"क्रोमोप्रोटीन, वर्णकप्रोटीन",ক্রোমোপ্রোটিন
"गुणसूत्र, क्रोमोसोम",ক্রোমোজোম
"चिरकाली, दीर्घकाली, जीर्ण, पुराना",দীর্ঘস্থায়ী
सिट्रेंज,সিট্রঞ্জ
पर्णाभपर्व,ক্লেডোড
वर्गीकरण,শ্রেণিবদ্ধকরণ
"मृत्तिका, चिकनी मिट्टी",ক্লে
"निर्मलन, मार्जन, सफाई, शोधन",পরিষ্কার
"अनुन्मील्य परागण, स्वपरागण",ক্লিস্টোগ্যামি
क्रांतिक श्वसनी फल,ক্লাইম্যাক্টেরিক ফল
जलवायु,জলবায়ু
जलवायु विज्ञान,জলবায়ু
कतरनी,ক্লিপার
ढेला (मिट्टी का),ক্লোড
"क्लोन, कृन्तक",ক্লোন
"मेघ, बादल",মেঘ
"पुंज (क्लंप, संपुंजन)",ক্লাম্প
गुच्छ,ক্লাস্টার
"स्थूल, मोटा, कच्चा, अपरिष्कृत",মোটা
"आवरण (बीज़), चर्मावरण",কোট (বীজ)
कोया,কোকুন
"कोएन्जाइम, सह-प्रकिण्व",কোএনজাইম
संसंजन,সংহতি
"रेशा (जूट पटसन), नारियल जटा",কয়ার
मूलांकुर चोल,কোলোররিজা
"स्तंभमूलसंधि, कॉलर, ग्रीवा",কলার
कोलॉइड (मृदा),কলয়েড (মাটি)
"स्तंभिका, कॉलुमेला",কলিউমেলা
"दंड, स्तंभ, कॉलम",কলাম
सहभोजिता,কমেন্সালিজম
वाणिज्यिक बैंक,বাণিজ্যিক ব্যাংক
"जिंस, पण्य वस्तु",পণ্য
समुदाय,সম্প্রদায়
"संहनन, (मृदा का)",সংযোগ (মাটির)
"सुसंगति, संगतता",সামঞ্জস্যতা
सुसंगतता,সামঞ্জস্যতা
"क्षतिपूर्ति, मुआवजा",ক্ষতিপূরণ
स्पर्धी अन्योन्यक्रिया,প্রতিযোগিতামূলক মিথস্ক্রিয়া
पूरक सस्य,পরিপূরক ফসল
"सम्मिश्र, जटिल",জটিল
घटक,উপাদান
संघटन,গঠন
कंपोस्ट,কম্পোস্ট
चक्रवृद्धि ब्याज,চক্রবৃদ্ধিহারে সুদ
अभिकलन,গণনা
"अभिकलित्र, कंप्यूटर",কম্পিউটার
"सांद्रण, संकेद्रण",একাগ্রতা
"अनुकूलक, पुनरुद्धारक",কন্ডিশনার
चालकता,আচরণ
"विन्यास, संरूपण",কনফিগারেশন
"अनुरूपता, समविन्यास, समरूपता",অনুসার
"समाकुलन, संकरण",বিভ্রান্তিকর
संयुग्मन,সংমিশ্রণ
"योजी, संयोजी",সংযোগকারী
सरंक्षण,সংরক্ষণ
चकबंदी,একত্রীকরণের
"संघटक, अवयव",উপাদান
उपभोक्ता,গ্রাহক
उपभोग,খরচ
संदूषण,দূষণ
समोच्च रोपण,কনট্যুর রোপণ
समोच्च रेखा,কনট্যুর
"संविदा कृषि, ठेका कृषि, अनुबंधित खेती",চুক্তি চাষ
नियंत्रित भंडारण,নিয়ন্ত্রিত স্টোরেজ
सहकारी बैंक,সমবায় ব্যাংক
सहकारी संस्था सदस्य,সহযোগী
गुल्मवन,কপিস
घनकंद,Corm
"दलपुंज, कोरोला",করোলা
"वल्कल, कॉर्टेक्स",কর্টেক্স
लागत,ব্যয়
बीजपत्र,কোটিলেডন (বীজ)
ऋण समिति,ক্রেডিট সোসাইটি
"उधार, साख",ক্রেডিট
"ऋणदाता, लेनदार",পাওনাদার
"शिखा, शीर्ष, शिखर",ক্রেস্ট
व्याकुंचन,ক্রিঙ্কল
संकट,সংকট
कसौटी,মানদণ্ড
"क्रांतिक, विकट, नाजुक",সমালোচনা
फसल बीमा,শস্য বীমা
फसल ऋण,শস্য loan ণ
"सस्य, फसल",ফসল
सस्यन क्षेत्र,ক্রপিং অঞ্চল
पार-असंगत,ক্রস-ইনমপ্যাটেবল
"मुकुट, शिखर (पादप)",মুকুট (উদ্ভিদ)
मृदुकण,ক্রম্ব
पपड़ी,ক্রাস্ট
"क्रिप्टोगैम, अपुष्पीपादप",ক্রিপ্টোগাম
छांटन (फल),কুল (ফল)
"कल्म, वेणुकाण्ड",কাল্ম
कृष्य किस्म,চাষকারী
"कर्षण, कृषि, खेती",চাষ
"किसान, कल्टीवेटर (यंत्र)",কৃষক
"संवर्ध, संवर्धन, पालन",সংস্কৃতি
"संसाधन, तैयार करना",নিরাময়
"कुंतलन, कुंचन",কার্লিং
मुद्रा,মুদ্রা
"उपत्वचा, क्यूटिकल",কিউটিকাল
"कलम, कटाई, काटना, कटाग्र, कटावा",কাটা
"कृमि कोष, सिस्ट, पुटी, विकृत गुल्म, रसौली",সিস্ট
साइटोक्रोम,সাইটোক্রোম
कोशिका युग्मन,সাইটোগ্যামি
कोशिका जनन,সাইটোজেনেসিস
कोशिका आनुवंशिकी,সাইটোজেনেটিক্স
कोशिका द्रव्य विभाजन,সাইটোকাইনেসিস
कोशिका विज्ञान,সাইটোলজি
कोशिकाविघटन,সাইটোলাইসিস
"साइटोमियर, कोशिका खंड",সাইটোমির
कोशिका द्रव्य,সাইটোপ্লাজম
बंदगोभी,বাঁধাকপি
नागफनी,ক্যাকটাস
ज़रगुल,ক্যালেন্ডুলা
"गिल्ली डंडा, गेहूं का मामा",ক্যানারি ঘাস (ফালারিস)
कैना,ক্যানা
करीर,ক্যাপারি
शिमला मिर्च,ক্যাপসিকাম
कमरख,ক্যারামবোলা
पुसुर,ক্যারপা
इलाइची,এলাচ
कार्नेशन,কার্নেশন
गाजर,গাজর
काजू,হিজলি বাদাম
अमलतास,ক্যাসিয়া
अरंडी,ক্যাস্টর
फूलगोभी,ফুলকপি
सेलेरी,সেলারি
चम्पा,চ্যাম্প্যাক
बथुआ,চেনোপোডিয়াম
चेरी टमाटर,চেরি টমেটো
चेरी,চেরি
चना,"ছোলা, গ্রাম"
मिर्च,মরিচ
काकड़ा,চীন টারপেনটাইন গাছ
लौकू,কুকুর কুকুর
गुलदाउदी,ক্রিস্যান্থেমাম
चिचोड़ा,"চুফা, পৃথিবী বাদাম"
"चिकोरी, कारनी",সিচরি
दालचीनी,দারুচিনি
सिट्रोन,সিট্রন
गंजनी,সিট্রোনেলা ঘাস
मालती,জেসমিন আরোহণ
लौंग,লবঙ্গ
ग्वार बीन,ক্লাস্টার বিন
कहवा,কোকো
नारियल,নারকেল
कॉफी,কফি
पत्थरचूर,কোলিয়াস
अरबी,কলোকাসিয়া
इंद्रायन,"কলোকিন্থ, তিক্ত আপেল"
जंगली पालक,সাধারণ পার্সেলেন
धनिया,ধনে
कपास,সুতি
लोबिया,কাউপিয়া
कबाब-चीनी,কিউব
खीरा,শসা
कद्दूवर्गीय,Cucubits
जीरा,জিরা
करी पत्ता,কারি পাতা
शरीफा,আতা
पुटिका वेधक,ক্যাপসুল বোরার
इल्ली,ক্যাটারপিলার
सिट्रस साएला,সাইট্রাস সাইক্ল্লা
झींगर,ক্রিকেট
कौआ,কাক
कटुआ,কাটা কৃমি
"डेरी, दुग्धशाला",দুগ্ধ
डेरी उद्योग,ডেয়ারিং
"बांध, प्रजननी",বাঁধ
दिवस निरपेक्ष पादप,দিন-নিরপেক্ষ
पुष्पन के बाद के दिवस,ফুলের পরে দিন
पूर्ण पुष्पन के बाद के दिवस,পুরো পুষ্প পরে দিন
निष्पुष्पन,ডিব্লোসোমিং
विकैल्सीकरण,ডিক্যালসিফিকেশন
"निथारना, निस्तारना",ডিক্যান্ট
क्षय,ক্ষয়
पर्णपाती,পাতলা
"दशमिक, दशमलव",দশমিক
न्यूनता,স্বল্পতা
"अनूर्णन (मृदा), वि-उर्णन",ডিফলোকুলেশন (মাটি)
विपुष्पन,Defloration
विपत्रण,ডিফোলিয়েশন
वनोन्मूलन,বন নিধন
"अपह्रासन, अपकर्षण",অবক্ষয়
निम्नीकरण,অবক্ষয়
अंश दिवस,ডিগ্রি দিন
"मात्रा, अंश",ডিগ্রি
स्फुटन,ডিহেসেন্স
भूसी हटाना,ডিহুলিং
भूसी हटाना,ডিহুসিং
निर्जलीकरण,পানিশূন্যতা
निर्जलकारित्र,ডিহাইড্রেটর
मांग,চাহিদা
"विकृतीकरण, गुणनाशन",অবনতি
अनाच्छादन,অস্বীকার
"निक्षेप (मृदा), जमा (अर्थशास्त्र)",আমানত
निक्षेपण,জবানবন্দি
"मूल्यह्रास, अवमूल्यन विलवणीकरण",অবমূল্যায়ন বিচ্ছিন্নকরণ
"जल शुष्कन, निर्जलीकरण",বিশৃঙ্খলা
"अभिकल्पना, डिजाइन",নকশা
शुष्कित्र,ডেসিসেটর
गुठली निकालना,গন্তব্য
वि-अंतः भूस्तारीकरण,Desuckering
वियुग्मन,Desynapsis
"नर मंजरी निकालना (मक्का), बल्लर निकालना",ডেটাসেল
बल्लर या फुंदन को काटना,ডিটাসেলিং
निर्धारक,নির্ধারক
अवमूल्यन,অবমূল্যায়ন
वनस्पतिरहित करना,দেভেজেটেশন
विचलन,বিচ্যুতি
द्विक,ডায়াড
निदान,রোগ নির্ণয়
भिन्नकाल पक्वता,Dichogamy
द्विभाजन,দ্বৈতত্ত্ব
"द्विबीजपत्री, डाइकोटिलेड़न (बीज)",ডিকোটাইলডন (বীজ)
पश्चमारी (रोग),ফিরে মারা (রোগ)
"विसरण, विसार",বিচ্ছুরণ
पाचनीयता,হজমতা
द्विसंकर,ডিহাইব্রিড
"बांध, नाली, परिवाह",ডাইক (ডাইক)
तनु,পাতলা
"एकलिंगाश्रयी, पृथक् लिंगी",ডাইওসিয়াস
द्विगुणित,ডিপ্লোড
"द्विगुणित, डिप्लॉइड",ডিপ্লোড
द्विसूत्र,ডিপ্লোনেমা
"निष्कलिकायन, कलिका निकालना",অসন্তুষ্টি
"तवेदार हल चलाना, चक्काकरण",ডিস্কিং
छूट,ছাড়
रोगाणुनाशन,নির্বীজন
"परिक्षेपण, प्रकीर्णन",বিচ্ছুরণ
"प्रकीर्णन, प्रसरण",প্রচার
विविधीकरण,বৈচিত্রতা
विविधीकृत कृषि,বিবিধ কৃষিকাজ
डीएनए सोपान,ডিএনএ মই
डीएनए ग्राही,ডিএনএ রিসেপ্টর
गोदी-भाड़ा,ডকেজ
प्रभावी,প্রভাবশালী
प्रसुप्ति,সুপ্ততা
"मात्रा, खुराक, डोज",ডোজ
दोहरा सिग्माभ वक्र,ডাবল সিগময়েড বক্ররেখা
"झोंका, खिंचाव",খসড়া (খসড়া)
"निकास नाली, अपवाहिका",ড্রেন
जलनिकास,নিকাশী
कर्षण,অঙ্কন
"दवा पिलाना, दवाई से तर करना",ভিজে যাওয়া
प्रसाधन (बीज),ড্রেসিং (বীজ)
"बरमा, उथली भूल, ड्रिल, वपित्र",ড্রিল (এন।)
"सूराख करना, बेधन, बरमाना",ড্রিলিং (এজি। ইঞ্জিন)
"वेधना, ड्रिल से बोना, ड्रिल से डालना",ড্রিলিং (কৃষি)
बूंद-बूंद सिंचाई,ড্রিপ সেচ
शुष्क खेती,শুকনো কৃষিকাজ
"धूल, बुकनी",ধুলো
"धूलित्र, प्रकीर्णक",ডাস্টার
बुरकना,ধুলাবালি
"बौना, वामन",বামন
वामन पिरामिड,বামন পিরামিড
वामिनीयन,বামন
गुलबहार,ডেইজি
खजूर,তারিখ
दिन का राजा,ডে জেসমিন
सोया,ডিল
दीनानाथ घास,দিননাথ ঘাস
अमरबेल,ডড্ডার
दूब घास,"ডুব ঘাস, বারমুডা ঘাস"
छोंकर,ড্রুস
सौंठ,শুকনো আদা
