Malayalam,Hindi
1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി,1.अप्रभावी रूप  2.अरूपी
ഉഭയജീവി മിശ്രിതം,उभय मिश्रण
ആംഫോട്ടെറിക്,उभयधर्मी
സ്റ്റോക്ക്പൈലിംഗ്,उपचय
1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്,1. अवायुजीव 2. अनाक्सी जीव
ഹാപ്ലോയിഡ്,असुगुणित
കോണീയ നടീൽ,कोणीय रोपण
മൃഗസംരക്ഷണം,पशुपालन
മൃഗ വിസർജ്ജനം,पशु उच्छिष्ट
ജീവനുള്ള ഊർജ്ജം,सजीव ऊर्जा
അസാധാരണമായ,असमगुणित
ഒരു വർഷം പഴക്കമുള്ള ചെടി,एकवर्षीय पादप
വാർഷിക,वार्षिक
1. പരമാനന്ദം 2. പ്രഭ,1. परागोद्भव 2. प्रफुल्लन
ആന്ത്രാക്സ്,ऐन्थ्रेक्स
നരവംശ ഘടകങ്ങൾ,मानवजनिक कारक
അതിജീവനം,प्रतिजीविता
1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്,1.प्रतिजैविक2.  ऐन्टीबायोटिक
വെറുപ്പുളവാക്കുന്ന,प्रतिकारक
ആന്റിഓക്‌സിഡന്റ്,प्रतिऑक्सीकारक
ആന്റിടോക്സിൻ,प्रतिआविष
മോതിര വിരൽ,वलयिका
1. മുഞ്ഞ 2. മാഹു 3. ചേപ,1. ऐफिड 2. माहू 3. चेपा
മുകളിലെ മുകുളം,शीर्ष कलिका
പീക്ക് ഫലപ്രാപ്തി,शिखाग्र प्रभाविता
തേനീച്ച വളർത്തൽ,मधुमक्खी पालन
അലൈംഗികത,असंगजनन
അപ്പോപ്റ്റോസിസ്,एपोप्टोसिस
അനുബന്ധങ്ങൾ,उपांग
വിശപ്പ്,क्षुधावर्धक
അപേക്ഷിച്ചു,अनुप्रयुक्त
ജല കള,जलीय खरपतवार
1. മരം 2. വൃക്ഷ നിവാസി,1. वृक्षीय 2. वृक्षवासी
ശാഖകൾ,शाखायन
പ്രോട്ടോബോട്ടാണിക്കൽ റെക്കോർഡുകൾ,आद्य वानस्पतिक अभिलेख
സോൺ നമ്പർ,क्षेत्रांकड़
1. ഏരിയ 2. ഏരിയ,1. क्षेत्र 2. क्षेत्रफल
വരണ്ട ആവാസവ്യവസ്ഥ,शुष्क पारितंत्र
കോട്ടിലിഡൺ,बीजचोल
സൗരഭ്,सौरभ
ആരോമാറ്റിക് പ്ലാന്റ്,सुगंधी पादप
സുഗന്ധമുള്ള അരി,सुगंधित चावल
ഇക്ഷു പുഷ്പൻ,इक्षु पुष्पन
അസെപ്റ്റിക്,अपूति
1. അസെപ്റ്റിക് 2. അസെപ്റ്റിക്,1.अपूतित 2. अजर्म
അലൈംഗിക പുനരുൽപാദനം,अलैंगिक प्रवर्धन
വലിപ്പം,आमाप
ആസ്തി,परिसंपत्ति
1. സ്വാംശീകരണം 2. സ്വാംശീകരണം,1. स्वांगीकरण 2. आत्मसात्करण
1. അസോസിയേഷൻ 2. അസോസിയേഷൻ,1. साहचर्य 2. संघ
1. കോളം 2. ആസ്ട്രിംഗ്സി,1. स्तंभक 2. कषाय
ഹെറ്ററോസൈഗോസിറ്റി,असूत्रयुग्मन
1. പൂർവ്വികൻ 2. അടവിസം,1. पूर्वजता 2. ऐटाविज्म
കണം,कणित्र
1. സ്ഥിരീകരണം 2. വൈകല്യം,1.अपुष्टि 2. क्षीणता
സ്വയം ജോടിയാക്കൽ,स्वयुग्मन
ഓട്ടോലിസിസ്,स्वलयन
1. സ്വതസിദ്ധമായ ഓക്സീകരണം 2. സ്വതസിദ്ധമായ ഓക്സീകരണം,1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन
സ്വയം മൾട്ടിപ്ലക്സ്,स्वबहुगुणित
ഓക്സിൻ,ऑक्सिन
1. ഷൂക്ക് 2. പൂവൻ,1. शूक 2. तूड़
ശിക്ഷാ വൈറസ്,दंड विषाणु
1. ബാസിലസ് 2. ബാസിലസ്,1. दंडाणु 2. बैसिलस
1. ബാക്ടീരിയ 2. ബാക്ടീരിയ,1. जीवाणु 2. बैक्टीरिया
ബാക്ടീരിയൽ വിഷം,जीवाणु आविष
ബാഗാസ്,खोई
ബാലൻസ് ഷീറ്റ്,तुलन-पत्र
സമീകൃത വളം ഉപയോഗം,संतुलित उर्वरक उपयोग
ബാർ ഗ്രാഫ്,दंड आरेख
കുര,छाल
1. ബാരോമീറ്റർ 2. ബാരോമീറ്റർ,1. वायुदाबमापी 2. बैरोमीटर
1. ബസർ 2. നിഷ്ക്രിയം 3. വന്ധ്യം,1. बजर 2. अकृष्य 3. बांझ
1. അടിസ്ഥാനം 2. അടിസ്ഥാനം 3. കുപാങ്,1. आधार 2. बेस 3. कपांग
1. താല 2. തടം,1.थाला 2. द्रोणी
തലബിസാരി,तलाभिसारी
1. ബാസിസ്റ്റെർനം 2. റൂട്ട് ഹോൾഡർ,1. बेसिस्टर्नम 2. मूलाधारक
ഗൾഫ് മൺസൂൺ,खाड़ी मानसून
ഫലം പ്ലാന്റ്,फलदायी पौधा
കിടക്ക,क्यारी
കിടക്ക പ്ലാന്റ്,क्यारी - पौधा
കിടക്കവിരി,क्यारी बनाना
ബീറ്റ്റൂട്ട് മോളാസസ്,चुकंदर शीरा
തുരുത്തി,धौंकनी
1. സ്ട്രിപ്പ് 2. ഭൂപ്രദേശം,1. पट्टी 2. इलाका
ലാഭ-ചെലവ് വിശകലനം,लाभ-लागत विश्लेषण
അഭിലാഷം (സാമ്പിൾ),अभिनत (प्रतिचयन)
ദ്വിവത്സര സസ്യങ്ങൾ,द्विवर्षीय पादप
ദ്വിപദം,द्विपद
ബയോഫാക്ടർ,जैवकारक
ജൈവ കാലാവസ്ഥ,जीव जलवायु
ജൈവ ഊർജ്ജം,जैव ऊर्जा
ജന്തു പരിസ്ഥിതി,जीव पारिस्थितिकी
1. ബയോ പ്രോസസർ 2. ബയോ റിയാക്ടർ,1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर
ജൈവമണ്ഡലം,जीव-मंडल
ബയോട്ടിക്,जीवीय
ജന്തുജാലങ്ങൾ,जीव प्ररूप
ദിവിലിംഗി,दविलिंगी
ധവാലൻ,धवलन
1. പ്രധ്വാസൻ (രോഗം) 2. ഗസ്റ്റ് രോഗം,1.  प्रध्वसं (रोग) 2.  झोंका रोग
മിശ്രണം,संमिश्रण
1. അംഗ്മാരി (രോഗം) 2. ബ്ലൈറ്റ് (രോഗം),1. अंगमारी (रोग) 2.  ब्लाइट (रोग)
1. ബ്ലിസ്റ്റർ 2. ബ്ലിസ്റ്റർ 3. എറപ്ഷൻ 4. ബ്ലിസ്റ്റർ,1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर
നീല വിപ്ലവം,नीली क्रांति
പ്ലാനർ ഹീറ്റിംഗ് ചേമ്പർ,तलीय ताप चैंबर
പ്ലാനർ തപീകരണ സാങ്കേതികവിദ്യ,तलीय ताप तकनीक
തവിട്,चोकर
ശാഖകൾ,शाखन
1. തടി 2. ഉപശാഖ,1. टहनी 2. उपशाखा
ഇനം,नस्ल
പുനരുൽപാദനം,प्रजनन
ആദ്യകാല മുളയ്ക്കൽ ചികിത്സ,शीघ्र अंकुरण उपचार
1. കുട്ടി 2. മുട്ട 3. ഭ്രൂണം,1. शाव 2. अंड 3. भ्रूण
വളർന്നുവരുന്ന,कलिकायन
ബജറ്റ്,बजट
1.ആംഫോട്ടറിക് 2. ബഫർ,1.उभयप्रतिरोधी 2. बफर
മധുരക്കിഴങ്ങ്,शल्ककंद
ബണ്ട് (രോഗം),बंट (रोग)
1. ഉപോൽപ്പന്നം 2. ഉപോൽപ്പന്നം,1. उपजात 2. उपोत्पाद
c ഈർപ്പം സ്പെസിഫിക്കേഷൻ കർവ്,c नमी विशिष्टता वक्र
എണ്ണ പിണ്ണാക്ക്,खली
1. നാരങ്ങ 2. കാൽസ്യം,1. चूनेदार 2.कैल्सियमी
calcion,कैल्सीयन
ഫോസ്ഫേറ്റ് നീക്കം,फॉस्फेट का निस्तापन
1. കിനാറ്റ 2. കാലാറ്റ,1. किणता 2. कैलसता
1.കല്ലസ് 2. കിരണം,1.कैलस 2. किण
1. വിദളങ്ങൾ 2. കാളിക്സ്,1. बाह्यदल पुंज 2.कैलिक्स
പുറത്തെ അവസാനം,वाह्यदल अंत
എധ,एधा
കാൻസർ (ബാക്ടീരിയ രോഗം),कैंकर (जीवाणु रोग)
കാനിംഗ്,डिब्बाबंदी
ആകാശം,वितान
ധനകാര്യം,पूंजी
പരാഗണം (അത്തിപ്പഴം),परागण (अंजीर का)
1. കാപ്സ്യൂൾ 2. ക്യാപ്സ്യൂൾ 3. ക്യാപ്സ്യൂൾ,1. संपुट 2. संपुटिका 3. कैप्सूल
കാർബണൈസ്ഡ്,कार्बोनीकृत
കാർബണൻ,कार्बनन
കാർപേസ്,अंडप
വള,मणिबंध
1. കാസ്റ്റിംഗ് (ഇരുമ്പ്) 2. ക്ഷിപ്തി (പ്രാണി),1. ढलाई (लोहे की) 2. क्षिप्ति (कीट)
കാറ്റബോളിസം,अपचय
പ്രേരണ,उत्प्रेरण
1. കാറ്റർപില്ലർ 2. കാറ്റർപില്ലർ,1. इल्ली 2. सूंडी
സി ഡി. എൻ. എ. സമാഹാരം,सी ड़ी. एन. ए. संग्रह
പരിധി,सीमा
1. സെൽ 2. സെൽ,1. कोशिका 2. कोष्ठिका
സെൻട്രൽ ഫ്രണ്ട് സിസ്റ്റം,केंद्रीय अग्रग प्रणाली
1. പോയിന്റ് 2. ഫോക്കസ്,1. सबिंदु 2. सकेंद्र
അപകേന്ദ്രീകരണം,अपकेंद्रण
സെൻട്രിഫ്യൂജ്,अपकेंद्रक
നക്ഷത്ര കേന്ദ്രം,तारककेंद्र
എപ്പിജെനെറ്റിക്,केंद्रजनिक
കേന്ദ്രരാജ,केंद्रजा
തറി,लूम
1. ധാന്യം 2. സീരിയൽ,1. धान्य 2. सीरियल
1. സർട്ടിഫിക്കേഷൻ 2. സർട്ടിഫിക്കേഷൻ,1. प्रमाणीकरण 2. प्रमाणन
സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്,प्रमाणित बीज
1. വൈക്കോൽ 2. കുട്ടി 3. ശലക് സഹപത്ര,1. भूसा 2. कुट्टी 3. शल्क सहपत्र
1. നിഭാഗ് 2. കൈലജ,1. निभाग 2. कैलाजा
കൈമോഗ്രഫി,रसानुवर्तन
1. കിയാസ്മ 2. തിരക്കിലാണ്,1. किआज्मा 2. व्यत्यस्त
supercooling മണിക്കൂർ,अतिशीतन घंटे
മഞ്ഞ് കേടുപാടുകൾ,शीतज क्षति
1. വിചിരോതകി 2. ചിമേര,1.  विचित्रोतकी 2. काइमेरा
പച്ച കഞ്ഞി,हरित दली
1. ഇലകൾ 2. പച്ച,1. पर्णहरित 2. हरितक
സയനോസിസ്,हरिमाहीनता
ജൈവ വിതരണ ശാസ്ത്രം,जीव वितरण विज्ञान
1. ക്രോമാറ്റിഡുകൾ 2. പകുതി ക്രോമസോമുകൾ,1. क्रोमैटिड 2. अर्धगुणसूत्र
ക്രോമാറ്റിൻ,क्रोमैटिन
ക്രോമാറ്റോഗ്രാഫി,वर्णलेखन
ക്രോമാറ്റിലേഷൻ,क्रोमोटिनलयन
ഏട്രിയൽ പോയിന്റ്,परिसूत्र बिंदु
ക്രോമാറ്റോജെനിസിസ്,वर्णजनन
1. ക്രോമോപ്രോട്ടീൻ 2. പിഗ്മെന്റ് പ്രോട്ടീൻ,1. क्रोमोप्रोटीन 2. वर्णकप्रोटीन
1. ക്രോമസോമുകൾ 2. ക്രോമസോമുകൾ,1. गुणसूत्र 2. क्रोमोसोम
1. വിട്ടുമാറാത്ത 2. വിട്ടുമാറാത്ത 3. വിട്ടുമാറാത്ത 4. കാലഹരണപ്പെട്ട,1. चिरकाली 2. दीर्घकाली 3. जीर्ण 4. पुराना
സിട്രേഞ്ച്,सिट्रेंज
ശരത്കാല ഉത്സവം,पर्णाभपर्व
വർഗ്ഗീകരണം,वर्गीकरण
1. കളിമണ്ണ് 2. കളിമണ്ണ്,1.मृत्तिका 2. चिकनी मिट्टी
1. വൃത്തിയാക്കൽ 2. സ്‌ക്രബ്ബിംഗ് 3. വൃത്തിയാക്കൽ 4. ശുദ്ധീകരണം,1. निर्मलन 2. मार्जन 3. सफाई 4.  शोधन
സ്ഥിരമായ പരാഗണം,अनुन्मील्य परागण
ക്രൂസിഫറസ് ഫലം,क्रतिक श्वसनी फल
കാലാവസ്ഥ,जलवायु
കാലാവസ്ഥാ ശാസ്ത്രം,जलवायु विज्ञान
കത്രിക,कतरनी
പിണ്ഡം (കളിമണ്ണ്),ढेला (मिट्टी का)
ക്ലോൺ,क्लोन
1.മേഘങ്ങൾ 2.മേഘങ്ങൾ,1.मेघ 2. बादल
കൂട്ടം,पुंज (क्लंप
കുല,गुच्छ
1. പരുക്കൻ 2. പരുക്കൻ 3. അസംസ്കൃതം 4. പരുക്കൻ,1.स्थूल 2. मोटा 3. कच्चा 4. अपरिष्कृत
1. കവർ 2. ലെതറെറ്റ്,1. आवरण 2.  चर्मावरण
കോയ,कोया
1. കോഎൻസൈം 2. കോ-എൻസൈം,1. कोएन्जाइम 2. सह-एन्जाइम
കെട്ടുറപ്പ്,संसंजन
1. നാരുകൾ (ചണം ചണം) 2. കോക്കനട്ട് കോഴ്സ്,1. रेशा (जूट पटसन) 2. नारियल जटा
മുളങ്കൂർ ചോല,मूलांकुर चोल
,
കൊളോയിഡ് (മണ്ണ്),कोलॉइड (मृदा)
1.നിര 2.കൊലുമെല്ല,1.स्तंभिका 2. कॉलुमेला
1. പെനാൽറ്റി 2. കോളം 3. കോളം,1.दंड 2. स्तंभ 3. कॉलम
കൂട്ടായ്മ,सहभोजिता
കൊമേഴ്സ്യൽ ബാങ്ക്,वाणिज्यिक बैंक
1. ചരക്ക് 2. ചരക്ക്,1. जिंस 2. पण्य वस्तु
സമൂഹം,समुदाय
സങ്കോചം (മണ്ണിന്റെ),संहनन (मृदा का)
1. അനുയോജ്യത 2. അനുയോജ്യത,1. सुसंगति 2. संगतता
അനുയോജ്യത,सुसंगतता
1. നഷ്ടപരിഹാരം 2. നഷ്ടപരിഹാരം,1. क्षतिपूर्ति 2. मुआवजा
മത്സരപരമായ ഇടപെടൽ,स्पर्धी अन्योन्यक्रिया
സപ്ലിമെന്റ് വിള,पूरक सस्य
1. സംയുക്തം 2. സങ്കീർണ്ണമായ,1.सम्मिश्र 2. जटिल
ഘടകഭാഗം,घटक
രചന,संघटन
കമ്പോസ്റ്റ്,कंपोस्ट
കൂട്ടുപലിശ,चक्रवृद्धि ब्याज
കണക്കുകൂട്ടൽ,अभिकलन
1. കമ്പ്യൂട്ടർ 2. കമ്പ്യൂട്ടർ,1.अभिकलित्र 2.कंप्यूटर
1. ഏകാഗ്രത 2. ഏകാഗ്രത,1. सांद्रण 2. संकेद्रण
1. ഒപ്റ്റിമൈസർ 2. റിവൈറ്റലൈസർ,1. अनुकूलक 2. पुनरुद्धारक
ചാലകത,चालकता
1. കോൺഫിഗറേഷൻ 2. കോൺഫിഗറേഷൻ,1. विन्यास 2. संरूपण
1. അനുരൂപത 2. കോൺഫിഗറേഷൻ 3. അനുരൂപത,1. अनुरूपता 2. समविन्यास 3. संरूपता
1. സംയോജനം 2. ഹൈബ്രിഡൈസേഷൻ,1.समाकुलन 2. संकरण
സംയോജനം,संयुग्मन
1. അഡിറ്റീവ് 2. കണക്റ്റീവ്,1. योजी 2. संयोजी
സംരക്ഷണം,सरंक्षण
ഏകീകരണം,चकबंदी
1. ചേരുവ 2. ചേരുവകൾ,1.संघटक 2. अवयव
ഉപഭോക്താവ്,उपभोक्ता
ഉപഭോഗം,उपभोग
മലിനീകരണം,संदूषण
കോണ്ടൂർ നടീൽ,समोच्च रोपण
കോണ്ടൂർ ലൈൻ,समोच्च रेखा
1. കരാർ കൃഷി 2. കരാർ കൃഷി 3. കരാർ കൃഷി,1.संविदा कृषि 2. ठेका कृषि 3. अनुबंधित खेती
നിയന്ത്രിത അന്തരീക്ഷ സംഭരണം,नियंत्रित वातावरणीय भंडारण
സഹകരണ ബാങ്ക്,सहकारी बैंक
സഹകരണ സംഘം അംഗം,सहकारी संस्था सदस्य
ഗുൽമാവാൻ,गुल्मवन
സമചതുര,घनकंद
1. ദൽപുഞ്ച് 2. കൊറോള,1.दलपुंज 2. कोरोला
1. കോർട്ടെക്സ് 2. കോർട്ടക്സ്,1. वल्कुट 2. कोर्टेक्स
ചെലവ്,लागत
കോട്ടിലിഡൺ,बीजपत्र
ക്രെഡിറ്റ് കമ്മിറ്റി,ऋण समिति
1. കടം കൊടുക്കൽ 2. ക്രെഡിറ്റ്,1.उधार 2. साख
1. കടം കൊടുക്കുന്നയാൾ 2. കടം കൊടുക്കുന്നയാൾ,1. ऋणदाता 2. लेनदार
1. ശിഖരം 2. ശീർഷകം 3. ശിഖരം,1.शिखा 2. शीर्ष 3. शिखर
പിൻവലിക്കൽ,व्याकुंचन
പ്രശ്നം,संकट
പരീക്ഷ,कसौटी
വിമർശനാത്മകം,क्रांतिक
വിള ഇൻഷുറൻസ്,फसल बीमा
വിള വായ്പ,फसल ऋण
1. വിള 2. വിള,1. सस्य 2. फसल
കൃഷി പ്രദേശം,सस्यन क्षेत्र
ക്രോസ് പൊരുത്തമില്ലാത്ത,पार-असंगत
1. കിരീടം 2. പിനാക്കിൾ (സസ്യം),1. मुकुट 2. शिखर (पादप)
മൃദുവായ കണങ്ങൾ,मृदुकण
പുറംതോട്,पपड़ी
1. ക്രിപ്‌റ്റോഗാം 2. നോൺ-ഫ്ലോറിഫോം,1. क्रिप्टोगैम 2. अपुष्पीपादप
അരിവാൾ (പഴം),छांटन (फल)
പേന,कल्म
കൃഷി ഇനം,कृष्य किस्म
1. ട്രാക്ഷൻ 2. കൃഷി 3. കൃഷി,1.कर्षण 2. कृषि 3. खेती
1. കർഷകൻ 2. കൃഷിക്കാരൻ,1.किसान 2. कल्टीवेटर (यंत्र)
1. കൃഷി 2. കൃഷി 3. വളർത്തൽ,1.संवर्ध 2. संवर्धन 3. पालन
1.വിഭവം 2.തയ്യാറെടുപ്പ്,1.संसाधन 2.तैयार करना
1.കുന്തളൻ 2.കുഞ്ചോൻ,1.कुंतलन 2. कुंचन
ഭാവം,मुद्रा
1. പുറംതൊലി 2. പുറംതൊലി,1. उपत्वचा 2. क्यूटिकल
1. പേന 2. മുറിക്കൽ 3. മുറിക്കൽ 4. മുറിക്കൽ 5. മുറിക്കൽ,1.कलम 2. कटाई 3. काटना 4.कटाग्र 5. कटावा
1. വിര കോർപ്പസ് 2. സിസ്റ്റ് 3. സിസ്റ്റ് 4. വികലമായ മുഴ 5. നിയോപ്ലാസം,1.कृमि कोष 2. सिस्ट 3. पुटी 4.विकृत गुल्म 5. रसौली
സൈറ്റോക്രോം,साइटोक्रोम
സെൽ കപ്ലിംഗ്,कोशिका युग्मन
കോശ പുനരുൽപാദനം,कोशिका जनन
സെൽ ജനിതകശാസ്ത്രം,कोशिका आनुवंशिकी
സൈറ്റോപ്ലാസ്മിക് ഡിവിഷൻ,कोशिका द्रव्य विभाजन
സെൽ ബയോളജി,कोशिका विज्ञान
സെൽ ലിസിസ്,कोशिका लयन
1. സൈറ്റോമിയർ 2. സെൽ സെഗ്മെന്റേഷൻ,1. साइटोमियर 2. कोशिका खंड
സൈറ്റോപ്ലാസം,कोशिका द्रव्य
1. ഡയറി 2. ഡയറി,1.डेरी 2. दुग्धशाला
ക്ഷീര വ്യവസായം,डेरी उदयोग
1. ഡാം 2. ബ്രീഡർ,1. बांध 2. प्रजननी
ദിവസം സമ്പൂർണ്ണ പ്ലാന്റ്,दिवस निरपेक्ष पादप
പൂവിടുമ്പോൾ ദിവസം,पुष्पन के बाद दिन
മുഴുവൻ പൂവിടുമ്പോൾ ഒരു ദിവസം,पूर्ण पुष्पन के बाद दिन
കാര്യക്ഷമതയില്ലായ്മ,निष्पुष्पन
ഡീകാൽസിഫിക്കേഷൻ,विकैल्सीकरण
1. ഡിസ്ലോഡ്ജ് 2. ഡിസ്ലോഡ്ജ്,1. निथारना 2. निस्तारना
ക്ഷയം,क्षय
ഇലപൊഴിയും,पर्णपाती
1. ദശാംശം 2. ദശാംശം,1. दशमिक 2. दशमलव
അപകർഷത,न्यूनता
അനുരൻ (മണ്ണ്),अनूर्णन (मृदा)
വിപുഷ്പൻ,विपुष्पन
ബില്ലിംഗ്,विपत्रण
വനനശീകരണം,वनोन्मूलन
