English,Gujarati
Absorption constant,સતત શોષણ
Absorption continua,શોષણ સાતત્ય
Absorption cross section,શોષણ ઝોન
Absorption current,શોષણ વર્તમાન
Absorption curve (=transmission curve),શોષણ વક્ર*
Absorption discontinuity,શોષણ અસ્થિભંગ
Absorption edge,શોષણ કોર
Absorption factor,શોષણ પરિબળ
Absorption filter,શોષણ ફિલ્ટર
Absorption flame photometry,શોષણ જ્યોત ફોટોમેટ્રી*
Absorption hygrometer,શોષણ હાઇગ્રોમીટર
Absorption index,શોષણ ઘાતાંક
Absorption limit,શોષણ સીમાંત
Absorption line,શોષણ રેખા
Absorption loss,શોષણ નુકશાન
Absorption modulation=loss modulation,શોષણ મોડ્યુલેશન
Absorption of light,પ્રકાશ શોષણ
Absorption of radiant energy,રેડિયેશન ઊર્જાનું શોષણ
Absorption peak,શોષણની ટોચ
Absorption photometry,શોષણ ફોટોમેટ્રી
Absorption ratio,શોષણ ગુણોત્તર
Absorption series,શોષણ શ્રેણી*
Absorption spectro photometry,શોષણ સ્પેક્ટ્રમ ફોટોમેટ્રી*
Absorption spectrum,શોષણ સ્પેક્ટ્રમ*
Absorption tube,"શોષણ નળી, શોષણ નળી"
Absorption vavemeter,શોષણ હાઇગ્રોમીટર
Absorptive,શોષક*
Absorptive attenuator,શોષક બાષ્પીભવક
Absorptive law,શોષણ કાયદો*
Absorptive medium,શોષણ માધ્યમ
Absorptive power,"શોષક ક્ષમતા, શોષણ*"
Absorptivity,શોષણ*
Abstract set=studio decoration,સ્ટુડિયો સરંજામ
Abundance ratio,ગુણાકાર ગુણોત્તર
Abvolt,અવગણના
Abwatt,વિશે
Accelerate,વેગ આપો
Accelerate-stop distance,પ્રવેગક-સ્ટોપ અંતર
Accelerated,ઉતાવળ કરી
Accelerated ageing test,ઝડપી સમય અસર પરીક્ષણ
Accelerated flow,ઝડપી પ્રવાહ
Accelerated motion,ઝડપી ગતિ
Accelerated system,ઝડપી શરીર
Accelerating balance,પ્રવેગક તોલનાર
Accelerating electrode,પ્રવેગક ઇલેક્ટ્રોડ*
Accelerating period,પ્રવેગક સમય*
Accelerating phase,પ્રવેગક તબક્કો
Accelerating rate,પ્રવેગક દર
Accelerating voltage,એક્સિલરેટર વોલ્ટેજ*
Acceleration,પ્રવેગ
Acceleration blowout=rich extinction=flame out,ત્વરિત કમ્બશન
Acceleration coefficient,પ્રવેગક ગુણાંક
Acceleration component,પ્રવેગક ઘટક
Acceleration due to gravity,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
Acceleration factor,પ્રવેગક પરિબળ
Acceleration feedback,ઝડપી ચાર્જ
Acceleration of gravity,ગુરુત્વાકર્ષણ પ્રવેગક
Acceleration potential,પ્રવેગક સંભવિત
Acceleration principle,પ્રવેગક કાયદો
Acceleration process,પ્રવેગક પ્રક્રિયા
Acceleration space,પ્રવેગક ક્ષેત્ર
Acceleration technique,પ્રવેગક પદ્ધતિ
Acceleration tolerance,"પ્રવેગ સહનશીલતા, પ્રવેગ સહનશીલતા"
Acceleration vector,પ્રવેગક વેક્ટર
Acceleration voltage,પ્રવેગક-વોલ્ટેજ
Acceleration wave,પ્રવેગક તરંગ
Accelerative,પ્રવેગક
Accelerator,"પ્રવેગક, પ્રવેગક*"
Accelerator equation,પ્રવેગક સમીકરણ
Accelerograph,એક્સિલરેટર*
Accelerometer,એક્સેલરોમીટર
Accelerometer matching,એક્સેલરોમીટર મેચિંગ
Accentuator,prestresser
Acceptable character,માન્ય અક્ષરો
Acceptance angle,સ્વીકૃતિ કોણ
Acceptance specifications,સ્વીકૃતિ સ્પષ્ટીકરણ
Acceptance test,સ્વીકાર્ય પરીક્ષણ
Acceptor,"સ્વીકારનાર*, સ્વીકારનાર"
Acceptor atom,રીસેપ્ટર અણુ
Acceptor bond,રીસેપ્ટર બોન્ડ
Acceptor circuit,રીસીવર સર્કિટ
Acceptor level,રીસેપ્ટર સ્તર
Acceptor molecule,દાતા પરમાણુ
Acceptor property,રીસેપ્ટર મિલકત
Acceptor property level,રીસેપ્ટર મિલકત સ્તર
Accererating tube,પ્રવેગક નળી
Access,"પ્રવેશ, રાહ, પ્રવેશ"
Access arm,ભુજ એક્સેસ
Access mechanism,ઍક્સેસ સિસ્ટમ
Access time,ઍક્સેસ સમય
Accessibility,ઉપલ્બધતા
Accessory,"વધારાના, સહાયક, સહાયક (v, ), એસેસરીઝ"
Accessory condition,વધારાના પ્રતિબંધો
Accidental coincidence,સંયોગ
Accidental correction,આકસ્મિક કરેક્શન
Accidental degeneracy,આકસ્મિક બાયોજેનેસિસ
Accidental double refraction,આકસ્મિક ડાયવર્ઝન
Accidental error,મુલાકાતી ભૂલ
Accidental jamming,"અચાનક સ્ટોપ, એકાએક સ્ટોપ"
Accidental transmission,આકસ્મિક ટ્રાન્સમિશન
Accidental variation,રેન્ડમ ભિન્નતા
Accommodation,ગોઠવણ
Accumbent,સ્થિત
Accumulated error,સંચિત ભૂલ
Accumulation,"સંચય, સંચય"
Accumulation of energy,ઊર્જા સંગ્રહ
Accumulator,સંચયક*
Accuracy,ચોકસાઈ
Accurate,વાસ્તવિકતા
Accurate instrumental observation,વાસ્તવિક સાધન અવલોકન
Accurate range marker,ચોક્કસ શ્રેણી માર્કર
Accurate scanning,ચોકસાઇ સ્કેનીંગ
Accustomisation,પ્રેક્ટિસ
Acdelerating chamber,એક્સિલરેટર સેલ*
Achromat,વર્ણહીન લેન્સ*
Achromatic,વર્ણહીન*
Achromatic analyser,વર્ણહીન વિશ્લેષક
Achromatic antenna,આવર્તન તટસ્થ એન્ટેના
Achromatic figure,વર્ણહીન આકાર
Achromatic fringe,વર્ણહીન ફ્રિન્જ
Achromatic lens,વર્ણહીન લેન્સ*
Achromatic locus,વર્ણહીન બિંદુ પાથ
Achromatic object lens,વર્ણહીન લેન્સ
Achromatic prism,વર્ણહીન પ્રિઝમ
Achromatic telescope,વર્ણહીન ટેલિસ્કોપ
Achromaticity,વર્ણહીનતા*
Achromatisation,વર્ણહીનકરણ*
Achromatism,વર્ણહીનતા*
Aclastic,"સ્થિતિસ્થાપક, અપ્રતિરોધક, પ્રત્યાવર્તન"
Acorn tube,"એકોર્ન નળી, બંજુ નળી"
Acorn valve,લઘુચિત્ર વાલ્વ
Acouphony,ઇકોફોની
Acoustic,એકોસ્ટિક
Acoustic absorptivity,એકોસ્ટિક શોષકતા
Acoustic attenuation coeffcient,એકોસ્ટિક એટેન્યુએશન ગુણાંક
Acoustic attenuation constant,એકોસ્ટિક એટેન્યુએશન
Acoustic burglar alarm,એકોસ્ટિક ચોર એલાર્મ
Acoustic capacitance,એકોસ્ટિક ક્ષમતા
Acoustic centre,સુનાવણી કેન્દ્ર
Acoustic clarifier,એકોસ્ટિક સમજૂતી
Acoustic cloud,એકોસ્ટિક કવર
Acoustic compliance,એકોસ્ટિક પ્રતિભાવ
Acoustic component,એકોસ્ટિક ઘટક
Acoustic conductivity,એકોસ્ટિક વાહકતા
Acoustic damping,એકોસ્ટિક ભીનાશ
Acoustic dispersion,એકોસ્ટિક વિક્ષેપ
Acoustic dissipation element,સાઉન્ડ હેકર
Acoustic energy,ધ્વનિ ઊર્જા*
Acoustic energy equation,એકોસ્ટિક ઊર્જા સમીકરણ
Acoustic equation,એકોસ્ટિક સમીકરણ
Acoustic feedback,એકોસ્ટિક પુનઃસ્થાપન
Acoustic figures (Chladni figures),ક્લેડની આકાર
Acoustic filter,એકોસ્ટિક ફિલ્ટર
Acoustic generator,અવાજ જનરેટર
Acoustic grating,એકોસ્ટિક જાળી
Acoustic impedance,એકોસ્ટિક અવબાધ*
Acoustic inertance,એકોસ્ટિક જડતા
Acoustic intensity,એકોસ્ટિક તીવ્રતા
Acoustic interferometer,એકોસ્ટિક હસ્તક્ષેપ મીટર
Acoustic intrusion detector,એકોસ્ટિક હસ્તક્ષેપ ડિટેક્ટર
Acoustic lens,એકોસ્ટિક લેન્સ
Acoustic line,ધ્વનિ રેખા
Acoustic mass,એકોસ્ટિક માસ
Acoustic material,એકોસ્ટિક સામગ્રી
Acoustic mean free path,એકોસ્ટિક અર્થ મુક્ત માર્ગ
Acoustic mode,એકોસ્ટિક મોડ
Acoustic noise,એકોસ્ટિક અવાજ
Acoustic ohm,એકોસ્ટિક ઓહ્મ*
Acoustic panel,"એકોસ્ટિક પેનલ, એકોસ્ટિક બોર્ડ"
Acoustic phase constant,એકોસ્ટિક તબક્કો સ્થિર
Acoustic pickup (sound box),એકોસ્ટિક રીસીવર
Acoustic pressure,એકોસ્ટિક દબાણ
Acoustic principle of similarity,ધ્વનિનો સપ્રમાણતાનો નિયમ
Acoustic propagation constant,એકોસ્ટિક ટ્રાન્સમિશન
Acoustic property,એકોસ્ટિક ગુણધર્મો
Acoustic quardrupole,એકોસ્ટિક ક્વાડ્રુપોલ
Acoustic radiating element,એકોસ્ટિક રેડિયેશન તત્વ
Acoustic radiation,એકોસ્ટિક રેડિયેશન
Acoustic radiator,સાઉન્ડપ્રૂફ
Acoustic radiometer,એકોસ્ટિક રેડિયોમીટર
Acoustic reactance,એકોસ્ટિક પ્રતિભાવ
Acoustic reciprocity theorem,એકોસ્ટિક પારસ્પરિકતા પ્રમેય
Acoustic reduction factor,એકોસ્ટિક ઘટાડો પરિબળ
Acoustic reflection coefficient,એકોસ્ટિક પરાવર્તન ગુણાંક
Acoustic refraction,એકોસ્ટિક રીફ્રેક્શન
Acoustic resistance,એકોસ્ટિક પ્રતિકાર
Acoustic responsiveness,એકોસ્ટિક પ્રતિભાવ
Acoustic scattering,એકોસ્ટિક સ્કેટરિંગ
Acoustic spot,સુનાવણી બિંદુ
Acoustic stiffiness,એકોસ્ટિક કઠોરતા
Acoustic system,એકોસ્ટિક સિસ્ટમ
Acoustic thermometer,એકોસ્ટિક થર્મોમીટર
Acoustic velocity,એકોસ્ટિક વેગ
Acoustic wave,ધ્વનિ તરંગ
Acoustical,એકોસ્ટિક
Acoustical absorption co-efficient,ધ્વનિ શોષણ ગુણાંક
Acoustical absorption factor,ધ્વનિ શોષણ ઘટક
Acoustical circuit,એકોસ્ટિક સર્કિટ
Acoustical compliance,એકોસ્ટિક પ્રતિભાવ
Acoustical delay line,એકોસ્ટિક વિલંબ રેખા
Acoustical distortion,એકોસ્ટિક વિકૃતિ
Acoustical energetics,એકોસ્ટિક એકોસ્ટિક્સ
Acoustical filter,એકોસ્ટિક ફિલ્ટર
Acoustical impedance (=acoustic impedance),એકોસ્ટિક અવબાધ*
Acoustical labyrinth,ફોનોગ્રાફ
Acoustical ohm,એકોસ્ટિક ઓહ્મ*
Acoustical phase constant,એકોસ્ટિક સતત
Acoustical phonan,એકોસ્ટિક ફોનોન
Acoustical propagation constant (=propagation constant),એકોસ્ટિક ટ્રાન્સમિશન સતત
Acoustical reduction factor,ધ્વનિ રૂપાંતર ગુણાંક
Acoustical resistance,એકોસ્ટિક પ્રતિકાર
Acoustical stiffness,એકોસ્ટિક કઠોરતા
Acoustical unit,ધ્વનિ એકમ
Acoustically insulated,સાઉન્ડપ્રૂફ
Acoustico-lateral line,એકોસ્ટિક સાઇડ લાઇન
Acoustics,"ધ્વનિશાસ્ત્ર, ધ્વનિશાસ્ત્ર"
Acoustimeter,સાઉન્ડ મીટર
Acoustomotive pressure=sound pressure,ધ્વનિ દબાણ
Acquisition radar,સંપાદન રડાર
Actinic ray,પ્રકાશસંશ્લેષણ રેડિયેશન
Actinium emnation,એક્ટિનિયમ ઉત્સર્જન
Actino-uranium,એક્ટિનો-યુરેનિયમ
Actino-uranium series,એક્ટિનો-યુરેનિયમ શ્રેણી
Actinoelectricity,રેડિયોઇલેક્ટ્રિક
Actinometer,"એક્ટિનોમીટર, ફોટોમિક્રોમીટર"
Action,"ક્રિયા, ખત"
Action and reaction,ક્રિયા અને પ્રતિક્રિયા
Action constant,ક્રિયા સતત
Action radium (=effective area),પ્રભાવ ક્ષેત્ર
Activated,"સક્રિય, સક્રિય"
Activated diffusion,સક્રિય પ્રસરણ
Activated filament,"સક્રિય ફાઇબર, સક્રિય ફાઇબર"
Activating effect,સક્રિયકરણ અસર
Activation,સક્રિયકરણ અસર
Activation analysis,સક્રિયકરણ વિશ્લેષણ
Activation centre,પ્રવૃત્તિ કેન્દ્ર
Activation cross-section,સક્રિયકરણ પરીક્ષક
Activation energy,સક્રિયકરણ ઊર્જા
Activation entropy,સક્રિયકરણ એન્ટ્રોપી
Activation over-voltage,સક્રિયકરણ ઓવરવોલ્ટેજ
Activation rate,સક્રિયકરણ દર
Activator,"એક્ટિવેટર, એક્ટિવેટર"
Activator atom,એક્ટિવેટર અણુ
Activator of accelerator,પ્રવેગક
Active absorption,સક્રિય શોષણ
Active aerial,સક્રિય હવાઈ
Active area (controlled area),રેડિયેશન ડેન્જર ઝોન
Active device,સક્રિય ઉપકરણ
Active homing,સક્રિય લક્ષ્યીકરણ
Active hydrogen,સક્રિય હાઇડ્રોજન*
Active lattice,સક્રિય મેશ
Active line,સક્રિય રેખા સક્રિય રેખા
Active loop,સક્રિય લૂપ
Active mass,સક્રિય કોડ*
Active material,સક્રિય ઘટકો
Active molecule,સક્રિય પરમાણુ
Active network,સક્રિય મેશ
Active re-absorption,સક્રિય પુનઃશોષણ
Active region,સક્રિય વિસ્તાર
Active regulation,સક્રિય નિયમન
Active satellite,સક્રિય ઉપગ્રહ
Active sunspot prominence,સક્રિય વિખંડન સૌર જ્યોત
Active trace sub stances,સક્રિય સૂક્ષ્મ પોષકતત્ત્વો
Active tracking system,સક્રિય ટ્રેકિંગ સિસ્ટમ
Active transducer,સક્રિય ટ્રાન્સડ્યુસર
Active uptake,સક્રિય સેવન
Activity coefficient,પ્રવૃત્તિ ગુણાંક*
Activity index,પ્રવૃત્તિ સૂચકાંક
Activity ratio,પ્રવૃત્તિ ગુણોત્તર
Activity vector,પ્રવૃત્તિ વેક્ટર
Actual monitor,વાસ્તવિક મોનિટર
Actual stress,વાસ્તવિક તણાવ
Actuate,ટ્રિગર કરવા માટે
Actuating,પ્રવર્તક
Acturator,પ્રવર્તક
Acuity meter,એક્યુટીમીટર
Acuity of hearing,સુનાવણીની તીવ્રતા
Acutance,ફોટો ઉગ્રતા મૂલ્ય
Acute angle,તીવ્ર કોણ
Acute exposure,બબડાટ
Acute triangle,તીવ્ર ત્રિકોણ
Acyclic,એસાયક્લિક
Adaptation manoeuver,ઓપ્ટિમાઇઝેશન એપ્લિકેશન
Adapted stae,ઑપ્ટિમાઇઝ રાજ્ય
Adaptive control system,અનુકૂલનશીલ નિયંત્રણ સિસ્ટમ
Adaptometer,એડેપ્ટોમીટર
Adcock antenna,એડકોક એન્ટેના
Add,સારાંશ માટે
Add time,સંકલન સમય
Add-subtract time,સંકલન-બાદબાકી સમય
Adder,ઉમેરનાર
Addition,"સરવાળો, સરવાળો, સરવાળો (સં.), ઉમેરણ (વિ.)"
Addition constant,વધારાનો સતત
Addition law of acceleration,પ્રવેગક-સરવાળા નિયમ
Addition law of distance,અંતર-સરવાળા નિયમ
Addition law of velocity,વેગ-સરવાળા નિયમ
Addition of vectors,વેક્ટરનો સરવાળો
Addition reaction,સંગ્રહ પ્રતિક્રિયા
Additional half plane,વધારાનો માળ
Additional tone,"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)"
Additive,"ઉમેરણ, ઉમેરણ"
Additive channel,એડિટિવ સિસ્ટમ
Additive colour,સંયુક્ત અક્ષરો
Additive colour process,એકંદર અક્ષર પ્રક્રિયા
Additive complementary colour,ઉમેરણ પૂરક રંગ
Additive constant,ઉમેરણ સતત
Additive drag,એડિટિવ ટ્રેક્શન
Additive effect,ઉમેરણ અસર
Additive factor,ઉમેરણ પરિબળ
Additive function,ઉમેરણ કાર્ય
Additive mixing,ઉમેરણ મિશ્રણ
Additive primary,ઉમેરણ મૂળ
Additive process,ઉમેરણ પ્રક્રિયા
Additive property,ઉમેરણ
Additive quantum number,એડિટિવ ક્વોન્ટમ નંબર
Additive reaction,સંગ્રહ પ્રતિક્રિયા
Additivity,ઉમેરણ
Additron,એડિટ્રોન
Address,જાણો*
Address computation,સરનામાની ગણતરી
Address counter,સરનામું
Address decoding,સરનામું એન્ક્રિપ્શન
Address expression,સરનામા અભિવ્યક્તિ
Address facility,સંબોધનક્ષમતા
Address format,એડ્રેસ બાર
Address light,સરનામું પ્રકાશ
Address modification,સરનામામાં ફેરફાર
Address part,પતનશ
Address register,સરનામું રજીસ્ટર
Address selection swith,સરનામું પસંદગી સ્વીચ
Address table sort,સરનામું વર્ગીકરણ ટેબલ
Addressing,સંબોધન
Addressograph,એડ્રેસોગ્રાફ
Addresssing system,એડ્રેસ સિસ્ટમ
Adhesion,સંલગ્નતા
Adhesion tension,સંલગ્નતા તણાવ
Adhesional energy,એડહેસિવ ઊર્જા
Adhesive blocking,એડહેસિવ બ્લોકીંગ
Adiabat,adiabat
Adiabatic,એડિબેટિક
Adiabatic acceleration,એડિબેટિક પ્રવેગક
Adiabatic approximation,એડિબેટિક અંદાજ
Adiabatic bulk modulus,એડિબેટિક વોલ્યુમ ગુણાંક
Adiabatic calorimeter,એડિબેટિક થર્મોમીટર
Adiabatic change,એડિબેટિક ફેરફાર
Adiabatic chart,"adiabatic ચાર્ટ, adiabatic ચાર્ટ"
Adiabatic compressibility,એડિબેટિક સંકોચનક્ષમતા
Adiabatic compression,એડિબેટિક કમ્પ્રેશન
Adiabatic containment,એડિબેટિક ગર્ભનિરોધક
Adiabatic cooling limit,એડિબેટિક ઠંડક મર્યાદા
Adiabatic curve,એડિબેટિક વળાંક
Adiabatic deformation,એડિબેટિક વિકૃતિ
Adiabatic demagnetisation,એડિબેટિક ડિમેગ્નેટાઇઝેશન
Adiabatic dissociation,એડિબેટિક રિઝોલ્યુશન
Adiabatic drift,એડિબેટિક ડિસ્પ્લેસમેન્ટ
Adiabatic effect,એડિબેટિક અસર
Adiabatic elasticity,એડિબેટિક સ્થિતિસ્થાપકતા
Adiabatic ellipse,એડિબેટિક લંબગોળ
Adiabatic enthalpy drop,એડિબેટિક સંપૂર્ણ ગરમીનું નુકશાન
Adiabatic equation,એડિબેટિક સમીકરણ
Adiabatic equation of state,એડિબેટિક રાજ્ય સમીકરણ
Adiabatic equilibrium temperature,એડિબેટિક સંતુલન તાપમાન
Adiabatic equillibrium,એડિબેટિક સંતુલન
Adiabatic expansion,એડિબેટિક ફેલાવો
Adiabatic flame temperature,એડિબેટિક જ્યોત તાપમાન
Adiabatic flow,એડિબેટિક પ્રવાહ
Adiabatic fluctuations,એડિબેટિક ઉચ્ચારણ
Adiabatic gas equation,એડિબેટિક ગેસ સમીકરણ
Adiabatic gradient,એડિબેટિક ગ્રેડિયન્ટ
Adiabatic heat drop,એડિબેટિક ગરમીનું નુકશાન
Adiabatic ionization potential,એડિબેટિક આયનીકરણ સંભવિત
Adiabatic lapse rate,એડિબેટિક અવમૂલ્યન દર
Adiabatic momentum charge,એડિબેટિક મોમેન્ટમ ચાર્જ
Adiabatic process,એડિબેટિક પ્રક્રિયા
Adiabatic reaction,એડિબેટિક પ્રતિક્રિયા
Adiabatic speed,એડિબેટિક ચાલ
Adiabatic strain energy,એડિબેટિક વિકૃતિ ઊર્જા
Adiabatic system,એડિબેટિક શરીર
Adiabatic temperature gradient,એડિબેટિક ગરમી ઢાળ
Adiabatic throttling,એડિબેટિક ઘટાડો
Adiabatic transformation,એડિબેટિક રૂપાંતરણ
Adiactinic,"પ્રકાશસંશ્લેષણ, વિરોધી રેડિયેશન"
Adiathermancy,ગરમીની અપૂર્ણતા
Adiathermanous,હીટ ઇન્સ્યુલેટીંગ
Adion,એઇડન
Adjacency effect,સંલગ્નતા અસર
Adjacent,"અડીને, અડીને, અડીને"
Adjacent angle,અડીને કોણ
Adjacent channel attenuation,બંધ ચેનલ એટેન્યુએશન
Adjacent circuit,બંધ સર્કિટ
Adjacent phase,બંધ તબક્કો
Adjacent picture carrier=adjacent vision carrier,"જોડાયેલ વિડિઓ વાહક, જોડાયેલ છબી વાહક"
Adjacent sound carrier,બંધ ધ્વનિ વાહક
Adjeacent channel selectivity,બંધ ચેનલ પસંદગીક્ષમતા
Adjecent channel interference,બંધ ચેનલ અવરોધ
Adjestable condenser,એડજસ્ટેબલ કેપેસિટર
Adjestable lens holder,એડજસ્ટેબલ લેન્સ ધારક
Adjestable magnifier,એડજસ્ટેબલ મેગ્નિફાયર
Adjestable pressure,એડજસ્ટેબલ દબાણ
Adjestable short,એડજસ્ટેબલ શોર્ટ સર્કિટ
Adjustor,ગોઠવણ
Admittance,પ્રવેશ
Admittance operator,ઘૂંસપેંઠ ઓપરેટર
Adsorption,શોષણ*
Advance ball,એડવાન્સ બોલ
Advanced,આગળ
Advanced conductive deafness,ઉન્નત વાહક બહેરાશ
Advanced potential,આગળની સંભાવના
Advancing wave,પ્રગતિશીલ તરંગ
Advancing wave front,પ્રગતિશીલ તરંગ ફ્રન્ટ
Aeolian harp,વેન્ટ્રલ વીણા
Aeolian tone,એઓલીયન ટોન
Aeon,"યુગ (વર્ષ), યુગ"
Aerial,"આકાશી, વાઇવા (વિ.) એરિયલ (ઇડી.)"
Aerial array,હવાઈ એરે
Aerial attenuator,એન્ટેના એટેન્યુએટર
Aerial booster,એન્ટેના બૂસ્ટર
Aerial cable,હવાઈ કેબલ
