Kannada,Bengali
ಪ್ರವೇಶ ಪರಿಸರ,অ্যাক্সেস পরিবেশ
ಪ್ರವೇಶದ ಅಂತರ,অ্যাক্সেস ফাঁক
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,অ্যাক্সেস সূচক
ಪ್ರವೇಶ,অ্যাক্সেস লাইন
ಪ್ರವೇಶ ಕಾರ್ಯ,অ্যাক্সেস প্রক্রিয়া
ಪ್ರವೇಶ ವಿಧಾನ,অ্যাক্সেস পদ্ধতি
ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ,অ্যাক্সেস পদ্ধতির রুটিন
ಪ್ರವೇಶ ಕ್ರಮ,অ্যাক্সেস মোড
ಪ್ರವೇಶ ಬಲ,এক্সেস অধিকার
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,অ্যাক্সেস স্ক্যান
ಪ್ರವೇಶ ಸಮಯ,প্রবেশাধিকার সময়
ಲೆಕ್ಕಪತ್ರ,অ্যাকাউন্টিং
ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ,অ্যাকাউন্টিং ফিনান্স সিস্টেম
ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ,অ্যাকাউন্টিং মেশিন
ಖಾತೆ ಸಂಖ್ಯೆ,হিসাব নাম্বার
ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು,প্রজননকারী জমে
ಸಂಗ್ರಹಣೆದಾರ,জমে
ಸಂಚಯಕ ನೋಂದಣಿ,সংগ্রহকারী রেজিস্টার
ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ,সংগ্রহকারী শিফট নির্দেশনা
ನಿಖರತೆ,সঠিকতা
ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ,নির্ভুলতা নিয়ন্ত্রণ চরিত্র
ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ,নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা
ಏಸ್ ಪೈಲಟ್,এস পাইলট
ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ,চরিত্র স্বীকৃতি
ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್,অ্যাকোস্টিক কাপলার
ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ,অ্যাকোস্টিক কাপলিং
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,অ্যাকোস্টিক বিলম্ব লাইন
ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ,অ্যাকোস্টিক মেমরি
ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್,অ্যাকোস্টিক মডেম
ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ,অ্যাকোস্টিক সিগন্যাল
ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ,অ্যাকোস্টিক স্টোরেজ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,সংক্ষিপ্ত বিবরণ
ಕ್ರಿಯಾಶೀಲತೆ,কর্ম
ಕ್ರಿಯಾಶೀಲತೆ,অ্যাকশন চক্র
ಕ್ರಿಯಾಶೀಲ ರೇಖೆ,অ্যাকশন লাইন
ಕ್ರಿಯಾಶೀಲ,অ্যাকশন বার্তা
ಕ್ರಿಯಾಶೀಲತೆ,ক্রিয়া স্পেসিফিকেশন
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,অ্যাক্টিভেশন
ಸಕ್ರಿಯ,সক্রিয়
ಸಕ್ರಿಯ ಫೈಲ್,সক্রিয় ফাইল
ಸಕ್ರಿಯ ರೇಖೆ,সক্রিয় লাইন
ಸಕ್ರಿಯ ಲಿಂಕ್,সক্রিয় লিঙ্ক
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್,সক্রিয় মাস্টার ফাইল
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ,সক্রিয় মাস্টার আইটেম
ಸಕ್ರಿಯ ಉಪಗ್ರಹ,সক্রিয় স্যাটেলাইট
ಸಕ್ರಿಯ ನಿಲ್ದಾಣ,সক্রিয় স্টেশন
ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ,সক্রিয় স্টোরেজ
ಚಟುವಟಿಕೆ,ক্রিয়াকলাপ
ಚಟುವಟಿಕೆ ಮಟ್ಟ,কর্মকান্ডের পর্যায়
ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್,ক্রিয়াকলাপ লোড হচ্ছে
ಚಟುವಟಿಕೆ ಅನುಪಾತ,ক্রিয়াকলাপ অনুপাত
ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ),আসল ঠিকানা (= পরম ঠিকানা)
ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್),আসল কোড (= পরম কোড)
ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ,প্রকৃত ডেটা স্থানান্তর হার
ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು,আসল দশমিক পয়েন্ট
ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ),প্রকৃত নির্দেশ (= কার্যকর নির্দেশ)
ವಾಸ್ತವಿಕ ಕೀ,আসল কী
ವಾಸ್ತವಿಕ ಸಮಯ,প্রকৃত সময়
ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ,আসল কাজের সময়
ಸಂಕೇತ,অ্যাকিউটিং সিগন্যাল
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,অভিযোজনযোগ্যতা
ಅಳವಡಗಾರ,অ্যাডাপ্টার
ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ,অভিযোজিত চ্যানেল বরাদ্দ
ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ,অভিযোজিত সংহতকরণ
ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್,অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার
ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ,যুক্ত এন্ট্রি
ಸೇರಿಸು,সংযোজন
ಸೇರಿಸುವವನು,সংযোজন
ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್,অ্যাডার সাবট্র্যাক্টর
ಕಡತವನ್ನು ಸೇರಿಸು,ফাইল যুক্ত কর
ಹೆಚ್ಚುವರಿ ಅಕ್ಷರ (= ವಿಶೇಷ ಅಕ್ಷರ),অতিরিক্ত চরিত্র (= বিশেষ চরিত্র)
ಸೇರ್ಪಡೆ ರೆಕಾರ್ಡರ್,সংযোজন রেকর্ডার
ಸೇರ್ಪಡೆ ಮೇಜು,সংযোজন টেবিল
ಸಂಯೋಜಕ ಗುಣಲಕ್ಷಣ,সংযোজন বৈশিষ্ট্য
ಮೋಡ್ ಸೇರಿಸಿ,মোড যুক্ত করুন
ಕಾರ್ಯಾಚರಣೆ ಸೇರಿಸಿ,অপারেশন যুক্ত করুন
ಭಾಷಣ,ঠিকানা
ವಿಳಾಸದ ಅಳತೆ,ঠিকানা পরিমাপ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಮತಲ ಸ್ಥಾನ,ঠিকানাযোগ্য অনুভূমিক অবস্থান
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಬಿಂದು,ঠিকানাযোগ্য পয়েন্ট
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಥಾನ,ঠিকানাযোগ্য অবস্থান
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ರಿಜಿಸ್ಟರ್,ঠিকানাযোগ্য নিবন্ধ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಂಗ್ರಹಣೆ,ঠিকানাযোগ্য স্টোরেজ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಲಂಬ ಸ್ಥಾನ,ঠিকানাযোগ্য উল্লম্ব অবস্থান
ವಿಳಾಸ ಬಸ್,ঠিকানা বাস
ವಿಳಾಸ ಕೋಡ್,ঠিকানা কোড
ವಿಳಾಸ ಹೋಲಿಕೆದಾರ,ঠিকানা তুলনামূলক
ವಿಳಾಸ ಗಣನೆ,ঠিকানা গণনা
ವಿಳಾಸ ಸ್ಥಿರ,ধ্রুবক ঠিকানা
ವಿಳಾಸ ಪರಿವರ್ತನೆ,ঠিকানা রূপান্তর
ವಿಳಾಸ ಡೇಟಾ,ঠিকানা ডেটা
ವಿಳಾಸ ಮೆಮೊರಿ,সম্বোধন স্মৃতি
ವಿಳಾಸ ಪರಿಣಾಮಕಾರಿ,ঠিকানা কার্যকর
ವಿಳಾಸ ಕ್ಷೇತ್ರ,ঠিকানা ক্ষেত্র
ವಿಳಾಸ ಸ್ವರೂಪ,ঠিকানা ফর্ম্যাট
ವಿಳಾಸ ಉಚಿತ ಕಾರ್ಯಕ್ರಮ,ঠিকানা বিনামূল্যে প্রোগ্রাম
ಸಂಬೋಧಿಸುವುದು,সম্বোধন
"ಸಂಬೋಧಿಸುವುದು
 ಪಾತ್ರ","সম্বোধন
 চরিত্র"
ಅಡಚಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,বাধা সম্বোধন
ವಿಳಾಸ ಲೂಪ್,লুপ সম্বোধন
ವರ್ಚುವಲ್ ಮೆಮೊರಿಯನ್ನು ಉದ್ದೇಶಿಸಿ,ভার্চুয়াল মেমরি সম্বোধন
ವಿಳಾಸ ಇಂಟರ್ಲೇಟಿಂಗ್,ঠিকানা ইন্টারল্যাকিং
ವಿಳಾಸವಿಲ್ಲದ ಸೂಚನಾ ಸ್ವರೂಪ,ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট
ವಿಳಾಸ ಸಾಲು,ঠিকানা লাইন
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,ঠিকানা ম্যাপিং
ವಿಳಾಸ ಗುರುತು,ঠিকানা চিহ্ন
ವಿಳಾಸ ಮಾರ್ಪಾಡು,ঠিকানা পরিবর্তন
ವಿಳಾಸದ ಭಾಗ,ঠিকানা অংশ
ವಿಳಾಸ ಪಾಯಿಂಟರ್,ঠিকানা পয়েন্টার
ವಿಳಾಸ ನೋಂದಣಿ,ঠিকানা রেজিস্টার
ವಿಳಾಸ ಸಂಕೇತ,ঠিকানা সংকেত
ವಿಳಾಸದ ಗಾತ್ರ,ঠিকানা আকার
ವಿಳಾಸ ಸ್ಥಳ,ঠিকানা স্থান
ವಿಳಾಸ ಬಾಹ್ಯಾಕಾಶ ಗುರುತಿಸುವಿಕೆ,ঠিকানা স্পেস আইডেন্টিফায়ার
ವಿಳಾಸ ನಿಲುಗಡೆ,ঠিকানা স্টপ
ವಿಳಾಸ ಜಾಡಿನ,ঠিকানা ট্রেস
ವಿಳಾಸ ಟ್ರ್ಯಾಕ್,ঠিকানা ট্র্যাক
ವಿಳಾಸ ಅನುವಾದ,ঠিকানা অনুবাদ
ವಿಳಾಸ ಅನುವಾದಕ,ঠিকানা অনুবাদক
ಕಕ್ಸಚ್ಚುವಿಕೆಯನ್ನು ಸೇರಿಸಿ ಸಮಯ,বিয়োগের সময় যোগ করুন
ಸಮಯವನ್ನು ಸೇರಿಸಿ,সময় যোগ করুন
ಪಕ್ಕದ,সংলগ্নতা
ಪಕ್ಕದ ರಚನೆ,সংলগ্ন কাঠামো
ಪಕ್ಕದ ಚಾನಲ್,সংলগ্ন চ্যানেল
ಪಕ್ಕದ ಡೊಮೇನ್,সংলগ্ন ডোমেন
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,সংলগ্ন ম্যাট্রিক্স
ಪಕ್ಕದ ನೋಡ್,সংলগ্ন নোড
ಪಕ್ಕದ ಸುಬೇರಿಯಾ,সংলগ্ন সুবেরিয়া
ಹೊಂದಾಣಿಕೆ (ಸಿಸ್ಟಮ್),স্থগিত (সিস্টেম)
ಸರಿಹೊಂದಿಸು,সামঞ্জস্য করুন
ಹೊಂದಾಣಿಕೆ ವ್ಯಾಪ್ತಿ,সামঞ্জস্যযোগ্য মাত্রা
ಪಠ್ಯ ಮೋಡ್ ಅನ್ನು ಹೊಂದಿಸಿ,পাঠ্য মোড সামঞ্জস্য করুন
ಆಡಳಿತ ದತ್ತಾಂಶ ಸಂಸ್ಕರಣೆ,প্রশাসনিক ডেটা প্রসেসিং
ಆಡಳಿತಾತ್ಮಕ ಕಾರ್ಯಾಚರಣೆ,প্রশাসনিক অপারেশন
ಆಡಳಿತಕಾರಕ,প্রশাসনিক অপারেটর
ಆಡಳಿತ ನಿರ್ವಾಹಕ ಕೇಂದ್ರ,প্রশাসনিক অপারেটর স্টেশন
ಆಡಳಿತಾತ್ಮಕ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ,প্রশাসনিক সহায়তা সিস্টেম
ಸುಧಾರಿತ ಸಂವಹನ ಸೇವೆ,উন্নত যোগাযোগ পরিষেবা
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,উন্নত তথ্য সিস্টেম
ಸುಧಾರಿತ ಆಪ್ಟಿಕಲ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೀಡರ್,উন্নত অপটিক্যাল চরিত্র পাঠক
ಸುಧಾರಿತ ವೈಜ್ಞಾನಿಕ ಕಂಪ್ಯೂಟರ್,উন্নত বৈজ্ঞানিক কম্পিউটার
ವೈಮಾನಿಕ,এরিয়াল
ಒಟ್ಟು,সমষ্টি
ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ,সামগ্রিক অভিব্যক্তি
ಗುರಿ ವೃತ್ತ,লক্ষ্য বৃত্ত
ಗುರಿ ಕ್ಷೇತ್ರ (= ಗುರಿ ಚಿಹ್ನೆ),লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক)
ಗುರಿ ಚಿಹ್ನೆ,লক্ষ্য প্রতীক
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,বায়ুবাহিত কম্পিউটার সিস্টেম
ಬೀಜಗಣಿತ ಐಜೆನ್ವಾಲ್ಯು ಸಮಸ್ಯೆ,বীজগণিত ইগেনভ্যালু সমস্যা
"ಬೀಜಗಣಿತದ
 ಏಕೀಕರಣ","বীজগণিত
 মিশ্রণ"
ಬೀಜಗಣಿತದ ಭಾಷೆ,বীজগণিত ভাষা
ಬೀಜಗಣಿತದ ಕುಶಲ,বীজগণিত হেরফের
ಬೀಜಗಣಿತದ ಕುಶಲ ಭಾಷೆ,বীজগণিত ম্যানিপুলেশন ভাষা
ಬೀಜಗಣಿತ ಆಧಾರಿತ ಭಾಷೆ,বীজগণিতমুখী ভাষা
ಬೀಜಗಣಿತದ ಶಿಫ್ಟ್,বীজগণিত শিফট
ಬೀಜಗಣಿತ ಚಿಹ್ನೆ ಸಮಾವೇಶ,বীজগণিত সাইন কনভেনশন
ಪಾಚಕ,অ্যালগল
ಆಲ್ಗೋಲ್ ವೈಶಿಷ್ಟ್ಯ,অ্যালগল বৈশিষ্ট্য
ಅಲ್ಗೋಲ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,অ্যালগল প্রোগ্রামিং
ಅಲ್ಗಾರಿದಮ್,অ্যালগরিদম
ಅಲ್ಗಾರಿದಮ್ ಸಹಾಯಕ ಭಾಷೆ,অ্যালগরিদম সহযোগী ভাষা
ಅಲ್ಗಾರಿದಮ್ ವರ್ಗೀಕರಣ,অ্যালগরিদম শ্রেণিবিন্যাস
ಅಲ್ಗಾರಿದಮ್ ಸಂಕೀರ್ಣತೆ,অ্যালগরিদম জটিলতা
ಅಲ್ಗಾರಿದಮ್ ಗಣನೀಯತೆ,অ্যালগরিদম গণনাযোগ্যতা
ಕ್ರಮಾವಧಿಕ ವಿಶ್ಲೇಷಣೆ,অ্যালগরিদমিক বিশ্লেষণ
ಕ್ರಮಾವಧಿಕ ವಿಧಾನ,অ্যালগরিদমিক পদ্ধতির
ಕ್ರಮಬದ್ಧ ಭಾಷೆ,অ্যালগরিদমিক ভাষা
ಅಲ್ಗಾರಿದಮಿಕ್ ವಾಡಿಕೆಯ,অ্যালগরিদমিক রুটিন
ಕ್ರಮಾವಧಿಕ ಸಿದ್ಧಾಂತ,অ্যালগরিদমিক তত্ত্ব
ಅಲಿಯಾಸ್,ওরফে
ಅಲಿಯಾಸೆ,এলিয়াসিং
ಅಲಿಯಾಸ್ ಹೆಸರು (= ಪರ್ಯಾಯ ಹೆಸರು),ওরফে নাম (= বিকল্প নাম)
ಜೋಡಣೆ,প্রান্তিককরণ
ನಿಯೋಜಿಸು,বরাদ্দ
ಹಂಚಿಕೆ ರಚನೆ,বরাদ্দ কাঠামো
ಎಲ್ಲಾ ಉದ್ದೇಶದ ಕಂಪ್ಯೂಟರ್,সমস্ত উদ্দেশ্যমূলক কম্পিউটার
ವರ್ಣಮಾಲೆಯ ಪಾತ್ರ,বর্ণমালা চরিত্র
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರಗಳ ಸೆಟ್,বর্ণমালা চরিত্র সেট
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ ಉಪವಿಭಾಗ,বর্ণমালা চরিত্রের সাবসেট
ವರ್ಣಮಾಲೆ ಸಂಕೇತ,বর্ণমালা কোড
ವರ್ಣಮಾಲೆ ಶಿಫ್ಟ್,বর্ণমালা শিফট
ವರ್ಣಮಾಲೆಯ ದಾರ,বর্ণমালা স্ট্রিং
ವರ್ಣಮಾಲೆ ಪದ,বর্ণমালা শব্দ
ವರ್ಣಮಾಲೆ,বর্ণমালা
ಆಲ್ಫೇಜೀಟ್ರಿಕ್ಸ್,আলফেজোমেট্রিক্স
ಆಲ್ಫಾಮನ,বর্ণমালা
ವರ್ಣಮಾಲೆಯ,আলফামোসাইক
ವರ್ಣಮಾಲೆಯ,বর্ণমালা
ಆಲ್ಫಾನ್ಯೂಮರಿಕಲ್ ಕೀಬೋರ್ಡ್ ಸಾಧನ,আলফানুমারিকাল কীবোর্ড ডিভাইস
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಅಕ್ಷರ ಸೆಟ್,আলফানিউমেরিক চরিত্র সেট
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡ್,আলফানিউমেরিক কোড
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡೆಡ್ ಅಕ್ಷರ ಸೆಟ್,আলফানিউমেরিক কোডেড চরিত্র সেট
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಡೇಟಾ,আলফানিউমেরিক ডেটা
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪ್ರದರ್ಶನ ಸಾಧನ,আলফানিউমেরিক ডিসপ্লে ডিভাইস
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಪಾದಿತ ಪಾತ್ರ,আলফানিউমেরিক সম্পাদিত চরিত্র
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕ್ಷೇತ್ರ,আলফানিউমেরিক ফিল্ড
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸೂಚನೆ,বর্ণমালা নির্দেশ
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್,আলফানিউমেরিক কীবোর্ড
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ವಿಂಗಡಣೆ,আলফানিউমেরিক বাছাই
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಗ್ರಹ,আলফানিউমেরিক স্টোরেজ
ಬದಲಾಯಿಸಬಹುದಾದ ಮೆಮೊರಿ,পরিবর্তনযোগ্য মেমরি
ಬದಲಾವಣೆ ಸ್ವಿಚ್,পরিবর্তন সুইচ
ಬದಲಾಯಿಸುವ,পরিবর্তন
ಬದಲಾದ ಮೋಡ್,পরিবর্তন মোড
ಪರ್ಯಾಯ ಚೇತರಿಕೆ,বিকল্প পুনরুদ্ধার
ಪರ್ಯಾಯ ಮಾರ್ಗ,বিকল্প রুট
ಪರ್ಯಾಯ ರೂಟಿಂಗ್,বিকল্প রাউটিং
ಪರ್ಯಾಯ ಟ್ರ್ಯಾಕ್,বিকল্প ট্র্যাক
ಪರ್ಯಾಯ (= ಅಥವಾ ಕಾರ್ಯಾಚರಣೆ),বিকল্প (= বা অপারেশন)
ಪರ್ಯಾಯ ಗುಣಲಕ್ಷಣ,বিকল্প বৈশিষ্ট্য
ಪರ್ಯಾಯ ನಿರಾಕರಣೆ (= ಅಲ್ಲ ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ),বিকল্প অস্বীকার (= না-অপারেশন)
ಅಸ್ಪಷ್ಟ ದೋಷ,অস্পষ্টতা ত্রুটি
ಅಸ್ಪಷ್ಟ ಉಲ್ಲೇಖ,অস্পষ্ট রেফারেন্স
ಜರುಗೋಲು,অ্যানালগ
ಅನಾಲಾಗ್,অ্যানালগ অ্যাডার
ಅನಾನುಕೂಲ ಚಾನೆಲ್,অ্যানালগ চ্যানেল
ಅನಾನುಕೂಲ ಕಂಪ್ಯೂಟರ್,অ্যানালগ কম্পিউটার
ಅನಾನುಕೂಲ ಪರಿವರ್ತಕ,অ্যানালগ রূপান্তরকারী
ಅನಲಾಗ್ ಡೇಟಾ,অ্যানালগ ডেটা
ಅನನುಕಿನ ವಿಭಾಜಕ,অ্যানালগ বিভাজক
ಅನಲಾಗ್ ಫೆಸಿಲಿಟಿ ಟರ್ಮಿನಲ್,অ্যানালগ সুবিধা টার্মিনাল
"ಅನಾನುಕೂಲ ಕಾರ್ಯ
 ಉತ್ಪಾದಕ","অ্যানালগ ফাংশন
 জেনারেটর"
ಅನಲಾಗ್ ಏಕೀಕರಣ,অ্যানালগ ইন্টিগ্রেশন
ಸೋಗು ಗುಣಕ,অ্যানালগ গুণক
ಅನಲಾಗ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,অ্যানালগ প্রোগ্রামিং
ಅನನುಕಿನ ಸ್ಕೇಲಿಂಗ್,অ্যানালগ স্কেলিং
ಅನಾಲಾಗ್ ಸಂಕೇತ,এনালগ সংকেত
ಸಿಮ್ಯುಲೇಶನ್,অ্যানালগ সিমুলেশন
ಅನಲಾಗ್ ಸ್ವಿಚ್,অ্যানালগ সুইচ
ಅನಾಲಾಗ್ ವ್ಯವಸ್ಥೆ,অ্যানালগ সিস্টেম
"ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್
 ಪರಿವರ್ತಕ","ডিজিটাল অ্যানালগ
 রূপান্তরকারী"
"ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್
 ಸ್ಥಳಾಂತರಕ","ডিজিটাল অ্যানালগ
 এনকোডার"
ಅನಾಲಿಕೆ ಹರಡುವಿಕೆ,অ্যানালগ সংক্রমণ
ಅನಾಲಾಗ್ ಪ್ರಕಾರ,অ্যানালগ প্রকার
ವಿಶ್ಲೇಷಣೆ,বিশ্লেষণ ব্লক
ವಿಶ್ಲೇಷಣೆ ವಿಧಾನ,বিশ্লেষণ মোড
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಎಂಜಿನ್,বিশ্লেষণাত্মক ইঞ্জিন
ಪೂರ್ವಜರ ಕಾರ್ಯ,পৈতৃক কাজ
ಪೂರಳು ಉಪಕರಣಗಳು,আনুষঙ্গিক সরঞ্জাম
ಮತ್ತು,এবং
ಮತ್ತು ಸರ್ಕ್ಯೂಟ್,এবং সার্কিট
ಮತ್ತು ಅಂಶ,এবং উপাদান
ಮತ್ತು ಗೇಟ್,এবং গেট
ಮತ್ತು ಮರೆಮಾಚುವಿಕೆ,এবং মাস্কিং
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ ಅಲ್ಲ (= ಹೊರಗಿಡುವಿಕೆ,এবং অপারেশন নয় (= বর্জন
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ,এবং অপারেশন
ಅನೆಕ್ಸ್ ಸ್ಮರಣೆ,সংযুক্তি স্মৃতি
ಟಿಪ್ಪಣಿ,টীকা
ಮೊಳಕೆ,ঘোষণা
ಮತ್ತೆ ಉತ್ತರಿಸಿ,উত্তর পাঠাও
ಉತ್ತರ ವಿಳಂಬ,উত্তর দেরি
ಸಮಯಕ್ಕೆ ಉತ್ತರಿಸುವುದು,উত্তর সময়
ಉತ್ತರ ದೀಪ,উত্তর প্রদীপ
ಉತ್ತರ ಪಟ್ಟಿ,উত্তর তালিকা
ಉತ್ತರ ಮಾತ್ರ,শুধুমাত্র উত্তর
ನಿರೀಕ್ಷೆಯ ಕ್ರಮ,প্রত্যাশা মোড
ನಿರೀಕ್ಷಿತ ಬಫರಿಂಗ್,প্রত্যাশিত বাফারিং
ನಿರೀಕ್ಷಿತ ಸಾಗಣೆ,প্রত্যাশিত বহন
