Marathi,Kannada
वायुगतिकीय प्रक्रिया,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ
वेंट्रल,ಕುಹರದ
वायुवीजन करणे,ಗಾಳಿ ಹಾಕಲು
1. हवा 2. आकाशी,1. ಗಾಳಿ 2. ಆಕಾಶಿ
1. एरोमीटर 2. एरोमीटर 3. एरोमीटर,1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್
एरोसोल,ಏರೋಸಾಲ್
1. फुलणे 2. उन्हाळी सुप्तता,1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ
रोग विज्ञान,ರೋಗದ ವಿಜ್ಞಾನ
वनीकरण,ಅರಣ್ಯೀಕರಣ
1. आंदोलन 2. अशांतता,1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ
Agmark,ಅಗ್ಮಾರ್ಕ್
1. जमिनीशी संबंधित 2. कृषी,1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ
कृषी चिकित्सालय,ಕೃಷಿ ಕ್ಲಿನಿಕ್
1. शेतमजूर 2. शेतमजूर,1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ
कृषी विपणन,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ
कृषी तंत्रज्ञान,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
1. शेती 2. शेती 3. कृषी विज्ञान,1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ
कृषी वनीकरण,ಕೃಷಿ ಅರಣ್ಯ
कृषी जैवविविधता,ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ
कृषी सेंद्रिय दोष,ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು
कृषी जीवशास्त्र,ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ
कृषी-हवामान विविधता,ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ
कृषी हवामान क्षेत्र निर्मिती,ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ
कृषी वनीकरण,ಕೃಷಿ ಅರಣ್ಯ
कृषीशास्त्र,ಕೃಷಿಶಾಸ್ತ್ರ
कृषीविषयक,ಕೃಷಿಶಾಸ್ತ್ರ
कृषी खेडूत,ಕೃಷಿ ಪಶುಪಾಲಕ
पीक प्रक्रिया,ಬೆಳೆ ಸಂಸ್ಕರಣೆ
गवत विज्ञान,ಹುಲ್ಲು ವಿಜ್ಞಾನ
पीक प्रकार,ಬೆಳೆ ಪ್ರಕಾರ
epiphyte,ಎಪಿಫೈಟ್
aikiochi माती,ಐಕಿಯೋಚಿ ಮಣ್ಣು
रंगाधळेपण,ಬಣ್ಣಗುರುಡು
अल्फिसोल,ಅಲ್ಫಿಸೋಲ್
एकपेशीय वनस्पती,ಪಾಚಿ
एकपेशीय वनस्पती रोग,ಪಾಚಿ ರೋಗ
अल्कली पाणी,ಕ್ಷಾರ ನೀರು
अल्कधर्मी,ಕ್ಷಾರೀಯ
पर्यायी,ಪರ್ಯಾಯ
allelo रसायनशास्त्र,ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ
एलील,ಆಲೀಲ್
ऍलेलोपॅथी,ಅಲೆಲೋಪತಿ
वेठी पीक,ವೇಥಿ ಬೆಳೆ
पूर्णता,ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ
गर्भाधान,ಫಲೀಕರಣ
1. सापेक्षता 2. अॅलोमेट्री,1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ
मल्टिप्लॉइडी,ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್
1. पॅराझिगोसिटी,1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ
1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य,1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ
पर्यायी जमिनीचा वापर,ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ
वातावरण,ಪರಿಸರ
सुधारक,ಸುಧಾರಕ
मायटोसिस,ಮಿಟೋಸಿಸ್
आमीनान,ಅಮೀನನ್
अमोनियन,ಅಮೋನಿಯನ್
amniferous,ಆಮ್ನಿಫೆರಸ್
1. अप्रभावी रूप 2. अरुपी,1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ
उभयचर मिश्रण,ಉಭಯಚರ ಮಿಶ್ರಣ
एम्फोटेरिक,ಆಂಫೋಟರಿಕ್
साठा करणे,ಸಂಗ್ರಹಣೆ
1. ऍनेरोबिक 2. ऍनेरोबिक जीव,1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು
हॅप्लॉइड,ಹ್ಯಾಪ್ಲಾಯ್ಡ್
टोकदार लागवड,ಕೋನೀಯ ನೆಟ್ಟ
पशुसंवर्धन,ಪಶುಸಂಗೋಪನೆ
प्राण्यांचे मलमूत्र,ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ
जिवंत ऊर्जा,ಜೀವನ ಶಕ್ತಿ
विसंगत,ಅಸಂಗತ
एक वर्ष जुनी वनस्पती,ಒಂದು ವರ್ಷದ ಸಸ್ಯ
वार्षिक,ವಾರ್ಷಿಕ
1. परमानंद 2. तेज,1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ
ऍन्थ्रॅक्स,ಆಂಥ್ರಾಕ್ಸ್
मानववंशजन्य घटक,ಮಾನವಜನ್ಯ ಅಂಶಗಳು
जगणे,ಬದುಕುಳಿಯುವಿಕೆ
1. प्रतिजैविक 2. प्रतिजैविक,1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ
तिरस्करणीय,ಹಿಮ್ಮೆಟ್ಟಿಸುವ
अँटिऑक्सिडंट,ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ
अँटीटॉक्सिन,ಆಂಟಿಟಾಕ್ಸಿನ್
अनामिका,ಉಂಗುರದ ಬೆರಳು
1. ऍफिड 2. महू 3. चेपा,1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ
शीर्ष अंकुर,ಮೇಲಿನ ಮೊಗ್ಗು
शिखर प्रभावीता,ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ
मधमाशी पालन,ಜೇನುಸಾಕಣೆ
लैंगिकता,ಅಲೈಂಗಿಕತೆ
apoptosis,ಅಪೊಪ್ಟೋಸಿಸ್
परिशिष्ट,ಅನುಬಂಧಗಳು
भूक वाढवणारे,ಜೀರ್ಣಕಾರಕವಾಗಿ
लागू,ಅನ್ವಯಿಸಲಾಗಿದೆ
जलीय तण,ಜಲವಾಸಿ ಕಳೆ
1. झाड 2. वृक्षवासी,1. ಮರ 2. ಮರದ ನಿವಾಸಿ
शाखा,ಕವಲೊಡೆಯುತ್ತಿದೆ
प्रोटोबोटॅनिकल रेकॉर्ड,ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
झोन क्रमांक,ವಲಯ ಸಂಖ್ಯೆ
1. क्षेत्रफळ 2. क्षेत्रफळ,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
कोरडे इकोसिस्टम,ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
cotyledon,ಕೋಟಿಲ್ಡನ್
सौरभ,ಸೌರಭ್
सुगंधी वनस्पती,ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ
सुवासिक तांदूळ,ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ
इक्षु पुष्पन,ಇಕ್ಷು ಪುಷ್ಪನ್
ऍसेप्टिक,ಅಸೆಪ್ಟಿಕ್
1. ऍसेप्टिक 2. ऍसेप्टिक,1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್
अलैंगिक पुनरुत्पादन,ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ
आकार,ಗಾತ್ರ
मालमत्ता,ಆಸ್ತಿ
1. आत्मसात करणे 2. आत्मसात करणे,1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ
1. संघटना 2. संघटना,1. ಸಂಘ 2. ಸಂಘ
1. स्तंभ 2. तुरटपणा,1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ
heterozygosity,ಹೆಟೆರೋಜೈಗೋಸಿಟಿ
1. पूर्वज 2. Atavism,1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ
कण,ಕಣ
1. पुष्टीकरण 2. कमजोरी,1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ
स्वत: ची जोडणी,ಸ್ವಯಂ ಜೋಡಣೆ
ऑटोलिसिस,ಆಟೋಲಿಸಿಸ್
1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण,1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ
स्वत: मल्टिप्लेक्स,ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್
ऑक्सिन,ಆಕ್ಸಿನ್
1. हादरले 2. टॉड,1. ಷೂಕ್ 2. ಟೋಡ್
दंडात्मक व्हायरस,ದಂಡದ ವೈರಸ್
1. बॅसिलस 2. बॅसिलस,1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್
1. जीवाणू 2. जीवाणू,1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ
जिवाणू विष,ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ
बॅगासे,ಬಗಸೆ
ताळेबंद,ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
संतुलित खतांचा वापर,ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ
बार आलेख,ಬಾರ್ ಗ್ರಾಫ್
झाडाची साल,ತೊಗಟೆ
1. बॅरोमीटर 2. बॅरोमीटर,1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ
1. बजर 2. जड 3. वांझ,1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು
1. बेस 2. बेस 3. कपंग,1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್
1. तळा 2. खोरे,1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ
तलाबिसरी,ತಲಾಬಿಸಾರಿ
1. बेसिस्टर्नम 2. रूट धारक,1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್
गल्फ मान्सून,ಗಲ್ಫ್ ಮಾನ್ಸೂನ್
फळ वनस्पती,ಹಣ್ಣಿನ ಗಿಡ
पलंग,ಹಾಸಿಗೆ
बेड प्लांट,ಹಾಸಿಗೆ ಸಸ್ಯ
बेडिंग,ಹಾಸಿಗೆ
बीट मोलॅसेस,ಬೀಟ್ ಮೊಲಾಸಸ್
घुंगरू,ಬೆಲ್ಲೋಸ್
1. पट्टी 2. भूप्रदेश,1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ
नफा-खर्च विश्लेषण,ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
इच्छुक (नमुना),ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ)
द्विवार्षिक वनस्पती,ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು
द्विपद,ದ್ವಿಪದ
बायोफॅक्टर,ಜೈವಿಕ ಅಂಶ
जैविक हवामान,ಜೈವಿಕ ಹವಾಮಾನ
जैव ऊर्जा,ಜೈವಿಕ ಶಕ್ತಿ
प्राणी पर्यावरणशास्त्र,ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ
1. बायो-प्रोसेसर 2. बायो-रिअॅक्टर,1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್
बायोस्फीअर,ಜೀವಗೋಳ
जैविक,ಜೈವಿಕ
प्राणी,ಪ್ರಾಣಿಸಂಕುಲ
दिविलिंगी,ದಿವಿಲಿಂಗಿ
धवलन,ಧವಳನ್
1. प्रध्‍वसन (रोग) 2. गुस्‍त रोग,1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ
मिश्रण,ಮಿಶ್ರಣ
1. अंगमारी (रोग) 2. अनिष्ट (रोग),1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ)
1. फोड 2. फोड 3. उद्रेक 4. फोड,1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್
निळी क्रांती,ನೀಲಿ ಕ್ರಾಂತಿ
प्लॅनर हीटिंग चेंबर,ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್
प्लॅनर हीटिंग तंत्रज्ञान,ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ
कोंडा,ಹೊಟ್ಟು
शाखा,ಕವಲೊಡೆಯುತ್ತಿದೆ
1. डहाळी 2. उपशाखा,1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ
जाती,ತಳಿ
पुनरुत्पादन,ಸಂತಾನೋತ್ಪತ್ತಿ
लवकर उगवण उपचार,ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ
1. शावक 2. अंडी 3. गर्भ,1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ
होतकरू,ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ
बजेट,ಬಜೆಟ್
1.अॅम्फोटेरिक 2. बफर,1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್
रताळे,ಸಿಹಿ ಆಲೂಗಡ್ಡೆ
बंट (रोग),ಬಂಟ್ (ರೋಗ)
1. उप-उत्पादन 2. उप-उत्पादन,1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ
c ओलावा तपशील वक्र,c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್
तेल केक,ಎಣ್ಣೆ ಕೇಕ್
1. चुना 2. कॅल्शियम,1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ
कॅल्शिअन,ಕ್ಯಾಲ್ಸಿಯಾನ್
फॉस्फेट काढणे,ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ
1. किनटा 2. कॅलाटा,1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ
1.कॉलस 2. किरण,1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ
1. सेपल्स 2. कॅलिक्स,1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್
बाह्य टोक,ಹೊರಗಿನ ಅಂತ್ಯ
इधा,ಈಧಾ
कॅन्कर (जीवाणूजन्य रोग),ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ)
कॅनिंग,ಕ್ಯಾನಿಂಗ್
आकाश,ಆಕಾಶ
वित्त,ಹಣಕಾಸು
परागकण (अंजीराचे),ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು)
1. कॅप्सूल 2. कॅप्सूल 3. कॅप्सूल,1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್
कार्बनयुक्त,ಕಾರ್ಬೊನೈಸ್ಡ್
कार्बनन,ಕಾರ್ಬೊನಾನ್
कॅरॅपेस,ಕ್ಯಾರಪೇಸ್
ब्रेसलेट,ಕಂಕಣ
1. कास्टिंग (लोह) 2. क्षिती (कीटक),1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ)
अपचय,ಕ್ಯಾಟಬಾಲಿಸಮ್
प्रलोभन,ಪ್ರೇರಣೆ
1. सुरवंट 2. सुरवंट,1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್
c d. एन. a संकलन,ಸಿ ಡಿ. ಎನ್. ಎ. ಸಂಗ್ರಹಣೆ
श्रेणी,ವ್ಯಾಪ್ತಿ
1. सेल 2. सेल,1. ಕೋಶ 2. ಕೋಶ
मध्यवर्ती फ्रंट सिस्टम,ಕೇಂದ್ರ ಮುಂಭಾಗದ ವ್ಯವಸ್ಥೆ
1. पॉइंट 2. फोकस,1. ಪಾಯಿಂಟ್ 2. ಫೋಕಸ್
केंद्रापसारक,ಕೇಂದ್ರಾಪಗಾಮಿ
अपकेंद्रित्र,ಕೇಂದ್ರಾಪಗಾಮಿ
तारा केंद्र,ನಕ್ಷತ್ರ ಕೇಂದ್ರ
epigenetic,ಎಪಿಜೆನೆಟಿಕ್
केंद्रजा,ಕೇಂದ್ರರಾಜ
यंत्रमाग,ಮಗ್ಗ
1. तृणधान्ये 2. मालिका,1. ಏಕದಳ 2. ಸೀರಿಯಲ್
1. प्रमाणन 2. प्रमाणन,1. ಪ್ರಮಾಣೀಕರಣ 2. ಪ್ರಮಾಣೀಕರಣ
प्रमाणित बियाणे,ಪ್ರಮಾಣೀಕೃತ ಬೀಜ
1. पेंढा 2. कुट्टी 3. शलक सहपात्रा,1. ಹುಲ್ಲು 2. ಕುಟ್ಟಿ 3. ಶಾಲಕ್ ಸಹಪಾತ್ರ
1. निभाग 2. कैलाजा,1. ನಿಭಾಗ್ 2. ಕೈಲಾಜಾ
किमोग्राफी,ಕೈಮೊಗ್ರಫಿ
1. कियाज्मा 2. व्यस्त,1. ಕಿಯಾಜ್ಮಾ 2. ಕಾರ್ಯನಿರತ
सुपर कूलिंग तास,ಸೂಪರ್ ಕೂಲಿಂಗ್ ಗಂಟೆಗಳು
दंव नुकसान,ಫ್ರಾಸ್ಟ್ ಹಾನಿ
1. विचिरोटकी 2. चिमेरा,1. ವಿಚಿರೋಟಕಿ 2. ಚಿಮೆರಾ
हिरवी लापशी,ಹಸಿರು ಗಂಜಿ
1. पर्णसंभार 2. हिरवा,1. ಎಲೆಗಳು 2. ಹಸಿರು
सायनोसिस,ಸೈನೋಸಿಸ್
जैविक वितरण विज्ञान,ಜೈವಿಕ ವಿತರಣಾ ವಿಜ್ಞಾನ
1. क्रोमेटिड्स 2. अर्धा गुणसूत्र,1. ಕ್ರೊಮಾಟಿಡ್ಸ್ 2. ಅರ್ಧ ವರ್ಣತಂತುಗಳು
क्रोमॅटिन,ಕ್ರೊಮಾಟಿನ್
क्रोमॅटोग्राफी,ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ
क्रोमॅटिनलेशन,ಕ್ರೊಮಾಟಿಲೇಷನ್
अलिंद बिंदू,ಹೃತ್ಕರ್ಣದ ಬಿಂದು
क्रोमेटोजेनेसिस,ಕ್ರೊಮಾಟೊಜೆನೆಸಿಸ್
1. क्रोमोप्रोटीन 2. पिगमेंटप्रोटीन,1. ಕ್ರೋಮೋಪ್ರೋಟೀನ್ 2. ಪಿಗ್ಮೆಂಟ್ಪ್ರೋಟೀನ್
1. गुणसूत्र 2. गुणसूत्र,1. ವರ್ಣತಂತುಗಳು 2. ವರ್ಣತಂತುಗಳು
1. क्रॉनिक 2. क्रॉनिक 3. क्रॉनिक 4. अप्रचलित,1. ದೀರ್ಘಕಾಲದ 2. ದೀರ್ಘಕಾಲದ 3. ದೀರ್ಘಕಾಲದ 4. ಬಳಕೆಯಲ್ಲಿಲ್ಲದ
सायरेंज,ಸಿಟ್ರೇಂಜ್
गडी बाद होण्याचा क्रम,ಶರತ್ಕಾಲದ ಹಬ್ಬ
वर्गीकरण,ವರ್ಗೀಕರಣ
1. चिकणमाती 2. चिकणमाती,1. ಮಣ್ಣು 2. ಮಣ್ಣು
1. स्वच्छता 2. स्क्रबिंग 3. स्वच्छता 4. शुद्धीकरण,1. ಶುಚಿಗೊಳಿಸುವಿಕೆ 2. ಸ್ಕ್ರಬ್ಬಿಂಗ್ 3. ಸ್ವಚ್ಛಗೊಳಿಸುವಿಕೆ 4. ಶುದ್ಧೀಕರಣ
सतत परागण,ನಿರಂತರ ಪರಾಗಸ್ಪರ್ಶ
क्रूसिफेरस फळ,ಶಿಲುಬೆಯ ಹಣ್ಣು
हवामान,ಹವಾಮಾನ
हवामानशास्त्र,ಹವಾಮಾನಶಾಸ್ತ್ರ
कातरणे,ಬರಿಯ
ढेकूळ (चिकणमाती),ಉಂಡೆ (ಜೇಡಿಮಣ್ಣು)
क्लोन,ತದ್ರೂಪಿ
1.ढग 2.ढग,1.ಮೋಡಗಳು 2.ಮೋಡಗಳು
गठ्ठा,ಗೊಂಚಲು
घड,ಗುಂಪನ್ನು
1. खडबडीत 2. उग्र 3. कच्चा 4. खडबडीत,1. ಒರಟು 2. ಒರಟು 3. ಕಚ್ಚಾ 4. ಒರಟು
1. कव्हर 2. लेदररेट,1. ಕವರ್ 2. ಲೆಥೆರೆಟ್
कोया,ಕೋಯಾ
1. कोएन्झाइम 2. को-एंझाइम,1. ಕೋಎಂಜೈಮ್ 2. ಸಹ-ಕಿಣ್ವ
एकसंधता,ಒಗ್ಗಟ್ಟು
1. फायबर (ज्युट ज्यूट) 2. नारळ भरड,1. ಫೈಬರ್ (ಸೆಣಬು) 2. ತೆಂಗಿನಕಾಯಿ ಒರಟು
मुलंकुर चोळ,ಮುಳಂಕೂರು ಚೋಳ
,
कोलोइड (माती),ಕೊಲೊಯ್ಡ್ (ಮಣ್ಣು)
1.स्तंभ 2.columella,1.ಕಾಲಮ್ 2.ಕೊಲುಮೆಲ್ಲಾ
1. दंड 2. स्तंभ 3. स्तंभ,1. ಪೆನಾಲ್ಟಿ 2. ಕಾಲಮ್ 3. ಕಾಲಮ್
सहभागिता,ಕಮ್ಯುನಿಯನ್
व्यावसायिक बँक,ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್
1. वस्तू 2. व्यापारी माल,1. ಸರಕು 2. ಸರಕು
समुदाय,ಸಮುದಾಯ
कॉम्पॅक्शन (मातीचे),ಸಂಕೋಚನ (ಮಣ್ಣಿನ)
1. सुसंगतता 2. सुसंगतता,1. ಹೊಂದಾಣಿಕೆ 2. ಹೊಂದಾಣಿಕೆ
सुसंगतता,ಹೊಂದಾಣಿಕೆ
1. भरपाई 2. भरपाई,1. ಪರಿಹಾರ 2. ಪರಿಹಾರ
स्पर्धात्मक संवाद,ಸ್ಪರ್ಧಾತ್ಮಕ ಪರಸ್ಪರ ಕ್ರಿಯೆ
पूरक पीक,ಪೂರಕ ಬೆಳೆ
