Bengali,Marathi
বিশ্লেষণাত্মক জ্যামিতি,विश्लेषणात्मक भूमिती
বিশ্লেষণমূলক ফাংশন,विश्लेषणात्मक कार्य
কোণ,कोन
যোগাযোগের কোণ,संपर्क कोन
বিচ্যুতি কোণ,विक्षेपण कोन
বিষণ্নতা কোণ,उदासीनता कोन
বিচ্যুতি কোণ,विचलन कोन
বিবর্তন কোণ,विवर्तन कोन
উচ্চতা কোণ,उंचीचा कोन
ঘটনার কোণ,घटनेचा कोन
অভিক্ষেপ কোণ,प्रक्षेपण कोन
প্রতিফলন কোণ,परावर्तन कोन
প্রতিসরণ কোণ,अपवर्तन कोन
ঘূর্ণন কোণ,रोटेशनचा कोन
মোট প্রতিফলনের কোণ,एकूण परावर्तनाचा कोन
কৌণিক ত্বরণ,कोनीय प्रवेग
কৌণিক গতি,कोणीय गती
কৌণিক গতি,कोनीय गती
কৌণিক বেগ,कोनीय गती
অ্যানুলাস,वलय
উত্তর,उत्तर
বিরোধী – ডেরিভেটিভ,विरोधी व्युत्पन्न
অপ্রতিসম ফাংশন,विषमताविरोधी कार्य
প্রযোজ্য,लागू
আবেদন,अर्ज
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,लागू डायनॅमिक प्रोग्रामिंग
প্রয়োগ করা জ্যামিতি,लागू भूमिती
ফলিত গণিত,लागू गणित
ফলিত পরিসংখ্যান,लागू आकडेवारी
আন্দাজ,अंदाजे
প্রায় একটানা ফাংশন,अंदाजे सतत कार्य
আনুমানিক পদ্ধতি,अंदाजे पद्धत
আনুমানিক সমাধান,अंदाजे उपाय
আনুমানিক সমস্যা,अंदाजे समस्या
আনুমানিক সম্পত্তি,अंदाजे मालमत्ता
যোগ্যতা পরীক্ষার ব্যাটারি,योग्यता चाचणी बॅटरी
Argand ডায়াগ্রাম,आर्गंड आकृती
নির্বিচারে নির্বাচিত,अनियंत्रितपणे निवडले
ইচ্ছামত,अनियंत्रित
নির্বিচারে ধ্রুবক,अनियंत्रित स्थिरांक
নির্বিচারে উপাদান,अनियंत्रित घटक
নির্বিচারে পয়েন্ট,अनियंत्रित बिंदू
আর্কিমিডিয়ান আইন,आर्किमेडियन कायदा
আর্কিমিডিসের নীতি,आर्किमिडीज तत्त्व
চাপ দৈর্ঘ্য,चाप लांबी
বৃত্তের চাপ,वर्तुळाचा चाप
আর্ক সাইন ডিস্ট্রিবিউশন,आर्क साइन वितरण
চাপ সাইন রূপান্তর,चाप साइन परिवर्तन
এলাকা,क्षेत्र
আঞ্চলিক টেক্সচার,क्षेत्रीय पोत
জটিল সংখ্যার যুক্তি,जटिल संख्येचा युक्तिवाद
গাণিতিক গড়,अंकगणित सरासरी
গাণিতিক অপারেশন,अंकगणित ऑपरेशन
পাটিগণিত একক,अंकगणित एकक
ব্যবস্থা,व्यवस्था
অ্যারে,रचना
কৃত্রিম উপগ্রহ,कृत्रिम उपग्रह
কৃত্রিম পরিবর্তনশীল,कृत्रिम व्हेरिएबल
আরোহণ,चढणे
আরোহী,चढत्या
মাত্রার আরোহী ক্রম,परिमाणाचा चढता क्रम
আরোহী সিরিজ,चढत्या मालिका
সংযোজনকারী ভাষা,असेंबलर भाषा
নিয়োগ সমস্যা,असाइनमेंट समस्या
সহযোগী আইন,सहयोगी कायदा
অপারেটরদের সহযোগী আইন,ऑपरेटर्सचा सहयोगी कायदा
সহযোগী অপারেশন,सहयोगी ऑपरेशन
সহযোগীতা,सहवास
ধরে নেওয়া গড়,सरासरी गृहीत धरले
অনুমান সম্ভাব্যতা বন্টন,गृहीत संभाव्यता वितरण
ধৃষ্টতা,गृहीतक
জ্যোতিষশাস্ত্র,ज्योतिष
মহাকাশচারী প্রকৌশলী,अंतराळवीर अभियंता
জ্যোতির্বিজ্ঞানী,खगोलशास्त्रज्ञ
জ্যোতির্বিদ্যা ঘড়ি,खगोलशास्त्रीय घड्याळ
জ্যোতির্বিদ্যা,खगोलशास्त्र
অপ্রতিসম বক্ররেখা,असममित वक्र
অসমতা,विषमता
উপসর্গ,लक्षणे
অ্যাসিম্পোটিক,लक्षणे नसलेला
লক্ষণগতভাবে দক্ষ অনুমানকারী,असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता
asymptotically নিরপেক্ষ অনুমানকারী,asymptotically निष्पक्ष अंदाजकर्ता
অ্যাসিম্পোটিক আচরণ,लक्षणे नसलेले वर्तन
অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন,एसिम्प्टोटिक वितरण कार्य
অ্যাসিম্পোটিক সম্প্রসারণ,एसिम्प्टोटिक विस्तार
বায়ুমণ্ডলীয় চাপ,वातावरणाचा दाब
এলোমেলোভাবে,यादृच्छिकपणे
বৈশিষ্ট্য,विशेषता
বৈশিষ্ট্য নমুনা পদ্ধতি,गुणधर्म नमुना प्रक्रिया
অগমেন্টেড ম্যাট্রিক্স,संवर्धित मॅट्रिक्स
স্বয়ংক্রিয় সম্পর্ক সহগ,स्वयंसंबंध गुणांक
স্বয়ংক্রিয় সম্পর্ক ফাংশন,स्वयंसंबंध कार्य
স্বয়ংক্রিয়তা,autocovariance
স্বয়ংক্রিয় কম্পিউটার,स्वयंचलित संगणक
অটোরিগ্রেশন,ऑटोरिग्रेशन
সহায়ক সমীকরণ,सहाय्यक समीकरण
গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ),सरासरी नमुना क्रमांक वक्र (ASN वक्र)
স্বতঃসিদ্ধ,स्वयंसिद्ध
স্বতঃসিদ্ধ পদ্ধতি,स्वयंसिद्ध दृष्टीकोन
সম্ভাব্যতার স্বতঃসিদ্ধ,संभाव्यतेचे स्वयंसिद्ध
অক্ষ,अक्ष
আবসিসার অক্ষ,abscissa चा अक्ष
পৃথিবীর অক্ষ,पृथ्वीचा अक्ष
বিপ্লবের অক্ষ,क्रांतीची अक्ष
ঘূর্ণনের অক্ষ,रोटेशनचा अक्ष
ঘূর্ণনের অক্ষ,फिरकीचा अक्ष
ফিরে প্রতিস্থাপন,परत प्रतिस्थापन
পশ্চাদপদ পার্থক্য,मागास फरक
পশ্চাদগামী-ইন্টারপোলেশন সূত্র,बॅकवर्ड-इंटरपोलेशन सूत्र
ভারসাম্য,शिल्लक
সুষম নকশা,संतुलित डिझाइन
ব্যালেন্স শীট,ताळेबंद
ক্ষেপণাস্ত্র,बॅलिस्टिक क्षेपणास्त्र
ব্যালিস্টিক,बॅलिस्टिक्स
বার,बार
ভিত্তি,पाया
ভিত্তি কোণ,बेस कोन
লগারিদমের ভিত্তি,लॉगरिदमचा आधार
মৌলিক,मूलभूत
মৌলিক সম্ভাব্য সমাধান,मूलभूत व्यवहार्य उपाय
মৌলিক সমাধান,मूलभूत उपाय
মৌলিক পরিবর্তনশীল,मूलभूत चल
ভিত্তি,आधार
ভিত্তি উপাদান,आधार घटक
ভিত্তি ম্যাট্রিক্স,आधार मॅट्रिक्स
একটি ভেক্টর স্থান ভিত্তি,वेक्टर स्पेसचा आधार
সাবস্পেস ভিত্তি,सबस्पेसचा आधार
Bayesian অনুমান,बायसियन अंदाज
বেইস আইন,बायसचा कायदा
বেইসের উপপাদ্য,बायसचे प्रमेय
বার্নোলি বিতরণ,बर्नौली वितरण
বার্নোলি নম্বর,बर्नौली क्रमांक
Bernoulli সম্ভাব্যতা ফাংশন,बर्नौली संभाव्यता कार्य
বার্নউলির সমীকরণ,बर्नौलीचे समीकरण
বেরি ফাংশন,बेरी फंक्शन
শ্রেষ্ঠ মিল,सर्वोत्तम फिट
সেরা - ফিট লাইন,सर्वोत्तम - फिट लाइन
সেরা সমাধান,सर्वोत्तम उपाय
সেরা কৌশল,सर्वोत्तम धोरणे
বিটা বিতরণ,बीटा वितरण
পক্ষপাত,पक्षपात
পক্ষপাতমূলক অনুমান,पक्षपाती अंदाज
বিহারমোনিক সমীকরণ,बिहारमोनिक समीकरण
দ্বিখণ্ডন,द्विभाजन
দ্বিমুখী মানচিত্র,द्विभाषिक नकाशा
দ্বিমুখী ম্যাপিং,द्विजात्मक मॅपिंग
বাইলিনিয়ার ফর্ম,द्विरेखीय फॉर्म
বাইলিনিয়ার ফাংশন,द्विरेखीय कार्य
বাইলিনিয়ার হারমিটিয়ান ফর্ম,द्विरेखीय हर्मिटियन फॉर्म
বাইনারি,बायनरी
বাইনারি কোড,बायनरी कोड
বাইনারি কোডেড দশমিক,बायनरी कोडेड दशांश
বাইনারি কোডিং,बायनरी कोडिंग
বাইনারি কম্পিউটার,बायनरी संगणक
বাইনারি সংখ্যা,बायनरी अंक
বাইনারি অপারেশন,बायनरी ऑपरेशन
বাইনারি সিস্টেম,बायनरी प्रणाली
বাইনারি পরিবর্তনশীল,बायनरी व्हेरिएबल
দ্বিপদ সহগ,द्विपदी गुणांक
দ্বিপদ ডিস্ট্রিবিউশন,द्विपदी वितरण
দ্বিপদ সমীকরণ,द्विपद समीकरण
দ্বিপদ সম্প্রসারণ,द्विपदी विस्तार
দ্বিপদ অভিব্যক্তি,द्विपदी अभिव्यक्ती
দ্বিপদী র্যান্ডম পরিবর্তনশীল,द्विपदी यादृच्छिक चल
দ্বিপদ উপপাদ্য,द्विपद प्रमेय
দ্বিখণ্ডন,दुभाजक
দ্বিখণ্ডিত পদ্ধতি,दुभाजक पद्धत
দ্বিখণ্ডিত,दुभाजक
biserial,द्विसेरियल
বিট,बिट
দ্বিপদ দ্বিপদ বণ্টন,द्विपदी द्विपद वितरण
bivariate পারস্পরিক সম্পর্ক সহগ,द्विवैरिएट सहसंबंध गुणांक
দ্বিমুখী বন্টন,द्विभिन्न वितरण
দ্বিমুখী স্বাভাবিক বন্টন,द्विवैरिएट सामान्य वितरण
bivector,bivector
বোল্টজম্যান সমীকরণ,बोल्ट्झमन समीकरण
বুলিয়ান বীজগণিত,बुलियन बीजगणित
বোস-আইনস্টাইন পরিসংখ্যান,बोस - आईन्स्टाईन आकडेवारी
সীমানার অবস্থা,सीमा स्थिती
সীমানা স্তর,सीमा स्तर
সীমান,सीमारेषा
সীমানা মান,सीमा मूल्य
সীমানা মান সমস্যা,सीमा मूल्य समस्या
আবদ্ধ ফাংশন,बंधनकारक कार्य
আবদ্ধ ম্যাট্রিক্স,सीमाबद्ध मॅट्रिक्स
আবদ্ধ অঞ্চল,सीमाबद्ध प्रदेश
আবদ্ধ সেট,बांधलेला संच
ব্রোমিন,ब्राउनियन गती
গণনা করা,गणना करा
গণনা করা,गणना करत आहे
গননা যন্ত্র,गणना मशीन
গণনা,गणना
গণনা পদ্ধতি,गणना प्रक्रिया
ক্যালকুলেটর,कॅल्क्युलेटर
ক্যালকুলাস,कॅल्क्युलस
পরিবর্তনের ক্যালকুলাস,भिन्नतेची गणना
ক্যালোরি,कॅलरी
বাতিল আইন,रद्द करण्याचा कायदा
ক্যানোনিকাল সমীকরণ,प्रामाणिक समीकरण
ক্যানোনিকাল ফর্ম,प्रामाणिक स्वरूप
ক্যানোনিকাল ম্যাট্রিক্স,कॅनोनिकल मॅट्रिक्स
ক্যান্টর সেট,कॅंटर सेट
Cantor এর ত্রিনারি সেট,कॅंटरचा तिरंगी संच
ক্যাপাসিটেড পরিবহন সমস্যা,सक्षम वाहतूक समस्या
ক্ষমতা,क्षमता
কৈশিক বল,केशिका शक्ती
অঙ্কবাচক সংখ্যা,मुख्य क्रमांक
কার্টেসিয়ান অক্ষ,कार्टेशियन अक्ष
কার্টেসিয়ান স্থানাঙ্ক,कार्टेशियन समन्वय
কার্টিজিয়ান পণ্য,कार्टेशियन उत्पादन
সেটের কার্টেসিয়ান পণ্য,संचांचे कार्टेशियन उत्पादन
কেস স্টাডি,केस स्टडी
বিপর্যয়কর ওঠানামা,आपत्तीजनक चढउतार
ক্যাটেনারি,कॅटेनरी
কচি বন্টন,कॉची वितरण
কচি সূত্র,कॉची सूत्र
Cauchy Goursat উপপাদ্য,कैची गौरसाट प्रमेय
কচি রিম্যানের শর্ত,Cauchy Riemann अटी
কচি সিকোয়েন্স,कॉची क्रम
কচি অবিচ্ছেদ্য,कैची अभिन्न
কচি প্রধান মান,कॉची मुख्य मूल्य
কচি অবশিষ্টাংশ উপপাদ্য,कॉची अवशेष प्रमेय
কেলি হ্যামিল্টন উপপাদ্য,केली हॅमिल्टन प्रमेय
স্বর্গীয় শরীরের,आकाशीय शरीर
স্বর্গীয় পরিমাপ,आकाशीय मापन
স্বর্গীয় বলবিদ্যা,खगोलीय यांत्रिकी
মহাকাশীয় বস্তু,खगोलीय वस्तू
সেল ফ্রিকোয়েন্সি,सेल वारंवारता
জনগণনা,जनगणना
সেন্টিল,सेंटाइल
সেন্টিমিটার,सेंटीमीटर
সেন্টিমিটার গ্রাম দ্বিতীয় সিস্টেম,सेंटीमीटर ग्रॅम दुसरी प्रणाली
কেন্দ্রীয়,मध्यवर्ती
কেন্দ্রীয় অক্ষ,मध्य अक्ष
কেন্দ্রীয় পার্থক্য,मध्यवर्ती फरक
কেন্দ্রীয় পার্থক্য সূত্র,केंद्रीय फरक सूत्र
কেন্দ্রীয় পার্থক্য টেবিল,मध्यवर्ती फरक सारणी
কেন্দ্রীয় সীমা উপপাদ্য,केंद्रीय मर्यादा प्रमेय
কেন্দ্রীয় মুহূর্ত,मध्यवर्ती क्षण
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),सेंट्रल प्रोसेसिंग युनिट (CPU)
কেন্দ্রীয় প্রবণতা,केंद्रीय प्रवृत्ती
কেন্দ্র,केंद्र
মাধ্যাকর্ষণ কেন্দ্র,गुरुत्वाकर्षण केंद्र
দলের কেন্দ্র,गटाचे केंद्र
ভর কেন্দ্র,वस्तुमानाचे केंद्र
প্রতিসাম্য কেন্দ্র,सममितीचे केंद्र
অপকেন্দ্র বল,केंद्रापसारक शक्ती
কেন্দ্রমুখী বল,केंद्राभिमुख शक्ती
ভরকেন্দ্র,मध्यवर्ती
নিশ্চিততা,निश्चितता
সিজিএস সিস্টেম,cgs प्रणाली
সিজিএস ইউনিট,cgs युनिट
পার্থক্যের চেইন নিয়ম,भिन्नतेचा साखळी नियम
সুযোগ কারণ,संधी कारणे
সুযোগ চলে যায়,संधीची हालचाल
অক্ষ পরিবর্তন,अक्षांचा बदल
ভিত্তি পরিবর্তন,आधार बदल
আদেশ পরিবর্তন,ऑर्डर बदल
বৈশিষ্ট্য সহগ,वैशिष्ट्यपूर्ण गुणांक
নির্ধারক,निर्धारक
চরিত্রগত সমীকরণ,वैशिष्ट्यपूर्ण समीकरण
চরিত্রগত ফাংশন,वैशिष्ट्यपूर्ण कार्य
লগারিদমের বৈশিষ্ট্য,लॉगरिथमचे वैशिष्ट्य
চরিত্রগত বহুপদ,वैशिष्ट्यपूर्ण बहुपद
বৈশিষ্ট্যগত মান,वैशिष्ट्यपूर्ण मूल्य
চরিত্রগত ভেক্টর,वैशिष्ट्यपूर्ण वेक्टर
অক্ষর সেট,वर्ण संच
চার্ট,तक्ता
চি-স্কয়ার বিতরণ,ची-स्क्वेअर वितरण
চি-বর্গাকার সূত্র,ची-स्क्वेअर सूत्र
চি-স্কয়ার পরীক্ষা,ची-स्क्वेअर चाचणी
জ্যা,जीवा
জ্যা-দ্বিখণ্ডন পদ্ধতি,जीवा-द्विभाजन पद्धत
সাইফার বার্তা (=কোডেড বার্তা),सायफर संदेश (=कोड केलेला संदेश)
সাইফার (শূন্য),सिफर (शून्य)
বৃত্ত,वर्तुळ
অভিসার বৃত্ত,अभिसरण मंडळ
সার্কিট ম্যাট্রিক্স,सर्किट मॅट्रिक्स
বৃত্তাকার,परिपत्रक
বৃত্তাকার অ্যাসিম্পটোট,वर्तुळाकार लक्षण
বৃত্তাকার হেলিক্স,गोलाकार हेलिक्स
বৃত্তাকার গতি,गोलाकार हालचाल
পরিধি কেন্দ্র,परिघ
পরিবৃত্ত,वर्तुळ
পরিধি করা,परिक्रमा
পরিধিকৃত,घेरलेले
পরিধিকৃত বৃত্ত,परिक्रमा केलेले वर्तुळ
ক্লাসিক্যাল ডিডাক্টিভ কৌশল,शास्त्रीय वजावटी तंत्र
শাস্ত্রীয় গতিবিদ্যা,शास्त्रीय गतिशीलता
শাস্ত্রীয় অপ্টিমাইজেশান,शास्त्रीय ऑप्टिमायझेशन
শাস্ত্রীয় ধ্বংস সমস্যা,शास्त्रीय नाश समस्या
শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা,शास्त्रीय सांख्यिकीय यांत्रिकी
ত্রুটির শ্রেণীবিভাগ,त्रुटींचे वर्गीकरण
ক্লাসের ব্যবধান,वर्ग मध्यांतर
ক্লাস-ব্যবধান ইউনিট,वर्ग-मध्यांतर युनिट
শ্রেণীর সীমা,वर्ग मर्यादा
ঘড়ির কাঁটার দিকে,घड्याळाच्या दिशेने
ক্লোপেন (= বন্ধ এবং খোলা),क्लोपेन (= बंद आणि उघडा)
বন্ধ,बंद
বদ্ধ উত্তল হুল,बंद बहिर्वक्र हुल
বন্ধ ঘনক্ষেত্র,बंद घन
বন্ধ বক্ররেখা,बंद वक्र
বন্ধ ডোমেইন,बंद डोमेन
বন্ধ চিত্র,बंद आकृती
বন্ধ ব্যবধান,बंद अंतराल
বন্ধ অঞ্চল,बंद प्रदेश
বন্ধ সেট,बंद संच
বন্ধ পৃষ্ঠ,बंद पृष्ठभाग
বন্ধ,बंद
বন্ধ অপারেটর,बंद ऑपरेटर
বন্ধ বিন্দু (= যোগাযোগ বিন্দু),बंद बिंदू (= संपर्क बिंदू)
বন্ধ ঘোষণা,बंद करणे
বন্ধ সেট,बंद सेट
ক্লাস্টার পয়েন্ট,क्लस्टर पॉइंट
গুচ্ছের আদর্শ,क्लस्टर सॅम्पलिंग
ক্লাস্টার সেট,क्लस्टर सेट
সমাক্ষ বৃত্ত,समाक्षीय मंडळे
সমাক্ষীয় প্যারাবোলাস,कोएक्सियल पॅराबोलास
সমাক্ষ সমতল,समाक्षीय विमाने
সমাক্ষীয় ত্রিভুজ,समाक्षीय त्रिकोण
কোব - ডগলাস ফাংশন,कोब - डग्लस फंक्शन
কোডিং,कोडिंग
ডেটা কোডিং,डेटाचे कोडिंग
সহ-ডোমেইন,सह-डोमेन
সহগ ম্যাট্রিক্স,गुणांक मॅट्रिक्स
পারস্পরিক সম্পর্কের সহগ,सहसंबंध गुणांक
সংকল্প সহগ,निर्धाराचे गुणांक
স্থিতিস্থাপকতার সহগ,लवचिकता गुणांक
সম্প্রসারণের সহগ,विस्तार गुणांक
ঘর্ষণ সহগ,घर्षण गुणांक
রৈখিক প্রসারণের সহগ,रेखीय विस्ताराचे गुणांक
রিগ্রেশন সহগ,प्रतिगमन गुणांक
পৃষ্ঠ টান সহগ,पृष्ठभाग तणावाचे गुणांक
প্রকরণ সহগ,भिन्नतेचे गुणांक
কোফ্যাক্টর,cofactor
মুদ্রা নিক্ষেপ (মুদ্রা টস),नाणे फेकणे (नाणे फेकणे)
নমুনা সংগ্রহ,नमुना संकलन
সমরেখার,समरेख
সমরেখা,समरेखता
কলাম,स्तंभ
কলামের সমতা,स्तंभ समतुल्यता
কলাম সমতুল্য,स्तंभ समतुल्य
কলাম সমতুল্য ম্যাট্রিক্স,स्तंभ समतुल्य मॅट्रिक्स
কলাম ম্যাট্রিক্স,स्तंभ मॅट्रिक्स
কলাম র‍্যাঙ্ক,स्तंभ रँक
কলাম হ্রাস ইকোলন ম্যাট্রিক্স,स्तंभ कमी केलेले इकोलॉन मॅट्रिक्स
কলাম ভেক্টর,स्तंभ वेक्टर
কলাম অনুসারে,स्तंभानुसार
সম্মিলিত সমীকরণ,एकत्रित समीकरण
সাধারণ কোণ,सामान्य कोन
সাধারণ অক্ষ,सामान्य अक्ष
সাধারণ ভিত্তি,सामान्य आधार
সাধারণ নির্ধারক,सामान्य भाजक
সাধারণ পার্থক্য,सामान्य फरक
সাধারণ সমস্যা,सामान्य घटक
সাধারণ লগারিদম,सामान्य लॉगरिथम
সাধারণ একাধিক,सामान्य एकाधिक
সাধারণ অনুপাত,सामान्य प्रमाण
সাধারণ বিভাগ,सामान्य विभाग
সাধারণ দিক,सामान्य बाजू
সাধারণ স্পর্শক,सामान्य स्पर्शिका
সাধারণ শব্দ,सामान्य संज्ञा
বিনিময় বিধি,बदली कायदा
পরিবর্তনমূলক সম্পত্তি,बदली मालमत्ता
পরিবর্তনমূলক নিয়ম,बदली नियम
সংযোজনের পরিবর্তনমূলক আইন,जोडणीचा बदली कायदा
গুণের পরিবর্তনমূলক আইন,गुणाकाराचा कम्युटेटिव्ह कायदा
পরিবর্তনমূলক অপারেশন,बदली ऑपरेशन
কমিউটার গ্রুপ,कम्युटेटर गट
ম্যাট্রিক্সের যাতায়াত,मॅट्रिक्सचे प्रवास
কমপ্যাক্ট সেট,कॉम्पॅक्ट सेट
তুলনা,तुलना
উপায়ের তুলনা,साधनांची तुलना
শতাংশের তুলনা,टक्केवारीची तुलना
তুলনা পরীক্ষা,तुलना चाचणी
সামঞ্জস্য সমীকরণ,सुसंगतता समीकरण
প্রতিযোগিতামূলক খেলা,स्पर्धात्मक खेळ
প্রতিযোগিতামূলক পরিস্থিতি,स्पर्धात्मक परिस्थिती
প্রতিযোগিতামূলক কৌশল,स्पर्धात्मक धोरण
কম্পাইলার,संकलक
পরিপূরক,पूरक
পরিপূরক কোণ,पूरक कोन
পরিপূরক ঘটনা,पूरक घटना पूरक घटना
পরিপূরক ফ্যাক্টর,पूरक घटक
পরিপূরক ফাংশন,पूरक कार्य
পরিপূরক অর্ধেক স্থান,पूरक अर्धी जागा
পরিপূরক ব্যবধান,पूरक अंतराल
পরিপূরক সেট,पूरक संच
পরিপূরক,पूरक
একটি সেটের পরিপূরক,संचाचे पूरक
সম্পূর্ণ আদমশুমারি,पूर्ण जनगणना
সম্পূর্ণ পারস্পরিক সম্পর্ক ম্যাট্রিক্স,पूर्ण सहसंबंध मॅट्रिक्स
সম্পূর্ণ মেট্রিক স্থান,पूर्ण मेट्रिक जागा
সম্পূর্ণ অর্থনর্মাল সেট,संपूर्ण ऑर्थोनॉर्मल सेट
সম্পূর্ণ চতুর্ভুজ,पूर्ण चतुर्भुज
সম্পূর্ণ ভাগফল,पूर्ण भागफल
সম্পূর্ণ সেট,पूर्ण संच
সম্পূর্ণ সমাধান,पूर्ण समाधान
সম্পূর্ণরূপে এলোমেলো নকশা,पूर्णपणे यादृच्छिक डिझाइन
জটিল যুক্তি,जटिल युक्तिवाद
জটিল অনুবন্ধী,जटिल संयुग्म
জটিল পার্থক্য,जटिल भिन्नता
জটিল ফাংশন,जटिल कार्य
জটিল একীকরণ,जटिल एकीकरण
জটিল ম্যাট্রিক্স,जटिल मॅट्रिक्स
জটিল সংখ্যা,जटिल संख्या
