Marathi,Malayalam
अल्टरनेटर,പകര്പ്പ്
समुद्रसपाटीपासूनची उंची,ഉയരം
अपोजीची उंची,അപ്പോഗിയുടെ ഉയരം
पेरिगीची उंची,പെരിജിയുടെ ഉയരം
हौशी रेडिओ संप्रेषण,അമേച്വർ റേഡിയോ ആശയവിനിമയം
वातावरण,അന്തരീതം
वातावरण मायक्रोफोन,അന്തരീക്ഷ മൈക്രോഫോൺ
वातावरणीय स्थिती,അന്തരീക്ഷ അവസ്ഥ
वातावरणीय प्रकाश,ആംബിയന്റ് ലൈറ്റിംഗ്
सभोवतालचा आवाज,ആംബിയന്റ് ശബ്ദം
वातावरणीय तापमान,ആംബിയന്റ് താപനില
अमेरिकन मानक कोड,അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ്
अँपियर,Ampere
अ‍ॅम्पेअर मीटर,ആമ്പിയർ മീറ്റർ
प्रवर्धन,ആംപ്ലിഫിക്കേഷൻ
प्रवर्धन घटक,ആംപ്ലിഫിക്കേഷൻ ഫാക്ടർ
एम्पलीफायर,ആംപ്ലിഫയർ
एम्पलीफायर गेन,ആംപ്ലിഫയർ നേട്ടം
एम्पलीफायर आवाज,ആംപ്ലിഫയർ ശബ്ദം
एम्प्लिफाइंग उपकरणे,ഉപകരണങ്ങൾ ആംപ്ലിഫൈയിംഗ് ചെയ്യുന്നു
क्लीस्ट्रॉनचे विस्तार,Klystron ആംപ്ലിഫൈയിംഗ്
एम्प्लिफाइंग युनिट,ആംപ്ലിഫൈയിംഗ് യൂണിറ്റിംഗ്
मोठेपणा,വ്യാശമുള്ള
मोठेपणा विकृती,വ്യാപ്തി വികസനം
मोठेपणा सहन,ആംപ്ലിഡ്യൂഡ് ആസക്തി
मोठेपणा घटक,വ്യാപ്തി ഘടകം
मोठेपणा मर्यादा,ആംപ്ലിറ്റ്യൂഡ് ലിമിറ്റർ
मोठेपणा मॉड्यूलेटेड,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റ് ചെയ്തു
मोठेपणा मॉड्यूलेशन,ആംപ്ലിറ്റ്ഇൻഡ് മോഡുലേഷൻ
एनालॉग (अ‍ॅनालॉग),അനലോഗ് (അനലോഗ്)
एनालॉग सर्किट,അനലോഗ് സർക്യൂട്ട്
एनालॉग संगणक,അനലോഗ് കമ്പ്യൂട്ടർ
एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल,അനലോഗ് റേഡിയോ ഫ്രീക്വൻസി ചാനൽ
एनालॉग प्रतिनिधित्व,അനലോഗ് പ്രാതിനിധ്യം
एनालॉग सिग्नल,അനലോഗ് സിഗ്നൽ
डिजिटल टू डिजिटल,ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
डिजिटल कन्व्हर्टर टू एनालॉग,ഡിജിറ്റൽ കൺവെർട്ടറിലേക്കുള്ള അനലോഗ്
एनालॉग व्हिडिओ,അനലോഗ് വീഡിയോ
समान,അനസ്)
समानता,അനലോഗി
विश्लेषण,വിശകലനം
डेटाचे विश्लेषण,ഡാറ്റയുടെ വിശകലനം
विश्लेषणात्मक घनता,അനലിറ്റിക്കൽ സാന്ദ്രത
विश्लेषण,വിശകലനം ചെയ്യുക
विश्लेषक,വിശകലന
उपकरणे,അനുബന്ധ ഉപകരണങ്ങൾ
आणि गेट,ഗേറ്റിലും
कोलिमेशनचा कोन,കൂട്ടിയിടിയുടെ കോണിൽ
ध्रुवीकरणाचा कोन,ധ്രുവീകരണത്തിന്റെ കോണിൽ
रोटेशनचा कोन,ഭ്രമണത്തിന്റെ ആംഗിൾ
अँगस्ट्रॉम (Å),Angstrom (å)
कोनीय,കോകാരുമായ
कोनीय प्रवेग,കോണീയ ത്വരണം
कोनीय समन्वय,കോണീയരായ കോ-ഓർഡിനേറ്റുകൾ
कोनीय विक्षेपण,കോണീയ വ്യതിചലനം
कोनीय फैलाव,കോണീയ ചിതറിപ്പോയത്
कोनीय विस्थापन,കോണീയ സ്ഥാനചലനം
कोनीय त्रुटी,കോണീയ പിശക്
कोनीय वारंवारता,കോണീയ ആവൃത്തി
कोनीय गती,കോണീയ ആക്കം
कोनीय गती,കോണീയ ചലനം
कोनीय गती,കോണീയ പ്രവേഗം
अ‍ॅनिमेशन,ജീവസഞ്ചാരണം
एनोड,ആനോഡ്
एनोड बॅटरी,അനോഡ് ബാറ്ററി
एनोड वैशिष्ट्य,ആനോഡ് സ്വഭാവം
एनोड सर्किट,അനോഡ് സർക്യൂട്ട്
एनोड अपव्यय,ആനോഡ് ഡിസ്പിപ്പ്
एनोड कार्यक्षमता,ആനോഡ് കാര്യക്ഷമത
एनोड इनपुट पॉवर,ആനോഡ് ഇൻപുട്ട് പവർ
एनोड मॉड्यूलेशन,ആനോഡ് പരിഷ്കരണം
अँटेना,ഏരിയെല്
अँटेना बीमविड्थ,ആന്റിന ബീഫ്റ്റ്വിഡ്ത്ത്
अँटेना बूस्टर,ആന്റിന ബൂസ്റ്റർ
अँटेना चेंजओव्हर स्विच,ആന്റിന ട്രാനെറ്റ് സ്വിച്ച്
अँटेना कॉइल,ആന്റിന കോയിൽ
अँटेना कॉन्फिगरेशन,ആന്റിന കോൺഫിഗറേഷൻ
अँटेना कपलर,ആന്റിന കപ്ലർ
अँटेना क्रॉस ध्रुवीय नमुना,ആന്റിന ക്രോസ് പോളാർ പാറ്റേൺ
अँटेना करंट,ആന്റിന കറന്റ്
अँटेना डायरेक्टिव्हिटी गेन,ആന്റിന ഡയറക്റ്റബേഷൻ നേട്ടം
अँटेना डुप्लेक्सर,ആന്റിന ഡ്യുപ്ലെർസർ
अँटेना प्रभावी क्षेत्र,ആന്റിന ഫലപ്രദമായ പ്രദേശം
अँटेना कार्यक्षमता,ആന്റിന കാര്യക്ഷമത
अँटेना फीड,ആന്റിന ഫീഡ്
अँटेना फूट प्रिंट,ആന്റിന ഫൂട്ട് പ്രിന്റ്
अँटेना गेन,ആന്റിന നേട്ടം
अँटेना उंची,ആന്റിന ഉയരം
अँटेना प्रतिबाधा,ആന്റിന ഇംപെഡൻസ്
अँटेना इंडक्टन्स,ആന്റിന ഇൻഡക്റ്റൻസ്
अँटेना पॅटर्न,ആന്റിന പാറ്റേൺ
अँटेना प्लेक्सर,ആന്റിന പ്ലെക്സർ
अँटेना ध्रुवीकरण,ആന്റിന പോളൈസേഷൻ
अँटेना पॉवर,ആന്റിന പവർ
अँटेना पॉवर गेन,ആന്റിന പവർ ലാഭം
अँटेना रेडिएशन प्रतिरोध,ആന്റിന റേഡിയേഷൻ പ്രതിരോധം
अँटेना रिएक्टन्स,ആന്റിന റിനോപ്പൻസ്
अँटेना परावर्तक,ആന്റിന റിഫ്ലക്ടർ
अँटेना प्रतिकार,ആന്റിന റെസിസ്റ്റൻസ്
अँटेना रेझोनंट वारंवारता,ആന്റിന പുന ons ണ്ടന്റ് ആവൃത്തി
अँटेना स्पेसिंग,ആന്റിന സ്പെയ്സിംഗ്
अँटेना स्विचिंग रूम,ആന്റിന സ്വിച്ചിംഗ് റൂം
अँटेना ट्यूनिंग कॉइल,ആന്റിന ട്യൂണിംഗ് കോയിൽ
अँटेना ट्यूनिंग झोपडी,ആന്റിന ട്യൂണിംഗ് ഹട്ട്
छिद्र,അപ്പേണ്ടർ
अपोजी,അപ്പോജി
अपोजी रॉकेट,അപ്പോജി റോക്കറ്റ്
उपकरणे,ഉപകരണങ്ങള്
उघड,കാണാവുന്ന
Let पलेट,ആപ്ലെറ്റ്
अर्ज,അപേക്ഷ
अंदाजे,ഏകദേശമായ
जलीय द्रावण,ജല പരിഹാരം
कंस,കമാനം
आर्किटेक्चर,വാസ്തുവിദ
ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण,ശബ്ദ റെക്കോർഡിംഗിന്റെ ആർക്കൈവൽ കൈമാറ്റം
संग्रहण,ഗന്ഥരക്ഷാലയം
अंकगणित कोडिंग,അരിത്മെറ്റിക് കോഡിംഗ്
आर्मेचर,യക്ഷി
आर्मेचर विंडिंग,അർമേച്ചർ വിൻഡിംഗ്
रचना,ശേണി
अरेस्टर,അറസ്റ്റർ
बोलता,കൃതില്
कलाकृती (= कलाकृती),ആർട്ടിഫക്റ്റ് (= ആർട്ടിഫാക്റ്റ്)
चढत्या,ആരോഹണം
प्रसर गुणोत्तर,വീക്ഷണാനുപാതം
असेंबलर,അസംബ്ലി
प्रतिपादन,ഉറപ്പിച്ചുപറയല്
असाइनमेंट,ചുമതല
असाइनमेंट चॅनेल,അസൈൻമെന്റ് ചാനൽ
असममित,അസമമായ
एसिन्क्रोनस,അസിൻക്രണസ്
वातावरण,അന്തരീക്ഷം
वातावरणीय नुकसान,അന്തരീക്ഷ നഷ്ടം
वातावरणीय आवाज,അന്തരീക്ഷ ശബ്ദം
वातावरणीय दबाव,അന്തരീക്ഷമർദ്ദം
वातावरणीय प्रसार,അന്തരീക്ഷ പ്രചരണം
वातावरणीय रेडिओ-वेव्ह,അന്തരീക്ഷ റേഡിയോ-വേവ്
वातावरण,അന്തരീക്ഷ
अणू,പരമാണു
अणु रचना,ആറ്റോമിക ഘടന
संलग्नक,ബന്ധം
क्षीणन,അറ്റൻവറൻസ്
क्षमतेचे नुकसान,അറ്റൻവേേഷൻ നഷ്ടം
ध्वनी लहरींचे लक्ष वेधणे,ശബ്ദ തരംഗങ്ങളുടെ അറ്റൻവേഷൻ
अ‍ॅटेन्युएटर,അറ്റൻവേറ്റർ
अ‍ॅटेन्युएटर-पॅड,അറ്റൻവേറ്റർ പാഡ്
ऑडिबिलिटी थ्रेशोल्ड,സവിശേഷത പരിധി
ऐकण्यायोग्य,ശ്രമത്തിനും
ऐकण्यायोग्य वारंवारता,കേൾക്കാവുന്ന ആവൃത്തി
ऐकण्यायोग्य टोन,കേൾക്കാവുന്ന ടോൺ
ऐकण्यायोग्य-स्पेक्ट्रम,കേൾക്കാവുന്ന-സ്പെക്ട്രം
प्रेक्षक,സദസര്
ऑडिओ,ഓഡിയോ
ऑडिओ एम्पलीफायर,ഓഡിയോ ആംപ്ലിഫയർ
ऑडिओ विश्लेषक,ഓഡിയോ അനലൈസർ
ऑडिओ प्रसारण,ഓഡിയോ ബ്രോഡ്കാസ്റ്റിംഗ്
ऑडिओ केबल,ഓഡിയോ കേബിൾ
ऑडिओ साखळी,ഓഡിയോ ചെയിൻ
ऑडिओ कोडेक,ഓഡിയോ കോഡെക്
ऑडिओ कॉम्प्रेशन,ഓഡിയോ കംപ്രഷൻ
ऑडिओ कॉम्प्रेसर,ഓഡിയോ കംപ്രസ്സർ
ऑडिओ कन्सोल,ഓഡിയോ കൺസോൾ
ऑडिओ विकृती,ഓഡിയോ വക്രീകരണം
ऑडिओ डायनॅमिक श्रेणी,ഓഡിയോ ഡൈനാമിക് ശ്രേണി
ऑडिओ फाइल स्वरूप,ഓഡിയോ ഫയൽ ഫോർമാറ്റ്
ऑडिओ फ्रेम स्वरूप,ഓഡിയോ ഫ്രെയിം ഫോർമാറ്റ്
ऑडिओ फ्रिक्वेन्सी एम्पलीफायर,ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ
ऑडिओ फ्रिक्वेन्सी जनरेटर,ഓഡിയോ ഫ്രീക്വൻസി ജനറേറ്റർ
ऑडिओ वारंवारता श्रेणी,ഓഡിയോ ഫ്രീക്വൻസി ശ്രേണി
ऑडिओ वारंवारता प्रतिसाद,ഓഡിയോ ഫ്രീക്വൻസി പ്രതികരണം
ऑडिओ लिमिटर,ഓഡിയോ പരിധി
ऑडिओ लाइन,ഓഡിയോ ലൈൻ
ऑडिओ मिक्सर,ഓഡിയോ മിക്സർ
ऑडिओ मॉड्यूलेशन,ഓഡിയോ മോഡുലേഷൻ
ऑडिओ ऑसीलेटर,ഓഡിയോ ഓസ്സിലേറ്റർ
ऑडिओ आउटपुट,ഓഡിയോ output ട്ട്പുട്ട്
ऑडिओ पॉवर,ഓഡിയോ പവർ
ऑडिओ गुणवत्ता,ഓഡിയോ നിലവാരം
ऑडिओ सिग्नल,ഓഡിയോ സിഗ്നൽ
ऑडिओ सिग्नल प्रक्रिया,ഓഡിയോ സിഗ്നൽ പ്രോസസ്സിംഗ്
ऑडिओ स्पेक्ट्रम,ഓഡിയോ സ്പെക്ട്രം
ऑडिओ स्टोरेज,ഓഡിയോ സ്റ്റോറേജ്
ऑडिओ सब-कॅरियर,ഓഡിയോ ഉപ-കാരിയർ
ऑडिओ ट्रान्सफॉर्मर,ഓഡിയോ ട്രാൻസ്ഫോർമർ
ऑडिओ ट्रान्समीटर,ഓഡിയോ ട്രാൻസ്മിറ്റർ
ऑडिओ/व्हिडिओ कॉम्प्रेशन,ഓഡിയോ / വീഡിയോ കംപ്രഷൻ
ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर,ഓഡിയോ-ഫ്രീക്വൻസി ഓസ്സിലേറ്റർ
ऑडिओ-फ्रिक्वेन्सी सिग्नल,ഓഡിയോ-ഫ്രീക്വൻസി സിഗ്നൽ
ऑडिओमेट्री,ഓഡിയോമെട്രി
ऑडिओ-व्हिज्युअल मदत,ഓഡിയോ-വിഷ്വൽ സഹായം
श्रवणविषयक समज,ഓഡിറ്ററി ധാരണ
प्रमाणीकरण,പ്രാമാണീകരണം
अधिकृत वाहक वारंवारता,അംഗീകൃത കാരിയർ ആവൃത്തി
ऑटो कॅड,ഓട്ടോ കാഡ്
ऑटो डायग्नोस्टिक्स,യാന്ത്രിക ഡയഗ്നോസ്റ്റിക്സ്
स्वयंचलित,ഓട്ടോമാറ്റിക്
स्वयंचलित नियंत्रण,യാന്ത്രിക നിയന്ത്രണം
स्वयंचलित शोध,യാന്ത്രിക കണ്ടെത്തൽ
स्वयंचलित उपकरणे,യാന്ത്രിക ഉപകരണങ്ങൾ
स्वयंचलित वारंवारता नियंत्रण,യാന്ത്രിക ആവൃത്തി നിയന്ത്രണം
स्वयंचलित मर्यादा,യാന്ത്രിക പരിധി
स्वयंचलित मशीन,യാന്ത്രിക യന്ത്രം
स्वयंचलित Phasae नियंत्रण,യാന്ത്രിക ഫാസ നിയന്ത്രണം
स्वयंचलित चित्र संप्रेषण,യാന്ത്രിക ചിത്രം ട്രാൻസ്മിഷൻ
स्वयंचलित प्लेबॅक,യാന്ത്രിക പ്ലേബാക്ക്
स्वयंचलित उर्जा नियंत्रण,യാന്ത്രിക വൈദ്യുതി നിയന്ത്രണം
स्वयंचलित प्रोग्रामिंग,യാന്ത്രിക പ്രോഗ്രാമിംഗ്
स्वयंचलित रेकॉर्डिंग,യാന്ത്രിക റെക്കോർഡിംഗ്
स्वयंचलित रीसेट,യാന്ത്രിക പുന .സജ്ജമാക്കുക
स्वयंचलित शटर,യാന്ത്രിക ഷട്ടർ
स्वयंचलित प्रणाली,യാന്ത്രിക സംവിധാനം
स्वयंचलित टेलिफोन,യാന്ത്രിക ടെലിഫോൺ
स्वयंचलित तापमान नियंत्रण,യാന്ത്രിക താപനില നിയന്ത്രണം
स्वयंचलित व्होल्टेज नियामक,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് റെഗുലേറ്റർ
स्वयंचलित व्हॉल्यूम कॉम्प्रेसर,യാന്ത്രിക വോളിയം കംപ്രസർ
स्वयंचलित व्हॉल्यूम नियंत्रण,യാന്ത്രിക വോളിയം നിയന്ത്രണം
स्वयंचलित व्हॉल्यूम विस्तारक,യാന്ത്രിക വോളിയം എക്സ്പാൻഡർ
ऑटोमेशन,യന്തവല്ക്കരണം
ऑटोमेशन नियंत्रण,യന്തമോടിക്കൽ
ऑटोमेशन फ्रिक्वेन्सी कंट्रोलर,ഓട്ടോമേഷൻ ഫ്രീക്റ്റി കണ്ട്രോളർ
सहाय्यक,ഉക്സിലറി
सहाय्यक ऑडिओ बस,സഹായ ഓഡിയോ ബസ്
उपलब्ध शक्ती,ലഭ്യമായ ശക്തി
हिमस्खलन ब्रेकडाउन,ഹിമപാത തകർച്ച
सरासरी जीवन,ശരാശരി ജീവിതം
सरासरी दबाव,ശരാശരി മർദ്ദം
सरासरी वेग,ശരാശരി വേഗത
फिरकीची अक्ष,സ്പിൻ ആക്സിസ്
अजीमुथ,അസിമുത്ത്
अजीमुथ कोन,അസിമുത്ത് ആംഗിൾ
अजीमुथ त्रुटी,അസിമുത്ത് പിശക്
मागे प्रकाश,ബാക്ക് ലൈറ്റ്
बॅक प्रोजेक्शन,ബാക്ക് പ്രൊജക്ഷൻ
बॅक व्होल्टेज (= रिव्हर्स व्होल्टेज),ബാക്ക് വോൾട്ടേജ് (= റിവേഴ്സ് വോൾട്ടേജ്)
बॅकफायर (आर्क बॅक),ബാക്ക്ഫയർ (ആർക്ക് ബാക്ക്)
पार्श्वभूमी प्रकाश,പശ്ചാത്തല വെളിച്ചം
पार्श्वभूमी आवाज,പശ്ചാത്തലം ശബ്ദം
पार्श्वभूमी प्रोजेक्शन,പശ്ചാത്തലം പ്രൊജക്ഷൻ
बॅकअप,ബാക്കപ്പ്
बफल,അന്ധാളിപ്പക്കുക
बेकिंग,ബേക്കിംഗ്
संतुलित ऑडिओ,സമതുലിതമായ ഓഡിയോ
संतुलित ऑडिओ लाइन,സമതുലിതമായ ഓഡിയോ ലൈൻ
संतुलित ट्रान्समिशन लाइन,സമതുലിതമായ ട്രാൻസ്മിഷൻ ലൈൻ
संतुलन,സന്തുഗതം
गिट्टी,ബാല്ലാസ്റ്റ്
गिट्टी फॅक्टर,ബാലസ്റ്റ് ഫാക്ടർ
बालुन,Sulun
बँड,കൂട്ടം
बँड पास फिल्टर,ബാൻഡ് പാസ് ഫിൽട്ടർ
बँड निवडकर्ता,ബാൻഡ് സെലക്ടർ
बँड स्प्लिटिंग,ബാൻഡ് വിഭജനം
बँड स्टॉप फिल्टर,ബാൻഡ് നിർത്തുക ഫിൽട്ടർ
बँड स्विच,ബാൻഡ് സ്വിച്ച്
बँड ट्यूनिंग,ബാൻഡ് ട്യൂറിംഗ്
बँडविड्थ,ബാൻഡ്വിഡ്ത്ത്
बार,ബാർ
बार कोड,ബാർ കോഡ്
बार डेटा,ബാർബെ ഡാറ്റ
बेअर बँड,നഗ്നമായ ബാൻഡ്
बेअर दिवा,നഗ്നമായ വിളക്ക്
धान्याचे कोठार,കളപ്പുര വാതിൽ
बेस बँड,അടിസ്ഥാന ബാൻഡ്
बेस बँड सिग्नल,അടിസ്ഥാന ബാൻഡ് സിഗ്നൽ
बेस बँड सिस्टम,അടിസ്ഥാന ബാൻഡ് സംവിധാനം
बेस ब्राउझर,അടിസ്ഥാന ബ്ര .സർ
बेस कलेक्टर जंक्शन,അടിസ്ഥാന ശേഖരണ ജംഗ്ഷൻ
बेस इन्सुलेटर,അടിസ്ഥാന ഇൻസുലേറ്റർ
बास,ബാസ്
बास भरपाई,ബാസ് നഷ്ടപരിഹാരം
बास लाऊडस्पीकर (वूफर),ബാസ് ഉച്ചഭാഷിണി (വൂഫർ)
बॅच स्कॅनिंग,ബാച്ച് സ്കാനിംഗ്
बॅटरी चार्जिंग,ബാറ്ററി ചാർജിംഗ്
तुळई,രശ്മി
बीट,അടിക്കുക
बीट फ्रिक्वेन्सी ऑसीलेटर,ബീറ്റ് ഫ്രീക്വൻസി ഓസ്സിലേറ്റർ
बेल,കാല്
पूर्वाग्रह,പക്ഷപാതം
बायस सर्किट,ബയ്യ്സ് സർക്യൂട്ട്
पूर्वाग्रह वारंवारता,പക്ഷപാതം
बायस व्होल्टेज,ബിയാസ് വോൾട്ടേജ്
पुढील दिशेने पक्षपाती,മുന്നോട്ടുള്ള ദിശയിൽ പക്ഷപാതപരമാണ്
द्वि-दिशात्मक मायक्रोफोन,ദ്വിദിശ മൈക്രോഫോൺ
बिलबोर्ड,ബിൽബോർഡ്
बिलबोर्ड अर्ज,ബിൽബോർഡ് അപ്ലിക്കേഷൻ
द्वि-धातूचा घटक,ദ്വി-മെറ്റാലിക് ഘടകം
बायनरी,ബൈനറി
