Hindi,English
कृषि प्रद्योगिकी,Agricultural technology
"कृषि, खेतीबारी, कृषि विज्ञान",Agriculture
कृषि वनवर्धन,Agrisilviculture
कृषि जैविक विविधता,Agrobiodiversity
कृषि जैविक दोष,Agrobiological defects
कृषि जैविकी,Agrobiology
कृषि जलवायुवीय विविधता,Agroclimatic diversity
कृषि जलवायुवीय क्षेत्रीकरण,Agroclimatic zoning
कृषि वानिकी,Agroforestry
सस्य मृदा विज्ञान,Agrology
सस्य विज्ञान,Agronomy
कृषि पशुचारणिक,Agropastoral
फसल प्रसंस्करण,Agroprocessing
घास विज्ञान,Agrostology
सस्य प्ररूप,Agrotype
अधिपादप,Air plant
ऐकिओची मृदा,Akiochi soil
"वर्णकहीनता, अवर्णता",Albinism
एल्फिसॉल,Alfisols
"शैवाल, काई",Algae
शैवाल रोग,Algal disease
क्षार जल,Alkali water
क्षारीय,Alkaline
विकल्पी,Allele
एलीलो रसायन,Allelochemicals
युग्मविकल्पी,Allelomorph
एलीलोपैथी,Allelopathy
वीथी सस्यन,Alley cropping
परनिषेक-फलता,Allocarpy
परनिषेचन,Allogamy
"सापेक्षमिति, ऐलोमैट्री",Allometry
परबहुगुणित,Allopolyploid
"परयुग्मन, अपायुग्लन",Allosynapsis (allosyndesis)
"एकातंर वर्ष फलन, एकांतरित फलन",Alternate bearing
वैकल्पिक भूमि उपयोग,Alternate land use
परिवेश,Ambient
सुधारक,Ameliorant
असूत्रीविभाजन,Amitosis
ऐमीनन,Amminization
अमोनियन,Ammonification
अमोनीकारक,Ammonifier
"अप्रभावी रूप, अरूपी",Amorph
उभय मिश्रण,Amphimixis
उभयधर्मी,Amphoteric
उपचय,Anabolism
"अवायुजीव, अनॉक्सी जीव",Anaerobe
असुगुणित,Aneuploid
कोणीय रोपण,Angle planting
पशुपालन,Animal husbandry
पशु उच्छिष्ट,Animal refuse
सजीव ऊर्जा,Animate energy
असमगुणित,Anisoploid
एकवर्षीय पादप,Annual plant
वार्षिक,Annual
"परागोद्भव, प्रफुल्लन",Anthesis
ऐन्थ्रेक्स,Anthrax
मानवजनिक कारक,Anthropogenic factor
प्रतिजीविता,Antibiosis
"प्रतिजैविक, ऐन्टीबायोटिक",Antibiotic
प्रतिकारक,Antidote
प्रतिऑक्सीकारक,Antioxidants
प्रतिआविष,Antitoxin
वलयिका,Annulus
"ऐफिड, माहू, चेपा",Aphid
शीर्ष कलिका,Apical bud
शिखाग्र प्रभाविता,Apical dominance
मधुमक्खी पालन,Apiculture (bee keeping)
असंगजनन,Apomixis
एपोप्टोसिस,Apoptosis
उपांग,Appendage
क्षुधावर्धक,Appetizer
अनुप्रयुक्त,Applied
जलीय खरपतवार,Aquatic weed
"वृक्षीय, वृक्षवासी",Arboreal
प्रशाखायन,Arborization
आद्य वानस्पतिक अभिलेख,Archaeo-botanical records
क्षेत्रांकड़,Area statistics
"क्षेत्र, क्षेत्रफल",Area
शुष्क पारितंत्र,Arid ecosystem
"बीजचोल, बीजोपांग",Aril
"सौरभ, सुवास",Aroma
सुगंधी पादप,Aromatic plant
सुगंधित चावल,Aromatic rice
इक्षु पुष्पन,Arrowing
अपूति,Asepsis
"अपूतित, अज़र्म",Aseptic
अलैंगिक प्रवर्धन,Asexual propagation
"आमाप, परख",Assay
परिसंपत्ति,Assets
"स्वांगीकरण, आत्मसात्करण",Assimilation
"साहचर्य, संघ",Association
"स्तंभक, कषाय",Astringent
असूत्रयुग्मन,Asynapsis
"पूर्वजता, ऐटाविज्म",Atavism
कणित्र,Atomizer
"अपुष्टि, क्षीणता",Atrophy
स्वयुग्मन,Autogamy
स्वलयन,Autolysis
"स्वतः उपचयन, स्वतः ऑक्सीकरण",Autoxidation
स्वबहुगुणित,Autopolyploid
ऑक्सिन,Auxins
"शूक, तूड़",Awn (bristle)
बादाम,Almond
धीकुवार,Aloe
"चौलाई, रामदाना",Amaranthus
अजवाइन,Ammi
"अंजन घास, धामन घास",Anjan grass
एंथूरियम,Anthurium
आंवला,"Aonla, Indian gooseberry"
सेब,Apple
खुबानी,Apricot
"मोगरा, बेला",Arbian jasmine
सुपारी,Areca nut
अर्जुन,Arjun
हींग,Asfoetida
पेठा,Ash gourd
अशोक,Ashoka tree
दूधी,Ashthma weed (euphorbia)
सतावर,Asparagus
अवोकाडो,Avocado
"रिजक्रा, लूसर्न",Alfalfa (lucerne)
चींटी,Ants
"तेला, माहू",Aphids
सैनिक कीट,Army worm
कृषि अर्थशास्त्री,Agricultural economist
कृषि प्रसार विज्ञानी,Agricultural extensionist
कृषि वैज्ञानिक,Agricultural scientist
कृषि अभियंता,Agriculture engineer
कृषि जीवविज्ञानी,Agrobiologist
सस्य विज्ञानी,Agronomist
कृषि भौतिकीविद्,Agrophysicst
"प्राणि प्रजनक, पशु प्रजनक",Animal breeder
दंड विषाणु,Bacillus virus
"दंडाणु, बैसिलस",Bacillus
"जीवाणु, बैक्टीरिया",Bacteria
जीवविष,Bacteriotoxin
खोई,Bagasse
"तुलन-पत्र, चिट्ठा",Balance sheet
संतुलित निषेचन,Balanced fertilization
दंड आरेख,Bar diagram
छाल,Bark
"वायुदाबमापी, बैरोमीटर",Barometer
"बजर, अकृष्य, बांझ",Barren
"आधार, बेस, कपांग",Base
"थाला, द्रोणी",Basin
तलाभिसारी,Basipetal
"बेसिस्टर्नम, मूलाधारक",Basisternum
खाड़ी मानसून,Bay monsoon
फलदायी पौधा,Bearing plant
क्यारी,Bed
क्यारी - पौधा,Bedder
क्यारी बनाना,Bedding
चुंकदर शीरा,Beet molasses
धौंकनी,Bellows
"पट्टी, इलाका",Belt
लाभ-लागत विश्लेषण,Benefit-cost analysis
अभिनत (प्रतिचयन),Biased (sampling)
द्विवर्षीय पादप,Biennial
द्विपद,Binomial
जैवकारक,Bioagent
जीव जलवायु,Bioclimate
जैव ऊर्जा,Bioenergy
जीव पारिस्थितिकी,Bionomics
"जैव-प्रक्रियापात्र, बायो रिएक्टर",Bioreactor
जीव-मंडल,Biosphere
जैविक,Biotic
जीव प्रारूप,Biotype
द्विलिंगी,Bisexual
धवलन,Blanching
"प्रध्वसं (रोग), झोंका रोग",Blast
सम्मिश्रण,Blend
"अंगमारी (रोग), ब्लाइट (रोग)",Blight
"छाला, फफोला, उद्वर्त, ब्लिस्टर",Blister
नीली क्रांति,Blue revolution
तलीय ताप चैंबर,Bottom heat chamber
तलीय ताप तकनीक,Bottom heat technique
चोकर,Bran
शाखन,Branching
"टहनी, उपशाखा",Branchlet
नस्ल,Breed
"प्रजनन, अभिजनन",Breeding
शीघ्र अंकुरण उपचार,Brimming
"शाव, अंड, भ्रूण",Brood
कलिकायन,Budding
बजट,Budget
"उभयप्रतिरोधी, बफर",Buffer
शल्ककंद,Bulb
"बंट (रोग), चोट",Bunt
"उपजात, उपोत्पाद",By-product
"बबूल, कीकर",Babul acacia
बेबी कॉर्न,Baby corn
बेल,Bael
लाजालु,Baill
गुलमेंहदी,Balsam
बांस,Bamboo
केला,Banana
बरगद,Banyan tree
जौ,Barley
सावां,Barnyard millet
तुलसी,Basil
रुद्राक्ष,Bastard cedar
बहेड़ा,Bastard myrobalan
कचनार,Bauhinia
कैफल,Bay berry
सेम,Bean
चुकंदर,Beet
बेलाडोना,Belladonna
बेर,Ber
बरसीम,Berseem
पान,Betel
बिलिंबी,Bilimbi
करेला,Bitter gourd
उड़द,Black gram
मकोय,Black nightshade
बोगेनविलिया,Bougainvillea
बोटल ब्रश,Bottle brush
लौकी,Bottle gourd
"चीकदी, पापरी",Box tree
ब्रेड फ्रूट,Bread fruit
डेला,Bridal creeper
बैंगन,Brinjal
"बाकला, चौड़ी बीन",Broad bean
ब्रोकोली,Broccoli
ब्रुसेल्स स्प्राउट,Brussel's sprout
कुटू,Buckwheat
"पलाश लता, किंशुक",Butea
घूंस,Bandicoot
भालू,Bear
भृंग,Beetle
फफोला भृंग,Blister beetle
नील गाय,Blue bull
कपास की सूंड़ी,Boll worm
तितली,Butterfly
जीवाणु विज्ञानी,Bacteriologist
जैव रसायनविद्,Biochemist
जीव विज्ञानी,Biologist
जैव प्रौद्योगिकीविद्,Biotechnologist
वनस्पतिविद्,Botanist
c नमी विशिष्टता वक्र,C moisture characteristic curve
खली,Cake
"चूनेदार, कैल्सियमी",Calcarious
कैल्सीयन,Calcification
फॉस्फेट का निस्तापन,Calcination of phosphate
"किणता, कैलसता",Callosity
"कैलस, किण",Callus
"बाह्यदल पुंज, कैलिक्स",Calyx
बाह्यदल अंत,Calyx-end
एधा,Cambium
कैंकर (जीवाणु रोग),Canker
डिब्बाबंदी,Canning
वितान,Canopy
पूंजी,Capital
परागण (अंजीर का),Caprification
"संपुट, संपुटिका, कैप्सूल",Capsule
कार्बोनीकृत,Carbonated
कार्बनन,Carbonization
अंडप,Carpel
मणिबंध,Carpus
"ढलाई (लोहे की), क्षिप्ति (कीट)",Casting
अपचय,Catabolism
उत्प्रेरण,Catalysis
"इल्ली, सूंडी",Caterpillar
C- डीएनए संग्रह,C-DNA Library
सीमा,Ceiling
"कोशिका, कोष्ठिका",Cell
केंद्रीय अग्रलेख प्रणाली,Central leader system
"सबिंदु, सकेंद्र",Centric
अपकेंद्रण,Centrifugation
अपकेंद्रित,Centrifuge
तारककेंद्र,Centriole
केंद्रजनिक,Centrogenic
केंद्रजा,Centrogenous
लूम,Cercus
"धान्य, सीरियल",Cereal
"प्रमाणीकरण, प्रमाणन",Certification
प्रमाणित बीज,Certified seed
"भूसा, कुट्टी, शल्क सहपत्र",Chaff
"निभाग, कैलाजा",Chalaza
रसानुवर्तन,Chemotropism
"काएज्मा, व्यत्यस्त",Chiasma
द्रुतशीतन घंटे,Chilling hours
शीतज क्षति,Chilling injury
"विचित्रोतकी, किमेरा",Chimera
हरित दली,Chloranthy
"पर्णहरित, हरितक",Chlorophyll
हरिमाहीनता,Chlorosis
जीव वितरण विज्ञान,Chlorology
"क्रोमैटिड, अर्धगुणसूत्र",Chromatid
क्रोमैटिन,Chromatin
वर्णलेखन,Chromatography
क्रोमोटिनलयन,Chromatolysis
परिसूत्र बिंदु,Chromocentre
वर्णजनन,Chromogenesis
"क्रोमोप्रोटीन, वर्णकप्रोटीन",Chromoprotein
"गुणसूत्र, क्रोमोसोम",Chromosome
"चिरकाली, दीर्घकाली, जीर्ण, पुराना",Chronic
सिट्रेंज,Citrange
पर्णाभपर्व,Cladode
वर्गीकरण,Classification
"मृत्तिका, चिकनी मिट्टी",Clay
"निर्मलन, मार्जन, सफाई, शोधन",Cleaning
"अनुन्मील्य परागण, स्वपरागण",Cleistogamy
क्रांतिक श्वसनी फल,Climacteric fruit
जलवायु,Climate
जलवायु विज्ञान,Climatology
कतरनी,Clipper
ढेला (मिट्टी का),Clod
"क्लोन, कृन्तक",Clone
"मेघ, बादल",Cloud
"पुंज (क्लंप, संपुंजन)",Clump
गुच्छ,Cluster
"स्थूल, मोटा, कच्चा, अपरिष्कृत",Coarse
"आवरण (बीज़), चर्मावरण",Coat (seed)
कोया,Cocoon
"कोएन्जाइम, सह-प्रकिण्व",Coenzyme
संसंजन,Cohesion
"रेशा (जूट पटसन), नारियल जटा",Coir
मूलांकुर चोल,Coleorrhiza
"स्तंभमूलसंधि, कॉलर, ग्रीवा",Collar
कोलॉइड (मृदा),Colloid (soil)
"स्तंभिका, कॉलुमेला",Columella
"दंड, स्तंभ, कॉलम",Column
सहभोजिता,Commensalism
वाणिज्यिक बैंक,Commercial bank
"जिंस, पण्य वस्तु",Commodity
समुदाय,Community
"संहनन, (मृदा का)",Compaction (of soil)
"सुसंगति, संगतता",Compatibility
सुसंगतता,Compatibility
"क्षतिपूर्ति, मुआवजा",Compensation
स्पर्धी अन्योन्यक्रिया,Competitive interaction
पूरक सस्य,Complementary crop
"सम्मिश्र, जटिल",Complex
घटक,Component
संघटन,Composition
कंपोस्ट,Compost
चक्रवृद्धि ब्याज,Compound interest
अभिकलन,Computation
"अभिकलित्र, कंप्यूटर",Computer
"सांद्रण, संकेद्रण",Concentration
"अनुकूलक, पुनरुद्धारक",Conditioner
चालकता,Conductance
"विन्यास, संरूपण",Configuration
"अनुरूपता, समविन्यास, समरूपता",Conformity
"समाकुलन, संकरण",Confounding
संयुग्मन,Conjugation
"योजी, संयोजी",Connective
सरंक्षण,Conservation
चकबंदी,Consolidation
"संघटक, अवयव",Constituents
उपभोक्ता,Consumer
उपभोग,Consumption
संदूषण,Contamination
समोच्च रोपण,Contour planting
समोच्च रेखा,Contour
"संविदा कृषि, ठेका कृषि, अनुबंधित खेती",Contract farming
नियंत्रित भंडारण,Controlled storage
सहकारी बैंक,Co-operative bank
सहकारी संस्था सदस्य,Cooperator
गुल्मवन,Coppice
घनकंद,Corm
"दलपुंज, कोरोला",Corolla
"वल्कल, कॉर्टेक्स",Cortex
लागत,Cost
बीजपत्र,Cotyledon (seed)
ऋण समिति,Credit society
"उधार, साख",Credit
"ऋणदाता, लेनदार",Creditor
"शिखा, शीर्ष, शिखर",Crest
व्याकुंचन,Crinkle
संकट,Crisis
कसौटी,Criterion
"क्रांतिक, विकट, नाजुक",Critical
फसल बीमा,Crop insurance
फसल ऋण,Crop loan
"सस्य, फसल",Crop
सस्यन क्षेत्र,Cropping area
पार-असंगत,Cross-incompatible
"मुकुट, शिखर (पादप)",Crown (plant)
मृदुकण,Crumb
पपड़ी,Crust
"क्रिप्टोगैम, अपुष्पीपादप",Cryptogam
छांटन (फल),Cull (fruits)
"कल्म, वेणुकाण्ड",Culm
कृष्य किस्म,Cultivar
"कर्षण, कृषि, खेती",Cultivation
"किसान, कल्टीवेटर (यंत्र)",Cultivator
"संवर्ध, संवर्धन, पालन",Culture
"संसाधन, तैयार करना",Curing
"कुंतलन, कुंचन",Curling
मुद्रा,Currency
"उपत्वचा, क्यूटिकल",Cuticle
"कलम, कटाई, काटना, कटाग्र, कटावा",Cutting
"कृमि कोष, सिस्ट, पुटी, विकृत गुल्म, रसौली",Cyst
साइटोक्रोम,Cytochrome
कोशिका युग्मन,Cytogamy
कोशिका जनन,Cytogenesis
कोशिका आनुवंशिकी,Cytogenetics
कोशिका द्रव्य विभाजन,Cytokinesis
कोशिका विज्ञान,Cytology
कोशिकाविघटन,Cytolysis
"साइटोमियर, कोशिका खंड",Cytomere
कोशिका द्रव्य,Cytoplasm
बंदगोभी,Cabbage
नागफनी,Cactus
ज़रगुल,Calendula
"गिल्ली डंडा, गेहूं का मामा",Canary grass (phalaris)
कैना,Canna
करीर,Capparis
शिमला मिर्च,Capsicum
कमरख,Carambola
पुसुर,Carapa
इलाइची,Cardamom
कार्नेशन,Carnation
गाजर,Carrot
काजू,Cashew nut
अमलतास,Cassia
अरंडी,Castor
फूलगोभी,Cauliflower
सेलेरी,Celery
चम्पा,Champac
बथुआ,Chenopodium
चेरी टमाटर,Cherry tomato
चेरी,Cherry
चना,"Chickpea, gram"
मिर्च,Chillies
काकड़ा,China turpentine tree
लौकू,Chow-chow
गुलदाउदी,Chrysanthemum
चिचोड़ा,"Chufa, earth almond"
"चिकोरी, कारनी",Cichory
दालचीनी,Cinnamon
सिट्रोन,Citron
गंजनी,Citronella grass
मालती,Climbing jasmine
लौंग,Clove
ग्वार बीन,Cluster bean
कहवा,Cocoa
नारियल,Coconut
कॉफी,Coffee
पत्थरचूर,Coleus
अरबी,Colocasia
इंद्रायन,"Colocynth, bitter apple"
जंगली पालक,Common purslane
धनिया,Coriander
कपास,Cotton
लोबिया,Cowpea
कबाब-चीनी,Cubeb
खीरा,Cucumber
कद्दूवर्गीय,Cucurbits
जीरा,Cumin
करी पत्ता,Curry leaf
शरीफा,Custard apple
पुटिका वेधक,Capsule borer
इल्ली,Caterpiller
सिट्रस साएला,Citrus psylla
झींगर,Cricket
कौआ,Crow
कटुआ,Cut worm
"डेरी, दुग्धशाला",Dairy
डेरी उद्योग,Dairying
"बांध, प्रजननी",Dam
दिवस निरपेक्ष पादप,Day-neutral
पुष्पन के बाद के दिवस,Days after flowering
पूर्ण पुष्पन के बाद के दिवस,Days after full bloom
निष्पुष्पन,Deblossoming
विकैल्सीकरण,Decalcification
"निथारना, निस्तारना",Decant
क्षय,Decay
पर्णपाती,Deciduous
"दशमिक, दशमलव",Decimal
न्यूनता,Deficiency
"अनूर्णन (मृदा), वि-उर्णन",Deflocculation (soil)
विपुष्पन,Defloration
विपत्रण,Defoliation
वनोन्मूलन,Deforestation
"अपह्रासन, अपकर्षण",Degeneration
निम्नीकरण,Degradation
अंश दिवस,Degree days
"मात्रा, अंश",Degree
स्फुटन,Dehiscence
भूसी हटाना,Dehulling
भूसी हटाना,Dehusking
निर्जलीकरण,Dehydration
निर्जलकारित्र,Dehydrator
मांग,Demand
"विकृतीकरण, गुणनाशन",Denaturation
अनाच्छादन,Denudation
"निक्षेप (मृदा), जमा (अर्थशास्त्र)",Deposit
निक्षेपण,Deposition
"मूल्यह्रास, अवमूल्यन विलवणीकरण",Depreciation desalinization
"जल शुष्कन, निर्जलीकरण",Desiccation
"अभिकल्पना, डिजाइन",Design
शुष्कित्र,Dessicator
गुठली निकालना,Destoning
वि-अंतः भूस्तारीकरण,Desuckering
वियुग्मन,Desynapsis
"नर मंजरी निकालना (मक्का), बल्लर निकालना",Detassel
बल्लर या फुंदन को काटना,Detasseling
निर्धारक,Determinant
अवमूल्यन,Devaluation
वनस्पतिरहित करना,Devegetation
विचलन,Deviation
द्विक,Diad
निदान,Diagnosis
भिन्नकाल पक्वता,Dichogamy
द्विभाजन,Dichotomy
"द्विबीजपत्री, डाइकोटिलेड़न (बीज)",Dicotyledon (seed)
पश्चमारी (रोग),Die back (disease)
"विसरण, विसार",Diffusion
पाचनीयता,Digestibility
द्विसंकर,Dihybrid
"बांध, नाली, परिवाह",Dike (dyke)
तनु,Dilute
"एकलिंगाश्रयी, पृथक् लिंगी",Dioecious
द्विगुणित,Diploid
"द्विगुणित, डिप्लॉइड",Diploid
द्विसूत्र,Diplonema
"निष्कलिकायन, कलिका निकालना",Disbudding
"तवेदार हल चलाना, चक्काकरण",Discing
छूट,Discount
रोगाणुनाशन,Disinfection
"परिक्षेपण, प्रकीर्णन",Dispersion
"प्रकीर्णन, प्रसरण",Dissemination
विविधीकरण,Diversification
विविधीकृत कृषि,Diversified farming
डीएनए सोपान,DNA Ladder
डीएनए ग्राही,DNA receptor
गोदी-भाड़ा,Dockage
प्रभावी,Dominant
प्रसुप्ति,Dormancy
"मात्रा, खुराक, डोज",Dose
दोहरा सिग्माभ वक्र,Double sigmoid curve
"झोंका, खिंचाव",Draft (draught)
"निकास नाली, अपवाहिका",Drain
जलनिकास,Drainage
कर्षण,Draw
"दवा पिलाना, दवाई से तर करना",Drenching
प्रसाधन (बीज),Dressing (seed)
"बरमा, उथली भूल, ड्रिल, वपित्र",Drill (n.)
"सूराख करना, बेधन, बरमाना",Drilling (ag. engg)
"वेधना, ड्रिल से बोना, ड्रिल से डालना",Drilling (agronomy)
बूंद-बूंद सिंचाई,Drip irrigation
शुष्क खेती,Dryland farming
"धूल, बुकनी",Dust
"धूलित्र, प्रकीर्णक",Duster
बुरकना,Dusting
"बौना, वामन",Dwarf
वामन पिरामिड,Dwarf pyramid
वामिनीयन,Dwarfing
गुलबहार,Daisy
खजूर,Dates
दिन का राजा,Day jasmine
सोया,Dill
दीनानाथ घास,Dinanath grass
अमरबेल,Dodder
दूब घास,"Doob grass, bermuda grass"
छोंकर,Druce
सौंठ,Dry ginger
पत्तियां खाने वाला भृंग,Defoliating beetle
नर मधुमक्खी,Drone
बत्तख,Duck
पारिस्थितिकी,Ecology
अर्थमिति,Econometrics
आर्थिक दक्षता,Economic efficiency
पारिस्थितिक प्ररूप,Ecotype
बहिःस्तरपोषित,Ectotrophic
मृदीय,Edaphic
मृद विज्ञान,Edaphology
"मेड़बंदी, किनारा बनाना, किनारा बंदी",Edging
खाद्य अंश,Edible part
मांग की लोच,Elasticity of demand
उत्पादन लोच,Elasticity of production
विद्युत्-अपघटन,Electrolysis
वैद्युतकण-संचलन,Electrophoresis
अवक्षालन,Eluviation
"विपुंसीकारित्र, बंधकारित्र, विपुंसीकार, बंध्यकार",Emasculator
"मेड़ बंदी, डौलबंदी",Embanking
भ्रूण,Embryo
"भ्रूणविज्ञान, भ्रौणिकी",Embryology
"निकलना, निर्गमन",Emergence
पायसीकारक,Emulsifier
अंतर्जात,Endogenous
अंतःसूत्री विभाजन,Endomitosis
अंतःपरजीवी,Endoparasite
भ्रूणपोष,Endosperm
उद्यम,Enterprise
कीटविज्ञान,Entomology
पर्यावरण,Environment
"प्रकिण्व, एन्जाइम",Enzyme
दलपुंज कलमबंदी,Epicotyl grafting
"अधिपादप, एपिफाइट",Epiphyte
समानधारिता,Equity
उन्मूलन,Eradication
आवश्यक पोषक तत्व,Essential nutrients
"परिमापन, कूतना, आकलन",Estimation
पांडुरता,Etiolation
सुजननिक,Eugenic
मूल्यांकन,Evaluation
वाष्पनमापी,Evaporimeter
वाष्पन-वाष्पोत्सर्जन,Evapo-transpiration
सदाहरित क्रांति,Evergreen revolution
"सदाहरित, सदापर्णी",Evergreen
विकास,Evolution
उच्छेद करना,Excise
परिक्षय (उर्वरता),Exhaustion (fertility)
शोषण,Exploitation
"खोज, अन्वेषण",Exploration
"बहिर्बेधन, उत्सारण",Extrusion
आंख (गन्ना/आलू),Eye (sugercane/potato)
चिलगोजा,Edible pine
जिमीकंद,"Elephant foot, yam"
सफेदा,Eucalyptus
केंचुआ,Earthworm
कीट विज्ञानी,Entomologist
पर्यावरणविद्,Environmentalist
"कारक, घटक, उपादान, साधन",Factor
कारक उत्पादकता,Factor productivity
आढ़तिये का बट्टा,Factorage
क्रमगुणित अवरोध डिजाइन,Factorial block design
विकल्पी,Facultative
"पड़ती, पलिहर",Fallow
कुल,Family
प्रक्षेत्र मूल्यांकन,Farm appraisal
प्रक्षेत्र का बजट बनाना,Farm budgeting
कृषि व्यवसाय,Farm business
प्रक्षेत्र नियोजन,Farm planning
"किसान, कृषक",Farmer
"कृषि, खेती",Farming
संपट्टन,Fasciation
बहुप्रजनन,Fecundation
किण्वन,Fermentation
उर्वरता,Fertility
उर्वरक,Fertilizer
उर्वरक उपयोग दक्षता,Fertilizer use efficiency
रेशेदार,Fibrous
"खेत, क्षेत्र, स्थान",Field
मृदा जलधारिता,Field capacity
प्रक्षेत्र प्रदर्शन,Field demonstration
"स्थिरीकरण, यौगिकीकरण, निर्धारण",Fixation
"आप्लावन, अधिसिंचन",Flooding
प्रवाह आरेख,Flow diagram
खाद्य मान,Food value
चारा,Forage (fodder)
पूर्वानुमान,Forecasting
वन,Forest
वनरोपण,Forestation
"ताड़पर्ण, प्रपर्ण",Frond
तुषार रोधी,Frost resistant
"पाला, तुषार",Frost
"हिमशीतित, हिमीकृत",Frozen (fruit & vegetable)
फलन,Fructification
"फल पातन, फल का झड़ना",Fruit drop
फल बनना,Fruit-set (fruit setting)
"धूमन, धूम देना",Fumigation
कवकनाशी,Fungicide
कवकरोधी,Fungistatic
कवक,Fungus
"खूड़, सीता",Furow
"संलयन, संगलन",Fusion
रूआं,Fuzz
रोएंदार,Fuzzy
सौंफ,"Fennel, anise"
मेथी,Fenugreek
अंजीर,Fig
कंगनी,Finger millet
दावी,Fire-flame bush
पलाश,Flame of forest
फ्रेंच बीन,French bean
पिस्सू,Flea
लोमड़ी,Fox
फल मक्खी,Fruit fly
"वृक्ष व्रण, पिटिका",Gall (Hort)
"युग्मक, गैमीट",Gamete
"उद्यान, बाग",Garden
"पनसाल, जलमापी",Gauge (water)
जीन संग्रह,Gene bank
जीन टैगन,Gene tagging
वंशावली विज्ञान,Geneology
जीन मानचित्र,Genetic map
आनुवंशिकी,Genetics
"जीनोम, संजीन",Genome
संजीनी संग्रह,Genomic library
जीनोमिक्स,Genomics
जीनप्ररूपी,Genotype
"जीनी संरचना, जीन प्ररूप",Genotype
वंश,Genus
"जीनस, वंश",Genus
"रोगाणु, जर्म",Germ
रोगाणुनाशी,Germicide
अंकुरण,Germination
"जननद्रव्य, जर्मप्लाज्म",Germplasm
जिबरेलिक अम्ल,Gibberellic acid
ओटना,Ginning
तुष,Glume
"लसदार, ग्लूटिनी",Glutinous
ग्लाइकोलिसिस,Glycolysis
"नाइस, शैल",Gneiss
स्वर्णिम क्रांति,Golden revolution
"श्रेणीकरण, वर्गीकरण, स्तरीकरण",Grading
"कलमबंद पादप, कलमी पौधा",Grafted plant
कलम असंगत,Graft-incompatible
ग्रैना,Granna
कणिकायन,Granulation
हरी खाद,Green manure
हरित क्रांति,Green revolution
वृद्धि और परिवर्धन,Growth and development
"गोंद रोग, गोंदार्ति",Gummosis
भिन्नस्थ - उभयस्त्रीलिंगी,Gynodioecious
माजूफल,Gall nut
लहसुन,Garlic
जरबेरा,Gerbera
घरकिन,Gherkin
अदरक,Ginger
ग्लेडियोलस,Gladiolus
महकुवा,Goat weed (ageratum)
"ग्रेप फ्रूट, चकोतरा",Grapefruit
अंगूर,Grapes
मूंग,Green gram
भीमल,Grewia
मूंगफली,Groundnut
अमरूद,Guava
गिनी घास,Guinea grass
पीटिका कीट,Gall midge
टिड्ड़ा,Grass hopper
गंधी कीट,Gundhy bug
"प्रकृति, स्वभाव, रूपगुण, स्वरूप",Habit
"ओला, करकापात, करका",Hail
रोमिलवैच,Hairyvetch
लवणमृदोद्भिद्,Halophyte
हैरो,Harrow
