Kannada,Malayalam
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ,അഗ്രോബയോളജി
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന
ಕೃಷಿ ವಲಯ,അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്
ಕೃಚಾರಕ,അഗ്രോഫോറസ്ട്രി
ಕೃಷಿ ಶಾಸ್ತ್ರ,ങ്ങളോട്
ಕೃಷಿ ವಿಜ್ಞಾನ,അഗ്രോണമി
ಅಬ್ವಿಶರ,അഗ്രോപസ്റ്റോറൽ
ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್,കാർഷികസംരക്ഷണം
Agrostology,അഗ്രോസ്റ്റോസ്റ്റിയോളജി
ಕೃಪೆ,അഗ്രോട്ടിപ്പ്
ಗಾಳಿ ಸಸ್ಯ,എയർ പ്ലാന്റ്
ಅಕೋಚಿ ಮಣ್ಣು,അക്കിയോച്ചി മണ്ണ്
ಆಲ್ಬೋ,ആൽബിനിസം
ಆಲ್ಫಿಸೋಲ್ಸ್,ആൽഫിസോളുകൾ
ಪಾಚಿ,ആല്ഗകൾ
ಪಾಚಿಯ ಕಾಯಿಲೆ,ആൽഗൽ രോഗം
ಕ್ಷಾರ ನೀರು,ക്ഷാളി വെള്ളം
ಕ್ಷಾರೀಯ,ആൽക്കലൈൻ
ಇಳಿಜಾರು,അല്ലലേ
ಆಲಿನೋಕೆಮಿಕಲ್ಸ್,അല്ലോകെമിക്കലുകൾ
ಅನನುಕಣ,AllloMorph
ಅಲಲೋಪತಿ,നിയോവദാതി
ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್,ഓൺലൈൻ ക്രോപ്പിംഗ്
ನಿಯೋಜಕ,അലോക്കർപി
ಅಲೋಗಮಿ,അലോഗാമി
ಮಾಪಕ,അലറിരം
ಸೂತ್ರ,Allopolyplogid
ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್),Allosynapsis (Allowsyndesis)
ಪರ್ಯಾಯ ಬೇರಿಂಗ್,ഇതര ബെയറിംഗ്
ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ,ഇതര ഭൂമി ഉപയോഗം
ಸುತ್ತುವರಿಯುವ,ആംബിയന്റ്സ്
ಅಚಲ,സൗഹാർഭോഗം
ಅಮೀಟಾಸಿ,അമിറ്റോസിസ്
ಕಸಚುಗಾರ,അമിനിവൽക്കരണം
ಅಮೋನೀಕರಣ,അമ്മോണിഫിക്കേഷൻ
ಅಮೋನಿಗೆ ಮಾಡುವವ,അമോമോണിഫയർ
ಅಬ್ಬರಿಸು,അമോഫ്
ಉಭಯಮತ್ರ,ആംഫിമിക്സിസ്
ಉದ್ದವಾದ,ആംഫോടെക്
ಅನಾಬಾಲಿಸಂ,അനാബോളിസം
ಬಯೆರೋಲೆ,അയ്റോബ്
ಅನೆಲಾಯ್ಡ್,Aneuplogode
ಕೋನ ನೆಡುವುದು,ആംഗിൾ നടുക്കം
ಪಶುಸಂಗೋಪನೆ,മൃഗസംരക്ഷണം
ಪ್ರಾಣಿಗಳ ನಿರಾಕರಣೆ,മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ
ಅನಿಮೇಟ್ ಎನರ್ಜಿ,ആത്യന്തിക .ർജ്ജം
ಹದಮೆರಗಿ,Anisoplode
ವಾರ್ಷಿಕ ಸಸ್ಯ,വാർഷിക സസ്യം
ವಾರ್ಷಿಕ,ആണ്ടുതോറുമുള്ള
ಸ ೦ ಗೀತ,ആന്തീസിസ്
ಆಂಥ್ರಾಕ್ಸ್,ആന്ത്രാക്സ്
ಮಾನವಜನ್ಯದ ಅಂಶ,ആന്ത്രോപെനിക് ഘടകം
ಪ್ರತಿಜೀವಕ,ആന്റിബിയോസിസ്
ಪ್ರತಿಜೀವಕ,രോഗനാശിനി
ಪ್ರತಿವಿಷ,മറുമരുന്ന്
ಆವರಣಕಾರಕ,ആന്റിഓക്സിഡന്റുകൾ
ಪ್ರತಿಚರಣ,ആന്റിടോക്സിൻ
ಉಚ್ಚಾರಣಾ,അപര്യാഘാതം
ಮುನಸು,ആഫിഡ്
ಸುಲಿಯ ಮೊಗ್ಗು,അഗ്രമുദിനം
ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ,അഗ്ര ആധിപത്യം
ಅಪಿಕಲ್ಚರ್ (ಬೀ ಕೀಪಿಂಗ್),അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്)
ತಿಕ್ಕಲು,അപ്പോമിക്സിസ്
ಅಪಶೂನ್ಯತೆ,അപ്പോപ്ടോസിസ്
ಅನುಬಂಧ,അനുബന്ധം
ಜೀರ್ಣಕಾರಕವಾಗಿ,വിശപ്പ്
ಅನ್ವಯಿಕ,പ്രയോഗിച്ചു
ಜಲಚರಗಳು,അക്വാട്ടിക് കള
ಆಕ್ಷರ,അർബോറിയൽ
ಗುಂಡಿನ ಕವಚ,അർബോറൈസേഷൻ
ಪುರಾತತ್ವ-ಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು,ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ
ಪ್ರದೇಶದ ಅಂಕಿಅಂಶಗಳು,ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ
ಪ್ರದೇಶ,പദേശം
ಶುಷ್ಕ ಪರಿಸರ ವ್ಯವಸ್ಥೆ,വരണ്ട ആവാസവ്യവസ്ഥ
ಹದಮೆರಗಿ,വര്ഷ്ടിക്കുക
ಸುವಾಸನೆ,സൗരഭം
ಆರ್ಯ ಸಸ್ಯ,ആരോമാറ്റിക് പ്ലാന്റ്
ಆರೊಮ್ಯಾಟಿಕ್ ಅಕ್ಕಿ,ആരോമാറ്റിക് അരി
ಬಾಣ,അഴുക്കുചാല്
ಕಸ ರೋಗಿಗಳು,അശെപ്സിസ്
ಅಸೆಪ್ಟ್,അസെപ്ലെവ്
ಅಲೈಂಗಿಕ ಪ್ರಸಾರ,അസുഖകരമായ പ്രചരണം
ಪರಾಕ್ರಮ,അസേ
ಸ್ವಸಮಾನಗಳು,ആസ്തി
ಏಕೀಕರಣ,ഉറപ്പ്
ಸಂಘ,ചങ്ങാത്തം
ತಗ್ಗು,രേണിംഗന്റ്
ಕಸ ರೋಗ,അസിനാപ്സിസ്
ಅಟಾವ್ ವಾದ,Atawavism
ವ್ಯಭಿಚಾರಿ,ആലേറ്ററിജർ
ಕ್ಷೀಣತೆ,അട്രോഫി
ಸ್ವಯಂಚಾಲಿತ,ഓട്ടോഗാമി
ಆಟೊಲಿಸಿಸ್,ഓട്ടോലിസിസ്
ದಾಟುವಿಕೆ,യന്തവഹനം
ಸ್ವಯಂಚಾಲನ ಫಲಕ,ഓട്ടോപോളിപ്ലോയിഡ്
ಸಮಶೀತ,ഓക്സിൻസ്
AWN (ಬಿರುಗೂದಲುಗಳು),Awn (ബ്രിട്ട്)
ಬಾದು,ബദാം കായ്
ಅಡೆ,കറ്റാർ
ಹುಳಿ,അമരന്തസ്
ಅಮ್ಮ,ആംമി
ಅಂಜಾನ್ ಹುಲ್ಲು,അഞ്ജൻ പുല്ല്
ಆಧಿವಾತ,ആന്തറിയം
"ಅಯಾನ್ಲಾ, ಭಾರತೀಯ ಗೂಸ್ಬೆರ್ರಿ","ആരോള, ഇന്ത്യൻ നെല്ലിക്ക"
ಸೇಬು,ആപ്പിൾ
ಏಪ್ರಲಿ,ആപ്രിക്കോട്ട്
ಆರ್ಬಿಯಾನ್ ಜಾಸ್ಮಿನ್,Arbian ജാസ്മിൻ
ಅರೆನಗವ,Arcaunt
ಹಳ್ಳ,അർജുൻ
ಅಸ್ಫೊಟಿಡಾ,അസ്ഫോറ്റിഡ
ಬೂದಿ ಸೋರೆಕಾಯಿ,ആഷ് പൊറോട്ട
ಅಶೋಕ ಮರ,അശോക ട്രീ
ಆಶ್ಥಮಾ ವೀಡ್ (ಯುಫೋರ್ಬಿಯಾ),അഷെതർ കള (യൂഫോർബിയ)
ಶತಾವರಿ,ശതാവരിച്ചെടി
ಆವಕಾಡು,അവോക്കാഡോ
ಅಲ್ಫಾಲ್ಫಾ (ಲುಸೆರ್ನ್),പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ)
ಇರುವೆಗಳು,ഉറുമ്പുകൾ
ಗಿಡಹೇನುಗಳು,മുഞ്ഞ
ಸೈನ್ಯದ ಹುಳು,സൈനിക വേം
ಕೃಷಿ ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ,കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ
ಕೃಷಿ ವಿಸ್ತರಣಾವಾದಿ,കാർഷിക വിപുലീകരണവാദി
ಕೃಷಿ ವಿಜ್ಞಾನಿ,കാർഷിക ശാസ്ത്രജ്ഞൻ
ಕೃಷಿ ಎಂಜಿನಿಯರ್,കാർഷിക എഞ്ചിനീയർ
ಕೃಷಿ ವಿಜ್ಞಾನಿ,അഗ്രോബയോളജിസ്റ്റിക്
ಕೃಷಿವಾದಿ,അഗ്രോണമിസ്റ്റ്
ಕೃಷಿ ಭೌತ,Agrofysicst
ಪ್ರಾಣಿ ತಳಿಗಾರ,മൃഗങ്ങളുടെ ബ്രീഡർ
ಬ್ಯಾಸಿಲಸ್ ವೈರಸ್,ബാസിലസ് വൈറസ്
ಗಾಡಿ,ബാസിലസ്
ಬ್ಯಾಕ್ಟೀರಿಯಾ,ബാക്ടീരിയ
ಬ್ಯಾಕ್ಟೀರಿಯೊಕ್ಸಿನ್,ബാക്ടറോമോക്സിൻ
ಬಜಾಸ್ಸೆ,ബാഗസ്
ಸಮತೋಲನ,ബാലൻസ് ഷീറ്റ്
ಸಮತೋಲನೀಕರಣ,സമതുലിതമായ ബീജസങ്കലനം
ಗಿರಣಿ ರೇಖೆ,ബാർ ഡയഗ്രം
ತೊಗಟೆ,കുര
ಮಾಪಕ,ബാരോമീമീറ്റർ
ಬಂಜೆ,തരിശായ
ಬೇನೆ,അടിത്തറ
ಜಲಾನಯನ ಪ್ರದೇಶ,പരന്നപാതം
ಸ್ವಲ್ಪ,അടിസ്ഥാനപരമായ
ಬಾಸದ,ബസിസ്റ്റർനം
ಕೊಂಬೆ ಮಾನ್ಸುನ್,ബേ മൺസൂൺ
ಹೊಳಪಿನ,വഹിക്കുന്ന പ്ലാന്റ്
ಹಾಸಿಗೆ,കിടക്ക
ದಟ್ಟಕಾರ,അടിദേഡർ
ಹಾಸಿಗೆ,ശയ്യോപകരണങ്ങള്
ಬೀಟ್ ಮೊಲಾಸಸ್,ബീറ്റ്റൂട്ട് മോളസ്
ಬೆನ್ನೆಲುಬು,മണിനാദം
ಪಟ್ಟಿಗೆ,അരപ്പട്ട
ಲಾಭ-ವೆಚ್ಚ ವಿಶ್ಲೇಷಣೆ,ആനുകൂല്യ-വില വിശകലനം
ಪಕ್ಷಪಾತ (ಮಾದರಿ),പക്ഷപാതപരമായ (സാമ്പിൾ)
ದ್ವೈವಾರ್ಷಿಕ,ബിനാത്തില്
ದ್ವಿಪದೀಯ,ബിനോമിയൽ
ಜೈವಿಕ ವ್ಯಾಪ್ತಿಯ,ബയോജന്റ്
ಜೈ ಜೈವಿಕ ಗ್ರಂಥಾಲಯ,ബയോക്രിമേറ്റ്
ಜೈವಿಕ ಕರ್ತವ್ಯ,ബയോ എനെർജി
ಜೈವಿಕಶಾಸ್ತ್ರ,ബയോണോമിക്സ്
ಜೈವಿಕ ರಿಯಾಯಿತಿ,BIOREACTOR
ಜೀವಗೋಳ,ബയോസ്ഫിയർ
ಜೈವಿಕ,ഉപകാരന്
ಬಯೋಟೈತನ,ബയോട്ടിവൈപ്പ്
ದ್ವಿಲಿಂಗಿ,ബൈസെക്ഷ്വൽ
ಚಿರತೆ,ബ്ലാഞ്ചിംഗ്
ಹರಡು,സ്ഫോടനം
ಮಿಶ್ರಣ,സങ്കലനം
ಗದ್ದಲ,വരണ്ടതാണ
ಗುಳ್ಳೆ,പൊള്ളല്
ನೀಲಿ ಕ್ರಾಂತಿ,നീല വിപ്ലവം
ಕೆಳಗಿನ ಶಾಖ ಕೊಠಡಿ,ചുവടെ ചൂട് ചേമ്പർ
ಕೆಳಗಿನ ಶಾಖ ತಂತ್ರ,ചുവടെയുള്ള താപ രീതി
ಹೊಟ್ಟು,തണ്ണീര്
ಕವಲೊಡೆ,ശാചിനമായ
ಸಣ್ಣ ಕೊಂಬೆ,ലഘുലേഖ
ತಳಿ,ഇനം
ತಳಿ,പ്രജനനം
ಕಂಗುರು,തിളങ്ങുന്ന
ಸಂಸಾರ,കുഞ്ഞുങ്ങള്
ಮೊಳಕೆಯ,വളർന്നുകാരി
ಬಜೆ,വരവ്ചെലവ് മതിപ്പ്
ಬಫಲು,ബഫർ
ಬಟಗು,ബൾബ്
ಚೂರುಚೂರಾಗಿ,മുണ്ടു
ಉಪ-ಉತ್ಪನ್ನ,ഉപോൽപ്പന്നം
ಬಾಬುಲ್ ಅಕೇಶಿಯ,ബാബുൾ അക്കേഷ്യ
ಬೇಬಿ ಕಾರ್ನ್,കുഞ്ഞ് ധാന്യം
ಬುದ್ದಿ,ബാലിനെ
ಬಾಯಿ,ബില്ലാൻ
ಕಸಕ,ബൽസം
ಬಿದಿರು,മുള
ಬಾಳೆಹಣ್ಣು,വാഴപ്പഴം
ಆಲದ ಮರ,ബനിയൻ ട്രീ
ಬಾರ್ಲಿ,യവം
ಬಾರ್ನ್ಯಾರ್ಡ್ ರಾಗಿ,ബാർയ്യാർഡ് മില്ലറ്റ്
ತುಳಸಿ,തുളക്ടി
ಬಾಸ್ಟರ್ಡ್ ಸೀಡರ್,ബാസ്റ്റാർഡ് ദേവദാരു
ಬಾಸ್ಟರ್ಡ್ ಮೈರೋಬಾಲನ್,ബാസ്റ്റാർഡ് മൈറോബലൻ
ಮಾಟ,ബവായീനിയ
ಕೊಲ್ಲಿ ಬೆರ್ರಿ,ബേ ബെറി
ಹುರುಳಿ,അമര
ಬೀಟ್,മധുരക്കിഴങ്ങുചെടി
ಬೆಲ್ಲ,ബെല്ലഡോണ
ಗಡಿ,മുളകു
ಗಡಿ,പതുക്കമുള്ള
ಬಿಲ್ಲೆ,മുയേറ്റ
ಬಿಲಿಂಬಿ,ബിലിമ്പി
ಹಾಗಲಕಾಯಿ,പാവയ്ക്ക
ಕಪ್ಪು ಗ್ರಾಂ,കറുത്ത ഗ്രാം
ಕಪ್ಪು ನೈಟ್ಶೇಡ್,കറുത്ത നൈറ്റ്ഷെയ്ഡ്
ಬಾಗ್‌ನ್ವಿಲ್ಲಾ,ബ g ഗൻവില്ല
ಬಾಟಲಿ ಕುಂಚ,കുപ്പി ബ്രഷ്
ಬಾಟಲಿ ಸೋರೆ,ബോട്ടിൽ പൊറോട്ട
ಬಾಕ್ಸ್ ಮರ,ബോക്സ് മരം
ಬ್ರೆಡ್ ಹಣ್ಣು,ബ്രെഡ് ഫലം
ವಧುವಿನ,വധുവിന്റെ ക്രീപ്പർ
ಬಿಲ್ಲಾ,വശ്ശീല
ವಿಶಾಲ ಹುರುಳಿ,വിശാലമായ ബീൻ
ಕೋಸುಗಡ್ಡೆ,ബ്രോക്കോളി
ಬ್ರಸೆಲ್ ಮೊಳಕೆ,ബ്രസ്സൽസ് മുള
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯೆಟ್,താനിന്നു
ದೆವ್ವ,ബദ്ധ
ದಳ,ബാൻഡികാൂട്ട്
ಕರಾರು,കരടി
ಜೀರುಂಡೆ,വണ്ട്
ಗುಳ್ಳೆ ಜೀರುಂಡೆ,ബ്ലിസ്റ്റർ വണ്ട്
ನೀಲಿ ಬುಲ್,നീല കാള
ಬಾಲ್ ಹುಳು,ബോൾ വേം
ಚಿಟ್ಟೆ,ചിതശലഭം
ಬ್ಯಾಕ್ಟೀರಿಯವಿಜ್ಞಾನಿ,ബാക്ടീരിയോളജിസ്റ്റ്
ಜೈವಿಕ ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ,ബയോകെമിസ്റ്റ്
ಜೀವಶಾಸ್ತ್ರಜ್ಞ,ജീവശാസ്തജ്ഞന്
ಜೈವಿಕ ತಂತ್ರಜ್ಞಾನಶಾಸ್ತ್ರಜ್ಞ,ബയോടെക്നോളജിക്
ಸಸ್ಯಶಾಸ್ತ್ರಜ್ಞ,സസ്യശാസ്ത്രജ്ഞൻ
ಸಿ ತೇವಾಂಶ ವಿಶಿಷ್ಟ ವಕ್ರರೇಖೆ,സി ഈർപ്പം സ്വഭാവ വക്ര
ಕೇಕು,കേയ്ക്ക്
ಕ್ಯಾಲ್ಕೇರಿಯ,കണക്കാക്കാന്വേമികമായ
ಲೆಕ್ಕಪರಿಶೋಧನೆ,കണക്കുകഷ്ടം
ಫಾಸ್ಫೇಟ್ನ ಲೆಕ್ಕಾಚಾರ,ഫോസ്ഫേറ്റിന്റെ കാൽനികം
ಗಲಾಟೆ,കൗണം
ನಮ್ಮನ್ನು ಕರೆ ಮಾಡಿ,ഞങ്ങളെ വിളിക്കൂ
ಕಣಿವೆ,കാലിക്സ്
ಕ್ಯಾಲಿಕ್ಸ್ ಅಂತ್ಯ,കാലിക്സ്-അവസാനം
ಕ್ಯಾಂಬಿಯಂ,കാമ്പി
ಗೋಪುರ,കാൻകെറർ
ಡಬ್ಬಿ,കാനിംഗ്
ಮೇಲಾವರಣ,മേലാപ്പ്
ಬಂಡವಾಳ,തലസ്ഥാനം
ರಭಸ,പിസേരിഫിക്കേഷൻ
ಬಿರಡೆ,കാപ്സ്യൂൾ
ಇಂಗಾಲದ,കാർബണേറ്റഡ്
ಇಂಗಾಲೀಕರಣ,കാർബണലൈസേഷൻ
ಗಡಿ,പരല്പം
ಗಾಡಿ,കാർപസ്
ಬಿಂಚು,കാസ്റ്റിംഗ്
ಕಟಾಬೋಲಿಸಂ,കാറ്റബോളിസം
ವೇಗವರ್ಧನೆ,കവചലിസ്
ಮರಿಹುಳು,ചിതശലഭപ്പുഴു
ಸಿ-ಡಿಎನ್‌ಎ ಗ್ರಂಥಾಲಯ,സി-ഡിഎൻഎ ലൈബ്രറി
ಚಾವಣಿಯ,മച്ച്
ಕೋಶ,കോശം
ಕೇಂದ್ರ ನಾಯಕ ವ್ಯವಸ್ಥೆ,കേന്ദ്ര നേതാവ് സംവിധാനം
ಕೇಂದ್ರೀಯ,ഒരിനംവീപ്പ്
ಕೇಂದ್ರೀಕರಣ,സെൻറ്ഫ്യൂഗേഷൻ
ಕೇಂದ್ರಾಪಗಾಮಿ,കേന്ദ്രീകൃത
ಕೇಂದ್ರ,സെൻട്രിയോൾ
ಮಧ್ಯಭಾಗದ,നൂന്കോജാനിക്
ಮಧ್ಯಮ ಜನಕ,നൂനിശ്ചയമുള്ള
ಸರ್ಕಸ್,കടല്ചലട്
ಏಕದಳ,ധാനം
ಪ್ರಮಾಣೀಕರಣ,സാക്ഷപ്പെടുത്തല്
ಬೀಜ,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
ಚಾವಟಿ,ചാട്ട
ದನಗಳು,ചാലസ
ರಾಸಾಯನಿಕತೆ,പരോപപാതം
ಚಿರತೆ,ചിയാസ്മ
ತಣ್ಣಗಾಗುವ ಸಮಯ,ചില്ലിംഗ് സമയം
ತಣ್ಣಗಾಗುವುದು,ചില്ലിംഗ് പരിക്ക്
ಚಿಮಿಯ,ചിമേര
ಕ್ಲೋರಾಂಥಿ,ക്ലോറോറാന്തി
ಚೂರು,ക്ലോറോഫിൽ
ಕ್ಲೋರೋಸಿಸ್,ക്ലോറോസിസ്
ಕ್ಲೋರಸ್ ಶಾಸ್ತ್ರ,ക്ലോറോളജി
ವರ್ಣರಂಜಿತ,ക്രോമാറ്റിഡ്
ಕ್ರೊಮ್ಯಾಟಿನ್,ക്രോമാറ്റിൻ
ವರ್ಣರೇಖನ,ക്രോമാറ്റോഗ്രാഫി
ವರ್ಣರಂಗೀಕರಣ,ക്രോമാറ്റോളിസിസ്
ವರ್ಣಚಿತ್ರ,ക്രോമസെന്റ്റന്റ്
ವರ್ಣಗುವನ,ക്രോമോജെനിസിസ്
ವರ್ಣರಂಜಿತ,ക്രോമോപ്രോട്ടൻ
ವರ್ಣತಂತು,ക്രോമസോം
ದೀರ್ಘಕಾಲದ,വിട്ടുമാറാത്ത
ನಲಿದ,സിട്രഞ്ച്
ಕ್ಲಾಡೋಡ್,പചാരു
ವರ್ಗೀಕರಣ,വര്ഗീകരണം
ಮಣ್ಣಿನ,കളിമണ്ണ്
ಸ್ವಚ್ aning ಗೊಳಿಸುವುದು,ശുചിയാക്കല്
ಕ್ಲಿಸ್ಟೊಗಮಿ,Clistogay
ಕ್ಲೈಮ್ಯಾಕ್ಟರಿಕ್ ಹಣ್ಣು,ക്ലൈമാക്രിക് ഫ്രൂട്ട്
ವಶ,കാലാവസ്ഥ
ಹವಾಮಾನಶಾಸ್ತ್ರ,കാലാവസ്ഥയുള്ള
ಹಸುರು,ക്ലിപ്പര്
ಹೆಪ್ಪುಗಟ್ಟಿಸು,വലം
ತದ್ರೂಪಿ,ക്ലോൺ
ಮೋಡ,മേഘം
ಕಡು,തോപ്പ്
ಚೂರು,ക്ലസ്റ്റർ
ಒರಟಾದ,പരുക്കനായ
ಕೋಟ್ (ಬೀಜ),കോട്ട് (വിത്ത്)
ಕೋಕೂನ್,കീടകോശം
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ,Coenzyme
ಒಗ್ಗಟ್ಟು,ഏകീകരണം
ಗುಣ,കയർ
ಕೋಲೀರರಿ iz ಾ,കൊളോറൈസ
ಕತ್ತುಪಟ್ಟಿ,കുപ്പായക്കഴുത്ത്
ಕೊಲಾಯ್ಡ್ (ಮಣ್ಣು),കൊളോയിഡ് (മണ്ണ്)
ಕೊಲ್ಯುಮೆಲ್ಲಾ,കൊളംറ്റെല്ല
ಕಾಲಮ್,കോളം
ಆರಂಭದ ಆರಂಭ,ആമേനസം
ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್,വാണിജ്യ ബാങ്ക്
ಸರಕು,ചരക്ക്
ಸಮುದಾಯ,സമൂഹം
ಸಂಕೋಚನ (ಮಣ್ಣಿನ),കോംപാക്ഷൻ (മണ്ണിന്റെ)
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,അനുയോജ്യത
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,അനുയോജ്യത
ಪರಿಹಾರ,നഷ്ടപരിഹാരം
ಸ್ಪರ್ಧಾತ್ಮಕ ಸಂವಹನ,മത്സര ഇടപെടൽ
ಪೂರಕ ಬೆಳೆ,പൂരക വിള
ಸಂಕೀರ್ಣ,കോംപ്ലമായ
ಅಂಶ,ഘടകം
ಸಂಯೋಜನೆ,രചന
ಕಾಂಪೋಸ್ಟ್,കമ്പോസ്റ്റ്
ಚಕ್ರಬಡ್ಡಿ,കൂട്ടുപലിശ
ಗಣನೆ,കണക്കുകൂട്ടൽ
ಕಂಪ್ಯೂಟರ್,കന്വൂട്ടര്
ಏಕಾಗ್ರತೆ,ഏകാഗത
