Malayalam,English
യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്,Actual data transfer rate
യഥാർത്ഥ ദശാംശസ്ഥാനം,Actual decimal point
യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം),Actual instruction (=effective instruction)
യഥാർത്ഥ കീ,Actual key
യഥാർത്ഥ സമയം,Actual time
യഥാർത്ഥ ജോലി സമയം,Actual work time
ആരംഭിക്കുന്ന സിഗ്നൽ,Actuating signal
പൊരുത്തപ്പെടലി,Adaptability
അഡാപ്റ്റർ,Adapter
അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ,Adaptive channel allocation
അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ,Adaptive integration
അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ,Adaptive transversal equalizer
എൻട്രി ചേർത്തു,Added entry
കൂട്ടിച്ചേര്ക്കുക,Addend
ആംഗം,Adder
എ ഷട്രക്റ്റർ,Adder subtracter
ഫയൽ ചേർക്കുക,Add file
അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം),Additional character (= special character)
ബഹുമതി,Addition recorder
കൂട്ടിച്ചേർക്കലാ പട്ടിക,Addition table
അഡിറ്റീവ് ആട്രിബ്യൂട്ട്,Additive attribute
മോഡ് ചേർക്കുക,Add mode
പ്രവർത്തനം ചേർക്കുക,Add operation
അഭിസംബോധന ചെയ്യുക,Address
വിലാസ നടപടി,Addressability measure
അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം,Addressable horizontal position
വിലാസ പോയിന്റ്,Addressable point
അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം,Addressable position
വിലാസ രജിസ്റ്റർ,Addressable register
വിലാസ സംഭരണം,Addressable storage
അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം,Addressable vertical position
വിലാസ ബസ്,Address bus
വിലാസ കോഡ്,Address code
വിലാസ താരതമ്യക്കാരൻ,Address comparator
വിലാസ കണക്കുകൂട്ടൽ,Address computation
വിലാസ സ്ഥിരത,Address constant
വിലാസ പരിവർത്തനം,Address conversion
വിലാസ ഡാറ്റ,Address data
മെമ്മറി അഭിസംബോധന ചെയ്തു,Addressed memory
വിലാസ ഫലപ്രദമാണ്,Address effective
വിലാസ ഫീൽഡ്,Address field
വിലാസ ഫോർമാറ്റ്,Address format
വിലാസ സ contry ജന്യ പ്രോഗ്രാം,Address free program
അഭിസംബോധന,Addressing
"അഭിസംബോധന
 കഥാപാതം","Addressing
 Character"
അഭിസംബോധന ഇന്ററപ്റ്റ്,Addressing interrupt
വിലാസം ലൂപ്പ്,Addressing loop
വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു,Addressing virtual memory
വിലാസം ഇന്റർലേസിംഗ്,Address interlacing
വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്,Addressless instruction format
വിലാസ ലൈൻ,Address line
വിലാസ മാപ്പിംഗ്,Address mapping
വിലാസ അടയാളം,Address mark
വിലാസ പരിഷ്ക്കരണം,Address modification
വിലാസ ഭാഗം,Address part
വിലാസം പോയിന്റർ,Address pointer
വിലാസ രജിസ്റ്റർ,Address register
വിലാസ സിഗ്നൽ,Address signal
വിലാസ വലുപ്പം,Address size
വിലാസ ഇടം,Address space
വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ,Address space identifier
വിലാസ സ്റ്റോപ്പ്,Address stop
വിലാസ ട്രെയ്സ്,Address trace
വിലാസ ട്രാക്ക്,Address track
വിവർത്തനം വിവർത്തനം ചെയ്യുക,Address translation
വിലാസ പരിഭാഷകന്,Address translator
ചേർക്കുക-കുറയ്ക്കുക സമയം,Add-subtract time
സമയം ചേർക്കുക,Add time
വാര്ത്താവകം,Adjacency
അഡ്ജഞ്ചൻസിൻസ് ഘടന,Adjacency structure
തൊട്ടടുത്തുള്ള ചാനൽ,Adjacent channel
അടുത്തുള്ള ഡൊമെയ്ൻ,Adjacent domain
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,Adjacent matrix
തൊട്ടടുത്തുള്ള നോഡ്,Adjacent node
തൊട്ടടുത്തുള്ള സുബരിയ,Adjacent subarea
കസ്റ്റേഴ്സ് (സിസ്റ്റം),Adjoint (system)
കമപ്പെടുത്തുക,Adjust
ക്രമീകരിക്കാവുന്ന പരിധി,Adjustable extent
ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക,Adjust text mode
അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്,Administrative data processing
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,Administrative operation
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ,Administrative operator
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ,Administrative operator station
അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം,Administrative support system
നൂതന ആശയവിനിമയ സേവനം,Advanced communication service
വിപുലമായ വിവര സിസ്റ്റം,Advanced information system
വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ,Advanced optical character reader
വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ,Advanced scientific computer
ഏരിയൽ,Aerial
ആകെത്തുകയായുള്ള,Aggregate
മൊത്തം എക്സ്പ്രഷൻ,Aggregate expression
ലക്ഷ്യമിടുന്നു,Aiming circle
ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്),Aiming field (= aiming symbol)
എഡിയൽ ചിഹ്നം,Aiming symbol
എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം,Airborne computer system
ബീജഗണിത ഐജൻവാലു പ്രശ്നം,Algebraic eigenvalue problem
"ബീജഗണിത
 സംയോജനം","Algebraic
 Integration"
ബീജഗണിത ഭാഷ,Algebraic language
ബീജഗണിത കൃത്രിമത്വം,Algebraic manipulation
ബീജഗണിത കൃത്രിമ ഭാഷ,Algebraic manipulation language
ബീജഗണിത ഓറിയന്റഡ് ഭാഷ,Algebraic oriented language
ബീജഗണിത മാറ്റം,Algebraic shift
ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ,Algebraic sign convention
അൽഗോൾ,Algol
അൽഗോൾ സവിശേഷത,Algol feature
അൽഗോൾ പ്രോഗ്രാമിംഗ്,Algol Programming
അൽഗോരിതം,Algorithm
അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ,Algorithm associative language
അൽഗോരിതം വർഗ്ഗീകരണം,Algorithm classification
അൽഗോരിതം സങ്കീർണ്ണത,Algorithm complexity
അൽഗോരിതം കേസബിലിറ്റി,Algorithm computability
അൽഗോരിത്ത്മിക് വിശകലനം,Algorithmic analysis
അൽഗോരിത്തിസ് സമീപനം,Algorithmic approach
അൽഗോറിത്ത്മിക് ഭാഷ,Algorithmic language
അൽഗോരിഥമ്മിക് പതിവ്,Algorithmic routine
അൽഗോരിതംസിക് സിദ്ധാന്തം,Algorithmic theory
അപരാഭിധാനം,Alias
അപരനാത്മകം,Aliasing
അപരനാമം (= ഇതര പേര്),Alias name (= alternative name)
വിന്യാപകമായ,Alignment
നീക്കിവയ്ക്കുക,Allocate
അലോക്കേഷൻ ഘടന,Allocation structure
എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും,All-purpose computer
അക്ഷരമാല പ്രതീകം,Alphabetic character
അക്ഷരമാല പ്രതീക സെറ്റ്,Alphabetic character set
അക്ഷരമാല പ്രതീക സബ്സെറ്റ്,Alphabetic character subset
അക്ഷരമാല കോഡ്,Alphabetic code
അക്ഷരമാല മാറ്റം,Alphabetic shift
അക്ഷരമാല സ്ട്രിംഗ്,Alphabetic string
അക്ഷരമാല വാക്ക്,Alphabetic word
അക്ഷരമാലാളം,Alphabetization
ആഫറാമോമെട്രിക്സ്,Alphageometrics
ആഫളാചിക്,Alphameric
ആൽഫമോസയ്ക്ക്,Alphamosaic
ആൽഫാന്യൂമെറിക്,Alphanumeric
ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം,Alphanumerical keyboard device
ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്,Alphanumeric character set
ആൽഫാന്യൂമെറിക് കോഡ്,Alphanumeric code
ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്,Alphanumeric coded character set
ആൽഫാന്യൂമെറിക് ഡാറ്റ,Alphanumeric data
ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം,Alphanumeric display device
ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം,Alphanumeric edited character
ആൽഫാന്യൂമെറിക് ഫീൽഡ്,Alphanumeric field
ആൽഫാന്യൂമെറിക് നിർദ്ദേശം,Alphanumeric instruction
ആൽഫാന്യൂമെറിക് കീബോർഡ്,Alphanumeric keyboard
ആൽഫാന്യൂമെറിക് തരം,Alphanumeric sort
ആൽഫാന്യൂമെറിക് സംഭരണം,Alphanumeric storage
മാറ്റം വരുത്തുന്നതിന് മെമ്മറി,Alterable memory
മാറ്റങ്ങൾ സ്വിച്ച്,Alteration switch
മാറ്റം,Altering
മാറ്റ മോഡ്,Alter mode
ഇതര വീണ്ടെടുക്കൽ,Alternate recovery
ഇതര റൂട്ട്,Alternate route
ഇതര റൂട്ടിംഗ്,Alternate routing
ഇതര ട്രാക്ക്,Alternate track
ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം),Alternation (= OR operation)
ഇതര ആട്രിബ്യൂട്ട്,Alternative attribute
"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)",Alternative denial (= NOT-AND operation)
അവ്യക്തത പിശക്,Ambiguity error
അവ്യക്തമായ റഫറൻസ്,Ambiguous reference
അനാലോഗ്,Analog
അനലോഗ് അഡെർ,Analog adder
അനലോഗ് ചാനൽ,Analog channel
അനലോഗ് കമ്പ്യൂട്ടർ,Analog computer
അനലോഗ് കൺവെർട്ടർ,Analog converter
അനലോഗ് ഡാറ്റ,Analog data
അനലോഗ് ഡിവൈഡർ,Analog divider
അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ,Analog facility terminal
"അനലോഗ് ഫംഗ്ഷൻ
 വൈദുതോല്പാദനയന്തം","Analog function
 Generator"
അനലോഗ് സംയോജനം,Analog integration
അനലോഗ് ഗുണിതം,Analog multiplier
അനലോഗ് പ്രോഗ്രാമിംഗ്,Analog programming
അനലോഗ് സ്കെയിലിംഗ്,Analog scaling
അനലോഗ് സിഗ്നൽ,Analog signal
അനലോഗ് സിമുലേഷൻ,Analog simulation
അനലോഗ് സ്വിച്ച്,Analog switch
അനലോഗ് സിസ്റ്റം,Analog system
"ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 കൺവെർട്ടർ","Analog to digital
 Converter"
"ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 എൻകോഡർ","Analog to digital
 Encoder"
അനലോഗ് ട്രാൻസ്മിഷൻ,Analog transmission
അനലോഗ് തരം,Analog type
വിശകലന ബ്ലോക്ക്,Analysis block
വിശകലന മോഡ്,Analysis mode
അനലിറ്റിക്കൽ എഞ്ചിൻ,Analytical engine
പൂർവ്വിക ചുമതല,Ancestral task
അനുബന്ധ ഉപകരണങ്ങൾ,Ancillary equipment
ഒപ്പം,AND
സർക്യൂട്ട്,AND circuit
ഘടകവും,AND element
ഗേറ്റിലും,AND gate
മാസ്കിംഗ്,AND masking
പ്രവർത്തനമല്ല (= ഒഴിവാക്കൽ,AND NOT operation (=exclusion
പ്രവർത്തനവും,AND operation
അനെക്സ് മെമ്മറി,Annex memory
വ്യാഖ്യാനിലും,Annotation
Annnuniator,Annunciator
ഉത്തരം തിരികെ,Answer back
ഉത്തരം കാലതാമസം,Answer delay
ഉത്തരം നൽകുന്നു,Answering time
ഉത്തര വിളക്ക്,Answer lamp
ഉത്തരം പട്ടിക,Answer list
ഉത്തരം മാത്രം,Answer only
പ്രതീക്ഷ മോഡ്,Anticipation mode
മുൻകൂട്ടി ബഫറിംഗ്,Anticipatory buffering
മുൻകൂട്ടി കാരി,Anticipatory carry
മുൻകൂട്ടി പങ്കിടൽ,Anticipatory paging
ആന്റിക്കോസിൻസ് പ്രവർത്തനം,Anticoincidence operation
Anticoicient ഘടകം,Anticoincident element
അപ്രൈയോഡിക് ആന്റിന,Aperiodic antenna
അപ്പർച്ചർ കാർഡ്,Aperture card
അപ്പർച്ചർ കോഡ്,Aperture code
അപ്പർച്ചർ സമയം,Aperture time
അനുബന്ധം,Appendage
അനുബന്ധ ചുമതല,Appendage task
അപ്ലിക്കേഷൻ ഡെവലപ്പർ,Application developer
ആപ്ലിക്കേഷൻ ലെയർ,Application layer
ആപ്ലിക്കേഷൻ ഓറിയന്റഡ് ഭാഷ,Application oriented language
ആപ്ലിക്കേഷൻ പാക്കേജ്,Application package
അപ്ലിക്കേഷൻ പ്രോഗ്രാം,Application program
അപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,Application programming
അപേക്ഷ ആവശ്യമായ ഭാഷ,Application required language
അപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,Application software
പേഷൻ,Applique
ഏകദേശ സിദ്ധാന്തം,Approximation theory
അനിയന്ത്രിതമായ പ്രവേശനം,Arbitrary access
അനിയന്ത്രിതമായ ശ്രേണി കമ്പ്യൂട്ടർ,Arbitrary sequence computer
മാദ്ധസ്ഥം,Arbitration
വാസ്തുവിദ,Architecture
ശേഖരം,Archiving
ഏരിയ കോഡ്,Area code
ഏരിയ തിരയൽ,Area search
ഏരിയ കൈമാറ്റം,Area transfer
ഏരിയ വേരിയബിൾ,Area variable
വാദം,Argument
വാദം വിലാസം,Argument address
ആർദ്ര ലിസ്റ്റ്,Argument list
അരിറ്റെറ്റിക്കൽ നിർദ്ദേശം,Arithmetical instruction
"അരിത്മെറ്റിക്, ലോജിക് യൂണിറ്റ്",Arithmetic and logic unit
അരിത്മെറ്റിക് അസൈൻമെന്റ് സ്റ്റേറ്റ്മെന്റ്,Arithmetic assignment statement
ഗണിത പരിശോധന,Arithmetic check
അരിത്മെറ്റിക് സ്ഥിരാങ്കം,Arithmetic constant
അരിത്മെറ്റിക് പരിവർത്തനം,Arithmetic conversion
അരിത്മെറ്റിക് ഡാറ്റ,Arithmetic data
ഗണിത അപവാദം,Arithmetic exception
അരിത്മെറ്റിക് എക്സ്പ്രഷൻ,Arithmetic expression
അരിത്മെറ്റിക് നിശ്ചിത പോയിന്റ്,Arithmetic fixed point
അരിത്മെറ്റിക് ശ്രേണി,Arithmetic hierarchy
പ്രസ്താവനയാണെങ്കിൽ അരിത്മെറ്റിക്,Arithmetic IF statement
അരിത്മെറ്റിക് ലോജിക്,Arithmetic logic
അരിത്മെറ്റിക് ലോജിക് യൂണിറ്റ്,Arithmetic logic unit
അരിത്മെറ്റിക് പ്രവർത്തനം,Arithmetic operation
അരിത്മെറ്റിക് ഓപ്പറേറ്റർ,Arithmetic operator
അരിത്മെറ്റിക് ഓവർഫ്ലോ,Arithmetic overflow
അരിത്മെറ്റിക് പിക്ചർ ഡാറ്റ,Arithmetic picture data
ഗണിത മുൻഗണന,Arithmetic precedence
അരിത്മെറ്റിക് പ്രൈമറി,Arithmetic primary
അരിത്മെറ്റിക് രജിസ്റ്റർ,Arithmetic register
അരിത്മെറ്റിക് ബന്ധം,Arithmetic relation
അരിത്മെറ്റിക് സ്കാൻ,Arithmetic scan
അരിത്മെറ്റിക് വിഭാഗം,Arithmetic section
അരിത്മെറ്റിക് ഷിഫ്റ്റ്,Arithmetic shift
അരിത്മെറ്റിക് ഷിഫ്റ്റിംഗ്,Arithmetic shifting
ഗണിത പ്രസ്താവന,Arithmetic statement
അരിത്മെറ്റിക് ടേം,Arithmetic term
അരിത്മെറ്റിക് അണ്ടർഫ്ലോ,Arithmetic underflow
അരിത്മെറ്റിക് യൂണിറ്റ്,Arithmetic unit
ശേണി,Array
അറേ ബന്ധിത,Array bound
അറേ കമ്പ്യൂട്ടർ,Array computer
അറേ അളവ്,Array dimension
അറേ ഘടകം,Array element
ശ്രമരീതി,Array expression
അറേ പേര്,Array name
ഘടനകളുടെ നിര,Array of structures
അറേ പ്രിന്റിംഗ്,Array printing
അറേ പ്രോസസ്സിംഗ്,Array processing
അറേ പ്രോസസർ,Array processor
ആർട്ടിക്കേഷൻ പോയിന്റ്,Articulation point
കൃത്രിമ കോഗ്നിഷൻ,Artificial cognition
നിർമ്മിത ബുദ്ധി,Artificial intelligence
കൃത്രിമ ഭാഷ,Artificial language
കൃത്രിമ വേരിയബിൾ,Artificial variable
ആർട്സ് ആപ്ലിക്കേഷൻ ഡാറ്റ ബാങ്ക്,Arts application data bank
ആർട്സ് ആപ്ലിക്കേഷൻ സംഗീതം,Arts application music
ആർട്സ് ആപ്ലിക്കേഷൻ പാറ്റേൺ തലമുറ,Arts application pattern generation
ആസര്ണം,Ascender
ആരോഹണം അടുക്കുക,Ascending sort
Alcyly,ASCIL
ASCII നിയന്ത്രണ പ്രതീകം,ASCII control character
ASCII കീ ബോർഡ്,ASCII key board
വശം,Aspect
വശം,Aspect and
സംയോജിപ്പിക്കുക,Assemble
ഒരുമിച്ചുകൂട്ടിയ ഉത്ഭവം,Assembled origin
ദൈർഘ്യം കൂടിച്ചേർന്നു,Assemble duration
അസംബ്ലി,Assembler
അസംബ്ലിലർ നിർദ്ദേശം,Assembler directive
അസംബ്ലർ സൗകര്യം,Assembler facility
അസംബ്ലിലർ ഭാഷ,Assembler language
കൂട്ടിച്ചേർക്കുന്നു,Assembling
ഒത്തുചേരൽ ഘട്ടം,Assembling phase
സമയം ഒത്തുചേരുന്നു,Assembling time
നിയമനിര്മ്മാണസഭ,Assembly
നിയമസഭാ ഭാഷ,Assembly language
നിയമസഭാ ഭാഷ പ്രോഗ്രാമിംഗ്,Assembly language programming
അസംബ്ലി ഭാഷാ സോഫ്റ്റ്വെയർ വഴക്കം,Assembly language software flexibility
നിയമസഭാ പട്ടിക,Assembly listing
നിയമസഭാ ഘട്ടം,Assembly phase
നിയമസഭ,Assembly routine
നിയമസഭാലം,Assembly time
നിയമസഭാസം,Assembly unit
അസൈൻമെന്റ് ഇൻഡെക്സിംഗ്,Assignment indexing
അസൈൻമെന്റ് പ്രവർത്തനം,Assignment operation
അസൈൻമെന്റ് സ്റ്റേറ്റ്മെന്റ്,Assignment statement
അസോസിയേറ്റീവ് വിലാസം,Associative address
അസോസിയേറ്റീവ് അറേ രജിസ്റ്റർ,Associative array register
അസോസിയേറ്റീവ് കീ,Associative key
അസോസിയേറ്റീവ് ഭാഷ,Associative language
അസോസിയേറ്റീവ് മെമ്മറി,Associative memory
അസോസിയേറ്റീവ് സംഭരണം,Associative storage
ദശാംശസ്ഥാനം അനുമാനിച്ചു,Assumed decimal point
അസമമായ ഉപകരണം,Asymmetric device
അസമമായ ഐ / ഒ,Asymmetric i/o
അസിൻക്രണസ്,Asynchronous
അസിൻക്രണസ് കമ്പ്യൂട്ടർ,Asynchronous computer
അസിൻക്രണസ് ഡാറ്റ കൈമാറ്റം,Asynchronous data transfer
അസിൻക്രണസ് ഡാറ്റ ട്രാൻസ്മിഷൻ,Asynchronous data transmission
അസിൻക്രണസ് ഉപകരണങ്ങൾ,Asynchronous devices
അസിൻക്രണസ് പ്രവർത്തനം,Asynchronous operation
അസിൻക്രണസ് സിഗ്ലിംഗ്,Asynchronous signalling
അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിക്സ്റ്റിംഗ്,Asynchronous time division multiplexing
അസിൻക്രണസ് ട്രാൻസ്മിഷൻ,Asynchronous transmission
അസിൻക്രണസ് ജോലി,Asynchronous working
അറ്റാച്ചുചെയ്ത പ്രോസസ്സിംഗ്,Attached processing
അറ്റാച്ചുചെയ്ത പ്രോസസർ,Attached processor
അറ്റാച്ചുചെയ്ത പിന്തുണ പ്രോസസർ,Attached support processor
പങ്കെടുത്ത പ്രവർത്തനം,Attended operation
ട്രയൽ പ്രിന്ററിൽ പങ്കെടുത്തത്,Attended trail printer
ശ്രദ്ധ തടസ്സം,Attention interruption
ശ്രദ്ധ കീ,Attention key
അറ്റൻവറൻസ്,Attenuation
അറ്റൻവറേഷൻ സ്ഥിരാങ്കം,Attenuation constant
Attenuution വികസനം,Attenuation distortion
അറ്റൻവേഷൻ ഇക്വൈസർ,Attenuation equalizer
അറ്റൻവേറ്റർ,Attenuator
ആട്രിബ്യൂട്ട്,Attribute
കേൾക്കാവുന്ന അലാറം,Audible alarm
ഓഡിയോ കാസറ്റ്,Audio cassette
ഓഡിയോ അന്വേഷണം,Audio enquiry
ഓഡിയോ ലൈൻ,Audio line
ഓഡിയോ പ്രതികരണം,Audio response
ഓഡിയോ പ്രതികരണ സന്ദേശം,Audio response message
ഓഡിയോ പ്രതികരണ യൂണിറ്റ്,Audio response unit
ഓഡിയോപെപ്പ് സ്റ്റോറേജ് യൂണിറ്റ്,Audiotape storage unit
ഓഡിയോ ടെലികമ്മ്യൂണിക്കേഷൻ ലൈൻ,Audio telecommunication line
ഓഡിയോ ടെർമിനൽ,Audio terminal
ഓഡിറ്റ് കമാൻഡ് ഭാഷ,Audit command language
ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്,Audit programming
ഓഡിറ്റ് ട്രയൽ,Audit trail
ഗഹെൻഡ്,Augend
വര്ദ്ധിപ്പിക്കുക,Augment
വര്ഗം,Augmenter
ഗന്ഥകാരി,Author
അധികാരമുള്ള,Authoring
രചയിതാവിന്റെ സംവിധാനം,Authoring system
അധികാരം,Authority
അംഗീകാര കോഡ്,Authorization code
അംഗീകൃത ലൈബ്രറി,Authorized library
അംഗീകൃത പ്രോഗ്രാം,Authorized program
അംഗീകൃത പ്രോഗ്രാം സൗകര്യം,Authorized program facility
യാന്ത്രിക സംഗ്രഹം,Auto abstract
തനിയെ ഉത്തരം,Autoanswer
യാന്ത്രിക ബൂട്ടിംഗ്,Auto booting
യാന്ത്രിക ബൈപാസ്,Auto bypass
യാന്ത്രിക കോൾ (= യാന്ത്രിക കോളിംഗ്),Auto call (=automatic calling)
യാന്ത്രിക കോഡർ,Auto coder
യാന്ത്രിക ഡയൽ,Auto dial
ഓട്ടോഫ്ലോ,Autoflow
യാന്ത്രിക സൂചിക,Auto index
യാന്ത്രിക സൂചിക വിലാസം,Auto indexed addressing
ഓട്ടോമാറ്റ,Automata
ഓട്ടോമാറ്റ സിദ്ധാന്തം,Automata theory
ഓട്ടോപ്പണ്,Automata type
യാന്ത്രിക ഗ്രന്ഥസൂചിക,Automated bibliography
യാന്ത്രിക ഡാറ്റ മാധ്യമം,Automated data medium
യാന്ത്രിക നിഘണ്ടു,Automated dictionary
യാന്ത്രിക ഗ്ലോസറി,Automated glossary
യാന്ത്രിക ലോജിക് ഡയഗ്രം,Automated logic diagram
യാന്ത്രിക മാനേജുമെന്റ്,Automated management
യാന്ത്രിക പ്രൊഡക്ഷൻ മാനേജുമെന്റ്,Automated production management
യാന്ത്രിക സ്റ്റോക്ക് നിയന്ത്രണം,Automated stock control
യാന്ത്രിക സംഗ്രഹം,Automatic abstract
യാന്ത്രിക സംഗ്രഹം,Automatic abstracting
യാന്ത്രികമായി പ്രോഗ്രാം ചെയ്ത ഉപകരണങ്ങൾ,Automatically programmed tools
യാന്ത്രിക ഉത്തരം,Automatic answering
