Assamese,Odiya
নিৰপেক্ষ ধাৰণক্ষমতা,ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା
নিৰপেক্ষ উচ্চতা,ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |
নিৰপেক্ষ ৰঞ্জক পদাৰ্থ,ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |
"নিৰপেক্ষ বিন্যাস, নিৰ্দ্বিধায় বিন্যাস","ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |"
নিৰপেক্ষ coulomb,ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |
সম্পূৰ্ণ অন্ধকাৰ,ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |
নিৰপেক্ষ সময়সূচী,ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ
নিৰপেক্ষ ঘনত্ব*,ସଂପୂର୍ଣ୍ଣ ଘନତା *
নিৰপেক্ষ নিষ্কাশন,ସଂପୂର୍ଣ୍ଣ ଜଳ ନିଷ୍କାସନ |
নিৰপেক্ষ ইএমইউ (বিদ্যুৎচুম্বকীয় একক),ସଂପୂର୍ଣ୍ଣ EMU | (ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଏକକ)
নিৰপেক্ষ ই এছ ইউ (স্থিৰ শক্তি একক),ସଂପୂର୍ଣ୍ଣ ESU | (ଷ୍ଟାଟିକ୍ ୟୁନିଟ୍)
নিৰপেক্ষ দক্ষতা,ସଂପୂର୍ଣ୍ଣ ଦକ୍ଷତା |
নিৰপেক্ষ ইলেক্ট্ৰ&#39;মিটাৰ,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋମିଟର |
নিৰপেক্ষ কম্পাঙ্ক নিৰপেক্ষ কম্পাঙ্ক,ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି |
নিৰপেক্ষ আৰ্দ্ৰতা,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
নিৰপেক্ষ প্ৰাদুৰ্ভাৱ,ସଂପୂର୍ଣ୍ଣ ଘଟଣା
নিৰপেক্ষ বিবৰ্তন সূচকাংক,ସଂପୂର୍ଣ୍ଣ ପ୍ରତୀକାତ୍ମକ ସୂଚକାଙ୍କ |
নিৰপেক্ষ অস্থিৰতা,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
নিৰপেক্ষ অস্থিৰতা,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
"নিৰপেক্ষ তীব্ৰতা, নিৰপেক্ষ তীব্ৰতা","ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା, ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା |"
এষ্টেনিয়াৰ নিৰপেক্ষ সীমা,ଆଥେନିଆର ସଂପୂର୍ଣ୍ଣ ସୀମା |
নিৰপেক্ষ আলোকসজ্জা sill,ସଂପୂର୍ଣ୍ଣ ଆଲୋକୀକରଣ ସିଲ୍ |
নিৰপেক্ষ পোহৰৰ বক্ৰ,ସଂପୂର୍ଣ୍ଣ ଆଲୋକ ବକ୍ର
নিৰপেক্ষ পৰিমাণ,ସଂପୂର୍ଣ୍ଣ ପରିମାଣ
নিৰপেক্ষ বেৰ&#39;মিটাৰ,ସଂପୂର୍ଣ୍ଣ ବାରୋମିଟର |
পৰম পৰম,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
নিৰপেক্ষ চৰম,ସଂପୂର୍ଣ୍ଣ ଚରମ
নিৰপেক্ষ সৰ্বনিম্ন,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
নিৰপেক্ষ গতিবেগ,ସଂପୂର୍ଣ୍ଣ ଗତି
নিৰপেক্ষ গতি,ସଂପୂର୍ଣ୍ଣ ଗତି
নিৰপেক্ষ সংগীত,ସଂପୂର୍ଣ୍ଣ ସଂଗୀତ |
নিৰপেক্ষ পৰ্যবেক্ষণ,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
নিৰপেক্ষ ওম,ସଂପୂର୍ଣ୍ଣ ଓହମ୍ |
নিৰপেক্ষ অভিমুখীতা,ସଂପୂର୍ଣ୍ଣ ଆଭିମୁଖ୍ୟ
নিৰপেক্ষ বিদ্যুৎঋণাত্মকতা,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋନେଗେଟିଭିଟି |
নিৰপেক্ষ মাধ্যাকৰ্ষণ,ସଂପୂର୍ଣ୍ଣ ମାଧ୍ୟାକର୍ଷଣ |
নিৰপেক্ষ চাপ,ସଂପୂର୍ଣ୍ଣ ଚାପ |
নিৰপেক্ষ সম্পত্তি,ସଂପୂର୍ଣ୍ଣ ସମ୍ପତ୍ତି |
নিৰপেক্ষ স্কেলাৰ,ସଂପୂର୍ଣ୍ଣ ସ୍କାଲାର୍ |
উষ্ণতাৰ চূড়ান্ত স্কেল*,ତାପମାତ୍ରାର ଚରମ ମାପ *
"নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা","ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି, ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି |"
নিৰপেক্ষ চাপ,ସଂପୂର୍ଣ୍ଣ ଚାପ |
নিৰপেক্ষ প্ৰতিসমতা,ସଂପୂର୍ଣ୍ଣ ସମୃଦ୍ଧତା |
নিৰপেক্ষ গতি শৰীৰ,ସଂପୂର୍ଣ୍ଣ ଗତି ଶରୀର |
নিৰপেক্ষ একক ব্যৱস্থা,ସଂପୂର୍ଣ୍ଣ ୟୁନିଟ୍ ସିଷ୍ଟମ୍ |
নিৰপেক্ষ উষ্ণতা,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
নিৰপেক্ষ সময়,ସଂପୂର୍ଣ୍ଣ ସମୟ |
নিৰপেক্ষ এককসমূহ,ସଂପୂର୍ଣ୍ଣ ଏକକ |
নিৰপেক্ষ মূল্য,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
পূৰ্ণসংখ্যা কেলকুলেটৰ,ପୂର୍ଣ୍ଣ କାଲକୁଲେଟର
নিৰপেক্ষ বেগ,ସଂପୂର୍ଣ୍ଣ ବେଗ
নিৰপেক্ষ আঠালতীয়াতা,ସଂପୂର୍ଣ୍ଣ ସାନ୍ଦ୍ରତା |
নিৰপেক্ষ ওজন,ସଂପୂର୍ଣ୍ଣ ଓଜନ |
নিৰপেক্ষ শূন্য*,ସଂପୂର୍ଣ୍ଣ ଶୂନ *
শূন্যৰ নিৰপেক্ষ হজক,ଶୂନ୍ୟର ସଂପୂର୍ଣ୍ଣ ବିଭାଜନକାରୀ |
শুহি লোৱা,ଶୋଷଣ
শোষণ সূচকাংক*,ଅବସାଦ ସୂଚକାଙ୍କ *
শোষিত শক্তি,ଶୋଷିତ ଶକ୍ତି
"শোষক, শোষক","ଶୋଷକ, ଶୋଷକ"
শোষক মাধ্যম*,ଅବଶୋଷକ ମାଧ୍ୟମ *
শোষণ ক্ষমতা,ଅବଶୋଷଣ କ୍ଷମତା |
শোষণ ক্ষমতা,ଅବସାଦ |
শোষণমাপক*,ଶୋଷଣକାରୀ *
শোষণমিতি*,ଶୋଷଣକାରୀ *
শোষণ,ଅବଶୋଷଣ
শোষণ - বেণ্ড*,ଅବଶୋଷଣ - ବ୍ୟାଣ୍ଡ *
শোষণ বৰ্তনী,ଅବଶୋଷଣ ସର୍କିଟ |
শোষণ সহগ,ଶୋଷଣ ଗୁଣବତ୍ତା
শোষণ স্তম্ভ,ଅବଶୋଷଣ ସ୍ତମ୍ଭ
শোষণ ধ্ৰুৱক,ଅବଶୋଷଣ ସ୍ଥିର |
শোষণ ধাৰাবাহিকতা,ଅବଶୋଷଣ କ୍ରମାଗତ |
শোষণ অঞ্চল,ଅବଶୋଷଣ ଜୋନ୍ |
শোষণ কাৰেণ্ট,ଅବଶୋଷଣ କରେଣ୍ଟ |
শোষণ বক্ৰ*,ଅବଶୋଷଣ ବକ୍ର *
শোষণ ভাঙন,ଅବଶୋଷଣ ଭଙ୍ଗା |
শোষণ কোৰ,ଅବଶୋଷଣ କୋର୍ |
শোষণ কাৰক,ଅବଶୋଷଣ କାରକ |
শোষণ ফিল্টাৰ,ଅବଶୋଷଣ ଫିଲ୍ଟର୍ |
শোষণ শিখা ফটোমেট্ৰি*,ଅବଶୋଷଣ ଫ୍ଲେମ୍ ଫୋଟୋମେଟ୍ରି *
শোষণ হাইগ্ৰ’মিটাৰ,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
শোষণ ঘাত,ଅବଶୋଷଣ ପ୍ରଦର୍ଶକ |
শোষণ প্ৰান্তীয়,ଶୋଷଣ ମାର୍ଜିନ
শোষণ ৰেখা,ଅବଶୋଷଣ ରେଖା |
শোষণ ক্ষতি,ଅବଶୋଷଣ କ୍ଷତି |
শোষণ মডুলেচন,ଅବଶୋଷଣ ମଡ୍ୟୁଲେସନ୍ |
পোহৰ শোষণ,ହାଲୁକା ଅବଶୋଷଣ |
বিকিৰণ শক্তি শোষণ কৰা,ବିକିରଣ ଶକ୍ତିର ଅବଶୋଷଣ |
শোষণ শিখৰ,ଅବଶୋଷଣ ଶିଖର |
শোষণ আলোকমিতি,ଅବଶୋଷଣ ଫୋଟୋମେଟ୍ରି |
শোষণ অনুপাত,ଅବଶୋଷଣ ଅନୁପାତ |
শোষণ পৰিসৰ*,ଅବଶୋଷଣ ପରିସର *
শোষণ বৰ্ণালী আলোকমিতি*,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ ଫୋଟୋମେଟ୍ରି *
শোষণ বৰ্ণালী*,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ *
"শোষণ নলী, শোষণ নলী","ଅବଶୋଷଣ ଟ୍ୟୁବ୍, ଅବଶୋଷଣ ଟ୍ୟୁବ୍ |"
শোষণ হাইগ্ৰ’মিটাৰ,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
শোষক*,ଶୋଷଣକାରୀ *
শোষক বাষ্পীভৱনকাৰী,ଶୋଷକ ବାଷ୍ପୀକରଣକାରୀ |
শোষণ নিয়ম*,ଅବଶୋଷଣ ନିୟମ *
শোষণ মাধ্যম,ଅବଶୋଷଣ ମାଧ୍ୟମ |
"শোষণ ক্ষমতা, শোষণ ক্ষমতা*","ଅବଶୋଷଣ କ୍ଷମତା, ଅବଶୋଷଣ *"
শোষণ ক্ষমতা*,ଅବସାଦ *
ষ্টুডিঅ&#39; সজ্জা,ଷ୍ଟୁଡିଓ ସାଜସଜ୍ଜା |
বহুগুণতা অনুপাত,ବହୁଗୁଣ ଅନୁପାତ |
abvolt,abvolt
বিষয়ে,ବିଷୟରେ
ত্বৰান্বিত কৰক,ତ୍ୱରାନ୍ୱିତ କର |
ত্বৰণ-বন্ধ দূৰত্ব,ତ୍ୱରଣ-ସ୍ଥଗିତ ଦୂରତା |
খৰধৰকৈ উঠিল,ଶୀଘ୍ର ଶୀଘ୍ର
দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা,ଶୀଘ୍ର ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା |
দ্ৰুত প্ৰবাহ,ଶୀଘ୍ର ପ୍ରବାହ
দ্ৰুত গতি,ଦ୍ରୁତ ଗତି
দ্ৰুত শৰীৰ,ଶୀଘ୍ର ଶରୀର
ত্বৰণকাৰী ওজনকাৰী,ତ୍ୱରଣକାରୀ ଓଜନ
ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*,ତ୍ୱରକ ଇଲେକ୍ଟ୍ରୋଡ୍ *
ত্বৰক সময়*,ତ୍ୱରକ ସମୟ *
ত্বৰণকাৰী পৰ্যায়,ତ୍ୱରକ ପର୍ଯ୍ୟାୟ |
ত্বৰণকাৰীৰ হাৰ,ତ୍ୱରଣକାରୀ ହାର
এক্সিলেটৰ ভোল্টেজ*,ତ୍ୱରକ ଭୋଲଟେଜ୍ *
বেগ বৃদ্ধি,ତ୍ୱରଣ
ত্বৰান্বিত দহন,ତ୍ୱରିତ ଜାଳେଣି |
ত্বৰণ সহগ,ତ୍ୱରଣ ଗୁଣବତ୍ତା
ত্বৰণ উপাদান,ତ୍ୱରଣ ଉପାଦାନ
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
ত্বৰণ কাৰক,ତ୍ୱରଣ କାରକ
ত্বৰিত চাৰ্জ,ତ୍ୱରିତ ଚାର୍ଜ |
মাধ্যাকৰ্ষণৰ ত্বৰণ,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
ত্বৰণ বিভৱ,ତ୍ୱରଣ ସମ୍ଭାବନା |
ত্বৰণ আইন,ତ୍ୱରଣ ନିୟମ
ত্বৰণ প্ৰক্ৰিয়া,ତ୍ୱରଣ ପ୍ରକ୍ରିୟା
ত্বৰণ অঞ্চল,ତ୍ୱରଣ କ୍ଷେତ୍ର
ত্বৰণ পদ্ধতি,ତ୍ୱରଣ ପଦ୍ଧତି
"ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা","ତ୍ୱରଣ ସହନଶୀଳତା, ତ୍ୱରଣ ସହନଶୀଳତା |"
ত্বৰণ ভেক্টৰ,ତ୍ୱରଣ ଭେକ୍ଟର
ত্বৰণ-ভোল্টেজ,ତ୍ୱରଣ-ଭୋଲଟେଜ୍
ত্বৰণ তৰংগ,ତ୍ୱରଣ ତରଙ୍ଗ
ত্বৰণকাৰী,ତ୍ୱରକ
"accelerate, ত্বৰণকাৰী*","ତ୍ୱରାନ୍ୱିତ, ତ୍ୱରକ *"
ত্বৰক সমীকৰণ,ତ୍ୱରକ ସମୀକରଣ |
ত্বৰণকাৰী*,ତ୍ୱରକ *
এক্সিলেৰমিটাৰ,ଆକ୍ସିଲେରୋମିଟର
এক্সিলেৰমিটাৰ মিলন,ଆକ୍ସିଲେରୋମିଟର ମେଳ |
প্ৰিষ্ট্ৰেছাৰ,ସମ୍ମାନ
বৈধ আখৰ,ବ valid ଧ ବର୍ଣ୍ଣଗୁଡିକ |
গ্ৰহণযোগ্যতা কোণ,ଗ୍ରହଣ କୋଣ
গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ,ଗ୍ରହଣ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
গ্ৰহণযোগ্য পৰীক্ষা,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
"গ্ৰহণকাৰী*, গ্ৰহণকাৰী","ଗ୍ରହଣକାରୀ *, ଗ୍ରହଣକାରୀ"
ৰিচেপ্টৰ পৰমাণু,ରିସେପ୍ଟର ପରମାଣୁ |
ৰিচেপ্টৰ বণ্ড,ରିସେପ୍ଟର ବଣ୍ଡ |
ৰিচিভাৰ চাৰ্কিট,ରିସିଭର୍ ସର୍କିଟ୍ |
ৰিচেপ্টৰ স্তৰ,ରିସେପ୍ଟର ସ୍ତର
দাতা অণু,ଦାତା ଅଣୁ
ৰিচেপ্টৰ বৈশিষ্ট্য,ରିସେପ୍ଟର ସମ୍ପତ୍ତି |
ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ,ରିସେପ୍ଟର ସମ୍ପତ୍ତି ସ୍ତର |
এক্সিলেটৰৰ নলী,ତ୍ୱରକ ହୋସ୍ |
"প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ","ପ୍ରବେଶ, ଅପେକ୍ଷା, ପ୍ରବେଶ"
প্ৰৱেশ ভূজ,ଭୁଜ୍ ପ୍ରବେଶ କରନ୍ତୁ |
অভিগম ব্যৱস্থাপ্ৰণালী,ଆକ୍ସେସ୍ ସିଷ୍ଟମ୍ |
প্ৰৱেশ সময়,ପ୍ରବେଶ ସମୟ
অভিগম্যতা,ଅଭିଗମ୍ୟତା
"অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক","ଅତିରିକ୍ତ, ସହାୟକ, ଆନୁଷଙ୍ଗିକ (v, ), ଆନୁଷଙ୍ଗିକ |"
অতিৰিক্ত নিষেধাজ্ঞা,ଅତିରିକ୍ତ ପ୍ରତିବନ୍ଧକ |
কাকতালীয়,ସୁଯୋଗ ସମକକ୍ଷ |
আকস্মিক সংশোধন,ଆକସ୍ମିକ ସଂଶୋଧନ |
আকস্মিক জৈৱজন্ম,ଆକସ୍ମିକ ବାୟୋଜେନେସିସ୍ |
আকস্মিক ডাইভাৰচন,ଆକସ୍ମିକ ବିଭ୍ରାଟ |
দৰ্শকৰ ভুল,ପରିଦର୍ଶକ ତ୍ରୁଟି |
"হঠাৎ বন্ধ, হঠাৎ বন্ধ","ହଠାତ୍ ବନ୍ଦ, ଆକସ୍ମିକ ବନ୍ଦ |"
আকস্মিক সংক্ৰমণ,ଆକସ୍ମିକ ସଂକ୍ରମଣ
ৰেণ্ডম ভ্যাৰিয়েন্স,ଅନିୟମିତ ଭିନ୍ନତା |
সমন্বয়,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
অৱস্থিত,ସ୍ଥିତ
সঞ্চিত ভুল,ସଂଗୃହିତ ତ୍ରୁଟି |
"সঞ্চয়, সঞ্চয়","ଜମା, ଜମା"
শক্তি সংৰক্ষণ,ଶକ୍ତି ସଂରକ୍ଷଣ
এক্যুলেটৰ*,ଜମାକାରୀ *
শুদ্ধতা,ସଠିକତା
বাস্তৱতা,ବାସ୍ତବତା
বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ,ପ୍ରକୃତ ଯନ୍ତ୍ରର ପର୍ଯ୍ୟବେକ୍ଷଣ |
সঠিক ৰেঞ্জ মাৰ্কাৰ,ସଠିକ୍ ପରିସର ମାର୍କର |
নিখুঁত স্কেনিং,ସଠିକତା ସ୍କାନିଂ |
অভ্যাস,ଅଭ୍ୟାସ କର |
ত্বৰক কোষ*,ତ୍ୱରକ କକ୍ଷ *
ৰঙীন লেন্স*,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *
অৰঙীন*,ଆକ୍ରୋମାଟିକ୍ *
ৰঙীন বিশ্লেষক,ଆକ୍ରୋମାଟିକ୍ ଆନାଲିଜର୍ |
ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা,ଫ୍ରିକ୍ୱେନ୍ସି ନିରପେକ୍ଷ ଆଣ୍ଟେନା |
ৰঙীন আকৃতি,ଆକ୍ରୋମାଟିକ୍ ଆକୃତି |
achromatic ফ্ৰিঞ্জ,ଆକ୍ରୋମାଟିକ୍ ଫ୍ରିଙ୍ଗ୍ |
ৰঙীন লেন্স*,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *
ৰঙীন বিন্দু পথ,ଆକ୍ରୋମାଟିକ୍ ପଏଣ୍ଟ ପଥ |
ৰঙীন লেন্স,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
ৰঙীন প্ৰিজম,ଆକ୍ରୋମାଟିକ୍ ପ୍ରିଜିମ୍ |
achromatic টেলিস্কোপ,ଆକ୍ରୋମାଟିକ୍ ଟେଲିସ୍କୋପ୍ |
achromaticity*,ଆକ୍ରୋମାଟିଟି *
achromatization*,ଆକ୍ରୋମାଟାଇଜେସନ୍ *
achromaticity*,ଆକ୍ରୋମାଟିଟି *
"ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য","ଇଲାଷ୍ଟିକ୍, ଅପ୍ରାକୃତିକ, ଚିତ୍ତାକର୍ଷକ |"
"একৰ্ণ নলী, বঞ্জু নলী","ଆକୋରନ୍ ହୋସ୍, ବାଞ୍ଜୁ ହୋସ୍ |"
ক্ষুদ্ৰ ভালভ,କ୍ଷୁଦ୍ର ଭଲଭ୍ |
প্ৰতিধ্বনি,ଇକୋଫୋନି |
একাউষ্টিক,ଶବ୍ଦ
ধ্বনি শোষণ ক্ষমতা,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
শব্দৰ ক্ষীণকৰণ সহগ,ଆକାଶବାଣୀ ଆଟେଣ୍ଡେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
শব্দৰ ক্ষীণকৰণ,ଆକାଶବାଣୀ
একাউষ্টিক চোৰ এলাৰ্ম,ଶବ୍ଦ ଚୋର ଆଲାର୍ମ |
ধ্বনিযুক্ত ধাৰণক্ষমতা,ଆକାଶବାଣୀ କ୍ଷମତା |
শ্ৰৱণ কেন্দ্ৰ,ଶ୍ରବଣ କେନ୍ଦ୍ର
ধ্বনিগত ব্যাখ্যা,ଆକାଶବାଣୀ ବ୍ୟାଖ୍ୟା
একাউষ্টিক কভাৰ,ଶବ୍ଦ କଭର |
ধ্বনিগত প্ৰতিক্ৰিয়া,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ধ্বনি উপাদান,ଆକାଶବାଣୀ ଉପାଦାନ |
ধ্বনি পৰিবাহীতা,ଆକାଶବାଣୀ
একাউষ্টিক ডেম্পিং,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
ধ্বনিগত বিক্ষিপ্ততা,ଆକାଶବାଣୀ ବିଚ୍ଛେଦ |
শব্দ হেকাৰ,ସାଉଣ୍ଡ ହ୍ୟାକର୍ |
ধ্বনি শক্তি*,ଶବ୍ଦ ଶକ୍ତି *
ধ্বনি শক্তি সমীকৰণ,ଶବ୍ଦ ଶକ୍ତି ସମୀକରଣ |
ধ্বনি সমীকৰণ,ଆକାଶବାଣୀ ସମୀକରଣ |
শব্দ পুনৰুদ্ধাৰ,ଶବ୍ଦ ପୁନ st ସ୍ଥାପନ |
ক্লেডনি আকৃতি,କ୍ଲାଡନି ଆକୃତି |
একাউষ্টিক ফিল্টাৰ,ଶବ୍ଦ ଫିଲ୍ଟର୍ |
শব্দ উৎপাদক,ଶବ୍ଦ ଜେନେରେଟର
একাউষ্টিক গ্ৰেটিং,ଆକାଶବାଣୀ
একাউষ্টিক ইম্পিডেন্স*,ଶବ୍ଦଗତ ପ୍ରତିରୋଧ *
শব্দৰ জড়তা,ଶବ୍ଦଗତ ନିଷ୍କ୍ରିୟତା |
শব্দৰ তীব্ৰতা,ଶବ୍ଦ ତୀବ୍ରତା |
শব্দৰ হস্তক্ষেপ মিটাৰ,ଆକାଶବାଣୀ ବାଧା ମିଟର |
একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ,ଆକାଶବାଣୀ ବାଧା ଚିହ୍ନଟକାରୀ |
একাউষ্টিক লেন্স,ଶବ୍ଦ ଲେନ୍ସ |
শব্দ ৰেখা,ଧ୍ୱନି ରେଖା |
