Kannada,Malayalam
ಕ್ಯಾಲ್ಸೈಟ್,കാൽസൈറ്റ്
ಕ್ಯಾಲ್ಸಿಯಂ-ಅಲ್ಯೂಮಿನೇಟ್ ಸಿಮೆಂಟ್,കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്
ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಇಟ್ಟಿಗೆ,കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക
ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಹೈಡ್ರೇಟ್,കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്
ಕ್ಯಾಲಿಚೆ,കാലിച്ചെ
ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ ಬೇರಿಂಗ್ ಅನುಪಾತ,കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ
ಕ್ಯಾಲಿಪರ್,കാലിപ്പർ
ಕ್ಯಾಲೋರಿಮೀಟರ್,കലോറിമീറ്റർ
ಕ್ಯಾಂಬರ್,കാംബർ
ಕಾಲುವೆ,കനാൽ
ಮೇಲಾವರಣ,മേലാപ്പ്
ಕ್ಯಾಂಟಿಲಿವರ್ ಫೂಟಿಂಗ್,കാന്റിലിവർ ഫൂട്ടിംഗ്
ಕ್ಯಾಪ್,തൊപ്പി
ಸಾಮರ್ಥ್ಯ,ശേഷി
ಏಲ್ ಟ್ರ್ಯಾಕ್ ಸಾಮರ್ಥ್ಯ,എയിൽ ട്രാക്കിന്റെ ശേഷി
ಕ್ಯಾಪ್ ಕೇಬಲ್,തൊപ്പി കേബിൾ
ಕ್ಯಾಪಿಲ್ಲರಿಟಿ,കാപ്പിലാരിറ്റി
ಕ್ಯಾಪಿಲ್ಲರಿ ಬ್ರೇಕ್,കാപ്പിലറി ബ്രേക്ക്
ಕ್ಯಾಪಿಲ್ಲರಿ ಹರಿವು,കാപ്പിലറി ഒഴുക്ക്
ಕ್ಯಾಪಿಲ್ಲರಿ ತೇವಾಂಶ ಅಥವಾ ಕ್ಯಾಪಿಲ್ಲರಿ ನೀರು,കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം
ಕ್ಯಾಪಿಲ್ಲರಿ ರಂಧ್ರದ ಜಾಗ,കാപ്പിലറി പോർ സ്പേസ്
ಕ್ಯಾಪಿಲ್ಲರಿ ಸರಂಧ್ರತೆ,കാപ്പിലറി പൊറോസിറ്റി
ಕ್ಯಾಪಿಲ್ಲರಿ ಸ್ಪೇಸ್,കാപ്പിലറി സ്പേസ്
ಕ್ಯಾಪ್ಚರ್ ವೇಗ,ക്യാപ്‌ചർ വേഗത
ಕಾರ್ಬೊನೇಶನ್,കാർബണേഷൻ
ಕಾರ್ಬನ್ ಕಪ್ಪು,കാർബൺ കറുപ്പ്
ಕ್ಯಾಸ್ಟ್ಬಲ್ ವಕ್ರೀಕಾರಕ,കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി
ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ ಅಥವಾ ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ,കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു
ಎರಕಹೊಯ್ದ ರಾಶಿ,കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ
ಕ್ಯಾಸ್ಟರ್,ജാതി
ಎರಕಹೊಯ್ದ ಕಲ್ಲು,എറിയുന്ന കല്ല്
ವೇಗವರ್ಧಕ,കാറ്റലിസ്റ്റ്
ಕ್ಯಾಟೆನಾ,കാറ്റെന
ಬೆಕ್ಕಿನ ಮುಖ,പൂച്ച മുഖം
ಬೆಕ್ಕಿನ ತಲೆ,പൂച്ചയുടെ തല
ಕ್ಯಾಶನ್,കാറ്റേഷൻ
ಬೆಕ್ಕಿನ ನಡಿಗೆ,പൂച്ച നടത്തം
ಗುಳ್ಳೆಕಟ್ಟುವಿಕೆ ಹಾನಿ,കാവിറ്റേഷൻ കേടുപാടുകൾ
ಸೆಲೈಟ್,സെലൈറ്റ്
ಸೆಲ್ಯುಲಾರ್ ಕಾಂಕ್ರೀಟ್,സെല്ലുലാർ കോൺക്രീറ്റ്
ಸೆಲ್ಯುಲಾರ್ ನಿರ್ಮಾಣ,സെല്ലുലാർ നിർമ്മാണം
ಸಿಮೆಂಟ್,സിമന്റ്
"ಸಿಮೆಂಟ್, ಬಿಟುಮಿನಸ್","സിമന്റ്, ബിറ്റുമിനസ്"
"ಸಿಮೆಂಟ್, ಹೆಚ್ಚಿನ ಶಕ್ತಿ","സിമന്റ്, ഉയർന്ന ശക്തി"
"ಸಿಮೆಂಟ್, ಹೈಡ್ರಾಲಿಕ್","സിമന്റ്, ഹൈഡ്രോളിക്"
"ಸಿಮೆಂಟ್, ಕಡಿಮೆ ಶಾಖ","സിമന്റ്, കുറഞ്ഞ ചൂട്"
"ಸಿಮೆಂಟ್, ಕಲ್ಲು","സിമന്റ്, കൊത്തുപണി"
"ಸಿಮೆಂಟ್, ನೈಸರ್ಗಿಕ","സിമന്റ്, പ്രകൃതി"
"ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್","സിമന്റ്, പോർട്ട്ലാൻഡ്"
"ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್","സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്"
"ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಪೊಝೋಲನ್","സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ"
"ಸಿಮೆಂಟ್, ಸ್ಲ್ಯಾಗ್","സിമന്റ്, സ്ലാഗ്"
"ಸಿಮೆಂಟ್, ಸಲ್ಫೇಟ್ ನಿರೋಧಕ","സിമന്റ്, സൾഫേറ്റ് പ്രതിരോധം"
"ಸಿಮೆಂಟ್, ಸೂಪರ್ ಸಲ್ಫೇಟ್","സിമന്റ്, സൂപ്പർ സൾഫേറ്റ്"
"ಸಿಮೆಂಟ್, ಬಿಳಿ","സിമന്റ്, വെള്ള"
ಸಿಮೆಂಟ್-ಒಟ್ಟಾರೆ ಅನುಪಾತ,സിമന്റ്-അഗ്രഗേറ്റ് അനുപാതം
ಸಿಮೆಂಟ್ ವಿಷಯ,സിമന്റ് ഉള്ളടക്കം
ಸಿಮೆಂಟ್ ಜೆಲ್,സിമന്റ് ജെൽ
ಸಿಮೆಂಟ್ ಗನ್,സിമന്റ് തോക്ക്
ಸಿಮೆಂಟ್ ಗೂಡು,സിമന്റ് ചൂള
ಸಿಮೆಂಟ್ ಬಣ್ಣ,സിമന്റ് പെയിന്റ്
ಸಿಮೆಂಟ್ ಪ್ಲಾಸ್ಟರ್,സിമന്റ് പ്ലാസ്റ്റർ
ಸಿಮೆಂಟ್ ಕಲ್ಲು,സിമന്റ് പാറ
ಸಿಮೆಂಟ್ ಸ್ಲರಿ,സിമന്റ് സ്ലറി
ಸಿಮೆಂಟ್ ಸಂಗ್ರಹಣೆ,സിമന്റ് സംഭരണം
ಸಿಮೆಂಟೇಶನ್ ಪ್ರಕ್ರಿಯೆ,സിമന്റേഷൻ പ്രക്രിയ
ಕೇಂದ್ರೀಕರಣ,കേന്ദ്രീകരിക്കുന്നു
ಕೇಂದ್ರೀಕರಿಸುವುದು ಮತ್ತು ಮುಚ್ಚುವುದು,കേന്ദ്രീകരിക്കലും ഷട്ടറിംഗും
ಕೇಂದ್ರ ಮಿಶ್ರ ಕಾಂಕ್ರೀಟ್,സെൻട്രൽ മിക്സഡ് കോൺക്രീറ്റ്
ಕೇಂದ್ರ ಮಿಕ್ಸರ್,സെൻട്രൽ മിക്സർ
ಕೇಂದ್ರಾಪಗಾಮಿ ಫ್ಯಾನ್,അപകേന്ദ്ര ഫാൻ
ಚಾಕ್,ചോക്ക്
ಚೇಂಫರ್,ചാംഫർ
ಚೇಂಫರ್ ಸ್ಟ್ರಿಪ್,ചേംഫർ സ്ട്രിപ്പ്
ಚಾನಲ್ ಕಿರಣ,ചാനൽ ബീം
ವಿಶಿಷ್ಟ ಲೋಡ್,സ്വഭാവസവിശേഷത ലോഡ്
ವಿಶಿಷ್ಟ ಶಕ್ತಿ,സ്വഭാവ ശക്തി
ಚಾರ್ಜ್ ಆಫ್,ചാർജ്ജ് ഓഫ്
ಚಾರ್ಜ್ ಆಗುತ್ತಿದೆ,ചാർജിംഗ്
ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ,പരിശോധിക്കുന്നു
ರಾಸಾಯನಿಕ ಬಂಧ,കെമിക്കൽ ബോണ്ട്
ಚೆರ್ನೋಜೆಮ್,ചെർനോസെം
ಚೆಸ್ಟ್ನಟ್ ಮಣ್ಣು,ചെസ്റ്റ്നട്ട് മണ്ണ്
ಚಿಮಣಿ ಗಟಾರ,ചിമ്മിനി ഗട്ടർ
ಚಿಪ್ ಬೋರ್ಡ್,ചിപ്പ് ബോർഡ്
ಚಿಪ್ಪಿಂಗ್,ചിപ്പിംഗ്
ಚಿಪ್ಸ್,ചിപ്സ്
ಗಾಳಿಕೊಡೆ,ചട്ടി
ವರ್ಗ (ಕಾಂಕ್ರೀಟ್),ക്ലാസ് (കോൺക്രീറ്റ്)
ಕ್ಲೇ,കളിമണ്ണ്
ಕ್ಲೇ ವಿಷಯ,കളിമൺ ഉള്ളടക്കം
ಕ್ಲೇ ಪ್ಯಾನ್,കളിമൺ പാൻ
ಕ್ಲೀನ್ಔಟ್,പൂർണമായി കാലിയാക്കുക
ಸ್ವಚ್ಛಗೊಳಿಸಿ,ക്ലീനപ്പ്
ಕ್ಲೀಟ್,ക്ലീറ്റ്
ಕ್ಲಿಂಕರ್,ക്ലിങ്കർ
ಕ್ಲಿಪ್,ക്ലിപ്പ്
ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆ,കട്ടപിടിക്കൽ
ಒರಟಾದ ಒಟ್ಟು,നാടൻ മൊത്തത്തിലുള്ളത്
ಒರಟಾದ ಧಾನ್ಯದ ಮಣ್ಣು,പരുക്കൻ ധാന്യമുള്ള മണ്ണ്
ಕೋಟ್,കോട്ട്
ಕಾಫರ್ ಅಣೆಕಟ್ಟು,കോഫർ ഡാം
ಒಗ್ಗಟ್ಟು,ഒത്തുചേരൽ
ಕೊಲಾಯ್ಡ್,കൊളോയിഡ്
ಕೊಲೊಯ್ಡಲ್ ತೇವಾಂಶ ಸಮಾನ ಅನುಪಾತ,കൊളോയ്ഡൽ ഈർപ്പം തുല്യ അനുപാതം
ಕೊಲೊಯ್ಡಲ್ ವ್ಯವಸ್ಥೆ,കൊളോയ്ഡൽ സിസ്റ്റം
ಕೊಲ್ಯುವಿಯಲ್ ಮಣ್ಣು,കൊളുവിയൽ മണ്ണ്
ಅಂಕಣ,കോളം
ಬಾಚಣಿಗೆ ಮುಕ್ತಾಯ,കോമ്പഡ് ഫിനിഷ്
ಕಂಬೈನ್ಡ್ ಫೂಟಿಂಗ್,സംയോജിത കാൽപ്പാദം
ಸಂಯೋಜಿತ ನೀರು,സംയോജിത വെള്ളം
ಸಾಮಾನ್ಯ ಕೊಠಡಿ,പൊതു മുറി
ಪೂರ್ಣಗೊಳಿಸುವಿಕೆ ಪ್ರಮಾಣಪತ್ರ,പൂർത്തീകരണ സർട്ടിഫിക്കറ്റ്
ಘಟಕ ಚೌಕ,ഘടകം ചതുരം
ಕಾಂಕ್ರೀಟ್,കോൺക്രീറ്റ്
ಕಾಂಕ್ರೀಟಿಕರಣ,കോൺക്രീഷൻ
ಏಕೀಕೃತ ದರ/ಫ್ಲಾಟ್ ದರ,ഏകീകൃത നിരക്ക്/ഫ്ലാറ്റ് നിരക്ക്
ಮಾಲಿನ್ಯಕಾರಕಗಳು,മലിനീകരണം
ಅಲ್ಕೋವ್ ಅಡುಗೆ,ആൽക്കോട്ട് പാചകം ചെയ്യുന്നു
ನಿಭಾಯಿಸುವುದು,നേരിടുകയാണ്
ಕಾರ್ಬೆಲ್,കോർബെൽ
ಕಾರ್ನಿಸ್,കോർണിസ്
ಸಂಯೋಜಕ,കപ്ലർ
"ಕಪ್ಲರ್, ಡಬಲ್","കപ്ലർ, ഇരട്ട"
"ಕಪ್ಲರ್, ಪುಟ್ಲಾಗ್","കപ്ലർ, പുട്ട്ലോഗ്"
"ಕಪ್ಲರ್, ಸ್ವಿವೆಲ್","കപ്ലർ, സ്വിവൽ"
ಕೋರ್ಸ್,കോഴ്സ്
ಕೋರ್ಸ್ಡ್ ಯಾದೃಚ್ಛಿಕ ಕಲ್ಲುಮಣ್ಣು ಕಲ್ಲುಗಳು,ക്രമരഹിതമായ അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ
ಆವರಿಸಿದ ಪ್ರದೇಶ,മൂടിയ പ്രദേശം
ತೆವಳುವ,ഇഴയുക
ಕ್ರೀಪ್ ಗುಣಾಂಕ,ക്രീപ്പ് കോഫിഫിഷ്യന്റ്
ಕ್ರೊಟೊವಿನ್,ക്രോട്ടോവിൻ
ಕಾಗೆ ಕಾಲು,കാക്ക കാൽ
ಕ್ರಂಬ್ ರಚನೆ,നുറുക്കിന്റെ ഘടന
ದಂಡೆ,കർബ്
ಪ್ರಸ್ತುತ,നിലവിലുള്ളത്
ಕರ್ವ್ ಪ್ರತಿರೋಧ,വക്ര പ്രതിരോധം
ತೇವಾಂಶ ನಿರೋಧಕ ಕೋರ್ಸ್,ഈർപ്പം പ്രൂഫ് കോഴ്സ്
ಪೂರ್ಣಗೊಂಡ ದಿನಾಂಕ,പൂർത്തിയാക്കിയ തീയതി
ಡೆಡ್ ಲೋಡ್,ഡെഡ് ലോഡ്
ಸತ್ತ ನೀರು,ചത്ത വെള്ളം
ಡೆಸಿಬೆಲ್,ഡെസിബെൽ
ಡಿಫ್ಲೋಕ್ಯುಲೇಷನ್,ഡിഫ്ലോക്കുലേഷൻ
ಗಾಳಿ ಅಥವಾ ಗಾಳಿಯ ಅಂತರದ ಅನುಪಾತದ ಪದವಿ,വായുസഞ്ചാരത്തിന്റെ ഡിഗ്രി അല്ലെങ്കിൽ എയർ സ്പേസ് അനുപാതം
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆಯ ಪದವಿ,അഗ്രഗേഷൻ ബിരുദം
ಪ್ರಸರಣದ ಪದವಿ,വ്യാപനത്തിന്റെ അളവ്
