Hindi,Gujarati
प्रवर्धक,એમ્પ્લીફાયર
प्रवर्धक दक्षता,એમ્પ્લીફાયર કાર્યક્ષમતા
आयाम,પરિમાણો
आयाम क्षीणन,કંપનવિસ્તાર એટેન્યુએશન
आयाम मॉडुलित ए.एम. दोलित्र,કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર
आयाम मॉडुलन,કંપનવિસ્તાર મોડ્યુલેશન
आयाम मॉडुलक,કંપનવિસ્તાર મોડ્યુલેટર
एंगस्ट्रॉम इकाई,એંગસ્ટ્રોમ એકમ
अनुरूप परिपथ,એનાલોગ સર્કિટ
अनुरूप कंप्यूटर,એનાલોગ કમ્પ્યુટર
अनुरूप फिल्टर,એનાલોગ ફિલ્ટર
अनुरूप बहुमापी,એનાલોગ મલ્ટિમીટર
अनुरूप स्विच,એનાલોગ સ્વીચ
AND गेट,અને દરવાજો
कोणीय आवृत्ति,કોણીય આવર્તન
"ऋणायन, एनॉयन","anion, anion"
अनीलन तापमान,એનિલિંગ તાપમાન
ऐनोड,એનોડ
ऐनोड प्रवर्धक,એનોડ એમ્પ્લીફાયર
ऐनोडी करण,anodyne
ऐन्टेना,એન્ટેના
ऐन्टेना घटक,એન્ટેના ઘટક
परावर्तन रोधी लेपन,વિરોધી પ્રતિબિંબીત કોટિંગ
प्रतिलघुगुणक प्रवर्धक,એન્ટિલોગિન એમ્પ્લીફાયર
प्रतिअनुनादी परिपथ,પ્રતિરોધક સર્કિટ
द्वारक काल,દ્વારક સમયગાળો
आभासीय शक्ति,વર્ચ્યુઅલ પાવર
तार संयोजन,વાયર કનેક્શન
सन्निकट वोल्टता लब्धि,અંદાજિત વોલ્ટેજ ગેઇન
आर्मस्ट्रांग माडुलक,આર્મસ્ટ્રોંગ મોડ્યુલેટર
ऐन्टेना-व्यूह,એન્ટેના એરે
"आकार अनुपात, अभिमुखता अनुपात","કદ ગુણોત્તર, પાસા ગુણોત્તર"
अस्थायी परिपथ (मुक्तचालित परिपथ),ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ)
स्वचालित बहुकंपित्र,સ્વચાલિત મલ્ટિવાઇબ્રેટર
अस्थायी बहुकंपित्र,ફ્લોટિંગ મલ્ટિવાઇબ્રેટર
असममित संधि,અસમપ્રમાણ જંકશન
अतुल्यकाली गणक,અસુમેળ કેલ્ક્યુલેટર
परमाणु,પરમાણુ
परमाणु संख्या,અણુ સંખ્યા
परमाणु संरचना,અણુ માળખું
श्रव्य प्रवर्धक,ઓડિયો એમ્પ્લીફાયર
श्रव्य प्रवर्धक,ઓડિયો એમ્પ્લીફાયર
श्रव्य कैसेट,ઓડિયો કેસેટ
श्रव्य परिपथ,ઓડિયો સર્કિટ
श्रव्य आवृत्ति,સાંભળી શકાય તેવી આવર્તન
स्वत: वोल्टता नियंत्रण,આપોઆપ વોલ્ટેજ નિયંત્રણ
एवलांश,હિમપ્રપાત
औसत संसूचक,સરેરાશ ડિટેક્ટર
अक्षीय विधा,અક્ષીય મોડ
अक्षीय अनुपात,અક્ષીય ગુણોત્તર
ऐन्टेना,એન્ટેના
पश्च विद्युत वाहक बल,પાછળનું ઇલેક્ટ્રોમોટિવ બળ
पश्च क्षेत्र,પાછળનો વિસ્તાર
पश्च प्रकीर्णन,પાછા સ્કેટર
पृष्ठभूमि आवेश,પૃષ્ઠભૂમિ ચાર્જ
पार्श्व रव,બાજુનો અવાજ
पश्चगमन,પ્રત્યાગમન
पश्चपालि विकिरण,પશ્ચાદવર્તી ઇરેડિયેશન
बैकवार्ड डायोड/पश्च डायोड,બેકવર્ડ ડાયોડ / બેકવર્ડ ડાયોડ
पश्चगामी तरंग दोलक,બેકવર્ડ વેવ ઓસિલેટર
"बाधिका, व्यारोध","અવરોધ, અવરોધ"
बाधिका,અવરોધ
संतुलित सेतु,સંતુલિત પુલ
संतुलित विमॉडुलक,સંતુલિત મોડ્યુલેટર
संतुलित मॉडुलक,સંતુલિત મોડ્યુલેટર
संतुलित परिपथ,સંતુલિત સર્કિટ
संतुलित ढाल संसूचक,સંતુલિત ઢાળ ડિટેક્ટર
धारा स्थिरक प्रतिरोध,વર્તમાન સ્ટેબિલાઇઝર પ્રતિકાર
बोलोमीटर,બોલોમીટર
बोलोमीटर सेतु,બોલોમીટર પુલ
बलून,બલૂન
बनाना जैक,બનાના જેક
बनाना प्लग,બનાના પ્લગ
"बैंड, पट्टी","બેન્ડ, પાટો"
बैंड चालक,બેન્ડ ડ્રાઈવર
बैंड ऊर्जा,બેન્ડ ઊર્જા
बैंड अंतराल,બેન્ડ ગેપ
बैडपारक प्रवर्धक,બેડપાર્ક એમ્પ્લીફાયર
बैंड पारक फिल्टर,બેન્ડ પાસ ફિલ્ટર
बॉड दर जनित्र,બાઉડ રેટ જનરેટર
बैंडफैलाव,banddispersion
बैंड रोधक,બેન્ડ રેઝિસ્ટર
बैंड विरामक फिल्टर,બેન્ડ બ્રેકર ફિલ્ટર
बैंड विस्तार,બેન્ડ વિસ્તરણ
बैंड वर्जक फिल्टर,બેન્ડ રીમુવર ફિલ્ટર
बैंड विस्तार विक्षेपण गुणक,બેન્ડ વિસ્તરણ ડિફ્લેક્શન ગુણક
बैंड विस्तार दूरी गुणक,બેન્ડ એક્સ્ટેંશન અંતર ગુણક
"पुंज संधारित्र, बैंक संधारित्र","બીમ કેપેસિટર, બેંક કેપેસિટર"
"बारकर कूट, बारकर कोड","બાર્કર કોડ, બાર્કર કોડ"
बार्रवाउजेन कसौटी,barravaugen માપદંડ
बैरेटर,બેરેટર
रोध,અવરોધ
रोध संधारित्र,ઇન્સ્યુલેટીંગ કેપેસિટર
रोधिका उर्जा,અવરોધ ઊર્જા
रोधी वोल्टता,રેઝિસ્ટર વોલ્ટેજ
बार्टलेट विंडो,બાર્ટલેટ વિન્ડો
"आधार, बेस","આધાર, આધાર"
आधार बैंड,આધાર બેન્ડ
आधार बैंड संचरण,બેઝ બેન્ડ ટ્રાન્સમિશન
आधार आवेश,બેઝ ચાર્જ
आधार धारा,આધાર પ્રવાહ
आधार धारा स्रोत,આધાર વર્તમાન સ્ત્રોત
आधार कर्तन,આધાર ઉતારવું
आधार मादन,આધાર મદન
आधार उत्सर्जक संभरण,આધાર ઉત્સર્જક ફીડ
आधार उत्सर्जक संधि,આધાર ઉત્સર્જક જંકશન
आधार अंतःक्षेपण,બેઝ ઈન્જેક્શન
आधार रेखा,જમીન રેખા
आधार प्रतिरोध,આધાર પ્રતિકાર
आधार स्रोत,આધાર સ્ત્રોત
आधार विस्तारण प्रतिरोध,આધાર વિસ્તરણ પ્રતિકાર
आधार विस्तारण प्रतिरोध,આધાર વિસ્તરણ પ્રતિકાર
आधार मोटाई,આધાર જાડાઈ
आधार अभिगमन,બેઝ એક્સેસ
"आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन","આધાર પહોળાઈ મોડ્યુલેશન, આધાર વિસ્તરણ મોડ્યુલેશન"
आधार संग्राहक संधि,આધાર કલેક્ટર સંધિ
बास,ગંધ
बास आवृत्ति,બાસ આવર્તન
बैटरी,બેટરી
बॉड,બાઉડ
बॉड रेट,બાઉડ દર
बॉड दर जनित्र,બાઉડ રેટ જનરેટર
बोदो कोड,બોડો કોડ
"संकेत देना, बीकन","સંકેત, દીવાદાંડી"
"मणिका, बीड","મણિકા, બીડ"
मणिक संधारित्र,મેનિક કેપેસિટર
मणिकातापी प्रतिरोधक,મણિકર્તાપિ પ્રતિરોધકો
"किरणपुंज ऐन्टेना, बीम ऐन्टेना","બીમ એન્ટેના, બીમ એન્ટેના"
किरणपुंज खोजी,બીમ ડિટેક્ટર
किरणपुंज शक्ति नली,બીમ પાવર નળી
किरणपुंज स्विचन नलिका,બીમ સ્વિચિંગ નોઝલ
किरणपुंज विस्तार,બીમ વિસ્તરણ
विस्पंद आवृत्ति,હરાવ્યું આવર્તન
विस्पन्द-आवृत्ति दोलक,બીટ-ફ્રિકવન્સી ઓસિલેટર
विस्पंद दोलक,પલ્સ ઓસિલેટર
बेल,બેલ
बंकन हानि,બેન્ડિંગ નુકશાન
बेसेल फिल्टर,બેસેલ ફિલ્ટર
बीटा,બેટા
बी-एच वक्र,b-h વળાંક
"अभिनति, बायस","પૂર્વગ્રહ, પૂર્વગ્રહ"
बायस धारा,પૂર્વગ્રહ વર્તમાન
बायस-प्रतिरोधक,પૂર્વગ્રહ પ્રતિકાર
द्विशंकु ऐन्टेना,ડબલ એન્ટેના
द्विदिशी लोड धारा,દ્વિપક્ષીય લોડ વર્તમાન
द्विदैशिक ऐन्टेना,દ્વિદિશ એન્ટેના
द्विदैशिक प्रकाश उत्सर्जक डायोड,દ્વિદિશ પ્રકાશ ઉત્સર્જક ડાયોડ
द्विदिक् थाइरिस्टर,દ્વિપક્ષીય થાઇરિસ્ટર
द्वि FET तकनीक,bi FET ટેકનોલોજી
द्विसूत्री ट्रांसफार्मर,બાય પોઇન્ટ ટ્રાન્સફોર્મર
द्विसूत्री आआवलन,ડબલ ફ્યુઝન
द्विपार्श्विक परिपथ,દ્વિપક્ષીય સર્કિટ
द्विआधारी,દ્વિસંગી
द्विआधारी योग,દ્વિસંગી રકમ
द्विआधारी परिपथ,દ્વિસંગી સર્કિટ
द्वि-आधारी कोडित दशमलव,દ્વિસંગી કોડેડ દશાંશ
द्वि-आधारी कोडित दशमलव प्रणाली,દ્વિસંગી કોડેડ દશાંશ સિસ્ટમ
द्विआधारी द्विपरिवर्तक संधारित्र,દ્વિસંગી દ્વિધ્રુવ કેપેસિટર
द्विआधारी गणक,દ્વિસંગી કેલ્ક્યુલેટર
द्विआधारी गणित्र,દ્વિસંગી કેલ્ક્યુલેટર
द्विआधारी कूट वाचक,દ્વિસંગી ડીકોડર
द्विआधारी सीढ़ी,દ્વિસંગી નિસરણી
द्विआधारी पथमापी,બાઈનરી પેથોમીટર
द्विआधारी अवस्था,દ્વિસંગી સ્થિતિ
द्विआधारी-दशमिक विकोडक,દ્વિસંગી-દશાંશ ડીકોડર
द्विआधारी भार,બાઈનરી લોડ
द्विआधारी शब्द,દ્વિસંગી શબ્દો
द्विध्रुवी,દ્વિધ્રુવી
द्विध्रुवी संधारित्र,બાયપોલર કેપેસિટર
द्विध्रुवी युक्ति,દ્વિધ્રુવી ઉપકરણ
द्विध्रुवी स्रोत,દ્વિધ્રુવી સ્ત્રોત
द्विध्रुवी ट्राजिस्टर,બાયપોલર ટ્રાંઝિસ્ટર
द्विध्रुवी संधि ट्रांजिस्टर,બાયપોલર જંકશન ટ્રાંઝિસ્ટર
द्विघाती फिल्टर,ચતુર્ભુજ ફિલ્ટર
द्विस्थितिक,ડબલ સ્થિતિ
द्विस्थितिक बहुकंपित्र,બે તબક્કાનું મલ્ટિવાઇબ્રેટર
द्विस्थितिक रिले,દ્વિપક્ષીય રિલે
द्विस्थितिक अवस्था,બે તબક્કાની સ્થિતિ
द्विस्थितिक ट्रिगर,બે-સ્થિતિ ટ્રિગર
बिट त्रुटि,બીટ ભૂલ
बिट त्रुटि दर,બીટ ભૂલ દર
बिट त्रुटि,બીટ ભૂલ
बिटकाल त्रुटि,બિટકલ ભૂલ
अंध पेटी,અંધ બોક્સ
समाच्छादी स्पंद,કન્ડેન્સ્ડ પલ્સ
स्रावक,સચિવ
स्रावी प्रतिरोधक,સ્ત્રાવ અવરોધક
अंधगति,અંધત્વ
खंड आरेख,સેગમેન્ટ ડાયાગ્રામ
अवरूद्ध प्रतिबाधा,અવરોધક અવરોધ
खंडक स्थानांतरण,ટુકડો ટ્રાન્સફર
अवरोधन,ઇન્ટરસેપ્ટ
अवरोधी संधारित्र,રેઝિસ્ટર કેપેસિટર
अवरोधी संधारित्र,રેઝિસ્ટર કેપેસિટર
अवरोधी दोलक,રેઝિસ્ટર ઓસિલેટર
अवरोधी दोलक,અવરોધિત ઓસિલેટર
अवरोधी वोल्टता,રેઝિસ્ટર વોલ્ટેજ
ब्लोवर,બ્લોઅર
बोडे आरेख,બોડ ડાયાગ્રામ
वोल्ट्जमान संबंध,વોલ્ટ્ઝમેન સંબંધ
वोल्ट्जमान स्थिंराक,વોલ્ટ્ઝમેન સતત
बंध,બોન્ડ
आबद्ध विकृति प्रमापी,બંધાયેલ તાણ ગેજ
स्वोत्थानी प्रवर्धक,સ્વ-સહાયક એમ્પ્લીફાયર
बूलीय बीजगणित,બુલિયન બીજગણિત
बूलीय समीकरण,બુલિયન સમીકરણ
"बूट स्ट्रैपन, स्वोत्थान",બુટ Strapon
बूथ्स आल्गोरिदम,બૂથનું અલ્ગોરિધમ
बूटस्ट्रैप प्रसर्प परिपथ,બુટસ્ટ્રેપ પ્રિઝમ સર્કિટ
बॉसकर्ट्स नियम,bosscutts નિયમ
बोस-चौधरी होकिनहाम (बी.सी.एच) कोड,બોઝ-ચૌધરી હોકેનહામ (BCH) કોડ
"झंप, उछाल","કૂદકો, કૂદકો"
परिबद्ध इलेक्ट्रॉन,બંધાયેલ ઇલેક્ટ્રોન
ब्रैग परावर्तक,બ્રેગ રિફ્લેક્ટર
गुंफित तार,ગૂંથેલા વાયર
शाखा,શાખા
शाखन,શાખાઓ
प्रयोग पट्ट,પ્રયોગ બોર્ડ
भंजन क्षेत्र,બ્રેક ઝોન
भंजन वोल्टता,બ્રેકિંગ વોલ્ટેજ
भंजन डायोड,બ્રેકડાઉન ડાયોડ
भंजन संनिर्धारण,અસ્થિભંગ ફિક્સેશન
भंजन वोल्टता,બ્રેકિંગ વોલ્ટેજ
सेतु,પુલ
सेतु दिष्टकारी,પુલ સુધારક
विस्तृत बैंड,વિશાળ બેન્ડ
प्रसारण बैंड,બ્રોડકાસ્ટ બેન્ડ
निरक्षीय व्यूह,અપાર્થિવ એરે
प्रसारण,પ્રસારણ
प्रसारण ऐन्टेना,બ્રોડકાસ્ટ એન્ટેના
प्रसारण ग्राही,બ્રોડકાસ્ટ રીસીવર
आवृत्ति प्रसारण अभिग्राही,ફ્રીક્વન્સી બ્રોડકાસ્ટ રીસીવર
प्रसारण प्रेषित्र,બ્રોડકાસ્ટ ટ્રાન્સમીટર
बूस्टर ऐन्टेना,બૂસ્ટર એન્ટેના
बूस ऐन्टेना,બસ એન્ટેના
ब्रश विसर्जन,બ્રશ નિમજ્જન
बुदबूदु AND गेट,પરપોટા અને દરવાજો
बुदबूदु OR गेट,બુડબુડુ અથવા ગેટ
बुदबूदु स्मृति,બબલી મેમરી
प्रतिकारी वोल्टता,વળતર આપતું વોલ્ટેજ
बफर,બફર
बफर प्रवर्धक,બફર એમ્પ્લીફાયર
बफर परिपथ,બફર સર્કિટ
बफर परिचालक,બફર ઓપરેટર
बफर पंजी,બફર રજીસ્ટર
बल्व,બલ્બ
समष्टि प्रभाव,વસ્તી અસર
समष्टि अर्धचालक युक्ति,મેક્રો સેમિકન્ડક્ટર ઉપકરણ
गुच्छक,ટોળું
निमज्जित विनिमय,ડૂબી ગયેલ વિનિમય
निमज्जित परत,ડૂબી ગયેલ સ્તર
निमज्जित संपर्क,ડૂબી ગયેલો સંપર્ક
प्रस्फोट प्रवर्धक,બ્લાસ્ટ એમ્પ્લીફાયર
प्रस्फोटी समाच्छादी,બ્લાસ્ટ કવર
प्रस्फोट फायरन,બ્લાસ્ટ ફાયરિંગ
प्रस्फोटी द्वार प्रवर्धक,વિસ્ફોટ ડોર એમ્પ્લીફાયર
प्रस्फोटी विधा,વિસ્ફોટ મોડ
प्रस्फोटी पृथक्कारक,વિસ્ફોટ વિભાજક
प्रस्फोटी संकेत,વિસ્ફોટ સંકેત
प्रस्फोट त्रुटि संशोधक कोड,વિસ્ફોટ ભૂલ સુધારનાર કોડ
बस,પૂરતૂ
बस बार,બસ બાર
बस संगठन,બસ સંસ્થા
बस मानक,બસ ધોરણ
बस क्षणिक,માત્ર ક્ષણિક
बटर वर्थ फिल्टर,માખણ વર્થ ફિલ્ટર
बीएनसी तार,bnc વાયર
बीएनसी जोड़क,BNC જોઈન્ટર
"उपपथ, उपमार्ग",બાય-વે
उपमार्गी संधारित्र,બાયપાસ કેપેસિટર
बाइट,બાઈટ
V बैंड,વી બેન્ડ
C बैंड ऐन्टेना,સી બેન્ડ એન્ટેના
तार,વાયર
तार मार्ग निर्धारण,વાયર રૂટીંગ
तार टेलिविजन,ટેલિગ્રાફ ટેલિવિઝન
कैश स्मृति,કેશ મેમરી
सिसिमय आवृत्ति मानक,સિસિમ ફ્રીક્વન્સી સ્ટાન્ડર્ડ
परिकलित्र,કેલ્ક્યુલેટર
अंशशोधन,માપાંકન
कॉल ऐड्रेस,કૉલ સરનામું
कॉलपिट दोलित्र,કૉલપિટ ઓસિલેટર
कैम कोर्डर,કેમ કોર્ડર
कैमरा,કેમેરા
कैमरा नली,કેમેરા નળી
केंडेला,candela
कैंडल शक्ति,મીણબત્તીની શક્તિ
कैन्टीलिवर विकृति प्रमापी,કેન્ટીલીવર તાણ ગેજ
धारिता,હોલ્ડિંગ
धारिता रक्तचाप ट्रान्सड्यूसर,કેપેસીટન્સ બ્લડ પ્રેશર ટ્રાન્સડ્યુસર
धारिता वितरक,હોલ્ડિંગ ડિસ્ટ્રીબ્યુટર
संधि धारिता,સંધિ હોલ્ડિંગ
धारिता मापी,કેપેસિટેન્સ ગેજ
धारिता उद्ग्राही,હોલ્ડિંગ કલેક્ટર
धारिता प्रतिघात,ક્ષમતા પ્રતિક્રિયા
"संधारी ऊर्जा परिवर्तित्र, ट्रासड्यूसर","કેપેસિટીવ એનર્જી કન્વર્ટર, ટ્રાન્સડ્યુસર"
संधारित्र,કેપેસિટર
संधारित्र बैंक,કેપેસિટર બેંક
संधारित्र फिल्टर,કેપેસિટર ફિલ્ટર
संधारित्र निवेश फिल्टर,કેપેસિટર ઇનપુટ ફિલ્ટર
चर्खी मोटर,વિંચ મોટર
चर्खी सर्वो निकाय,પુલી સર્વો બોડી
चर्खी,ચરખી
प्रग्रहण,કેપ્ચર
प्रग्रहण परिच्छेद,કેપ્ચર કલમ
प्रग्रहण प्रभाव,કેપ્ચર અસર
वाहक रव अनुपात,વાહક અવાજ ગુણોત્તર
कार रेडियो,કાર રેડિયો
कार्बन प्रतिरोधक,કાર્બન રેઝિસ્ટર
कार्ड वाचक,કાર્ડ રીડર
कार्डिऑड आरेख,કાર્ડિયોઇડ ડાયાગ્રામ
कैरेज,વાહન
कैरेज वापसी,વાહન વળતર
वाहक,વાહક
वाहक संचार,વાહક સંચાર
वाहक संकेंद्रण,વાહક એકાગ્રતા
वाहक आवृत्ति,વાહક આવર્તન
वाहक जनन,વાહક પ્રજનન
वाहक स्तर,વાહક સ્તર
वाहक आयुकाल,વાહક જીવન
वाहक गतिशीलता,વાહક ગતિશીલતા
वाहक गुणन,વાહક ગુણાકાર
वाहक रव स्तर,વાહક અવાજ સ્તર
वाहक परास,વાહક શ્રેણી
वाहक पुनर्प्राप्ति परिपथ,વાહક પુનઃપ્રાપ્તિ સર્કિટ
वाहक पुनर्निवेशन,વાહક પુનઃનિર્માણ
वाहकीय प्रकीर्णन,વાહક છૂટાછવાયા
वाहक संदमन,વાહક દમન
वाहक पिंजरन,વાહક પાંજરું
वाहक वेग,વાહક વેગ
हस्तगत बिट,હેન્ડ બીટ
हस्तगत ध्वज,ધ્વજ રાખવામાં આવ્યો
"हस्तगत रजिस्टर, हस्तगत पंजी","કબજાની નોંધણી, કબજાની નોંધણી"
सुवाह्य जनित्र,પોર્ટેબલ જનરેટર
कार्सन-नियम,કાર્સનનો કાયદો
कार्ट्रिज फ्यूज,કારતૂસ ફ્યુઝ
कार्ट्रिज टेप,કારતૂસ ટેપ
कैरी फोस्टर सेतु,કેરી ફોસ્ટર બ્રિજ
सोपानी प्रवर्धक,સ્ટેપ એમ્પ્લીફાયર
सोपानन,ગ્રેડેશન
कैसकेड प्रवर्धक,કાસ્કેડ એમ્પ્લીફાયર
"कैसकोड प्रवर्धक, सोपानी प्रवर्धक","કાસ્કોડ એમ્પ્લીફાયર, સ્ટેપ એમ્પ્લીફાયર"
कैसेट,કેસેટ
उत्प्रेरण,પ્રેરિત
प्रग्राही कोटर,કેપ્ટિવ કોટર
कैथोड,કેથોડ
कैथोड अनुगामी,કેથોડ પાછળનું
कैथोड अनुगामी प्रवर्धक,કેથોડ ટ્રેલિંગ એમ્પ્લીફાયર
कैथोड संदीप्ति,કેથોડ લ્યુમિનન્સ
कैथोड सामग्री,કેથોડ સામગ્રી
कैथोड किरण दोलनदर्शी,કેથોડ રે ઓસિલોસ્કોપ
कैथोड किरण नलिका,કેથોડ રે ટ્યુબ
कैथोड कण क्षेपण,કેથોડ કણો જુબાની
कैथोड संदीप्ति,કેથોડ લ્યુમિનન્સ
कौयर फिल्टर,કોયર ફિલ્ટર
कावेर फिल्टर,કેવર ફિલ્ટર
कोटर,કોટર
कोटरीय विकिरण,એન્ટ્રાલ રેડિયેશન
कोटर अनुनादी,કોટર રેઝોનેટર
फेट आवेश युग्मित युक्ति(सी सी डी),ફેટ ચાર્જ કપલ્ડ ડિવાઇસ (CCD)
सी.डी.रोम,સીડી રોમ
सी. डी. रोम ड्राइव,સીડી રોમ ડ્રાઇવ
सेल (बैटरी),સેલ (બેટરી)
केंद्रीय संसाधन तत्व,કેન્દ્રીય સંસાધન તત્વ
केंद्रीय संसाधन इकाई,કેન્દ્રીય સંસાધન એકમ
केंद्रीय संसाधित्र,કેન્દ્રીય પ્રોસેસર
मध्यमान,સરેરાશ સ્કેલ
मध्य आवृत्ति,મધ્ય આવર્તન
मध्य निष्कासी ट्रांसफॉर्मर,મધ્યમ એક્ઝોસ્ટ ટ્રાન્સફોર્મર
"सिरेमिक, मृत्तिका","સિરામિક, માટી"
सिरेमिक पूरक,સિરામિક ફિલર
सिरेमिक फिल्टर,સિરામિક ફિલ્ટર
सिरेमिक पदार्थ,સિરામિક સામગ્રી
सिरेमिक अनुनादी,સિરામિક રેઝોનેટર
सिरेमिक ध्वनि उद्ग्राही,સિરામિક સાઉન્ડ રીસીવર
सेरेन्कोव गणित्र,સેરેનકોવ કેલ્ક્યુલેટર
सरमेट,સરમત
कैल्कोजेनाइड,chalcogenide
कैल्कोपाइराइट,કેલ્કોપીરાઈટ
"चैनल, वाहिका","ચેનલ, ચેનલ"
चैनल बैंड विस्तार,ચેનલ બેન્ડ વિસ્તરણ
चैनल कोडित्र,ચેનલ કોડર
चैनल आवृत्ति,ચેનલ આવર્તન
चैनल वरित्र,ચેનલ પાત્ર
चैनल पृथक्करण,ચેનલ અલગ
चैनल सिद्धांत,ચેનલ સિદ્ધાંત
वर्ण जनित्र,અક્ષર જનરેટર
संप्रतीक पहचान,પાત્રની ઓળખ
अभिलाक्षणिक प्रतिबाधा,લાક્ષણિક અવબાધ
आवेश वाहक,ચાર્જ કેરિયર
आवेश नियंत्रक प्राचल,ચાર્જ નિયંત્રણ પરિમાણ
आवेश युग्मित युक्ति,ચાર્જ જોડી ઉપકરણ
आवेश युग्मित यादृच्छिक अभिगम स्मृति,ચાર્જ જોડી રેન્ડમ એક્સેસ મેમરી
आवेश घनत्व,ચાર્જ ઘનતા
आवेश अंतःक्षेपण युक्ति,ચાર્જ ઈન્જેક્શન ઉપકરણ
आवेश हानि,ચાર્જ નુકશાન
आवेश पंपन,ચાર્જ પમ્પિંગ
आवेश संवेदी प्रवर्धक,ચાર્જ સેન્સિંગ એમ્પ્લીફાયર
आवेश संचयन,ચાર્જ સંગ્રહ
आवेशित कण,ચાર્જ કણો
आवेशक,જુસ્સાદાર
ढाँचा,ફ્રેમ
रोबिशेव फिल्टर,રોબીશેવ ફિલ્ટર
जाँच योग,કુલ તપાસો
जाँच आवृत्ति,આવર્તન તપાસો
रासायनिक आबंध,રાસાયણિક બંધન
रासायनिक वाष्प निक्षेपण,રાસાયણિક વરાળ જુબાની
चाइल्ड लॉक सुविधा,ચાઇલ્ડ લોક સુવિધા
चाइल्ड का नियम,બાળકનો કાયદો
चिप,ચિપ
चिप सक्रियन,ચિપ સક્રિયકરણ
चोक,ગૂંગળામણ
अन्तरायिक,તૂટક તૂટક
अन्तरायिक प्रवर्धक,તૂટક તૂટક એમ્પ્લીફાયર
अन्तरायिक प्रवर्धक,તૂટક તૂટક એમ્પ્લીફાયર
अन्तरायिक विधा,તૂટક તૂટક મોડ
क्रोमा प्रवर्धक,ક્રોમા એમ્પ્લીફાયર
वर्णकता आरेख,લાક્ષણિકતા રેખાકૃતિ
वर्णकत्व,પિગમેન્ટેશન
वृत्त आरेख,વર્તુળ રેખાકૃતિ
परिपथ,સર્કિટ
परिपथ विश्लेषण,સર્કિટ વિશ્લેષણ
परिपथ विच्छेदक,સર્કિટ બ્રેકર
परिपथ आरेख,પરિપથ આકૃતિ
परिपथ संकेतन,સર્કિટ નોટેશન
परिपथ स्विचन,સર્કિટ સ્વિચિંગ
वृत्ताकार तरंग पथ,ગોળાકાર તરંગ માર્ગ
परिसंचारक स्मृति,ફરતી મેમરી
बंधन परिपथ,બંધન સર્કિટ
क्लैप दोलित्र,ક્લૅપ ઓસિલેટર
वर्ग ए प्रवर्धक,વર્ગ A એમ્પ્લીફાયર
वर्ग A] B] C] D प्रचालन,વર્ગ A] B] C] D કામગીરી
वर्ग B प्रवर्धक,વર્ગ બી એમ્પ્લીફાયર
वर्ग C प्रवर्धक,વર્ગ સી એમ્પ્લીફાયર
वर्ग D प्रवर्धक,વર્ગ ડી એમ્પ્લીફાયર
S वर्ग निकाय,એસ વર્ગ શરીર
"निष्कासन, निर्मल","હકાલપટ્ટી, સ્વચ્છ"
कर्तन,ઉતારવું
कर्तन परिपथ,ઉતારવાની સર્કિટ
कालद,કેલાડ
कालद आवृत्ति,ઘડિયાળની આવર્તન
कालद स्पंद जनित्र,ઘડિયાળ પલ્સ જનરેટર
