English,Marathi
Aleuroplast,अलेरोप्लास्ट
Alfalfa,अल्फल्फा
Algal bloom,अल्गल ब्लूम
Algin,अल्गिन
Alien DNA,एलियन डीएनए
Alien species,एलियन प्रजाती
Alignment,संरेखन
Alignment,संरेखन
Alimentary canal,एलिमेंटरी कालवा
Alimentary system,एलिमेंटरी सिस्टम
Alismaceace,अलिसमासेस
Alkaloid,अल्कलॉइड
Alkaline,अल्कधर्मी
Alkaptonuria,अल्काप्टोनुरिया
Allantois,अलांटोइस
Allele frequency,अ‍ॅलेल वारंवारता
Allele,अ‍ॅलेल
Allelomorphic pair,Lel लोमॉर्फिक जोडी
Allergen,L लर्जीन
Alligator,अ‍ॅलिगेटर
Allium cepa,अ‍ॅलियम सेपा
Allogamy,अ‍ॅलोगॅमी
Allograft,अ‍ॅलोग्राफ्ट
Allopatric speciation,अ‍ॅलोपॅट्रिक स्पेशिएशन
Allopolyploid,Ol लोपोलिपॉइड
Allosteric effect,अ‍ॅलोस्टेरिक प्रभाव
Allosteric enzyme,अ‍ॅलोस्टेरिक एंझाइम
Allosteric inhibitor,अ‍ॅलोस्टेरिक इनहिबिटर
Allosteric modulation,अ‍ॅलोस्टेरिक मॉड्यूलेशन
Allosteric site,अ‍ॅलोस्टेरिक साइट
Allosteric inhibition,अ‍ॅलोस्टेरिक इनहिबिशन
Allotetraploid,अ‍ॅलोटेट्रॅप्लॉइड
Alnus,अल्नस
Aloe,कोरफड
Along the axon,On क्सॉनच्या बाजूने
Alpha-antitrypsin,अल्फा-अँटीट्रिप्सिन
Alpha-lactalbumin,अल्फा-लेक्टलब्यूमिन
Alpine climate condition,अल्पाइन हवामान स्थिती
Alpine meadow,अल्पाइन कुरण
Alpine zone,अल्पाइन झोन
Alstonia,अल्स्टोनिया
Alternaria,अल्टरनेरिया
Alternate,वैकल्पिक
Alternation of generation,पिढीचे पर्यायी
Altitude sickness,उंची आजारपण
Altitude,समुद्रसपाटीपासूनची उंची
Alveolar duct,अल्व्होलर नलिका
Alytes,एलिटेस
Alzheimer's disease,अल्झायमर रोग
Amacrine cell,अमॅक्रिन सेल
Amaranthaceae,अमरॅन्थेसी
Amaranthus,अमरॅन्थस
Ambient osmotic concentration,वातावरणीय ऑस्मोटिक एकाग्रता
Ambystoma,अ‍ॅम्बिस्टोमा
Amide,अमाइड
Amino acid,अमिनो आम्ल
Amino acid acceptor,अमीनो acid सिड स्वीकारणारा
Aminoacyl t RNA synthetase,एमिनोआसिल टी आरएनए सिंथेथेस
Aminoacylation,एमिनोआसिलेशन
Amitosis,अमिटोसिस
Ammonia,अमोनिया
Ammonification,अमोनिफिकेशन
Ammonotelism,अमोनोटेलिझम
Amniocentesis,अ‍ॅम्निओसेन्टेसिस
Amniocentesis technique,अ‍ॅम्निओसेन्टेसिस तंत्र
Amniocyte,अ‍ॅम्निओसाइट
Amnion,अम्नियन
Amniotic fluid,गर्भाशयातील द्रव
Amniotic membrane,अम्नीओटिक झिल्ली
Amniotic sac,अम्नीओटिक थैली
Amoeba,अमोबा
Amoebocyte,अमीबोसाइट
Amoeboid,अमोबॉइड
Amoeboid lymphocyte,अ‍ॅमोबॉइड लिम्फोसाइट
Amoeboid movement,अ‍ॅमोबॉइड चळवळ
Amorphous,अनाकार
Amount,रक्कम
Amphetamine,अ‍ॅम्फेटामाइन
Amphibia,उभयचर
Amphibian,उभयचर
Amphibian,उभयचर
Amphioxus,अ‍ॅम्फिओक्सस
Amphioxus lanceolatus,अ‍ॅम्फिओक्सस लॅन्सोलाटस
Amphipathic,अ‍ॅम्फिपाथिक
Amphipathic lipid,अ‍ॅम्फिपाथिक लिपिड
Amphisarca,अ‍ॅम्फिसार्का
Ampicillin,अ‍ॅम्पिसिलिन
Ampulla,अ‍ॅम्पुल्ला
Ampullary gland,अ‍ॅम्प्युलरी ग्रंथी
Amygdal,अ‍ॅमीगडल
Amygdale,अ‍ॅमीगडेल
Amygdalin,अ‍ॅमीग्डालिन
Amylase,अ‍ॅमिलेज
Amyloplast,अ‍ॅमिलोप्लास्ट
Anabaena,अनाबेना
Anabas,अनबास
Anabolic pathways,अ‍ॅनाबॉलिक मार्ग
Anabolism,अ‍ॅनाबोलिझम
Anacardiaceae,अ‍ॅनाकार्डियासी
Anaemia,अशक्तपणा
Anaerobe,अनरोब
Anaerobic fuel,अनॅरोबिक इंधन
Anaerobic respiration,अनरोबिक श्वसन
Anaerobic sludge digester,अनॅरोबिक गाळ डायजेस्टर
Anaerobic,अनॅरोबिक
Anaima,अनाईमा
Anal,गुदद्वारासंबंधीचा
Anal,गुदद्वारासंबंधीचा
Anal aperture,गुदद्वारासंबंधीचा छिद्र
Anal cerci,गुदद्वारासंबंधीचा सेर्सी
Anal loop,गुद्द्वार लूप
Anal style,गुद्द्वार शैली
Analogous,समान
Analogous,समान
Analogy,समानता
Analogy,समानता
Analysis,विश्लेषण
Anaphase,अनाफेस
Anatomic barrier,शरीरशास्त्र अडथळा
Anatomical aspect,शारीरिक पैलू
Anatomist,शरीरशास्त्रज्ञ
Anatomy,शरीरशास्त्र
Ancestor descendant sequence,पूर्वज वंशज अनुक्रम
Ancestral lineage,वडिलोपार्जित वंश
Ancestral sequence,वडिलोपार्जित क्रम
Ancylostoma,एन्सिलोस्टोमा
Androecium,एंड्रोइसीयम
Androgen,एंड्रोजेन
Anemia,अशक्तपणा
Anemone,Enemone
Aneuploid,Eneuploid
Aneuploidy,Eneuploidy
Angina,एनजाइना
Angiogram,एंजिओग्राम
Angiograph,एंजियोग्राफ
Angiography,एंजियोग्राफी
Angioplasty,एंजियोप्लास्टी
Angiosperm,एंजिओस्पर्म
Angiotensin,अँजिओटेन्सिन
Angiotensinogen,एंजियोटेंसीनोजेन
Angler fish,अँगलर फिश
Anguina,एंगुइना
Anguis,एंगुइस
Animal,प्राणी
Animal,प्राणी
Animal dung,प्राणी शेण
Animal husbandry,पशुसंवर्धन
Animal karyotyping,अ‍ॅनिमल कॅरिओटाइपिंग
Animal kingdom,प्राण्यांचे राज्य
Animal tissue,प्राणी ऊतक
Animalia,अ‍ॅनिमालिया
Anion,आयन
Anisotropic band,एनिसोट्रॉपिक बँड
Annealing,En नीलिंग
Annelid,अ‍ॅनेलिड
Annelida,अ‍ॅनेलिडा
Annual ring,वार्षिक रिंग
Annulated,एनुलेटेड
Annule,एन्युले
Anomalous type,विसंगती प्रकार
Anopheles,अ‍ॅनोफेल्स
Ant eater,मुंगी खाणारा
Antagonistic,विरोधी
Antarctic,अंटार्क्टिक
Antenna,अँटेना
Antenna complex,अँटेना कॉम्प्लेक्स
Antennal gland,अँटेनल ग्रंथी
Anterior (ventral) gray horn,पूर्ववर्ती (व्हेंट्रल) ग्रे हॉर्न
Anterior hypophysis,आधीचा हायपोफिसिस
Anterior interventricular sulcus,पूर्ववर्ती इंटरव्हेंट्रिक्युलर सल्कस
Anther,अँथर
Anther culture,अँथर संस्कृती
Antheridium,अँथेरिडियम
Antherozoid,अँथेरोझॉइड
Anthoceros,अँथोसेरोस
Anthocerotopsida,अँथोसेरोटोप्सिडा
Anthrax,अँथ्रॅक्स
Anthropogenic extinction,अँथ्रोपोजेनिक विलोपन
Anthropology,मानववंशशास्त्र
Antibacterial,अँटीबैक्टीरियल
Antibiotic penicillin,अँटीबायोटिक पेनिसिलिन
Antibiotic resistant,प्रतिजैविक प्रतिरोधक
Antibiotic(s),प्रतिजैविक (ओ)
Antibody,प्रतिपिंडे
Antibody couple,अँटीबॉडी जोडपे
Antibody mediated immunity,प्रतिपिंडे मध्यस्थ प्रतिकारशक्ती
Anticoagulant,अँटीकोआगुलंट
Anticodon loop,अँटीकोडॉन लूप
Antidepressant,प्रतिरोधक
Antidiuretic hormone (ADH),अँटीडियुरेटिक हार्मोन (एडीएच)
Antigen gene,अँटीजेन जनुक
Antigen-antibody complex,अँटीजेन-अँटीबॉडी कॉम्प्लेक्स
Antigenic determinant,प्रतिजैविक निर्धारक
Antinutritional factor,विरोधी घटक
Antioxidant,अँटीऑक्सिडेंट
Antipodal nucleus,अँटीपोडल न्यूक्लियस
Anti-sense RNA,अँटी-सेन्स आरएनए
Antiviral protein,अँटीवायरल प्रथिने
Antrum,अँट्रम
Anucleate,Anucleate
Anus,गुद्द्वार
Anxiety disorder,चिंता डिसऑर्डर
Aortic arch,महाधमनी कमान
Aortic ganglion,महाधमनी गँगलियन
Aortic semilunar valve,महाधमनी सेमीलूनर वाल्व
Aortic valve,महाधमनी वाल्व्ह
APC (anaphase promoting complex),एपीसी (अनाफेस प्रोत्साहन कॉम्प्लेक्स)
Apelike ancestor,अपीलिक पूर्वज
Aphid,Ph फिड
Aphrodite,Ph फ्रोडाईट
Apical dominance,एपिकल वर्चस्व
Apical pad,एपिकल पॅड
Apiculture,एपिकल्चर
Apis indica,एपीआयएस इंडिका
Aplanospore,अप्प्लानोस्पोर
Aplysia,अप्लिसिया
Apocarpae,अपोकार्पा
Apocarpous,अपोकार्पस
Apocarpous ovary,अपोकार्पस अंडाशय
Apocrine gland,अपोक्राइन ग्रंथी
Apoenzyme,अपोएन्झाइम
Apomict,Apomict
Apomixis,अपोमिक्सिस
Apoplasm,अपोप्लाझम
Apoplastic pathway,अपोप्लास्टिक मार्ग
Apoptosis,अ‍ॅपॉप्टोसिस
Apparatus,उपकरणे
Appendicular skeleton,परिशिष्ट सांगाडा
Appendix of the caecum,कॅकमचे परिशिष्ट
Apple snail,Apple पल गोगलगाय
Aquaculture,जलचर
Aquaporin,एक्वापोरिन
Aquatic amphibian,जलचर उभयचर
Aquatic form,जलीय फॉर्म
Aquatic habitat,जलचर निवासस्थान
Aquatic organism,जलीय जीव
Aquatic plant,जलचर वनस्पती
Aquatic respiration,जलीय श्वसन
Aqueous fluid,जलीय द्रव
Aqueous humur,जलीय ह्यूमर
Aqueous intra-cellular fluid,जलीय इंट्रा-सेल्युलर फ्लुइड
Aqueous sample,जलीय नमुना
Aqueous solution,जलीय समाधान
Aquila,एक्विला
Arabidopsis,अरबीडोप्सिस
Arachnida,अराच्नीडा
Arachnoid,अराच्नॉइड
Araneus,अरेनियस
Arborescent,आर्बोरेंट
Arborescent lycopod,आर्बोरसेंट लाइकोपॉड
Archaebacteria,आर्चीबॅक्टेरिया
Archegonium,आर्चेगोनियम
Archipelago,द्वीपसमूह
Arctic,आर्क्टिक
Arctic tern,आर्क्टिक टर्न
Arctic tundra,आर्क्टिक टुंड्रा
Ardea,आर्दिया
Areolar tissue,आयरोलर टिश्यू
Argemone (prickly poppy),अर्गेमोन (काटेकोर खसखस)
Argemone mexicana,अर्गेमोन मेक्सिकाना
Arginine,आर्जिनिन
Arid region,शुष्क प्रदेश
Aristolochiaceae,अरिस्टोलोचियासी
Arm feeding,आर्म फीडिंग
Armyworm,आर्मी किडे
Aroid,एआरआयडी
Aroma,सुगंध
Arrester,अरेस्टर
Artemisia,आर्टेमिसिया
Arterial systolic,धमनी सिस्टोलिक
Arteriosclerotic,आर्टेरिओस्क्लेरोटिक
Arthropod,आर्थ्रोपॉड
Arthritis,संधिवात
Arthropoda,आर्थ्रोपोडा
Articular cartilage,आर्टिक्युलर कूर्चा
Articulate,अभिव्यक्ती
Articulated,स्पष्ट
Artificial pacemaker,कृत्रिम पेसमेकर
Artificial selection,कृत्रिम निवड
Artocarpus heterophyllus,आर्टोकार्पस हेटरोफिलस
Asbestos fibre,एस्बेस्टोस फायबर
Asbestosis,एस्बेस्टोसिस
Ascaris,एस्केरिस
Ascending chromatography,चढत्या क्रोमॅटोग्राफी
Ascidia,Ascidia
Ascidian,एएससीआयडीयन
Ascocarp,एस्कोकार्प
Ascomycetes,एस्कॉमीसेट्स
Ascorbic acid,एस्कॉर्बिक acid सिड
Ascospore,एस्कोपोर
Ascus,एस्कस
Aseptate,सेपेटेट
Asexual reproduction,अलौकिक पुनरुत्पादन
Asexual spore,अलौकिक बीजाणू
Asparagine synthetase,शतावरी सिंथेथेस
Asparagus,शतावरी
Aspartic acid,एस्पार्टिक acid सिड
Aspergillus niger,एस्परगिलस नायजर
Aspergillus,एस्परगिलस
Asphodelus tenuifolius,एपोडेलस टेनुइफोलियस
Aspirin,अ‍ॅस्पिरिन
Assay,परख
Assemblage,असेंब्लीज
Assimilation efficiency,आत्मसात करण्याची कार्यक्षमता
Assimilatory root,आत्मसात करणारे मूळ
Assisted reproductive technique,सहाय्यक पुनरुत्पादक तंत्र
Association area,असोसिएशन क्षेत्र
Associative symbiosis,असोसिएटिव्ह सहजीवन
Assortment and recombination,वर्गीकरण आणि पुनर्संयोजन
Assortment of factor,घटकांची वर्गीकरण
Astacus,अस्टाकस
Asteraceae,Asteraceae
Asterales,एस्टेरेल्स
Asteroid,लघुग्रह
Asthma,दमा
Astragalus gummifer,अ‍ॅस्ट्रॅगलस गमिफर
Astral spindle pole,सूक्ष्म स्पिंडल पोल
Astronomer,खगोलशास्त्रज्ञ
Asymmetric karyotype,असममित कॅरिओटाइप
Asymmetrical,असममित
Atheromatous,एथेरोमॅटस
Atherosclerosis,एथेरोस्क्लेरोसिस
Atherosclerotic plaque,एथेरोस्क्लेरोटिक प्लेक
Atlas,नकाशांचे पुस्तक
Atlas vertebra,Las टलस व्हर्टेब्रा
Atmosphere,वातावरण
Atmospheric,वातावरणीय
Atmospheric inputs,वातावरणीय इनपुट
Atomic force microscope,अणु शक्ती मायक्रोस्कोप
Atom,अणू
ATP ase,एटीपी एएसई
Atrial contraction,एट्रियल कॉन्ट्रॅक्शन
Atrial fibrillation,एट्रियल फायब्रिलेशन
Atrial natriuretic factor (ANF),एट्रियल नॅट्युरेटिक फॅक्टर (एएनएफ)
Atrial node,एट्रियल नोड
Atrial systole,एट्रियल सिस्टोल
Atrioventricular node,एट्रिओव्हेंट्रिक्युलर नोड
Atrioventricular valve,एट्रिओव्हेंट्रिक्युलर वाल्व
Atrium (peatria),अट्रियम (पीटरिया)
Atrium (peatria),अट्रियम (पीटरिया)
Atropa belladonna,अट्रोपा बेलॅडोना
Atrophy,अ‍ॅट्रोफी
Atropine alkaloid,अ‍ॅट्रोपिन अल्कलॉइड
Attachment plate,संलग्नक प्लेट
Auditory cortex,श्रवणविषयक कॉर्टेक्स
Aulosira,औलोसिरा
Auricle (auricula),ऑरिकल (ऑरिकुला)
Auricle (auricula),ऑरिकल (ऑरिकुला)
Auricle (auricula),ऑरिकल (ऑरिकुला)
Auricle (auricula),ऑरिकल (ऑरिकुला)
Australopithecines,ऑस्ट्रेलोपीथिसिन
Autecology,ऑटेकोलॉजी
Automated DNA sequencer,स्वयंचलित डीएनए सिक्वेंसर
Autopolyploid,ऑटोपॉलिपॉइड
Autoanalyser,ऑटोनॅलिझर
Autogamy,ऑटोगॅमी
Autogamy,ऑटोगॅमी
Autograft,ऑटोग्राफ्ट
Autoimmune disease,स्वयंप्रतिरोधक रोग
Automobile exhaust,ऑटोमोबाईल एक्झॉस्ट
Autonomic (involuntary) nervous system,स्वायत्त (अनैच्छिक) मज्जासंस्था
Autophagic lysosome,ऑटोफॅजिक लायसोसोम
Autoploid,ऑटोप्लॉइड
Autopodium,ऑटोपोडियम
Autopolyploid,ऑटोपॉलिपॉइड
Autosomal chromorome,ऑटोसोमल क्रोमोरोम
Autosomal gene,ऑटोसोमल जनुक
Autosome,ऑटोसोम
Autotetraploid,ऑटोटेट्रॅप्लॉइड
Autotomy,ऑटोमी
Autotriploid variety,ऑटोट्रिप्लॉइड विविधता
Autotroph,ऑटोट्रोफ
Autumn wood,शरद .तूतील लाकूड
Auxanograph,ऑक्सानोग्राफ
Auxanometer,ऑक्सोनोमीटर
Auxetic growth,ऑक्सेटिक ग्रोथ
Auxin,ऑक्सिन
Auxotroph,ऑक्सोट्रोफ
A V bundle,एक व्ही बंडल
Aves,एवेज
Avicennia,एव्हिसेनिया
Awn,ओएन
Axial skeleton,अक्षीय सांगाडा
Axile,अक्ष
Axillary bud,अक्षीय अंकुर
Axillary,अक्षीय
Axis vertebra,अक्ष कशेरुका
Axon,On क्सॉन
Axonal membrane,अक्षीय पडदा
Axonally,अक्षरी
Axoneme,On क्सोनिम
Azospirillum,अझोस्पिरिलम
Azotobacter,अझोटोबॅक्टर
Azygous vein,Azygous शिर
Bacillus anthracis,बॅसिलस अँथ्रासिस
Bacillus thuringiensis (Bt),बॅसिलस थुरिंगेनेसिस (बीटी)
Bacillus,बॅसिलस
Bacteria,जिवाणू
Bacterial,बॅक्टेरिया
Bacterial artificial chromosome (BAC),बॅक्टेरियातील बॅक्टेरियातील गुणसूत्र (बीएसी)
Bacterial pathogen,बॅक्टेरियातील रोगजनक
Bacterial plasma membrane,बॅक्टेरियाचा प्लाझ्मा पडदा
Bacterial strain,बॅक्टेरियाचा ताण
Bacteriological,बॅक्टेरियोलॉजिकल
Bacteriological nomenclature,बॅक्टेरियोलॉजिकल नामांकन
Bacteriophage,बॅक्टेरियोफेज
Bacterium,बॅक्टेरियम
Baculovirus,बॅकुलोव्हायरस
Bagging,बॅगिंग
Balaenoptera,बालेनोप्टेरा
Balanced polymorphism,संतुलित पॉलिमॉर्फिझम
Balancing selection,संतुलन निवड
Balanoglossus,बालानोग्लोसस
Balanus,बालानस
Balausta,बलौस्टा
Ball and socket joint,बॉल आणि सॉकेट संयुक्त
Balloon catherization,बलून कॅथरायझेशन
Bam H I,बाम एच i
Bamboo-shoot,बांबू शूट
Banded anteater,बॅंडेड अँटीटर
Banding technique,बँडिंग तंत्र
Barbiturate,बार्बिटेट
Bare rock,बेअर रॉक
Barrier,अडथळा
Bark,साल
Barnacle,बॅंकॅकल
Basal body,बेसल बॉडी
Basal cover,बेसल कव्हर
Basal ganglion,बेसल गॅंग्लियन
Basal pad,बेसल पॅड
Base,पाया
Base pair,बेस जोडी
Basement membrane,तळघर पडदा
Basidiocarp,बासिडीओकार्प
Basidiomycetes,बासिडीओमायसेट्स
Basidiospore,बासिडीओस्पोर
Basidium,बॅसिडियम
Basifixed,बेसिफिक्स्ड
Basilar membrane,बेसिलर पडदा
Basipetal internode order,बासिपेटल इंटर्नोड ऑर्डर
Basophil,बासोफिल
Basophilic,बासोफिलिक
Batesian mimicry,बेट्सियन मिमिक्री
Bath sponge,बाथ स्पंज
Bath sponge,बाथ स्पंज
Bauhinia,बौहिनिया
Beat,बीट
Beehive,मधमाश्या
Beewax,बीवॅक्स
Begonia,बेगोनिया
Behavioural adaptation,वर्तणूक अनुकूलता
Bel,बेल
Belladonna,बेलॅडोना
Benign tumour,सौम्य ट्यूमर
Benthic,बेंथिक
Benzene hexachloride (BHC),बेंझिन हेक्साक्लोराईड (बीएचसी)
Benzene,बेंझिन
Berenil,बेरेनिल
Berry,बेरी
Beta diversity,बीटा विविधता
Betula,बेटुला
B-globin,बी-ग्लोबिन
Bhang,भांग
Bhetki,भेटकी
B-horizon,बी-होरिझन
Bicarbonate,बायकार्बोनेट
Bicarpellary,बायकारपेलरी
Bicarpellatae,बायकार्पेलाटा
Biceps,बायसेप्स
Biconcave,बायकोन्केव्ह
Biconvex,बायकोन्व्हेक्स
Biconvex-spherical lens,बायकोन्व्हेक्स-गोलाकार लेन्स
Bicuspid valve,बायिकसपिड वाल्व
Bidder's canal,निविदाकाराचा कालवा
Bidder's organ,निविदाकाराचा अवयव
Biennial,द्विवार्षिक
Big Bang theory,बिग बॅंग सिद्धांत
Bilabiate,बिलाबिएट
Bilateral symmetry,द्विपक्षीय सममिती
Bilateria,बिलाटेरिया
Bilayer,बिलेयर
Bile,पित्त
Bile pigment,पित्त रंगद्रव्य
Bile salt,पित्त मीठ
Binary fission,बायनरी विखंडन
Binding fluorochrome,बंधनकारक फ्लोरोक्रोम
Binding of substrate,सब्सट्रेटचे बंधन
Binocular,दुर्बिणी
Binocular head,दुर्बिणीचे डोके
Binocular vision,दुर्बिणीचा दृष्टी
Binomial,द्विपक्षीय
Binomial nomenclature,द्विपक्षीय नामांकन
Binomial system,द्विपदी प्रणाली
Binuleate,बिनुलीट
Bioactive microbial product,बायोएक्टिव्ह मायक्रोबियल उत्पादन
Biochemical pathway,बायोकेमिकल मार्ग
Biochemical reaction,बायोकेमिकल प्रतिक्रिया
Biomedical engineering,बायोमेडिकल अभियांत्रिकी
