Odiya,Kannada
1. କୃଷି ଶ୍ରମ 2. କୃଷି ଶ୍ରମ |,1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ
କୃଷି ମାର୍କେଟିଂ |,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ
କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
1. କୃଷି 2. ଚାଷ 3. କୃଷି ବିଜ୍ଞାନ |,1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ
କୃଷି ଜଙ୍ଗଲ,ಕೃಷಿ ಅರಣ್ಯ
କୃଷି ଜ odi ବ ବିବିଧତା |,ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ
କୃଷି ଜ organic ବିକ ତ୍ରୁଟି |,ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು
କୃଷି ଜୀବ ବିଜ୍ଞାନ |,ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ
କୃଷି-ଜଳବାୟୁ ବିବିଧତା |,ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ
agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |,ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ
କୃଷି ଜଙ୍ଗଲ,ಕೃಷಿ ಅರಣ್ಯ
କୃଷି,ಕೃಷಿಶಾಸ್ತ್ರ
ଆଗ୍ରୋନୋମିକ୍,ಕೃಷಿಶಾಸ್ತ್ರ
କୃଷି ପାଳକ,ಕೃಷಿ ಪಶುಪಾಲಕ
ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |,ಬೆಳೆ ಸಂಸ್ಕರಣೆ
ଘାସ ବିଜ୍ଞାନ |,ಹುಲ್ಲು ವಿಜ್ಞಾನ
ଫସଲ ପ୍ରକାର |,ಬೆಳೆ ಪ್ರಕಾರ
ଏପିଫାଇଟ୍ |,ಎಪಿಫೈಟ್
aikiochi ମାଟି |,ಐಕಿಯೋಚಿ ಮಣ್ಣು
ରଙ୍ଗ ଅନ୍ଧତା |,ಬಣ್ಣಗುರುಡು
ଆଲଫିସୋଲ୍ |,ಅಲ್ಫಿಸೋಲ್
ଶାଗ,ಪಾಚಿ
ଆଲଗା ରୋଗ,ಪಾಚಿ ರೋಗ
କ୍ଷାର ଜଳ |,ಕ್ಷಾರ ನೀರು
କ୍ଷାର,ಕ್ಷಾರೀಯ
ବିକଳ୍ପ,ಪರ್ಯಾಯ
ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |,ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ
ଆଲେଲେ,ಆಲೀಲ್
ଆଲେଲୋପାଥି,ಅಲೆಲೋಪತಿ
ଭେଟି ଫସଲ |,ವೇಥಿ ಬೆಳೆ
ସମାପ୍ତି,ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ
ଫର୍ଟିଲାଇଜେସନ୍,ಫಲೀಕರಣ
1. ଆପେକ୍ଷିକତା 2. ଆଲୋମେଟ୍ରି |,1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ
ମଲ୍ଟିପ୍ଲୋଡି,ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್
1. ପାରାଜାଇଗୋସିଟି |,1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ
1. ବ Year କଳ୍ପିକ ବର୍ଷ କାର୍ଯ୍ୟ 2. ବିକଳ୍ପ କାର୍ଯ୍ୟ |,1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ
ବିକଳ୍ପ ଜମି ବ୍ୟବହାର |,ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ
ପରିବେଶ,ಪರಿಸರ
ସଂସ୍କାରକ,ಸುಧಾರಕ
ମାଇଟୋସିସ୍,ಮಿಟೋಸಿಸ್
ଆମେନାନ୍,ಅಮೀನನ್
ଆମୋନିଅନ୍ |,ಅಮೋನಿಯನ್
amniferous,ಆಮ್ನಿಫೆರಸ್
1. ପ୍ରଭାବହୀନ ଫର୍ମ 2. ଅରୁପି |,1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ
ଆମ୍ଫିବିଆନ୍ ମିଶ୍ରଣ |,ಉಭಯಚರ ಮಿಶ್ರಣ
ଆମ୍ଫୋଟେରିକ୍ |,ಆಂಫೋಟರಿಕ್
ଷ୍ଟକପିଲିଂ |,ಸಂಗ್ರಹಣೆ
1. ଆନାଏରୋବିକ୍ 2. ଆନାଏରୋବିକ ଜୀବ |,1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು
ହାପ୍ଲଏଡ୍ |,ಹ್ಯಾಪ್ಲಾಯ್ಡ್
କୋଣାର୍କ ବୃକ୍ଷ ରୋପଣ |,ಕೋನೀಯ ನೆಟ್ಟ
ପଶୁପାଳନ,ಪಶುಸಂಗೋಪನೆ
ପଶୁ ନିର୍ଗମନ,ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ
ଜୀବନ୍ତ ଶକ୍ତି,ಜೀವನ ಶಕ್ತಿ
ଅସନ୍ତୁଷ୍ଟ |,ಅಸಂಗತ
ଏକ ବର୍ଷ ପୁରୁଣା ଉଦ୍ଭିଦ |,ಒಂದು ವರ್ಷದ ಸಸ್ಯ
ବାର୍ଷିକ,ವಾರ್ಷಿಕ
1. ଉତ୍କଣ୍ଠା 2. ପ୍ରଭାବ,1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ
ଆନ୍ଥ୍ରାକ୍ସ,ಆಂಥ್ರಾಕ್ಸ್
ଆନ୍ଥ୍ରୋପୋଜେନିକ୍ କାରକଗୁଡିକ |,ಮಾನವಜನ್ಯ ಅಂಶಗಳು
ବଞ୍ଚିବା,ಬದುಕುಳಿಯುವಿಕೆ
1. ଆଣ୍ଟିବାୟୋଟିକ୍ 2 ଆଣ୍ଟିବାୟୋଟିକ୍ |,1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ
ଘୃଣ୍ୟ,ಹಿಮ್ಮೆಟ್ಟಿಸುವ
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,ಆಂಟಿಟಾಕ್ಸಿನ್
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,ಉಂಗುರದ ಬೆರಳು
1. ଆପିଡ୍ 2. ମାହୁ 3. ଚେପା |,1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ
ଉପର ଗୁଣ୍ଡ |,ಮೇಲಿನ ಮೊಗ್ಗು
ଶିଖର ପ୍ରଭାବ,ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ
ମହୁମାଛି ପାଳନ,ಜೇನುಸಾಕಣೆ
ସମଲିଙ୍ଗୀତା,ಅಲೈಂಗಿಕತೆ
ଆପୋପ୍ଟୋସିସ୍ |,ಅಪೊಪ್ಟೋಸಿಸ್
ଅନୁକ୍ରମଣିକା,ಅನುಬಂಧಗಳು
ଭୋକ,ಜೀರ್ಣಕಾರಕವಾಗಿ
ପ୍ରୟୋଗ ହୋଇଛି |,ಅನ್ವಯಿಸಲಾಗಿದೆ
ଜଳୀୟ ତୃଣ,ಜಲವಾಸಿ ಕಳೆ
1. ବୃକ୍ଷ 2. ବୃକ୍ଷ ନିବାସୀ |,1. ಮರ 2. ಮರದ ನಿವಾಸಿ
ଶାଖା,ಕವಲೊಡೆಯುತ್ತಿದೆ
ପ୍ରୋଟୋବୋଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
ଜୋନ୍ ସଂଖ୍ୟା,ವಲಯ ಸಂಖ್ಯೆ
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
ଶୁଖିଲା ଇକୋସିଷ୍ଟମ୍ |,ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
କୋଟିଲଡନ୍ |,ಕೋಟಿಲ್ಡನ್
ସ aur ରଭ |,ಸೌರಭ್
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ
ସୁଗନ୍ଧିତ ଚାଉଳ |,ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ
ଇକଶୁ ପୁଷ୍ପନ୍ |,ಇಕ್ಷು ಪುಷ್ಪನ್
ଆସେପ୍ଟିକ୍ |,ಅಸೆಪ್ಟಿಕ್
1. ଆସେପ୍ଟିକ୍ 2. ଆସେପ୍ଟିକ୍ |,1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್
ସମଲିଙ୍ଗୀ ପ୍ରଜନନ |,ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ
ଆକାର,ಗಾತ್ರ
ସମ୍ପତ୍ତି,ಆಸ್ತಿ
1. ଆସ୍ମିଲେସନ୍ 2. ଆସ୍ମିଲେସନ୍ |,1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ
1. ଆସୋସିଏସନ 2. ଆସୋସିଏସନ,1. ಸಂಘ 2. ಸಂಘ
1. ସ୍ତମ୍ଭ 2. ଜ୍ୟୋତିଷ,1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ
ହେଟେରୋଜାଇଗୋସିଟି |,ಹೆಟೆರೋಜೈಗೋಸಿಟಿ
1. ପିତୃପୁରୁଷ 2. ଆଟାଭିଜିମ୍ |,1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ
କଣିକା,ಕಣ
1. ଅନିଶ୍ଚିତତା 2. ଦୁର୍ବଳତା |,1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ
ଆତ୍ମ ଯୋଡି |,ಸ್ವಯಂ ಜೋಡಣೆ
ଅଟୋଲାଇସିସ୍,ಆಟೋಲಿಸಿಸ್
1. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ 2. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ |,1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ
ସ୍ୱୟଂ ମଲ୍ଟିପ୍ଲେକ୍ସଡ୍ |,ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್
ଆକ୍ସିନ୍,ಆಕ್ಸಿನ್
1. ହଲାନ୍ତୁ 2. ଟୋଡ୍ |,1. ಷೂಕ್ 2. ಟೋಡ್
ଦଣ୍ଡବିଧାନ ଜୀବାଣୁ |,ದಂಡದ ವೈರಸ್
1. ବାକିଲସ୍ 2. ବାକିଲସ୍ |,1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್
1. ଜୀବାଣୁ 2. ଜୀବାଣୁ,1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ
ଜୀବାଣୁ ବିଷାକ୍ତ,ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ
ବାଗାସେ |,ಬಗಸೆ
ତୂଳନା ପତ୍ର,ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
ସନ୍ତୁଳିତ ସାର ବ୍ୟବହାର |,ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ
ବାର୍ ଗ୍ରାଫ୍ |,ಬಾರ್ ಗ್ರಾಫ್
ଭୁକିବା |,ತೊಗಟೆ
1. ବାରୋମିଟର 2. ବାରୋମିଟର |,1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ
1. ବଜର୍ 2. ଅଦୃଶ୍ୟ 3. ବନ୍ଧ୍ୟା |,1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು
1. ଆଧାର 2. ଆଧାର 3. କପଙ୍ଗ |,1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್
1. ତାଲା 2. ବେସିନ |,1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ
ତଲାବିସାରି |,ತಲಾಬಿಸಾರಿ
1. ବେସ୍ଟର୍ନମ୍ 2. ମୂଳ ଧାରକ |,1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್
ଗଲ୍ଫ ମ so ସୁମୀ |,ಗಲ್ಫ್ ಮಾನ್ಸೂನ್
ଫଳ ଉଦ୍ଭିଦ |,ಹಣ್ಣಿನ ಗಿಡ
ଶଯ୍ୟା,ಹಾಸಿಗೆ
ଶଯ୍ୟା ଉଦ୍ଭିଦ |,ಹಾಸಿಗೆ ಸಸ್ಯ
ଶଯ୍ୟା,ಹಾಸಿಗೆ
ବିଲା ଗୁଣ୍ଡ |,ಬೀಟ್ ಮೊಲಾಸಸ್
ଘଣ୍ଟି,ಬೆಲ್ಲೋಸ್
1. ଷ୍ଟ୍ରିପ୍ 2. ଭୂମି,1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ
ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
ଆଶାକର୍ମୀ (ନମୁନା),ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ)
ଦ୍ୱି ବର୍ଷୀୟ ଉଦ୍ଭିଦ |,ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು
ଦ୍ୱିପାକ୍ଷିକ |,ದ್ವಿಪದ
ବାୟୋଫାକ୍ଟର |,ಜೈವಿಕ ಅಂಶ
ଜ bi ବିକ ଜଳବାୟୁ |,ಜೈವಿಕ ಹವಾಮಾನ
ଜ o ବ ଶକ୍ତି |,ಜೈವಿಕ ಶಕ್ತಿ
ଜୀବଜନ୍ତୁ ପରିବେଶ |,ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ
1. ବାୟୋ-ପ୍ରୋସେସର୍ 2. ବାୟୋ-ରିଆକ୍ଟର |,1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್
ଜ bi ବ ଜୀବ |,ಜೀವಗೋಳ
ବାୟୋଟିକ୍ |,ಜೈವಿಕ
ପ୍ରାଣୀ,ಪ್ರಾಣಿಸಂಕುಲ
ଡିଭିଲିଙ୍ଗୀ |,ದಿವಿಲಿಂಗಿ
ଧାୱାଲାନ୍ |,ಧವಳನ್
1. ପ୍ରଭାସନ୍ (ରୋଗ) 2. ଗୁଣ୍ଡ ରୋଗ |,1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ
ମିଶ୍ରଣ,ಮಿಶ್ರಣ
1. ଅଙ୍ଗମାରି (ରୋଗ) 2. ବ୍ଲାଇଟ୍ (ରୋଗ),1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ)
1. ଫୁଲା 2. ଫୁଲା 3. ଉଦ୍ଗୀରଣ 4. ଫୁଲା |,1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್
ନୀଳ ବିପ୍ଳବ |,ನೀಲಿ ಕ್ರಾಂತಿ
ପ୍ଲାନାର୍ ହିଟିଂ ଚାମ୍ବର |,ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್
ପ୍ଲାନାର୍ ଗରମ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ
କଞ୍ଚା |,ಹೊಟ್ಟು
ଶାଖା,ಕವಲೊಡೆಯುತ್ತಿದೆ
1. ଟ୍ୱିଗ୍ 2. ସବବ୍ରାଞ୍ଚ |,1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ
ପ୍ରଜାତି,ತಳಿ
ପ୍ରଜନନ,ಸಂತಾನೋತ್ಪತ್ತಿ
ଶୀଘ୍ର ଅଙ୍କୁର ଚିକିତ୍ସା |,ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ
1. ଘନ 2. ଅଣ୍ଡା 3. ଭ୍ରୁଣ |,1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ
ଅଙ୍କୁରିତ |,ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ
ବଜେଟ୍,ಬಜೆಟ್
1. ଆମ୍ଫୋଟେରିକ୍ 2. ବଫର୍ |,1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್
ମିଠା ଆଳୁ,ಸಿಹಿ ಆಲೂಗಡ್ಡೆ
ବଣ୍ଟ (ରୋଗ),ಬಂಟ್ (ರೋಗ)
1. ଉପ-ଉତ୍ପାଦ 2. ଉପ-ଉତ୍ପାଦ |,1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ
c ଆର୍ଦ୍ରତା ନିର୍ଦ୍ଦିଷ୍ଟ ବକ୍ର,c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್
ତେଲ କେକ୍ |,ಎಣ್ಣೆ ಕೇಕ್
1. ଚୂନ 2. କ୍ୟାଲସିୟମ୍ |,1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ
କାଲସିଅନ୍ |,ಕ್ಯಾಲ್ಸಿಯಾನ್
ଫସଫେଟ୍ ଅପସାରଣ |,ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ
1. କିନାଟା 2. କାଲାଟା |,1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ
1. କଲସ୍ 2. କିରଣ,1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ
1. କବରଗୁଡିକ 2. କାଲିକ୍ସ |,1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್
ବାହ୍ୟ ଶେଷ,ಹೊರಗಿನ ಅಂತ್ಯ
ଏଡା,ಈಧಾ
କର୍କଟ (ଜୀବାଣୁ),ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ)
କ୍ୟାନିଂ |,ಕ್ಯಾನಿಂಗ್
ଆକାଶ,ಆಕಾಶ
ଅର୍ଥ,ಹಣಕಾಸು
ପ୍ରଦୂଷଣ (ଡିମ୍ବିରି),ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು)
1. କ୍ୟାପସୁଲ୍ 2. କ୍ୟାପସୁଲ୍ 3. କ୍ୟାପସୁଲ୍ |,1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್
ଅଙ୍ଗାରକାମ୍ଳ |,ಕಾರ್ಬೊನೈಸ್ಡ್
ଅଙ୍ଗାରକାମ୍ଳ |,ಕಾರ್ಬೊನಾನ್
କାରାପେସ୍ |,ಕ್ಯಾರಪೇಸ್
ବ୍ରେସଲେଟ୍,ಕಂಕಣ
1. କାଷ୍ଟିଂ (ଲୁହା) 2. କିସିପି (କୀଟ),1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ)
କାଟାବୋଲିଜିମ୍ |,ಕ್ಯಾಟಬಾಲಿಸಮ್
ପ୍ରେରଣା,ಪ್ರೇರಣೆ
1. କୀଟପିଲା 2. କୀଟପିଲା |,1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್
