Punjabi,Bengali
ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ,সংলগ্ন সাউন্ড ক্যারিয়ার
ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ,সংলগ্ন স্টেশন
ਵਿਵਸਥਤ,সামঞ্জস্যযোগ্য
ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ,সামঞ্জস্যযোগ্য কনডেন্সার
ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ,সামঞ্জস্য চাপ
ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ,সামঞ্জস্য করা রেঞ্চ
ਵਿਵਸਥਾ,সামঞ্জস্য
ਪ੍ਰਬੰਧਕ,প্রশাসক
ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ,উন্নত প্রযুক্তি
ਏਰੀਅਲ,এরিয়াল
ਏਰੀਅਲ ਐਰੇ,এরিয়াল অ্যারে
ਏਰੀਅਲ ਬੂਸਟਰ,এরিয়াল বুস্টার
ਏਰੀਅਲ ਮੌਜੂਦਾ,এরিয়াল কারেন্ট
ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ,এরিয়াল আর্থিং সুইচ
ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ,বায়বীয় দক্ষতা
ਏਰੀਅਲ ਰੁਕਾਵਟ,বায়বীয় প্রতিবন্ধকতা
ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ,এরিয়াল ইন্ডাক্ট্যান্স
ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ,এরিয়াল ইনসুলেটর
ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ,এরিয়াল লোডিং কয়েল
ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ,আকাশ থেকে ছবি তোলা
ਏਰੀਅਲ ਪਾਵਰ,বায়বীয় শক্তি
ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ,বায়বীয় বিকিরণ পুনর্নির্মাণ
ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ,বায়বীয় বিক্রিয়া
ਐਰੋਡਾਇਨਾਮਿਕਸ,এয়ারোডাইনামিক্স
ਏਜੰਸੀ,এজেন্সি
ਏਅਰ ਕੰਪ੍ਰੈਸਰ,বায়ু সংকোচকারী
ਏਅਰ ਕੰਡੈਂਸਰ,এয়ার কনডেন্সার
ਹਵਾ ਠੰ .ੀ,ঠান্ডা বাতাস
ਏਅਰ ਕੋਰਡ ਕੋਇਲ,বায়ু কর্ড কয়েল
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,এয়ারকন্ডিশনিং
ਅਲਬਾਡੋ,আলবেডো
ਐਲਗੋਰਿਦਮ,অ্যালগরিদম
ਅਲਾਇਸਿੰਗ,এলিয়াসিং
ਐਲਿੰਗਿੰਗ,সারিবদ্ধ
ਅਲਾਈਨਮੈਂਟ,প্রান্তিককরণ
ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ,সমস্ত তরঙ্গ বিমান
ਅਲਾਟਮੈਂਟ,বরাদ্দ
ਵਰਣਮਾਲਾ,বর্ণমালা
ਅਲਫਾਨੁਮਿਕ,বর্ণমালা
ਅੱਖਰ ਅੱਖਰ,আলফানিউমেরিক চরিত্র
ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ,আলফানিউমেরিক তথ্য
ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.),বিকল্প বর্তমান (এ.সি.)
ਬਦਲਵਾਂ,বিকল্প
ਅਲਟਰਨੇਟਰ,বিকল্প
ਉਚਾਈ,উচ্চতা
ਅਗੇਬੀ ਦੀ ਉਚਾਈ,অপোজির উচ্চতা
ਚਰਿੱਜ ਦੀ ਉਚਾਈ,পেরিগির উচ্চতা
ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ,অপেশাদার রেডিও যোগাযোগ
ਮਾਹੌਲ,পরিবেশ
ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ,পরিবেশ মাইক্রোফোন
ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ,পরিবেষ্টিত অবস্থা
ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ,পরিবেষ্টনকারী আলো
ਅੰਬੀਨਟ ਸ਼ੋਰ,পরিবেষ্টিত শব্দ
ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ,পরিবেষ্টিত তাপমাত্রা
ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ,আমেরিকান স্ট্যান্ডার্ড কোড
ਐਂਪੀਅਰ,অ্যাম্পিয়ার
ਐਂਪਰ ਮੀਟਰ,অ্যাম্পের মিটার
ਸਹਾਇਕਤਾ,পরিবর্ধন
ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ,প্রশস্তকরণ ফ্যাক্টর
ਐਂਪਲੀਫਾਇਰ,পরিবর্ধক
ਐਂਪਲੀਫਾਇਰ ਲਾਭ,পরিবর্ধক লাভ
ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ,পরিবর্ধক শব্দ
ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ,পরিবর্ধক সরঞ্জাম
ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ,ক্লাইস্ট্রনকে প্রশস্তকরণ
ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ,পরিবর্ধক ইউনিট
ਐਪਲੀਟਿ .ਡ,প্রশস্ততা
ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ,প্রশস্ততা বিকৃতি
ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ,প্রশস্ততা ভ্রমণ
ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ,প্রশস্ততা ফ্যাক্টর
ਐਪਲੀਟਿ .ਡ ਸੀਮਾ,প্রশস্ততা সীমাবদ্ধ
ਐਪਲੀਟਿ .ਡ,প্রশস্ততা মোডুলেটেড
ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ,প্রশস্ততা মড্যুলেশন
ਐਨਾਲਾਗ (ਐਨਾਲਾਗ),অ্যানালগ (অ্যানালগ)
ਐਨਾਲਾਗ ਸਰਕਿਟ,অ্যানালগ সার্কিট
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,অ্যানালগ কম্পিউটার
ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ,অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল
ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ,অ্যানালগ উপস্থাপনা
ਐਨਾਲਾਗ ਸਿਗਨਲ,এনালগ সংকেত
ਐਨਾਲਾਗ ਡਿਜੀਟਲ,ডিজিটাল অ্যানালগ
ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ,ডিজিটাল কনভার্টারে অ্যানালগ
ਐਨਾਲਾਗ ਵੀਡੀਓ,অ্যানালগ ভিডিও
ਸਮਾਨ,সাদৃশ্য
ਸਮਾਨਤਾ,উপমা
ਵਿਸ਼ਲੇਸ਼ਣ,বিশ্লেষণ
ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,ডেটা বিশ্লেষণ
ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ,বিশ্লেষণাত্মক ঘনত্ব
ਵਿਸ਼ਲੇਸ਼ਣ,বিশ্লেষণ করুন
ਵਿਸ਼ਲੇਸ਼ਕ,বিশ্লেষক
Ancilliay ਉਪਕਰਣ,আনুষঙ্গিক সরঞ্জাম
ਅਤੇ ਗੇਟ,এবং গেট
ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ,কলিমেশন কোণ
ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ,মেরুকরণের কোণ
ਘੁੰਮਣ ਦਾ ਕੋਣ,ঘূর্ণনের কোণ
ਐਂਗਟਰੋਮ (å),অ্যাংস্ট্রোম (Å)
ਕੋਣੀ,কৌণিক
ਕੋਣੀ ਪ੍ਰਵੇਗ,কৌণিক ত্বরণ
ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ,কৌণিক সমন্বয়
ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ,কৌণিক ডিফ্লেশন
ਐਂਗੂਲਰ ਫੈਲਾਅ,কৌণিক বিচ্ছুরণ
ਕੋਣੀ ਵਿਸਥਾਪਨ,কৌণিক স্থানচ্যুতি
ਐਂਗਲੇਰ ਐਰਰ,কৌণিক ত্রুটি
ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ,কৌণিক কম্পাংক
ਕੋਣੀ ਗਤੀ,কৌণিক ভরবেগ
ਕੋਣੀ ਮੋਸ਼ਨ,কৌণিক গতি
ਐਂਗਲੇਰ ਵੇਗ,কৌণিক বেগ
ਐਨੀਮੇਸ਼ਨ,অ্যানিমেশন
ਐਨੋਡ,আনোড
ਐਨੋਡ ਬੈਟਰੀ,আনোড ব্যাটারি
ਐਨੋਡ ਗੁਣ,অ্যানোড বৈশিষ্ট্য
ਅਨੋਡ ਸਰਕਟ,আনোড সার্কিট
ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ,অ্যানোড অপচয়
ਐਨੋਡ ਕੁਸ਼ਲਤਾ,আনোড দক্ষতা
ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ,আনোড ইনপুট শক্তি
ਐਡੀਡ ਦੀ ਵਰਤੋਂ,অ্যানোড মড্যুলেশন
ਐਂਟੀਨਾ,অ্যান্টেনা
ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ,অ্যান্টেনা বিমউইথ
ਐਂਟੀਨਾ ਬੂਸਟਰ,অ্যান্টেনা বুস্টার
ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ,অ্যান্টেনা চেঞ্জওভার সুইচ
ਐਂਟੀਨਾ ਕੋਇਲ,অ্যান্টেনা কয়েল
ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ,অ্যান্টেনা কনফিগারেশন
ਐਂਟੀਨਾ ਕਪਲਰ,অ্যান্টেনা কাপলার
ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ,অ্যান্টেনা ক্রস পোলার প্যাটার্ন
ਐਂਟੀਨਾ ਮੌਜੂਦਾ,অ্যান্টেনা কারেন্ট
ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ,অ্যান্টেনা ডাইরেক্টিভিটি লাভ
ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ,অ্যান্টেনা ডুপ্লেক্সার
ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ,অ্যান্টেনা কার্যকর অঞ্চল
ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ,অ্যান্টেনা দক্ষতা
ਐਂਟੀਨਾ ਫੀਡ,অ্যান্টেনা ফিড
ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ,অ্যান্টেনা ফুট প্রিন্ট
ਐਂਟੀਨਾ ਲਾਭ,এন্টেনা
ਐਂਟੀਨਾ ਉਚਾਈ,অ্যান্টেনার উচ্চতা
ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ,অ্যান্টেনা প্রতিবন্ধকতা
ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ,অ্যান্টেনা ইন্ডাক্ট্যান্স
ਐਂਟੀਨਾ ਪੈਟਰਨ,অ্যান্টেনা প্যাটার্ন
ਐਂਟੀਨਾ ਪਲੇਕਸਰ,অ্যান্টেনা প্লেক্সার
ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ,অ্যান্টেনা মেরুকরণ
ਐਂਟੀਨਾ ਪਾਵਰ,অ্যান্টেনা শক্তি
ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ,অ্যান্টেনা পাওয়ার লাভ
ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ,অ্যান্টেনা বিকিরণ প্রতিরোধের
ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ,অ্যান্টেনা প্রতিক্রিয়া
ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ,অ্যান্টেনা প্রতিচ্ছবি
ਐਂਟੀਨਾ ਟਾਕਰੇ,অ্যান্টেনা প্রতিরোধের
ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ,অ্যান্টেনা অনুরণিত ফ্রিকোয়েন্সি
ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ,অ্যান্টেনা ব্যবধান
ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ,অ্যান্টেনা স্যুইচিং রুম
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ,অ্যান্টেনা টিউনিং কয়েল
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ,অ্যান্টেনা টিউনিং হাট
ਅਪਰਚਰ,অ্যাপারচার
ਅਪੋਜੀ,অপোজি
ਅਪੋਜੀ ਰਾਕੇਟ,অ্যাপোজি রকেট
ਉਪਕਰਣ,যন্ত্রপাতি
ਸਪੱਸ਼ਟ,আপাত
ਐਪਲਿਟ,অ্যাপলেট
ਐਪਲੀਕੇਸ਼ਨ,আবেদন
ਲਗਭਗ,আনুমানিক
Aquive ਹੱਲ,জলীয় সমাধান
ਆਰਕ,আর্ক
ਆਰਕੀਟੈਕਚਰ,আর্কিটেকচার
ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ,সাউন্ড রেকর্ডিংয়ের সংরক্ষণাগার স্থানান্তর
ਪੁਰਾਲੇਖ,সংরক্ষণাগার
ਹਿਸਾਬ ਕੋਡਿੰਗ,গাণিতিক কোডিং
ਆਰਮਚਰ,আর্মার
ਆਰਮਟਿ ure ਟਰ ਹਵਾ,আর্ম্যাচার বাতাস
ਐਰੇ,অ্যারে
ਅਰੈਸਟਰ,অ্যারেস্টার
ਬਿਆਨ,বক্তৃতা
ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ),আর্টিফ্যাক্ট (= আর্টফ্যাক্ট)
ਚੜ੍ਹਨਾ,আরোহী
ਆਕਾਰ ਅਨੁਪਾਤ,আনুমানিক অনুপাত
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,এসেম্বলার
ਜ਼ੋਰ,দাবী
ਅਸਾਈਨਮੈਂਟ,অ্যাসাইনমেন্ট
ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ,অ্যাসাইনমেন্ট চ্যানেল
ਅਸਮੈਟ੍ਰਿਕਲ,অসম্পূর্ণ
ਅਸਿੰਕਰੋਨਸ,অ্যাসিঙ্ক্রোনাস
ਵਾਤਾਵਰਣ,বায়ুমণ্ডল
ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ,বায়ুমণ্ডলীয় ক্ষতি
ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ,বায়ুমণ্ডলীয় শব্দ
ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ,বায়ুমণ্ডলীয় চাপ
ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ,বায়ুমণ্ডলীয় প্রচার
ਵਾਯੂਮੰਡਲ ਰੇਡੀਓ-ਵੇਵ,বায়ুমণ্ডলীয় রেডিও-তরঙ্গ
ਵਾਯੂਮੰਡਲ,বায়ুমণ্ডল
ਐਟਮ,পরমাণু
ਪ੍ਰਮਾਣੂ ਬਣਤਰ,পারমাণবিক গঠন
ਲਗਾਵ,সংযুক্তি
ਪਟੀਸ਼ਨ,মনোযোগ
ਅਟੁੱਟ ਨੁਕਸਾਨ,মনোযোগ ক্ষতি
ਅਵਾਜ਼ ਦੀਆਂ ਲਹਿਰਾਂ ਦਾ ਧਿਆਨ,শব্দ তরঙ্গের মনোযোগ
Attetuator,অ্যাটেনুয়েটর
ਐਟੀਟਨਿਟਰ-ਪੈਡ,অ্যাটেনুয়েটর-প্যাড
ਆਡੀਬਿਲਟੀ ਥ੍ਰੈਸ਼ੋਲਡ,অডিবিলিটি থ্রেশহোল্ড
ਸੁਣਨਯੋਗ,শ্রুতিমধুর
ਆਡੀਅਲ ਬਾਰੰਬਾਰਤਾ,শ্রুতিমধুর ফ্রিকোয়েন্সি
ਸੁਣਨਯੋਗ ਧੁਨ,শ্রুতিমধুর সুর
ਸੁਣਨਯੋਗ-ਸਪੈਕਟ੍ਰਮ,শ্রুতি-বর্ণালী
ਹਾਜ਼ਰੀਨ,শ্রোতা
ਆਡੀਓ,শ্রুতি
ਆਡੀਓ ਅਮਲੀਫਾਇਰ,অডিও পরিবর্ধক
ਆਡੀਓ ਵਿਸ਼ਲੇਸ਼ਕ,অডিও বিশ্লেষক
ਆਡੀਓ ਪ੍ਰਸਾਰਣ,অডিও সম্প্রচার
ਆਡੀਓ ਕੇਬਲ,অডিও কেবল
ਆਡੀਓ ਚੇਨ,অডিও চেইন
ਆਡੀਓ ਕੋਡਕ,অডিও কোডেক
ਆਡੀਓ ਕੰਪ੍ਰੈਸਨ,অডিও সংক্ষেপণ
ਆਡੀਓ ਕੰਪ੍ਰੈਸਰ,অডিও সংক্ষেপক
ਆਡੀਓ ਕੰਸੋਲ,অডিও কনসোল
ਆਡੀਓ ਵਿਗਾੜ,অডিও বিকৃতি
ਆਡੀਓ ਡਾਇਨਾਮਿਕ ਰੇਂਜ,অডিও গতিশীল পরিসীমা
ਆਡੀਓ ਫਾਈਲ ਫਾਰਮੈਟ,অডিও ফাইল ফর্ম্যাট
ਆਡੀਓ ਫਰੇਮ ਫਾਰਮੈਟ,অডিও ফ্রেম ফর্ম্যাট
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ,অডিও ফ্রিকোয়েন্সি পরিবর্ধক
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਰਨੇਟਰ,অডিও ফ্রিকোয়েন্সি জেনারেটর
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਦੀ ਸੀਮਾ,অডিও ফ্রিকোয়েন্সি ব্যাপ্তি
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਵਾਬ,অডিও ফ্রিকোয়েন্সি প্রতিক্রিয়া
ਆਡੀਓ ਸੀਮਾ,অডিও সীমাবদ্ধ
ਆਡੀਓ ਲਾਈਨ,অডিও লাইন
ਆਡੀਓ ਮਿਕਸਰ,অডিও মিক্সার
ਆਡੀਓ ਸੰਚਾਲਨ,অডিও মড্যুলেশন
ਆਡੀਓ c ਸਿਲੇਟਰ,অডিও দোলক
ਆਡੀਓ ਆਉਟਪੁੱਟ,অডিও আউটপুট
ਆਡੀਓ ਪਾਵਰ,অডিও শক্তি
ਆਡੀਓ ਕੁਆਲਟੀ,অডিও মানের
ਆਡੀਓ ਸਿਗਨਲ,অডিও সংকেত
ਆਡੀਓ ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ,অডিও সিগন্যাল প্রসেসিং
ਆਡੀਓ ਸਪੈਕਟ੍ਰਮ,অডিও বর্ণালী
ਆਡੀਓ ਸਟੋਰੇਜ,অডিও স্টোরেজ
ਆਡੀਓ ਸਬ-ਕੈਰੀਅਰ,অডিও সাব-ক্যারিয়ার
ਆਡੀਓ ਟਰਾਂਸਫਾਰਮਰ,অডিও ট্রান্সফর্মার
ਆਡੀਓ ਟ੍ਰਾਂਸਮੀਟਰ,অডিও ট্রান্সমিটার
ਆਡੀਓ / ਵੀਡੀਓ ਸੰਕੁਚਨ,অডিও/ভিডিও সংক্ষেপণ
ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ,অডিও-ফ্রিকোয়েন্সি দোলক
ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ ਸੰਕੇਤ,অডিও-ফ্রিকোয়েন্সি সিগন্যাল
ਆਡੀਓਮੈਟਰੀ,অডিওমেট্রি
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਸਹਾਇਤਾ,অডিও-ভিজ্যুয়াল সহায়তা
ਆਡੀਟਰੀ ਧਾਰਨਾ,শ্রুতি উপলব্ধি
ਪ੍ਰਮਾਣਿਕਤਾ,প্রমাণীকরণ
ਅਧਿਕਾਰਤ ਕੈਰੀਅਰ ਬਾਰੰਬਾਰਤਾ,অনুমোদিত ক্যারিয়ার ফ্রিকোয়েন্সি
ਆਟੋ ਕੈਡ,অটো ক্যাড
ਆਟੋ ਨਿਦਾਨ,অটো ডায়াগনস্টিকস
ਆਟੋਮੈਟਿਕ,স্বয়ংক্রিয়
ਆਟੋਮੈਟਿਕ ਕੰਟਰੋਲ,স্বয়ংক্রিয় নিয়ন্ত্রণ
ਆਟੋਮੈਟਿਕ ਖੋਜ,স্বয়ংক্রিয় সনাক্তকরণ
ਆਟੋਮੈਟਿਕ ਉਪਕਰਣ,স্বয়ংক্রিয় সরঞ্জাম
ਆਟੋਮੈਟਿਕ ਬਾਰੰਬਾਰਤਾ ਨਿਯੰਤਰਣ,স্বয়ংক্রিয় ফ্রিকোয়েন্সি নিয়ন্ত্রণ
ਆਟੋਮੈਟਿਕ ਸੀਮਾ,স্বয়ংক্রিয় সীমাবদ্ধ
