English,Punjabi
Address code,ਪਤਾ ਕੋਡ
Address comparator,ਪਤਾ ਕੰਪਰੇਟਰ
Address computation,ਪਤਾ ਬਕਾਏ
Address constant,ਪਤਾ ਲਗਾਤਾਰ
Address conversion,ਪਤਾ ਬਦਲਣਾ
Address data,ਪਤਾ ਡਾਟਾ
Addressed memory,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
Address effective,ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ
Address field,ਪਤਾ ਖੇਤਰ
Address format,ਪਤਾ ਫਾਰਮੈਟ
Address free program,ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ
Addressing,ਸੰਬੋਧਨ ਕਰਨਾ
"Addressing
 Character","ਸੰਬੋਧਨ ਕਰਨਾ
 ਅੱਖਰ"
Addressing interrupt,ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ
Addressing loop,ਪਤਾ ਲਗਾਉਣ
Addressing virtual memory,ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ
Address interlacing,ਪਤਾ ਲਗਾਉਣਾ
Addressless instruction format,ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ
Address line,ਐਡਰੈੱਸ ਲਾਈਨ
Address mapping,ਪਤਾ ਮੈਪਿੰਗ
Address mark,ਪਤਾ ਮਾਰਕ
Address modification,ਪਤਾ ਸੋਧ
Address part,ਪਤਾ ਭਾਗ
Address pointer,ਪਤਾ ਪੁਆਇੰਟਰ
Address register,ਪਤਾ ਰਜਿਸਟਰ
Address signal,ਪਤਾ ਸਿਗਨਲ
Address size,ਪਤਾ ਅਕਾਰ
Address space,ਪਤਾ ਸਪੇਸ
Address space identifier,ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ
Address stop,ਪਤਾ ਬੰਦ
Address trace,ਪਤਾ ਟਰੇਸ
Address track,ਪਤਾ ਟਰੈਕ
Address translation,ਪਤਾ ਅਨੁਵਾਦ
Address translator,ਪਤਾ ਅਨੁਵਾਦਕ
Add-subtract time,ਸ਼ਾਮਲ ਕਰੋ-ਘਟਾਓ
Add time,ਸਮਾਂ ਸ਼ਾਮਲ ਕਰੋ
Adjacency,ਅਡਜੈਂਸੀ
Adjacency structure,ਐਡਜੈਂਸੀ structure ਾਂਚਾ
Adjacent channel,ਨਾਲ ਲੱਗਦੇ ਚੈਨਲ
Adjacent domain,ਨਾਲ ਲੱਗਦੇ ਡੋਮੇਨ
Adjacent matrix,ਨਾਲ ਲੱਗਦੀ ਮੈਟ੍ਰਿਕਸ
Adjacent node,ਨਾਲ ਲੱਗਦੀ ਨੋਡ
Adjacent subarea,ਆਸ ਪਾਸ ਦੇ ਉਪਰਾਸਾ
Adjoint (system),ਐਡਰਜਾਈਨ (ਸਿਸਟਮ)
Adjust,ਵਿਵਸਥਤ ਕਰੋ
Adjustable extent,ਵਿਵਸਥਤ ਹੱਦ ਤੱਕ
Adjust text mode,ਟੈਕਸਟ ਮੋਡ ਨੂੰ ਵਿਵਸਥਤ ਕਰੋ
Administrative data processing,ਪ੍ਰਬੰਧਕੀ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
Administrative operation,ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ
Administrative operator,ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ
Administrative operator station,ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ ਸਟੇਸ਼ਨ
Administrative support system,ਪ੍ਰਬੰਧਕੀ ਸਹਾਇਤਾ ਸਿਸਟਮ
Advanced communication service,ਤਕਨੀਕੀ ਸੰਚਾਰ ਸੇਵਾ
Advanced information system,ਐਡਵਾਂਸਡ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
Advanced optical character reader,ਐਡਵਾਂਸਡ ਆਪਟੀਕਲ ਅੱਖਰ ਪਾਠਕ
Advanced scientific computer,ਤਕਨੀਕੀ ਵਿਗਿਆਨਕ ਕੰਪਿ computer ਟਰ
Aerial,ਏਰੀਅਲ
Aggregate,ਸਮੁੱਚੀ
Aggregate expression,ਸਮੁੱਚੀ ਸਮੀਕਰਨ
Aiming circle,ਉਦੇਸ਼ ਸਰਕਲ
Aiming field (= aiming symbol),ਉਦੇਸ਼ ਖੇਤਰ (= ਪ੍ਰਤੀਕ ਦਾ ਨਿਸ਼ਾਨਾ)
Aiming symbol,ਪ੍ਰਤੀਕ ਬਣਾਉਣਾ
Airborne computer system,ਏਅਰਬੋਰਨ ਕੰਪਿ Computer ਟਰ ਸਿਸਟਮ
Algebraic eigenvalue problem,ਅਲਜਬ੍ਰਿਕ ਈਗਨਵੈਲਯੂ ਦੀ ਸਮੱਸਿਆ
"Algebraic
 Integration","ਅਲਜਬ੍ਰਿਕ
 ਏਕੀਕਰਣ"
Algebraic language,ਅਲਜਬ੍ਰਿਕ ਭਾਸ਼ਾ
Algebraic manipulation,ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ
Algebraic manipulation language,ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ ਭਾਸ਼ਾ
Algebraic oriented language,ਐਲਜਬਰੇਕ ਅਧਾਰਤ ਭਾਸ਼ਾ
Algebraic shift,ਅਲਜਬੈਰਾਿਕ ਸ਼ਿਫਟ
Algebraic sign convention,ਐਲਜਬ੍ਰਿਕ ਸਾਈਨ ਕਨਵੈਨਸ਼ਨ
Algol,ਐਲਗੋਲ
Algol feature,ਐਲਗੋਲ ਵਿਸ਼ੇਸ਼ਤਾ
Algol Programming,ਐਲਗੋਲ ਪ੍ਰੋਗਰਾਮਿੰਗ
Algorithm,ਐਲਗੋਰਿਦਮ
Algorithm associative language,ਐਲਗੋਰਿਦਮ ਐਸੋਸੀਏਟਿਵ ਭਾਸ਼ਾ
Algorithm classification,ਐਲਗੋਰਿਦਮ ਵਰਗੀਕਰਣ
Algorithm complexity,ਐਲਗੋਰਿਦਮ ਦੀ ਗੁੰਝਲਤਾ
Algorithm computability,ਐਲਗੋਰਿਦਮ ਕੰਪੂਟਿਟੀ
Algorithmic analysis,ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ
Algorithmic approach,ਐਲਗੋਰਿਦਮਿਕ ਪਹੁੰਚ
Algorithmic language,ਐਲਗੋਰਿਦਮਿਕ ਭਾਸ਼ਾ
Algorithmic routine,ਐਲਗੋਰਿਦਮਿਕ ਰੁਟੀਨ
Algorithmic theory,ਐਲਗੋਰਿਧੀਮਿਕ ਸਿਧਾਂਤ
Alias,ਉਪਨਾਮ
Aliasing,ਅਲਾਇਸਿੰਗ
Alias name (= alternative name),ਅਲਾਇਸ ਨਾਮ (= ਵਿਕਲਪਿਕ ਨਾਮ)
Alignment,ਅਲਾਈਨਮੈਂਟ
Allocate,ਨਿਰਧਾਰਤ ਕਰੋ
Allocation structure,ਅਲਾਕਸੇਸ਼ਨ structure ਾਂਚਾ
All-purpose computer,ਸਾਰੇ-ਉਦੇਸ਼ ਕੰਪਿ computer ਟਰ
Alphabetic character,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
Alphabetic character set,ਵਰਣਮਾਲਾ ਅੱਖਰ ਸੈਟ
Alphabetic character subset,ਵਰਣਮਾਲਾ ਅੱਖਰ ਸਬਸੈੱਟ
Alphabetic code,ਵਰਣਮਾਲਾ ਕੋਡ
Alphabetic shift,ਵਰਣਮਾਲਾ ਸ਼ਿਫਟ
Alphabetic string,ਵਰਣਮਾਲਾ ਸਤਰ
Alphabetic word,ਵਰਣਮਾਲਾ ਸ਼ਬਦ
Alphabetization,ਵਰਣਮਾਲਾ
Alphageometrics,ਕਫਾਈਜੋਮੈਟ੍ਰਿਕਸ
Alphameric,ਅਲਫ਼ਾਮਿਕ
Alphamosaic,ਅਲਫੋਮੋਸੈਕ
Alphanumeric,ਅਲਫਾਨੁਮਿਕ
Alphanumerical keyboard device,ਅਲਫਾਨੂਮੇਰਿਕਲ ਕੀਬੋਰਡ ਡਿਵਾਈਸ
Alphanumeric character set,ਅਲਫਾਨੁਮਿਕ ਅੱਖਰ ਸਮੂਹ
Alphanumeric code,ਅੱਖਰ ਕੋਡ
Alphanumeric coded character set,ਅੱਖਰ ਕੋਡਿਡ ਅੱਖਰ ਸਮੂਹ
Alphanumeric data,ਅਲਫਾਨੁਮਿਕ ਡੇਟਾ
Alphanumeric display device,ਅਲਫਾਨਮੋਰਿਕ ਡਿਸਪਲੇਅ ਡਿਵਾਈਸ
Alphanumeric edited character,ਅੱਖਰ ਸੰਪਾਦਕੀ ਅੱਖਰ
Alphanumeric field,ਅਲਫਾਨੁਮਿਕ ਖੇਤਰ
Alphanumeric instruction,ਅਲਫਨੀਮਿਕ ਹਦਾਇਤ
Alphanumeric keyboard,ਅਲਫਾਨੁਮਿਕ ਕੀਬੋਰਡ
Alphanumeric sort,ਅੱਖਰ ਛਾਂਟੀ
Alphanumeric storage,ਅਲਫਾਨਮੂਮਿਕ ਸਟੋਰੇਜ
Alterable memory,ਅਸ਼ੁੱਧ ਮੈਮੋਰੀ
Alteration switch,ਤਬਦੀਲੀ ਸਵਿੱਚ
Altering,ਬਦਲਣਾ
Alter mode,ਬਦਲੋ
Alternate recovery,ਵਿਕਲਪਿਕ ਰਿਕਵਰੀ
Alternate route,ਵਿਕਲਪੀ ਰਸਤੇ
Alternate routing,ਵਿਕਲਪਿਕ ਰੂਟਿੰਗ
Alternate track,ਵਿਕਲਪਿਕ ਟਰੈਕ
Alternation (= OR operation),ਬਦਲ (= ਜਾਂ ਆਪ੍ਰੇਸ਼ਨ)
Alternative attribute,ਵਿਕਲਪਕ ਗੁਣ
Alternative denial (= NOT-AND operation),ਵਿਕਲਪਿਕ ਇਨਕਾਰ (= ਨਾ-ਅਤੇ ਓਪਰੇਸ਼ਨ)
Ambiguity error,ਅਸਪਸ਼ਟਤਾ ਗਲਤੀ
Ambiguous reference,ਅਸਪਸ਼ਟ ਹਵਾਲਾ
Analog,ਐਨਾਲਾਗ
Analog adder,ਐਨਾਲਾਗ ਐਡਰਰ
Analog channel,ਐਨਾਲਾਗ ਚੈਨਲ
Analog computer,ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ
Analog converter,ਐਨਾਲਾਗ ਕਨਵਰਟਰ
Analog data,ਐਨਾਲਾਗ ਡੇਟਾ
Analog divider,ਐਨਾਲਾਗ ਡਿਵਾਈਡਰ
Analog facility terminal,ਐਨਾਲਾਗ ਸਹੂਲਤ ਟਰਮੀਨਲ
"Analog function
 Generator","ਐਨਾਲਾਗ ਫੰਕਸ਼ਨ
 ਜੇਨਰੇਟਰ"
Analog integration,ਐਨਾਲਾਗ ਏਕੀਕਰਣ
Analog multiplier,ਐਨਾਲਾਗ ਮਲਟੀਪਲਾਇਰ
Analog programming,ਐਨਾਲਾਗ ਪ੍ਰੋਗਰਾਮਿੰਗ
Analog scaling,ਐਨਾਲਾਗ ਸਕੇਲਿੰਗ
Analog signal,ਐਨਾਲਾਗ ਸਿਗਨਲ
Analog simulation,ਐਨਾਲਾਗ ਸਿਮੂਲੇਸ਼ਨ
Analog switch,ਐਨਾਲਾਗ ਸਵਿਚ
Analog system,ਐਨਾਲਾਗ ਸਿਸਟਮ
"Analog to digital
 Converter","ਐਨਾਲਾਗ ਡਿਜੀਟਲ
 ਕਨਵਰਟਰ"
"Analog to digital
 Encoder","ਐਨਾਲਾਗ ਡਿਜੀਟਲ
 ਏਨਕੋਡਰ"
Analog transmission,ਐਨਾਲਾਗ ਪ੍ਰਸਾਰਣ
Analog type,ਐਨਾਲਾਗ ਕਿਸਮ
Analysis block,ਵਿਸ਼ਲੇਸ਼ਣ ਬਲਾਕ
Analysis mode,ਵਿਸ਼ਲੇਸ਼ਣ ਮੋਡ
Analytical engine,ਵਿਸ਼ਲੇਸ਼ਣ ਇੰਜਣ
Ancestral task,ਪੂਰਵਜ ਦਾ ਕੰਮ
Ancillary equipment,ਸਹਾਇਕ ਉਪਕਰਣ
AND,ਅਤੇ
AND circuit,ਅਤੇ ਸਰਕਟ
AND element,ਅਤੇ ਤੱਤ
AND gate,ਅਤੇ ਗੇਟ
AND masking,ਅਤੇ ਮਾਸਕਿੰਗ
AND NOT operation (=exclusion,ਅਤੇ ਓਪਰੇਸ਼ਨ ਨਹੀਂ (= ਬਾਹਰ ਕੱ .ਣਾ)
AND operation,ਅਤੇ ਓਪਰੇਸ਼ਨ
Annex memory,ਅਨੇਕਸ ਮੈਮੋਰੀ
Annotation,ਐਨੋਟੇਸ਼ਨ
Annunciator,ਐਨੀਨੀਸੀਆਟਰ
Answer back,ਵਾਪਸ ਜਵਾਬ
Answer delay,ਉੱਤਰ ਦੇਰੀ
Answering time,ਜਵਾਬ ਦੇਣ ਦਾ ਸਮਾਂ
Answer lamp,ਦੀਵੇ ਦਾ ਜਵਾਬ
Answer list,ਜਵਾਬ ਸੂਚੀ
Answer only,ਜਵਾਬ ਸਿਰਫ
Anticipation mode,ਐਂਟੀਪੇਸ਼ਨ ਮੋਡ
Anticipatory buffering,ਅਨੁਮਾਨਤ ਬਫਰਿੰਗ
Anticipatory carry,ਅਨੁਮਾਨਤ ਕੈਰੀ
Anticipatory paging,ਅਨੁਮਾਨਤ ਪੈਜਿੰਗ
Anticoincidence operation,ਐਂਟੀਕਾਇਸਿਸ ਓਪਰੇਂਸ
Anticoincident element,ਐਂਟੀਕੋਇੰ.ਰਤਸ ਇੰਦਰਾ ਤੱਤ
Aperiodic antenna,ਅਫੀਮਿਕ ਐਂਟੀਨਾ
Aperture card,ਅਪਰਚਰ ਕਾਰਡ
Aperture code,ਅਪਰਚਰ ਕੋਡ
Aperture time,ਅਪਰਚਰ ਟਾਈਮ
Appendage,ਅੰਤਿਕਾ
Appendage task,ਅਪੰਡਿਤ ਕੰਮ
Application developer,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
Application layer,ਐਪਲੀਕੇਸ਼ਨ ਲੇਅਰ
Application oriented language,ਐਪਲੀਕੇਸ਼ਨ ਓਨੀਐਂਟਡ ਭਾਸ਼ਾ
Application package,ਐਪਲੀਕੇਸ਼ਨ ਪੈਕੇਜ
Application program,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮ
Application programming,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
Application required language,ਐਪਲੀਕੇਸ਼ਨ ਲੋੜੀਂਦੀ ਭਾਸ਼ਾ
Application software,ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ
Applique,ਐਪਲੀਕ
Approximation theory,ਲਗਭਗ ਸਿਧਾਂਤ
Arbitrary access,ਮਨਮਾਨੀ ਪਹੁੰਚ
Arbitrary sequence computer,ਆਰਬਿਟਰੇਰੀ ਤਰਤੀਬ ਕੰਪਿ computer ਟਰ
Arbitration,ਆਰਬਿਟਰੇਸ਼ਨ
Architecture,ਆਰਕੀਟੈਕਚਰ
Archiving,ਪੁਰਾਲੇਖ
Area code,ਖੇਤਰ ਕੋਡ
Area search,ਖੇਤਰ ਖੋਜ
Area transfer,ਖੇਤਰ ਸੰਚਾਰ
Area variable,ਖੇਤਰ ਵੇਰੀਏਬਲ
Argument,ਦਲੀਲ
Argument address,ਆਰਗੁਮੈਂਟ ਪਤਾ
Argument list,ਆਰਗੁਮੈਂਟ ਸੂਚੀ
Arithmetical instruction,ਹਿਸਾਬ ਦੀ ਹਦਾਇਤ
Arithmetic and logic unit,ਹਿਸਾਬ ਅਤੇ ਤਰਕ ਇਕਾਈ
Arithmetic assignment statement,ਹਿਸਾਬ ਦੇ ਅਸਾਈਨਮੈਂਟ ਸਟੇਟਮੈਂਟ
Arithmetic check,ਹਿਸਾਬ ਦੀ ਜਾਂਚ
Arithmetic constant,ਹਿਸਾਬ ਸਥਿਰ
Arithmetic conversion,ਹਿਸਾਬ ਦਾ ਰੂਪਾਂਤਰਣ
Arithmetic data,ਹਿਸਾਬ ਦਾ ਅੰਕੜਾ
Arithmetic exception,ਹਿਸਾਬ ਅਪਵਾਦ
Arithmetic expression,ਹਿਸਾਬ ਸਮੀਕਰਨ
Arithmetic fixed point,ਹਿਸਾਬ ਨਿਰਧਾਰਤ ਬਿੰਦੂ
Arithmetic hierarchy,ਹਿਸਾਬ ਵਾਲੀ ਲੜੀ
Arithmetic IF statement,ਹਿਸਾਬ ਜੇ ਬਿਆਨ
Arithmetic logic,ਹਿਸਾਬ ਦਾ ਤਰਕ
Arithmetic logic unit,ਗਣਿਤ ਦੀ ਤਰਕ ਦੀ ਇਕਾਈ
Arithmetic operation,ਗਣਿਤ ਦਾ ਕੰਮ
Arithmetic operator,ਗਣਿਤ ਦਾ ਆਪਰੇਟਰ
Arithmetic overflow,ਹਿਸਾਬ ਓਵਰਫਲੋ
Arithmetic picture data,ਹਿਸਾਬ ਦੀ ਤਸਵੀਰ ਡਾਟਾ
Arithmetic precedence,ਹਿਸਾਬ ਨਾਲ ਤਰਜੀਹ
Arithmetic primary,ਹਿਸਾਬ ਪ੍ਰਾਇਮਰੀ ਪ੍ਰਾਇਮਰੀ
Arithmetic register,ਗਣਿਤ ਦਾ ਰਜਿਸਟਰ
Arithmetic relation,ਗਣਿਤ ਦਾ ਸੰਬੰਧ
Arithmetic scan,ਹਿਸਾਬ ਸਕੈਨ
Arithmetic section,ਹਿਸਾਬ ਭਾਗ
Arithmetic shift,ਹਿਸਾਬ ਦੀ ਸ਼ਿਫਟ
Arithmetic shifting,ਹਿਸਾਬ ਨਾਲ ਤਬਦੀਲ
Arithmetic statement,ਗਣਿਤ ਦਾ ਬਿਆਨ
Arithmetic term,ਹਿਸਾਬ ਦੀ ਮਿਆਦ
Arithmetic underflow,ਹਿਸਾਬ ਅੰਡਰਫਲੋ
Arithmetic unit,ਹਿਸਾਬ ਇਕਾਈ
Array,ਐਰੇ
Array bound,ਐਰੇ ਬੱਝ
Array computer,ਐਰੇ ਕੰਪਿ computer ਟਰ
Array dimension,ਐਰੇ ਦੀ ਪਹਿਲੂ
Array element,ਐਰੇ ਐਲੀਮੈਂਟ
Array expression,ਐਰੇ ਸਮੀਕਰਨ
Array name,ਐਰੇ ਦਾ ਨਾਮ
Array of structures,Structures ਾਂਚਿਆਂ ਦੀ ਐਰੇ
Array printing,ਐਰੇ ਦੀ ਛਪਾਈ
Array processing,ਐਰੇ ਪ੍ਰੋਸੈਸਿੰਗ
Array processor,ਐਰੇ ਪ੍ਰੋਸੈਸਰ
Articulation point,ਕਲਾਤਮਕਤਾ ਬਿੰਦੂ
Artificial cognition,ਨਕਲੀ ਬੋਧ
Artificial intelligence,ਬਣਾਵਟੀ ਗਿਆਨ
Artificial language,ਨਕਲੀ ਭਾਸ਼ਾ
Artificial variable,ਨਕਲੀ ਵੇਰੀਏਬਲ
Arts application data bank,ਆਰਟਸ ਐਪਲੀਕੇਸ਼ਨ ਡਾਟਾ ਬੈਂਕ
Arts application music,ਆਰਟਸ ਐਪਲੀਕੇਸ਼ਨ ਸੰਗੀਤ
Arts application pattern generation,ਆਰਟਸ ਐਪਲੀਕੇਸ਼ਨ ਪੈਟਰਨ ਪੀੜ੍ਹੀ
Ascender,ਚੜ੍ਹਨਾ
Ascending sort,ਚੜ੍ਹਾਈ ਜਾ ਰਹੀ ਕ੍ਰਮਬੱਧ
ASCIL,ਐਸਿਲ
