English,Kannada
Aerial reactance,ವೈಮಾನಿಕ ಪ್ರತಿಕ್ರಿಯಾತ್ಮಕ
Aerodynamics,ಧಾರ್ಮಿಕತೆ
Agency,ವಾಗ್ದಾನ
Air compressor,ವಾಯು ಸಂಕೋಚಕ
Air condenser,ವಾಯುಮಂಡಲ
Air cooled,ಗಾಳಿ ತಣ್ಣಗಾಯಿತು
Air cored coil,ಏರ್ ಕೋರ್ಡ್ ಕಾಯಿಲ್
Airconditioning,ಹವಾನಿಯಂತ್ರಣ
Albedo,ಪಂಥದ
Algorithm,ಅಲ್ಗಾರಿದಮ್
Aliasing,ಅಲಿಯಾಸೆ
Aligning,ಜೋಡಣೆ
Alignment,ಜೋಡಣೆ
All wave aerial,ಎಲ್ಲಾ ತರಂಗ ವೈಮಾನಿಕ
Allocation,ಮನವಸಿಕೆ
Alphabetic,ವರ್ಣಮಾಲೆಯ
Alphanumeric,ವರ್ಣಮಾಲೆಯ
Alphanumeric character,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪಾತ್ರ
Alphanumeric information,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಮಾಹಿತಿ
Alternating current (a.c.),ಪರ್ಯಾಯ ಪ್ರವಾಹ (ಎ.ಸಿ.)
Alternation,ಪರ್ಯಾಯ
Alternator,ಆವರ್ತಕ
Altitude,ಎತ್ತರ
Altitude of the apogee,ಅಪೊಗೀ ಎತ್ತರ
Altitude of the perigee,ಪೆರಿಜಿಯ ಎತ್ತರ
Amateur radio communication,ಹವ್ಯಾಸಿ ರೇಡಿಯೋ ಸಂವಹನ
Ambience,ಒಳಭಾಗ
Ambience microphone,ವಾತಾವರಣ ಮೈಕ್ರೊಫೋನ್
Ambient condition,ಸುತ್ತುವರಿದ ಸ್ಥಿತಿ
Ambient lighting,ಸುತ್ತುವರಿದ ಬೆಳಕು
Ambient noise,ಸುತ್ತುವರಿದ ಶಬ್ದ
Ambient temperature,ಹೊರಗಿನ ತಾಪಮಾನ
American standard code,ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್
Ampere,ಒಂದು ಬಗೆಯ ಕಂತು
Ampere meter,ಕಪಾಟಿ ಮೀಟರ್
Amplification,ವರ್ಧನೆ
Amplification factor,ವರ್ಧನೆ ಅಂಶ
Amplifier,ಉಲ್ಬಣಕ
Amplifier gain,ಆಂಪ್ಲಿಫಯರ್ ಗಳಿಕೆ
Amplifier noise,ವರ್ಧಕ ಶಬ್ದ
Amplifying equipment,ಉಪಕರಣಗಳನ್ನು ವರ್ಧಿಸುವುದು
Amplifying klystron,ಕ್ಲೈಸ್ಟ್ರಾನ್ ಅನ್ನು ವರ್ಧಿಸುವುದು
Amplifying unit,ವರ್ಧಿಸುವ ಘಟಕ
Amplitude,ವೈಶಾಲ್ಯ
Amplitude distortion,ವೈಶಾಲ್ಯ ಅಸ್ಪಷ್ಟತೆ
Amplitude excursion,ವೈಶಾಲ್ಯ ವಿಹಾರ
Amplitude factor,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಫ್ಯಾಕ್ಟರ್
Amplitude limiter,ವೈಶಾಲ್ಯ
Amplitude modulated,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್
Amplitude modulation,ವೈಶಾಲ್ಯ
Analog (analogue),ಅನಲಾಗ್ (
Analog circuit,ಸರ್ಕ್ಯೂಟ್
Analog computer,ಅನಾನುಕೂಲ ಕಂಪ್ಯೂಟರ್
Analog radio frequency channel,ಅನಲಾಗ್ ರೇಡಿಯೋ ಆವರ್ತನ ಚಾನಲ್
Analog representation,ಸಾದೃಶ್ಯ ನಿರೂಪಣೆ
Analog signal,ಅನಾಲಾಗ್ ಸಂಕೇತ
Analog to digital,ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್
Analog to digital converter,ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
Analog video,ಅನಾನುಕೂಲ ವಿಡಿಯೋ
Analogous,ಹೋಲುವ
Analogy,ಸಾದೃಶ್ಯ
Analysis,ವಿಶ್ಲೇಷಣೆ
Analysis of data,ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ
Analytical density,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಸಾಂದ್ರತೆ
Analyze,ವಿಶ್ಲೇಷಿಸು
Analyzer,ವಿಶ್ಲೇಷಕ
Ancilliary equipment,ಪೂರಕ ಉಪಕರಣಗಳು
AND Gate,ಮತ್ತು ಗೇಟ್
Angle of collimation,ಘರ್ಷಣೆಯ ಕೋನ
Angle of polarization,ಧ್ರುವೀಕರಣದ ಕೋನ
Angle of rotation,ತಿರುಗುವಿಕೆಯ ಕೋನ
Angstrom (Å),ಆಂಗ್‌ಸ್ಟ್ರಾಮ್ (Å)
Angular,ಕೋನೀಯ
Angular acceleration,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
Angular co-ordinates,ಕೋನೀಯ ಸಮನ್ವಯ
Angular deflection,ಕೋನೀಯ ವಿಚಲನ
Angular dispersion,ಕೋನೀಯ ಪ್ರಸರಣ
Angular displacement,ಕೋನೀಯ ಸ್ಥಳಾಂತರ
Angular error,ಕೋನೀಯ ದೋಷ
Angular frequency,ಕೋನೀಯ ಆವರ್ತನ
Angular momentum,ಕೋನೀಯ ಆವೇಗ
Angular motion,ಕೋನೀಯ ಚಲನೆ
Angular velocity,ಕೋನೀಯ ವೇಗ
Animation,ಅನೆ
Anode,ಆವರಣ
Anode battery,ಆನೋಡ್ ಬ್ಯಾಟರಿ
Anode characteristic,ಆನೋಡ್ ವಿಶಿಷ್ಟ ಲಕ್ಷಣಗಳು
Anode circuit,ಆಂಡ್ಹ್ಯೋಡ್ ವೃತ್ತ
Anode dissipation,ಆನೋಡ್ ಹರಡುವಿಕೆ
Anode efficiency,ಆನೋಡ್ ದಕ್ಷತೆ
Anode input power,ಆನೋಡ್ ಇನ್ಪುಟ್ ಶಕ್ತಿ
Anode modulation,ಆನೋಡ್ ಮಾಡ್ಯುಲೇಷನ್
Antenna,ಆನಂತಾ
Antenna beamwidth,ಆಂಟೆನಾ ಬೀಮ್‌ವಿಡ್ತ್
Antenna booster,ಆಂಟೆನಾ ಬೂಸ್ಟರ್
Antenna changeover switch,ಆಂಟೆನಾ ಚೇಂಜ್ಓವರ್ ಸ್ವಿಚ್
Antenna coil,ಆಂಟೆನಾ ಕಾಯಿಲ್
Antenna configuration,ಆಂಟೆನಾ ಸಂರಚನೆ
Antenna coupler,ಆಂಟೆನಾ ಸಹಕ
Antenna cross polar pattern,ಆಂಟೆನಾ ಕ್ರಾಸ್ ಪೋಲಾರ್ ಪ್ಯಾಟರ್ನ್
Antenna current,ಪ್ರವಾಹ
Antenna directivity gain,ಆಂಟೆನಾ ನಿರ್ದೇಶನ ಲಾಭ
Antenna duplexer,ಆಂಟೆನಾ ಡ್ಯುಪ್ಲೆಕ್ಸರ್
Antenna effective area,ಆಂಟೆನಾ ಪರಿಣಾಮಕಾರಿ ಪ್ರದೇಶ
Antenna efficiency,ಆಂಟೆನಾ ದಕ್ಷತೆ
Antenna feed,ಆಂಟೆನಾ ಫೀಡ್
Antenna foot print,ಆಂಟೆನಾ ಕಾಲು ಮುದ್ರಣ
Antenna gain,ಆಂಟೆನಾ ಗಳಿಕೆ
Antenna height,ಆಂಟೆನಾ ಎತ್ತರ
Antenna impedance,ಪ್ರತಿರೋಧ
Antenna inductance,ಆಂಟೆನಾ ಪ್ರಚೋದನೆ
Antenna pattern,ಆಂಟೆನಾ ಮಾದರಿ
Antenna plexer,ಪತಂಗ
Antenna polarization,ಆಂಟೆನಾ ಧ್ರುವೀಕರಣ
Antenna power,ಆಂಟೆನಾ ಶಕ್ತಿ
Antenna power gain,ಆಂಟೆನಾ ವಿದ್ಯುತ್ ಲಾಭ
Antenna radiation resistance,ಆಂಟೆನಾ ವಿಕಿರಣ ಪ್ರತಿರೋಧ
Antenna reactance,ಆಂಟೆನಾ ಪ್ರತಿಕ್ರಿಯೆ
Antenna reflector,ಆಂಟೆನಾ ಪ್ರತಿಫಲನ
Antenna resistance,ಆಂಟೆನಾ ಪ್ರತಿರೋಧ
Antenna resonant frequency,ಆಂಟೆನಾ ಪ್ರತಿಧ್ವನಿಸುವ ಆವರ್ತನ
Antenna spacing,ಆಂತರಿಕ ಅಂತರ
Antenna switching room,ಆಂಟೆನಾ ಸ್ವಿಚಿಂಗ್ ರೂಮ್
Antenna tuning coil,ಆಂಟೆನಾ ಟ್ಯೂನಿಂಗ್ ಕಾಯಿಲ್
Antenna tuning hut,ಆಂಟೆನಾ ಟ್ಯೂನಿಂಗ್ ಹಟ್
Aperture,ದ್ಯುತಿರಂಧ್ರ
Apogee,ಮಂಜುಗಡ್ಡೆಯ
Apogee rocket,ಕಟಾ ರಾಕೆಟ್
Apparatus,ಉಪಕರಣ
Apparent,ಸ್ಪಷ್ಟ
Applet,ರಭಸ
Application,ಅನ್ವಯಿಸು
Approximate,ಅಂದಾಜು
Aquous solution,ಅಕ್ವೌಸ್ ಪರಿಹಾರ
Arc,ಚಾಪ
Architecture,ವಾಸ್ತುಶಿಲ್ಪಿ
Archival transfer of sound recording,ಧ್ವನಿ ರೆಕಾರ್ಡಿಂಗ್ ಆರ್ಕೈವಲ್ ವರ್ಗಾವಣೆ
Archives,ಆರ್ಕೈವ್ಸ್
Arithmetic coding,ಅಂಕಗಣಿತದ ಕೋಡಿಂಗ್
Armature,ಶಸ್ತ್ರಾಸ್ತ್ರ
Armature winding,ಆರ್ಮೇಚರ್ ವಿಂಡಿಂಗ್
Array,ರಂಗ
Arrester,ಬಂಧಕ
Articulation,ಉಚ್ಚ್ಯ
Artifact (=artefact),ಕಲಾಕೃತಿ (= ಕಲಾಕೃತಿ)
Ascending,ಏರಿಕೆ
Aspect ratio,ಶೋಧ ಅನುಪಾತ
Assembler,ಷೋಬರೆ
Assertion,ಪ್ರತಿಪಾದಿಸುವುದು
Assignment,ನಿಯೋಜನೆ
Assignment channel,ನಿಯೋಜನೆ ಚಾನೆಲ್
Asymmetrical,ಅಸಮ್ಮತಿಗೆ ಸಂಬಂಧಿಸಿದ
Asynchronous,ಅಸಮಕಾಲಿಕ
Atmosphere,ವಾತಾವರಣ
Atmospheric loss,ವಾತಾವರಣದ ನಷ್ಟ
Atmospheric noise,ವಾತಾವರಣದ ಶಬ್ದ
Atmospheric pressure,ವಾತಾವರಣದ ಒತ್ತಡ
Atmospheric propagation,ವಾತಾವರಣದ ಪ್ರಸರಣ
Atmospheric radio-wave,ವಾತಾವರಣದ ರೇಡಿಯೋ ತರಂಗ
Atmospherics,ವಾತಾವರಣದ
Atom,ಪರಮಾಣು
Atomic structure,ಪರಮಾಣು ರಚನೆ
Attachment,ಬಾಂಧಾಣ
Attenuation,ಗಮನ
Attenuation loss,ಅಟೆನ್ಯೂಯೇಷನ್ ​​ನಷ್ಟ
Attenuation of sound waves,ಧ್ವನಿ ತರಂಗಗಳ ಅಟೆನ್ಯೂಯೇಷನ್
Attenuator,ಕೈಗೆಟುಕುವವನು
Attenuator-pad,ಅಟೆಂಡು-ಪ್ಯಾಡ್
Audibility threshold,ಶ್ರದ್ಧೆಯ ಮಿತಿ
Audible,ಶ್ರವ್ಯ
Audible frequency,ಶ್ರವ್ಯ ಆವರ್ತನ
Audible tone,ಶ್ರವ್ಯ ಸ್ವರ
Audible-spectrum,ಸ್ವಸಾಧ್ಯ
Audience,ಪ್ರೇಕ್ಷಕರು
Audio,ಆವಿಷ್ಕಾರ
Audio amplifier,ಆಡಿಯೊ ಆಂಪ್ಲಿಫೈಯರ್
Audio analyzer,ಆಡಿಯೊ ವಿಶ್ಲೇಷಕ
Audio broadcasting,ಆಡಿಯೊ ಪ್ರಸಾರ
Audio cable,ಆಡಿಯೊ ಕೇಬಲ್
Audio chain,ಆಡಿಯೊ ಸರಪಳಿ
Audio codec,ಆಡಿಯೊ ಕೋಡೆಕ್
Audio compression,ಆಡಿಯೊ ಸಂಕೋಚನ
Audio compressor,ಆಡಿಯೊ ಸಂಕೋಚಕ
Audio console,ಆಡಿಯೊ ಕನ್ಸೋಲ್
Audio distortion,ಆಡಿಯೊ ಅಸ್ಪಷ್ಟತೆ
Audio dynamic range,ಆಡಿಯೊ ಡೈನಾಮಿಕ್ ಶ್ರೇಣಿ
Audio file format,ಆಡಿಯೊ ಫೈಲ್ ಸ್ವರೂಪ
Audio frame format,ಆಡಿಯೊ ಫ್ರೇಮ್ ಸ್ವರೂಪ
Audio frequency amplifier,ಆಡಿಯೊ ಆವರ್ತನ ಆಂಪ್ಲಿಫಯರ್
Audio frequency generator,ಆಡಿಯೊ ಆವರ್ತನ ಜನರೇಟರ್
Audio frequency range,ಆಡಿಯೊ ಆವರ್ತನ ಶ್ರೇಣಿ
Audio frequency response,ಆಡಿಯೊ ಆವರ್ತನ ಪ್ರತಿಕ್ರಿಯೆ
Audio limiter,ಆವಿಷ್ಕಾರದ ಮಿತಿ
Audio line,ಆಡಿಯೊ ಮಾರ್ಗ
Audio mixer,ಆಡಿಯೊ ಮಿಕ್ಸರ್
Audio modulation,ಆಡಿಯೊ ಮಾಡ್ಯುಲೇಷನ್
Audio oscillator,ಆವಿಭರಣ
Audio output,ಆಡಿಯೊ ಉತ್ಪಾದನೆ
Audio power,ಆಡಿಯೊ ಶಕ್ತಿ
Audio quality,ಆಡಿಯೊ ಗುಣಮಟ್ಟ
Audio signal,ಆಡಿಯೊ ಸಂಕೇತ
Audio signal processing,ಆಡಿಯೊ ಸಿಗ್ನಲ್ ಸಂಸ್ಕರಣೆ
Audio spectrum,ಆಡಿಯೊ ವರ್ಣಪಟಲ
Audio storage,ಆಡಿಯೊ ಸಂಗ್ರಹಣೆ
Audio sub-carrier,ಆಡಿಯೊ ಉಪನಾಮ
Audio transformer,ಆಡಿಯೊ ಪರಿವರ್ತಕ
Audio transmitter,ಆಡಿಯೊ ಟ್ರಾನ್ಸ್ಮಿಟರ್
Audio/video compression,ಆಡಿಯೋ/ವಿಡಿಯೋ ಸಂಕೋಚನ
Audio-frequency oscillator,ಆಡಿಯೊ ಆವರ್ತನ ಆಂದೋಲಕ
Audio-frequency signal,ಆವರ್ತನ ಆವರ್ತನ ಸಂಕೇತ
Audiometry,ಆಲಿಕಲ್ಲು ಮಾಪನ
Audio-visual aid,ಆಡಿಯೋ ದೃಶ್ಯ ಸಹಾಯ
Auditory perception,ಶ್ರವಣೇಂದ್ರಿಯ ಗ್ರಹಿಕೆ
Authentication,ದೃentೀಕರಣ
Authorised carrier frequency,ಅಧಿಕೃತ ವಾಹಕ ಆವರ್ತನ
Auto CAD,ಆಟೋ ಸಿಎಡಿ
Auto diagnostics,ಸ್ವಯಂ ರೋಗನಿರ್ಣಯ
Automatic,ಸ್ವಯಂಚಾಲಿತ
Automatic control,ಸ್ವಯಂಚಾಲಿತ ನಿಯಂತ್ರಣ
Automatic detection,ಸ್ವಯಂಚಾಲಿತ ಪತ್ತೆ
Automatic equipment,ಸ್ವಯಂಚಾಲಿತ ಉಪಕರಣಗಳು
Automatic frequency control,ಸ್ವಯಂಚಾಲಿತ ಆವರ್ತನ ನಿಯಂತ್ರಣ
Automatic limiter,ಸ್ವಯಂಚಾಲಿತ ಮಿತಿ
Automatic machine,ಸ್ವಯಂಚಾಲಿತ ಯಂತ್ರ
Automatic phasae control,ಸ್ವಯಂಚಾಲಿತ ಫಾಸೆ ನಿಯಂತ್ರಣ
Automatic picture transmission,ಸ್ವಯಂಚಾಲಿತ ಚಿತ್ರ ಪ್ರಸರಣ
Automatic playback,ಸ್ವಯಂಚಾಲಿತ ಪ್ಲೇಬ್ಯಾಕ್
Automatic power control,ಸ್ವಯಂಚಾಲಿತ ವಿದ್ಯುತ್ ನಿಯಂತ್ರಣ
Automatic programming,ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್
Automatic recording,ಸ್ವಯಂಚಾಲಿತ ರೆಕಾರ್ಡಿಂಗ್
Automatic reset,ಸ್ವಯಂಚಾಲಿತ ಮರುಹೊಂದಿಸಿ
Automatic shutter,ಸ್ವಯಂಚಾಲಿತ ಶಟರ್
Automatic system,ಸ್ವಯಂಚಾಲಿತ ವ್ಯವಸ್ಥೆ
Automatic telephone,ಸ್ವಯಂಚಾಲಿತ ದೂರವಾಣಿ
Automatic temperature control,ಸ್ವಯಂಚಾಲಿತ ತಾಪಮಾನ ನಿಯಂತ್ರಣ
Automatic voltage regulator,ಸ್ವಯಂಚಾಲಿತ ವೋಲ್ಟೇಜ್ ನಿಯಂತ್ರಕ
Automatic volume compressor,ಸ್ವಯಂಚಾಲಿತ ಪರಿಮಾಣ ಸಂಕೋಚಕ
Automatic volume control,ಸ್ವಯಂಚಾಲಿತ ಪರಿಮಾಣ ನಿಯಂತ್ರಣ
Automatic volume expander,ಸ್ವಯಂಚಾಲಿತ ಪರಿಮಾಣ ವಿಸ್ತರಣೆ
Automation,ಸ್ವಯಂಚಾಲಿತ
Automation control,ಆಟೊಮೇಷನ್ ನಿಯಂತ್ರಣ
Automation frequency controller,ಆಟೊಮೇಷನ್ ಆವರ್ತನ ನಿಯಂತ್ರಕ
Auxiliary,ಸಹಾಯಕ
Auxiliary audio bus,ಸಹಾಯಕ ಆಡಿಯೊ ಬಸ್
Available power,ಲಭ್ಯವಿರುವ ಶಕ್ತಿ
Avalanche breakdown,ಹಿಮಪಾತ ಸ್ಥಗಿತ
Average life,ಸರಾಸರಿ ಜೀವನ
Average pressure,ಸರಾಸರಿ ಒತ್ತಡ
Average speed,ಸರಾಸರಿ ವೇಗ
Axis of spin,ಸ್ಪಿನ್ ನ ಅಕ್ಷ
Azimuth,ಅಜಿಮತ್
Azimuth angle,ಅಜಿಮತ್ ಕೋನ
Azimuth error,ಅಜಿಮುತ್ ದೋಷ
Back light,ಬ್ಯಾಕ್ ಲೈಟ್
Back projection,ಬ್ಯಾಕ್ ಪ್ರೊಜೆಕ್ಷನ್
Back voltage (=reverse voltage),ಹಿಂದಿನ ವೋಲ್ಟೇಜ್ (= ರಿವರ್ಸ್ ವೋಲ್ಟೇಜ್)
Backfire (arc back),ಬ್ಯಾಕ್‌ಫೈರ್ (ಆರ್ಕ್ ಬ್ಯಾಕ್)
Background light,ಹಿನ್ನೆಲೆ ಬೆಳಕು
Background noise,ಹಿನ್ನೆಲೆ ಶಬ್ದ
Background projection,ಹಿನ್ನೆಲೆ
Backup,ಬಾಗುತ್ತಾ ಹೋಗು
Baffle,ಅಡ್ಡಿ
Baking,ಕಪಾಟಿ
Balanced audio,ಸಮತೋಲಿತ ಆಡಿಯೊ
Balanced audio line,ಸಮತೋಲಿತ ಆಡಿಯೊ ಮಾರ್ಗ
Balanced transmission line,ಸಮತೋಲಿತ ಪ್ರಸರಣ ಮಾರ್ಗ
Balancing,ಸಮತೋಲನ
Ballast,ನಿಲುಗಡೆ
Ballast factor,ನಿಲುಗಡೆ
Balun,ಬಲೂನ
Band,ಬಂಡಿ
Band pass filter,ಬ್ಯಾಂಡ್ ಪಾಸ್ ಫಿಲ್ಟರ್
Band selector,ತಂಡದ ತಂಡ
Band splitting,ಬ್ಯಾಂಡ್ ವಿಭಜನೆ
Band stop filter,ಬ್ಯಾಂಡ್ ಸ್ಟಾಪ್ ಫಿಲ್ಟರ್
Band switch,ಬ್ಯಾಂಡ್ ಸ್ವಿಚ್
Band tuning,ಬ್ಯಾಂಡ್ ಟ್ಯೂನಿಂಗ್
Bandwidth,ಬಂಡಿಡಿ
Bar,ಗಡಿ
Bar code,ಪಾಂಡಿತ್ಯ
Bar data,ಬಾರ್ -ಡೇಟಾ
Bare band,ಬರಿ ಬ್ಯಾಂಡ್
Bare lamp,ಬರಿ ದೀಪ
Barn door,ಕೊಟ್ಟಿಗೆ ಬಾಗಿಲು
Base band,ಬೇಸ್ ಬಂಡಿ
Base band signal,ಬೇಸ್ ಬ್ಯಾಂಡ್ ಸಂಕೇತ
Base band system,ಬೇಸ್ ಬ್ಯಾಂಡ್ ವ್ಯವಸ್ಥೆ
Base browser,ಬೇಸ್ ಬ್ರೌಸಿ
Base collector junction,ಬೇಸ್ ಕಲೆಕ್ಟರ್ ಜಂಕ್ಷನ್
Base insulator,ಬೇಸ್ ನಿರೋಧಕ
Bass,ಬಾವಲಿ
Bass compensation,ಬಾಸ್ ಪರಿಹಾರ
Bass loudspeaker (woofer),ಬಾಸ್ ಧ್ವನಿವರ್ಧಕ (ವೂಫರ್)
