Malayalam,Marathi
സജീവമാക്കൽ .ർജ്ജം,सक्रियता ऊर्जा
സജീവമായ ആഗിരണം,सक्रिय शोषण
സജീവ പ്രതിരോധശേഷി,सक्रिय प्रतिकारशक्ती
സജീവ വികിരണം,सक्रिय रेडिएशन
സജീവ സൈറ്റ്,सक्रिय साइट
ആധ്രിക്കുക,अ‍ॅक्टिव्हिन
അക്യുമിനേറ്റ്,Umicate
ആദാംസിയ,अ‍ॅडम्सिया
പൊരുത്തപ്പെടലി,अनुकूलता
പൊരുത്തപ്പെടുത്തൽ,रुपांतर
ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ,हलकी व्यवस्थेशी जुळवून घेणे
ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ,पाण्याची कमतरता रुपांतर
അഡാപ്റ്റീവ് സവിശേഷതകൾ,अनुकूली वैशिष्ट्ये
അഡാപ്റ്റീവ് പ്രതിരോധശേഷി,अनुकूली प्रतिकारशक्ती
അഡാപ്റ്റീവ് വികിരണം,अनुकूली रेडिएशन
അഡാപ്റ്റീവ് സ്വഭാവം,अनुकूली गुण
അഡാക്സിയൽ ഉപരിതലം,अ‍ॅडॅक्सियल पृष्ठभाग
ആസക്തി നിഴൽ,व्यसनाधीन डिसऑर्डर
ആദൈൈൻ,En डेनिन
Adenocortiopin,En डेनोकोर्टिकोट्रोपिन
ആദിനോഹൈപഫിസിസ്,En डेनोहायपोफिसिस
Adenosin diphosphate,En डेनोसिन डायफॉस्फेट
Adenosine deaminase,En डेनोसिन डिमिनेस
അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്,En डेनोसाइन मोनोफॉस्फेट
അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി),En डेनोसाइन ट्रायफॉस्फेट (एटीपी)
Adenileat സൈക്ലെസ്,En डेनिलेट सायक्लेज
പശ ശക്തി,चिकट शक्ती
മുദവയ്ക്കുക,अ‍ॅडिपेट
Adipocyte (FALE സെൽ),अ‍ॅडिपोसाइट (चरबी सेल)
അഡിപോസ് ടിഷ്യു,अ‍ॅडिपोज टिशू
ആരാധന,Nednate
സമീപ കമ്മ്യൂണിറ്റി,लगतचा समुदाय
അഡ്രീനല്,Ren ड्रेनल
അഡ്രീനൽ ഗ്രന്ഥി,Ren ड्रेनल ग्रंथी
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth),एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच)
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth),Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच)
ദുര്ധി പകര്,Or सॉर्बेंट
ദുര്ഗയോധം,शोषण
വിപുലമായ കീടങ്ങൾ,प्रगत Chordate
പ്രയോജനകരമായ മ്യൂട്ടേഷൻ,फायदेशीर उत्परिवर्तन
സാഹസികമായ,अ‍ॅडव्हेंटिशियल
സാഹസിക റൂട്ട്,साहसी मूळ
പ്രതികൂല ഫലം,प्रतिकूल परिणाम
Aedes,एडीज
സംസ്കാരത്തിന്റെ വായുസഞ്ചാരം,संस्कृतीचे वायुवीजन
അരേഞ്ചമ,एरेन्चायमा
ഏരിയൽ,हवाई
Aierial റൂട്ട്,एरियल रूट
ഏരിയൽ ഷൂട്ട്,एरियल शूट
എയ്റോബിക് ശ്വസനം,एरोबिक श्वसन
എയ്റോബിക് ശ്വസനം,एरोबिक श्वसन
സൗന്ദര്യശാസ്ത്രം,सौंदर्यशास्त्र
പകർച്ചവ്വാധം,एस्टिवेशन
പകർച്ചവ്വാധം,एस्टिवेशन
അശ്രദ്ധ,Efferent
അഫിനിറ്റി ക്രോമാറ്റോഗ്രാഫി,आत्मीयता क्रोमॅटोग्राफी
പീഡിപ്പിച്ച അവയവം,पीडित अवयव
വനനം,वनीकरण
അഗമോസ്പർമി,अ‍ॅगामोस्पर्मी
അഗറും,अगर
അഗരോസ്,आगरोस
അഗരോസ് ജെൽ എലെട്രോഫോറെസിസ്,अगरोस जेल इलेट्रोफोरेसीस
അഗരോസ് പോളിമർ ജെൽ,अ‍ॅगारोज पॉलिमर जेल
അഗാധമായ,Agast
കൂരക്കം,अ‍ॅगेव्ह
പ്രായ വിതരണം,वय वितरण
പ്രായ പിരമിഡ്,वय पिरॅमिड
നിര്മ്മിപ്പ,एकत्रित
ആകെത്തുകയായുള്ള,एकूण
ഫോളിക്കിളിന്റെ ആകെത്തുക,कूपांचे एकूण
ഫോളിക്കിളിന്റെ ആകെത്തുക,कूपांचे एकूण
അഗ്രഗേഷൻ,एकत्रिकरण
ആക്രമശാസ്ത്രം,आक्रमकता
അജിറ്ററ്റർ സിസ്റ്റം,आंदोलन प्रणाली
അഗ്നിനാഥ,अग्नथ
അഗൗട്ടി,अगोती
അഗ്രഗൽ ക്ലോറോപ്ലാസ്റ്റ്,अ‍ॅग्रॅनल क्लोरोप्लास्ट
അഗ്രനനുകാരി,अ‍ॅग्रॅन्युलर
അഗ്രമായനുലോസിടെ,अ‍ॅग्रानुलोसाइट
കൃഷിപ്പണി,शेती
അഗ്രോഫോറസ്ട്രി,अ‍ॅग्रोफोरेस्ट्री
അഗ്രോബക്രിയം മധ്യസ്ഥത,अ‍ॅग्रोबॅक्टीरियम मध्यस्थी
അഗ്രോബക്രിയം ടുബ്ഫാസിയൻസ്,अ‍ॅग्रोबॅक्टीरियम ट्यूमेफेसियन्स
കാർഷിക,अ‍ॅग्रोकेमिकल
കാർഷിക,अ‍ॅग्रोकेमिकल
അഗ്രോക്ലിമീയ മേഖല,अ‍ॅग्रोक्लिमॅटिक झोन
അഗ്രോണമിക് സ്വഭാവം,कृषी गुणधर्म
അഗ്രോണമി,अ‍ॅग्रोनॉमी
എയ്ഡ്സ്,एड्स
എയർ ബ്ളാഡര്,एअर मूत्राशय
എയർകണ്ടീഷണർ,वातानुकूलन
എയർ പാസേജ്,हवाई रस्ता
വായു മലിനീകരണം,वायू प्रदूषण
വ്ലാക്,एअर थैली
വായു ശൂന്യത,एअर व्हॅक्यूओल
എയർ ശ്വസനം,हवाई श्वास
അനെയ്ൻ,अलेन
അലറി പേശി,अ‍ॅलरी स्नायू
അലാസ്കൻ ബ്ര rown ൺ ബിയർ,अलास्कन तपकिरी अस्वल
ആൽബിനോ,अल्बिनो
ആൽബൂഗോ,अल्बुगो
ആൽബമിൻ,अल्बमिन
ആൽബ്യൂമിനസ് വിത്ത്,अल्ब्युमिनस बियाणे
അൽബുമിനൂറിയ,अल्बमिनुरिया
ആൽബനം,अल्बर्नम
അൽകെഡെ,Lescedae
Aldeheeede,Ld ल्डिहेडे
ആൽഡോസ്റ്റെറോൺ സിസ്റ്റം,Ld ल्डोस्टेरॉन सिस्टम
ആൽഡോസ്റ്റെറോൺ,अ‍ॅल्डोस्टेरॉन
അലോറോൺ ലെയർ,अलेरोन लेयर
അലൂറോപ്ലാസ്റ്റ്,अलेरोप्लास्ट
പയറുവർഗ്ഗങ്ങൾ,अल्फल्फा
ആൽഗൽ പൂവ്,अल्गल ब्लूम
അൾഗിൻ,अल्गिन
അന്യഗ്രഹ ഡിഎൻഎ,एलियन डीएनए
അന്യഗ്രഹ ജീവികൾ,एलियन प्रजाती
വിന്യാപകമായ,संरेखन
വിന്യാപകമായ,संरेखन
അലിമെന്ററി കനാൽ,एलिमेंटरी कालवा
അലിമെന്ററി സിസ്റ്റം,एलिमेंटरी सिस्टम
അലിയാസം,अलिसमासेस
ആൽക്കലോയിഡ്,अल्कलॉइड
ആൽക്കലൈൻ,अल्कधर्मी
ആൽക്കപ്റ്റോറിയ,अल्काप्टोनुरिया
Allantois,अलांटोइस
അല്ലെൽ ഫ്രീക്വൻസി,अ‍ॅलेल वारंवारता
അല്ലലേ,अ‍ॅलेल
അല്ലോമോർഫിക് ജോഡി,Lel लोमॉर्फिक जोडी
അലർജി,L लर्जीन
ചീങ്കണ്ണി,अ‍ॅलिगेटर
അല്ലിയം സിപ,अ‍ॅलियम सेपा
അലോഗാമി,अ‍ॅलोगॅमी
അല്ലുഫ്രാഫ്റ്റ്,अ‍ॅलोग्राफ्ट
അലോപ്പേട്രിക് സ്പെസിഫിക്കേഷൻ,अ‍ॅलोपॅट्रिक स्पेशिएशन
Allopolyplogid,Ol लोपोलिपॉइड
എല്ലാസ്റ്റീസ്റ്റ് ഇഫക്റ്റ്,अ‍ॅलोस्टेरिक प्रभाव
Allonteric enzyme,अ‍ॅलोस्टेरिक एंझाइम
ഓസ്റ്റോസ്റ്റർ ഇൻഹിബിറ്റർ,अ‍ॅलोस्टेरिक इनहिबिटर
എല്ലാസ്റ്റീസ്റ്റ് മോഡുലേഷൻ,अ‍ॅलोस्टेरिक मॉड्यूलेशन
ഓസ്റ്റോസ്റ്റർ സൈറ്റ്,अ‍ॅलोस्टेरिक साइट
ആസ്റ്റോസ്റ്റ് ഗർബിംഗ്,अ‍ॅलोस्टेरिक इनहिबिशन
അലോട്ട്ട്രലോയിഡ്,अ‍ॅलोटेट्रॅप्लॉइड
അൽനസ്,अल्नस
കറ്റാർ,कोरफड
ആക്സോണിനൊപ്പം,On क्सॉनच्या बाजूने
ആൽഫ-ആന്റിട്രിറ്റിപ്സ്,अल्फा-अँटीट्रिप्सिन
ആൽഫ-ലാക്റ്റൽബുമിൻ,अल्फा-लेक्टलब्यूमिन
ആൽപൈൻ കാലാവസ്ഥാ അവസ്ഥ,अल्पाइन हवामान स्थिती
ആൽപൈൻ മെഡോ,अल्पाइन कुरण
ആൽപൈൻ സോൺ,अल्पाइन झोन
ആൽസ്റ്റോണിയ,अल्स्टोनिया
ആദരജോ,अल्टरनेरिया
ഏകാന്തരക്രമത്തിൽ,वैकल्पिक
തലമുറയുടെ മാറിമാറ്റം,पिढीचे पर्यायी
ഉറ്റമകരമായ രോഗം,उंची आजारपण
ഉയരം,समुद्रसपाटीपासूनची उंची
അൽവിയോളാർ നാളം,अल्व्होलर नलिका
അലിറ്റ്സ്,एलिटेस
അല്ഷിമേഴ്സ് രോഗം,अल्झायमर रोग
അമാക്രീൻ സെൽ,अमॅक्रिन सेल
അമറാന്തം,अमरॅन्थेसी
അമരന്തസ്,अमरॅन्थस
ആംബിയന്റ് ഓസ്മോട്ടിക് സാന്ദ്രത,वातावरणीय ऑस्मोटिक एकाग्रता
ആംബിസ്റ്റോമ,अ‍ॅम्बिस्टोमा
അറുമണ്ടിന്,अमाइड
അമിനോ അമ്ലം,अमिनो आम्ल
അമിനോ ആസിഡ് സ്വീകാര്യത,अमीनो acid सिड स्वीकारणारा
അമിനോസിഎൽ ടി ആർഎ സിന്തസെസ്,एमिनोआसिल टी आरएनए सिंथेथेस
അമിപോസിലേഷൻ,एमिनोआसिलेशन
അമിറ്റോസിസ്,अमिटोसिस
ക്ഷാരവായു,अमोनिया
അമ്മോണിഫിക്കേഷൻ,अमोनिफिकेशन
അമോമോട്ടലിസം,अमोनोटेलिझम
അമ്നിയോസെന്റസിസ്,अ‍ॅम्निओसेन्टेसिस
Amniocentess സാങ്കേതികത,अ‍ॅम्निओसेन्टेसिस तंत्र
Amniocyte,अ‍ॅम्निओसाइट
Amnion,अम्नियन
അമ്നിയോട്ടിക് ദ്രാവകം,गर्भाशयातील द्रव
അമ്നിയോട്ടിക് മെംബ്രൺ,अम्नीओटिक झिल्ली
അമ്നിയോട്ടിക് സഞ്ചി,अम्नीओटिक थैली
അമീബ,अमोबा
Amoebocyte,अमीबोसाइट
Amoeboid,अमोबॉइड
Amoeboid lymphocyte,अ‍ॅमोबॉइड लिम्फोसाइट
അമോബോഡ് ചലനം,अ‍ॅमोबॉइड चळवळ
അക്കോറോഫസ്,अनाकार
സംഖ,रक्कम
ആംഫെറ്റാമൈൻ,अ‍ॅम्फेटामाइन
ആംഫിബിയ,उभयचर
ആംഫിബിയൻ,उभयचर
ആംഫിബിയൻ,उभयचर
Amphioxus,अ‍ॅम्फिओक्सस
ആംഫിയോക്സസ് ലാൻനോലാറ്റസ്,अ‍ॅम्फिओक्सस लॅन्सोलाटस
ഉംഫിപതിക്,अ‍ॅम्फिपाथिक
ആംഫിപതിക് ലിപിഡ്,अ‍ॅम्फिपाथिक लिपिड
ആംഫിസാർക്ക,अ‍ॅम्फिसार्का
ആമ്പസില്ലിൻ,अ‍ॅम्पिसिलिन
അമ്പള്ളു,अ‍ॅम्पुल्ला
മുള്ളറി ഗ്രന്ഥി,अ‍ॅम्प्युलरी ग्रंथी
ആമിഗ്ഡാൽ,अ‍ॅमीगडल
ആമിഗ്ഡേൽ,अ‍ॅमीगडेल
ആമിഗ്ഡാലിൻ,अ‍ॅमीग्डालिन
അമിലേസ്,अ‍ॅमिलेज
അമിലോപ്ലാസ്റ്റ്,अ‍ॅमिलोप्लास्ट
അനാബെന,अनाबेना
അനബാസ്,अनबास
അനാബോളിക് പാത,अ‍ॅनाबॉलिक मार्ग
അനാബോളിസം,अ‍ॅनाबोलिझम
അനകാർഡിയേസി,अ‍ॅनाकार्डियासी
വിളമിയ,अशक्तपणा
അയ്റോബ്,अनरोब
അനാറോബിക് ഇന്ധനം,अनॅरोबिक इंधन
അനാറോബിക് ശ്വസനം,अनरोबिक श्वसन
അനാറോബിക് സ്ലഡ്ജ് ഡൈജസ്റ്റർ,अनॅरोबिक गाळ डायजेस्टर
Anaerobic,अनॅरोबिक
അനൈമ,अनाईमा
മലദ്വാരം,गुदद्वारासंबंधीचा
മലദ്വാരം,गुदद्वारासंबंधीचा
മലദ്വാരം,गुदद्वारासंबंधीचा छिद्र
അനൽ സെറി,गुदद्वारासंबंधीचा सेर्सी
അനൽ ലൂപ്പ്,गुद्द्वार लूप
അനൽ ശൈലി,गुद्द्वार शैली
അനസ്),समान
അനസ്),समान
അനലോഗി,समानता
അനലോഗി,समानता
വിശകലനം,विश्लेषण
അനാഫേസ്,अनाफेस
Anatomic തടസ്സം,शरीरशास्त्र अडथळा
ശരീരഘടന,शारीरिक पैलू
അനാട്ടമിസ്റ്റ്,शरीरशास्त्रज्ञ
ശരീരശാസ്തം,शरीरशास्त्र
പൂർവ്വികൻ പിൻഗാമിയായ ശ്രേണി,पूर्वज वंशज अनुक्रम
പൂർവ്വിക വംശജർ,वडिलोपार्जित वंश
പൂർവ്വാവസ്ഥ,वडिलोपार्जित क्रम
ആൻസിലോസ്റ്റമ,एन्सिलोस्टोमा
ആൻഡ്രോസിയം,एंड्रोइसीयम
ആൻഡ്രോജൻ,एंड्रोजेन
വിളമിയ,अशक्तपणा
അനെമോൺ,Enemone
Aneuplogode,Eneuploid
അനിയുപ്ലോയിഡി,Eneuploidy
ആഞ്ചിന,एनजाइना
ആൻജിയോഗ്രാം,एंजिओग्राम
ആഗിരിഗ്രാഫ്,एंजियोग्राफ
ആജീദർ,एंजियोग्राफी
ആൻജിയോപ്ലാസ്റ്റി,एंजियोप्लास्टी
അൻജിയോസ്പെർം,एंजिओस्पर्म
ആൻജിയോടെൻസിൻ,अँजिओटेन्सिन
ആൻജിയോടെൻസിനോജെൻ,एंजियोटेंसीनोजेन
ആംഗ്ലർ മത്സ്യം,अँगलर फिश
മുതൽക്കുള,एंगुइना
ഉള്ക്കൊണ്ടിൻ,एंगुइस
ജന്തു,प्राणी
ജന്തു,प्राणी
മൃഗം ചാണകം,प्राणी शेण
മൃഗസംരക്ഷണം,पशुसंवर्धन
അനിമൽ കരിയട്ടിപ്പിംഗ്,अ‍ॅनिमल कॅरिओटाइपिंग
ജന്തു ലോകം,प्राण्यांचे राज्य
മൃഗങ്ങളുടെ ടിഷ്യു,प्राणी ऊतक
അദ്ധ്യാപകൻ,अ‍ॅनिमालिया
അനിയോൺ,आयन
അനിസോട്രോപിക് ബാൻഡ്,एनिसोट्रॉपिक बँड
അനെലിലിംഗ്,En नीलिंग
Anenelid,अ‍ॅनेलिड
അന്നലിഡ,अ‍ॅनेलिडा
വാർഷിക മോതിരം,वार्षिक रिंग
റദ്ദാക്കിയത്,एनुलेटेड
ചെറുമാനം,एन्युले
അപാകത തരം,विसंगती प्रकार
അനോഫെൽസ്,अ‍ॅनोफेल्स
ഉറുമ്പുതീനി,मुंगी खाणारा
വിരുദ്ധ,विरोधी
അന്റാർട്ടിക്ക്,अंटार्क्टिक
ഏരിയെല്,अँटेना
ആന്റിന കോംപ്ലക്സ്,अँटेना कॉम्प्लेक्स
ആന്റിനൽ ഗ്രന്ഥി,अँटेनल ग्रंथी
ആന്റീരിയർ (വെൻട്രൽ) ഗ്രേ ഹോൺ,पूर्ववर्ती (व्हेंट्रल) ग्रे हॉर्न
ആന്റീരി ഹൈപ്പോഫിസിസ്,आधीचा हायपोफिसिस
മുൻകാല ഇടവേള സൾക്കസ്,पूर्ववर्ती इंटरव्हेंट्रिक्युलर सल्कस
അഥേർ,अँथर
ആന്തർ സംസ്കാരം,अँथर संस्कृती
അങ്കാദിയം,अँथेरिडियम
Antresood,अँथेरोझॉइड
ആന്തസംഘങ്ങൾ,अँथोसेरोस
ആന്തസൂറോടോപ്സിഡ,अँथोसेरोटोप्सिडा
ആന്ത്രാക്സ്,अँथ्रॅक्स
ആന്ത്രോപെനിക് വംശനാശം,अँथ्रोपोजेनिक विलोपन
നരവംശശാസ്ത്രം,मानववंशशास्त्र
ആൻറി ബാക്ടീരിയൽ,अँटीबैक्टीरियल
ആൻറിബയോട്ടിക് പെനിസിലിൻ,अँटीबायोटिक पेनिसिलिन
ആൻറിബയോട്ടിക് പ്രതിരോധം,प्रतिजैविक प्रतिरोधक
ആൻറിബയോട്ടിക് (കൾ),प्रतिजैविक (ओ)
ആന്റിബോഡി,प्रतिपिंडे
ആന്റിബോഡി ദമ്പതികൾ,अँटीबॉडी जोडपे
ആന്റിബോഡി മെറ്റലേറ്റഡ് പ്രതിരോധശേഷി,प्रतिपिंडे मध्यस्थ प्रतिकारशक्ती
Anicoagululant,अँटीकोआगुलंट
ആന്റികോഡൻ ലൂപ്പ്,अँटीकोडॉन लूप
ആന്റീഡിപ്രസന്റ്,प्रतिरोधक
ആന്റിഡിയുററ്റിക് ഹോർമോൺ (ADH),अँटीडियुरेटिक हार्मोन (एडीएच)
ആന്റിജൻ ജീൻ,अँटीजेन जनुक
ആന്റിജൻ-ആന്റിബോഡി കോംപ്ലക്സ്,अँटीजेन-अँटीबॉडी कॉम्प्लेक्स
ആന്റിഗനിക് ഡിറ്റർമിനന്റ്,प्रतिजैविक निर्धारक
ആന്റിനൈറ്റിഷണൽ ഫാക്ടർ,विरोधी घटक
ആന്റിഓക്സിഡന്റ്,अँटीऑक्सिडेंट
ആന്റിപോഡൽ ന്യൂക്ലിയസ്,अँटीपोडल न्यूक्लियस
ആന്റി സെൻസ് ആർഎൻഎ,अँटी-सेन्स आरएनए
ആൻറിവിറൽ പ്രോട്ടീൻ,अँटीवायरल प्रथिने
ആധാട്,अँट्रम
Anuclate,Anucleate
ഗുദം,गुद्द्वार
ഉത്കണ്ഠ രോഗം,चिंता डिसऑर्डर
അയോർട്ടിക് കമാനം,महाधमनी कमान
അയോർട്ടിക് ഗാംഗ്ലിയൻ,महाधमनी गँगलियन
അയോർട്ടിക് സെമിലുനാർ വാൽവ്,महाधमनी सेमीलूनर वाल्व
അയോർട്ടിക് വാൽവ്,महाधमनी वाल्व्ह
APC (Anaphas പ്രോത്സാഹിപ്പിക്കുന്നത്),एपीसी (अनाफेस प्रोत्साहन कॉम्प्लेक्स)
അപ്പോയിലൈക്ക് പൂർവ്വം,अपीलिक पूर्वज
ആഫിഡ്,Ph फिड
അഫ്രോഡൈറ്റ്,Ph फ्रोडाईट
അഗ്ര ആധിപത്യം,एपिकल वर्चस्व
അപ്ലിക്കേഷൻ പാഡ്,एपिकल पॅड
അവലി,एपिकल्चर
Apis ഇൻഡിക്ക,एपीआयएस इंडिका
എപ്ലാനോസ്പോര്,अप्प्लानोस्पोर
അപ്ളീസിയ,अप्लिसिया
അപ്പോക്കാർപേ,अपोकार्पा
അപ്പോക്കറസ്,अपोकार्पस
അപ്പോക്കർബസ് അണ്ഡാശയം,अपोकार्पस अंडाशय
അപ്പോക്രൈൻ ഗ്രന്ഥി,अपोक्राइन ग्रंथी
അപെൻസൈം,अपोएन्झाइम
ശാന്തമായ,Apomict
അപ്പോമിക്സിസ്,अपोमिक्सिस
UpoPlasm,अपोप्लाझम
Apopleastic വഴി,अपोप्लास्टिक मार्ग
അപ്പോപ്ടോസിസ്,अ‍ॅपॉप्टोसिस
ഉപകരണങ്ങള്,उपकरणे
കൂട്ടിച്ചേർത്ത അസ്ഥികൂടം,परिशिष्ट सांगाडा
കീകത്തിന്റെ അനുബന്ധം,कॅकमचे परिशिष्ट
ആപ്പിൾ ഒച്ചുകൾ,Apple पल गोगलगाय
അക്വാകൾച്ചർ,जलचर
അക്വാപ്പീര,एक्वापोरिन
ജലവിഷയക്കാരൻ,जलचर उभयचर
ജലരീതി,जलीय फॉर्म
ജല ആവാസവ്യവസ്ഥ,जलचर निवासस्थान
ജലജീവിങ്ങള്,जलीय जीव
ജലസ്വചന്തി,जलचर वनस्पती
ജലവിശ്വാസം,जलीय श्वसन
ജല ദ്രാവകം,जलीय द्रव
ജലീയ ഉന്മൂലനം,जलीय ह्यूमर
ജലീയ ഇൻട്രാ സെല്ലുലാർ ദ്രാവകം,जलीय इंट्रा-सेल्युलर फ्लुइड
ജലീയ സാമ്പിള്,जलीय नमुना
ജലീയ പരിഹാരം,जलीय समाधान
അക്വില,एक्विला
അറബിഡോപ്സിസ്,अरबीडोप्सिस
അരാക്നിഡ,अराच्नीडा
അരാക്നോയിഡ്,अराच्नॉइड
അരാനിയസ്,अरेनियस
അർബസവാളികമായ,आर्बोरेंट
അർബറോസന്റ് ലൈക്കോപോഡ്,आर्बोरसेंट लाइकोपॉड
ആർക്കീഫായ,आर्चीबॅक्टेरिया
ആൾജിഗോണിയം,आर्चेगोनियम
ദീപസമൂഹം,द्वीपसमूह
ആർട്ടിക്,आर्क्टिक
ആർട്ടിക് ടെർൺ,आर्क्टिक टर्न
ആർട്ടിക് തുണ്ട്ര,आर्क्टिक टुंड्रा
Ardea,आर्दिया
ഇറോളാർ ടിഷ്യു,आयरोलर टिश्यू
ആർഗ്മോൺ (പ്രിക്ലി പോപ്പി),अर्गेमोन (काटेकोर खसखस)
ആർഗ്മോൺ മെക്സിക്കന,अर्गेमोन मेक्सिकाना
അർജിനൈൻ,आर्जिनिन
വരണ്ട പ്രദേശം,शुष्क प्रदेश
അരിസ്റ്റോളോസിയേസി,अरिस्टोलोचियासी
ആയുധ ഭക്ഷണം,आर्म फीडिंग
സൈനികമുറി,आर्मी किडे
യുരോഗി,एआरआयडी
സൗരഭം,सुगंध
അറസ്റ്റർ,अरेस्टर
ആർടെമിസിയ,आर्टेमिसिया
ധമനികന്ത്രി,धमनी सिस्टोलिक
ആർട്ടീസിറോട്ടിക്,आर्टेरिओस्क्लेरोटिक
ആർത്രോപോഡ്,आर्थ्रोपॉड
സന്ധിവാതം,संधिवात
ആരോപോഡ,आर्थ्रोपोडा
ആർട്ടിക്കിൾ തരുണാസ്ഥി,आर्टिक्युलर कूर्चा
കൂട്ടിച്ചേര്ക്കുക,अभिव्यक्ती
ആവിഷ്കരിച്ചു,स्पष्ट
