Odiya,Malayalam
ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |,അസാധാരണമായ പ്രതിരോധം
ab-om,ab-om
"ଅଗ୍ରାଧିକାର, ବିଫଳତା |","മുൻതൂക്കം, പരാജയം"
"ସଂଲଗ୍ନ, ସାଧାରଣତ, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |","ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച"
ବାରମ୍ବାର ଡେଇଁପଡେ |,പലപ്പോഴും ചാടുന്നു
ହାତ *,കൈ*
ହଜିଯାଇଥିବା ପ୍ରତିଫଳନ |,പ്രതിഫലനം നഷ്ടപ്പെട്ടു
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,സ്പെക്ട്രം കാണുന്നില്ല
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
ସଂପୂର୍ଣ୍ଣ ତ୍ୱରଣ,സമ്പൂർണ്ണ ത്വരണം
ସଂପୂର୍ଣ୍ଣ ବାସ୍ତବତା |,കേവല യാഥാർത്ഥ്യം
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,സമ്പൂർണ്ണ വിലാസം
ଜିଓ-ଆପେକ୍ଷିକ ଉଚ୍ଚତା |,ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ
ଭ ge ଗୋଳିକ ଉଚ୍ଚତା |,ഭൂമിശാസ്ത്രപരമായ ഉയരം
ସଂପୂର୍ଣ୍ଣ ଆମ୍ପେର୍ |,കേവല ആമ്പിയർ
ସଂପୂର୍ଣ୍ଣ ଫୁଟିବା ବିନ୍ଦୁ |,സമ്പൂർണ്ണ തിളനില
ସଂପୂର୍ଣ୍ଣ ଉଜ୍ଜ୍ୱଳତା |,കേവല പ്രകാശം
ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା,കേവല കപ്പാസിറ്റൻസ്
ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |,കേവല ഉയരം
ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |,കേവല പിഗ്മെന്റ്
"ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |","സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ"
ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |,കേവല കൂലം
ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |,പൂർണ്ണമായ ഇരുട്ട്
ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ,സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്
ସଂପୂର୍ଣ୍ଣ ଘନତା *,കേവല സാന്ദ്രത*
ସଂପୂର୍ଣ୍ଣ ଜଳ ନିଷ୍କାସନ |,സമ്പൂർണ്ണ ഡ്രെയിനേജ്
ସଂପୂର୍ଣ୍ଣ EMU | (ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଏକକ),സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്)
ସଂପୂର୍ଣ୍ଣ ESU | (ଷ୍ଟାଟିକ୍ ୟୁନିଟ୍),സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്)
ସଂପୂର୍ଣ୍ଣ ଦକ୍ଷତା |,സമ്പൂർണ്ണ കാര്യക്ഷമത
ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋମିଟର |,കേവല ഇലക്ട്രോമീറ്റർ
ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି |,കേവല ആവൃത്തി കേവല ആവൃത്തി
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,കേവല ഈർപ്പം
ସଂପୂର୍ଣ୍ଣ ଘଟଣା,കേവല സംഭവങ്ങൾ
ସଂପୂର୍ଣ୍ଣ ପ୍ରତୀକାତ୍ମକ ସୂଚକାଙ୍କ |,കേവല അപവർത്തന സൂചിക
ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |,സമ്പൂർണ്ണ അസ്ഥിരത
ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |,സമ്പൂർണ്ണ അസ്ഥിരത
"ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା, ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା |","കേവല തീവ്രത, കേവല തീവ്രത"
ଆଥେନିଆର ସଂପୂର୍ଣ୍ଣ ସୀମା |,അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി
ସଂପୂର୍ଣ୍ଣ ଆଲୋକୀକରଣ ସିଲ୍ |,കേവല പ്രകാശം സിൽ
ସଂପୂର୍ଣ୍ଣ ଆଲୋକ ବକ୍ର,കേവല പ്രകാശ വക്രം
ସଂପୂର୍ଣ୍ଣ ପରିମାଣ,കേവലമായ അളവ്
ସଂପୂର୍ଣ୍ଣ ବାରୋମିଟର |,കേവല ബാരോമീറ്റർ
ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ,പരമോന്നത പരമോന്നത
ସଂପୂର୍ଣ୍ଣ ଚରମ,സമ്പൂർണ്ണ പരിധി
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,ഏറ്റവും താഴ്ന്നത്
ସଂପୂର୍ଣ୍ଣ ଗତି,കേവല ആക്കം
ସଂପୂର୍ଣ୍ଣ ଗତି,കേവല വേഗത
ସଂପୂର୍ଣ୍ଣ ସଂଗୀତ |,കേവല സംഗീതം
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,സമ്പൂർണ നിരീക്ഷണം
ସଂପୂର୍ଣ୍ଣ ଓହମ୍ |,കേവല ഓം
ସଂପୂର୍ଣ୍ଣ ଆଭିମୁଖ୍ୟ,കേവല ഓറിയന്റേഷൻ
ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋନେଗେଟିଭିଟି |,കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി
ସଂପୂର୍ଣ୍ଣ ମାଧ୍ୟାକର୍ଷଣ |,കേവല ഗുരുത്വാകർഷണം
ସଂପୂର୍ଣ୍ଣ ଚାପ |,കേവല മർദ്ദം
ସଂପୂର୍ଣ୍ଣ ସମ୍ପତ୍ତି |,സമ്പൂർണ്ണ സ്വത്ത്
ସଂପୂର୍ଣ୍ଣ ସ୍କାଲାର୍ |,കേവല സ്കെയിലർ
ତାପମାତ୍ରାର ଚରମ ମାପ *,താപനിലയുടെ കേവല സ്കെയിൽ*
"ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି, ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି |","കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം"
ସଂପୂର୍ଣ୍ଣ ଚାପ |,സമ്പൂർണ്ണ സമ്മർദ്ദം
ସଂପୂର୍ଣ୍ଣ ସମୃଦ୍ଧତା |,കേവല സമമിതി
ସଂପୂର୍ଣ୍ଣ ଗତି ଶରୀର |,കേവല ചലന ശരീരം
ସଂପୂର୍ଣ୍ଣ ୟୁନିଟ୍ ସିଷ୍ଟମ୍ |,കേവല യൂണിറ്റ് സിസ്റ്റം
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,കേവല താപനില
ସଂପୂର୍ଣ୍ଣ ସମୟ |,കേവല സമയം
ସଂପୂର୍ଣ୍ଣ ଏକକ |,കേവല യൂണിറ്റുകൾ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,യഥാർത്ഥ മൂല്യം
ପୂର୍ଣ୍ଣ କାଲକୁଲେଟର,പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ
ସଂପୂର୍ଣ୍ଣ ବେଗ,കേവല വേഗത
ସଂପୂର୍ଣ୍ଣ ସାନ୍ଦ୍ରତା |,കേവല വിസ്കോസിറ്റി
ସଂପୂର୍ଣ୍ଣ ଓଜନ |,കേവല ഭാരം
ସଂପୂର୍ଣ୍ଣ ଶୂନ *,കേവല പൂജ്യം*
ଶୂନ୍ୟର ସଂପୂର୍ଣ୍ଣ ବିଭାଜନକାରୀ |,പൂജ്യത്തിന്റെ കേവല വിഭജനം
ଶୋଷଣ,ആഗിരണം ചെയ്യുക
ଅବସାଦ ସୂଚକାଙ୍କ *,ആഗിരണ സൂചിക*
ଶୋଷିତ ଶକ୍ତି,ആഗിരണം ചെയ്ത ഊർജ്ജം
"ଶୋଷକ, ଶୋଷକ","ആഗിരണം, ആഗിരണം"
ଅବଶୋଷକ ମାଧ୍ୟମ *,ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*
ଅବଶୋଷଣ କ୍ଷମତା |,ആഗിരണം ശേഷി
ଅବସାଦ |,ആഗിരണം
ଶୋଷଣକାରୀ *,അബ്സോർപ്റ്റിയോമീറ്റർ*
ଶୋଷଣକାରୀ *,അബ്സോർപ്റ്റിയോമെട്രി*
ଅବଶୋଷଣ,ആഗിരണം
ଅବଶୋଷଣ - ବ୍ୟାଣ୍ଡ *,ആഗിരണം - ബാൻഡ്*
ଅବଶୋଷଣ ସର୍କିଟ |,ആഗിരണം സർക്യൂട്ട്
ଶୋଷଣ ଗୁଣବତ୍ତା,ആഗിരണം ഗുണകം
ଅବଶୋଷଣ ସ୍ତମ୍ଭ,ആഗിരണം കോളം
ଅବଶୋଷଣ ସ୍ଥିର |,ആഗിരണ സ്ഥിരത
ଅବଶୋଷଣ କ୍ରମାଗତ |,ആഗിരണ തുടർച്ച
ଅବଶୋଷଣ ଜୋନ୍ |,ആഗിരണം മേഖല
ଅବଶୋଷଣ କରେଣ୍ଟ |,ആഗിരണം കറന്റ്
ଅବଶୋଷଣ ବକ୍ର *,ആഗിരണം വക്രം*
ଅବଶୋଷଣ ଭଙ୍ଗା |,ആഗിരണം ഒടിവ്
ଅବଶୋଷଣ କୋର୍ |,ആഗിരണം കോർ
ଅବଶୋଷଣ କାରକ |,ആഗിരണം ഘടകം
ଅବଶୋଷଣ ଫିଲ୍ଟର୍ |,ആഗിരണം ഫിൽട്ടർ
ଅବଶୋଷଣ ଫ୍ଲେମ୍ ଫୋଟୋମେଟ୍ରି *,അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*
ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |,ആഗിരണം ഹൈഗ്രോമീറ്റർ
ଅବଶୋଷଣ ପ୍ରଦର୍ଶକ |,ആഗിരണ ഘാതം
ଶୋଷଣ ମାର୍ଜିନ,ആഗിരണം നാമമാത്രമാണ്
ଅବଶୋଷଣ ରେଖା |,ആഗിരണം ലൈൻ
ଅବଶୋଷଣ କ୍ଷତି |,ആഗിരണം നഷ്ടം
ଅବଶୋଷଣ ମଡ୍ୟୁଲେସନ୍ |,ആഗിരണം മോഡുലേഷൻ
ହାଲୁକା ଅବଶୋଷଣ |,പ്രകാശം ആഗിരണം
ବିକିରଣ ଶକ୍ତିର ଅବଶୋଷଣ |,റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം
ଅବଶୋଷଣ ଶିଖର |,ആഗിരണം കൊടുമുടി
ଅବଶୋଷଣ ଫୋଟୋମେଟ୍ରି |,ആഗിരണം ഫോട്ടോമെട്രി
ଅବଶୋଷଣ ଅନୁପାତ |,ആഗിരണം അനുപാതം
ଅବଶୋଷଣ ପରିସର *,ആഗിരണം പരിധി*
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ ଫୋଟୋମେଟ୍ରି *,ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ *,ആഗിരണം സ്പെക്ട്രം*
"ଅବଶୋଷଣ ଟ୍ୟୁବ୍, ଅବଶୋଷଣ ଟ୍ୟୁବ୍ |","ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്"
ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |,ആഗിരണം ഹൈഗ്രോമീറ്റർ
ଶୋଷଣକାରୀ *,ആഗിരണം ചെയ്യാവുന്ന*
ଶୋଷକ ବାଷ୍ପୀକରଣକାରୀ |,ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം
ଅବଶୋଷଣ ନିୟମ *,ആഗിരണം നിയമം*
ଅବଶୋଷଣ ମାଧ୍ୟମ |,ആഗിരണം മീഡിയം
"ଅବଶୋଷଣ କ୍ଷମତା, ଅବଶୋଷଣ *","ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*"
ଅବସାଦ *,ആഗിരണം*
ଷ୍ଟୁଡିଓ ସାଜସଜ୍ଜା |,സ്റ്റുഡിയോ അലങ്കാരം
ବହୁଗୁଣ ଅନୁପାତ |,ഗുണിത അനുപാതം
abvolt,അബോൾട്ട്
ବିଷୟରେ,കുറിച്ച്
ତ୍ୱରାନ୍ୱିତ କର |,ത്വരിതപ്പെടുത്തുക
ତ୍ୱରଣ-ସ୍ଥଗିତ ଦୂରତା |,ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം
ଶୀଘ୍ର ଶୀଘ୍ର,തിടുക്കപ്പെട്ടു
ଶୀଘ୍ର ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା |,ദ്രുത സമയ ഫല പരിശോധന
ଶୀଘ୍ର ପ୍ରବାହ,പെട്ടെന്നുള്ള ഒഴുക്ക്
ଦ୍ରୁତ ଗତି,പെട്ടെന്നുള്ള വേഗത
ଶୀଘ୍ର ଶରୀର,പെട്ടെന്നുള്ള ശരീരം
ତ୍ୱରଣକାରୀ ଓଜନ,ആക്സിലറേറ്റർ തൂക്കം
ତ୍ୱରକ ଇଲେକ୍ଟ୍ରୋଡ୍ *,ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*
ତ୍ୱରକ ସମୟ *,ആക്സിലറേറ്റർ സമയം*
ତ୍ୱରକ ପର୍ଯ୍ୟାୟ |,ആക്സിലറേറ്റർ ഘട്ടം
ତ୍ୱରଣକାରୀ ହାର,ആക്സിലറേറ്റർ നിരക്ക്
ତ୍ୱରକ ଭୋଲଟେଜ୍ *,ആക്സിലറേറ്റർ വോൾട്ടേജ്*
ତ୍ୱରଣ,ത്വരണം
ତ୍ୱରିତ ଜାଳେଣି |,ത്വരിതപ്പെടുത്തിയ ജ്വലനം
ତ୍ୱରଣ ଗୁଣବତ୍ତା,ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്
ତ୍ୱରଣ ଉପାଦାନ,ത്വരണം ഘടകം
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
ତ୍ୱରଣ କାରକ,ത്വരണം ഘടകം
ତ୍ୱରିତ ଚାର୍ଜ |,ത്വരിതപ്പെടുത്തിയ ചാർജ്
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,ഗുരുത്വാകർഷണ ത്വരണം
ତ୍ୱରଣ ସମ୍ଭାବନା |,ത്വരണം സാധ്യത
ତ୍ୱରଣ ନିୟମ,ത്വരിതപ്പെടുത്തൽ നിയമം
ତ୍ୱରଣ ପ୍ରକ୍ରିୟା,ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ
ତ୍ୱରଣ କ୍ଷେତ୍ର,ആക്സിലറേഷൻ സോൺ
ତ୍ୱରଣ ପଦ୍ଧତି,ത്വരിതപ്പെടുത്തൽ രീതി
"ତ୍ୱରଣ ସହନଶୀଳତା, ତ୍ୱରଣ ସହନଶୀଳତା |","ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്"
ତ୍ୱରଣ ଭେକ୍ଟର,ആക്സിലറേഷൻ വെക്റ്റർ
ତ୍ୱରଣ-ଭୋଲଟେଜ୍,ത്വരണം-വോൾട്ടേജ്
ତ୍ୱରଣ ତରଙ୍ଗ,ത്വരണം തരംഗം
ତ୍ୱରକ,ആക്സിലറേറ്റർ
"ତ୍ୱରାନ୍ୱିତ, ତ୍ୱରକ *","ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*"
ତ୍ୱରକ ସମୀକରଣ |,ആക്സിലറേറ്റർ സമവാക്യം
ତ୍ୱରକ *,ആക്സിലറേറ്റർ*
ଆକ୍ସିଲେରୋମିଟର,ആക്സിലറോമീറ്റർ
ଆକ୍ସିଲେରୋମିଟର ମେଳ |,ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ
ସମ୍ମାନ,പ്രിസ്ട്രെസർ
ବ valid ଧ ବର୍ଣ୍ଣଗୁଡିକ |,സാധുവായ പ്രതീകങ്ങൾ
ଗ୍ରହଣ କୋଣ,സ്വീകാര്യത കോൺ
ଗ୍ରହଣ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |,സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,സ്വീകാര്യമായ പരിശോധന
"ଗ୍ରହଣକାରୀ *, ଗ୍ରହଣକାରୀ","സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ"
ରିସେପ୍ଟର ପରମାଣୁ |,റിസപ്റ്റർ ആറ്റം
ରିସେପ୍ଟର ବଣ୍ଡ |,റിസപ്റ്റർ ബോണ്ട്
ରିସିଭର୍ ସର୍କିଟ୍ |,റിസീവർ സർക്യൂട്ട്
ରିସେପ୍ଟର ସ୍ତର,റിസപ്റ്റർ ലെവൽ
ଦାତା ଅଣୁ,ദാതാവിന്റെ തന്മാത്ര
ରିସେପ୍ଟର ସମ୍ପତ୍ତି |,റിസപ്റ്റർ പ്രോപ്പർട്ടി
ରିସେପ୍ଟର ସମ୍ପତ୍ତି ସ୍ତର |,റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ
ତ୍ୱରକ ହୋସ୍ |,ആക്സിലറേറ്റർ ഹോസ്
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ପ୍ରବେଶ","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം"
ଭୁଜ୍ ପ୍ରବେଶ କରନ୍ତୁ |,ഭുജിലേക്ക് പ്രവേശിക്കുക
ଆକ୍ସେସ୍ ସିଷ୍ଟମ୍ |,ആക്സസ് സിസ്റ്റം
ପ୍ରବେଶ ସମୟ,പ്രവേശന സമയം
ଅଭିଗମ୍ୟତା,പ്രവേശനക്ഷമത
"ଅତିରିକ୍ତ, ସହାୟକ, ଆନୁଷଙ୍ଗିକ (v, ), ଆନୁଷଙ୍ଗିକ |","അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ"
ଅତିରିକ୍ତ ପ୍ରତିବନ୍ଧକ |,അധിക നിയന്ത്രണങ്ങൾ
ସୁଯୋଗ ସମକକ୍ଷ |,യാദൃശ്ചികം
ଆକସ୍ମିକ ସଂଶୋଧନ |,ആകസ്മികമായ തിരുത്തൽ
ଆକସ୍ମିକ ବାୟୋଜେନେସିସ୍ |,ആകസ്മികമായ ബയോജനസിസ്
ଆକସ୍ମିକ ବିଭ୍ରାଟ |,ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ
ପରିଦର୍ଶକ ତ୍ରୁଟି |,സന്ദർശക പിശക്
"ହଠାତ୍ ବନ୍ଦ, ଆକସ୍ମିକ ବନ୍ଦ |","പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക"
ଆକସ୍ମିକ ସଂକ୍ରମଣ,ആകസ്മികമായ കൈമാറ്റം
ଅନିୟମିତ ଭିନ୍ନତା |,ക്രമരഹിതമായ വ്യതിയാനം
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,ക്രമീകരിക്കൽ
ସ୍ଥିତ,സ്ഥാനം പിടിച്ചു
ସଂଗୃହିତ ତ୍ରୁଟି |,സഞ്ചിത പിശക്
"ଜମା, ଜମା","ശേഖരണം, ശേഖരണം"
ଶକ୍ତି ସଂରକ୍ଷଣ,ഊർജ്ജ സംഭരണം
ଜମାକାରୀ *,ശേഖരണം*
ସଠିକତା,കൃത്യത
ବାସ୍ତବତା,റിയാലിറ്റി
ପ୍ରକୃତ ଯନ୍ତ୍ରର ପର୍ଯ୍ୟବେକ୍ଷଣ |,യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം
ସଠିକ୍ ପରିସର ମାର୍କର |,കൃത്യമായ റേഞ്ച് മാർക്കർ
ସଠିକତା ସ୍କାନିଂ |,കൃത്യമായ സ്കാനിംഗ്
ଅଭ୍ୟାସ କର |,പ്രാക്ടീസ്
ତ୍ୱରକ କକ୍ଷ *,ആക്സിലറേറ്റർ സെൽ*
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *,അക്രോമാറ്റിക് ലെൻസ്*
ଆକ୍ରୋମାଟିକ୍ *,അക്രോമാറ്റിക്*
ଆକ୍ରୋମାଟିକ୍ ଆନାଲିଜର୍ |,അക്രോമാറ്റിക് അനലൈസർ
ଫ୍ରିକ୍ୱେନ୍ସି ନିରପେକ୍ଷ ଆଣ୍ଟେନା |,ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന
ଆକ୍ରୋମାଟିକ୍ ଆକୃତି |,അക്രോമാറ്റിക് ആകൃതി
ଆକ୍ରୋମାଟିକ୍ ଫ୍ରିଙ୍ଗ୍ |,അക്രോമാറ്റിക് തൊങ്ങൽ
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *,അക്രോമാറ്റിക് ലെൻസ്*
ଆକ୍ରୋମାଟିକ୍ ପଏଣ୍ଟ ପଥ |,അക്രോമാറ്റിക് പോയിന്റ് പാത
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,അക്രോമാറ്റിക് ലെൻസ്
ଆକ୍ରୋମାଟିକ୍ ପ୍ରିଜିମ୍ |,അക്രോമാറ്റിക് പ്രിസം
ଆକ୍ରୋମାଟିକ୍ ଟେଲିସ୍କୋପ୍ |,അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്
ଆକ୍ରୋମାଟିଟି *,അക്രോമാറ്റിറ്റി*
ଆକ୍ରୋମାଟାଇଜେସନ୍ *,അക്രോമാറ്റിസേഷൻ*
ଆକ୍ରୋମାଟିଟି *,അക്രോമാറ്റിറ്റി*
"ଇଲାଷ୍ଟିକ୍, ଅପ୍ରାକୃତିକ, ଚିତ୍ତାକର୍ଷକ |","ഇലാസ്റ്റിക്, അൺഫ്രാക്റ്ററി, റിഫ്രാക്ടറി"
"ଆକୋରନ୍ ହୋସ୍, ବାଞ୍ଜୁ ହୋସ୍ |","അക്രോൺ ഹോസ്, ബഞ്ചു ഹോസ്"
କ୍ଷୁଦ୍ର ଭଲଭ୍ |,മിനിയേച്ചർ വാൽവ്
ଇକୋଫୋନି |,എക്കോഫോണി
ଶବ୍ଦ,അക്കോസ്റ്റിക്
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,അക്കോസ്റ്റിക് ആഗിരണം
ଆକାଶବାଣୀ ଆଟେଣ୍ଡେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,അക്കോസ്റ്റിക് അറ്റൻവേഷൻ കോഫിഫിഷ്യന്റ്
ଆକାଶବାଣୀ,അക്കോസ്റ്റിക് അറ്റൻവേഷൻ
ଶବ୍ଦ ଚୋର ଆଲାର୍ମ |,അക്കോസ്റ്റിക് കള്ളൻ അലാറം
ଆକାଶବାଣୀ କ୍ଷମତା |,അക്കോസ്റ്റിക് കപ്പാസിറ്റൻസ്
ଶ୍ରବଣ କେନ୍ଦ୍ର,ശ്രവണ കേന്ദ്രം
ଆକାଶବାଣୀ ବ୍ୟାଖ୍ୟା,അക്കോസ്റ്റിക് വിശദീകരണം
ଶବ୍ଦ କଭର |,അക്കോസ്റ്റിക് കവർ
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,ശബ്ദ പ്രതികരണം
ଆକାଶବାଣୀ ଉପାଦାନ |,അക്കോസ്റ്റിക് ഘടകം
