Malayalam,English
എയർ ശ്വസനം,Air-breathing
അനെയ്ൻ,Alain
അലറി പേശി,Alary muscle
അലാസ്കൻ ബ്ര rown ൺ ബിയർ,Alaskan brown bear
ആൽബിനോ,Albino
ആൽബൂഗോ,Albugo
ആൽബമിൻ,Albumin
ആൽബ്യൂമിനസ് വിത്ത്,Albuminous seed
അൽബുമിനൂറിയ,Albuminuria
ആൽബനം,Alburnum
അൽകെഡെ,Alcedae
Aldeheeede,Aldehyede
ആൽഡോസ്റ്റെറോൺ സിസ്റ്റം,Aldosterone system
ആൽഡോസ്റ്റെറോൺ,Aldosterone
അലോറോൺ ലെയർ,Aleurone layer
അലൂറോപ്ലാസ്റ്റ്,Aleuroplast
പയറുവർഗ്ഗങ്ങൾ,Alfalfa
ആൽഗൽ പൂവ്,Algal bloom
അൾഗിൻ,Algin
അന്യഗ്രഹ ഡിഎൻഎ,Alien DNA
അന്യഗ്രഹ ജീവികൾ,Alien species
വിന്യാപകമായ,Alignment
വിന്യാപകമായ,Alignment
അലിമെന്ററി കനാൽ,Alimentary canal
അലിമെന്ററി സിസ്റ്റം,Alimentary system
അലിയാസം,Alismaceace
ആൽക്കലോയിഡ്,Alkaloid
ആൽക്കലൈൻ,Alkaline
ആൽക്കപ്റ്റോറിയ,Alkaptonuria
Allantois,Allantois
അല്ലെൽ ഫ്രീക്വൻസി,Allele frequency
അല്ലലേ,Allele
അല്ലോമോർഫിക് ജോഡി,Allelomorphic pair
അലർജി,Allergen
ചീങ്കണ്ണി,Alligator
അല്ലിയം സിപ,Allium cepa
അലോഗാമി,Allogamy
അല്ലുഫ്രാഫ്റ്റ്,Allograft
അലോപ്പേട്രിക് സ്പെസിഫിക്കേഷൻ,Allopatric speciation
Allopolyplogid,Allopolyploid
എല്ലാസ്റ്റീസ്റ്റ് ഇഫക്റ്റ്,Allosteric effect
Allonteric enzyme,Allosteric enzyme
ഓസ്റ്റോസ്റ്റർ ഇൻഹിബിറ്റർ,Allosteric inhibitor
എല്ലാസ്റ്റീസ്റ്റ് മോഡുലേഷൻ,Allosteric modulation
ഓസ്റ്റോസ്റ്റർ സൈറ്റ്,Allosteric site
ആസ്റ്റോസ്റ്റ് ഗർബിംഗ്,Allosteric inhibition
അലോട്ട്ട്രലോയിഡ്,Allotetraploid
അൽനസ്,Alnus
കറ്റാർ,Aloe
ആക്സോണിനൊപ്പം,Along the axon
ആൽഫ-ആന്റിട്രിറ്റിപ്സ്,Alpha-antitrypsin
ആൽഫ-ലാക്റ്റൽബുമിൻ,Alpha-lactalbumin
ആൽപൈൻ കാലാവസ്ഥാ അവസ്ഥ,Alpine climate condition
ആൽപൈൻ മെഡോ,Alpine meadow
ആൽപൈൻ സോൺ,Alpine zone
ആൽസ്റ്റോണിയ,Alstonia
ആദരജോ,Alternaria
ഏകാന്തരക്രമത്തിൽ,Alternate
തലമുറയുടെ മാറിമാറ്റം,Alternation of generation
ഉറ്റമകരമായ രോഗം,Altitude sickness
ഉയരം,Altitude
അൽവിയോളാർ നാളം,Alveolar duct
അലിറ്റ്സ്,Alytes
അല്ഷിമേഴ്സ് രോഗം,Alzheimer's disease
അമാക്രീൻ സെൽ,Amacrine cell
അമറാന്തം,Amaranthaceae
അമരന്തസ്,Amaranthus
ആംബിയന്റ് ഓസ്മോട്ടിക് സാന്ദ്രത,Ambient osmotic concentration
ആംബിസ്റ്റോമ,Ambystoma
അറുമണ്ടിന്,Amide
അമിനോ അമ്ലം,Amino acid
അമിനോ ആസിഡ് സ്വീകാര്യത,Amino acid acceptor
അമിനോസിഎൽ ടി ആർഎ സിന്തസെസ്,Aminoacyl t RNA synthetase
അമിപോസിലേഷൻ,Aminoacylation
അമിറ്റോസിസ്,Amitosis
ക്ഷാരവായു,Ammonia
അമ്മോണിഫിക്കേഷൻ,Ammonification
അമോമോട്ടലിസം,Ammonotelism
അമ്നിയോസെന്റസിസ്,Amniocentesis
Amniocentess സാങ്കേതികത,Amniocentesis technique
Amniocyte,Amniocyte
Amnion,Amnion
അമ്നിയോട്ടിക് ദ്രാവകം,Amniotic fluid
അമ്നിയോട്ടിക് മെംബ്രൺ,Amniotic membrane
അമ്നിയോട്ടിക് സഞ്ചി,Amniotic sac
അമീബ,Amoeba
Amoebocyte,Amoebocyte
Amoeboid,Amoeboid
Amoeboid lymphocyte,Amoeboid lymphocyte
അമോബോഡ് ചലനം,Amoeboid movement
അക്കോറോഫസ്,Amorphous
സംഖ,Amount
ആംഫെറ്റാമൈൻ,Amphetamine
ആംഫിബിയ,Amphibia
ആംഫിബിയൻ,Amphibian
ആംഫിബിയൻ,Amphibian
Amphioxus,Amphioxus
ആംഫിയോക്സസ് ലാൻനോലാറ്റസ്,Amphioxus lanceolatus
ഉംഫിപതിക്,Amphipathic
ആംഫിപതിക് ലിപിഡ്,Amphipathic lipid
ആംഫിസാർക്ക,Amphisarca
ആമ്പസില്ലിൻ,Ampicillin
അമ്പള്ളു,Ampulla
മുള്ളറി ഗ്രന്ഥി,Ampullary gland
ആമിഗ്ഡാൽ,Amygdal
ആമിഗ്ഡേൽ,Amygdale
ആമിഗ്ഡാലിൻ,Amygdalin
അമിലേസ്,Amylase
അമിലോപ്ലാസ്റ്റ്,Amyloplast
അനാബെന,Anabaena
അനബാസ്,Anabas
അനാബോളിക് പാത,Anabolic pathways
അനാബോളിസം,Anabolism
അനകാർഡിയേസി,Anacardiaceae
വിളമിയ,Anaemia
അയ്റോബ്,Anaerobe
അനാറോബിക് ഇന്ധനം,Anaerobic fuel
അനാറോബിക് ശ്വസനം,Anaerobic respiration
അനാറോബിക് സ്ലഡ്ജ് ഡൈജസ്റ്റർ,Anaerobic sludge digester
Anaerobic,Anaerobic
അനൈമ,Anaima
മലദ്വാരം,Anal
മലദ്വാരം,Anal
മലദ്വാരം,Anal aperture
അനൽ സെറി,Anal cerci
അനൽ ലൂപ്പ്,Anal loop
അനൽ ശൈലി,Anal style
അനസ്),Analogous
അനസ്),Analogous
അനലോഗി,Analogy
അനലോഗി,Analogy
വിശകലനം,Analysis
അനാഫേസ്,Anaphase
Anatomic തടസ്സം,Anatomic barrier
ശരീരഘടന,Anatomical aspect
അനാട്ടമിസ്റ്റ്,Anatomist
ശരീരശാസ്തം,Anatomy
പൂർവ്വികൻ പിൻഗാമിയായ ശ്രേണി,Ancestor descendant sequence
പൂർവ്വിക വംശജർ,Ancestral lineage
പൂർവ്വാവസ്ഥ,Ancestral sequence
ആൻസിലോസ്റ്റമ,Ancylostoma
ആൻഡ്രോസിയം,Androecium
ആൻഡ്രോജൻ,Androgen
വിളമിയ,Anemia
അനെമോൺ,Anemone
Aneuplogode,Aneuploid
അനിയുപ്ലോയിഡി,Aneuploidy
ആഞ്ചിന,Angina
ആൻജിയോഗ്രാം,Angiogram
ആഗിരിഗ്രാഫ്,Angiograph
ആജീദർ,Angiography
ആൻജിയോപ്ലാസ്റ്റി,Angioplasty
അൻജിയോസ്പെർം,Angiosperm
ആൻജിയോടെൻസിൻ,Angiotensin
ആൻജിയോടെൻസിനോജെൻ,Angiotensinogen
ആംഗ്ലർ മത്സ്യം,Angler fish
മുതൽക്കുള,Anguina
ഉള്ക്കൊണ്ടിൻ,Anguis
ജന്തു,Animal
ജന്തു,Animal
മൃഗം ചാണകം,Animal dung
മൃഗസംരക്ഷണം,Animal husbandry
അനിമൽ കരിയട്ടിപ്പിംഗ്,Animal karyotyping
ജന്തു ലോകം,Animal kingdom
മൃഗങ്ങളുടെ ടിഷ്യു,Animal tissue
അദ്ധ്യാപകൻ,Animalia
അനിയോൺ,Anion
അനിസോട്രോപിക് ബാൻഡ്,Anisotropic band
അനെലിലിംഗ്,Annealing
Anenelid,Annelid
അന്നലിഡ,Annelida
വാർഷിക മോതിരം,Annual ring
റദ്ദാക്കിയത്,Annulated
ചെറുമാനം,Annule
അപാകത തരം,Anomalous type
അനോഫെൽസ്,Anopheles
ഉറുമ്പുതീനി,Ant eater
വിരുദ്ധ,Antagonistic
അന്റാർട്ടിക്ക്,Antarctic
ഏരിയെല്,Antenna
ആന്റിന കോംപ്ലക്സ്,Antenna complex
ആന്റിനൽ ഗ്രന്ഥി,Antennal gland
ആന്റീരിയർ (വെൻട്രൽ) ഗ്രേ ഹോൺ,Anterior (ventral) gray horn
ആന്റീരി ഹൈപ്പോഫിസിസ്,Anterior hypophysis
മുൻകാല ഇടവേള സൾക്കസ്,Anterior interventricular sulcus
അഥേർ,Anther
ആന്തർ സംസ്കാരം,Anther culture
അങ്കാദിയം,Antheridium
Antresood,Antherozoid
ആന്തസംഘങ്ങൾ,Anthoceros
ആന്തസൂറോടോപ്സിഡ,Anthocerotopsida
ആന്ത്രാക്സ്,Anthrax
ആന്ത്രോപെനിക് വംശനാശം,Anthropogenic extinction
നരവംശശാസ്ത്രം,Anthropology
ആൻറി ബാക്ടീരിയൽ,Antibacterial
ആൻറിബയോട്ടിക് പെനിസിലിൻ,Antibiotic penicillin
ആൻറിബയോട്ടിക് പ്രതിരോധം,Antibiotic resistant
ആൻറിബയോട്ടിക് (കൾ),Antibiotic(s)
ആന്റിബോഡി,Antibody
ആന്റിബോഡി ദമ്പതികൾ,Antibody couple
ആന്റിബോഡി മെറ്റലേറ്റഡ് പ്രതിരോധശേഷി,Antibody mediated immunity
Anicoagululant,Anticoagulant
ആന്റികോഡൻ ലൂപ്പ്,Anticodon loop
ആന്റീഡിപ്രസന്റ്,Antidepressant
ആന്റിഡിയുററ്റിക് ഹോർമോൺ (ADH),Antidiuretic hormone (ADH)
ആന്റിജൻ ജീൻ,Antigen gene
ആന്റിജൻ-ആന്റിബോഡി കോംപ്ലക്സ്,Antigen-antibody complex
ആന്റിഗനിക് ഡിറ്റർമിനന്റ്,Antigenic determinant
ആന്റിനൈറ്റിഷണൽ ഫാക്ടർ,Antinutritional factor
ആന്റിഓക്സിഡന്റ്,Antioxidant
ആന്റിപോഡൽ ന്യൂക്ലിയസ്,Antipodal nucleus
ആന്റി സെൻസ് ആർഎൻഎ,Anti-sense RNA
ആൻറിവിറൽ പ്രോട്ടീൻ,Antiviral protein
ആധാട്,Antrum
Anuclate,Anucleate
ഗുദം,Anus
ഉത്കണ്ഠ രോഗം,Anxiety disorder
അയോർട്ടിക് കമാനം,Aortic arch
അയോർട്ടിക് ഗാംഗ്ലിയൻ,Aortic ganglion
അയോർട്ടിക് സെമിലുനാർ വാൽവ്,Aortic semilunar valve
അയോർട്ടിക് വാൽവ്,Aortic valve
APC (Anaphas പ്രോത്സാഹിപ്പിക്കുന്നത്),APC (anaphase promoting complex)
അപ്പോയിലൈക്ക് പൂർവ്വം,Apelike ancestor
ആഫിഡ്,Aphid
അഫ്രോഡൈറ്റ്,Aphrodite
അഗ്ര ആധിപത്യം,Apical dominance
അപ്ലിക്കേഷൻ പാഡ്,Apical pad
അവലി,Apiculture
Apis ഇൻഡിക്ക,Apis indica
എപ്ലാനോസ്പോര്,Aplanospore
അപ്ളീസിയ,Aplysia
അപ്പോക്കാർപേ,Apocarpae
അപ്പോക്കറസ്,Apocarpous
അപ്പോക്കർബസ് അണ്ഡാശയം,Apocarpous ovary
അപ്പോക്രൈൻ ഗ്രന്ഥി,Apocrine gland
അപെൻസൈം,Apoenzyme
ശാന്തമായ,Apomict
അപ്പോമിക്സിസ്,Apomixis
UpoPlasm,Apoplasm
Apopleastic വഴി,Apoplastic pathway
അപ്പോപ്ടോസിസ്,Apoptosis
ഉപകരണങ്ങള്,Apparatus
കൂട്ടിച്ചേർത്ത അസ്ഥികൂടം,Appendicular skeleton
കീകത്തിന്റെ അനുബന്ധം,Appendix of the caecum
ആപ്പിൾ ഒച്ചുകൾ,Apple snail
അക്വാകൾച്ചർ,Aquaculture
അക്വാപ്പീര,Aquaporin
ജലവിഷയക്കാരൻ,Aquatic amphibian
ജലരീതി,Aquatic form
ജല ആവാസവ്യവസ്ഥ,Aquatic habitat
ജലജീവിങ്ങള്,Aquatic organism
ജലസ്വചന്തി,Aquatic plant
ജലവിശ്വാസം,Aquatic respiration
ജല ദ്രാവകം,Aqueous fluid
ജലീയ ഉന്മൂലനം,Aqueous humur
ജലീയ ഇൻട്രാ സെല്ലുലാർ ദ്രാവകം,Aqueous intra-cellular fluid
ജലീയ സാമ്പിള്,Aqueous sample
ജലീയ പരിഹാരം,Aqueous solution
അക്വില,Aquila
അറബിഡോപ്സിസ്,Arabidopsis
അരാക്നിഡ,Arachnida
അരാക്നോയിഡ്,Arachnoid
അരാനിയസ്,Araneus
അർബസവാളികമായ,Arborescent
അർബറോസന്റ് ലൈക്കോപോഡ്,Arborescent lycopod
ആർക്കീഫായ,Archaebacteria
ആൾജിഗോണിയം,Archegonium
ദീപസമൂഹം,Archipelago
ആർട്ടിക്,Arctic
ആർട്ടിക് ടെർൺ,Arctic tern
ആർട്ടിക് തുണ്ട്ര,Arctic tundra
Ardea,Ardea
ഇറോളാർ ടിഷ്യു,Areolar tissue
ആർഗ്മോൺ (പ്രിക്ലി പോപ്പി),Argemone (prickly poppy)
ആർഗ്മോൺ മെക്സിക്കന,Argemone mexicana
അർജിനൈൻ,Arginine
വരണ്ട പ്രദേശം,Arid region
അരിസ്റ്റോളോസിയേസി,Aristolochiaceae
ആയുധ ഭക്ഷണം,Arm feeding
സൈനികമുറി,Armyworm
യുരോഗി,Aroid
സൗരഭം,Aroma
അറസ്റ്റർ,Arrester
ആർടെമിസിയ,Artemisia
ധമനികന്ത്രി,Arterial systolic
ആർട്ടീസിറോട്ടിക്,Arteriosclerotic
ആർത്രോപോഡ്,Arthropod
സന്ധിവാതം,Arthritis
ആരോപോഡ,Arthropoda
ആർട്ടിക്കിൾ തരുണാസ്ഥി,Articular cartilage
കൂട്ടിച്ചേര്ക്കുക,Articulate
ആവിഷ്കരിച്ചു,Articulated
കൃത്രിമ പേസ്മേക്കർ,Artificial pacemaker
കൃത്രിമ തിരഞ്ഞെടുപ്പ്,Artificial selection
ആർട്ടോകാർപസ് ഹെട്രോഫില്ലസ്,Artocarpus heterophyllus
ആസ്ബറ്റോസ് ഫൈബർ,Asbestos fibre
ആസ്ബ്ടോസിസ്,Asbestosis
അസ്കാറിസ്,Ascaris
ആരോഹണ ക്രോമാറ്റോഗ്രഫി,Ascending chromatography
അസ്സിഡിയ,Ascidia
അസ്സിഡിയൻ,Ascidian
അസ്കോർപ്പ്,Ascocarp
അസ്കോംസൈക്കേറ്റുകൾ,Ascomycetes
അസ്കോർബിക് ആസിഡ്,Ascorbic acid
അസ്കോസ്പോർ,Ascospore
അസ്കസ്,Ascus
സൗപ്രചകമായ,Aseptate
അസംസ്കൃത പുനരുൽപാദനം,Asexual reproduction
അസുഖമായ തടസ്സം,Asexual spore
ശതാവരി സിന്തലേസ്,Asparagine synthetase
ശതാവരിച്ചെടി,Asparagus
അസ്പാർട്ടിക് ആസിഡ്,Aspartic acid
അസ്പെർജില്ലസ് നൈഗർ,Aspergillus niger
ആസ്പർജില്ലസ്,Aspergillus
അസ്കോടെലസ് ടെനോയിഫോളിയസ്,Asphodelus tenuifolius
ആസ്പിരിൻ,Aspirin
അസേ,Assay
ഒത്തുചേരൽ,Assemblage
അനുമാനിക്കൽ കാര്യക്ഷമത,Assimilation efficiency
ഉപദ്രവകരമായ റൂട്ട്,Assimilatory root
സഹായ പ്രത്യുത്പാദന സാങ്കേതികത,Assisted reproductive technique
അസോസിയേഷൻ ഏരിയ,Association area
അസോസിയേറ്റീവ് സിംബയോസിസ്,Associative symbiosis
ശേഖരവും വീണ്ടും സംയോജനവും,Assortment and recombination
ഫാക്ടറിന്റെ ശേഖരം,Assortment of factor
Astacus,Astacus
ആദർശകം,Asteraceae
ആസ്റ്ററൽസ്,Asterales
ഛിന്നഗ്രഹം,Asteroid
ആത്സ്മ,Asthma
എന്റർഗലസ് ഗംമിഫർ,Astragalus gummifer
ജ്യോതിരൽ സ്പിൻഡിൽ പോൾ,Astral spindle pole
ജ്യോതിശാസ്ത്രക്കാരൻ,Astronomer
അസമമായ കാരിയോടൈപ്പ്,Asymmetric karyotype
അസമമായ,Asymmetrical
ഒരു ഹതുതയസ്,Atheromatous
രക്തപ്രവാഹത്തിന്,Atherosclerosis
പീരസ്കിറ്റിക് പ്ലക്,Atherosclerotic plaque
ഭൂപടപുസ്കം,Atlas
അറ്റ്ലസ് കശേരു,Atlas vertebra
അന്തരീക്ഷം,Atmosphere
അന്തരീക്ഷ,Atmospheric
അന്തരീക്ഷ ഇൻപുട്ടുകൾ,Atmospheric inputs
ആറ്റോമിക് ഫോഴ്സ് മൈക്രോസ്കോപ്പ്,Atomic force microscope
പരമാണു,Atom
Atp ase,ATP ase
Atrial സങ്കോചം,Atrial contraction
ആട്രിയൽ ഫൈബ്രിലേഷൻ,Atrial fibrillation
ആട്രിയൽ നറ്റിയുററ്റിക് ഘടകം (ANF),Atrial natriuretic factor (ANF)
ആട്രിയൽ നോഡ്,Atrial node
ആട്രാലയം സിസ്റ്റോൾ,Atrial systole
ആട്രിയോവെൻട്രിക്കുലാർ നോഡ്,Atrioventricular node
ആട്രിയോവെൻട്രിക്കുലാർ വാൽവ്,Atrioventricular valve
ആട്രിയം (പവേള),Atrium (peatria)
ആട്രിയം (പവേള),Atrium (peatria)
അട്രോപ ബെല്ലഡോണ,Atropa belladonna
അട്രോഫി,Atrophy
ആട്രോപിൻ ആൽക്കലോയിഡ്,Atropine alkaloid
അറ്റാച്ചുമെന്റ് പ്ലേറ്റ്,Attachment plate
ഓഡിറ്ററി കോർട്ടെക്സ്,Auditory cortex
ഓലോസിറ,Aulosira
റൂറിക്കിൾ (അണ്സിക്ല),Auricle (auricula)
റൂറിക്കിൾ (അണ്സിക്ല),Auricle (auricula)
റൂറിക്കിൾ (അണ്സിക്ല),Auricle (auricula)
റൂറിക്കിൾ (അണ്സിക്ല),Auricle (auricula)
ഓസ്ട്രേലിയനിവൈനുകൾ,Australopithecines
അംഗരക്ഷക,Autecology
യാന്ത്രിക ഡിഎൻഎ സീക്വൻസർ,Automated DNA sequencer
ഓട്ടോപോളിപ്ലോയിഡ്,Autopolyploid
ഓട്ടോനാലിസർ,Autoanalyser
ഓട്ടോഗാമി,Autogamy
ഓട്ടോഗാമി,Autogamy
ഓട്ടോഗ്രാഫ്റ്റ്,Autograft
സ്വയം രോഗപ്രതിരോധ രോഗം,Autoimmune disease
ഓട്ടോമൊബൈൽ എക്സ്ഹോസ്റ്റ്,Automobile exhaust
ഓട്ടോണമിക് (അനിയന്ത്രിതമായ) നാഡീവ്യൂഹം,Autonomic (involuntary) nervous system
ഓട്ടോഫാഗിക് ലിസോസോം,Autophagic lysosome
ഓട്ടോപ്ലോയിഡ്,Autoploid
ഓട്ടോപോഡിയം,Autopodium
ഓട്ടോപോളിപ്ലോയിഡ്,Autopolyploid
ഓട്ടോസോമൽ ക്രോമറോം,Autosomal chromorome
ഓട്ടോസോമൽ ജീൻ,Autosomal gene
ഓട്ടോസോം,Autosome
ഓട്ടോടെട്രലോയിഡ്,Autotetraploid
ഓട്ടോടോമി,Autotomy
സ്വയമേവയുള്ള ഇനം,Autotriploid variety
ഓട്ടോട്രോഫ്,Autotroph
ശരത്കാല മരം,Autumn wood
ഓഗാനോഗ്രാഫ്,Auxanograph
ആസൂത്,Auxanometer
അസിസെറ്റിക് വളർച്ച,Auxetic growth
