English,Assamese
binomial random variable,দ্বিপদ ৰেণ্ডম চলক
binomial theorem,দ্বিপদ উপপাদ্য
bisection,দ্বিখণ্ড
bisection method,দ্বিখণ্ডন পদ্ধতি
bisector,দ্বিখণ্ড
biserial,biserial
bit,বিট
bivariate binomial distribution,দ্বিচলকীয় দ্বিপদ বিতৰণ
bivariate correlation coefficient,দ্বিচলকীয় সম্পৰ্ক সহগ
bivariate distribution,দ্বিচলকীয় বিতৰণ
bivariate normal distribution,দ্বিচলকীয় স্বাভাৱিক বিতৰণ
bivector,বাইভেক্টৰ
Boltzmann equation,বোল্টজমেন সমীকৰণ
Boolean algebra,বুলিয়ান বীজগণিত
Bose - Einstein statistics,Bose - আইনষ্টাইন পৰিসংখ্যা
boundary condition,সীমাৰ অৱস্থা
boundary layer,সীমা স্তৰ
boundary line,সীমাৰেখা
boundary value,সীমা মূল্য
boundary value problem,সীমা মূল্যৰ সমস্যা
bounded function,সীমাবদ্ধ ফলন
bounded matrix,সীমাবদ্ধ মেট্ৰিক্স
bounded region,সীমাবদ্ধ অঞ্চল
bounded set,সীমাবদ্ধ ছেট
Brownian motion,ব্ৰাউনিয়ান গতি
calculate,গণনা কৰ
calculating,গণনা কৰা
calculating machine,গণনা কৰা মেচিন
calculation,গণনা কৰা
calculational procedure,গণনামূলক পদ্ধতি
calculator,কেলকুলেটৰ
calculus,কেলকুলাছ
calculus of variation,তাৰতম্যৰ কেলকুলাছ
calorie,কেলৰি
cancellation law,বাতিল আইন
canonical equation,কেননিক সমীকৰণ
canonical form,কেননিক ৰূপ
canonical matrix,কেননিক মেট্ৰিক্স
Cantor set,কেন্টৰ ছেট
Cantor's ternary set,কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট
capacitated transportation problem,ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা
capacity,ক্ষমতা
capillary force,কেপিলাৰী বল
cardinal number,কাৰ্ডিনেল নম্বৰ
Cartesian axes,কাৰ্টেছিয়ান অক্ষ
Cartesian coordinates,কাৰ্টেছিয়ান স্থানাংক
Cartesian product,কাৰ্টেছিয়ান উৎপাদন
Cartesian product of sets,গোটৰ কাৰ্টেছিয়ান উৎপাদক
case study,কেছ ষ্টডি
catastrophic fluctuation,বিপৰ্যয়জনক উঠা-নমা
Catenary,কেটেনাৰী
Cauchy distribution,কাউচি বিতৰণ
Cauchy formula,কাউচি সূত্ৰ
Cauchy Goursat theorem,কৌচি গৌৰছাট উপপাদ্য
Cauchy Riemann conditions,কাউচি ৰিমেন চৰ্ত
Cauchy sequence,ক&#39;চি ক্ৰম
Cauchy integral,কৌচি অবিচ্ছেদ্য
Cauchy principal value,কাউচি প্ৰধান মূল্য
Cauchy residue theorem,ক’চি অৱশিষ্ট উপপাদ্য
Cayley Hamilton theorem,কেলি হেমিল্টন উপপাদ্য
celestial body,আকাশী দেহ
celestial measurement,আকাশী জোখ
celestial mechanics,আকাশী যান্ত্ৰিকতা
celestial object,আকাশী বস্তু
cell frequency,কোষ কম্পাঙ্ক
census,লোকপিয়ল
centile,চেন্টাইল
centimeter,চেন্টিমিটাৰ
centimeter gram second system,চেণ্টিমিটাৰ গ্ৰাম দ্বিতীয় ব্যৱস্থা
central,কেন্দ্ৰীয়
central axis,কেন্দ্ৰীয় অক্ষ
central difference,কেন্দ্ৰীয় পাৰ্থক্য
central difference formula,কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ
central difference table,কেন্দ্ৰীয় পাৰ্থক্য টেবুল
central limit theorem,কেন্দ্ৰীয় সীমা উপপাদ্য
central moment,কেন্দ্ৰীয় মুহূৰ্ত
central processing unit (C.P.U),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
central tendency,কেন্দ্ৰীয় প্ৰৱণতা
centre,কেন্দ্ৰ
centre of gravity,মাধ্যাকৰ্ষণ কেন্দ্ৰ
centre of group,গোটৰ কেন্দ্ৰ
centre of mass,ভৰৰ কেন্দ্ৰ
centre of symmetry,প্ৰতিসমতাৰ কেন্দ্ৰ
centrifugal force,কেন্দ্ৰপৃথক বল
centripetal force,কেন্দ্ৰিক বল
centroid,কেন্দ্ৰবিন্দু
certainty,নিশ্চয়তা
c.g.s. system,cgs ব্যৱস্থা
c.g.s. unit,cgs ইউনিট
chain rule of differentiation,পাৰ্থক্যৰ শৃংখল নিয়ম
chance causes,আকস্মিক কাৰণ
chance moves,chance moves
change of axes,অক্ষৰ পৰিৱৰ্তন
change of basis,ভিত্তিৰ পৰিৱৰ্তন
change of order,ক্ৰম সলনি কৰা
characteristic coefficient,বৈশিষ্ট্য সহগ
determinant,নিৰ্ণায়ক
characteristic equation,বৈশিষ্ট্যপূৰ্ণ সমীকৰণ
characteristic function,বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য
characteristic of logarithm,লগাৰিদমৰ বৈশিষ্ট্য
characteristic polynomial,বৈশিষ্ট্যপূৰ্ণ বহুপদ
characteristic value,বৈশিষ্ট্যপূৰ্ণ মূল্য
characteristic vector,বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ
character set,আখৰৰ গোট
chart,তালিকা
chi-square distribution,কাই-স্কেয়াৰ বিতৰণ
chi-square formula,কাই-বৰ্গ সূত্ৰ
chi-square test,কাই-স্কেয়াৰ পৰীক্ষা
chord,কৰ্ড
chord-bisection method,কৰ্ড-বাইছেকচন পদ্ধতি
cipher message (=coded message),চাইফাৰ বাৰ্তা (=ক&#39;ড কৰা বাৰ্তা)
cipher (zero),চাইফাৰ (শূন্য)
circle,বৃত্ত
circle of convergence,অভিসৰণৰ বৃত্ত
circuit matrix,বৰ্তনী মেট্ৰিক্স
circular,বৃত্তাকাৰ
circular asymptote,বৃত্তাকাৰ এছিম্পটট
circular helix,বৃত্তাকাৰ হেলিক্স
circular motion,বৃত্তাকাৰ গতি
circumcentre,circumcentre
circumcircle,circumcircle কৰা হৈছে
circumscribe,circumscribe কৰক
circumscribed,পৰিসীমাবদ্ধ
circumscribed circle,circumscribed বৃত্ত
classical deductive technique,ধ্ৰুপদী ডিডক্টিভ কৌশল
classical dynamics,ধ্ৰুপদী গতিশীলতা
classical optimization,ধ্ৰুপদী অনুকূলন
classical ruin problem,ধ্ৰুপদী ধ্বংস সমস্যা
classical statistical mechanics,ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান
classification of errors,ভুলৰ শ্ৰেণীবিভাজন
class interval,শ্ৰেণীৰ ব্যৱধান
class-interval unit,শ্ৰেণী-ব্যৱধান একক
class limit,শ্ৰেণী সীমা
clockwise,ঘড়ীৰ কাঁটাৰ দিশত
clopen (= closed and open),clopen (= বন্ধ আৰু খোলা)
closed,বন্ধ কৰা হৈছে
closed convex hull,বন্ধ উত্তল ঢাল
closed cube,বন্ধ ঘনক
closed curve,বন্ধ বক্ৰ
closed domain,বন্ধ ডমেইন
closed figure,বন্ধ চিত্ৰ
closed interval,বন্ধ ব্যৱধান
closed region,বন্ধ অঞ্চল
closed set,বন্ধ চেট
closed surface,বন্ধ পৃষ্ঠ
closure,বন্ধ কৰা
closure operator,বন্ধ অপাৰেটৰ
closure point (= contact point),বন্ধ বিন্দু (= সংস্পৰ্শ বিন্দু)
closure postulate,বন্ধ কৰাৰ প্ৰস্তাৱনা
closure set,বন্ধ কৰা ছেট
cluster point,ক্লাষ্টাৰ পইণ্ট
cluster sampling,ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা
cluster set,ক্লাষ্টাৰ ছেট
coaxial circles,সমাক্ষীয় বৃত্ত
coaxial parabolas,সমাক্ষীয় পেৰাবোলা
coaxial planes,সমাক্ষীয় সমতল
coaxial triangles,সমাক্ষীয় ত্ৰিভুজ
Cobb - Douglas function,কব - ডগলাস ফাংশন
coding,ক&#39;ডিং
coding of data,তথ্যৰ ক&#39;ডিং
co-domain,সহ-ডমেইন
coefficient matrix,সহগ মেট্ৰিক্স
coefficient of correlation,সম্পৰ্কৰ সহগ
coefficient of determination,নিৰ্ণয়ৰ সহগ
coefficient of elasticity,স্থিতিস্থাপকতাৰ সহগ
coefficient of expansion,প্ৰসাৰণৰ সহগ
coefficient of friction,ঘৰ্ষণৰ সহগ
coefficient of linear expansion,ৰৈখিক প্ৰসাৰণৰ সহগ
coefficient of regression,ৰিগ্ৰেছনৰ সহগ
coefficient of surface tension,পৃষ্ঠীয় টানৰ সহগ
coefficient of variation,তাৰতম্যৰ সহগ
cofactor,কোফেক্টৰ
coin throw (coin toss),coin throw (মুদ্ৰা টছ)
collection of sample,নমুনা সংগ্ৰহ কৰা
collinear,collinear
collinearity,collinearity
column,স্তম্ভ
column equivalence,স্তম্ভ সমতুল্যতা
column equivalent,স্তম্ভ সমতুল্য
column equivalent matrix,স্তম্ভ সমতুল্য মেট্ৰিক্স
column matrix,স্তম্ভ মেট্ৰিক্স
column rank,স্তম্ভ ৰেংক
column reduced echolon matrix,স্তম্ভ হ্ৰাস কৰা ইকলন মেট্ৰিক্স
column vector,স্তম্ভ ভেক্টৰ
columnwise,স্তম্ভ অনুসৰি
combined equation,সংযুক্ত সমীকৰণ
common angle,সাধাৰণ কোণ
common axis,সাধাৰণ অক্ষ
common base,সাধাৰণ ভিত্তি
common denominator,সাধাৰণ হৰ
common difference,সাধাৰণ পাৰ্থক্য
common factor,সাধাৰণ কাৰক
common logarithm,সাধাৰণ লগাৰিদম
common multiple,সাধাৰণ বহুগুণ
common ratio,সাধাৰণ অনুপাত
common section,সাধাৰণ অংশ
common side,সাধাৰণ দিশ
common tangent,সাধাৰণ স্পৰ্শক
common term,সাধাৰণ শব্দ
commutative law,কমিউটেটিভ ল&#39;
commutative property,পৰিৱৰ্তনশীল বৈশিষ্ট্য
commutative rule,কমিউটেটিভ নিয়ম
commutative law of addition,যোগৰ পৰিৱৰ্তনশীল নিয়ম
commutative law of multiplication,গুণনৰ পৰিৱৰ্তনশীল নিয়ম
commutative operation,কমিউটেটিভ অপাৰেচন
commutator group,কমিউটেটৰ গোট
commuting of matrices,মেট্ৰিক্সৰ অহা-যোৱা কৰা
compact set,কম্পেক্ট চেট
comparability,তুলনামূলকতা
comparision of means,মাধ্যমৰ তুলনা
comparision of percentage,শতাংশৰ তুলনা
comparision test,তুলনামূলক পৰীক্ষা
compatibility equation,সামঞ্জস্যতা সমীকৰণ
competitive game,প্ৰতিযোগিতামূলক খেল
competitive situation,প্ৰতিযোগিতামূলক পৰিস্থিতি
competitive strategy,প্ৰতিযোগিতামূলক কৌশল
compiler,কম্পাইলাৰ
complementary,পৰিপূৰক
complementary angle,পৰিপূৰক কোণ
complementary event पूरक घटना,পৰিপূৰক ঘটনা
complementary factor,পৰিপূৰক কাৰক
complementary function,পৰিপূৰক কাৰ্য্য
complementary half space,পৰিপূৰক আধা স্থান
complementary interval,পৰিপূৰক ব্যৱধান
complementary set,পৰিপূৰক গোট
complementation,পৰিপূৰকতা
complement of a set,এটা গোটৰ পৰিপূৰক
complete census,সম্পূৰ্ণ লোকপিয়ল
complete correlation matrix,সম্পূৰ্ণ সম্পৰ্কীয় মেট্ৰিক্স
complete metric space,সম্পূৰ্ণ মেট্ৰিক স্থান
complete orthonormal set,সম্পূৰ্ণ অৰ্থনৰ্মেল ছেট
complete quadrangle,সম্পূৰ্ণ চতুৰ্ভুজ
complete quotient,সম্পূৰ্ণ ভাগফল
complete set,সম্পূৰ্ণ ছেট
complete solution,সম্পূৰ্ণ সমাধান
completely randomised design,সম্পূৰ্ণৰূপে ৰেণ্ডম ডিজাইন
complex argument,জটিল যুক্তি
complex conjugate,জটিল সংযুক্ত
complex differentiation,জটিল পাৰ্থক্য
complex function,জটিল ফলন
complex integration,জটিল সংহতি
complex matrices,জটিল মেট্ৰিক্স
complex number,জটিল সংখ্যা
complex number field,জটিল সংখ্যাৰ ক্ষেত্ৰ
complex orthogonal matrix,জটিল অৰ্থগনেল মেট্ৰিক্স
complex plane,জটিল সমতল
complex quantity,জটিল পৰিমাণ
complex reciprocal,জটিল পাৰস্পৰিক
complex resultant,জটিল ফলাফল
complex space,জটিল স্থান
complex valued function,জটিল মূল্যৱান ফলন
complex variable,জটিল চলক
componendo and divindendo,কম্পোনেণ্ডো আৰু ডিভিণ্ডেণ্ডো
component,উপাদান
component analysis,উপাদান বিশ্লেষণ
component of variance,ভ্যাৰিয়েন্সৰ উপাদান
component of vector,ভেক্টৰৰ উপাদান
composite function,কম্পোজিট ফাংচন
composite hypothesis,সংমিশ্ৰিত অনুমান
composite number,সংমিশ্ৰিত সংখ্যা
composite series,সংমিশ্ৰিত শৃংখলা
composition of vectors,ভেক্টৰৰ গঠন
compound angle,যৌগিক কোণ
compound division,যৌগিক বিভাজন
compound fraction,যৌগিক ভগ্নাংশ
compound interest,চক্ৰান্ত সুত
compound probability,যৌগিক সম্ভাৱনা
compressible flow,সংকোচনযোগ্য প্ৰবাহ
compression,সংকোচন
computation,গণনা
computational formula,গণনামূলক সূত্ৰ
computed value,গণনা কৰা মান
computer,কম্পিউটাৰ
computer algorithm,কম্পিউটাৰ এলগৰিদম
computer programme,কম্পিউটাৰ প্ৰগ্ৰেম
computer programming,কম্পিউটাৰ প্ৰগ্ৰেমিং
computer simulation,কম্পিউটাৰ চিমুলেচন
computing,কম্পিউটিং
concave function,অৱতল ফলন
concave polygon,অৱতল বহুভুজ
concave programming,অৱতল প্ৰগ্ৰেমিং
concentric circles,সমকেন্দ্ৰিক বৃত্ত
concentric curves,সমকেন্দ্ৰিক বক্ৰ
concrete form,কংক্ৰিটৰ ৰূপ
concurrency of lines,ৰেখাৰ সমকালীনতা
concurrent,সমকালীন
concurrent forces,সমকালীন বল
conditional density function,চৰ্তসাপেক্ষ ঘনত্ব ফলন
conditional distribution,চৰ্তসাপেক্ষ বিতৰণ
conditional expectation,চৰ্তসাপেক্ষ প্ৰত্যাশা
conditional mean,চৰ্তসাপেক্ষ গড়
conditional probability,চৰ্তসাপেক্ষ সম্ভাৱনা
condition of collinearity,ৰৈখিকতাৰ অৱস্থা
condition of consistency,সামঞ্জস্যৰ অৱস্থা
condition of integrability,সংহতিযোগ্যতাৰ অৱস্থা
condition of tangency,স্পৰ্শকাতৰ অৱস্থা
cone,শঙ্কু
confidence interval,আত্মবিশ্বাসৰ ব্যৱধান
confidence interval estimate,আস্থাৰ ব্যৱধানৰ অনুমান
confidence limits,আত্মবিশ্বাসৰ সীমা
confidence region,আত্মবিশ্বাস অঞ্চল
conflict situation,সংঘাতৰ পৰিস্থিতি
confocal conics,কনফ&#39;কেল কনিক্স
confocal ellipses,কনফ&#39;কেল উপবৃত্তাকাৰ
confocal geometry,কনফ&#39;কেল জ্যামিতি
confocal hyperbolae,কনফ&#39;কেল হাইপাৰব&#39;লা
confocal hyperboloids,কনফ&#39;কেল হাইপাৰব&#39;ল&#39;ইড
confocal parabola,কনফ&#39;কেল পেৰাব&#39;লা
confocal paraboloidal cordinates,কনফ&#39;কেল পেৰাব&#39;ল&#39;ইডাল কৰ্ডিনেট
conformal,কনফৰ্মেল
conformal mapping,কনফৰ্মেল মেপিং
congruence,সমন্বয়
congruence of circles,বৃত্তৰ সমন্বয়
congruent,সমন্বিত
congruent matrices,সমন্বিত মেট্ৰিক্স
conic,কনিক
conical frustum,শংকু আকৃতিৰ ফ্ৰষ্টাম
conical helix,শংকু আকৃতিৰ হেলিক্স
conical section,শংকু আকৃতিৰ অংশ
conics,কনিক্স
conic section,শংকুযুক্ত অংশ
conjugate,সংযুক্ত
conjugate angles,সংযুক্ত কোণ
conjugate axis,সংযুক্ত অক্ষ
conjugate complex numbers,সংযুক্ত জটিল সংখ্যা
conjugate directions,সংযোজিত দিশ
conjugate functions,সংযুক্ত ফলন
conjugate of matrix,মেট্ৰিক্সৰ সংযুক্ত
conjugate permutation,কনজুগেট পাৰ্মিউটেচন
