English,Marathi
arc sine transformation,चाप साइन परिवर्तन
area,क्षेत्र
areal texture,क्षेत्रीय पोत
argument of complex number,जटिल संख्येचा युक्तिवाद
arithmetic mean,अंकगणित सरासरी
arithmetic operation,अंकगणित ऑपरेशन
arithmetic unit,अंकगणित एकक
arrangement,व्यवस्था
array,रचना
artificial satellite,कृत्रिम उपग्रह
artificial variable,कृत्रिम व्हेरिएबल
ascend,चढणे
ascending,चढत्या
ascending order of magnitude,परिमाणाचा चढता क्रम
ascending series,चढत्या मालिका
assembler language,असेंबलर भाषा
assignment problem,असाइनमेंट समस्या
associative law,सहयोगी कायदा
associative law of operators,ऑपरेटर्सचा सहयोगी कायदा
associative operation,सहयोगी ऑपरेशन
associativity,सहवास
assumed mean,सरासरी गृहीत धरले
assumed probability distribution,गृहीत संभाव्यता वितरण
assumption,गृहीतक
astrology,ज्योतिष
astronautical engineer,अंतराळवीर अभियंता
astronomer,खगोलशास्त्रज्ञ
astronomical clock,खगोलशास्त्रीय घड्याळ
astronomy,खगोलशास्त्र
asymmetrical curve,असममित वक्र
asymmetry,विषमता
asymptote,लक्षणे
asymptotic,लक्षणे नसलेला
asymptotically efficient estimator,असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता
asymptotically unbiased estimator,asymptotically निष्पक्ष अंदाजकर्ता
asymptotic behavior,लक्षणे नसलेले वर्तन
asymptotic distribution function,एसिम्प्टोटिक वितरण कार्य
asymptotic expansion,एसिम्प्टोटिक विस्तार
atmospheric pressure,वातावरणाचा दाब
at random,यादृच्छिकपणे
attribute,विशेषता
attributes sampling procedure,गुणधर्म नमुना प्रक्रिया
augmented matrix,संवर्धित मॅट्रिक्स
autocorrelation coefficient,स्वयंसंबंध गुणांक
autocorrelation function,स्वयंसंबंध कार्य
autocovariance,autocovariance
automatic computer,स्वयंचलित संगणक
autoregression,ऑटोरिग्रेशन
auxiliary equation,सहाय्यक समीकरण
average sample number curve (A.S.N. Curve),सरासरी नमुना क्रमांक वक्र (ASN वक्र)
axiom,स्वयंसिद्ध
axiomatic approach,स्वयंसिद्ध दृष्टीकोन
axiom of probability,संभाव्यतेचे स्वयंसिद्ध
axis,अक्ष
axis of abscissa,abscissa चा अक्ष
axis of earth,पृथ्वीचा अक्ष
axis of revolution,क्रांतीची अक्ष
axis of rotation,रोटेशनचा अक्ष
axis of spin,फिरकीचा अक्ष
back-substitution,परत प्रतिस्थापन
backward difference,मागास फरक
backward-interpolation formula,बॅकवर्ड-इंटरपोलेशन सूत्र
balance,शिल्लक
balanced design,संतुलित डिझाइन
balance sheet,ताळेबंद
ballistic missile,बॅलिस्टिक क्षेपणास्त्र
ballistics,बॅलिस्टिक्स
bar,बार
base,पाया
base angle,बेस कोन
base of logarithm,लॉगरिदमचा आधार
basic,मूलभूत
basic feasible solution,मूलभूत व्यवहार्य उपाय
basic solution,मूलभूत उपाय
basic variable,मूलभूत चल
basis,आधार
basis element,आधार घटक
basis matrix,आधार मॅट्रिक्स
basis of a vector space,वेक्टर स्पेसचा आधार
basis of subspace,सबस्पेसचा आधार
Bayesian estimate,बायसियन अंदाज
Bayes' law,बायसचा कायदा
Bayes' theorem,बायसचे प्रमेय
Bernoulli distribution,बर्नौली वितरण
Bernoulli number,बर्नौली क्रमांक
Bernoulli probability function,बर्नौली संभाव्यता कार्य
Bernoulli's equation,बर्नौलीचे समीकरण
Berry function,बेरी फंक्शन
best fit,सर्वोत्तम फिट
best - fit line,सर्वोत्तम - फिट लाइन
best solution,सर्वोत्तम उपाय
best strategies,सर्वोत्तम धोरणे
beta distribution,बीटा वितरण
bias,पक्षपात
biased estimate,पक्षपाती अंदाज
biharmonic equation,बिहारमोनिक समीकरण
bijection,द्विभाजन
bijective map,द्विभाषिक नकाशा
bijective mapping,द्विजात्मक मॅपिंग
bilinear form,द्विरेखीय फॉर्म
bilinear function,द्विरेखीय कार्य
bilinear Hermitian form,द्विरेखीय हर्मिटियन फॉर्म
binary,बायनरी
binary code,बायनरी कोड
binary coded decimal,बायनरी कोडेड दशांश
binary coding,बायनरी कोडिंग
binary computer,बायनरी संगणक
binary digit,बायनरी अंक
binary operation,बायनरी ऑपरेशन
binary system,बायनरी प्रणाली
binary variable,बायनरी व्हेरिएबल
binomial coefficient,द्विपदी गुणांक
binomial distribution,द्विपदी वितरण
binomial equation,द्विपद समीकरण
binomial expansion,द्विपदी विस्तार
binomial expression,द्विपदी अभिव्यक्ती
binomial random variable,द्विपदी यादृच्छिक चल
binomial theorem,द्विपद प्रमेय
bisection,दुभाजक
bisection method,दुभाजक पद्धत
bisector,दुभाजक
biserial,द्विसेरियल
bit,बिट
bivariate binomial distribution,द्विपदी द्विपद वितरण
bivariate correlation coefficient,द्विवैरिएट सहसंबंध गुणांक
bivariate distribution,द्विभिन्न वितरण
bivariate normal distribution,द्विवैरिएट सामान्य वितरण
bivector,bivector
Boltzmann equation,बोल्ट्झमन समीकरण
Boolean algebra,बुलियन बीजगणित
Bose - Einstein statistics,बोस - आईन्स्टाईन आकडेवारी
boundary condition,सीमा स्थिती
boundary layer,सीमा स्तर
boundary line,सीमारेषा
boundary value,सीमा मूल्य
boundary value problem,सीमा मूल्य समस्या
bounded function,बंधनकारक कार्य
bounded matrix,सीमाबद्ध मॅट्रिक्स
bounded region,सीमाबद्ध प्रदेश
bounded set,बांधलेला संच
Brownian motion,ब्राउनियन गती
calculate,गणना करा
calculating,गणना करत आहे
calculating machine,गणना मशीन
calculation,गणना
calculational procedure,गणना प्रक्रिया
calculator,कॅल्क्युलेटर
calculus,कॅल्क्युलस
calculus of variation,भिन्नतेची गणना
calorie,कॅलरी
cancellation law,रद्द करण्याचा कायदा
canonical equation,प्रामाणिक समीकरण
canonical form,प्रामाणिक स्वरूप
canonical matrix,कॅनोनिकल मॅट्रिक्स
Cantor set,कॅंटर सेट
Cantor's ternary set,कॅंटरचा तिरंगी संच
capacitated transportation problem,सक्षम वाहतूक समस्या
capacity,क्षमता
capillary force,केशिका शक्ती
cardinal number,मुख्य क्रमांक
Cartesian axes,कार्टेशियन अक्ष
Cartesian coordinates,कार्टेशियन समन्वय
Cartesian product,कार्टेशियन उत्पादन
Cartesian product of sets,संचांचे कार्टेशियन उत्पादन
case study,केस स्टडी
catastrophic fluctuation,आपत्तीजनक चढउतार
Catenary,कॅटेनरी
Cauchy distribution,कॉची वितरण
Cauchy formula,कॉची सूत्र
Cauchy Goursat theorem,कैची गौरसाट प्रमेय
Cauchy Riemann conditions,Cauchy Riemann अटी
Cauchy sequence,कॉची क्रम
Cauchy integral,कैची अभिन्न
Cauchy principal value,कॉची मुख्य मूल्य
Cauchy residue theorem,कॉची अवशेष प्रमेय
Cayley Hamilton theorem,केली हॅमिल्टन प्रमेय
celestial body,आकाशीय शरीर
celestial measurement,आकाशीय मापन
celestial mechanics,खगोलीय यांत्रिकी
celestial object,खगोलीय वस्तू
cell frequency,सेल वारंवारता
census,जनगणना
centile,सेंटाइल
centimeter,सेंटीमीटर
centimeter gram second system,सेंटीमीटर ग्रॅम दुसरी प्रणाली
central,मध्यवर्ती
central axis,मध्य अक्ष
central difference,मध्यवर्ती फरक
central difference formula,केंद्रीय फरक सूत्र
central difference table,मध्यवर्ती फरक सारणी
central limit theorem,केंद्रीय मर्यादा प्रमेय
central moment,मध्यवर्ती क्षण
central processing unit (C.P.U),सेंट्रल प्रोसेसिंग युनिट (CPU)
central tendency,केंद्रीय प्रवृत्ती
centre,केंद्र
centre of gravity,गुरुत्वाकर्षण केंद्र
centre of group,गटाचे केंद्र
centre of mass,वस्तुमानाचे केंद्र
centre of symmetry,सममितीचे केंद्र
centrifugal force,केंद्रापसारक शक्ती
centripetal force,केंद्राभिमुख शक्ती
centroid,मध्यवर्ती
certainty,निश्चितता
c.g.s. system,cgs प्रणाली
c.g.s. unit,cgs युनिट
chain rule of differentiation,भिन्नतेचा साखळी नियम
chance causes,संधी कारणे
chance moves,संधीची हालचाल
change of axes,अक्षांचा बदल
change of basis,आधार बदल
change of order,ऑर्डर बदल
characteristic coefficient,वैशिष्ट्यपूर्ण गुणांक
determinant,निर्धारक
characteristic equation,वैशिष्ट्यपूर्ण समीकरण
characteristic function,वैशिष्ट्यपूर्ण कार्य
characteristic of logarithm,लॉगरिथमचे वैशिष्ट्य
characteristic polynomial,वैशिष्ट्यपूर्ण बहुपद
characteristic value,वैशिष्ट्यपूर्ण मूल्य
characteristic vector,वैशिष्ट्यपूर्ण वेक्टर
character set,वर्ण संच
chart,तक्ता
chi-square distribution,ची-स्क्वेअर वितरण
chi-square formula,ची-स्क्वेअर सूत्र
chi-square test,ची-स्क्वेअर चाचणी
chord,जीवा
chord-bisection method,जीवा-द्विभाजन पद्धत
cipher message (=coded message),सायफर संदेश (=कोड केलेला संदेश)
cipher (zero),सिफर (शून्य)
circle,वर्तुळ
circle of convergence,अभिसरण मंडळ
circuit matrix,सर्किट मॅट्रिक्स
circular,परिपत्रक
circular asymptote,वर्तुळाकार लक्षण
circular helix,गोलाकार हेलिक्स
circular motion,गोलाकार हालचाल
circumcentre,परिघ
circumcircle,वर्तुळ
circumscribe,परिक्रमा
circumscribed,घेरलेले
circumscribed circle,परिक्रमा केलेले वर्तुळ
classical deductive technique,शास्त्रीय वजावटी तंत्र
classical dynamics,शास्त्रीय गतिशीलता
classical optimization,शास्त्रीय ऑप्टिमायझेशन
classical ruin problem,शास्त्रीय नाश समस्या
classical statistical mechanics,शास्त्रीय सांख्यिकीय यांत्रिकी
classification of errors,त्रुटींचे वर्गीकरण
class interval,वर्ग मध्यांतर
class-interval unit,वर्ग-मध्यांतर युनिट
class limit,वर्ग मर्यादा
clockwise,घड्याळाच्या दिशेने
clopen (= closed and open),क्लोपेन (= बंद आणि उघडा)
closed,बंद
closed convex hull,बंद बहिर्वक्र हुल
closed cube,बंद घन
closed curve,बंद वक्र
closed domain,बंद डोमेन
closed figure,बंद आकृती
closed interval,बंद अंतराल
closed region,बंद प्रदेश
closed set,बंद संच
closed surface,बंद पृष्ठभाग
closure,बंद
closure operator,बंद ऑपरेटर
closure point (= contact point),बंद बिंदू (= संपर्क बिंदू)
closure postulate,बंद करणे
closure set,बंद सेट
cluster point,क्लस्टर पॉइंट
cluster sampling,क्लस्टर सॅम्पलिंग
cluster set,क्लस्टर सेट
coaxial circles,समाक्षीय मंडळे
coaxial parabolas,कोएक्सियल पॅराबोलास
coaxial planes,समाक्षीय विमाने
coaxial triangles,समाक्षीय त्रिकोण
Cobb - Douglas function,कोब - डग्लस फंक्शन
coding,कोडिंग
coding of data,डेटाचे कोडिंग
co-domain,सह-डोमेन
coefficient matrix,गुणांक मॅट्रिक्स
coefficient of correlation,सहसंबंध गुणांक
coefficient of determination,निर्धाराचे गुणांक
coefficient of elasticity,लवचिकता गुणांक
coefficient of expansion,विस्तार गुणांक
coefficient of friction,घर्षण गुणांक
coefficient of linear expansion,रेखीय विस्ताराचे गुणांक
coefficient of regression,प्रतिगमन गुणांक
coefficient of surface tension,पृष्ठभाग तणावाचे गुणांक
coefficient of variation,भिन्नतेचे गुणांक
cofactor,cofactor
coin throw (coin toss),नाणे फेकणे (नाणे फेकणे)
collection of sample,नमुना संकलन
collinear,समरेख
collinearity,समरेखता
column,स्तंभ
column equivalence,स्तंभ समतुल्यता
column equivalent,स्तंभ समतुल्य
column equivalent matrix,स्तंभ समतुल्य मॅट्रिक्स
column matrix,स्तंभ मॅट्रिक्स
column rank,स्तंभ रँक
column reduced echolon matrix,स्तंभ कमी केलेले इकोलॉन मॅट्रिक्स
column vector,स्तंभ वेक्टर
columnwise,स्तंभानुसार
combined equation,एकत्रित समीकरण
common angle,सामान्य कोन
common axis,सामान्य अक्ष
common base,सामान्य आधार
common denominator,सामान्य भाजक
common difference,सामान्य फरक
common factor,सामान्य घटक
common logarithm,सामान्य लॉगरिथम
common multiple,सामान्य एकाधिक
common ratio,सामान्य प्रमाण
common section,सामान्य विभाग
common side,सामान्य बाजू
common tangent,सामान्य स्पर्शिका
common term,सामान्य संज्ञा
commutative law,बदली कायदा
commutative property,बदली मालमत्ता
commutative rule,बदली नियम
commutative law of addition,जोडणीचा बदली कायदा
commutative law of multiplication,गुणाकाराचा कम्युटेटिव्ह कायदा
commutative operation,बदली ऑपरेशन
commutator group,कम्युटेटर गट
commuting of matrices,मॅट्रिक्सचे प्रवास
compact set,कॉम्पॅक्ट सेट
comparability,तुलना
comparision of means,साधनांची तुलना
comparision of percentage,टक्केवारीची तुलना
comparision test,तुलना चाचणी
compatibility equation,सुसंगतता समीकरण
competitive game,स्पर्धात्मक खेळ
competitive situation,स्पर्धात्मक परिस्थिती
competitive strategy,स्पर्धात्मक धोरण
compiler,संकलक
complementary,पूरक
complementary angle,पूरक कोन
complementary event पूरक घटना,पूरक घटना पूरक घटना
complementary factor,पूरक घटक
complementary function,पूरक कार्य
complementary half space,पूरक अर्धी जागा
complementary interval,पूरक अंतराल
complementary set,पूरक संच
complementation,पूरक
complement of a set,संचाचे पूरक
complete census,पूर्ण जनगणना
complete correlation matrix,पूर्ण सहसंबंध मॅट्रिक्स
complete metric space,पूर्ण मेट्रिक जागा
complete orthonormal set,संपूर्ण ऑर्थोनॉर्मल सेट
complete quadrangle,पूर्ण चतुर्भुज
complete quotient,पूर्ण भागफल
complete set,पूर्ण संच
complete solution,पूर्ण समाधान
completely randomised design,पूर्णपणे यादृच्छिक डिझाइन
complex argument,जटिल युक्तिवाद
complex conjugate,जटिल संयुग्म
complex differentiation,जटिल भिन्नता
complex function,जटिल कार्य
complex integration,जटिल एकीकरण
complex matrices,जटिल मॅट्रिक्स
complex number,जटिल संख्या
complex number field,जटिल संख्या फील्ड
complex orthogonal matrix,जटिल ऑर्थोगोनल मॅट्रिक्स
complex plane,जटिल विमान
complex quantity,जटिल प्रमाण
complex reciprocal,जटिल परस्पर
complex resultant,जटिल परिणाम
complex space,जटिल जागा
complex valued function,जटिल मूल्यवान कार्य
complex variable,जटिल चल
componendo and divindendo,componendo आणि divindendo
component,घटक
component analysis,घटक विश्लेषण
component of variance,भिन्नता घटक
component of vector,वेक्टरचा घटक
composite function,संमिश्र कार्य
composite hypothesis,संमिश्र गृहितक
composite number,संमिश्र संख्या
composite series,संमिश्र मालिका
composition of vectors,वेक्टरची रचना
compound angle,कंपाऊंड कोन
compound division,कंपाऊंड विभागणी
compound fraction,संयुग अपूर्णांक
compound interest,चक्रवाढ व्याज
compound probability,मिश्रित संभाव्यता
compressible flow,संकुचित प्रवाह
compression,संक्षेप
computation,गणना
computational formula,संगणकीय सूत्र
computed value,गणना मूल्य
computer,संगणक
computer algorithm,संगणक अल्गोरिदम
computer programme,संगणक कार्यक्रम
computer programming,संगणक प्रोग्रामिंग
computer simulation,संगणक सिम्युलेशन
computing,संगणन
concave function,अवतल कार्य
concave polygon,अवतल बहुभुज
concave programming,अवतल प्रोग्रामिंग
concentric circles,केंद्रित वर्तुळे
concentric curves,एकाग्र वक्र
concrete form,ठोस फॉर्म
concurrency of lines,ओळींची समरूपता
concurrent,समवर्ती
concurrent forces,समवर्ती शक्ती
conditional density function,सशर्त घनता कार्य
conditional distribution,सशर्त वितरण
conditional expectation,सशर्त अपेक्षा
conditional mean,सशर्त सरासरी
conditional probability,सशर्त संभाव्यता
condition of collinearity,समरूपतेची स्थिती
condition of consistency,सुसंगततेची स्थिती
condition of integrability,अखंडतेची स्थिती
condition of tangency,स्पर्शिक स्थिती
cone,सुळका
confidence interval,आत्मविश्वास मध्यांतर
confidence interval estimate,आत्मविश्वास मध्यांतर अंदाज
confidence limits,आत्मविश्वास मर्यादा
confidence region,आत्मविश्वास क्षेत्र
conflict situation,संघर्ष परिस्थिती
confocal conics,confocal conics
confocal ellipses,confocal ellipses
confocal geometry,कॉन्फोकल भूमिती
confocal hyperbolae,confocal hyperbolae
confocal hyperboloids,confocal hyperboloids
confocal parabola,कॉन्फोकल पॅराबोला
confocal paraboloidal cordinates,confocal paraboloidal coordinates
conformal,सामान्य
conformal mapping,कॉन्फॉर्मल मॅपिंग
congruence,एकरूपता
congruence of circles,वर्तुळांची एकरूपता
congruent,एकरूप
congruent matrices,एकरूप मॅट्रिक्स
conic,कोनिक
conical frustum,शंकूच्या आकाराचे फ्रस्टम
conical helix,शंकूच्या आकाराचे हेलिक्स
conical section,शंकूच्या आकाराचा विभाग
conics,शंकू
conic section,कोनिक विभाग
conjugate,संयुग्मित
conjugate angles,संयुग्मित कोन
conjugate axis,संयुग्मित अक्ष
conjugate complex numbers,संयुग्मित संमिश्र संख्या
conjugate directions,संयुक्त दिशानिर्देश
conjugate functions,संयुग्मित कार्ये
conjugate of matrix,मॅट्रिक्सचे संयुग
conjugate permutation,संयुग्मित क्रमपरिवर्तन
conjugate transpose,संयुग्मित ट्रान्सपोज
conjuction,संयोग
consecutive,सलग
consecutive numbers,सलग संख्या
conservation of energy,ऊर्जा संवर्धन
conservation of mass,वस्तुमान संवर्धन
conservative,पुराणमतवादी
consistency,सुसंगतता
consistency condition,सुसंगतता स्थिती
consistent estimate,सातत्यपूर्ण अंदाज
consistent estimator,सुसंगत अंदाजकर्ता
consistent statistic,सातत्यपूर्ण आकडेवारी
consistent system,सुसंगत प्रणाली
consol,कन्सोल
constant,स्थिर
constant acceleration,सतत प्रवेग
constant function,स्थिर कार्य
constant of gravity,गुरुत्वाकर्षण स्थिर
constant of integration,एकीकरणाची स्थिरता
constant of proportionality,आनुपातिकता स्थिर
constant parameter,स्थिर मापदंड
constant polynomial,स्थिर बहुपदी
constant proportion,स्थिर प्रमाण
constant speed,स्थिर गती
constant term,सतत टर्म
constant velocity,स्थिर वेग
constitutive equation,घटक समीकरण
constraint,मर्यादा
construct,बांधणे
construction,बांधकाम
consumer preference,ग्राहक प्राधान्य
consumption function,उपभोग कार्य
contact angle,संपर्क कोन
contact point,संपर्क बिंदू
contained in,मध्ये समाविष्ट आहे
contingency table,आकस्मिक टेबल
continuum mechanics,सातत्य यांत्रिकी
continued fraction,चालू अपूर्णांक
continued product,सतत उत्पादन
continuity,सातत्य
continuity of function,कार्याची सातत्य
continuity test,सातत्य चाचणी
continuous,सतत
continuous derivative,सतत व्युत्पन्न
continuous distribution,सतत वितरण
continuous from above,वरून सतत
continuous function,सतत कार्य
continuously differentiable,सतत भिन्नता
continuous map,सतत नकाशा
continuous mapping,सतत मॅपिंग
continuous probability density function,सतत संभाव्यता घनता कार्य
continuous probability distribution,सतत संभाव्यता वितरण
continuous random variable,सतत यादृच्छिक चल
continuous sample space,सतत नमुना जागा
continuous variable,सतत चल
continuous wave,सतत लहर
continuum,सातत्य
continuum hypothesis (= continuum axiom),सातत्य गृहीतक (= सातत्य स्वयंसिद्ध)
continuum of real numbers (= set of real numbers),वास्तविक संख्यांची सातत्य (= वास्तविक संख्यांचा संच)
continuum theory,सातत्य सिद्धांत
contour integration,समोच्च एकीकरण
contraction mapping,आकुंचन मॅपिंग
contradiction,विरोधाभास
contravariant,विरोधी
control,नियंत्रण
control chart,नियंत्रण चार्ट
control chart for averages,सरासरीसाठी नियंत्रण चार्ट
control chart for defects,दोष नियंत्रण चार्ट
control chart for ranges,श्रेणींसाठी नियंत्रण चार्ट
control chart for variables,व्हेरिएबल्ससाठी नियंत्रण चार्ट
converge,एकत्र येणे
convergence in mean,मध्यभागी अभिसरण
convergence in mean square,सरासरी चौरस मध्ये अभिसरण
convergence in probability,संभाव्यतेमध्ये अभिसरण
convergence limit,अभिसरण मर्यादा
convergence radius,अभिसरण त्रिज्या
convergence region,अभिसरण प्रदेश
convergent,अभिसरण
convergent sequence,अभिसरण क्रम
convergent series,अभिसरण मालिका
converse,संभाषण
conversely,उलट
conversion fraction,रूपांतरण अपूर्णांक
conversion table,रूपांतरण सारणी
convex,उत्तल
convex body,उत्तल शरीर
convex combination,उत्तल संयोजन
convex cover (=convex hull),उत्तल आवरण (=उत्तल हल)
convex function,उत्तल कार्य
convex linear combinations,बहिर्वक्र रेखीय संयोजन
convex linear programming,बहिर्वक्र रेखीय प्रोग्रामिंग
convex metric space,बहिर्वक्र मेट्रिक जागा
convex polyhedron,बहिर्वक्र पॉलीहेड्रॉन
convex programming,बहिर्वक्र प्रोग्रामिंग
convex region,बहिर्वक्र प्रदेश
convex set,बहिर्वक्र संच
convolution,गोंधळ
convolution integral,convolution अविभाज्य
convolution theorem (= faltung theorem),कन्व्होल्युशन प्रमेय (= फाल्टुंग प्रमेय)
coordinate,समन्वय
coordinate axis,समन्वय अक्ष
coordinate geometry,समन्वय भूमिती
coordinate plane,समन्वय विमान
coordinates,समन्वय
coordinate system,समन्वय प्रणाली
Copernican system,कोपर्निकन प्रणाली
Coplanar,कॉप्लनर
coplanar forces,coplanar सैन्याने
coplanarity,समतलता
coprime numbers,कॉप्राइम क्रमांक
correction factor,सुधारणा घटक
correct solution,योग्य उपाय
correlation,सहसंबंध
correlation coefficient,सहसंबंध गुणांक
correlation diagram,सहसंबंध आकृती
correlation function,सहसंबंध कार्य
correlation matrix,सहसंबंध मॅट्रिक्स
correlation ratio,सहसंबंध गुणोत्तर
correlogram,कोरेलोग्राम
correlogram analysis,कोरेलोग्राम विश्लेषण
correspond,पत्रव्यवहार
correspondence principle,पत्रव्यवहार तत्त्व
corresponding angle,संबंधित कोन
corresponding side,संबंधित बाजू
coset,coset
cosine,कोसाइन
cosine law,कोसाइन कायदा
cost analysis,खर्च विश्लेषण
cost maximization,खर्च कमाल करणे
countability axiom,गणनाक्षमता स्वयंसिद्ध
countable,मोजण्यायोग्य
countable additivity,मोजण्यायोग्य अतिरिक्तता
countable base,मोजण्यायोग्य आधार
countable basis,मोजण्यायोग्य आधार
countable set,मोजण्यायोग्य संच
countably infinite,मोजण्यायोग्य असीम
counter,काउंटर
counter clockwise,घड्याळाच्या उलट दिशेने
counter example,काउंटर उदाहरण
covariance,सहप्रसरण
covariance law,सहप्रसरण कायदा
covariance matrix,सहप्रसरण मॅट्रिक्स
covariance method,सहप्रवाह पद्धत
covariance technique,सहप्रवाह तंत्र
Cramer's rule,क्रेमरचा नियम
Cramer-Rao inequality,क्रेमर-राव असमानता
criterion function (=objective function),निकष कार्य (=उद्देशीय कार्य)
critical angle,गंभीर कोन
critical point,गंभीर मुद्दा
critical point of function,कार्याचा गंभीर मुद्दा
critical value,गंभीर मूल्य
critical velocity,गंभीर वेग
cross correlation function,क्रॉस सहसंबंध कार्य
cross product,क्रॉस उत्पादन
cross ratio,क्रॉस रेशो
cross sectioning,क्रॉस सेक्शनिंग
crypt,क्रिप्ट
cube,घन
cube number,घन संख्या
cube root,घनमूळ
cubic,घन
cubical,घन
cubic equation,घन समीकरण
cubic inch,घन इंच
cubic metre,क्यूबिक मीटर
