Telugu,Punjabi
అంజివిన్ (=అంజెవిన్),ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ)
కోణాలు,ਕੋਣ
ఆంగ్లికన్,ਐਂਗਲੀਕਨ
ఆంగ్లికన్ కమ్యూనియన్,ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ
ఆంగ్లికనిజం,ਐਂਗਲੀਕਨਵਾਦ
ఆంగ్లో-ఫోబ్,ਐਂਗਲੋ-ਫੋਬ
ఆంగ్లో-ఫోబియా,ਐਂਗਲੋ-ਫੋਬੀਆ
ఆంగ్లో-సాక్సన్,ਐਂਗਲੋ-ਸੈਕਸਨ
ఆంగ్లో-సాక్సోనిజం,ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ
అన్నలిస్ట్,ਐਨਾਲਿਸਟ
అన్నల్స్,ਇਤਿਹਾਸ
అనుబంధం,ਅਨੇਕਸ਼ਨ
యాంటీ-బెల్లం,ਐਂਟੀ-ਬੇਲਮ
ముందు తేదీ,ਪਿਛਲੀ ਤਾਰੀਖ
మత వ్యతిరేకత,ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ
మతాధికారుల వ్యతిరేక చట్టం,ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ
ప్రాచీనకాలం,ਪੁਰਾਤਨਤਾ
వ్యతిరేక అద్దె,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
వ్యతిరేక అద్దె,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
సెమిటిజం వ్యతిరేకత,ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ
అంజాక్,ਐਨਜ਼ੈਕ
అపెల్లా,ਅਪੇਲਾ
అరలు,ਅਰਲੂ
ఆర్చ్ బిషప్,ਆਰਕ ਬਿਸ਼ਪ
ఆర్చ్ డచీ,ਆਰਕ ਡਚੀ
ఆర్చ్ డ్యూక్,ਆਰਕ ਡਿਊਕ
ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ),ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ)
ఆర్కిపిస్కోపేట్,ਆਰਚੀਪੀਸਕੋਪੇਟ
దొర,ਕੁਲੀਨ
దొర,ਰਈਸ
కులీన స్నోబరీ,ਕੁਲੀਨ ਸਨੋਬਰੀ
అరిస్టాటిలియన్,ਅਰਿਸਟੋਟਲੀਅਨ
ఆర్మడ,ਆਰਮਾਡਾ
ఆర్మడ (=ది స్పానిష్ ఆర్మడ),ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ)
ఆయుధాగాడు (=ఆయుధాకారుడు),ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ)
కవచం (=కవచం),ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ)
ఆయుధాగాడు,ਸ਼ਸਤਰਧਾਰਕ
ఆర్యన్,ਆਰੀਅਨ
ఆర్యన్,ਆਰੀਅਨ
అస్కారి,ਅਸਕਰੀ
కేటాయించండి,ਅਸਾਈਨੈਟ
అసైజ్ చేయండి,ਅਸਾਈਜ਼
అసైజ్ చేయండి,ਅਸਾਈਜ਼
అసైజ్ చేయండి,ਅਸਾਈਜ਼
అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్,ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ
డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్,ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ
మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్,ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ
అసైజ్ ఆఫ్ నవల డిస్సీసిన్,ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ
దారుణం,ਅੱਤਿਆਚਾਰ
దాడి,ਹਮਲਾ
ఆలిక్ కౌన్సిల్,ਔਲਿਕ ਕੌਂਸਲ
గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి),ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ)
యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్),ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ)
బాబిలోన్,ਬਾਬਲ
బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా),ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ)
బచ్చనాల్ భక్తుడు,ਬਚਨਲ ਭਗਤ
బచ్చనాలియా,ਬਚਨਲਿਆ
బ్రహ్మచారి,ਕੁਆਰਾ
బాగ్దాద్ ఒప్పందం,ਬਗਦਾਦ ਸਮਝੌਤਾ
బాల్కన్ లీగ్,ਬਾਲਕਨ ਲੀਗ
బాల్కన్ ఒప్పందం,ਬਾਲਕਨ ਸਮਝੌਤਾ
బాల్కన్ యుద్ధాలు,ਬਾਲਕਨ ਯੁੱਧ
బాల్టిక్ ఒప్పందం,ਬਾਲਟਿਕ ਸਮਝੌਤਾ
బందిపోటు,ਡਾਕੂ
బాండుంగ్ కాన్ఫరెన్స్,ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ
బహిష్కరణ,ਦੇਸ਼ ਨਿਕਾਲੇ
బ్యానర్,ਬੈਨਰ
బార్బేరియన్,ਵਹਿਸ਼ੀ
బార్బికన్,ਬਾਰਬੀਕਨ
బార్డోలీ సత్యాగ్రహం,ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ
బార్న్ బర్నర్స్,ਬਾਰਨ ਬਰਨਰ
బారన్,ਬੈਰਨ
బారోనేజ్,ਬੈਰੋਨੇਜ
బారోన్స్ మేజర్లు,ਬੈਰੋਨਸ ਮੇਜਰਸ
బారోన్స్ మైనర్లు,ਬੈਰੋਨਸ ਨਾਬਾਲਗ
బారోనెస్,ਬੈਰੋਨੇਸ
బారోనెట్,ਬੈਰੋਨੇਟ
బారోనెటేజ్,ਬੈਰੋਨੇਟੇਜ
బారోనెటేజ్,ਬੈਰੋਨੇਟੇਜ
బారోనెట్సీ,ਬੈਰੋਨੇਟਸੀ
బారోనీ,ਬੈਰੋਨੀ
బారకూన్,ਬੈਰਾਕੂਨ
బారకూన్,ਬੈਰਾਕੂਨ
బారికేడ్ (=బారికాడో),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
బారికేడ్ (=బారికాడో),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
బారికేడ్ (=బారికాడో),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
మూల శిబిరం,ਬੇਸ ਕੈਂਪ
బసిలికా,ਬੇਸਿਲਿਕਾ
బసిలికా,ਬੇਸਿਲਿਕਾ
బస్తీలా,ਬਸਤੀਲਾ
బాస్టిల్,ਬੈਸਟਿਲ
బాస్టిల్,ਬੈਸਟਿਲ
బ్యాటరీ,ਬੈਟਰੀ
యుద్ధం,ਲੜਾਈ
బాటిల్-అరే,ਬੈਟਲੇ-ਐਰੇ
యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు,ਲੜਾਈ ਦਾ ਰੋਣਾ
బాటిల్ డిన్,ਲੜਾਈ ਦੀਨ
యుద్ధ క్షేత్రం,ਲੜਾਈ ਦਾ ਮੈਦਾਨ
యుద్ధ శ్లోకం,ਲੜਾਈ ਦਾ ਭਜਨ
స్పర్స్ యుద్ధం,ਸਪਰਸ ਦੀ ਲੜਾਈ
స్టాండర్డ్ యుద్ధం,ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ
యుద్ధనౌక,ਬੈਟਲਸ਼ਿਪ
యుద్ధనౌక-బలం,ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ
Bayeux వస్త్రం,Bayeux tapestry
బెకన్,ਬੀਕਨ
బెకన్ టవర్,ਬੀਕਨ ਟਾਵਰ
బీవర్,ਬੀਵਰ
బీవర్,ਬੀਵਰ
సముద్రపు బిచ్చగాళ్ళు,ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ
బెల్లికోస్,ਬੇਲੀਕੋਜ਼
బెల్లికోస్,ਬੇਲੀਕੋਸ
బెల్లికోస్,ਬੇਲੀਕੋਜ਼
బెల్లికోసిటీ,ਬੇਲੀਕੋਸਿਟੀ
బెలోనా,ਬੇਲੋਨਾ
ప్రయోజనం,ਲਾਭ
మతపెద్దల వల్ల ప్రయోజనం,ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ
బెనెలక్స్,ਬੇਨੇਲਕਸ
బెర్లిన్ డిక్రీ,ਬਰਲਿਨ ਫ਼ਰਮਾਨ
బెర్సెర్కర్,ਬੇਸਰਕਰ
బెసెంట్ (=బెజాంట్),ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ)
బేతేలు,ਬੈਥਲ
గ్రంథకర్త,ਬਾਈਬਲੀਓਲੇਟਰ
గ్రంథారాధన,ਬਿਬਲਿਓਲਾਟਰੀ
బిగ్ బెర్తా,ਵੱਡੀ ਬਰਥਾ
మతోన్మాదుడు,ਬਿਗੌਟ
బిల్లేటింగ్,ਬਿਲੀਟਿੰਗ
అటెయిండర్ బిల్లు,ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ
హక్కుల చట్టం,ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ
జీవిత చరిత్ర రచయిత,ਜੀਵਨੀਕਾਰ
జన్మ కథలు,ਜਨਮ ਕਹਾਣੀਆਂ
తాత్కాలిక శిబిరం,ਬਿਵੁਆਕ
తాత్కాలిక శిబిరం,ਬਿਵੁਆਕ
తాత్కాలిక శిబిరం,ਬਿਵੁਆਕ
బిజోనియా,ਬਿਜੋਨੀਆ
బ్లాక్ బర్డింగ్,ਕਾਲਾ ਪੰਛੀ
నల్ల జండా,ਕਾਲਾ ਝੰਡਾ
కృష్ణ బిలం,ਕਾਲਾ ਮੋਰੀ
కృష్ణ బిలం,ਕਾਲਾ ਮੋਰੀ
నల్ల కాలు (=స్కాబ్),ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ)
నల్ల చొక్కా,ਕਾਲੀ ਕਮੀਜ਼
బ్లజోన్,ਬਲੇਜ਼ਨ
బ్లజోన్,ਬਲੇਜ਼ਨ
బ్లేజోన్రీ,ਧਮਾਕੇਦਾਰ
బ్లజోన్రీ,ਧਮਾਕੇਦਾਰ
బ్లిట్జ్‌క్రీగ్,ਬਲਿਟਜ਼ਕਰੀਗ
రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్),ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ)
బ్లడ్వైట్,ਬਲੱਡਵਾਈਟ
బ్లడీ మేరీ,ਖੂਨੀ ਮੈਰੀ
నీలం,ਨੀਲਾ
నీలం రక్తం,ਨੀਲਾ ਖੂਨ
నీలి పుస్తకం,ਨੀਲੀ ਕਿਤਾਬ
నీలం రంగు రిబ్బన్,ਨੀਲਾ ਰਿਬਨ
నీలం రంగు రిబ్బన్,ਨੀਲਾ ਰਿਬਨ
బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్),ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ)
నీలం చొక్కా,ਨੀਲੀ ਕਮੀਜ਼
బ్లూ వాటర్ స్కూల్,ਬਲੂ ਵਾਟਰ ਸਕੂਲ
బోర్డ్ ఆఫ్ కంట్రోల్,ਕੰਟਰੋਲ ਬੋਰਡ
శరీర కవచం,ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ
బోయర్,ਬੋਅਰ
దోపిడి,ਲੁੱਟ
బరో,ਬੋਰੋ
బౌల్యూటేరియన్,ਬੁਲੇਉਟੇਰੀਅਨ
బోర్బన్,ਬੋਰਬਨ
బాక్సర్ తిరుగుబాటు,ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ
బ్రేస్,ਬ੍ਰੇਸ
బ్రాస్సార్డ్,ਬ੍ਰਾਸਾਰਡ
బ్రాస్సార్డ్,ਬ੍ਰਾਸਾਰਡ
బ్రెడ్ కాలనీలు,ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ
బ్రెస్ట్ ప్లేట్,ਛਾਤੀ ਪਲੇਟ
రొమ్ము పని,ਛਾਤੀ ਦਾ ਕੰਮ
బ్రెట్వాల్డా,ਬਰੇਟਵਾਲਡਾ
బ్రిగాండ్,ਬ੍ਰਿਗੈਂਡ
బ్రిగేండేజ్,ਬ੍ਰਿਗੇਂਡੇਜ
బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్,ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼
బ్రౌన్ షర్ట్స్ (=నాజీలు),ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ)
బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్),ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ)
యెదురు,ਮੱਝ
యెదురు,ਮੱਝ
బఫ్-కోటు,ਮੱਝ-ਕੋਟ
బఫ్స్,ਮੱਝਾਂ
బులే (=మండలి),ਬੁਲੇ (=ਕੌਂਸਲ)
బర్గేజ్,ਬਰਗੇਜ
బర్గెస్,ਬਰਗੇਸ
బైజాంటైన్,ਬਿਜ਼ੰਤੀਨੀ
బైజాంటైన్ చర్చి,ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ
బైజాంటైన్ సామ్రాజ్యం,ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ
బైజాంటైన్ యుగం,ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ
బైజాంటైన్ చరిత్రకారులు,ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ
కాబాల్,ਕਾਬਲ
సీజరిజం,ਕੈਸਰਵਾਦ
ఖలీఫ్,ਖਲੀਫਾ
కాలిగ్రాఫర్,ਕੈਲੀਗ੍ਰਾਫਰ
కాలిగ్రాఫిస్ట్,ਕੈਲੀਗ੍ਰਾਫਿਸਟ
కాలిగ్రఫీ,ਕੈਲੀਗ੍ਰਾਫੀ
కాల్ట్రాప్,ਕੈਲਟ੍ਰੋਪ
సాహచర్యం,ਦੋਸਤੀ
కమరిల్లా,ਕੈਮਰਿਲਾ
కమరిల్లా,ਕੈਮਰਿਲਾ
కామెలాకమ్,ਕੈਮਲੌਕਮ
మభ్యపెట్టడం,ਕੈਮੋਫਲੇਜ
ప్రచారం,ਮੁਹਿੰਮ
క్యాంపు అనుచరుడు,ਕੈਂਪ ਫਾਲੋਅਰ
కాంపో శాంటో,ਕੈਂਪੋ ਸੈਂਟੋ
క్యాంపస్ మార్టియస్,ਕੈਂਪਸ ਮਾਰਟੀਅਸ
కనెఫోరా,ਕੈਨੇਫੋਰਾ
కంగు,ਕੈਂਗੂ
ఫిరంగి,ਕੈਨੋਨੇਡ
ఫిరంగి మేత,ਤੋਪ ਚਾਰਾ
కానన్,ਕੈਨਨ
కానన్ చట్టం,ਕੈਨਨ ਕਾਨੂੰਨ
కానోపస్ డిక్రీ,ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ
ఆయుధాలు పట్టుకోవడం,ਕੈਂਟਿੰਗ ਹਥਿਆਰ
బందీ,ਬੰਦੀ
కాప్టర్,ਕੈਪਟਰ
కార్డినల్,ਕਾਰਡੀਨਲ
కార్ల్,ਕਾਰਲ
కరోలింగియన్ రాజవంశం,ਕੈਰੋਲਿੰਗੀਅਨ ਰਾਜਵੰਸ਼
కార్తుసియన్ శాఖ,ਕਾਰਥੁਸੀਅਨ ਸੰਪਰਦਾ
కార్టోసా,ਕਾਰਟੋਸਾ
కాస్టేలియన్,ਕੈਸਟਲੀਅਨ
కాస్టేలియన్,ਕੈਸਟਲੀਅਨ
కుల వ్యవస్థ,ਜਾਤ ਪ੍ਰਣਾਲੀ
కోట,ਕਿਲ੍ਹਾ
కోట,ਕਿਲ੍ਹਾ
కోట పట్టణం,ਕੈਸਲ ਸ਼ਹਿਰ
కాస్ట్రా,ਕਾਸਟਰਾ
కాస్ట్రా,ਕਾਸਟਰਾ
కేథడ్రా,ਕੈਥੇਡਰਾ
కేథడ్రల్,ਗਿਰਜਾਘਰ
కాటో స్ట్రీట్ కుట్ర,ਕੈਟੋ ਸਟ੍ਰੀਟ ਸਾਜ਼ਿਸ਼
కౌడిల్లో,ਕਾਉਡੀਲੋ
కావలీర్,ਕੈਵਲੀਅਰ
కావలీర్,ਕੈਵਲੀਅਰ
కావలీర్ పార్లమెంట్,ਕੈਵਲੀਅਰ ਸੰਸਦ
అదుల్లాం గుహ,ਅਦੁੱਲਮ ਦੀ ਗੁਫਾ
గుహ పెయింటింగ్,ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ
గుహ పెయింటింగ్,ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ
సెంటంవిర్,ਸੇਂਟਮਵੀਰ
సెంచూరియన్,ਸੈਂਚੁਰੀਅਨ
సెంచరీ,ਸਦੀ
చైన్ ఆర్మర్ (=చైన్ మెయిల్),ਚੇਨ ਆਰਮਰ (= ਚੇਨ ਮੇਲ)
చాంట్రీ,ਛੰਤਰੀ
చాంట్రీ,ਛੰਤਰੀ
చాప్ పుస్తకం,ਚੈਪ ਕਿਤਾਬ
చాప్లిన్,ਪਾਦਰੀ
అధ్యాయం,ਅਧਿਆਇ
ప్రమాదాల అధ్యాయం,ਹਾਦਸਿਆਂ ਦਾ ਅਧਿਆਇ
ఆరోపణ,ਚਾਰਜ
ఛార్జ్ డి&#39;ఎఫైర్స్,ਚਾਰਜ ਡੀ
ఛార్జ్ విడిపోవడం,ਚਾਰਜ ਵਿਭਾਜਨ
ఛార్జర్,ਚਾਰਜਰ
రథము,ਰੱਥ
రథసారధి,ਰੱਥ
రథసారధి,ਰੱਥ
రథసారధి,ਰੱਥ
ఛారిటీ వంటగది,ਚੈਰਿਟੀ ਰਸੋਈ
చార్టర్,ਚਾਰਟਰ
చార్టిస్ట్ ఉద్యమం (=చార్టిజం),ਚਾਰਟਿਸਟ ਅੰਦੋਲਨ (=ਚਾਰਟਿਜ਼ਮ)
చార్టోఫిలాసియం,ਚਾਰਟੋਫਾਈਲੇਸ਼ੀਅਮ
చాటౌ,Chateau
చెక్ పోస్ట్,ਚੈੱਕ ਪੋਸਟ
రసాయన యుద్ధం,ਰਸਾਇਣਕ ਯੁੱਧ
చెస్టర్,ਚੈਸਟਰ
చీఫ్,ਮੁੱਖ
అధిపతి,ਸਰਦਾਰ
అధిపతి,ਸਰਦਾਰ
అధిపతి,ਸਰਦਾਰ
షిఫాన్,ਸ਼ਿਫੋਨ
శూరత్వం,ਸ਼ਿਸ਼ਟਾਚਾਰ
ఎంచుకున్న వ్యక్తులు,ਚੁਣੇ ਹੋਏ ਲੋਕ
క్రిస్మోగ్రఫీ,ਕ੍ਰਿਸਮੋਗ੍ਰਾਫੀ
క్రైస్తవమత సామ్రాజ్యం,ਈਸਾਈ-ਜਗਤ
క్రైస్తవ యుగం,ਈਸਾਈ ਯੁੱਗ
క్రిస్టియన్ సోషలిజం,ਈਸਾਈ ਸਮਾਜਵਾਦ
క్రానికల్,ਇਤਹਾਸ
క్రానికల్,ਇਤਿਹਾਸਕਾਰ
Chryse Chersonese,Chryse Chersonese
సిమిలియం,ਸਿਮਲੀਅਮ
సింక్వెసెంటో స్టైల్,Cinquecento ਸ਼ੈਲੀ
ప్రదక్షిణ,ਸਰਕਮਨੇਵੀਗੇਸ਼ਨ
సిస్టెర్సియన్ సన్యాసి,ਸਿਸਟਰਸੀਅਨ ਭਿਕਸ਼ੂ
కోట,ਕਿਲਾ
అనులేఖనం,ਹਵਾਲਾ
అనులేఖనం,ਹਵਾਲਾ
శాసన ఉల్లంఘన,ਸਿਵਲ ਅਣਆਗਿਆਕਾਰੀ
పౌర యుద్ధం,ਸਿਵਲ ਯੁੱਧ
సివిస్ రోమనస్,ਸਿਵਿਸ ਰੋਮਨਸ
సాంప్రదాయ వయస్సు,ਕਲਾਸੀਕਲ ਉਮਰ
క్లెఫ్ట్ (=క్లెఫ్ట్),ਕਲੀਫ਼ਟ (=ਕਲੇਫ਼ਟ)
మతాధికారం,ਕਲਰਕਵਾਦ
క్లర్చ్,ਕਲਰਚ
క్లినియాక్ ఉద్యమం,ਕਲੀਨਿਕ ਅੰਦੋਲਨ
కోటు కవచం,ਕੋਟ ਸ਼ਸਤ੍ਰ
కోట్ ఆఫ్ ఆర్మ్స్,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
కోట్ ఆఫ్ ఆర్మ్స్,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
కోట్ ఆఫ్ ఆర్మ్స్,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
కోట్ ఆఫ్ మెయిల్,ਡਾਕ ਦਾ ਕੋਟ
కోహోర్ట్,ਸਮੂਹ
కమిటియా,ਕੋਮੀਟੀਆ
కమిటియా సెంచురియాటా,Comitia Centuriata
కమిటియా క్యూరియాటా,Comitia Curiata
కమిటియా ట్రిబ్యూటా,ਕੋਮੀਟੀਆ ਟ੍ਰਿਬੂਟਾ
స్మారక వంపు,ਯਾਦਗਾਰੀ arch
స్మారక నాణెం,ਯਾਦਗਾਰੀ ਸਿੱਕਾ
స్మారక ముద్ర,ਯਾਦਗਾਰੀ ਮੋਹਰ
సాధారణ క్షేత్రం,ਆਮ ਖੇਤਰ
కమ్యూనార్డ్,Communard
కాంకోర్డాట్,ਕਨਕੋਰਡੈਟ
కాంకోర్డాట్,ਕਨਕੋਰਡੈਟ
కండోటియర్,ਕੰਡੋਟੀਏਰ
నిర్ధారణ కార్టరమ్,ਪੁਸ਼ਟੀਕਰਣ ਕਾਰਟਾਰਮ
సంఘర్షణ,ਟਕਰਾਅ
