Kannada,Assamese
ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್,এন্টিলগিন এম্প্লিফায়াৰ
ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್,এন্টিৰেজোনেণ্ট চাৰ্কিট
ದ್ವಾರಕ ಕಾಲ,দ্বাৰক যুগ
ವರ್ಚುವಲ್ ಶಕ್ತಿ,ভাৰ্চুৱেল শক্তি
ತಂತಿ ಸಂಪರ್ಕ,তাঁৰৰ সংযোগ
ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ,আনুমানিক ভোল্টেজ লাভ
ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್,আৰ্মষ্ট্ৰং মডুলেটৰ
ಆಂಟೆನಾ ರಚನೆ,এন্টেনা এৰে
"ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ","আকাৰৰ অনুপাত, দৃষ্টি অনুপাত"
ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್),ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী)
ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ
ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,ভাসমান মাল্টিভাইব্ৰেটৰ
ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್,অসমতাপূৰ্ণ সংযোগস্থল
ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್,এচিনক্ৰ&#39;নাছ কেলকুলেটৰ
ಪರಮಾಣು,পাৰমাণৱিক
ಪರಮಾಣು ಸಂಖ್ಯೆ,পাৰমাণৱিক সংখ্যা
ಪರಮಾಣು ರಚನೆ,পাৰমাণৱিক গঠন
ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್,অডিঅ&#39; এম্প্লিফায়াৰ
ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್,অডিঅ&#39; এম্প্লিফায়াৰ
ಆಡಿಯೋ ಕ್ಯಾಸೆಟ್,অডিঅ&#39; কেছেট
ಆಡಿಯೋ ಸರ್ಕ್ಯೂಟ್,অডিঅ&#39; বৰ্তনী
ಶ್ರವ್ಯ ಆವರ್ತನ,শ্ৰৱণযোগ্য কম্পাঙ্ক
ಸ್ವಯಂಚಾಲಿತ ವೋಲ್ಟೇಜ್ ನಿಯಂತ್ರಣ,স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ
ಹಿಮಕುಸಿತ,হিমস্খলন
ಸರಾಸರಿ ಡಿಟೆಕ್ಟರ್,গড় ডিটেক্টৰ
ಅಕ್ಷೀಯ ಮೋಡ್,অক্ষীয় ধৰণ
ಅಕ್ಷೀಯ ಅನುಪಾತ,অক্ষীয় অনুপাত
ಆಂಟೆನಾ,এন্টেনা
ಹಿಂದೆ ಎಲೆಕ್ಟ್ರೋಮೋಟಿವ್ ಫೋರ್ಸ್,পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল
ಹಿಂಭಾಗದ ಪ್ರದೇಶ,পিছফালৰ অঞ্চল
ಮತ್ತೆ ಚದುರುವಿಕೆ,পিছলৈ বিক্ষিপ্ততা
ಹಿನ್ನೆಲೆ ಶುಲ್ಕ,পটভূমি চাৰ্জ
ಅಡ್ಡ ಶಬ್ದ,কাষৰ শব্দ
ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ,ৰেট্ৰ&#39;গ্ৰেছন
ಹಿಂಭಾಗದ ವಿಕಿರಣ,পশ্চাৎ বিকিৰণ
ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್ / ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್,বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড
ಹಿಂದುಳಿದ ತರಂಗ ಆಂದೋಲಕ,পিছলৈ তৰংগ দোলক
"ಅಡಚಣೆ, ಅಡಚಣೆ","বাধা, বাধা"
ಅಡಚಣೆ,বাধাগ্ৰস্ততা
ಸಮತೋಲಿತ ಸೇತುವೆ,সুষম দলং
ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್,সুষম মডুলেটৰ
ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್,সুষম মডুলেটৰ
ಸಮತೋಲಿತ ಸರ್ಕ್ಯೂಟ್,সুষম বৰ্তনী
ಸಮತೋಲಿತ ಗ್ರೇಡಿಯಂಟ್ ಡಿಟೆಕ್ಟರ್,ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ
ಪ್ರಸ್ತುತ ಸ್ಥಿರೀಕಾರಕ ಪ್ರತಿರೋಧ,কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স
ಬೋಲೋಮೀಟರ್,বলোমিটাৰ
ಬೋಲೋಮೀಟರ್ ಸೇತುವೆ,বলোমিটাৰ দলং
ಬಲೂನ್,বেলুন
ಬನಾನಾ ಜ್ಯಾಕ್,কল জেক
ಬಾಳೆಹಣ್ಣಿನ ಪ್ಲಗ್,কল প্লাগ
"ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡೇಜ್","বেণ্ড, বেণ্ডেজ"
ಬ್ಯಾಂಡ್ ಚಾಲಕ,বেণ্ড ড্ৰাইভাৰ
ಬ್ಯಾಂಡ್ ಶಕ್ತಿ,বেণ্ড শক্তি
ಬ್ಯಾಂಡ್ ಅಂತರ,বেণ্ড গেপ
ಬ್ಯಾಡ್‌ಪಾರ್ಕ್ ಆಂಪ್ಲಿಫಯರ್,badpark এম্প্লিফায়াৰ
ಬ್ಯಾಂಡ್ ಪಾಸ್ ಫಿಲ್ಟರ್,বেণ্ড পাছ ফিল্টাৰ
ಬಾಡ್ ದರ ಜನರೇಟರ್,বড হাৰ জেনেৰেটৰ
ಬ್ಯಾಂಡ್ ಡಿಸ್ಪರ್ಶನ್,banddispersion
ಬ್ಯಾಂಡ್ ರೆಸಿಸ್ಟರ್,বেণ্ড ৰেজিষ্টৰ
ಬ್ಯಾಂಡ್ ಬ್ರೇಕರ್ ಫಿಲ್ಟರ್,বেণ্ড ব্ৰেকাৰ ফিল্টাৰ
ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,বেণ্ড সম্প্ৰসাৰণ
ಬ್ಯಾಂಡ್ ಹೋಗಲಾಡಿಸುವ ಫಿಲ್ಟರ್,বেণ্ড আঁতৰোৱা ফিল্টাৰ
ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ಡಿಫ್ಲೆಕ್ಷನ್ ಮಲ್ಟಿಪ್ಲೈಯರ್,বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ
ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ದೂರ ಗುಣಕ,বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক
"ಬೀಮ್ ಕೆಪಾಸಿಟರ್, ಬ್ಯಾಂಕ್ ಕೆಪಾಸಿಟರ್","ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ"
"ಬಾರ್ಕರ್ ಕೋಡ್, ಬಾರ್ಕರ್ ಕೋಡ್","বাৰ্কাৰ কোড, বাৰ্কাৰ কোড"
barravaugen ಮಾನದಂಡ,barravaugen মাপকাঠী
ನ್ಯಾಯವಾದಿ,বেৰেটৰ
ತಡೆಗೋಡೆ,বাধা
ನಿರೋಧಕ ಕೆಪಾಸಿಟರ್,ইনচুলেটিং কেপাচিটৰ
ತಡೆ ಶಕ್ತಿ,বাধা শক্তি
ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್,ৰেজিষ্টৰ ভল্টেজ
ಬಾರ್ಟ್ಲೆಟ್ ಕಿಟಕಿ,বাৰ্টলেট উইণ্ড&#39;
"ಬೇಸ್, ಬೇಸ್","ভিত্তি, ভিত্তি"
ಬೇಸ್ ಬ್ಯಾಂಡ್,বেচ বেণ্ড
ಬೇಸ್ ಬ್ಯಾಂಡ್ ಪ್ರಸರಣ,বেচ বেণ্ড ট্ৰেন্সমিছন
ಮೂಲ ಶುಲ್ಕ,ভিত্তি চাৰ্জ
ಮೂಲ ಪ್ರಸ್ತುತ,বেচ কাৰেণ্ট
ಮೂಲ ಪ್ರಸ್ತುತ ಮೂಲ,ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস
ಬೇಸ್ ಕತ್ತರಿಸುವುದು,বেচ শ্বিয়াৰিং
ಆಧಾರ್ ಮದನ್,আধাৰ মদন
ಬೇಸ್ ಎಮಿಟರ್ ಫೀಡ್,বেচ এমিটাৰ ফিড
ಬೇಸ್ ಎಮಿಟರ್ ಜಂಕ್ಷನ್,বেচ এমিটাৰ জংচন
ಬೇಸ್ ಇಂಜೆಕ್ಷನ್,বেচ ইনজেকচন
ನೆಲದ ರೇಖೆ,গ্ৰাউণ্ড লাইন
ಮೂಲ ಪ್ರತಿರೋಧ,ভিত্তি ৰেজিষ্টেন্স
ಮೂಲ ಮೂಲ,ভিত্তি উৎস
ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ,ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা
ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ,ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা
ಬೇಸ್ ದಪ್ಪ,ভিত্তিৰ বেধ
ಮೂಲ ಪ್ರವೇಶ,ভিত্তি অভিগম
"ಬೇಸ್ ವಿಡ್ತ್ ಮಾಡ್ಯುಲೇಶನ್, ಬೇಸ್ ಎಕ್ಸ್ಪಾನ್ಶನ್ ಮಾಡ್ಯುಲೇಶನ್","ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন"
ಮೂಲ ಸಂಗ್ರಾಹಕ ಒಪ್ಪಂದ,ভিত্তি সংগ্ৰাহক চুক্তি
ವಾಸನೆ,গোন্ধ
ಬಾಸ್ ಆವರ್ತನ,বেছ ফ্ৰিকুৱেন্সি
ಬ್ಯಾಟರಿ,বেটাৰি
ಬಾಡ್,baud
ಬೌಡ್ ದರ,বড হাৰ
ಬಾಡ್ ದರ ಜನರೇಟರ್,বড হাৰ জেনেৰেটৰ
ಬೋಡೋ ಕೋಡ್,বডো ক&#39;ড
"ಸಂಕೇತ, ದಾರಿದೀಪ","সংকেত, বিকন"
"ಮಾಣಿಕ, ಬೀಡು","মণিকা, বিড"
ಉನ್ಮಾದ ಕೆಪಾಸಿಟರ್,মেনিক কেপাচিটৰ
ಮಣಿಕರ್ತಾಪಿ ಪ್ರತಿರೋಧಕ,মণিকাৰতাপি ৰেজিষ্টৰ
"ಬೀಮ್ ಆಂಟೆನಾ, ಬೀಮ್ ಆಂಟೆನಾ","ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা"
ಕಿರಣ ಶೋಧಕ,ৰশ্মি ডিটেক্টৰ
ಕಿರಣದ ವಿದ್ಯುತ್ ಮೆದುಗೊಳವೆ,ৰশ্মি শক্তিৰ নলী
ಕಿರಣದ ಸ್ವಿಚಿಂಗ್ ನಳಿಕೆಗಳು,ৰশ্মি চুইচিং নজেল
ಕಿರಣದ ವಿಸ್ತರಣೆ,ৰশ্মি প্ৰসাৰণ
ಬೀಟ್ ಆವರ್ತನ,বিট ফ্ৰিকুৱেন্সি
ಬೀಟ್-ಫ್ರೀಕ್ವೆನ್ಸಿ ಆಂದೋಲಕ,বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ
ನಾಡಿ ಆಂದೋಲಕ,পালছ দোলক
ಗಂಟೆ,বেল
ಬಾಗುವ ನಷ್ಟ,বেণ্ডিং লছ
ಬೆಸೆಲ್ ಫಿಲ್ಟರ್,বেচেল ফিল্টাৰ
ಬೀಟಾ,বিটা
b-h ಕರ್ವ್,খ-হ বক্ৰ
"ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ","bias, পক্ষপাতিত্ব"
ಪಕ್ಷಪಾತ ಪ್ರಸ್ತುತ,বায়াছ কাৰেণ্ট
ಪಕ್ಷಪಾತ ಪ್ರತಿರೋಧ,বায়াছ ৰেজিষ্টেন্স
ಡಬಲ್ ಆಂಟೆನಾ,ডাবল এন্টেনা
ದ್ವಿಮುಖ ಲೋಡ್ ಪ್ರಸ್ತುತ,দ্বিমুখী লোড কাৰেণ্ট
ದ್ವಿಮುಖ ಆಂಟೆನಾ,দ্বিমুখী এন্টেনা
ದ್ವಿಮುಖ ಬೆಳಕಿನ ಹೊರಸೂಸುವ ಡಯೋಡ್,দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড
ದ್ವಿಮುಖ ಥೈರಿಸ್ಟರ್,দ্বিমুখী থাইৰিষ্টৰ
ದ್ವಿ FET ತಂತ್ರಜ್ಞಾನ,bi FET প্ৰযুক্তি
ಬೈ ಪಾಯಿಂಟ್ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್,বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ
ಡಬಲ್ ಸಮ್ಮಿಳನ,ডাবল ফিউজন
ದ್ವಿಪಕ್ಷೀಯ ಸರ್ಕ್ಯೂಟ್,দ্বিপাক্ষিক বৰ্তনী
ಅವಳಿ,বাইনাৰী
ಬೈನರಿ ಮೊತ್ತ,বাইনাৰী যোগফল
ಬೈನರಿ ಸರ್ಕ್ಯೂಟ್,বাইনাৰী বৰ্তনী
ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ,বাইনাৰী ক&#39;ড কৰা দশমিক
ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ ವ್ಯವಸ್ಥೆ,বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা
ಬೈನರಿ ದ್ವಿಧ್ರುವಿ ಕೆಪಾಸಿಟರ್,বাইনাৰী ডাইপোল কেপাচিটৰ
ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್,বাইনাৰী কেলকুলেটৰ
ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್,বাইনাৰী কেলকুলেটৰ
ಬೈನರಿ ಡಿಕೋಡರ್,বাইনাৰী ডিকোডাৰ
ಬೈನರಿ ಏಣಿ,বাইনাৰী জখলা
ಬೈನರಿ ಪಾಥೋಮೀಟರ್,বাইনাৰী পেথ&#39;মিটাৰ
ದ್ವಿಮಾನ ಸ್ಥಿತಿ,বাইনাৰী অৱস্থা
ಬೈನರಿ-ದಶಮಾಂಶ ಡಿಕೋಡರ್,বাইনাৰী-দশমিক ডিকোডাৰ
ಬೈನರಿ ಲೋಡ್,বাইনাৰী লোড
ಬೈನರಿ ಪದಗಳು,বাইনাৰী শব্দ
ಬೈಪೋಲಾರ್,বাইপোলাৰ
ಬೈಪೋಲಾರ್ ಕೆಪಾಸಿಟರ್,বাইপোলাৰ কেপাচিটৰ
ಬೈಪೋಲಾರ್ ಸಾಧನ,বাইপোলাৰ ডিভাইচ
ಬೈಪೋಲಾರ್ ಮೂಲ,বাইপোলাৰ উৎস
ಬೈಪೋಲಾರ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್,বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ
ಬೈಪೋಲಾರ್ ಜಂಕ್ಷನ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್,বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ
ಕ್ವಾಡ್ರಾಟಿಕ್ ಫಿಲ್ಟರ್,দ্বিঘাত ফিল্টাৰ
ಎರಡು ಸ್ಥಾನ,ডাবল পজিচন
ಎರಡು ಹಂತದ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ
ದ್ವಿಮುಖ ರಿಲೇ,দ্বিমুখী ৰিলে
ದ್ವಿಮುಖ ಸ್ಥಿತಿ,দুটা পৰ্যায়ৰ অৱস্থা
ಎರಡು-ಸ್ಥಾನದ ಪ್ರಚೋದಕ,দুটা অৱস্থানৰ ট্ৰিগাৰ
ಬಿಟ್ ದೋಷ,বিট ভুল
ಬಿಟ್ ದೋಷ ದರ,বিট ভুলৰ হাৰ
ಬಿಟ್ ದೋಷ,বিট ভুল
ಬಿಟ್ಕಲ್ ದೋಷ,bitkal ত্ৰুটি
ಕುರುಡು ಪೆಟ್ಟಿಗೆ,অন্ধ বাকচ
ಮಂದಗೊಳಿಸಿದ ನಾಡಿ,ঘনীভূত স্পন্দন
ಸ್ರವಿಸುವವನು,নিঃসৰণকাৰী
ಸ್ರವಿಸುವ ಪ್ರತಿಬಂಧಕ,নিঃসৰণ প্ৰতিৰোধক
ಕುರುಡುತನ,অন্ধতা
ವಿಭಾಗದ ರೇಖಾಚಿತ್ರ,ছেগমেণ্ট ডায়াগ্ৰাম
ತಡೆಯುವ ಪ್ರತಿರೋಧ,ব্লক কৰা ইম্পিডেন্স
ತುಣುಕು ವರ್ಗಾವಣೆ,ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ
ತಡೆಹಿಡಿಯಿರಿ,ইন্টাৰচেপ্ট
ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್,ৰেজিষ্টৰ কেপাচিটৰ
ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್,ৰেজিষ্টৰ কেপাচিটৰ
ತಡೆಯುವ ಆಂದೋಲಕ,ব্লক কৰা দোলক
ತಡೆಯುವ ಆಂದೋಲಕ,ৰেজিষ্টৰ দোলক
ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್,ৰেজিষ্টৰ ভল্টেজ
ಊದುವವನು,ব্ল&#39;ৱাৰ
ಬೋಡ್ ರೇಖಾಚಿತ್ರ,বোড ডায়াগ্ৰাম
ವೋಲ್ಟ್ಜ್ಮನ್ ಸಂಬಂಧ,voltzmann সম্পৰ্ক
ವೋಲ್ಟ್ಜ್ಮನ್ ಸ್ಥಿರ,voltzmann ধ্ৰুৱক
ಕರಾರುಪತ್ರ,বান্ধোন
ಬೌಂಡ್ ಸ್ಟ್ರೈನ್ ಗೇಜ್,বান্ধি ৰখা ষ্ট্ৰেইন গেজ
ಸ್ವಯಂ-ಬೆಂಬಲಿತ ಆಂಪ್ಲಿಫಯರ್,স্ব-সহায়ক এম্প্লিফায়াৰ
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ,বুলিয়ান বীজগণিত
ಬೂಲಿಯನ್ ಸಮೀಕರಣ,বুলিয়ান সমীকৰণ
ಬೂಟ್ ಸ್ಟ್ರಾಪನ್,বুট ষ্ট্ৰেপন
ಬೂತ್ ಅಲ್ಗಾರಿದಮ್,বুথৰ এলগৰিদম
ಬೂಟ್ ಸ್ಟ್ರಾಪ್ ಪ್ರಿಸ್ಮ್ ಸರ್ಕ್ಯೂಟ್,বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী
ಬಾಸ್ಕಟ್ಸ್ ನಿಯಮ,bosscutts শাসন কৰে
ಬೋಸ್-ಚೌಧರಿ ಹಾಕಿನ್‌ಹ್ಯಾಮ್ (BCH) ಕೋಡ್,বসু-চৌধাৰী হকেনহাম (BCH) কোড
"ಜಂಪ್, ಜಂಪ್","জপিয়াই, জপিয়াই"
ಬೌಂಡ್ ಎಲೆಕ್ಟ್ರಾನ್,বান্ধ খাই থকা ইলেক্ট্ৰন
ಬ್ರಾಗ್ ಪ್ರತಿಫಲಕ,bragg প্ৰতিফলক
ಹೆಣೆದುಕೊಂಡ ತಂತಿ,আন্তঃসংলগ্ন তাঁৰ
ಶಾಖೆ,শাখা
ಕವಲೊಡೆಯುತ್ತಿದೆ,শাখা-প্ৰশাখা
ಪ್ರಯೋಗ ಮಂಡಳಿ,পৰীক্ষা বৰ্ড
ವಿರಾಮ ವಲಯ,ব্ৰেক জ&#39;ন
ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್,ভল্টেজ ভাঙি যোৱা
ಸ್ಥಗಿತ ಡಯೋಡ್,ব্ৰেকডাউন ডাইঅ&#39;ড
ಮುರಿತದ ಸ್ಥಿರೀಕರಣ,ভাঙন স্থিৰকৰণ
ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್,ভল্টেজ ভাঙি যোৱা
ಸೇತುವೆ,সেঁতু
ಸೇತುವೆ ರಿಕ್ಟಿಫೈಯರ್,ব্ৰীজ ৰেক্টিফায়াৰ
ವಿಶಾಲ ಬ್ಯಾಂಡ್,বহল বেণ্ড
ಪ್ರಸಾರ ಬ್ಯಾಂಡ್,সম্প্ৰচাৰ বেণ্ড
ಆಸ್ಟ್ರಲ್ ಅರೇ,নক্ষত্ৰীয় এৰে
ಪ್ರಸಾರ,সম্প্ৰচাৰ
ಪ್ರಸಾರ ಆಂಟೆನಾ,সম্প্ৰচাৰ এন্টেনা
ಪ್ರಸಾರ ರಿಸೀವರ್,সম্প্ৰচাৰ গ্ৰাহক
ಆವರ್ತನ ಪ್ರಸಾರ ರಿಸೀವರ್,কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক
ಪ್ರಸಾರ ಟ್ರಾನ್ಸ್ಮಿಟರ್,সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ
ಬೂಸ್ಟರ್ ಆಂಟೆನಾ,বুষ্টাৰ এন্টেনা
ಬಸ್ ಆಂಟೆನಾ,বাছ এন্টেনা
ಬ್ರಷ್ ಇಮ್ಮರ್ಶನ್,ব্ৰাছ বিসৰ্জন
ಬಬ್ಲಿಂಗ್ ಮತ್ತು ಗೇಟ್,bubbling AND গেট
ಬುಡ್ಬುಡು ಅಥವಾ ಗೇಟ್,বুডবুডু বা গেট
ಬಬ್ಲಿ ನೆನಪು,বুদবুদযুক্ত স্মৃতিশক্তি
