Punjabi,Odiya
ਐਗ੍ਰੋਪਾਸਟਰਲ,Agronastoal
ਸ਼ਿਕਾਰ,ସହପ୍ରଗୋକ୍ତ
ਐਗਰੋਸਟੋਲੋਜੀ,ଦୁର୍ଗସ୍
ਐਗਰੋਟਾਈਪ,Agrotype
ਏਅਰ ਪੌਦਾ,ବାୟୁ ପ୍ଲାଣ୍ଟ |
ਅਕੀਓਚੀ ਮਿੱਟੀ,ଆକିଓଚି ମାଟି |
ਅਲਮੀਨੀਜ਼ਮ,ଆଲବିନିମ୍
ਐਲਫਿਸੋਲਸ,Altfisolles
ਐਲਗੀ,ଆଲିଜି |
ਐਲਗਲ ਰੋਗ,Alegal ରୋଗ
ਅਲਕਾਲੀ ਪਾਣੀ,ଆଲକାଲି ପାଣି |
ਐਲਕਲੀਨ,କ୍ଷାରିକ |
ਐਲੀਲੇ,ଆହେଲେ |
ਐਲਲੋਕਲਿਕਸ,ଆଲଲେଇଚିକ୍
ਅਲੇਲੋਮੋਰਫ,ଆଲୋଲେମୋର୍ଫେଫେଫେଫ |
ਅਲੇਲੋਪੈਥੀ,ଆଲୋଲୋପାଥି |
ਐਲੀ ਫਸਲ,ଆଲି କ୍ରପ୍ କରିବା |
ਅਲੋਕਰੇਪੀ,Alloarcy
ਆਲੋਗਮ,ଆଲଗଲାମି |
ਐਲੋਮੈਟਰੀ,Allomitry
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ),Allosynapp ଗୁଡିକ (ଆଲିଷ୍ଟିଣ୍ଡେସ୍)
ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ,ବିକଳ୍ପ ନୋଟିଂ |
ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ,ବିକଳ୍ପ ଭୂମି ବ୍ୟବହାର |
ਅੰਬੀਨਟ,ପରିବେଶ
ਅਮਜੀਗਤ,ଅମୃତାରା
ਅਮਿਤੋਸਿਸ,ଅମିତୋସାଇସ୍ |
ਅਮਿਨਾਜਾਈਜ਼,ଅମୃତନ
ਅਨੁਮੋਧ,ଆମୋନିଫିକେଟ୍
ਅਮੋਨੀਫਾਇਰ,ଆମୋନିଫାୟର୍
ਅਮੋਰਫ,ଅମୋରଫ
ਐਮਫੀਮਿਕਸਿਸ,ଆମ୍ଫିମିକ୍ସିସ୍ |
ਐਮਫੋਟੇਰਿਕ,ଆମ୍ଫୋଷ୍ଟିକ୍ |
ਐਨਾਬੋਲਿਜ਼ਮ,ଆନାବୋଲିଜିମ୍ |
ਅਨੀਰੋਬ,ଆନାରୋବେ |
ਅਨੀਉਟਲੋਇਡ,ଆନୁପ୍ଲଏଡ୍ |
ਕੋਣ ਲਾਉਣਾ,କୋଣ ବୃକ୍ଷ
ਪਸ਼ੂ ਪਾਲਣ,ପଶୁ କୁମ୍ଭାରୀ
ਪਸ਼ੂਆਂ ਤੋਂ ਇਨਕਾਰ ਕਰੋ,ପଶୁ ମନା କରେ |
Energy ਰਜਾ ਐਨੀਮੇਟ ਕਰੋ,ଆନିମେଟ୍ ଶକ୍ତିମାନ |
ਅਨੀਸੋਪਲੋਇਡ,Aningoploid
ਸਾਲਾਨਾ ਪੌਦਾ,ବାର୍ଷିକ ଉଦ୍ଭିଦ |
ਸਾਲਾਨਾ,ବାର୍ଷିକ
ਐਥੇਸਮਿਸ,ଆନେସିଟି
ਐਂਥ੍ਰੈਕਸ,ଆନ୍ଥ୍ରାକ୍ସ |
ਐਂਥ੍ਰੋਪੋਜਾਈਜਿਕ ਫੈਕਟਰ,ଆନ୍ଥ୍ରୋପେନିକ୍ କାରକ |
ਐਂਟੀਬਾਇਸਿਸ,ଆଣ୍ଟିବାସିସ୍
ਐਂਟੀਬਾਇਓਟਿਕ,ଆଣ୍ଟିବାୟୋଟିକ୍ |
ਐਂਟੀਡੋਟਾ,ପ୍ରତିକାର
ਐਂਟੀਆਕਸੀਡੈਂਟਸ,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |
Antitoxin,ଆଣ୍ଟିଟୋକ୍ସିନ୍ |
ਐਨਾਬੁਲਸ,ବ୍ରହ୍ମାଣ୍ଡ
Aphid,ଆପିଡ୍ |
Apical ਮੁਕੁਲ,ଆପିକାଲ୍ ଗୁଣ୍ଡ |
ਏਪਿਕਲ ਦਬਦਬਾ,ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |
Apsiculturuet (ਮਧੂ ਮੱਖੀ ਰੱਖਣ),ଆପିକାଲ୍ଟର୍ (ମହୁମାଛି ରଖିବା)
ਅਪੋਮਿਕਸ,ଆପୋମିକ୍ସସ୍ |
ਅਪੋਪੋਟੋਸਿਸ,ଆପୋଟୋଏସ୍
ਅੰਤਿਕਾ,ଅନୁକ୍ରମଣିକା
ਭੁੱਖ,ଭୋକକାରୀ
ਲਾਗੂ ਕੀਤਾ,ପ୍ରୟୋଗ କରାଯାଏ |
ਐਕੁਆਟਿਕ ਬੂਟੀ,ଜଳୀୟ ତୃଣ
ਅਰਬੋਰੀਅਲ,ଅର୍ବ୍ରାଲ୍ |
ਅਰਬਰਾਈਜ਼ੇਸ਼ਨ,ସ୍ଥାପନ |
ਏ ਆਰਚਿਓ-ਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ,ପ୍ରତ୍ନତାତ୍ତ-ବଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |
ਖੇਤਰ ਦੇ ਅੰਕੜੇ,କ୍ଷେତ୍ର ପରିସଂଖ୍ୟାନ
ਖੇਤਰ,କ୍ଷେତ୍ର
ਐੱਫ.ਡੀ.ਆਈ.,ARID ECOSYSem |
ਅਰਿਲ,ଅରିଲ୍
ਖੁਸ਼ਬੂ,ସୁଗନ୍ଧ
ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ,ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |
ਖੁਸ਼ਬੂਦਾਰ ਚਾਵਲ,ସୁଗନ୍ଧିତ ଚାଉଳ |
ਐਰੋਇੰਗ,ତୀର
Espesisis,ଆସେସିସ୍
Sseptic,ଅଭିଯୁକ୍ତ
ਅਸਪਸ਼ਟ ਪ੍ਰਸਾਰ,ଶ୍ୱେକାର ପ୍ରଚାର
ਅਨੀ,ଆମ୍ପେ
ਸੰਪਤੀ,ସମ୍ପତ୍ତି
ਸਹਿਯੋਗ,ଆସିମେଇର |
ਐਸੋਸੀਏਸ਼ਨ,ସଙ୍ଗଠନ
ਤੂਫਾਨੀ,Astringent
ਅਸਟੀਪਿਸਿਸ,ଆସନାପାସୀ |
ਅਟਵੀਵਾਦ,ସଂଲଗ୍ନବାଦ
ਐਟੋਮਾਈਜ਼ਰ,ପରମାଣିଜର
ਸ਼ੋਸ਼ਣ,ଆଟ୍ରୋଫି |
ਆਟੋਗ੍ਰਾਮ,ଅଟୋଗାମି |
ਆਟੋਲਿਸਸਿਸ,ଅଟଲିସିସ୍ |
ਆਟੋਮਿਡੇਸ਼ਨ,AroutDation
ਆਟੋਪਲਿਪਲਾਈਡ,ଅଟୋପୋଲାପ୍ଲୋଡ୍ |
Auxins,Auxins
ਅੱਲ (ਬ੍ਰਿਸਟਲ),Awn (ବ୍ରଷ୍ଟଲ୍)
ਬਦਾਮ,ବାଦାମ |
ਐਲੋ,ଆଲୋ
ਅਮੈਸ਼ਨਥਸ,ଅମରାନ୍ତିନ |
ਅਮਮੀ,ଆମି
ਅੰਜਨ ਘਾਹ,ଅଜାନର ଘାସ |
ਐਂਥਿਰੀਅਮ,ଆଠର୍ିୟମ୍ |
"ਅੋਂਲਾ, ਇੰਡੀਅਨ ਕਰੌਦਾ","ଆଲୋଲା, ଭାରତୀୟ ଗୋଲାକାର |"
ਸੇਬ,ଆପଲ୍
ਖੜਮਾਨੀ,ଆପ୍ରିକେଟ୍ |
ਅਰਬੀਅਨ ਜੈਸਮੀਨ,ଆର୍ବିଆନ୍ ଜସ୍ମିନ୍ |
ਅਰੇਕਾ ਗਿਰੀਦਾਰ,Areca but
ਅਰਜੁਨ,ଅର୍ଜନୁନ୍
ਓਡੋਏਟਿਡਾ,ଆସଫୋଏଡା
ਸੁਆਹ,ପାଉଁଶ ଗୁଣ୍ଡ |
ਅਸ਼ੋਕ ਦਾ ਰੁੱਖ,ଅଶୋକା ଗଛ |
ਅਸ਼ਥਮਾ ਬੂਟੀ (ਯੂਫੋਰਬੀਆ),ଅଶମ୍ମା ତୃଣକ (ଇଫୋରିୟା)
ਐਸਪੈਰਾਗਸ,ଅସରପା
ਆਵਾਕੈਡੋ,ଆଭୋକାଡୋ |
ਅਲਫਾਲਫਾ (LUSEREN),ଆଲଫାଲଫା (ଲୁସେର୍ନ)
ਕੀੜੀਆਂ,ପିମ୍ପୁଡ଼ି
ਐਫੀਡਜ਼,ଆପିଡସ୍ |
ਆਰਮੀ ਕੀੜੀ,ସେନା ପୋକ
ਖੇਤੀਬਾੜੀ ਅਰਥਵਾਦੀ,କୃଷି ଅର୍ଥନୀତିଜ୍ଞ
ਖੇਤੀਬਾੜੀ ਵਿਸਤ੍ਰਿਤ,କୃଷି ବିସ୍ତାରବାଦୀ |
ਖੇਤੀਬਾੜੀ ਵਿਗਿਆਨੀ,କୃଷି ବ scientist ଜ୍ଞାନିକ |
ਖੇਤੀਬਾੜੀ ਇੰਜੀਨੀਅਰ,କୃଷି ଅଞ୍ଜିନକାରୀ |
ਅਗਾਹੀਵੌਇਲੋਜਿਸਟ,Agrobiooglist
ਖੇਤੀਬਾਮੀ,ସହଯୋଗୀ
ਅਸ਼ੋਲੀ,Agropsicsicst
ਜਾਨਵਰ ਬ੍ਰੀਡਰ,ପଶୁ ପ୍ରଜନକ |
ਬੇਸਿਲਸ ਵਾਇਰਸ,ବାକିଲସ୍ ଭାଇରସ୍ |
ਬੈਸੀਲਸ,ବାଣ୍ଡିଲସ୍ |
ਬੈਕਟੀਰੀਆ,ଜୀବାଣୁ
ਬੈਕਟੀਰੋਅਟੌਕਸਿਨ,ବିରାଇଓଟୋକ୍ସିନ୍ |
ਬੈਗਸ,ବାଗାସେସ୍ |
ਸੰਤੁਲਨ ਸ਼ੀਟ,ତୂଳନା ପତ୍ର
ਸੰਤੁਲਿਤ ਖਾਦ,ସନ୍ତୁଳିତ ଫର୍ଟିଲାଇଜେସନ୍ |
ਬਾਰ ਡਾਇਗਰਾਮ,ବାର୍ ଚିତ୍ର |
ਸੱਕ,ଭୁକିବା |
ਬੈਰੋਮੀਟਰ,ବାରୋମିଟର |
ਬੰਜਰ,ବନ୍ଧ୍ୟା
ਅਧਾਰ,ଆଧାର
ਬੇਸਿਨ,ବାସନ
ਬਾਸਿਪਟਲ,ପରଫିପାଲ୍ |
ਬਾਸੈਸਟਰਨੀਮ,ଆଧାର ତୁଲମ୍ |
ਬੇ ਮਾਨਸੂਨ,ବାଇ ମ so ସୁମୀ |
ਬੇਅਰਿੰਗ ਪੌਦਾ,ଉଦ୍ଭିଦ ବହନ
ਬਿਸਤਰੇ,ଶଯ୍ୟା
ਬੇਡਰ,ଶଯ୍ୟା
ਬਿਸਤਰੇ,ଶଯ୍ୟା
ਬੀਟ ਗੁੜ,ବିଟ୍ ଗୁଣ୍ଡ |
ਝੁਕੋ,ଘଣ୍ଟି
ਬੈਲਟ,ବେଲ୍ଟ
ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
ਪੱਖਪਾਤੀ (ਸੈਂਲਿੰਗ),ପକ୍ଷପାତ (ନମୁନା)
ਬਨੀਅਲ,ବିଏନୋନିଆଲ୍
ਬਿਨੀਮਾਇਲ,Binomial
ਬਾਇਓਜੈਂਟ,ବାୟୋଲାଇଜେଣ୍ଟ |
ਬਾਇਓਸੈਲਮੇਟ,ବାୟୋସେଡିକ୍ |
ਬਾਇਓਨੇਰਜੀ,ବାୟୋହୀ
ਬਯਨੋਮਿਕਸ,ବାୟୋନୋମିକ୍ସ |
ਬਾਇਓਰੇਟਰ,ବାୟୋରାକ୍ଟର
ਬਾਇਓਸਪੇਅਰ,ବାୟୋସଫିର୍
ਬਾਇਓਟਿਕ,ବାୟୋଟିକ୍ |
ਬਾਇਓਟਾਈਪ,ବାୟୋଟାଇପ୍ |
ਲਿੰਗੀ,ବିସେକ୍ସୁଆଲ୍
ਬਲੈਂਚਿੰਗ,ଖାଲି
ਧਮਾਕਾ,ବିସ୍ଫୋରଣ
ਮਿਸ਼ਰਣ,ମିଶ୍ରଣ
ਝੁਲਸਣ,ଶୁକ୍ର
ਛਾਲੇ,ଫୁଲା
ਨੀਲਾ ਇਨਕਲਾਬ,ବ୍ଲୁ ବିପ୍ଳବ
ਤਲ ਗਰਮੀ ਚੈਂਬਰ,ତଳ ଉତ୍ତାପ ଚାମ୍ବର |
ਤਲ ਹੀਟ ਤਕਨੀਕ,ତଳ ଉତ୍ତାପ ଟେକ୍ନିକ୍ |
ਬ੍ਰੈਨ,ଶାଖା
ਸ਼ਾਖਾ,ଶାଖା
ਬ੍ਰੀਚਲੇਟ,ଶାଖା
ਨਸਲ,ପ୍ରଜାତି
ਪ੍ਰਜਨਨ,ପ୍ରଜନନ
ਝਗੜਾ,ଉଜ୍ଜ୍ୱଳ
ਬਰੂਦ,Etod
ਉਭਰਦਾ,ବଡିଙ୍ଗ
ਬਜਟ,ବଜେଟ୍
ਬਫਰ,ବଫର୍
ਬੱਲਬ,ବଲ୍ବ
ਬੈਂਟ,ବଣ୍ଟନ
ਉਪ-ਉਤਪਾਦ,ଉତ୍ପାଦ ଦ୍ୱାରା
ਬਾਬੂਬਦ ਬੱਬੀ,ବାବୁଲ ଆକାସିଆ |
ਬੇਬੀ ਮੱਕੀ,ଶିଶୁ ମକା |
ਬਾਲ,ବାଥ୍
ਬਿਲ,ବିଲ୍
ਬਾਲਸਮ,ବାଲସାମ
ਬਾਂਸ,ବାଉଁଶ
ਕੇਲਾ,କଦଳୀ
ਬੈਨੀਅਨ ਦਾ ਰੁੱਖ,ବାନିଆନ୍ ଗଛ |
ਜੌ,ବାର୍ଲି
ਬਾਰਨੀਅਰ ਬਾਜਰੇ,ବରଗାର୍ଡ ମିଲେଟ୍ |
ਤੁਲਸੀ,ବେସନ
ਬਾਸਟਰਡ ਸੀਡਰ,ବଷ୍ଟାର୍ଡ ​​ଏରସ
ਬਾਸਟਰਡ ਮਾਈਰੋਬੇਲਾ,ବଷ୍ଟାର୍ଡ ​​ମିରୋବଲାନ୍ |
Bauhinia,ବାହୁଏସିଆ
ਬੇ ਬੇਰੀ,ଦୁ very ଖଦ
ਬੀਨ,ବିନ୍
ਚੁਕੰਦਰ,ବିଲାତି
ਬੇਲਾਡੋਨਾ,ବେଲାଣ୍ଡୋନା
ਬੇਰ,ହେ
ਸੋਰਸਮ,Berseim
ਸੁਪਾਰੀ,Beelt
ਬਿਲੀਮਬੀ,ବିଲିମ୍ବି
ਕੌੜਾ ਬੈਰ,ତିକ୍ତ ଗୁଣ୍ଡ |
ਕਾਲਾ ਗ੍ਰਾਮ,କଳା ଗ୍ରାମ
ਕਾਲੀ ਨਾਈਟਸੈਡ,କଳା ନାଇଟ୍ଶେଡ୍ |
ਬੌਗੇਨਵਿਲੇਸਾ,ବଗିନିଭିଆ |
ਬੋਤਲ ਬੁਰਸ਼,ବୋତଲ ବ୍ରଶ |
ਬੋਤਲ ਬਘਿਆੜ,ବୋତଲ ଗୋବଲଙ୍କ |
ਬਾਕਸ ਲੜੀ,ବାକ୍ସ ଗଛ
ਬਰੈੱਡ ਫਲਾਂ,ରୁଟି ଫଳ
ਵਿਆਹ ਦੀ ਨਿੰਬੂ,Bridal creper
ਬ੍ਰਿੰਜਲ,ବ୍ରିନଜାଲ୍ |
ਬ੍ਰੌਡ ਬੀਨ,ବ୍ରଡ୍ ବିନ୍ |
ਬ੍ਰੋ CC ਓਲਿ,ବ୍ରୋକୋଲି
ਬ੍ਰਸੇਸਲ ਦਾ ਫੁੱਟ,ବ୍ରସେଲର ସ୍ପ୍ରୁଟ୍ |
ਬੱਕਵੈਟ,ବାଲକ୍ୟୁଟ
ਬੁਟੀਆ,ବଟି
ਬੈਂਡਿਕੋਟ,ବ୍ୟାଣ୍ଡିକୋଟ୍ |
ਰਿੱਛ,ଭାଲୁ
ਬੀਟਲ,ପୋକ
ਛਾਲੇ ਬੀਟਲ,ବ୍ଲିଷ୍ଟର ବିଟଲ୍ |
ਨੀਲਾ ਬੁੱਲ,ନୀଳ ଷଣ୍। |
ਬੁਲ ਕੀੜਾ,ବୋଲ୍ ପୋକ
ਬਟਰਫਲਾਈ,ପ୍ରଜାପତି
ਜੀਵਾਣੂ-ਵਿਗਿਆਨੀ,ଜୀବାଣୁ ବିଶେଷଜ୍ଞ |
ਬਾਇਓਕੈਮਿਸਟ,ବାୟୋକେମିଷ୍ଟ |
ਜੀਵ ਵਿਗਿਆਨੀ,ଜୀବବିଜ୍ଞାନୀ |
ਬਾਇਓਟੈਕਨੋਲੋਜਿਸਟ,ବାୟୋଟଚନୋଲୋଜିଷ୍ଟ
ਬੋਟੈਨਿਸਟ,ଉଦ୍ଭିଦଦାତା
ਸੀ ਨਮੀ ਦੇ ਗੁਣ,C ଆର୍ଦ୍ରତା ଚରିତ୍ରିକ ବକ୍ର |
ਕੇਕ,ପିଠା
ਕੈਲਕਿਸ,ସହଭାଗୀ
ਕੈਲਸੀਫਿਕੇਸ਼ਨ,କାଲସିଫିକେସନ୍ |
ਫਾਸਫੇਟ ਦਾ ਹਿਸਾਬ,ଫସଫେଟର କାଲକେଣ୍ଟ |
ਕਲੇਸ਼,ଚତୁରତା
ਕਾਲਸ,କୁଲସ୍
ਕੈਲੀਕਸ,କାଲିକ୍ସ
ਕੈਲੀਕਸ-ਐਂਡ,କାଲିକ୍ସ-ଏଣ୍ଡ |
ਕੈਮਬੀਅਮ,କାମ୍ବିୟମ୍
ਕੈਨਕਰ,କାକର
ਕੈਨਿੰਗ,କ୍ୟାନିଂ
ਕੈਨੋਪੀ,ଛାତ
ਪੂੰਜੀ,ପୁଞ୍ଜି
ਕੈਪਟੇਸ਼ਨ,କାଗଶ
ਕੈਪਸੂਲ,Capsule
ਕਾਰਬੋਨੇਟਡ,କାର୍ବନ୍ରେଟେଡ୍ |
ਕਾਰਬੋਨਾਈਜ਼ੇਸ਼ਨ,କାର୍ବୋନିଅନାଇଜେସନ୍ |
ਕਾਰਪਲ,କାର୍ପେଲ
ਕਾਰਪਸ,କାର୍ପସ୍ |
ਕਾਸਟਿੰਗ,କାଷ୍ଟିଂ
ਕੈਟਾਬੋਲਿਜ਼ਮ,କାଟାବୋଲିଜିମ୍ |
ਉਤਪ੍ਰੇਸਿਆ,କାଟାଲିସିସ୍ |
ਕੇਟਰਪਿਲਰ,କୀଟପତଙ୍ଗ
ਸੀ-ਡੀ ਐਨ ਏ ਲਾਇਬ੍ਰੇਰੀ,C- DNA ଲାଇବ୍ରେରୀ |
ਛੱਤ,ଛାତ
ਸੈੱਲ,କକ୍ଷ
ਕੇਂਦਰੀ ਲੀਡਰ ਸਿਸਟਮ,କେନ୍ଦ୍ରୀୟ ନେତା ବ୍ୟବସ୍ଥା |
ਕੇਂਦਰਿਤ,ସେଣ୍ଟ୍ରିକ୍ |
ਸੈਂਟਰਿਫੁਗਾਸ਼ਨ,ଶତକଡ଼ା
ਸੈਂਟਰਿਫਿ ize ਜ,ସେଣ୍ଟ୍ରିଫେଜ୍ |
ਸੈਂਟਰਿਓਲ,ସେଣ୍ଟ୍ରିଓନ୍ |
CentRogenic,ସେଣ୍ଟ୍ରୋଜେନିକ୍ |
ਸੈਂਟੀਗਨੌਜ਼,ସେଣ୍ଟ୍ରୋଜେନସ୍ |
ਚੱਕਰ,କୀପତି
ਅਨਾਜ,ଶସ୍ୟ
ਸਰਟੀਫਿਕੇਸ਼ਨ,ପ୍ରମାଣପତ୍ର
ਪ੍ਰਮਾਣਿਤ ਬੀਜ,ସାର୍ଟିଫାଏଡ୍ ବିହନ |
ਤੂਫਾਨ,ଚାଉଳ
ਚਮਜ਼ਾ,ଚେଲାଜା |
ਮੈਕੌਟ੍ਰੋਜ਼ਿਜ਼ਮ,କେମୋଟ୍ରୋପିମ୍ |
ਚਿਆਸਮਾ,ଚିୟମା
ਚਿਲਿੰਗ ਘੰਟੇ,ଥଣ୍ଡା ଘଣ୍ଟା |
ਸੱਟ ਲੱਗ ਰਹੀ ਸੱਟ,ଚିଲିଂ ଆଘାତ |
Chimera,ଚିମେରା |
ਚਲੋਟਰੈਠੀ,ଚୋରାନେଣ୍ଟି |
ਕਲੋਰੋਫਿਲ,କ୍ଲୋରୋଫିଲେଲ୍ |
ਕਲੋਰੋਸਿਸ,ଚୋରୋରୋସାଇସ୍
ਕਲੋਰੋਲੋਜੀ,ଚୋରୋରୋଲୋଜି |
Chrimindidd,କ୍ରୋମାମାସିଡ୍ |
ਕ੍ਰੋਮੈਟਿਨ,ଚ୍ରୋମାଟିନ୍ |
ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,ଚ୍ରୋମାଟୋଗ୍ରାଫି
ਕ੍ਰੋਮੈਟੋਲਸਿਸ,ଚୋରମାଟୋଲିଆସିସ୍
ਕ੍ਰੋਮੋਸੀਸਟਰ,କ୍ରୋମେଣ୍ଟ୍ରେ |
ਕ੍ਰੋਮੋਜੇਨੇਸਿਸ,ଚେରମୋଲେନ୍ସେସ୍
ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ,କ୍ରୋମ୍ରୋପ୍ରୋଇଟେନ୍ |
ਕ੍ਰੋਮੋਸੋਮ,କ୍ରୋମୋଜୋମ୍
ਦੀਰਘ,କ୍ରନିକ୍
ਸਾਇੰਗ,କୃଷି
ਕਲੇਡਡ,କ୍ଲାନ୍ତ
ਵਰਗੀਕਰਣ,ବର୍ଗୀକରଣ
ਮਿੱਟੀ,ମାଟି
ਸਫਾਈ,ସଫା କରିବା
