Tamil,Bengali
தோராயமான பிரச்சனை,আনুমানিক সমস্যা
தோராயமான சொத்து,আনুমানিক সম্পত্তি
திறன் சோதனை பேட்டரி,যোগ্যতা পরীক্ষার ব্যাটারি
அர்காண்ட் வரைபடம்,Argand ডায়াগ্রাম
தன்னிச்சையாக தேர்வு,নির্বিচারে নির্বাচিত
தன்னிச்சையான,ইচ্ছামত
தன்னிச்சையான மாறிலி,নির্বিচারে ধ্রুবক
தன்னிச்சையான உறுப்பு,নির্বিচারে উপাদান
தன்னிச்சையான புள்ளி,নির্বিচারে পয়েন্ট
ஆர்க்கிமிடியன் சட்டம்,আর্কিমিডিয়ান আইন
ஆர்க்கிமிடிஸ் கொள்கை,আর্কিমিডিসের নীতি
வில்லின் நீளம்,চাপ দৈর্ঘ্য
வட்ட வில்,বৃত্তের চাপ
ஆர்க் சைன் விநியோகம்,আর্ক সাইন ডিস্ট্রিবিউশন
ஆர்க் சைன் மாற்றம்,চাপ সাইন রূপান্তর
பகுதி,এলাকা
பகுதி அமைப்பு,আঞ্চলিক টেক্সচার
கலப்பு எண்ணின் வாதம்,জটিল সংখ্যার যুক্তি
எண்கணித சராசரி,গাণিতিক গড়
எண்கணித செயல்பாடு,গাণিতিক অপারেশন
எண்கணித அலகு,পাটিগণিত একক
ஏற்பாடு,ব্যবস্থা
வரிசை,অ্যারে
செயற்கை செயற்கைக்கோள்,কৃত্রিম উপগ্রহ
செயற்கை மாறி,কৃত্রিম পরিবর্তনশীল
ஏறும்,আরোহণ
ஏறும்,আরোহী
அளவின் ஏறுவரிசை,মাত্রার আরোহী ক্রম
ஏறுவரிசை தொடர்,আরোহী সিরিজ
அசெம்பிளர் மொழி,সংযোজনকারী ভাষা
பணி நியமன பிரச்சனை,নিয়োগ সমস্যা
துணை சட்டம்,সহযোগী আইন
ஆபரேட்டர்களின் துணை சட்டம்,অপারেটরদের সহযোগী আইন
துணை செயல்பாடு,সহযোগী অপারেশন
கூட்டுறவு,সহযোগীতা
சராசரியாக கருதப்படுகிறது,ধরে নেওয়া গড়
நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது,অনুমান সম্ভাব্যতা বন্টন
அனுமானம்,ধৃষ্টতা
ஜோதிடம்,জ্যোতিষশাস্ত্র
விண்வெளி பொறியாளர்,মহাকাশচারী প্রকৌশলী
வானியலாளர்,জ্যোতির্বিজ্ঞানী
வானியல் கடிகாரம்,জ্যোতির্বিদ্যা ঘড়ি
வானியல்,জ্যোতির্বিদ্যা
சமச்சீரற்ற வளைவு,অপ্রতিসম বক্ররেখা
சமச்சீரற்ற தன்மை,অসমতা
அறிகுறியற்றது,উপসর্গ
அறிகுறியற்ற,অ্যাসিম্পোটিক
அறிகுறியற்ற திறமையான மதிப்பீட்டாளர்,লক্ষণগতভাবে দক্ষ অনুমানকারী
அறிகுறியற்ற பாரபட்சமற்ற மதிப்பீட்டாளர்,asymptotically নিরপেক্ষ অনুমানকারী
அறிகுறியற்ற நடத்தை,অ্যাসিম্পোটিক আচরণ
அறிகுறியற்ற விநியோக செயல்பாடு,অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন
அறிகுறியற்ற விரிவாக்கம்,অ্যাসিম্পোটিক সম্প্রসারণ
வளிமண்டல அழுத்தம்,বায়ুমণ্ডলীয় চাপ
சீரற்ற முறையில்,এলোমেলোভাবে
பண்பு,বৈশিষ্ট্য
மாதிரி செயல்முறை பண்புகளை,বৈশিষ্ট্য নমুনা পদ্ধতি
பெரிதாக்கப்பட்ட அணி,অগমেন্টেড ম্যাট্রিক্স
தன்னியக்க தொடர்பு குணகம்,স্বয়ংক্রিয় সম্পর্ক সহগ
தன்னியக்க தொடர்பு செயல்பாடு,স্বয়ংক্রিয় সম্পর্ক ফাংশন
தன்னியக்க மாறுபாடு,স্বয়ংক্রিয়তা
தானியங்கி கணினி,স্বয়ংক্রিয় কম্পিউটার
தன்னியக்க பின்னடைவு,অটোরিগ্রেশন
துணை சமன்பாடு,সহায়ক সমীকরণ
சராசரி மாதிரி எண் வளைவு (ASN வளைவு),গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ)
கோட்பாடு,স্বতঃসিদ্ধ
அச்சு அணுகுமுறை,স্বতঃসিদ্ধ পদ্ধতি
நிகழ்தகவு கோட்பாடு,সম্ভাব্যতার স্বতঃসিদ্ধ
அச்சு,অক্ষ
abscissa அச்சு,আবসিসার অক্ষ
பூமியின் அச்சு,পৃথিবীর অক্ষ
புரட்சியின் அச்சு,বিপ্লবের অক্ষ
சுழற்சியின் அச்சு,ঘূর্ণনের অক্ষ
சுழற்சியின் அச்சு,ঘূর্ণনের অক্ষ
பின்-மாற்று,ফিরে প্রতিস্থাপন
பின்தங்கிய வேறுபாடு,পশ্চাদপদ পার্থক্য
பின்தங்கிய இடைக்கணிப்பு சூத்திரம்,পশ্চাদগামী-ইন্টারপোলেশন সূত্র
சமநிலை,ভারসাম্য
சீரான வடிவமைப்பு,সুষম নকশা
இருப்புநிலை,ব্যালেন্স শীট
பாலிஸ்டிக் ஏவுகணை,ক্ষেপণাস্ত্র
பாலிஸ்டிக்ஸ்,ব্যালিস্টিক
மதுக்கூடம்,বার
அடித்தளம்,ভিত্তি
அடிப்படை கோணம்,ভিত্তি কোণ
மடக்கையின் அடிப்படை,লগারিদমের ভিত্তি
அடிப்படை,মৌলিক
அடிப்படை சாத்தியமான தீர்வு,মৌলিক সম্ভাব্য সমাধান
அடிப்படை தீர்வு,মৌলিক সমাধান
அடிப்படை மாறி,মৌলিক পরিবর্তনশীল
அடிப்படையில்,ভিত্তি
அடிப்படை உறுப்பு,ভিত্তি উপাদান
அடிப்படை அணி,ভিত্তি ম্যাট্রিক্স
ஒரு திசையன் இடத்தின் அடிப்படை,একটি ভেক্টর স্থান ভিত্তি
துணைவெளியின் அடிப்படை,সাবস্পেস ভিত্তি
பேய்சியன் மதிப்பீடு,Bayesian অনুমান
பேய்ஸ் சட்டம்,বেইস আইন
பேய்ஸ் தேற்றம்,বেইসের উপপাদ্য
பெர்னோலி விநியோகம்,বার্নোলি বিতরণ
பெர்னோலி எண்,বার্নোলি নম্বর
பெர்னோலி நிகழ்தகவு செயல்பாடு,Bernoulli সম্ভাব্যতা ফাংশন
பெர்னோலியின் சமன்பாடு,বার্নউলির সমীকরণ
பெர்ரி செயல்பாடு,বেরি ফাংশন
சிறந்த பொருத்தம்,শ্রেষ্ঠ মিল
சிறந்த பொருத்தம் வரி,সেরা - ফিট লাইন
சிறந்த தீர்வு,সেরা সমাধান
சிறந்த உத்திகள்,সেরা কৌশল
பீட்டா விநியோகம்,বিটা বিতরণ
சார்பு,পক্ষপাত
பாரபட்சமான மதிப்பீடு,পক্ষপাতমূলক অনুমান
பைஹார்மோனிக் சமன்பாடு,বিহারমোনিক সমীকরণ
பிஜேக்ஷன்,দ্বিখণ্ডন
இருமுனை வரைபடம்,দ্বিমুখী মানচিত্র
பைஜெக்டிவ் மேப்பிங்,দ্বিমুখী ম্যাপিং
இருகோடி வடிவம்,বাইলিনিয়ার ফর্ম
இருமுனை செயல்பாடு,বাইলিনিয়ার ফাংশন
இருமுனை ஹெர்மிடியன் வடிவம்,বাইলিনিয়ার হারমিটিয়ান ফর্ম
பைனரி,বাইনারি
பைனரி குறியீடு,বাইনারি কোড
பைனரி குறியிடப்பட்ட தசம,বাইনারি কোডেড দশমিক
பைனரி குறியீட்டு முறை,বাইনারি কোডিং
பைனரி கணினி,বাইনারি কম্পিউটার
பைனரி இலக்கம்,বাইনারি সংখ্যা
பைனரி செயல்பாடு,বাইনারি অপারেশন
பைனரி அமைப்பு,বাইনারি সিস্টেম
பைனரி மாறி,বাইনারি পরিবর্তনশীল
ஈருறுப்புக் குணகம்,দ্বিপদ সহগ
இருவகைப் பரவல்,দ্বিপদ ডিস্ট্রিবিউশন
ஈருறுப்புச் சமன்பாடு,দ্বিপদ সমীকরণ
ஈருறுப்பு விரிவாக்கம்,দ্বিপদ সম্প্রসারণ
ஈருறுப்பு வெளிப்பாடு,দ্বিপদ অভিব্যক্তি
ஈருறுப்பு சீரற்ற மாறி,দ্বিপদী র্যান্ডম পরিবর্তনশীল
ஈருறுப்பு தேற்றம்,দ্বিপদ উপপাদ্য
இரு பிரிவு,দ্বিখণ্ডন
பிரித்தல் முறை,দ্বিখণ্ডিত পদ্ধতি
இருவகை,দ্বিখণ্ডিত
இருமுறை,biserial
பிட்,বিট
இருவகை இருவகைப் பரவல்,দ্বিপদ দ্বিপদ বণ্টন
இருவகை தொடர்பு குணகம்,bivariate পারস্পরিক সম্পর্ক সহগ
இருவகை விநியோகம்,দ্বিমুখী বন্টন
இருவகை சாதாரண விநியோகம்,দ্বিমুখী স্বাভাবিক বন্টন
பைவெக்டர்,bivector
போல்ட்ஸ்மேன் சமன்பாடு,বোল্টজম্যান সমীকরণ
பூலியன் இயற்கணிதம்,বুলিয়ান বীজগণিত
போஸ் - ஐன்ஸ்டீன் புள்ளிவிவரங்கள்,বোস-আইনস্টাইন পরিসংখ্যান
எல்லை நிலை,সীমানার অবস্থা
எல்லை அடுக்கு,সীমানা স্তর
எல்லைக் கோடு,সীমান
எல்லை மதிப்பு,সীমানা মান
எல்லை மதிப்பு பிரச்சனை,সীমানা মান সমস্যা
வரையறுக்கப்பட்ட செயல்பாடு,আবদ্ধ ফাংশন
கட்டுப்பட்ட அணி,আবদ্ধ ম্যাট্রিক্স
எல்லைக்குட்பட்ட பகுதி,আবদ্ধ অঞ্চল
வரையறுக்கப்பட்ட தொகுப்பு,আবদ্ধ সেট
பிரவுனிய இயக்கம்,ব্রোমিন
கணக்கிட,গণনা করা
கணக்கிடுகிறது,গণনা করা
கணக்கிடும் இயந்திரம்,গননা যন্ত্র
கணக்கீடு,গণনা
கணக்கீட்டு செயல்முறை,গণনা পদ্ধতি
கால்குலேட்டர்,ক্যালকুলেটর
கால்குலஸ்,ক্যালকুলাস
மாறுபாட்டின் கணக்கீடு,পরিবর্তনের ক্যালকুলাস
கலோரி,ক্যালোরি
ரத்து சட்டம்,বাতিল আইন
நியமன சமன்பாடு,ক্যানোনিকাল সমীকরণ
நியமன வடிவம்,ক্যানোনিকাল ফর্ম
நியமன அணி,ক্যানোনিকাল ম্যাট্রিক্স
கேன்டர் செட்,ক্যান্টর সেট
கேண்டரின் மும்முனைத் தொகுப்பு,Cantor এর ত্রিনারি সেট
திறன் கொண்ட போக்குவரத்து பிரச்சனை,ক্যাপাসিটেড পরিবহন সমস্যা
திறன்,ক্ষমতা
தந்துகி விசை,কৈশিক বল
கார்டினல் எண்,অঙ্কবাচক সংখ্যা
கார்ட்டீசியன் அச்சுகள்,কার্টেসিয়ান অক্ষ
கார்ட்டீசியன் ஆயத்தொகுப்புகள்,কার্টেসিয়ান স্থানাঙ্ক
கார்ட்டீசியன் தயாரிப்பு,কার্টিজিয়ান পণ্য
தொகுப்புகளின் கார்ட்டீசியன் தயாரிப்பு,সেটের কার্টেসিয়ান পণ্য
வழக்கு ஆய்வு,কেস স্টাডি
பேரழிவு ஏற்ற இறக்கம்,বিপর্যয়কর ওঠানামা
கேடனரி,ক্যাটেনারি
காச்சி விநியோகம்,কচি বন্টন
கௌச்சி சூத்திரம்,কচি সূত্র
Cauchy Goursat தேற்றம்,Cauchy Goursat উপপাদ্য
Cauchy Rimann நிபந்தனைகள்,কচি রিম্যানের শর্ত
கௌச்சி வரிசை,কচি সিকোয়েন্স
Cauchy ஒருங்கிணைந்த,কচি অবিচ্ছেদ্য
Cauchy முதன்மை மதிப்பு,কচি প্রধান মান
கௌச்சி எச்ச தேற்றம்,কচি অবশিষ্টাংশ উপপাদ্য
கெய்லி ஹாமில்டன் தேற்றம்,কেলি হ্যামিল্টন উপপাদ্য
வானுலக,স্বর্গীয় শরীরের
வான அளவீடு,স্বর্গীয় পরিমাপ
வான இயக்கவியல்,স্বর্গীয় বলবিদ্যা
வான பொருள்,মহাকাশীয় বস্তু
செல் அலைவரிசை,সেল ফ্রিকোয়েন্সি
மக்கள் தொகை கணக்கெடுப்பு,জনগণনা
சென்டைல்,সেন্টিল
சென்டிமீட்டர்,সেন্টিমিটার
சென்டிமீட்டர் கிராம் இரண்டாவது அமைப்பு,সেন্টিমিটার গ্রাম দ্বিতীয় সিস্টেম
மத்திய,কেন্দ্রীয়
மைய அச்சு,কেন্দ্রীয় অক্ষ
மைய வேறுபாடு,কেন্দ্রীয় পার্থক্য
மைய வேறுபாடு சூத்திரம்,কেন্দ্রীয় পার্থক্য সূত্র
மைய வேறுபாடு அட்டவணை,কেন্দ্রীয় পার্থক্য টেবিল
மத்திய வரம்பு தேற்றம்,কেন্দ্রীয় সীমা উপপাদ্য
மைய தருணம்,কেন্দ্রীয় মুহূর্ত
மத்திய செயலாக்க அலகு (CPU),কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU)
மைய போக்கு,কেন্দ্রীয় প্রবণতা
மையம்,কেন্দ্র
ஈர்ப்பு மையம்,মাধ্যাকর্ষণ কেন্দ্র
குழுவின் மையம்,দলের কেন্দ্র
வெகுஜன மையம்,ভর কেন্দ্র
சமச்சீர் மையம்,প্রতিসাম্য কেন্দ্র
மையவிலக்கு விசை,অপকেন্দ্র বল
மையவிலக்கு விசை,কেন্দ্রমুখী বল
மையப்பகுதி,ভরকেন্দ্র
உறுதி,নিশ্চিততা
cgs அமைப்பு,সিজিএস সিস্টেম
cgs அலகு,সিজিএস ইউনিট
வேறுபாட்டின் சங்கிலி விதி,পার্থক্যের চেইন নিয়ম
வாய்ப்பு காரணங்கள்,সুযোগ কারণ
வாய்ப்பு நகர்கிறது,সুযোগ চলে যায়
அச்சுகளின் மாற்றம்,অক্ষ পরিবর্তন
அடிப்படை மாற்றம்,ভিত্তি পরিবর্তন
ஒழுங்கு மாற்றம்,আদেশ পরিবর্তন
பண்பு குணகம்,বৈশিষ্ট্য সহগ
தீர்மானிக்கும்,নির্ধারক
சிறப்பியல்பு சமன்பாடு,চরিত্রগত সমীকরণ
பண்பு செயல்பாடு,চরিত্রগত ফাংশন
மடக்கையின் சிறப்பியல்பு,লগারিদমের বৈশিষ্ট্য
பண்பு பல்லுறுப்புக்கோவை,চরিত্রগত বহুপদ
பண்பு மதிப்பு,বৈশিষ্ট্যগত মান
பண்பு திசையன்,চরিত্রগত ভেক্টর
எழுத்துத் தொகுப்பு,অক্ষর সেট
விளக்கப்படம்,চার্ট
சி-சதுர விநியோகம்,চি-স্কয়ার বিতরণ
சி-சதுர சூத்திரம்,চি-বর্গাকার সূত্র
சி-சதுர சோதனை,চি-স্কয়ার পরীক্ষা
நாண்,জ্যা
நாண்-பிரித்தல் முறை,জ্যা-দ্বিখণ্ডন পদ্ধতি
மறைக்குறியீடு செய்தி (=குறியிடப்பட்ட செய்தி),সাইফার বার্তা (=কোডেড বার্তা)
மறைக்குறியீடு (பூஜ்ஜியம்),সাইফার (শূন্য)
வட்டம்,বৃত্ত
ஒன்றிணைந்த வட்டம்,অভিসার বৃত্ত
சுற்று அணி,সার্কিট ম্যাট্রিক্স
வட்ட,বৃত্তাকার
வட்ட அறிகுறி,বৃত্তাকার অ্যাসিম্পটোট
வட்ட சுருளி,বৃত্তাকার হেলিক্স
வட்ட இயக்கம்,বৃত্তাকার গতি
சுற்று மையம்,পরিধি কেন্দ্র
வட்ட வட்டம்,পরিবৃত্ত
சுற்றம்,পরিধি করা
சுற்றத்தார்,পরিধিকৃত
சுற்றப்பட்ட வட்டம்,পরিধিকৃত বৃত্ত
கிளாசிக்கல் கழித்தல் நுட்பம்,ক্লাসিক্যাল ডিডাক্টিভ কৌশল
கிளாசிக்கல் இயக்கவியல்,শাস্ত্রীয় গতিবিদ্যা
கிளாசிக்கல் தேர்வுமுறை,শাস্ত্রীয় অপ্টিমাইজেশান
பாரம்பரிய அழிவு பிரச்சனை,শাস্ত্রীয় ধ্বংস সমস্যা
கிளாசிக்கல் புள்ளியியல் இயக்கவியல்,শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা
பிழைகளின் வகைப்பாடு,ত্রুটির শ্রেণীবিভাগ
வகுப்பு இடைவெளி,ক্লাসের ব্যবধান
வகுப்பு இடைவெளி அலகு,ক্লাস-ব্যবধান ইউনিট
வகுப்பு வரம்பு,শ্রেণীর সীমা
கடிகாரகடிகாரச்சுற்று,ঘড়ির কাঁটার দিকে
குளோபன் (= மூடிய மற்றும் திறந்த),ক্লোপেন (= বন্ধ এবং খোলা)
மூடப்பட்டது,বন্ধ
மூடிய குவிந்த மேலோடு,বদ্ধ উত্তল হুল
மூடிய கன சதுரம்,বন্ধ ঘনক্ষেত্র
மூடிய வளைவு,বন্ধ বক্ররেখা
மூடப்பட்ட டொமைன்,বন্ধ ডোমেইন
மூடிய உருவம்,বন্ধ চিত্র
மூடிய இடைவெளி,বন্ধ ব্যবধান
மூடப்பட்ட பகுதி,বন্ধ অঞ্চল
மூடிய தொகுப்பு,বন্ধ সেট
மூடிய மேற்பரப்பு,বন্ধ পৃষ্ঠ
மூடல்,বন্ধ
மூடல் ஆபரேட்டர்,বন্ধ অপারেটর
மூடல் புள்ளி (= தொடர்பு புள்ளி),বন্ধ বিন্দু (= যোগাযোগ বিন্দু)
மூடல் நிலைப்பாடு,বন্ধ ঘোষণা
மூடல் தொகுப்பு,বন্ধ সেট
கொத்து புள்ளி,ক্লাস্টার পয়েন্ট
கொத்து மாதிரி,গুচ্ছের আদর্শ
கொத்து தொகுப்பு,ক্লাস্টার সেট
கோஆக்சியல் வட்டங்கள்,সমাক্ষ বৃত্ত
கோஆக்சியல் பரவளையங்கள்,সমাক্ষীয় প্যারাবোলাস
கோஆக்சியல் விமானங்கள்,সমাক্ষ সমতল
கோஆக்சியல் முக்கோணங்கள்,সমাক্ষীয় ত্রিভুজ
கோப் - டக்ளஸ் செயல்பாடு,কোব - ডগলাস ফাংশন
குறியீட்டு முறை,কোডিং
தரவு குறியீட்டு முறை,ডেটা কোডিং
இணை டொமைன்,সহ-ডোমেইন
குணகம் அணி,সহগ ম্যাট্রিক্স
தொடர்பு குணகம்,পারস্পরিক সম্পর্কের সহগ
நிர்ணய குணகம்,সংকল্প সহগ
நெகிழ்ச்சி குணகம்,স্থিতিস্থাপকতার সহগ
விரிவாக்க குணகம்,সম্প্রসারণের সহগ
உராய்வு குணகம்,ঘর্ষণ সহগ
நேரியல் விரிவாக்கத்தின் குணகம்,রৈখিক প্রসারণের সহগ
பின்னடைவின் குணகம்,রিগ্রেশন সহগ
மேற்பரப்பு பதற்றத்தின் குணகம்,পৃষ্ঠ টান সহগ
மாறுபாட்டின் குணகம்,প্রকরণ সহগ
இணைக்காரன்,কোফ্যাক্টর
நாணயம் வீசுதல் (நாணயத்தை வீசுதல்),মুদ্রা নিক্ষেপ (মুদ্রা টস)
மாதிரி சேகரிப்பு,নমুনা সংগ্রহ
கோலினியர்,সমরেখার
ஒற்றுமை,সমরেখা
நெடுவரிசை,কলাম
நெடுவரிசை சமநிலை,কলামের সমতা
நெடுவரிசைக்கு சமமானது,কলাম সমতুল্য
நெடுவரிசைக்கு சமமான அணி,কলাম সমতুল্য ম্যাট্রিক্স
நிரல் அணி,কলাম ম্যাট্রিক্স
நெடுவரிசை தரவரிசை,কলাম র‍্যাঙ্ক
நெடுவரிசை குறைக்கப்பட்ட echolon matrix,কলাম হ্রাস ইকোলন ম্যাট্রিক্স
நெடுவரிசை திசையன்,কলাম ভেক্টর
நெடுவரிசையில்,কলাম অনুসারে
ஒருங்கிணைந்த சமன்பாடு,সম্মিলিত সমীকরণ
பொதுவான கோணம்,সাধারণ কোণ
பொதுவான அச்சு,সাধারণ অক্ষ
பொதுவான அடிப்படை,সাধারণ ভিত্তি
பொதுவான வகுக்கும்,সাধারণ নির্ধারক
பொதுவான வேறுபாடு,সাধারণ পার্থক্য
பொதுவான காரணி,সাধারণ সমস্যা
பொதுவான மடக்கை,সাধারণ লগারিদম
பொதுவான பல,সাধারণ একাধিক
பொதுவான விகிதம்,সাধারণ অনুপাত
பொதுவான பிரிவு,সাধারণ বিভাগ
பொதுவான பக்கம்,সাধারণ দিক
பொதுவான தொடுகோடு,সাধারণ স্পর্শক
