Gujarati,Telugu
હિસાબ,ఖాతా
જવાબદારી,జవాబుదారీతనం
જવાબદાર,జవాబుదారీతనం
હિસાબની સંખ્યા,అకౌంటెన్సీ
હિસાબ રાખનાર,అకౌంటెంట్
માટે એકાઉન્ટ,ఖాతా
હિસાબનું માથું,ఖాతా హెడ్
ઉપાર્જિત લાભ,సేకరించిన ప్రయోజనం
ઉપાર્જિત પેન્શન,పెన్షన్ పెన్షన్
સંચય,చేరడం
ચોકસાઈ,ఖచ్చితత్వం
ચોક્કસ,ఖచ్చితమైనది
આક્ષેપ કરવો,నిందించండి
આરોપી,ఆరోపణలు
સિદ્ધિ,సాధన
સ્વીકૃતિ,గుర్తింపు
સ્વીકૃતિ,రసీదు గడువు
પરિચય,పరిచయము
સંપાદન,సముపార్జన
મુક્તિ,సముపార్జన
કૃત્ય,చట్టం
કાર્યકારી ભથ્થું,నటన భత్యం
ક્રિયા,చర్య
કાર્ય યોજના,కార్య ప్రణాళిక
સક્રિય,క్రియాశీల
સક્રિયપણે,చురుకుగా
સક્રિયકાર્ય,కార్యకర్త
ભગવાનનો કૃત્ય,దైవఘటన
ગેરવર્તન,దుష్ప్రవర్తన చర్య
કમિશન અને કમિશન અને બાદબાકી,కమీషన్ మరియు కమీషన్
વાસ્તવિક,అసలు
વાસ્તવિક,వాస్తవాలు
અનુકૂલન,అనుసరణ
વધારા,అదనంగా
વધારાનો ખર્ચ,అదనపు ఛార్జ్
વધારાના નિધિ,అదనపు ఫండ్
વધારાની અનુદાન,అదనపు గ్రాంట్
વધારાની માહિતી,అదనపు సమాచారం
વધારાનો પગાર,అదనపు వేతనం
ઉમેરો અને ફેરફાર,అదనంగా మరియు మార్పు
સંબોધન,చిరునామా
સંબોધન કરનાર,చిరునామా
સ્વાગતનું સરનામું,స్వాగత చిరునామా
પૂરતું,తగినంత
ને અનુરૂપ બનાવવું,కట్టుబడి
તદર્થ,తాత్కాలిక హాక్
તદર્થપત્ર,తాత్కాలిక దావా
તદર્થ સમિતિ,తాత్కాలిక కమిటీ
તદર્થ વધારો,తాత్కాలిక పెరుగుదల
તદ્દન ચુકવણી,తాత్కాలిక చెల్లింపు
અડીને,ప్రక్కనే
અડીને (= સુસંગત),ప్రక్కనే (= పరస్పర)
મોકૂફી,వాయిదా
મોકૂફીની દરખાસ્ત,వాయిదా చలన
ન્યાયનિર્ણય કરવો,అనుబంధం
ન્યાયનિર્ણય કરવો,తీర్పు
ન્યાયનિર્ણય,తీర్పు
ન્યાયનિધીકરણ કરનાર,న్యాయాధికారి
સમાયોજન,సర్దుబాటు
સંચાલન કરવું,నిర్వహించండి
સોગંદ કરવો,ప్రమాణం చేయండి
વહીવટ,పరిపాలన
ન્યાય પ્રણાલી,న్యాయం యొక్క పరిపాలన
વહીવટી,పరిపాలనా
વહીવટી પગલાં,పరిపాలనా చర్య
વહીવટી મૂલ્યાંકન,అడ్మినిస్ట్రేటివ్ అప్రైసల్
વહીવટી મંજૂરી,పరిపాలనా ఆమోదం
વહીવટી સત્તા,పరిపాలనా అధికారం
વહીવટી નિયંત્રણ,పరిపాలనా నియంత్రణ
વહીવટી નિર્ણય,పరిపాలనా నిర్ణయం
વહીવટી વિભાગ,పరిపాలనా విభాగం
વહીવટી વડા,అడ్మినిస్ట్రేటివ్ హెడ్
વહીવટી મથક,పరిపాలనా ప్రధాన కార్యాలయం
વહીવટી પગલાં,పరిపాలనా చర్యలు
વહીવટી સત્તા,పరిపాలనా శక్తి
વહીવટી મંજૂરી,పరిపాలనా అనుమతి
વહીવટી તકનીક,పరిపాలనా సాంకేతికత
વહીવટી પંચ,అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్
સ્વીકાર્યતા,ప్రవేశం
સ્વીકાર્ય ખર્ચ,ఆమోదయోగ్యమైన వ్యయం
કબૂલવું,అంగీకరించండి
પ્રવેશ કાર્ડ,అడ్మిట్ కార్డ్
સ્વીકૃત,అంగీకరించారు
સલાહ આપવી,సలహా
દત્તક,దత్తత తీసుకున్న వ్యక్తి
અપનાવનાર,దత్తత
દત્તક,దత్తత
પુખ્ત,వయోజన
ભેગ,కల్తీ
વ્યભિચાર,వ్యభిచారం
પુખ્ત મતાધિકાર,వయోజన ఫ్రాంచైజ్
બહાનું,ప్రకటన విలువ
આગળ વધવું,అడ్వాన్స్
અગ્રિમ બુકિંગ,అడ్వాన్స్ బుకింగ్
અગ્રિમ પ્રત,ముందస్తు కాపీ
અગ્રિમ ઈજા,ముందస్తు పెరుగుదల
અગાઉથી ચુકવણી,ముందస్తు చెల్లింపు
પ્રતિકૂળ નોંધ,ప్రతికూల ప్రవేశం
પ્રતિકૂળ નોંધ,ప్రతికూల వ్యాఖ్యలు
પ્રતિકૂળ અહેવાલ,ప్రతికూల నివేదిక
જાહેરખબર,ప్రకటన
સલાહ,సలహా
ચુકવણી,చెల్లింపు సలహా
સલાહકાર સમિતિ,సలహా సమితి
સલાહકાર પરિષદ,సలహా మండలి
હિમાયતી,న్యాయవాది
બાબતો,వ్యవహారాలు
સોગંદનામું,అఫిడవిట్
જોડાણ,అనుబంధం
સમર્થન,ధృవీకరణ
ખાતરીપૂર્વક,ధృవీకరించేది
પરવડી,స్థోమత
ઉપરોક્ત,పైన పేర్కొన్నది
ફરી,అఫ్రెష్
વિરુદ્ધ,వ్యతిరేకంగా
ઉંમર,వయస్సు
વય પ્રમાણપત્ર,వయస్సు ధృవీకరణ పత్రం
મતાધિકાર માટે વય,ఓటు హక్కు కోసం వయస్సు
વય -મર્યાદા,వయో పరిమితి
સંસ્થા,ఏజెన్సీ
કાર્યસૂચિ,ఎజెండా
નિવૃત્તિની ઉંમર,పదవీ విరమణ వయస్సు
નિવૃત્તિની ઉંમર,పర్యవేక్షణ వయస్సు
એકંદર,సమూహనం
નારાજ,బాధపడ్డాడు
આંદોલન,ఆందోళన
અકસ્માત,AGM
સહમત,ఒప్పందం
સહમત ફોર્મ,ఒప్పంద ఫారం
કૃષિ,వ్యవసాయం
કૃષિ ઉદ્યોગ,అగ్రో-ఇండస్ట్రీ
સહાય,సహాయం
ભય,అలారం
જાગરૂકતા,అప్రమత్తత
ઉર્ફે,అలియాస్
આરોપ,ఆరోపణ
વાન,విధేయత
સુમેળ,కూటమి
સંલગ્ન સેવાઓ,అనుబంధ సేవలు
તમામ સમાવિષ્ટ ખર્ચ,అన్ని కలుపుకొని ఖర్చు
અખરાબ સેવા,ఆల్ ఇండియా సర్వీసెస్
ફાળવણી,కేటాయింపు
ફાળવણી,కేటాయింపు
ફાળવણીનો પત્ર,కేటాయింపు లేఖ
ફાળવણી કરનાર,కేటాయింపు
માન્ય,అనుమతించదగినది
માન્ય -ખર્ચ,అనుమతించదగిన ఖర్చులు
અપીલ કરવાની મંજૂરી આપવી,అప్పీల్‌ను అనుమతించండి
છૂટ,భత్యం
બધા હકો અમારી પાસે રાખેલા છે,అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది
વર્ણાનુક્રમ,అక్షర క్రమం
બોલો,వాగ్వాదం
વૈભવી,ప్రత్యామ్నాయ
વૈકલ્પિક,ప్రత్యామ్నాయం
સંવાદ,సమ్మేళనం
સુધારેલો મુસદ્દો,సవరించిన చిత్తుప్రతి
સુધારો,సవరణ
સુંદરતા,సౌకర్యం
સુખદ,స్నేహపూర్వక
દારૂગોળો,మందుగుండు సామగ్రి
દેવું,రుణ రుణమాఫీ
રકમ,మొత్తం
પેન્શનની રકમ,పెన్షన్ మొత్తం
એકસમાન સ્થાન,సారూప్య పోస్ట్
વિશ્લેષણ,విశ్లేషణ
વિશ્લેષણાત્મક,విశ్లేషణాత్మక అధ్యయనం
વડપણ,పూర్వీకుడు
આનુષંગિક ઉદ્યોગ,సహాయక పరిశ్రమ
શિષ્ટાચાર,శత్రుత్వం
જોડાણ,అనుబంధం
વર્ષગાંઠ,వార్షికోత్సవం
જાહેરાત,ప్రకటన
ત્રાસ,కోపం
વાર્ષિક નિવેદન,వార్షిక ఆర్థిక ప్రకటన
વાર્ષિક હિસાબ,వార్షిక నివేదిక
વાર્ષિકી,యాన్యుటీ
અનામી,అనామక
નામંજૂર ફરિયાદ,అనామక ఫిర్యాదు
જવાબદારપણું,జవాబుదారీతనం
ઉત્તરવહી,జవాబు పత్రం
વિરોધી,విరోధి
પૂર્વવર્તીઓ,పూర్వజన్మలు
અપેક્ષિત ખર્ચ,Bean హించిన ఖర్చు
અપેક્ષિત આવક,Ntic హించిన ఆదాయం
અપેક્ષા,Ntic హించడం
અપેક્ષિત જામીન,ముందస్తు బెయిల్
ભ્રષ્ટાચાર માપદંડ,అవినీతి నిరోధక కొలత
પ્રતિષ્ઠાવાન,యాంటీ డంపింగ్
પ્રાચીન,పురాతన
રંગભુળ,వర్ణవివక్ష
દુ: ખ,ఉదాసీనత
ટોચ,అపెక్స్ బాడీ
માફી,క్షమాపణ
અપીલ,అప్పీల్
દેખાવ,స్వరూపం
સંતાપવું,సంతృప్తి
અપીલ પંચ,అప్పీలేట్ ట్రిబ్యునల్
પરિશિષ્ટ,అపెండిక్స్
ઉપકરણ,ఉపకరణం
લાગુ પડે એવું,వర్తిస్తుంది
અરજદાર,దరఖాస్తుదారు
નિયમ,అప్లికేషన్
અરજી પત્ર,దరఖాస్తు ఫారం
લાગુ કરવું,అనువర్తిత
અરજી કરવી,వర్తించండి
નિમણૂક કરનાર,నియామకం
નિયુક્ત સત્તા,నియమించే అధికారాన్ని
નિમણૂક,నియామకం
નિમણૂક -પત્ર,నియామక పత్రం
નિમણૂક સમિતિ,నియామకాల కమిటీ క్యాబినెట్
વેતનનું વિભાજન,వేతనాల విభజన
મૂલ્યાંકન,అంచనా
મુલવણી કરનાર,మదింపుదారు
કદર,ప్రశంసతో
આશંકા,దిగులు
ઉમેદવાર,అప్రెంటిస్
અભિગમ,విధానం
યોગ્ય,తగినది
યોગ્ય કાર્યવાહી,తగిన చర్య
યોગ્ય,తగిన తల
વિનિયોગ,కేటాయింపు
મંજૂરી,ఆమోదం
આશરે,సుమారు
અભિરુચિ કસોટી,ఆప్టిట్యూడ్ పరీక్ష
મનસ્વી,ఏకపక్ష
મધ્યસ્થી,మధ్యవర్తిత్వం
લવાદી,మధ్యవర్తిత్వ
લવાદી પંચ,మధ్యవర్తిత్వ ట్రిబ్యునల్
લવાદી,మధ్యవర్తి
સ્થાપત્ય,వాస్తుశిల్పం
દફ્તર,ఆర్కైవ్స్
વિસ્તાર,ప్రాంతం
વિસ્તારનું મુખ્ય મથક,ఏరియా ప్రధాన కార్యాలయం
દલીલ,వాదన
ઊગવું,తలెత్తండి
સશસ્ત્ર દળો,సాయుధ దళాలు
વ્યવસ્થા,అమరిక
બાકી,బకాయి
બાકી રાખનાર પત્રક,రాక ప్రకటన
આગોતડી અહેવાલ,రాక నివేదిక
ઘમંડ,అహంకారం
શસ્ત્રસાર,ఆర్సెనల్
વસ્તુ,వ్యాసం
મંડળ,అసోసియేషన్ వ్యాసాలు
લેખ,వ్యాసాలు
ચડતો હુકમ,ఆరోహణ క్రమం
ખાતરી કરવી,నిర్ధారించడం
જ્યાં છે ત્યાં છે,ఎక్కడ ఉందో
દૃષ્ટિ,కారక
આછા,ఆస్పర్షన్
હત્યા,హత్య
હુમલો,దాడి
ભેગા,సమీకరించటం
વિધાનસભા,అసెంబ్లీ
અનુમાન,అస్సెంట్
ભારપૂર્વક કહેવું,నొక్కి చెప్పండి
આકારણી કરનાર,మదింపుదారుడు
આકારણી,అంచనా
આકારણી વર્ષ,అసెస్‌మెంట్ ఇయర్
આકારણીકાર,మదింపుదారు
અસ્ક્યામત,ఆస్తులు
મુખત્ર,కేటాయించిన
સોંપણી,అసైన్‌మెంట్
મુલકવનાર,అసైనర్
સહાય,సహాయం
સાથી,అసోసియేట్
મંડળ,అసోసియేషన్
હવાલો,ఛార్జ్ యొక్క umption హ
ખાતરી,హామీ
ખાતરી કંપની,అస్యూరెన్స్ కంపెనీ
ખાતરી આપવી,భరోసా
અપટ,డిస్కౌంట్ వద్ద
અણુની શક્તિ,అణు శక్తి
સમકક્ષ,పార్ వద్ద
ઈમારત,ప్రీమియం వద్ద
સંલગ્ન કરવું,అటాచ్
જોડાયેલ કચેરી,జతచేయబడిన కార్యాలయం
જોડાણ,అటాచ్మెంట్
જોડાણનો હુકમ,అటాచ్మెంట్ ఆర్డర్
પ્રાપ્તિ,సాధించడం
પ્રયત્ન,ప్రయత్నం
ઉપસ્થિત,హాజరు
ઉપસ્થિત રજિસ્ટર,హాజరు రిజిస్టర్
ઉપસ્થિત કાપલી,హాజరు స్లిప్
ધ્યાન,శ్రద్ధ
પ્રમાણન,ధృవీకరణ
પ્રમાણિત પ્રત,ధృవీకరించబడిన కాపీ
વલણ,వైఖరి
આકર્ષક પગાર,ఆకర్షణీయమైన జీతం
હરાજી,వేలం
હરાજી કરવી,వేలంపాట
હરાજીનું વેચાણ,వేలం అమ్మకం
શ્રોતા,ప్రేక్షకులు
દૃષ્ટિકોણ,ఆడియో-విజువల్ డిస్ప్లే
વિઝ્યુઅલી પ્રચાર,ఆడియో-విజువల్ పబ్లిసిటీ
હિસાબ -તપાસણી,ఆడిట్
ઓડિટ કરેલ હિસાબ,ఆడిట్ చేసిన ఖాతాలు
Ited ડિટ કરેલી સર્ટિલશીટ,ఆడిట్ చేసిన బ్యాలెన్స్ షీట్
Itingણ,ఆడిటింగ్
હિસાબ -તપાસણીનો વાંધો,ఆడిట్ అభ్యంతరం
Itor ડિટર અહેવાલ,ఆడిటర్ నివేదిక
સભાગૃહ,ఆడిటోరియం
ઓડિટ ફકરા,ఆడిట్ పేరా
હિસાબ -તપાસણી અહેવાલ,ఆర్థిక లెక్కల నివేదిక
કઠોરતા,కాఠిన్యం
કઠોર પગલાં,పొదుపు చర్యలు
અધિકૃત,ప్రామాణికమైన
અધિકૃત પ્રતિનિધિ,అధీకృత ప్రతినిధి
પ્રમાણભૂત,అధికారిక
અધિકાર,అధికారం
સત્તાધિકારનો પત્ર,అధికారం లేఖ
અધિકૃત,అధికారం
અધિકૃત મૂડી,అధీకృత మూలధనం
સ્વચાલિત,ఆటోమేటిక్
સ્વાયત્ત,స్వయంప్రతిపత్తి
સ્વાયત્ત સંસ્થા,అటానమస్ బాడీ
સ્વાયત્તતા,స్వయంప్రతిపత్తి
સહાયક,సహాయక
ઉપલબ્ધ,అందుబాటులో ఉంది
સરેરાશ,సగటు
સરેરાશ રજા,సగటు సెలవు
અણગમો,విరక్తి
અટકાવવું,అవర్ట్
ટાળવું,నివారించండి
કર બંધ,పన్నును నివారించడం
રાહ જોવાયેલું,వేచి ఉంది
પુરસ્કાર,అవార్డు
પુરસ્કાર સત્તાધિકારી,అథారిటీ అవార్డు
જાગરૂકતા,అవగాహన
પીછેહઠ,బ్యాక్‌డేటెడ్
પૃષ્ઠભૂમિ,నేపథ్య
પાછલી લોગ,బ్యాక్ లాగ్
પાછા બહાર,బ్యాక్ అవుట్
પાછલી વાત,వెనుక సూచన
પીછેહઠ કરવી,బ్యాకప్
પછાત વર્ગ,వెనుకబడిన తరగతులు
પછાત આદિજાતિ,వెనుకబడిన తెగ
ખરાબ સોદો,చెడు బేరం
ખરાબ વર્તન,చెడు ప్రవర్తన
ખરાબ પાત્ર,చెడ్డ పాత్ర
ખરાબ આબોહવા ભથ્થું,చెడు వాతావరణ భత్యం
ખરાબ વર્તન,చెడు ప్రవర్తన
ખરાબ દેવું,చెడు రుణం
સામાન,సామాను
જામીન,బెయిల్
સમતોલ,సంతులనం
સરખામણી નીચે લાવવામાં,బ్యాలెన్స్ తగ్గింది
સંતુલન આગળ લાવવામાં,బ్యాలెన్స్ ముందుకు తెచ్చింది
સમતોલ અંદાજપત્ર,సమతుల్య బడ్జెట్
સરવૈયા,బ్యాలెన్స్ షీట్
મતદાન,బ్యాలెట్
મતપેટી,వోట్లు వేసే డబ్బా
મતદાનનો કાગળ,బ్యాలెట్ పేపర్
પ્રતિબંધ,నిషేధం
બેંક,బ్యాంక్
બેંક એકાઉન્ટ,బ్యాంకు ఖాతా
બેંક સિલક,బ్యాంక్ బ్యాలెన్స్
બેંક ખર્ચ,బ్యాంకు చార్జీలు
બેંક ની ખાતરી,బ్యాంకు హామీ
બેંક રજા,బ్యాంకు సెలవు
બેંકિંગ સુવિધા,బ్యాంకింగ్ సౌకర్యం
બેંકિંગ કલાકો,బ్యాంకింగ్ గంటలు
બેંકિંગ લેવડદેવડ,బ్యాంకింగ్ లావాదేవీ
બેંક દર,బ్యాంక్ రేటు
બેંક સમાધાન,బ్యాంకు సయోధ్య
નાદાર,దివాళా
બેંક સુરક્ષા,బ్యాంక్ భద్రత
બેંક સ્ટેટમેન્ટ,బ్యాంకు వాజ్ఞ్మూలము
ભોજન સમારંભ,విందు
પટ્ટી પરિષદ,బార్ కౌన్సిల్
સોદો,బేరం
સોદાબાજી,బేరసారాలు
ઉજ્જડ જમીન,బంజరు భూమి
સાપ્તાહિક,బార్టర్
પાયો,బేస్
તબાને,నిరాధారమైన
આધાર,బేస్మెంట్
મુખ્ય વર્ષ,బేస్ ఇయర్
પાયાની,ప్రాథమిక
મૂળભૂત રીતે,సాధారణంగా
મૂળ બાતમી,ప్రాథమిక మేధస్సు
મૂળ પગાર,ప్రాథమిక వేతనం
મૂળ પગાર ધોરણ,ప్రాథమిక స్థాయి వేతనం
મૂળભૂત તાલીમ,ప్రాథమిక శిక్షణ
આધાર,ఆధారంగా
ચોપડી,బ్యాచ్
બેચ નંબર,బ్యాచ్ సంఖ్య
વાહક ચેક,బేరర్ చెక్
ટાંકવામાં આવે તે પહેલાં,ఉదహరించడానికి ముందు
વર્તન,ప్రవర్తన
વિશ્વાસ,నమ్మకం
નીચે,పార్ క్రింద
હોદ્દો,బెంచ్
બેહદ નિશાની,బెంచ్ మార్క్
લાભદાયી,ప్రయోజనకరమైనది
લાભ મેળવનાર,లబ్ధిదారుడు
લાભ,ప్రయోజనం
શંકાનો લાભ,సందేహం యొక్క ప్రయోజనం
પરોપકારી,బెనెవోలెన్స్
હિતકારી નિધિ,బెనెవోలెంట్ ఫండ్
વારસામાં આપવું,Bequeath
વસિયતનામા,బీక్వెస్ట్
પડદાથી છીનવી લેવું,మరణించారు
શ્રેષ્ઠ પ્રયત્નો,ఉత్తమ ప్రయత్నాలు
સુધારણા,మంచి
પક્ષપાત,బయాస్
પક્ષપાતી અભિપ્રાય,పక్షపాత అభిప్రాయం
ગ્રંથસૂચિ,గ్రంథ పట్టిక
દ્વિવાર્ષિક,ద్వైవార్షిక
દ્વિભાજિત કરવું,విభజన
દ્વિપૂજ,బిగామి
દ્વિપક્ષીય,ద్వైపాక్షిక
દ્વિભાષી,ద్విభాషా
દ્વિકય,ద్విమకరణ
બિલ,బిల్లు
વિનિમય,మార్పిడికి సంభంధించిన బిల్లు
દ્વિમાસિક અહેવાલ,బిమోంత్లీ రిపోర్ట్
બાંધણી,బైండింగ్
જૈવનું,బయోడేటా
દ્વિપક્ષી,బైపార్టైట్
દ્વિપક્ષીય કરાર,ద్వైపాక్షిక ఒప్పందం
જન્મજાસતિ,జనన వార్షికోత్సవం
જન્મ પ્રમાણપત્ર,జనన ధృవీకరణ పత్రం
જન્મ -નિયંત્રણ,జనన నియంత్రణ
જન્મતારીખ,పుట్టిన తేదీ
જન્મસ્થળ,పుట్టిన ప్రదేశం
જન્મ દર,జనన రేటు
દ્વિપક્ષીય,వారం వారం
કાળા અર્થતંત્ર,బ్లాక్ ఎకానమీ
કાળી યાદી,బ్లాక్ జాబితా
શરત,బ్లాక్ మెయిల్
કાળા બજાર,చీకటి వ్యాపారం
દોષારોપણ,నింద
ખાલી તપાસ,ఖాళీ చెక్
ઘોષણા,దుప్పటి ఒప్పందం
અણીદાર હુકમ,దుప్పటి క్రమము
વિનોદ,పేలుడు
સંમિશ્રણ,బ్లెండింగ్
અવરોધ,బ్లాక్
નાકાબંધી,దిగ్బంధనం
અવરોધિત મૂડી,నిరోధించబడిన మూలధనం
અવરોધ,పెద్ద అక్షరం
રક્તદાન,రక్త దానం
રક્ત સંબંધ,రక్త సంబంధాలు
વાદળી રંગની નોકરી,బ్లూ కాలర్ ఉద్యోగం
બ્લ્યુપ્રિન્ટ,బ్లూప్రింట్
ખસી,బుకాయింపు
પાટીયું,బోర్డు
નિવારણ,బోర్డింగ్ మరియు బస
નિયામક મંડળ,బోర్డు డైరెక్టర్లు
મહેસૂલ બોર્ડ,రెవెన్యూ బోర్డ్
મંડળ,శరీరం
અંગરક્ષક,బాడీగార్డ్
બોગસ વાઉચર,బోగస్ వోచర్
ખચ્ચર,బోనఫైడ్స్
ખત,బాండ్
મજૂર,బంధిత శ్రమ
બોનસ,ఉపరి లాభ బహుమానము
નોંધણી ની ઓફીસ,నమోదు కార్యాలయం
ચોપડી,పుస్తక కీపర్
ચોપડે,బుక్ కీపింగ్
પુસ્તક,బుక్‌లెట్
સંદર્ભ,రిఫరెన్స్ పుస్తకం
પુસ્તકની કિંમત,పుస్తకం విలువ
પહાડી,బూత్
બૂથ,బూత్ సంగ్రహించడం
સરહદ ભથ્થું,సరిహద్దు భత్యం
સરહદ -રેખા,సరిహద్దు రేఖ
Bણ લેનાર,రుణగ్రహీత
ઉધાર લેવાની શક્તિ,రుణాలు తీసుకునే శక్తి
બસ,బాస్
સંકલ્પશક્તિ,అడ్డంకి
કૌંસ,బ్రాకెట్
હદ,సరిహద్దు
બહિષ્કાર,బహిష్కరణ
મગજની ગટર,మెదడు కాలువ
શાખા કચેરી,శాఖ కార్యాలయం
ભંગ,మించే
કરારભંગ,ఒప్పందం ఉల్లంఘన
આત્મવિશ્વાસ,విశ్వాసం ఉల్లంఘన
કરારભંગ,ఒప్పంద ఉల్లంఘన
શિસ્તનો ભંગ,క్రమశిక్షణ ఉల్లంఘన
કાયદાનું ઉલ્લંઘન,చట్ట ఉల్లంఘన
શાંતિનો ભંગ,శాంతి ఉల్లంఘన
વિશેષાધિકારનો ભંગ,ప్రత్యేక హక్కు ఉల్లంఘన
વચનભંગ,వాగ్దానం ఉల్లంఘన
નિયમનો ભંગ,నియమం ఉల్లంఘన
વિશ્વાસભંગ,అవిశ్వాసం
તૂટફૂટ,విచ్ఛిన్నం
ભાંગી નાખવું,విచ్ఛిన్నం
કામમાં વિરામ,సేవలో విరామం
છુટુ થવું,విడిపోవటం
ઉછેર,జాతి
લાંચ,లంచం
ટૂંકું,క్లుప్తంగా
બ્રીફિંગ,బ్రీఫింగ్
ટૂંકું ફરી શરૂ,సంక్షిప్త పున ume ప్రారంభం
તેજસ્વી વિક્રમ,తెలివైన రికార్డు
ધ્યાનમાં લેવું,నోటీసులోకి తీసుకురండి
પ્રસારણ,ప్రసార
બ્રોડશીટ,బ్రాడ్‌షీట్
બ્રોશર,బ్రోచర్
દલાલ,బ్రోకరేజ్
આગળ લાવ્યું (બી/એફ),ముందుకు తెచ్చింది (బి/ఎఫ్)
બજેટ ફાળવણી,బడ్జెట్ కేటాయింపు
ભયંકર નિયંત્રણ,బగెటరీ కంట్రోల్
બજેટ અંદાજ,బడ్జెట్ అంచనా
બજેટ જોગવાઈ,బడ్జెట్ నిబంధన
મકાન,కట్టడం
જથ્થો,చాలా మొత్తం
હિંસક ખરીદી,బల్క్ కొనుగోలు
બુલેટિન,బులెటిన్
બમ્પર પાક,బంపర్ పంట
ખાલી જગ્યાઓ,ఖాళీల బంచ్
બડબડાટ,బంగ్లింగ్
અમલદારશાહી,బ్యూరోక్రసీ
અમલદાર,బ్యూరోక్రాట్
વ્યાપારી વર્ગ,వ్యాపార తరగతి
વ્યવસાય કલાકો (= વ્યવસાયના કલાકો),వ్యాపార గంటలు (= వ్యాపారం యొక్క గంటలు)
વેપારી,వ్యాపారవేత్త
બેવકૂફ,కొనండి
ખરીદનાર,కొనుగోలుదారు
બાય ચૂંટણી (= ચૂંટણી દ્વારા),బై ఎన్నిక (= ఎన్నికల ద్వారా)
હાથ,చేతి ద్వారా
પદ દ્વારા,పోస్ట్ ద్వారా
કેબીનનો સામાન,క్యాబిన్ సామాను
મંત્રીમંડળ,క్యాబినెట్
કાડર,కేడర్
આક્રમણ,విపత్తు
ગણતરી,లెక్కింపు
ક calલેન્ડર વર્ષ,క్యాలెండర్ సంవత్సరం
અભિયાન,ప్రచారం
વિસ્તાર,క్యాంపస్
કેમ્પસમાં મુલાકાત,క్యాంపస్ ఇంటర్వ్యూ
રદ કરવું,రద్దు చేయండి
રદ કરવું તે,రద్దు
ઉમેદવાર,అభ్యర్థి
ઉમેદવારી,అభ్యర్థిత్వం
-નો -પ્રચાર,కాన్వాసింగ్
ક્ષમતા,సామర్ధ్యం
સક્ષમ,సామర్థ్యం
શક્તિ,సామర్థ్యం
પાટનગર,రాజధాని
મૂડી ખર્ચ,మూలధన వ్యయం
ફાંસીની સજા,మరణశిక్షను
કરવટે ફી,క్యాపిటేషన్ ఫీజు
પકડવું,క్యాప్చర్
કાળજી,సంరక్షణ
કારકિર્દી,కెరీర్
કારકિર્દી વિકાસ,కెరీర్ అభివృద్ధి
કેરટેકર સરકાર,కేర్ టేకర్ ప్రభుత్వం
આગળ વહન (સી/એફ),ముందుకు తీసుకువెళ్లారు (సి/ఎఫ్)
આગળ વધવું,ముందుకు తీసుకెళ్లు
વહન ખર્ચ,మోసే ఖర్చు
હરાવીને લઈ જવું,తీసుకువెళ్ళండి
કારાકાર,కార్టేజ్
કેસ,కేసు
કેદ -અભ્યાસ,సందర్భ పరిశీలన
રોકડ,నగదు
રોકડ સિલક,నగదు బ్యాలెన్స్
રોકડ રકમ,నగదు పుస్తకం
રોકડ કાર્ડ,నగదు కార్డు
રોકડ પ્રમાણપત્ર,నగదు ధృవీకరణ పత్రం
