Bengali,English
অ্যানেরোব,Anaerobe
অ্যানিউপ্লয়েড,Aneuploid
কোণ রোপণ,Angle planting
পশুপালন,Animal husbandry
প্রাণী প্রত্যাখ্যান,Animal refuse
অ্যানিমেট শক্তি,Animate energy
অ্যানিসোপ্লয়েড,Anisoploid
বার্ষিক উদ্ভিদ,Annual plant
বার্ষিক,Annual
অ্যান্থেসিস,Anthesis
অ্যানথ্রাক্স,Anthrax
অ্যানথ্রোপোজেনিক ফ্যাক্টর,Anthropogenic factor
অ্যান্টিবায়োসিস,Antibiosis
অ্যান্টিবায়োটিক,Antibiotic
প্রতিষেধক,Antidote
অ্যান্টিঅক্সিডেন্টস,Antioxidants
অ্যান্টিটক্সিন,Antitoxin
অ্যানুলাস,Annulus
এফিড,Aphid
অ্যাপিকাল কুঁড়ি,Apical bud
অ্যাপিকাল আধিপত্য,Apical dominance
এপিক্যালচার (মৌমাছি পালন),Apiculture (bee keeping)
অ্যাপোমিক্সিস,Apomixis
অ্যাপোপটোসিস,Apoptosis
সংযোজন,Appendage
ক্ষুধার্ত,Appetizer
প্রয়োগ,Applied
জলজ আগাছা,Aquatic weed
আরবোরিয়াল,Arboreal
আর্বোরাইজেশন,Arborization
আর্কিও-বোটানিকাল রেকর্ডস,Archaeo-botanical records
অঞ্চল পরিসংখ্যান,Area statistics
অঞ্চল,Area
শুকনো বাস্তুতন্ত্র,Arid ecosystem
আরিল,Aril
সুগন্ধ,Aroma
সুগন্ধযুক্ত উদ্ভিদ,Aromatic plant
সুগন্ধযুক্ত চাল,Aromatic rice
তীর,Arrowing
Asepsis,Asepsis
অ্যাসেপটিক,Aseptic
অ্যাসেক্সুয়াল প্রচার,Asexual propagation
অ্যাস,Assay
সম্পদ,Assets
সংমিশ্রণ,Assimilation
সংঘ,Association
জ্যোতিষী,Astringent
অ্যাসিনাপসিস,Asynapsis
Atavism,Atavism
Atomizer,Atomizer
অ্যাট্রোফি,Atrophy
অটোগামি,Autogamy
অটোলাইসিস,Autolysis
অটোক্সিডেশন,Autoxidation
অটোপলিপ্লয়েড,Autopolyploid
অক্সিনস,Auxins
এডাব্লুএন (ব্রিজল),Awn (bristle)
বাদাম,Almond
অ্যালো,Aloe
অমরান্থাস,Amaranthus
আম্মি,Ammi
অঞ্জান ঘাস,Anjan grass
অ্যান্থুরিয়াম,Anthurium
"অোনলা, ভারতীয় গুজবেরি","Aonla, Indian gooseberry"
অ্যাপল,Apple
এপ্রিকট,Apricot
আরবিয়ান জেসমিন,Arbian jasmine
সুপারি বাদাম,Areca nut
অর্জুন,Arjun
Asfoetida,Asfoetida
অ্যাশ লাউ,Ash gourd
অশোক গাছ,Ashoka tree
আশ্থমা আগাছা (ইউফোর্বিয়া),Ashthma weed (euphorbia)
অ্যাস্পারাগাস,Asparagus
অ্যাভোকাডো,Avocado
আলফালফা (লুসার্ন),Alfalfa (lucerne)
পিঁপড়া,Ants
এফিডস,Aphids
সেনা কৃমি,Army worm
কৃষি অর্থনীতিবিদ,Agricultural economist
কৃষি এক্সটেনশনিস্ট,Agricultural extensionist
কৃষি বিজ্ঞানী,Agricultural scientist
কৃষি প্রকৌশলী,Agriculture engineer
অ্যাগ্রোবায়োলজিস্ট,Agrobiologist
কৃষিবিদ,Agronomist
অ্যাগ্রোফিজিসট,Agrophysicst
প্রাণী ব্রিডার,Animal breeder
ব্যাসিলাস ভাইরাস,Bacillus virus
ব্যাসিলাস,Bacillus
ব্যাকটিরিয়া,Bacteria
ব্যাকটিরিওক্সিন,Bacteriotoxin
ব্যাগাস,Bagasse
ব্যালেন্স শীট,Balance sheet
ভারসাম্যহীন নিষেক,Balanced fertilization
বার ডায়াগ্রাম,Bar diagram
বাকল,Bark
ব্যারোমিটার,Barometer
বন্ধ্যা,Barren
বেস,Base
বেসিন,Basin
বেসিপেটাল,Basipetal
বেসস্টারনাম,Basisternum
উপসাগর,Bay monsoon
বিয়ারিং প্ল্যান্ট,Bearing plant
বিছানা,Bed
বেডার,Bedder
বিছানাপত্র,Bedding
বীট গুড়,Beet molasses
বেলো,Bellows
বেল্ট,Belt
বেনিফিট-ব্যয় বিশ্লেষণ,Benefit-cost analysis
পক্ষপাতদুষ্ট (নমুনা),Biased (sampling)
দ্বিবার্ষিক,Biennial
দ্বিপদী,Binomial
বায়োএজেন্ট,Bioagent
বায়োক্লিমেট,Bioclimate
বায়োনারজি,Bioenergy
বায়োনমিক্স,Bionomics
বায়োরিয়্যাক্টর,Bioreactor
বায়োস্ফিয়ার,Biosphere
বায়োটিক,Biotic
বায়োটাইপ,Biotype
উভকামী,Bisexual
ব্লাঞ্চিং,Blanching
বিস্ফোরণ,Blast
মিশ্রণ,Blend
ব্লাইট,Blight
ফোস্কা,Blister
নীল বিপ্লব,Blue revolution
নীচে তাপ চেম্বার,Bottom heat chamber
নীচে তাপ কৌশল,Bottom heat technique
ব্রান,Bran
শাখা,Branching
শাখা,Branchlet
প্রজনন,Breed
প্রজনন,Breeding
Brimming,Brimming
ব্রুড,Brood
উদীয়মান,Budding
বাজেট,Budget
বাফার,Buffer
বাল্ব,Bulb
বুট,Bunt
উপজাত,By-product
বাবুল অ্যাকাসিয়া,Babul acacia
শিশুর ভূট্টা,Baby corn
বেল,Bael
বেল,Baill
বালসাম,Balsam
বাঁশ,Bamboo
কলা,Banana
বটগাছ,Banyan tree
বার্লি,Barley
বার্নইয়ার্ড মিললেট,Barnyard millet
পুদিনা,Basil
জারজ সিডার,Bastard cedar
জারজ মাইরোবালান,Bastard myrobalan
বাউহিনিয়া,Bauhinia
বে বেরি,Bay berry
বিন,Bean
বীট,Beet
বেলাদোনা,Belladonna
বের,Ber
বার্সিম,Berseem
সুপারি,Betel
বিলিম্বি,Bilimbi
বিটার লাউ,Bitter gourd
কালো গ্রাম,Black gram
কালো নাইটশেড,Black nightshade
বোগেনভিলিয়া,Bougainvillea
বোতল ব্রাশ,Bottle brush
বোতল লাউ,Bottle gourd
বক্স ট্রি,Box tree
রুটি ফল,Bread fruit
ব্রাইডাল লতা,Bridal creeper
ব্রিনজাল,Brinjal
ব্রড শিম,Broad bean
ব্রোকলি,Broccoli
ব্রাসেলের স্প্রাউট,Brussel's sprout
বাকউইট,Buckwheat
বুটিয়া,Butea
ব্যান্ডিকুট,Bandicoot
ভাল্লুক,Bear
বিটল,Beetle
ফোস্কা বিটল,Blister beetle
নীল ষাঁড়,Blue bull
বোল কৃমি,Boll worm
প্রজাপতি,Butterfly
ব্যাকটিরিওলজিস্ট,Bacteriologist
বায়োকেমিস্ট,Biochemist
জীববিজ্ঞানী,Biologist
বায়োটেকনোলজিস্ট,Biotechnologist
উদ্ভিদবিদ,Botanist
সি আর্দ্রতা বৈশিষ্ট্যযুক্ত বক্ররেখা,C moisture characteristic curve
কেক,Cake
ক্যালারিয়াস,Calcarious
ক্যালিফিকেশন,Calcification
ফসফেটের ক্যালকিনেশন,Calcination of phosphate
Calost,Callosity
কলাস,Callus
ক্যালিক্স,Calyx
ক্যালিক্স-এন্ড,Calyx-end
ক্যাম্বিয়াম,Cambium
ক্যান্সার,Canker
ক্যানিং,Canning
ক্যানোপি,Canopy
মূলধন,Capital
ক্যাপরিফিকেশন,Caprification
ক্যাপসুল,Capsule
কার্বনেটেড,Carbonated
কার্বনাইজেশন,Carbonization
কার্পেল,Carpel
কার্পাস,Carpus
ঢালাই,Casting
ক্যাটাবোলিজম,Catabolism
ক্যাটালাইসিস,Catalysis
শুঁয়াপোকা,Caterpillar
সি-ডিএনএ লাইব্রেরি,C-DNA Library
সিলিং,Ceiling
সেল,Cell
কেন্দ্রীয় নেতা ব্যবস্থা,Central leader system
কেন্দ্রিক,Centric
সেন্ট্রিফিউগেশন,Centrifugation
সেন্ট্রিফিউজ,Centrifuge
সেন্ট্রিওল,Centriole
সেন্ট্রোজেনিক,Centrogenic
সেন্ট্রোজেনাস,Centrogenous
সার্কাস,Cercus
সিরিয়াল,Cereal
শংসাপত্র,Certification
প্রত্যয়িত বীজ,Certified seed
চ্যাফ,Chaff
চালাজা,Chalaza
কেমোট্রপিজম,Chemotropism
চিয়াসমা,Chiasma
শীতল সময়,Chilling hours
শীতল আঘাত,Chilling injury
চিমেরা,Chimera
ক্লোরান্টি,Chloranthy
ক্লোরোফিল,Chlorophyll
ক্লোরোসিস,Chlorosis
ক্লোরোলজি,Chlorology
ক্রোমাটিড,Chromatid
ক্রোমাটিন,Chromatin
ক্রোমাটোগ্রাফি,Chromatography
ক্রোমাটোলাইসিস,Chromatolysis
ক্রোমোসেন্ট্রে,Chromocentre
ক্রোমোজেনেসিস,Chromogenesis
ক্রোমোপ্রোটিন,Chromoprotein
ক্রোমোজোম,Chromosome
দীর্ঘস্থায়ী,Chronic
সিট্রঞ্জ,Citrange
ক্লেডোড,Cladode
শ্রেণিবদ্ধকরণ,Classification
ক্লে,Clay
পরিষ্কার,Cleaning
ক্লিস্টোগ্যামি,Cleistogamy
ক্লাইম্যাক্টেরিক ফল,Climacteric fruit
জলবায়ু,Climate
জলবায়ু,Climatology
ক্লিপার,Clipper
ক্লোড,Clod
ক্লোন,Clone
মেঘ,Cloud
ক্লাম্প,Clump
ক্লাস্টার,Cluster
মোটা,Coarse
কোট (বীজ),Coat (seed)
কোকুন,Cocoon
কোএনজাইম,Coenzyme
সংহতি,Cohesion
কয়ার,Coir
কোলোররিজা,Coleorrhiza
কলার,Collar
কলয়েড (মাটি),Colloid (soil)
কলিউমেলা,Columella
কলাম,Column
কমেন্সালিজম,Commensalism
বাণিজ্যিক ব্যাংক,Commercial bank
পণ্য,Commodity
সম্প্রদায়,Community
সংযোগ (মাটির),Compaction (of soil)
সামঞ্জস্যতা,Compatibility
সামঞ্জস্যতা,Compatibility
ক্ষতিপূরণ,Compensation
প্রতিযোগিতামূলক মিথস্ক্রিয়া,Competitive interaction
পরিপূরক ফসল,Complementary crop
জটিল,Complex
উপাদান,Component
গঠন,Composition
কম্পোস্ট,Compost
চক্রবৃদ্ধিহারে সুদ,Compound interest
গণনা,Computation
কম্পিউটার,Computer
একাগ্রতা,Concentration
কন্ডিশনার,Conditioner
আচরণ,Conductance
কনফিগারেশন,Configuration
অনুসার,Conformity
বিভ্রান্তিকর,Confounding
সংমিশ্রণ,Conjugation
সংযোগকারী,Connective
সংরক্ষণ,Conservation
একত্রীকরণের,Consolidation
উপাদান,Constituents
গ্রাহক,Consumer
খরচ,Consumption
দূষণ,Contamination
কনট্যুর রোপণ,Contour planting
কনট্যুর,Contour
চুক্তি চাষ,Contract farming
নিয়ন্ত্রিত স্টোরেজ,Controlled storage
সমবায় ব্যাংক,Co-operative bank
সহযোগী,Cooperator
কপিস,Coppice
Corm,Corm
করোলা,Corolla
কর্টেক্স,Cortex
ব্যয়,Cost
কোটিলেডন (বীজ),Cotyledon (seed)
ক্রেডিট সোসাইটি,Credit society
ক্রেডিট,Credit
পাওনাদার,Creditor
ক্রেস্ট,Crest
ক্রিঙ্কল,Crinkle
সংকট,Crisis
মানদণ্ড,Criterion
সমালোচনা,Critical
শস্য বীমা,Crop insurance
শস্য loan ণ,Crop loan
ফসল,Crop
ক্রপিং অঞ্চল,Cropping area
ক্রস-ইনমপ্যাটেবল,Cross-incompatible
মুকুট (উদ্ভিদ),Crown (plant)
ক্রম্ব,Crumb
ক্রাস্ট,Crust
ক্রিপ্টোগাম,Cryptogam
কুল (ফল),Cull (fruits)
কাল্ম,Culm
চাষকারী,Cultivar
চাষ,Cultivation
কৃষক,Cultivator
সংস্কৃতি,Culture
নিরাময়,Curing
কার্লিং,Curling
মুদ্রা,Currency
কিউটিকাল,Cuticle
কাটা,Cutting
সিস্ট,Cyst
সাইটোক্রোম,Cytochrome
সাইটোগ্যামি,Cytogamy
সাইটোজেনেসিস,Cytogenesis
সাইটোজেনেটিক্স,Cytogenetics
সাইটোকাইনেসিস,Cytokinesis
সাইটোলজি,Cytology
সাইটোলাইসিস,Cytolysis
সাইটোমির,Cytomere
সাইটোপ্লাজম,Cytoplasm
বাঁধাকপি,Cabbage
ক্যাকটাস,Cactus
ক্যালেন্ডুলা,Calendula
ক্যানারি ঘাস (ফালারিস),Canary grass (phalaris)
ক্যানা,Canna
ক্যাপারি,Capparis
ক্যাপসিকাম,Capsicum
ক্যারামবোলা,Carambola
ক্যারপা,Carapa
এলাচ,Cardamom
কার্নেশন,Carnation
গাজর,Carrot
হিজলি বাদাম,Cashew nut
ক্যাসিয়া,Cassia
ক্যাস্টর,Castor
ফুলকপি,Cauliflower
সেলারি,Celery
চ্যাম্প্যাক,Champac
চেনোপোডিয়াম,Chenopodium
চেরি টমেটো,Cherry tomato
চেরি,Cherry
"ছোলা, গ্রাম","Chickpea, gram"
মরিচ,Chillies
চীন টারপেনটাইন গাছ,China turpentine tree
কুকুর কুকুর,Chow-chow
ক্রিস্যান্থেমাম,Chrysanthemum
"চুফা, পৃথিবী বাদাম","Chufa, earth almond"
সিচরি,Cichory
দারুচিনি,Cinnamon
সিট্রন,Citron
সিট্রোনেলা ঘাস,Citronella grass
জেসমিন আরোহণ,Climbing jasmine
লবঙ্গ,Clove
ক্লাস্টার বিন,Cluster bean
কোকো,Cocoa
নারকেল,Coconut
কফি,Coffee
কোলিয়াস,Coleus
কলোকাসিয়া,Colocasia
"কলোকিন্থ, তিক্ত আপেল","Colocynth, bitter apple"
সাধারণ পার্সেলেন,Common purslane
ধনে,Coriander
সুতি,Cotton
কাউপিয়া,Cowpea
কিউব,Cubeb
শসা,Cucumber
Cucubits,Cucurbits
জিরা,Cumin
কারি পাতা,Curry leaf
আতা,Custard apple
ক্যাপসুল বোরার,Capsule borer
ক্যাটারপিলার,Caterpiller
সাইট্রাস সাইক্ল্লা,Citrus psylla
ক্রিকেট,Cricket
কাক,Crow
কাটা কৃমি,Cut worm
দুগ্ধ,Dairy
ডেয়ারিং,Dairying
বাঁধ,Dam
দিন-নিরপেক্ষ,Day-neutral
ফুলের পরে দিন,Days after flowering
পুরো পুষ্প পরে দিন,Days after full bloom
ডিব্লোসোমিং,Deblossoming
ডিক্যালসিফিকেশন,Decalcification
ডিক্যান্ট,Decant
ক্ষয়,Decay
পাতলা,Deciduous
দশমিক,Decimal
স্বল্পতা,Deficiency
ডিফলোকুলেশন (মাটি),Deflocculation (soil)
Defloration,Defloration
ডিফোলিয়েশন,Defoliation
বন নিধন,Deforestation
অবক্ষয়,Degeneration
অবক্ষয়,Degradation
ডিগ্রি দিন,Degree days
ডিগ্রি,Degree
ডিহেসেন্স,Dehiscence
ডিহুলিং,Dehulling
ডিহুসিং,Dehusking
পানিশূন্যতা,Dehydration
ডিহাইড্রেটর,Dehydrator
চাহিদা,Demand
অবনতি,Denaturation
অস্বীকার,Denudation
আমানত,Deposit
জবানবন্দি,Deposition
অবমূল্যায়ন বিচ্ছিন্নকরণ,Depreciation desalinization
বিশৃঙ্খলা,Desiccation
নকশা,Design
ডেসিসেটর,Dessicator
গন্তব্য,Destoning
Desuckering,Desuckering
Desynapsis,Desynapsis
ডেটাসেল,Detassel
ডিটাসেলিং,Detasseling
নির্ধারক,Determinant
অবমূল্যায়ন,Devaluation
দেভেজেটেশন,Devegetation
বিচ্যুতি,Deviation
ডায়াড,Diad
রোগ নির্ণয়,Diagnosis
Dichogamy,Dichogamy
দ্বৈতত্ত্ব,Dichotomy
ডিকোটাইলডন (বীজ),Dicotyledon (seed)
ফিরে মারা (রোগ),Die back (disease)
বিচ্ছুরণ,Diffusion
হজমতা,Digestibility
ডিহাইব্রিড,Dihybrid
ডাইক (ডাইক),Dike (dyke)
পাতলা,Dilute
ডাইওসিয়াস,Dioecious
ডিপ্লোড,Diploid
ডিপ্লোড,Diploid
ডিপ্লোনেমা,Diplonema
অসন্তুষ্টি,Disbudding
ডিস্কিং,Discing
ছাড়,Discount
নির্বীজন,Disinfection
বিচ্ছুরণ,Dispersion
প্রচার,Dissemination
বৈচিত্রতা,Diversification
বিবিধ কৃষিকাজ,Diversified farming
ডিএনএ মই,DNA Ladder
ডিএনএ রিসেপ্টর,DNA receptor
ডকেজ,Dockage
প্রভাবশালী,Dominant
সুপ্ততা,Dormancy
ডোজ,Dose
ডাবল সিগময়েড বক্ররেখা,Double sigmoid curve
খসড়া (খসড়া),Draft (draught)
ড্রেন,Drain
নিকাশী,Drainage
অঙ্কন,Draw
ভিজে যাওয়া,Drenching
ড্রেসিং (বীজ),Dressing (seed)
ড্রিল (এন।),Drill (n.)
ড্রিলিং (এজি। ইঞ্জিন),Drilling (ag. engg)
ড্রিলিং (কৃষি),Drilling (agronomy)
ড্রিপ সেচ,Drip irrigation
শুকনো কৃষিকাজ,Dryland farming
ধুলো,Dust
ডাস্টার,Duster
ধুলাবালি,Dusting
বামন,Dwarf
বামন পিরামিড,Dwarf pyramid
বামন,Dwarfing
ডেইজি,Daisy
তারিখ,Dates
ডে জেসমিন,Day jasmine
ডিল,Dill
দিননাথ ঘাস,Dinanath grass
ডড্ডার,Dodder
"ডুব ঘাস, বারমুডা ঘাস","Doob grass, bermuda grass"
ড্রুস,Druce
শুকনো আদা,Dry ginger
ডিফোলিয়েটিং বিটল,Defoliating beetle
ড্রোন,Drone
হাঁস,Duck
বাস্তুশাস্ত্র,Ecology
একনোমেট্রিক্স,Econometrics
অর্থনৈতিক দক্ষতা,Economic efficiency
ইকোটাইপ,Ecotype
অ্যাক্টোট্রফিক,Ectotrophic
এড্যাফিক,Edaphic
এড্যাফোলজি,Edaphology
এজিং,Edging
ভোজ্য অংশ,Edible part
চাহিদার স্থিতিস্থাপকতা,Elasticity of demand
উত্পাদন স্থিতিস্থাপকতা,Elasticity of production
বৈদ্যুতিন বিশ্লেষণ,Electrolysis
ইলেক্ট্রোফোরসিস,Electrophoresis
এলিউভিয়েশন,Eluviation
ইমাসকুলেটর,Emasculator
এম্ব্যাঙ্কিং,Embanking
ভ্রূণ,Embryo
ভ্রূণতত্ত্ব,Embryology
উত্থান,Emergence
ইমুলিফায়ার,Emulsifier
অন্তঃসত্ত্বা,Endogenous
এন্ডোমিটোসিস,Endomitosis
এন্ডোপারাসাইট,Endoparasite
এন্ডোস্পার্ম,Endosperm
এন্টারপ্রাইজ,Enterprise
এনটমোলজি,Entomology
পরিবেশ,Environment
এনজাইম,Enzyme
এপিকোটাইল গ্রাফটিং,Epicotyl grafting
এপিফাইট,Epiphyte
ইক্যুইটি,Equity
নির্মূল,Eradication
অত্যাবশ্যক পুষ্টি,Essential nutrients
অনুমান,Estimation
Itiolation,Etiolation
ইউজেনিক,Eugenic
মূল্যায়ন,Evaluation
বাষ্পীভবন,Evaporimeter
বাষ্পী-স্থানান্তর,Evapo-transpiration
চিরসবুজ বিপ্লব,Evergreen revolution
চিরসবুজ,Evergreen
বিবর্তন,Evolution
আবগারি,Excise
ক্লান্তি (উর্বরতা),Exhaustion (fertility)
শোষণ,Exploitation
অনুসন্ধান,Exploration
এক্সট্রুশন,Extrusion
চোখ (সুগারকেন/আলু),Eye (sugercane/potato)
ভোজ্য পাইন,Edible pine
"হাতি পা, ইয়াম","Elephant foot, yam"
ইউক্যালিপটাস,Eucalyptus
কেঁচো,Earthworm
এনটমোলজিস্ট,Entomologist
পরিবেশবাদী,Environmentalist
ফ্যাক্টর,Factor
ফ্যাক্টর উত্পাদনশীলতা,Factor productivity
ফ্যাক্টরেজ,Factorage
ফ্যাক্টরিয়াল ব্লক ডিজাইন,Factorial block design
ফ্যাক্টেটিভ,Facultative
পতন,Fallow
পরিবার,Family
খামার মূল্যায়ন,Farm appraisal
খামার বাজেট,Farm budgeting
খামার ব্যবসা,Farm business
খামার পরিকল্পনা,Farm planning
কৃষক,Farmer
কৃষিকাজ,Farming
ফ্যাসিয়েশন,Fasciation
ফেকান্ডেশন,Fecundation
গাঁজন,Fermentation
উর্বরতা,Fertility
সার,Fertilizer
সার ব্যবহারের দক্ষতা,Fertilizer use efficiency
তন্তু,Fibrous
ক্ষেত্র,Field
ক্ষেত্রের ক্ষমতা,Field capacity
ক্ষেত্র প্রদর্শন,Field demonstration
স্থিরকরণ,Fixation
বন্যা,Flooding
প্রবাহ চিত্র,Flow diagram
খাদ্য মান,Food value
ঘাস (পশুর),Forage (fodder)
পূর্বাভাস,Forecasting
বন। জংগল,Forest
বনাঞ্চল,Forestation
ফ্রন্ড,Frond
ফ্রস্ট প্রতিরোধী,Frost resistant
ফ্রস্ট,Frost
হিমায়িত (ফল ও উদ্ভিজ্জ),Frozen (fruit & vegetable)
ফলস্বরূপ,Fructification
ফল ড্রপ,Fruit drop
ফল-সেট (ফল সেটিং),Fruit-set (fruit setting)
ধোঁয়াশা,Fumigation
ছত্রাকনাশক,Fungicide
ছত্রাকজনিত,Fungistatic
ছত্রাক,Fungus
ফুরো,Furow
একীকরণ,Fusion
ফুজ,Fuzz
অস্পষ্ট,Fuzzy
"মৌরি, অ্যানিস","Fennel, anise"
ফেনুগ্রেক,Fenugreek
ডুমুর,Fig
আঙুলের বাজরা,Finger millet
ফায়ার-ফ্লেমে বুশ,Fire-flame bush
বনের শিখা,Flame of forest
ফরাসি শিম,French bean
ফ্লা,Flea
ফক্স,Fox
ফলের মাছি,Fruit fly
গল (হর্ট),Gall (Hort)
গেমেট,Gamete
বাগান,Garden
গেজ (জল),Gauge (water)
জিন ব্যাংক,Gene bank
জিন ট্যাগিং,Gene tagging
জিনোলজি,Geneology
জেনেটিক মানচিত্র,Genetic map
জেনেটিক্স,Genetics
জিনোম,Genome
জিনোমিক লাইব্রেরি,Genomic library
জিনোমিক্স,Genomics
জিনোটাইপ,Genotype
জিনোটাইপ,Genotype
জেনাস,Genus
জেনাস,Genus
জীবাণু,Germ
জীবাণু,Germicide
অঙ্কুরোদগম,Germination
জীবাণু,Germplasm
গিব্বেরেলিক অ্যাসিড,Gibberellic acid
জিনিং,Ginning
গ্লুম,Glume
আঠালো,Glutinous
গ্লাইকোলাইসিস,Glycolysis
Gneiss,Gneiss
সোনার বিপ্লব,Golden revolution
গ্রেডিং,Grading
গ্রাফ্টেড উদ্ভিদ,Grafted plant
গ্রাফ্ট-ইনমপ্যাটেবল,Graft-incompatible
গ্রান্না,Granna
গ্রানুলেশন,Granulation
সবুজ সার,Green manure
সবুজ বিপ্লব,Green revolution
বৃদ্ধি এবং উন্নয়ন,Growth and development
গুমোসিস,Gummosis
Gynodioecious,Gynodioecious
গল বাদাম,Gall nut
রসুন,Garlic
জেরবেরা,Gerbera
ঘেরকিন,Gherkin
আদা,Ginger
গ্ল্যাডিওলাস,Gladiolus
ছাগলের আগাছা (আগেরেটাম),Goat weed (ageratum)
আঙ্গুর,Grapefruit
আঙ্গুর,Grapes
সবুজ ছোলা,Green gram
গ্রুইয়া,Grewia
চিনাবাদাম,Groundnut
পেয়ারা,Guava
গিনি ঘাস,Guinea grass
গ্যাল মিড,Gall midge
ঘাস হপার,Grass hopper
গুন্ডি বাগ,Gundhy bug
অভ্যাস,Habit
শিলাবৃষ্টি,Hail
হেয়ারভেচ,Hairyvetch
হ্যালোফাইট,Halophyte
হ্যারো,Harrow
ফসল সূচক,Harvest index
ফসল,Harvest
ফসল কাটা,Harvesting
হ্যাচ,Hatch
খড়,Hay
হেইলজ,Haylage
হেইস্টক,Haystock
ধোঁয়াশা,Haze
আড়ম্বরপূর্ণ,Hazy
মাথা (কৃষি),Head (Agro)
মাথা (চ্যানেলের),Head (of channel)
পিছনে মাথা,Heading back
হেজ,Hedge
হেজিং,Hedging
হেলিক্স,Helix
হেমাটাইট,Hematite
ভেষজ,Herb
হার্বেরিয়াম,Herbarium
হার্বিসাইড,Herbicide
বংশগততা,Heredity
হেরেটিবিলিটি,Heretability
হার্মাফ্রোডাইট,Hermaphrodite
হিটারোক্রোমেটিক,Heterochromatic
হেটেরোফেরটিলাইজেশন,Heterofertilization
হিটারোসিস,Heterosis
হেটেরোসোম,Heterosome
