Kannada,Assamese
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,এক্সেছ স্কেন
ಪರಿಕರ,আনুষংগিক বস্তু
ಖಾತೆ,একাউণ্ট
ಖಾತೆ ID,একাউণ্ট আইডি
ಸಂಚಯಕ,এক্যুলেটৰ
ನಿಖರತೆ,শুদ্ধতা
ಪ್ರವೇಶ,acess
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,acess index
ಪ್ರವೇಶ ಕೀ,acess key
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,acess মেট্ৰিক্স
ಪ್ರವೇಶ ಮೋಡ್,প্ৰৱেশ ধৰণ
ಪ್ರವೇಶ ಸವಲತ್ತು,acess বিশেষাধিকাৰ
ಪ್ರವೇಶ ಭದ್ರತೆ,acess security
ಪ್ರವೇಶ ಸರ್ವರ್,এচেছ চাৰ্ভাৰ
ಪ್ರವೇಶ ಸಮಯ,acess সময়
ಸ್ವೀಕೃತಿ,স্বীকৃতি
ಅಕೌಸ್ಟಿಕ್ಸ್,শব্দবিজ্ঞান
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,সংক্ষিপ্ত ৰূপ
ಕ್ರಿಯೆಯ ಸಂದೇಶ,কাৰ্য্য বাৰ্তা
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,সক্ৰিয়কৰণ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,সক্ৰিয় সংস্কৰণ
ಅಸೈಕ್ಲಿಕ್,অচক্ৰীয়
ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್,অচক্ৰীয় গ্ৰাফ
ಅದಾ ಭಾಷೆ,আদা ভাষা
ಅಡಾಪ್ಟರ್,এডাপ্টাৰ
ಸೇರಿಸಿ,যোগ কৰা
ಕಡತವನ್ನು ಸೇರಿಸು,ফাইল যোগ কৰক
ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ,অপাৰেচন যোগ কৰক
ಸೇರಿಸುವವನು,adder
ವಿಳಾಸ,ঠিকনা
ವಿಳಾಸ ಬಸ್,ঠিকনা বাছ
ವಿಳಾಸ ಫೈಲ್,ঠিকনা নথিপত্ৰ
ವಿಳಾಸ ಸ್ವರೂಪ,ঠিকনা বিন্যাস
ವಿಳಾಸ ಜನರೇಟರ್,ঠিকনা উৎপাদক
ವಿಳಾಸ ಸಾಲು,ঠিকনা ৰেখা
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,ঠিকনা মেপিং
ವಿಳಾಸ ಪಾಯಿಂಟರ್,ঠিকনা পইণ্টাৰ
ವಿಳಾಸ ನೋಂದಣಿ,ঠিকনা পঞ্জীয়ন
ವಿಳಾಸ ನಿರ್ಣಯ,ঠিকনা সমাধান
ವಿಳಾಸ ಅನುವಾದ,ঠিকনা অনুবাদ
ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,ঠিকনাযুক্ত মেমৰি
ಉದ್ದೇಶಿಸಿ,সম্বোধন কৰা
ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು,পৰ্যাপ্ততাৰ মাপকাঠী
ಪಕ್ಕದ,সংযুক্ত
ಆಡಳಿತ,প্ৰশাসন
ನಿರ್ವಾಹಕ,প্ৰশাসক
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,এডোব এক্ৰ&#39;বেট
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,এডোব ফটোশ্বপ
ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP),উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP)
ಸುಧಾರಿತ ಡೇಟಾ,উন্নত তথ্য
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,উন্নত তথ্য ব্যৱস্থা
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),উন্নত প্ৰযুক্তি (AT)
ಏಜೆಂಟ್,এজেণ্ট
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,একত্ৰীকৰণ
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್,aldus পৃষ্ঠা নিৰ্মাতা
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,সতৰ্কবাণী বাকচ
ಆಲ್ಗೋಲ್,এলগোল
ಅಲ್ಗಾರಿದಮ್,এলগৰিদম
ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ,এলগৰিদম বিশ্লেষণ
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,এলগৰিদম দক্ষতা
ಅಲಿಯಾಸ್,alias
ಜೋಡಣೆ,প্ৰান্তিককৰণ
ಹಂಚಿಕೆ,আবণ্টন
ವರ್ಣಮಾಲೆಯ,বৰ্ণানুক্ৰমিক
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,আলফানিউমেৰিক
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್,আলফানিউমেৰিক কি বৰ্ড
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ,আলফা-পৰীক্ষা
ಆಲ್ಫಾ-ಆವೃತ್ತಿ,আলফা-সংস্কৰণ
ಆಲ್ಟ್ ಕೀ,alt কি&#39;
ಅಲ್ಟಾವಿಸ್ತಾ,আলতাভিস্তা
ಅಸ್ಪಷ್ಟತೆ,অস্পষ্টতা
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,অস্পষ্ট ব্যাকৰণ
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI)
ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII),তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII)
ಅನಲಾಗ್,এনালগ
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,এনালগ কম্পিউটাৰ
ಅನಲಾಗ್ ಸಾಧನ,এনালগ ডিভাইচ
ಅನಲಾಗ್ ಮೋಡೆಮ್,এনালগ মডেম
ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC),এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC)
ಮತ್ತು,আৰু
ಮತ್ತು ಸರ್ಕ್ಯೂಟ್,AND বৰ্তনী
ಮತ್ತು ಗೇಟ್,AND গেট
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),AND অপাৰেচন নহয় (বৰ্জন)
ಅನಿಮೇಷನ್,এনিমেচন
ಟಿಪ್ಪಣಿ,টীকাকৰণ
ಅಸಂಗತತೆ,বিজুতি
ಪೂರ್ವಭಾವಿ,পূৰ্বসূৰী
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,প্ৰত্যাশিত পেজিং
ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ,এন্টি-চিমেট্ৰিক
ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ,এন্টিভাইৰাছ প্ৰগ্ৰেম
ಆಪ್ಲೆಟ್,applet
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,এপ্লিকেচন ডেভেলপাৰ
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,এপ্লিকেচন প্ৰগ্ৰেমিং
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API),এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,এপ্লিকেচন চফ্টৱেৰ
ಅನ್ವಯಿಕ ಭಾಷೆ,প্ৰয়োগমূলক ভাষা
ಅಂದಾಜು ಸಿದ್ಧಾಂತ,আনুমানিক তত্ত্ব
ವಾಸ್ತುಶಿಲ್ಪ,স্থাপত্য
ಪ್ರದೇಶ ವರ್ಗಾವಣೆ,এলেকা হস্তান্তৰ
ವಾದ,তৰ্কাতৰ্কি
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ,গাণিতিক আৰু যুক্তিৰ একক
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,গাণিতিক পৰীক্ষা
ಅಂಕಗಣಿತ ಸ್ಥಿರ,গাণিতিক ধ্ৰুৱক
ಅಂಕಗಣಿತದ ಡೇಟಾ,গাণিতিক তথ্য
ಅಂಕಗಣಿತದ ಸೂಚನೆ,গাণিতিক নিৰ্দেশনা
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU),গাণিতিক আৰু যুক্তি একক (ALU)
ಅರ್ಪಾನೆಟ್,ARPANET
ಶ್ರೇಣಿ,এৰে
ರಚನೆಯ ಸಂಗ್ರಹ,এৰে কেচ
ಅರೇ ಕಂಪ್ಯೂಟರ್,এৰে কম্পিউটাৰ
ರಚನೆಯ ಅಂಶ,এৰে উপাদান
ರಚನೆಯ ಹೆಸರು,এৰেৰ নাম
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,এৰে প্ৰচেছৰ
ಬಾಣದ ಕೀಲಿಗಳು,কাঁড় চিহ্নসমূহ
ಉಚ್ಚಾರಣೆ,আৰ্টিকুলেচন
ಉಚ್ಚಾರಣಾ ಬಿಂದು,আৰ্টিকুলেচন পইণ্ট
ಕೃತಕ ಸಂಕೋಚನ,কৃত্ৰিম সংকোচন
ಕೃತಕ ನಿಯಂತ್ರಣ,কৃত্ৰিম নিয়ন্ত্ৰণ
ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ,কৃত্ৰিম বুদ্ধিমত্তা
ಆರೋಹಣ,আৰোহী
ಆರೋಹಣ ರೀತಿಯ,আৰোহী সজাই পৰাই তোলা
ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್,ASCII betical ক্ৰম
ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ,ASCII নিয়ন্ত্ৰণ আখৰ
ASCII ಫೈಲ್,ASCII নথিপত্ৰ
ASCII ಫಾಂಟ್,ASCII ফন্ট
ASCII ವರ್ಗಾವಣೆ,ASCII স্থানান্তৰ
ಆಕಾರ ಅನುಪಾತ,এস্পেক্ট ৰেচিঅ&#39;
ASPI,এ এছ পি আই
ASR ಟೈಮರ್,ASR টাইমাৰ
ಜೋಡಿಸು,একত্ৰিত কৰা
ಅಸೆಂಬ್ಲರ್,এছেম্বলাৰ
ಸಭೆ,সভা
ಅಸೆಂಬ್ಲಿ ಭಾಷೆ,সমাবেশ ভাষা
ಪ್ರತಿಪಾದನೆ,assertion
ನಿಯೋಜನೆ,আবণ্টন কৰা কাৰ্য
ಸಂಘ,সংস্থা
ಸಹಾಯಕ ವಿಳಾಸ,সহযোগী ঠিকনা
ಸಹಾಯಕ ಸ್ಮರಣೆ,সহযোগী স্মৃতিশক্তি
ಆಸ್ಟರಿಕ್,এস্টেৰিক
ಅಸಮ್ಮಿತ,অসমতাপূৰ্ণ
ಅಸಮಕಾಲಿಕ,এচিনক্ৰ&#39;নাছ
ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL),ডিজিটেল গ্রাহক লাইন (ADSL)
ಅಸಮಕಾಲಿಕ ಸಮಯ ವಿಭಾಗ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM),asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM),এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM)
ಪರಮಾಣು,পৰমাণু
ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್,সংলগ্ন নথিপত্ৰ
ಲಗತ್ತಿಸಲಾದ ಕಡತ,সংলগ্ন ফাইল
ಬಾಂಧವ್ಯ,সংলগ্নক
ಗುಣಲಕ್ಷಣ,বৈশিষ্ট্য
ಆಡಿಯೋ,অডিঅ&#39;
ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,অডিট প্ৰগ্ৰেমিং
ಆಡಿಟ್ ಟ್ರಯಲ್,অডিট ট্ৰেইল
ವರ್ಧನೆ,বৃদ্ধি কৰা
ದೃಢೀಕರಣ ಪ್ರೋಟೋಕಾಲ್,প্ৰমাণীকৰণ প্ৰটোকল
ಲೇಖಕ ವ್ಯವಸ್ಥೆ,লেখক ব্যৱস্থা
ಅಧಿಕಾರ,অনুমোদন
ಸ್ವಯಂ ಅಮೂರ್ತ,অটো বিমূৰ্ত
ಸ್ವಯಂಬೂಟ್ ಮಾಡುವಿಕೆ,স্বয়ংক্ৰিয় বুট কৰা
ಆಟೋಕ್ಯಾಡ್,অটোকেড
ಸ್ವಯಂ ಲಾಗ್ ಆನ್,অটোলগ অন
ಸ್ವಯಂಚಾಲಿತ,automata
ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ,automata তত্ত্ব
ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟಿಂಗ್,স্বয়ংক্ৰিয় কম্পিউটিং
ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ,স্বয়ংক্ৰিয় ভুল সংশোধন
ಸ್ವಯಂಚಾಲಿತ ಕಾರ್ಯ,স্বয়ংক্ৰিয় কাৰ্য্য
ಸ್ವಯಂಚಾಲಿತ ಸೂಚ್ಯಂಕ,স্বয়ংক্ৰিয় সূচীভুক্তকৰণ
ಸ್ವಯಂಚಾಲಿತ ಲೈಬ್ರರಿ ಕರೆ,স্বয়ংক্ৰিয় লাইব্ৰেৰী কল
ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್,স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং
ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ,স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম
ಸ್ವಯಂಚಾಲಿತ ದಿನಚರಿ,স্বয়ংক্ৰিয় ৰুটিন
ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರ (ATM),স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM)
ಯಾಂತ್ರೀಕೃತಗೊಂಡ,অটোমেচন
ಸ್ವಚಾಲಿತ,অটোপ্লে
ಸ್ವಯಂ ಉಳಿಸಿ,স্বয়ংক্ৰিয় সংৰক্ষণ কৰক
ಸಹಾಯಕ,সহায়ক
ಸಹಾಯಕ ಸ್ಮರಣೆ,সহায়ক স্মৃতিশক্তি
ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ,সহায়ক সংৰক্ষণ
ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ,উপলব্ধ তালিকা
ಲಭ್ಯವಿರುವ ಸಮಯ,উপলব্ধ সময়
ಸರಾಸರಿ,গড়
awk (ಭಾಷೆ),awk (ভাষা)
ಬ್ಯಾಕೆಂಡ್,বেকএণ্ড
ಬ್ಯಾಕೆಂಡ್ ಪ್ರೊಸೆಸರ್,বেকএণ্ড প্ৰচেছৰ
ಹಿಂಬದಿ ತೆಗೆಯುವಿಕೆ,বেকফেচ আঁতৰোৱা
ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ,পটভূমি প্ৰক্ৰিয়াকৰণ
ಬ್ಯಾಕಿಂಗ್ ಅಂಗಡಿ,বেকিং ষ্ট&#39;ৰ
ಬ್ಯಾಕ್‌ಪ್ಯಾಚಿಂಗ್,বেকপেচিং
ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್,বেকস্পেচ
ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್,পিছুৱাই যোৱা
ಬ್ಯಾಕ್ ಅಪ್,বেক-আপ
ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ,বেক-আপ মেমৰি
ಹಿಂದುಳಿದ ದೋಷ ಚೇತರಿಕೆ,পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ
ಆಯವ್ಯಯ ಪಟ್ಟಿ,বেলেন্স শ্বীট
ಬ್ಯಾಂಡ್,বেণ্ড
ಬ್ಯಾಂಡ್ ಅಗಲ,বেণ্ডৰ প্ৰস্থ
ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್,বেংকাৰৰ এলগৰিদম
ಬಾರ್ ಕೋಡ್,বাৰ ক&#39;ড
ಬಾರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನರ್,বাৰ ক&#39;ড স্ক্যানাৰ
ಬಾರ್ ಗ್ರಾಫ್,বাৰ গ্ৰাফ
ಮೂಲ ವಿಳಾಸ,ভিত্তি ঠিকনা
ಬೇಸ್ ಬ್ಯಾಂಡ್,বেচ বেণ্ড
ಮೂಲ ಸಂಖ್ಯೆ,ভিত্তি সংখ্যা
ಬೇಸ್ ಟೇಬಲ್,ভিত্তি টেবুল
ಬೇಸಿಕ್,প্ৰাথমিক
ಮೂಲ ನಿಯಂತ್ರಣ,মূল নিয়ন্ত্ৰণ
ಮೂಲ ಇನ್ಪುಟ್,মূল ইনপুট
ಮೂಲ ಸೂಚನೆ,মূল নিৰ্দেশনা
ಮೂಲ ಔಟ್ಪುಟ್,মূল আউটপুট
ಮೂಲ ಹಂತ,মূল পদক্ষেপ
ಬ್ಯಾಚ್,বেটছ
ಬ್ಯಾಚ್ ಫೈಲ್,বেচ ফাইল
ಬ್ಯಾಚ್ ಸ್ಥಾನ,বেচৰ অৱস্থান
ಬ್ಯಾಚ್ ಸಂಸ್ಕರಣೆ,বেচ প্ৰচেছিং
ಬ್ಯಾಚ್ ವ್ಯವಸ್ಥೆ,বেচ ব্যৱস্থা
ಬಾಡ್,baud
ಬೌಡ್ ದರ,বড হাৰ
ಕಿರಣ,আলোকৰশ্মি
ಮಾನದಂಡ,বেঞ্চমাৰ্ক
ದ್ವಿಮುಖ ಸಂವಹನ,দ্বিমুখী যোগাযোগ
ದ್ವಿಮುಖ ಲಿಂಕ್,দ্বিমুখী সংযোগ
ಬೈನರಿ ಕೋಡ್,বাইনাৰী ক&#39;ড
ದ್ವಿಮಾನ ಅಂಕಿ,বাইনাৰী অংক
ಬೈನರಿ ಇನ್‌ಪುಟ್ ಔಟ್‌ಪುಟ್ ಸಿಸ್ಟಮ್ (BIOS),বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS)
ಬೈನರಿ ಸಂಖ್ಯೆ,বাইনাৰী সংখ্যা
ಬೈನರಿ ಆಪರೇಟರ್,বাইনাৰী অপাৰেটৰ
ದ್ವಿಮಾನ ಸಂಬಂಧ,বাইনাৰী সম্পৰ্ক
ಬೈನರಿ ಹುಡುಕಾಟ,বাইনাৰী সন্ধান
ಬೈನರಿ ಸರ್ಚ್ ಟ್ರೀ (BST),বাইনাৰী সন্ধান গছ (BST)
ಬೈನರಿ ವರ್ಗಾವಣೆ,বাইনাৰী স্থানান্তৰ
ಅವಳಿ ಮರ,বাইনাৰী গছ
ಬೈಪೋಲಾರ್ ಮೆಮೊರಿ,বাইপোলাৰ মেম’ৰী
ಜನನ ಮರಣ ಮಾದರಿ,জন্ম মৃত্যুৰ আৰ্হি
ಜನನ ಮರಣ ಪ್ರಕ್ರಿಯೆ,জন্ম মৃত্যু প্ৰক্ৰিয়া
ಸ್ವಲ್ಪ,বিট
ಸ್ವಲ್ಪ ತಪ್ಪು,বিট দোষ
ಬಿಟ್ ನಕ್ಷೆ,বিট মেপ
ಬಿಟ್ ಮ್ಯಾಪ್ ಪಿಕ್ಸೆಲ್ (BMP),বিট মেপ পিক্সেল (BMP)
ಬಿಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,বিট মেট্ৰিক্স
ಬಿಟ್ ಮಾದರಿ,বিট পেটাৰ্ণ
ಬಿಟ್ ಸ್ಥಾನ,বিটৰ অৱস্থান
ಬಿಟ್ ದರ,বিট হাৰ
ಕಪ್ಪು ಪೆಟ್ಟಿಗೆ ಪರೀಕ್ಷೆ,ব্লেক বক্স পৰীক্ষা
ಮಿಟುಕಿಸುವುದು,টিপটিপিয়াই
ಬ್ಲಾಕ್,অৱৰুদ্ধ কৰা
ಬ್ಲಾಕ್ ಸಂಗ್ರಹ,ব্লক কেচ
ಬ್ಲಾಕ್ ಚೆಕ್,ব্লক চেক কৰক
ಬ್ಲಾಕ್ ನಕಲು,ব্লক কপি
ಬ್ಲಾಕ್ ರೇಖಾಚಿತ್ರ,ব্লক ডায়াগ্ৰাম
ನಿರ್ಬಂಧಿಸುವ ನೆಟ್ವರ್ಕ್,নেটৱাৰ্ক ব্লক কৰা
ಬೋರ್ಡ್,ব’ৰ্ড
ಪುಸ್ತಕ ಗುರುತು,বুক মাৰ্ক
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ,বুলিয়ান বীজগণিত
ಬೂಲಿಯನ್ ಸಂಬಂಧ,বুলিয়ান সম্পৰ্ক
ಬೂಟ್ ವಿಭಾಗ,বুট বিভাজন
ಬೂಟ್ ಸ್ಟ್ರಾಪಿಂಗ್,বুট ষ্ট্ৰেপিং
ಬೂಟ್-ಸ್ಟ್ರಾಪ್ ಲೋಡರ್,বুট-ষ্ট্ৰেপ লোডাৰ
ಸೇತುವೆ,সেঁতু
ಬ್ರಾಡ್‌ಬ್ಯಾಂಡ್ ನೆಟ್‌ವರ್ಕಿಂಗ್,ব্ৰডবেণ্ড নেটৱৰ্কিং
ಪ್ರಸಾರ,সম্প্ৰচাৰ
ರೇಡಿಯೋ ಪ್ರಸಾರ,সম্প্ৰচাৰ ৰেডিঅ&#39;
ಬ್ರೌಸ್,ব্ৰাউজ কৰক
ಬ್ರೌಸರ್,ব্ৰাউজাৰ
ಬಿ-ಟ್ರೀ,বি-বৃক্ষ
ಬಬಲ್ ಮೆಮೊರಿ,বুদবুদ স্মৃতিশক্তি
ಬಬಲ್ ರೀತಿಯ,বুদবুদ সজাই পৰাই তোলা
ಬಕೆಟ್,বাল্টি
ಸ್ನೇಹಿತರ ವ್ಯವಸ್ಥೆ,বন্ধু ব্যৱস্থা
ಬಜೆಟ್ ಪರಿಣಾಮಕಾರಿ ನಿಯಂತ್ರಣ,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
ಬಫರ್,বাফাৰ
ದೋಷ,পোক
ಬಸ್,বাছ
ಬೈಟ್,বাইট
ಬೈಟ್ ಕೋಡ್,বাইট ক&#39;ড
ಸಿ,গ
C++,C++
ಸಂಗ್ರಹ,cache
ಸಂಗ್ರಹ ಬಫರ್,কেশ্ব বাফাৰ
ಸಂಗ್ರಹ ಮೆಮೊರಿ,কেশ্ব মেমৰি
ಲೆಕ್ಕಾಚಾರ,গণনা কৰা
ಕ್ಯಾಲ್ಕುಲೇಟರ್,কেলকুলেটৰ
ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಚಿಪ್,কেলকুলেটৰ চিপ
ಕರೆ,কল কৰা
ಹೆಸರಿನಿಂದ ಕರೆ ಮಾಡಿ,নামেৰে ফোন কৰক
ಉಲ್ಲೇಖದ ಮೂಲಕ ಕರೆ ಮಾಡಿ,ৰেফাৰেন্সৰ দ্বাৰা কল কৰক
ಮೌಲ್ಯದಿಂದ ಕರೆ ಮಾಡಿ,মূল্যৰ দ্বাৰা কল কৰক
ವೇರಿಯಬಲ್ ಮೂಲಕ ಕರೆ ಮಾಡಿ,চলকৰ দ্বাৰা কল কৰক
ಕರೆ ಗೇಟ್,গেট কল কৰক
ರದ್ದುಮಾಡು,বাতিল কৰক
ರದ್ದು ಬಟನ್,বাতিল বুটাম
ಅಂಗೀಕೃತ,canonical
ಅಂಗೀಕೃತ ರೂಪ,কেননিক ৰূপ
ಸಾಮರ್ಥ್ಯ,ক্ষমতা
ಸಾಮರ್ಥ್ಯ ಪಟ್ಟಿ,ক্ষমতা তালিকা
