Kannada,Tamil
ಧ್ವನಿ ಘಟಕ,ஒலி அலகு
ಅಕೌಸ್ಟಿಕ್,ஒலியியல்
ಧ್ವನಿ ಜನರೇಟರ್,ஒலி ஜெனரேட்டர்
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,செயல் மற்றும் எதிர்வினை
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,செயல்படுத்துதல்
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,செயல்படுத்தும் ஆற்றல்
"ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್","செயல்படுத்துபவர், செயல்படுத்துபவர்"
ಸಕ್ರಿಯ,செயலில்
ಕ್ರಿಯಾಶೀಲತೆ,செயற்பாடு
ನಿಜವಾದ ಒತ್ತಡ,உண்மையான மன அழுத்தம்
ಗುಸುಗುಸು,கிசுகிசுத்தல்
ಒಟ್ಟುಗೂಡಿಸಲು,மொத்தத்தில்
"ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)","தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)"
"ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)","இணைந்த தொனி, கூடுதல் தொனி (உயிர்)"
ಸಂಯೋಜಕ,சேர்க்கை
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,ஒட்டுதல்
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,பிசின் ஆற்றல்
ಅಡಿಯಾಬಟ್,அடியாபட்
ಅಡಿಯಾಬಾಟಿಕ್,அடியாபாடிக்
ಶಾಖ ನಿರೋಧಕ,வெப்ப காப்பு
ಬಾಂಧವ್ಯ,இணைப்பு
ಹೊಂದಾಣಿಕೆ,அனுசரிப்பு
ನುಗ್ಗುವಿಕೆ,ஊடுருவல்
ಹೊರಹೀರುವಿಕೆ,உறிஞ்சுதல்
ಮುಂದೆ,முன்னோக்கி
ಪ್ರಗತಿಪರ,முற்போக்கானது
"ಆಕಾಶಿ, ವಾಯು (ವಿ.), ವೈಮಾನಿಕ (ಸಂ)","ஆகாஷி, காற்று (வி.), வான்வழி (பதிப்பு)"
ಆಂಟೆನಾ ಸ್ಟ್ರೀಮ್,ஆண்டெனா ஸ்ட்ரீம்
ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ,வான்வழி ஆய்வு
ಗಾಳಿಯ ವೇಗ,காற்று வேகம்
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಗುಣಾಂಕ,ஏரோடைனமிக் குணகம்
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ,காற்றியக்கவியல்
ವಾಯುಬಲವಿಜ್ಞಾನ,காற்றியக்கவியல்
ಏರೋನಾಟಿಕಲ್,வானூர்தி
ಏರೋನಾಟಿಕ್ಸ್,ஏரோநாட்டிக்ஸ்
ಗಾಳಿಯ ನಾಡಿ,காற்று துடிப்பு
"ವಾತಾವರಣ, ಅನಿಲಗೋಳ","வளிமண்டலம், வாயுக்கோளம்"
ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ,கவனம் அமைப்பு
ಹಿಂಭಾಗದ ದಹನ,மீண்டும் பற்றவைப்பு
ಹಿಂಬದಿ ಬೆಳಕು,பின் ஒளி
ಕನ್ಕ್ಯುಶನ್,அதிர்ச்சி
"ವಯಸ್ಸು, ವಯಸ್ಸು, ವಯಸ್ಸು, ಯುಗ (ed.), ಸಮಯವನ್ನು ಪ್ರಭಾವಿಸಲು (ver.), ಸಮಯ, ಸಮಯದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ","வயது, வயது, வயது, சகாப்தம் (பதிப்பு), நேரத்தை பாதிக்க (ver.), நேரம், காலத்தால் பாதிக்கப்படுவது"
ಸಮಯ ಪ್ರಭಾವಿತವಾಗಿದೆ,நேரம் பாதிக்கப்பட்டது
"ವಯಸ್ಸಾದ, ವಯಸ್ಸಾದ","முதுமை, முதுமை"
ಸಮಯದ ಪರಿಣಾಮ,நேர விளைவு
ಸಮಯ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ,நேர விளைவு சோதனை
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಲ್ಲದ,புவியீர்ப்பு இல்லாதது
ಸಮನ್ವಯ,நல்லிணக்கம்
"ವಾಯುಗಾಮಿ ರಾಡಾರ್, ವೈಮಾನಿಕ ರಾಡಾರ್","வான்வழி ரேடார், வான்வழி ரேடார்"
"ವೈಮಾನಿಕ ಗುರಿ, ವೈಮಾನಿಕ ಗುರಿ","வான் இலக்கு, வான் இலக்கு"
ವಾಯು ಉಸಿರಾಟಕಾರಕ,காற்று சுவாசக் கருவி
ಹವಾನಿಯಂತ್ರಣ,ஏர் கண்டிஷனிங்
ಏರ್ಕ್ರೂ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್,காற்று எதிர்ப்பு மின்மாற்றி
ವಿಮಾನ,விமானம்
ಜೋಡಣೆ,சீரமைப்பு
ಜೋಡಣೆ ದೋಷ,சீரமைப்பு பிழை
ಲೈವ್ ಸರ್ಕ್ಯೂಟ್,நேரடி சுற்று
ಪೂರ್ಣ ಗಾಜಿನ ಕೊಳವೆ,முழு கண்ணாடி குழாய்
ಸಂಪೂರ್ಣ ಲೋಹದ ಕೊಳವೆ,முழு உலோக குழாய்
ಸರಿಪಡಿಸಲು,சரி செய்ய
"ಮಿಶ್ರತು (ಸಂ), ಮಿಶ್ರತ್ವಾನ್ (ಸಿಆರ್.)","மிஸ்ரது (பதிப்பு), மிஷ்ரத்வான் (சிஆர்.)"
ಮಿಶ್ರತ್ವಾನ್,மிஷ்ரத்வான்
ಸರ್ವತ್ರ ಮಾಧ್ಯಮ,எங்கும் நிறைந்த ஊடகம்
ಓಮ್ನಿ ಆಂಟೆನಾ,ஆம்னி ஆண்டெனா
ಪಂಚಾಂಗ,பஞ்சாங்கம்
ಆಲ್ಫಾ,ஆல்பா
ಆಲ್ಫಾ ಚಟುವಟಿಕೆ,ஆல்பா-செயல்பாடு
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,எண்ணெழுத்து
ಆಲ್ಫಾ ಕಿರಣ,ஆல்பா கதிர்
ಬದಲಾವಣೆ,மாற்றம்
"ಪರ್ಯಾಯ, ಪರ್ಯಾಯ","மாற்று, மாற்று"
ಆವರ್ತಕ,மின்மாற்றி
ಅಲ್ಟಿಮೀಟರ್,உயரமானி
ಅಲ್ಟಿಮೀಟರ್,உயரமானி
ಆಲ್ಟೈಮೆಟ್ರಿ,அல்டிமெட்ரி
"ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ","உயரம், உயரம், உயரம், உயரம்"
ಅಂಕಗಣಿತದ ತಾರ್ಕಿಕ ಘಟಕ (ALU),எண்கணித ரீசனிங் யூனிட் (ALU)
ಅಮೇಟ್ ನಿಯಮ,அமுத விதி
ಪರಿಸರ,சூழல்
ಅಮಿಕ್ರಾನ್,அமிக்ரான்
ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಮಾಪಕ,அம்மீட்டர்
ಆಂಪಿಯರ್,ஆம்பியர்
ಆಂಪಿಯರ್-ಕಾನೂನು,ஆம்பியர்-சட்டம்
ಉಭಯಚರ ಅಯಾನು,நீர்வீழ்ச்சி அயனி
ವರ್ಧನೆ,பெருக்கம்
ಆಂಪ್ಲಿಫಯರ್,பெருக்கி
"ಕೋನ, ಆಯಾಮ","கோணம், பரிமாணம்"
ಎ. ಎಂ.ಯು. (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),அ. எம்.யு. (அணு நிறை அலகு)
ಹೊಂದಬಲ್ಲ,இணக்கமான
ಸಾದೃಶ್ಯ,ஒப்புமை
ವಿಶ್ಲೇಷಕ,ஆய்வாளர்
ವಿಶ್ಲೇಷಣೆ,பகுப்பாய்வு
ವಿಶ್ಲೇಷಣಾತ್ಮಕ,பகுப்பாய்வு
ಪಾಯಿಂಟ್ ಅಲ್ಲದ,புள்ளி அல்லாத
ಅಸಂಗತ,முரண்பாடான
ಮತ್ತು ಬಾಗಿಲು,மற்றும் கதவு
ಅಕೌಸ್ಟಿಕ್ ಅಲ್ಲದ,ஒலி அல்லாத
ಅಸಂಗತ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ,ஒழுங்கற்ற நெகிழ்ச்சி
ಜಲರಹಿತ,நீரற்ற
ಕೋನ,கோணம்
ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ,angstrom அலகு
ಕೋನೀಯ,கோணல்
ಪ್ರೊಟ್ರಾಕ್ಟರ್ ವರ್ನಿಯರ್,நீடிப்பான் வெர்னியர்
ವಿವಾದಾತೀತ,சர்ச்சைக்குரிய
ಗೌರವವಿಲ್ಲದ,மரியாதையற்ற
ವರ್ಣರಹಿತ ಕಾಂತೀಕರಣ,வண்ணமயமான காந்தமாக்கல்
ಆಲಸ್ಯ,மந்தமான
ಅಯಾನ್,அயனி
ಅಸಮ್ಮಿತ,சமச்சீரற்ற
ಐಸೊಟ್ರೊಪಿಕ್,ஐசோட்ரோபிக்
ಐಸೊಟ್ರೋಪಿಸಮ್,ஐசோட்ரோபிசம்
ಅಳಿಸುವಿಕೆ,நீக்குதல்
ನಿರೂಪಕ,சதிகாரர்கள்
ಆನೋಡ್,நேர்மின்முனை
ಆನೋಡೈಸೇಶನ್,அனோடைசேஷன்
ಅಸಮಂಜಸ,சீரற்ற
ಆಪ್ಟಿಕಲ್ ಸಿಸ್ಟಮ್,ஒளியியல் அமைப்பு
ಆಂಟೆನಾ,ஆண்டெனா
ಆಂಟಿಬೆರಿಯನ್,ஆன்டிபெரியன்
ವಿರೋಧಿ ಬಂಧ ಆಸ್ತಿ,பிணைப்பு எதிர்ப்பு சொத்து
ಕೌಂಟರ್ ಬಾಂಡ್,எதிர் பத்திரம்
ಹಿಮ್ಮುಖ ಶಕ್ತಿ,தலைகீழ் சக்தி
ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್,காந்தவியல்
ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್ ವಸ್ತು,காந்தப் பொருள்
ವಿರೋಧಿ ಉರಿಯೂತ,அழற்சி எதிர்ப்பு
ಗುರುತ್ವ ವಿರೋಧಿ,ஈர்ப்பு எதிர்ப்பு
antilamda ಕಣ,ஆன்டிலாம்டா துகள்
ಅಲೆಲೆಪ್ಟನ್,அலெப்டன்
ಕಾಂತೀಯ,காந்தவியல்
ಆಂಟಿಮಾಟರ್,எதிர்ப்பொருள்
ವಿರೋಧಿ ಕ್ಷಿಪಣಿ,எதிர்ப்பு ஏவுகணை
ಆಂಟಿನ್ಯೂಟ್ರಾನ್,எதிர்நியூட்ரான்
ಮಿಡಿಯುತ್ತಿದೆ,துடிக்கும்
ಆಂಟಿನ್ಯೂಕ್ಲಿಯಾನ್,எதிர் அணுக்கரு
ಪ್ರತಿಕಣ,எதிர் துகள்
ಆಂಟಿಪ್ರೋಟಾನ್,ஆன்டிபுரோட்டான்
ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ,எதிர் பிரதிபலிப்பு
ಆಂಟಿಸಮ್ಮಿತೀಯ,சமச்சீரற்ற
ಮರುಕಳಿಸುವುದಿಲ್ಲ,மீண்டும் நிகழாதது
ಅನಾಕ್ರೊನಿಸಮ್,காலமற்ற தன்மை
ರಂದ್ರ ಸ್ಕ್ಯಾನಿಂಗ್ ಡಿಸ್ಕ್,துளையிடப்பட்ட ஸ்கேனிங் வட்டு
ದ್ವಾರಕ್,துவாரக்
"ಮೇಲ್ಭಾಗ, ಮೇಲ್ಭಾಗ, ಮುಂಭಾಗ","மேல், மேல், முன்"
"ಸೂರ್ಯ ಅಧಿಕ, ಸೂರ್ಯ ಅಧಿಕ, ಅಪ್ಸೌರ್","சூரியன் உயர், அதிக சூரியன்"
ನಿರಾಸಕ್ತಿ ಲೇಸ್,அக்கறையற்ற சரிகை
ಕರುಣಾಜನಕವಲ್ಲದ,பரிதாபமற்றது
ಅಂಗವೈಕಲ್ಯವಲ್ಲದ,இயலாமை
ಬಹಳ ವರ್ಣರಹಿತ,மிகவும் வண்ணமயமான
"ಭೂಮಿ-ಎತ್ತರ, ಅಪೋಜಿ","நிலம்-உயர்ந்த, உச்சநிலை"
"ಧ್ರುವೀಯವಲ್ಲದ, ವೃತ್ತಾಕಾರದ","துருவமற்ற, சுற்றளவு"
ಪರಧ್ರುವೀಯತೆ,பார்ப்பனியம்
ಸಾಧನ,சாதனம்
"ವಾಸ್ತವ, ದೃಶ್ಯ","மெய்நிகர், காட்சி"
ಗೋಚರ ಸೂರ್ಯ,தெரியும் சூரியன்
ದೃಶ್ಯ ಸಮಯ,காட்சி நேரம்
ಹೊರಹೊಮ್ಮುವ ನೋಟ,வெளிப்படும் தோற்றம்
ಅಪ್ಲಿಕೇಶನ್,விண்ணப்பம்
ಅನ್ವಯಿಸುವಿಕೆ,பொருந்தக்கூடிய தன்மை
ಅನ್ವಯಿಸಲಾಗಿದೆ,விண்ணப்பித்தார்
ಗಮನಿಸಬಹುದಾದ,கவனிக்கத்தக்கது
ಅನುಸಂಧಾನ,அணுகுமுறை
"ಹತ್ತಿರ, ಸುಮಾರು","அருகில், தோராயமாக"
ಅಂದಾಜು,தோராயம்
ಆವಿಯ ಒತ್ತಡ,நீராவி அழுத்தம்
ಸ್ವಯಂಪ್ರೇರಿತ,தன்னார்வ
"ಆರ್ಕ್ ಫರ್ನೇಸ್, ಆರ್ಕ್ ಫರ್ನೇಸ್","வில் உலை, வில் உலை"
ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು,ஆர்க்கிமிடிஸ் சட்டம்
ವಾಸ್ತುಶಿಲ್ಪದ ಅಕೌಸ್ಟಿಕ್ಸ್,கட்டிடக்கலை ஒலியியல்
ಆರ್ಕ್ ದೀಪ,பரிதி விளக்கு
ಆರ್ಕ್-ಸ್ಪೆಕ್ಟ್ರಮ್,வில்-ஸ்பெக்ட்ரம்
"ಪ್ರದೇಶ, ಪ್ರದೇಶ","பகுதி, பகுதி"
"ಪ್ರಾದೇಶಿಕ, ಪ್ರಾದೇಶಿಕ","பிராந்திய, பிராந்திய"
"ತೋಳು, ತೋಳು, ಶಾಖೆ","கை, கை, கிளை"
ಹವ್ಯಾಸಿ,அமெச்சூர்
"ವ್ಯೂಹ, ವ್ಯೂಹ","வரிசை, வரிசை"
ರಿಸೀವರ್,பெறுபவர்
ಉಚ್ಚಾರಣೆ ಸ್ಪಷ್ಟತೆ,உச்சரிப்பு தெளிவு
ಸಂಶ್ಲೇಷಿತ,செயற்கை
ಕೃತಕ ರೂಪಾಂತರ,செயற்கை மாற்றம்
ಆರೋಹಣ,ஏறுமுகம்
ಆರೋಹಣ,ஏற்றம்
ಹತ್ತುವುದು,ஏறும்
ಆಗೋಲಿ,அகோலி
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,திரட்டுதல்
ಜೊತೆ,தொகுப்பு
"ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು","கூட்டுதல், கூட்டுதல்"
"ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು","அசெம்பிளிங், அசெம்பிள், அசெம்பிள்"
ನಿಖರವಾದ ಅಂದಾಜು,துல்லியமான மதிப்பீடு
ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ (ಕ್ವಾಂಟಮ್ ಸಂಖ್ಯೆಗಳ) ವಿಶೇಷಣಗಳು,குறிப்பிடப்பட்ட (குவாண்டம் எண்களின்) விவரக்குறிப்புகள்
"ಸಂಬಂಧಿತ, ಸಹಾಯಕ, ಸಂಯೋಜಿತ","தொடர்புடைய, துணை, இணைந்த"
ಸ್ವರ ಧ್ವನಿ,உயிர் ஒலி
ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,தானியங்கி மல்டிவிபிரேட்டர்
ಅಸ್ತೇನಿಕ್,ஆஸ்தெனிக்
"ಇಂದ್ರಿಯನಿಗ್ರಹ, ಅಸ್ಟಿಗ್ಮ್ಯಾಟಿಸಮ್","மதுவிலக்கு, astigmatism"
ಬಾಹ್ಯಾಕಾಶ ಪ್ರಯಾಣ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,விண்வெளி பயண மின்னணுவியல்
ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ,வானியற்பியல்
ಗಗನಯಾತ್ರಿ,விண்வெளி
ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ,வானியலாளர்
ಆಕಾಶ,விண்ணுலகம்
ಖಗೋಳಶಾಸ್ತ್ರ,வானியல்
ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ,வானியற்பியல்
ಅಸಮ್ಮಿತ,சமச்சீரற்ற
ಲಕ್ಷಣರಹಿತ,அறிகுறியற்ற
ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ,மோசமாக்கும்
ಅಸಮಕಾಲಿಕ,ஒத்திசைவற்ற
"ವಾತಾವರಣ, ವಾತಾವರಣ","வளிமண்டலம், வளிமண்டலம்"
ವಾತಾವರಣದ,வளிமண்டலம்
ಗಾಳಿ ಪ್ರಕ್ಷುಬ್ಧತೆ,காற்று கொந்தளிப்பு
ಪರಮಾಣು,அணுக்கரு
ಪರಮಾಣು,அணு
ಪರಮಾಣುತ್ವ,அணுசக்தி
ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ,அணுக்கரு நிறை
ಪರಮಾಣು ಸಂಖ್ಯೆ,அணு எண்
"ಪರಮಾಣು ರಿಯಾಕ್ಟರ್, ಪರಮಾಣು ರಾಶಿ","அணு உலை, அணுக் குவியல்"
ಪರಮಾಣು,அணு
ಕಣ,துகள்
ಕಣ,துகள்
ಕ್ಷೀಣತೆ,"தணிவு, தணிவு"
"ಕ್ಷೀಣಿಸುವುದು, ಕ್ಷೀಣಿಸುವುದು","தணித்தல், தணித்தல்"
ಮೋಡಿ,வசீகரம்
ಆಕರ್ಷಣೆಯ ಶಕ್ತಿ,ஈர்ப்பு சக்தி
ಶ್ರವ್ಯತೆ,கேட்கக்கூடிய தன்மை
ಆಡಿಯೊ ಆವರ್ತನ ಆಂಪ್ಲಿಫಯರ್,ஒலி அதிர்வெண் பெருக்கி
ಶ್ರವ್ಯ,கேட்கக்கூடிய
ಆಡಿಯೋ ಜನರೇಟರ್,ஆடியோ ஜெனரேட்டர்
ಶ್ರವಣ ಗ್ರಾಫ್,கேட்கக்கூடிய வரைபடம்
ಶ್ರವಣ ವಿಜ್ಞಾನ,கேட்கும் அறிவியல்
ಆಡಿಯೋಮೀಟರ್,ஒலிமானி
ಶ್ರವ್ಯ ಆವರ್ತನ ಆಂದೋಲಕ,கேட்கக்கூடிய அதிர்வெண் ஆஸிலேட்டர்
ಧ್ವನಿ ಸಂಕೇತ,ஒலி சமிக்ஞை
ಶ್ರವ್ಯ-ದೃಶ್ಯ,ஒலி-ஒளி காட்சி
"ಸಭಾಂಗಣ, ಸಭಾಂಗಣ","ஆடிட்டோரியம், ஆடிட்டோரியம்"
OZ ಪರಿಣಾಮ,OZ விளைவு
ಪ್ರಚಾರ,பதவி உயர்வு
ವರ್ಧಕ,மேம்படுத்துபவர்
ಧ್ರುವ ಜ್ವಾಲೆ,துருவ சுடர்
ದಕ್ಷಿಣ ಧ್ರುವ ಜ್ವಾಲೆ,தென் துருவ சுடர்
ಉತ್ತರ ಧ್ರುವ ಜ್ವಾಲೆ,வட துருவ சுடர்
ಸ್ವಯಂಚಾಲಿತ ಎಚ್ಚರಿಕೆ,தானியங்கி எச்சரிக்கை
ಸ್ವಯಂ ಸಮಾನಾಂತರಕಾರಕ,தானாக இணையாக
"ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ","தானியங்கி, தானியங்கி, தானியங்கி"
"ಯಾಂತ್ರೀಕೃತಗೊಂಡ, ಯಾಂತ್ರೀಕೃತಗೊಂಡ","ஆட்டோமேஷன், ஆட்டோமேஷன்"
"ಸಹಾಯಕ, ಸಹಕಾರಿ, ಹೆಚ್ಚುವರಿ","உதவியாளர், கூட்டுறவு, கூடுதல்"
"ಅವದಾವ, ಅವಲಾಂಚೆ","அவடவா, அவலாஞ்சி"
"ಅರ್ಥ, ಅರ್ಥ","சராசரி, சராசரி"
ಪರಿವಾರನ್,பரிவாரன்
ಅಕ್ಷೀಯ,அச்சு
ಅಕ್ಷರೇಖೆ,அச்சு
ಅಜಿಮುತ್,அஜிமுத்
ಅಜಿಮುತ್,அஜிமுத்
ಹಿಂದೆ,மீண்டும்
"ಹಿನ್ನೆಲೆ, ಹಿನ್ನೆಲೆ","பின்னணி, பின்னணி"
"ಹಿಂದುಳಿದ, ಹಿಂದುಳಿದ","பின்தங்கிய, பின்தங்கிய"
ತಿರುವು,திருப்புமுனை
ಬ್ಯಾಕ್ ವೋಲ್ಟೇಜ್ ಪಲ್ಸರ್,பின் மின்னழுத்த துடிப்பு
ನಂತರದ ಸಂಬಂಧ,பிந்தைய உறவு
ಮರುಪಾವತಿ,கொடுக்கப்படுவதுடன்
ವಿರೋಧಿ ವೋಲ್ಟೇಜ್,எதிர்ப்பு மின்னழுத்தம்
ಹಿಂಭಾಗದ ಚದುರುವಿಕೆ,பின்புற சிதறல்
ತೆರಪಿನ ಅಲೆ,இடைநிலை அலை
ಇನ್ಸುಲೇಟರ್,இன்சுலேட்டர்
ಪ್ಯಾರಾಚೂಟ್ ಜಿಗಿತ,பாராசூட் ஜம்ப்
ಬಿಸಿ,வெப்பமூட்டும்
"ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ","சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை"
ಬ್ಯಾಲೆನ್ಸರ್,சமநிலைப்படுத்துபவர்
ಸಮತೋಲನ,சமநிலை
ಗೋಳಾಕಾರದ,உருண்டை
"ಬ್ಯಾಲಿಸ್ಟಿಕ್, ಬ್ಯಾಲಿಸ್ಟಿಕ್","பாலிஸ்டிக், பாலிஸ்டிக்"
"ಪ್ರೊಜೆಕ್ಷನ್ ಗಾಲ್ವನೋಮೀಟರ್, ಪ್ರೊಜೆಕ್ಷನ್ ಗಾಲ್ವನೋಮೀಟರ್","ப்ராஜெக்ஷன் கால்வனோமீட்டர், ப்ராஜெக்ஷன் கால்வனோமீட்டர்"
ಕ್ಷಿಪಣಿ,ஏவுகணை
"ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್, ಶಸ್ತ್ರಾಸ್ತ್ರ","பந்துவீச்சு, ஆயுதம்"
ಪ್ರೊಜೆಕ್ಷನ್,கணிப்பு
ಉಚಿತ ಪಥ,இலவச பாதை
"ಬಲೂನ್, ಬಲೂನ್","பலூன், பலூன்"
ಬಾಲ್ಮರ್ ಸ್ಥಗಿತಗೊಳಿಸುವಿಕೆ,பால்மர் இடைநிறுத்தம்
"ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡ್","இசைக்குழு, இசைக்குழு, இசைக்குழு"
ಸ್ಫೋಟ,குண்டு வெடிப்பு
"ವ್ಯೂಹ, ಕಿರಣ, ತೀರ, ದಂಡೆ, ಕರಾವಳಿ","வரிசை, கற்றை, கரை, கரை, கடற்கரை"
