Assamese,English
"সংলগ্ন, সাধাৰণতে, থিয় হৈ, কাটি যোৱা, খণ্ডিত",Abrupt
সঘনাই জপিয়াই পৰে,Abrupt jump
হাত*,Abscissa
হেৰুৱা প্ৰতিফলন,Absent reflection
অনুপস্থিত বৰ্ণালী,Absent spectrum
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত",Absolute
নিৰপেক্ষ ত্বৰণ,Absolute acceleration
নিৰপেক্ষ বাস্তৱতা,Absolute accuracy
নিৰপেক্ষ ঠিকনা,Absolute address-specific address
ভূ-আপেক্ষিক উচ্চতামাপক,Absolute altimeter
ভূতাত্ত্বিক উচ্চতা,Absolute altitude
নিৰপেক্ষ এম্পিয়াৰ,Absolute ampere
নিৰপেক্ষ উতলাংক,Absolute boilling point
নিৰপেক্ষ আলোকসজ্জা,Absolute bolometric luminosity
নিৰপেক্ষ ধাৰণক্ষমতা,Absolute capacity
নিৰপেক্ষ উচ্চতা,Absolute ceiling
নিৰপেক্ষ ৰঞ্জক পদাৰ্থ,Absolute colour index
"নিৰপেক্ষ বিন্যাস, নিৰ্দ্বিধায় বিন্যাস",Absolute configuration
নিৰপেক্ষ coulomb,Absolute coulomb
সম্পূৰ্ণ অন্ধকাৰ,Absolute darkness
নিৰপেক্ষ সময়সূচী,Absolute dating
নিৰপেক্ষ ঘনত্ব*,Absolute density
নিৰপেক্ষ নিষ্কাশন,Absolute drift
নিৰপেক্ষ ইএমইউ (বিদ্যুৎচুম্বকীয় একক),Absolute e.m.u.
নিৰপেক্ষ ই এছ ইউ (স্থিৰ শক্তি একক),Absolute e.s.u.
নিৰপেক্ষ দক্ষতা,Absolute efficiency
নিৰপেক্ষ ইলেক্ট্ৰ&#39;মিটাৰ,Absolute electrometer
নিৰপেক্ষ কম্পাঙ্ক নিৰপেক্ষ কম্পাঙ্ক,Absolute frequency
নিৰপেক্ষ আৰ্দ্ৰতা,Absolute humidity
নিৰপেক্ষ প্ৰাদুৰ্ভাৱ,Absolute incidence
নিৰপেক্ষ বিবৰ্তন সূচকাংক,Absolute index of refraction
নিৰপেক্ষ অস্থিৰতা,Absolute instability
নিৰপেক্ষ অস্থিৰতা,Absolute intensity
"নিৰপেক্ষ তীব্ৰতা, নিৰপেক্ষ তীব্ৰতা",Absolute length
এষ্টেনিয়াৰ নিৰপেক্ষ সীমা,Absolute limit of hysteresis
নিৰপেক্ষ আলোকসজ্জা sill,Absolute luminance threshold
নিৰপেক্ষ পোহৰৰ বক্ৰ,Absolute luminosity curve
নিৰপেক্ষ পৰিমাণ,Absolute magnitude
নিৰপেক্ষ বেৰ&#39;মিটাৰ,Absolute manometer
পৰম পৰম,Absolute maximum
নিৰপেক্ষ চৰম,Absolute maximum rating
নিৰপেক্ষ সৰ্বনিম্ন,Absolute minimum
নিৰপেক্ষ গতিবেগ,Absolute momentum
নিৰপেক্ষ গতি,Absolute motion
নিৰপেক্ষ সংগীত,Absolute music=pure music
নিৰপেক্ষ পৰ্যবেক্ষণ,Absolute observation
নিৰপেক্ষ ওম,Absolute ohm
নিৰপেক্ষ অভিমুখীতা,Absolute orientation
নিৰপেক্ষ বিদ্যুৎঋণাত্মকতা,Absolute permittivity
নিৰপেক্ষ মাধ্যাকৰ্ষণ,Absolute pitch
নিৰপেক্ষ চাপ,Absolute pressure = true pressure
নিৰপেক্ষ সম্পত্তি,Absolute property
নিৰপেক্ষ স্কেলাৰ,Absolute scalar
উষ্ণতাৰ চূড়ান্ত স্কেল*,Absolute scale of temperature
"নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা",Absolute simultancity
নিৰপেক্ষ চাপ,Absolute stress
নিৰপেক্ষ প্ৰতিসমতা,Absolute symmetry
নিৰপেক্ষ গতি শৰীৰ,Absolute system of motion
নিৰপেক্ষ একক ব্যৱস্থা,Absolute system of units
নিৰপেক্ষ উষ্ণতা,Absolute temperature
নিৰপেক্ষ সময়,Absolute time
নিৰপেক্ষ এককসমূহ,Absolute unit
নিৰপেক্ষ মূল্য,Absolute value
পূৰ্ণসংখ্যা কেলকুলেটৰ,Absolute value computer
নিৰপেক্ষ বেগ,Absolute velocity
নিৰপেক্ষ আঠালতীয়াতা,Absolute viscosity
নিৰপেক্ষ ওজন,Absolute weight
নিৰপেক্ষ শূন্য*,Absolute zero
শূন্যৰ নিৰপেক্ষ হজক,Absolute zero devisor
শুহি লোৱা,Absorb
শোষণ সূচকাংক*,Absorbance
শোষিত শক্তি,Absorbed energy
"শোষক, শোষক",Absorber
শোষক মাধ্যম*,Absorbing medium
শোষণ ক্ষমতা,Absorbing power
শোষণ ক্ষমতা,Absorptance
শোষণমাপক*,Absorptiometer
শোষণমিতি*,Absorptiometry
শোষণ,Absorption
শোষণ - বেণ্ড*,Absorption band
শোষণ বৰ্তনী,Absorption circuit
শোষণ সহগ,Absorption coeffieient
শোষণ স্তম্ভ,Absorption column
শোষণ ধ্ৰুৱক,Absorption constant
শোষণ ধাৰাবাহিকতা,Absorption continua
শোষণ অঞ্চল,Absorption cross section
শোষণ কাৰেণ্ট,Absorption current
শোষণ বক্ৰ*,Absorption curve (=transmission curve)
শোষণ ভাঙন,Absorption discontinuity
শোষণ কোৰ,Absorption edge
শোষণ কাৰক,Absorption factor
শোষণ ফিল্টাৰ,Absorption filter
শোষণ শিখা ফটোমেট্ৰি*,Absorption flame photometry
শোষণ হাইগ্ৰ’মিটাৰ,Absorption hygrometer
শোষণ ঘাত,Absorption index
শোষণ প্ৰান্তীয়,Absorption limit
শোষণ ৰেখা,Absorption line
শোষণ ক্ষতি,Absorption loss
শোষণ মডুলেচন,Absorption modulation=loss modulation
পোহৰ শোষণ,Absorption of light
বিকিৰণ শক্তি শোষণ কৰা,Absorption of radiant energy
শোষণ শিখৰ,Absorption peak
শোষণ আলোকমিতি,Absorption photometry
শোষণ অনুপাত,Absorption ratio
শোষণ পৰিসৰ*,Absorption series
শোষণ বৰ্ণালী আলোকমিতি*,Absorption spectro photometry
শোষণ বৰ্ণালী*,Absorption spectrum
"শোষণ নলী, শোষণ নলী",Absorption tube
শোষণ হাইগ্ৰ’মিটাৰ,Absorption vavemeter
শোষক*,Absorptive
শোষক বাষ্পীভৱনকাৰী,Absorptive attenuator
শোষণ নিয়ম*,Absorptive law
শোষণ মাধ্যম,Absorptive medium
"শোষণ ক্ষমতা, শোষণ ক্ষমতা*",Absorptive power
শোষণ ক্ষমতা*,Absorptivity
ষ্টুডিঅ&#39; সজ্জা,Abstract set=studio decoration
বহুগুণতা অনুপাত,Abundance ratio
abvolt,Abvolt
বিষয়ে,Abwatt
ত্বৰান্বিত কৰক,Accelerate
ত্বৰণ-বন্ধ দূৰত্ব,Accelerate-stop distance
খৰধৰকৈ উঠিল,Accelerated
দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা,Accelerated ageing test
দ্ৰুত প্ৰবাহ,Accelerated flow
দ্ৰুত গতি,Accelerated motion
দ্ৰুত শৰীৰ,Accelerated system
ত্বৰণকাৰী ওজনকাৰী,Accelerating balance
ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*,Accelerating electrode
ত্বৰক সময়*,Accelerating period
ত্বৰণকাৰী পৰ্যায়,Accelerating phase
ত্বৰণকাৰীৰ হাৰ,Accelerating rate
এক্সিলেটৰ ভোল্টেজ*,Accelerating voltage
বেগ বৃদ্ধি,Acceleration
ত্বৰান্বিত দহন,Acceleration blowout=rich extinction=flame out
ত্বৰণ সহগ,Acceleration coefficient
ত্বৰণ উপাদান,Acceleration component
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,Acceleration due to gravity
ত্বৰণ কাৰক,Acceleration factor
ত্বৰিত চাৰ্জ,Acceleration feedback
মাধ্যাকৰ্ষণৰ ত্বৰণ,Acceleration of gravity
ত্বৰণ বিভৱ,Acceleration potential
ত্বৰণ আইন,Acceleration principle
ত্বৰণ প্ৰক্ৰিয়া,Acceleration process
ত্বৰণ অঞ্চল,Acceleration space
ত্বৰণ পদ্ধতি,Acceleration technique
"ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা",Acceleration tolerance
ত্বৰণ ভেক্টৰ,Acceleration vector
ত্বৰণ-ভোল্টেজ,Acceleration voltage
ত্বৰণ তৰংগ,Acceleration wave
ত্বৰণকাৰী,Accelerative
"accelerate, ত্বৰণকাৰী*",Accelerator
ত্বৰক সমীকৰণ,Accelerator equation
ত্বৰণকাৰী*,Accelerograph
এক্সিলেৰমিটাৰ,Accelerometer
এক্সিলেৰমিটাৰ মিলন,Accelerometer matching
প্ৰিষ্ট্ৰেছাৰ,Accentuator
বৈধ আখৰ,Acceptable character
গ্ৰহণযোগ্যতা কোণ,Acceptance angle
গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ,Acceptance specifications
গ্ৰহণযোগ্য পৰীক্ষা,Acceptance test
"গ্ৰহণকাৰী*, গ্ৰহণকাৰী",Acceptor
ৰিচেপ্টৰ পৰমাণু,Acceptor atom
ৰিচেপ্টৰ বণ্ড,Acceptor bond
ৰিচিভাৰ চাৰ্কিট,Acceptor circuit
ৰিচেপ্টৰ স্তৰ,Acceptor level
দাতা অণু,Acceptor molecule
ৰিচেপ্টৰ বৈশিষ্ট্য,Acceptor property
ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ,Acceptor property level
এক্সিলেটৰৰ নলী,Accererating tube
"প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ",Access
প্ৰৱেশ ভূজ,Access arm
অভিগম ব্যৱস্থাপ্ৰণালী,Access mechanism
প্ৰৱেশ সময়,Access time
অভিগম্যতা,Accessibility
"অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক",Accessory
অতিৰিক্ত নিষেধাজ্ঞা,Accessory condition
কাকতালীয়,Accidental coincidence
আকস্মিক সংশোধন,Accidental correction
আকস্মিক জৈৱজন্ম,Accidental degeneracy
আকস্মিক ডাইভাৰচন,Accidental double refraction
দৰ্শকৰ ভুল,Accidental error
"হঠাৎ বন্ধ, হঠাৎ বন্ধ",Accidental jamming
আকস্মিক সংক্ৰমণ,Accidental transmission
ৰেণ্ডম ভ্যাৰিয়েন্স,Accidental variation
সমন্বয়,Accommodation
অৱস্থিত,Accumbent
সঞ্চিত ভুল,Accumulated error
"সঞ্চয়, সঞ্চয়",Accumulation
শক্তি সংৰক্ষণ,Accumulation of energy
এক্যুলেটৰ*,Accumulator
শুদ্ধতা,Accuracy
বাস্তৱতা,Accurate
বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ,Accurate instrumental observation
সঠিক ৰেঞ্জ মাৰ্কাৰ,Accurate range marker
নিখুঁত স্কেনিং,Accurate scanning
অভ্যাস,Accustomisation
ত্বৰক কোষ*,Acdelerating chamber
ৰঙীন লেন্স*,Achromat
অৰঙীন*,Achromatic
ৰঙীন বিশ্লেষক,Achromatic analyser
ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা,Achromatic antenna
ৰঙীন আকৃতি,Achromatic figure
achromatic ফ্ৰিঞ্জ,Achromatic fringe
ৰঙীন লেন্স*,Achromatic lens
ৰঙীন বিন্দু পথ,Achromatic locus
ৰঙীন লেন্স,Achromatic object lens
ৰঙীন প্ৰিজম,Achromatic prism
achromatic টেলিস্কোপ,Achromatic telescope
achromaticity*,Achromaticity
achromatization*,Achromatisation
achromaticity*,Achromatism
"ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য",Aclastic
"একৰ্ণ নলী, বঞ্জু নলী",Acorn tube
ক্ষুদ্ৰ ভালভ,Acorn valve
প্ৰতিধ্বনি,Acouphony
একাউষ্টিক,Acoustic
ধ্বনি শোষণ ক্ষমতা,Acoustic absorptivity
শব্দৰ ক্ষীণকৰণ সহগ,Acoustic attenuation coeffcient
শব্দৰ ক্ষীণকৰণ,Acoustic attenuation constant
একাউষ্টিক চোৰ এলাৰ্ম,Acoustic burglar alarm
ধ্বনিযুক্ত ধাৰণক্ষমতা,Acoustic capacitance
শ্ৰৱণ কেন্দ্ৰ,Acoustic centre
ধ্বনিগত ব্যাখ্যা,Acoustic clarifier
একাউষ্টিক কভাৰ,Acoustic cloud
ধ্বনিগত প্ৰতিক্ৰিয়া,Acoustic compliance
ধ্বনি উপাদান,Acoustic component
ধ্বনি পৰিবাহীতা,Acoustic conductivity
একাউষ্টিক ডেম্পিং,Acoustic damping
ধ্বনিগত বিক্ষিপ্ততা,Acoustic dispersion
শব্দ হেকাৰ,Acoustic dissipation element
ধ্বনি শক্তি*,Acoustic energy
ধ্বনি শক্তি সমীকৰণ,Acoustic energy equation
ধ্বনি সমীকৰণ,Acoustic equation
শব্দ পুনৰুদ্ধাৰ,Acoustic feedback
ক্লেডনি আকৃতি,Acoustic figures (Chladni figures)
একাউষ্টিক ফিল্টাৰ,Acoustic filter
শব্দ উৎপাদক,Acoustic generator
একাউষ্টিক গ্ৰেটিং,Acoustic grating
একাউষ্টিক ইম্পিডেন্স*,Acoustic impedance
শব্দৰ জড়তা,Acoustic inertance
শব্দৰ তীব্ৰতা,Acoustic intensity
শব্দৰ হস্তক্ষেপ মিটাৰ,Acoustic interferometer
একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ,Acoustic intrusion detector
একাউষ্টিক লেন্স,Acoustic lens
শব্দ ৰেখা,Acoustic line
ধ্বনিযুক্ত ভৰ,Acoustic mass
ধ্বনিগত পদাৰ্থ,Acoustic material
শব্দৰ অৰ্থ মুক্ত পথ,Acoustic mean free path
একাউষ্টিক মোড,Acoustic mode
শব্দৰ শব্দ,Acoustic noise
ধ্বনিযুক্ত ওম*,Acoustic ohm
"একাউষ্টিক পেনেল, একাউষ্টিক বৰ্ড",Acoustic panel
ধ্বনি পৰ্যায় ধ্ৰুৱক,Acoustic phase constant
একাউষ্টিক ৰিচিভাৰ,Acoustic pickup (sound box)
শব্দৰ চাপ,Acoustic pressure
শব্দৰ প্ৰতিসমতা নিয়ম,Acoustic principle of similarity
শব্দ সংক্ৰমণ,Acoustic propagation constant
ধ্বনিগত ধৰ্ম,Acoustic property
ধ্বনিযুক্ত চতুৰ্ভুজ,Acoustic quardrupole
ধ্বনি বিকিৰণ মৌল,Acoustic radiating element
ধ্বনি বিকিৰণ,Acoustic radiation
শব্দ নিবাৰণ,Acoustic radiator
একাউষ্টিক ৰেডিঅ&#39;মিটাৰ,Acoustic radiometer
ধ্বনিগত প্ৰতিক্ৰিয়া,Acoustic reactance
ধ্বনিগত পাৰস্পৰিকতা উপপাদ্য,Acoustic reciprocity theorem
শব্দ হ্ৰাস কাৰক,Acoustic reduction factor
ধ্বনি প্ৰতিফলন সহগ,Acoustic reflection coefficient
ধ্বনি বিবৰ্তন,Acoustic refraction
শব্দ প্ৰতিৰোধ ক্ষমতা,Acoustic resistance
ধ্বনিগত প্ৰতিক্ৰিয়া,Acoustic responsiveness
ধ্বনিগত বিক্ষিপ্ততা,Acoustic scattering
শুনা বিন্দু,Acoustic spot
শব্দৰ কঠিনতা,Acoustic stiffiness
শব্দ ব্যৱস্থা,Acoustic system
একাউষ্টিক থাৰ্মোমিটাৰ,Acoustic thermometer
শব্দৰ বেগ,Acoustic velocity
শব্দ তৰংগ,Acoustic wave
একাউষ্টিক,Acoustical
শব্দ শোষণ সহগ,Acoustical absorption co-efficient
শব্দ শোষণ উপাদান,Acoustical absorption factor
একাউষ্টিক বৰ্তনী,Acoustical circuit
ধ্বনিগত প্ৰতিক্ৰিয়া,Acoustical compliance
শব্দ বিলম্ব ৰেখা,Acoustical delay line
ধ্বনিগত বিকৃতি,Acoustical distortion
একাউষ্টিক একাউষ্টিক,Acoustical energetics
একাউষ্টিক ফিল্টাৰ,Acoustical filter
একাউষ্টিক ইম্পিডেন্স*,Acoustical impedance (=acoustic impedance)
ফ&#39;ন&#39;গ্ৰাফ,Acoustical labyrinth
ধ্বনিযুক্ত ওম*,Acoustical ohm
ধ্বনি ধ্ৰুৱক,Acoustical phase constant
একাউষ্টিক ফ&#39;নন,Acoustical phonan
ধ্বনি সংবহন ধ্ৰুৱক,Acoustical propagation constant (=propagation constant)
শব্দ পৰিৱৰ্তন সহগ,Acoustical reduction factor
শব্দ প্ৰতিৰোধ ক্ষমতা,Acoustical resistance
শব্দৰ কঠিনতা,Acoustical stiffness
শব্দ একক,Acoustical unit
শব্দ নিবাৰণ,Acoustically insulated
একাউষ্টিক চাইড লাইন,Acoustico-lateral line
"শব্দবিজ্ঞান, ধ্বনিবিজ্ঞান",Acoustics
শব্দ মিটাৰ,Acoustimeter
শব্দৰ চাপ,Acoustomotive pressure=sound pressure
অধিগ্ৰহণ ৰাডাৰ,Acquisition radar
সালোক সংশ্লেষণ বিকিৰণ,Actinic ray
এক্টিনিয়াম নিৰ্গমন,Actinium emnation
এক্টিনো-ইউৰেনিয়াম,Actino-uranium
এক্টিনো-ইউৰেনিয়াম শৃংখলা,Actino-uranium series
ৰেডিঅ&#39;ইলেক্ট্ৰিক,Actinoelectricity
"এক্টিনোমিটাৰ, ফটোমাইক্ৰ&#39;মিটাৰ",Actinometer
"কাৰ্য্য, কাৰ্য্য",Action
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,Action and reaction
ক্ৰিয়া ধ্ৰুৱক,Action constant
প্ৰভাৱৰ ক্ষেত্ৰ,Action radium (=effective area)
"সক্ৰিয় কৰা হৈছে, সক্ৰিয় কৰা হৈছে",Activated
সক্ৰিয় প্ৰসাৰণ,Activated diffusion
"সক্ৰিয় কৰা ফাইবাৰ, সক্ৰিয় কৰা ফাইবাৰ",Activated filament
সক্ৰিয়কৰণ প্ৰভাৱ,Activating effect
সক্ৰিয়কৰণ প্ৰভাৱ,Activation
সক্ৰিয়কৰণ বিশ্লেষণ,Activation analysis
কাৰ্য্যকলাপ কেন্দ্ৰ,Activation centre
সক্ৰিয়কৰণ পৰীক্ষক,Activation cross-section
সক্ৰিয়কৰণ শক্তি,Activation energy
সক্ৰিয়কৰণ এণ্ট্ৰপি,Activation entropy
সক্ৰিয়কৰণ অতিভোল্টেজ,Activation over-voltage
সক্ৰিয়কৰণৰ হাৰ,Activation rate
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা",Activator
সক্ৰিয়কৰ্তা পৰমাণু,Activator atom
ত্বৰণকাৰী,Activator of accelerator
সক্ৰিয় শোষণ,Active absorption
সক্ৰিয় আকাশী,Active aerial
বিকিৰণৰ বিপদজনক অঞ্চল,Active area (controlled area)
সক্ৰিয় ডিভাইচ,Active device
সক্ৰিয় লক্ষ্য নিৰ্ধাৰণ,Active homing
সক্ৰিয় হাইড্ৰজেন*,Active hydrogen
সক্ৰিয় জাল,Active lattice
সক্ৰিয় ৰেখা সক্ৰিয় ৰেখা,Active line
সক্ৰিয় লুপ,Active loop
সক্ৰিয় ক&#39;ড*,Active mass
সক্ৰিয় উপাদান,Active material
সক্ৰিয় অণু,Active molecule
সক্ৰিয় জাল,Active network
সক্ৰিয় পুনৰ শোষণ,Active re-absorption
সক্ৰিয় অঞ্চল,Active region
সক্ৰিয় নিয়ন্ত্ৰণ,Active regulation
সক্ৰিয় উপগ্ৰহ,Active satellite
সক্ৰিয় বিভাজনশীল সৌৰ শিখা,Active sunspot prominence
সক্ৰিয় অণুপুষ্টিকৰ উপাদান,Active trace sub stances
সক্ৰিয় অনুসৰণ ব্যৱস্থা,Active tracking system
সক্ৰিয় ট্ৰেন্সডুচাৰ,Active transducer
সক্ৰিয় গ্ৰহণ,Active uptake
কাৰ্য্যকলাপ সহগ*,Activity coefficient
কাৰ্য্যকলাপ সূচকাংক,Activity index
কাৰ্য্যকলাপৰ অনুপাত,Activity ratio
কাৰ্য্যকলাপ ভেক্টৰ,Activity vector
প্ৰকৃত মনিটৰ,Actual monitor
প্ৰকৃত মানসিক চাপ,Actual stress
ট্ৰিগাৰ কৰা,Actuate
উৎপত্তিকাৰী,Actuating
উৎপত্তিকাৰী,Acturator
acuityometer,Acuity meter
শ্ৰৱণ ক্ষমতা,Acuity of hearing
ফটো তীক্ষ্ণতা মূল্য,Acutance
তীব্ৰ কোণ,Acute angle
ফুচফুচাই কোৱা,Acute exposure
তীব্ৰ ত্ৰিভুজ,Acute triangle
অচক্ৰীয়,Acyclic
অনুকূলন প্ৰয়োগ,Adaptation manoeuver
অনুকূলিত অৱস্থা,Adapted stae
অভিযোজিত নিয়ন্ত্ৰণ ব্যৱস্থা,Adaptive control system
এডাপ্টোমিটাৰ,Adaptometer
এডকক এন্টেনা,Adcock antenna
সামৰণিত,Add
সংকলনৰ সময়,Add time
সংকলন-বিয়োগ সময়,Add-subtract time
adder,Adder
"যোগফল, যোগ, যোগফল (ed.), যোগ (v.)",Addition
যোগ ধ্ৰুৱক,Addition constant
ত্বৰণ-যোগফল নিয়ম,Addition law of acceleration
দূৰত্ব-যোগফল নিয়ম,Addition law of distance
বেগ-যোগফল নিয়ম,Addition law of velocity
ভেক্টৰৰ যোগফল,Addition of vectors
সংগ্ৰহ বিক্ৰিয়া,Addition reaction
অতিৰিক্ত মজিয়া,Additional half plane
"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)",Additional tone
"যোগকৰণ, যোগকৰণ",Additive
যোগকৰণ ব্যৱস্থা,Additive channel
সংমিশ্ৰিত আখৰ,Additive colour
সৰ্বমুঠ আখৰ প্ৰক্ৰিয়া,Additive colour process
যোগকৰণৰ পৰিপূৰক ৰং,Additive complementary colour
যোগকৰণ ধ্ৰুৱক,Additive constant
যোগকৰণ ট্ৰেকচন,Additive drag
যোগকৰণ প্ৰভাৱ,Additive effect
যোগকৰণ কাৰক,Additive factor
যোগকৰণ কাৰ্য্য,Additive function
যোগকৰণৰ মিশ্ৰণ,Additive mixing
যোগকৰণৰ মূল,Additive primary
যোগকৰণ প্ৰক্ৰিয়া,Additive process
যোগযোগ্যতা,Additive property
যোগকৰণ কোৱাণ্টাম সংখ্যা,Additive quantum number
সংগ্ৰহ বিক্ৰিয়া,Additive reaction
যোগযোগ্যতা,Additivity
aditron,Additron
ঠিকনা*,Address
ঠিকনা গণনা,Address computation
ঠিকনা,Address counter
ঠিকনা এনক্ৰিপচন,Address decoding
ঠিকনা প্ৰকাশ,Address expression
ঠিকনাযোগ্যতা,Address facility
ঠিকনা বাৰ,Address format
ঠিকনা পোহৰ,Address light
ঠিকনা সলনি কৰা,Address modification
পতনশ,Address part
ঠিকনা পঞ্জীয়ন,Address register
ঠিকনা নিৰ্বাচন চুইচ,Address selection swith
ঠিকনা সজাই পৰাই তোলা টেবুল,Address table sort
সম্বোধন কৰা,Addressing
এড্রেছ&#39;গ্ৰাফ,Addressograph
ঠিকনা ব্যৱস্থাপ্ৰণালী,Addresssing system
আঠাযুক্ততা,Adhesion
আঠাযুক্ত চাপ,Adhesion tension
আঠাযুক্ত শক্তি,Adhesional energy
আঠাযুক্ত ব্লক কৰা,Adhesive blocking
আদিয়াবাট,Adiabat
adiabatic,Adiabatic
এডিয়াবেটিক ত্বৰণ,Adiabatic acceleration
এডিয়াবেটিক আনুমানিককৰণ,Adiabatic approximation
এডিয়াবেটিক আয়তন সহগ,Adiabatic bulk modulus
এডিয়াবেটিক থাৰ্মোমিটাৰ,Adiabatic calorimeter
এডিয়াবেটিক পৰিৱৰ্তন,Adiabatic change
"এডিয়াবেটিক চাৰ্ট, এডিয়াবেটিক চাৰ্ট",Adiabatic chart
এডিয়াবেটিক সংকোচন ক্ষমতা,Adiabatic compressibility
এডিয়াবেটিক কম্প্ৰেছন,Adiabatic compression
এডিয়াবেটিক গৰ্ভনিৰোধক,Adiabatic containment
এডিয়াবেটিক শীতল সীমা,Adiabatic cooling limit
এডিয়াবেটিক বক্ৰ,Adiabatic curve
এডিয়াবেটিক বিকৃতি,Adiabatic deformation
এডিয়াবেটিক বিচুম্বকীয়কৰণ,Adiabatic demagnetisation
এডিয়াবেটিক ৰিজ&#39;লিউচন,Adiabatic dissociation
এডিয়াবেটিক বিচ্যুতি,Adiabatic drift
এডিয়াবেটিক ইফেক্ট,Adiabatic effect
এডিয়াবেটিক ইলাষ্টিকতা,Adiabatic elasticity
এডিয়াবেটিক এলিপছয়ড,Adiabatic ellipse
adiabatic পূৰ্ণ-তাপ ক্ষতি,Adiabatic enthalpy drop
এডিয়াবেটিক সমীকৰণ,Adiabatic equation
এডিয়াবেটিক অৱস্থা সমীকৰণ,Adiabatic equation of state
এডিয়াবেটিক ভাৰসাম্য উষ্ণতা,Adiabatic equilibrium temperature
এডিয়াবেটিক ভাৰসাম্য,Adiabatic equillibrium
adiabatic বিস্তাৰ,Adiabatic expansion
এডিয়াবেটিক শিখাৰ উষ্ণতা,Adiabatic flame temperature
এডিয়াবেটিক প্ৰবাহ,Adiabatic flow
adiabatic উচ্চাৰণ,Adiabatic fluctuations
এডিয়াবেটিক গেছ সমীকৰণ,Adiabatic gas equation
এডিয়াবেটিক গ্ৰেডিয়েন্ট,Adiabatic gradient
এডিয়াবেটিক তাপ ক্ষতি,Adiabatic heat drop
এডিয়াবেটিক আয়নীয়কৰণ বিভৱ,Adiabatic ionization potential
এডিয়াবেটিক মূল্য হ্ৰাসৰ হাৰ,Adiabatic lapse rate
এডিয়াবেটিক গতিবেগ আধান,Adiabatic momentum charge
এডিয়াবেটিক প্ৰক্ৰিয়া,Adiabatic process
এডিয়াবেটিক বিক্ৰিয়া,Adiabatic reaction
adiabatic খোজ,Adiabatic speed
এডিয়াবেটিক বিকৃতি শক্তি,Adiabatic strain energy
এডিয়াবেটিক বডি,Adiabatic system
এডিয়াবেটিক তাপ গ্ৰেডিয়েণ্ট,Adiabatic temperature gradient
&#39;এডিয়াবেটিক এবেটমেন্ট&#39;,Adiabatic throttling
এডিয়াবেটিক ৰূপান্তৰ,Adiabatic transformation
"সালোক সংশ্লেষণ, বিকিৰণ বিৰোধী",Adiactinic
