Malayalam,Telugu
ബാരിക്കേഡ് (=ബാരിക്കഡോ),బారికేడ్ (=బారికాడో)
ബേസ് ക്യാമ്പ്,మూల శిబిరం
ബസിലിക്ക,బసిలికా
ബസിലിക്ക,బసిలికా
ബാസ്റ്റില,బస్తీలా
ബാസ്റ്റിലി,బాస్టిల్
ബാസ്റ്റിലി,బాస్టిల్
ബാറ്ററി,బ్యాటరీ
യുദ്ധം,యుద్ధం
Battle-array,బాటిల్-అరే
യുദ്ധകാഹളം,యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు
യുദ്ധം,బాటిల్ డిన్
യുദ്ധക്കളം,యుద్ధ క్షేత్రం
യുദ്ധഗാനം,యుద్ధ శ్లోకం
സ്പർസിന്റെ യുദ്ധം,స్పర్స్ యుద్ధం
സ്റ്റാൻഡേർഡ് യുദ്ധം,స్టాండర్డ్ యుద్ధం
യുദ്ധക്കപ്പൽ,యుద్ధనౌక
യുദ്ധക്കപ്പൽ-ബലം,యుద్ధనౌక-బలం
Bayeux ടേപ്പ്സ്ട്രി,Bayeux వస్త్రం
ബീക്കൺ,బెకన్
ബീക്കൺ ടവർ,బెకన్ టవర్
ബീവർ,బీవర్
ബീവർ,బీవర్
കടലിലെ യാചകർ,సముద్రపు బిచ్చగాళ్ళు
ബെല്ലിക്കോസ്,బెల్లికోస్
ബെല്ലിക്കോസ്,బెల్లికోస్
ബെല്ലിക്കോസ്,బెల్లికోస్
ബെല്ലിക്കോസിറ്റി,బెల్లికోసిటీ
ബെല്ലോന,బెలోనా
ഗുണം,ప్రయోజనం
വൈദികരുടെ പ്രയോജനം,మతపెద్దల వల్ల ప్రయోజనం
ബെനെലക്സ്,బెనెలక్స్
ബെർലിൻ ഉത്തരവ്,బెర్లిన్ డిక్రీ
ബെർസർക്കർ,బెర్సెర్కర్
ബസന്റ് (=ബെസന്റ്),బెసెంట్ (=బెజాంట్)
ബെഥേൽ,బేతేలు
ബിബ്ലിയോലേറ്റർ,గ్రంథకర్త
ഗ്രന്ഥശാസ്‌ത്രം,గ్రంథారాధన
ബിഗ് ബെർത്ത,బిగ్ బెర్తా
മതഭ്രാന്തൻ,మతోన్మాదుడు
ബില്ലെറ്റിംഗ്,బిల్లేటింగ్
ബിൽ ഓഫ് അറ്റൈൻഡർ,అటెయిండర్ బిల్లు
അവകാശങ്ങളുടെ ബിൽ,హక్కుల చట్టం
ജീവചരിത്രകാരൻ,జీవిత చరిత్ర రచయిత
ജനന കഥകൾ,జన్మ కథలు
Bivouac,తాత్కాలిక శిబిరం
Bivouac,తాత్కాలిక శిబిరం
Bivouac,తాత్కాలిక శిబిరం
ബിസോണിയ,బిజోనియా
കറുത്ത പക്ഷികൾ,బ్లాక్ బర్డింగ్
കറുത്ത കൊടി,నల్ల జండా
ബ്ലാക്ക് ഹോൾ,కృష్ణ బిలం
ബ്ലാക്ക് ഹോൾ,కృష్ణ బిలం
കറുത്ത കാൽ (=ചുണങ്ങു),నల్ల కాలు (=స్కాబ్)
കറുത്ത ഷർട്ട്,నల్ల చొక్కా
ബ്ലാസൺ,బ్లజోన్
ബ്ലാസൺ,బ్లజోన్
ജ്വലനം,బ్లేజోన్రీ
ജ്വലനം,బ్లజోన్రీ
ബ്ലിറ്റ്സ്ക്രീഗ്,బ్లిట్జ్‌క్రీగ్
രക്തരഹിത വിപ്ലവം (=മഹത്തായ വിപ്ലവം),రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్)
ബ്ലഡ് വൈറ്റ്,బ్లడ్వైట్
ബ്ലഡി മേരി,బ్లడీ మేరీ
നീല,నీలం
നീല രക്തം,నీలం రక్తం
നീല പുസ്തകം,నీలి పుస్తకం
നീല നാട,నీలం రంగు రిబ్బన్
നീല നാട,నీలం రంగు రిబ్బన్
ബ്ലൂസ് (=രാജകീയ കുതിര കാവൽക്കാർ),బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్)
നീല ഷർട്ട്,నీలం చొక్కా
ബ്ലൂ വാട്ടർ സ്കൂൾ,బ్లూ వాటర్ స్కూల్
ബോർഡ് ഓഫ് കൺട്രോൾ,బోర్డ్ ఆఫ్ కంట్రోల్
ശരീര കവചം,శరీర కవచం
ബോയർ,బోయర్
കൊള്ള,దోపిడి
ബറോ,బరో
ബൗളൂട്ടേറിയൻ,బౌల్యూటేరియన్
ബർബോൺ,బోర్బన్
ബോക്സർ കലാപം,బాక్సర్ తిరుగుబాటు
ബ്രേസ്,బ్రేస్
ബ്രസാർഡ്,బ్రాస్సార్డ్
ബ്രസാർഡ്,బ్రాస్సార్డ్
ബ്രെഡ് കോളനികൾ,బ్రెడ్ కాలనీలు
ബ്രെസ്റ്റ് പ്ലേറ്റ്,బ్రెస్ట్ ప్లేట్
മുലപ്പാൽ ജോലി,రొమ్ము పని
ബ്രെറ്റ്വാൾഡ,బ్రెట్వాల్డా
ബ്രിഗാൻഡ്,బ్రిగాండ్
ബ്രിഗൻഡേജ്,బ్రిగేండేజ్
ബ്രിട്ടീഷ് കോമൺവെൽത്ത് ഓഫ് നേഷൻസ്,బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్
ബ്രൗൺ ഷർട്ടുകൾ (=നാസികൾ),బ్రౌన్ షర్ట్స్ (=నాజీలు)
ബ്രസ്സൽസ് ഉടമ്പടി (പാക്ട്) ഓർഗനൈസേഷൻ (=വെസ്റ്റേൺ യൂറോപ്യൻ യൂണിയൻ),బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్)
ബഫ്,యెదురు
ബഫ്,యెదురు
ബഫ്-കോട്ട്,బఫ్-కోటు
ബഫുകൾ,బఫ్స్
ബ്യൂൾ (=കൗൺസിൽ),బులే (=మండలి)
ബർഗേജ്,బర్గేజ్
ബർഗെസ്,బర్గెస్
ബൈസന്റൈൻ,బైజాంటైన్
ബൈസന്റൈൻ പള്ളി,బైజాంటైన్ చర్చి
ബൈസന്റൈൻ സാമ്രാജ്യം,బైజాంటైన్ సామ్రాజ్యం
ബൈസന്റൈൻ യുഗം,బైజాంటైన్ యుగం
ബൈസന്റൈൻ ചരിത്രകാരന്മാർ,బైజాంటైన్ చరిత్రకారులు
കാബൽ,కాబాల్
സീസറിസം,సీజరిజం
ഖലീഫ,ఖలీఫ్
കാലിഗ്രാഫർ,కాలిగ్రాఫర్
കാലിഗ്രാഫിസ്റ്റ്,కాలిగ్రాఫిస్ట్
കാലിഗ്രാഫി,కాలిగ్రఫీ
കാൽട്രോപ്പ്,కాల్ట్రాప్
സൗഹൃദം,సాహచర్యం
കാമറില്ല,కమరిల్లా
കാമറില്ല,కమరిల్లా
കാമലോകം,కామెలాకమ్
മറവി,మభ్యపెట్టడం
പ്രചാരണം,ప్రచారం
ക്യാമ്പ് ഫോളോവർ,క్యాంపు అనుచరుడు
കാമ്പോ സാന്റോ,కాంపో శాంటో
കാമ്പസ് മാർഷ്യസ്,క్యాంపస్ మార్టియస్
കനേഫോറ,కనెఫోరా
കാൻഗു,కంగు
പീരങ്കി,ఫిరంగి
പീരങ്കി കാലിത്തീറ്റ,ఫిరంగి మేత
കാനൻ,కానన్
കാനൻ നിയമം,కానన్ చట్టం
കനോപ്പസ് ഉത്തരവ്,కానోపస్ డిక్రీ
ആയുധങ്ങൾ ചലിപ്പിക്കുന്നു,ఆయుధాలు పట్టుకోవడం
ബന്ദിയാക്കി,బందీ
ക്യാപ്റ്റർ,కాప్టర్
കർദ്ദിനാൾ,కార్డినల్
കാൾ,కార్ల్
കരോലിംഗിയൻ രാജവംശം,కరోలింగియన్ రాజవంశం
കാർത്തൂഷ്യൻ വിഭാഗം,కార్తుసియన్ శాఖ
കാർട്ടോസ,కార్టోసా
കാസ്റ്റേലിയൻ,కాస్టేలియన్
കാസ്റ്റേലിയൻ,కాస్టేలియన్
ജാതി വ്യവസ്ഥ,కుల వ్యవస్థ
കോട്ട,కోట
കോട്ട,కోట
കാസിൽ പട്ടണം,కోట పట్టణం
കാസ്ട്ര,కాస్ట్రా
കാസ്ട്ര,కాస్ట్రా
കത്തീഡ്ര,కేథడ్రా
കത്തീഡ്രൽ,కేథడ్రల్
കാറ്റോ സ്ട്രീറ്റ് ഗൂഢാലോചന,కాటో స్ట్రీట్ కుట్ర
കൌഡില്ലോ,కౌడిల్లో
കവലിയർ,కావలీర్
കവലിയർ,కావలీర్
കവലിയർ പാർലമെന്റ്,కావలీర్ పార్లమెంట్
അദുല്ലം ഗുഹ,అదుల్లాం గుహ
ഗുഹ പെയിന്റിംഗ്,గుహ పెయింటింగ్
ഗുഹ പെയിന്റിംഗ്,గుహ పెయింటింగ్
സെന്റുംവിർ,సెంటంవిర్
ശതാധിപൻ,సెంచూరియన్
നൂറ്റാണ്ട്,సెంచరీ
ചെയിൻ കവചം (=ചെയിൻ മെയിൽ),చైన్ ఆర్మర్ (=చైన్ మెయిల్)
ചാന്ത്രി,చాంట్రీ
ചാന്ത്രി,చాంట్రీ
ചാപ് ബുക്ക്,చాప్ పుస్తకం
ചാപ്ലിൻ,చాప్లిన్
അധ്യായം,అధ్యాయం
അപകടങ്ങളുടെ അധ്യായം,ప్రమాదాల అధ్యాయం
ചാർജ് ചെയ്യുക,ఆరోపణ
ഭാരവാഹികൾ,ఛార్జ్ డి&#39;ఎఫైర్స్
ചാർജ് വിഭജനം,ఛార్జ్ విడిపోవడం
ചാർജർ,ఛార్జర్
രഥം,రథము
സാരഥി,రథసారధి
സാരഥി,రథసారధి
സാരഥി,రథసారధి
ചാരിറ്റി അടുക്കള,ఛారిటీ వంటగది
ചാർട്ടർ,చార్టర్
ചാർട്ടിസ്റ്റ് പ്രസ്ഥാനം (=ചാർട്ടിസം),చార్టిస్ట్ ఉద్యమం (=చార్టిజం)
ചാർട്ടോഫൈലാസിയം,చార్టోఫిలాసియం
ചാറ്റോ,చాటౌ
ചെക്ക് പോസ്റ്റ്,చెక్ పోస్ట్
രാസയുദ്ധം,రసాయన యుద్ధం
ചെസ്റ്റർ,చెస్టర్
മുഖ്യൻ,చీఫ్
തലവൻ,అధిపతి
തലവൻ,అధిపతి
തലവൻ,అధిపతి
ഷിഫോൺ,షిఫాన్
ധീരത,శూరత్వం
തിരഞ്ഞെടുത്ത ആളുകൾ,ఎంచుకున్న వ్యక్తులు
ക്രിസ്മോഗ്രാഫിയോൺ,క్రిస్మోగ్రఫీ
ക്രൈസ്തവലോകം,క్రైస్తవమత సామ్రాజ్యం
ക്രിസ്ത്യൻ യുഗം,క్రైస్తవ యుగం
ക്രിസ്ത്യൻ സോഷ്യലിസം,క్రిస్టియన్ సోషలిజం
ക്രോണിക്കിൾ,క్రానికల్
ക്രോണിക്ലർ,క్రానికల్
ക്രൈസ് ചെർസോണീസ്,Chryse Chersonese
സിമിലിയം,సిమిలియం
സിൻക്വെസെന്റോ സ്റ്റൈൽ,సింక్వెసెంటో స్టైల్
പ്രദക്ഷിണം,ప్రదక్షిణ
സിസ്റ്റെർസിയൻ സന്യാസി,సిస్టెర్సియన్ సన్యాసి
കോട്ട,కోట
അവലംബം,అనులేఖనం
അവലംബം,అనులేఖనం
നിയമലംഘനം,శాసన ఉల్లంఘన
ആഭ്യന്തരയുദ്ധം,పౌర యుద్ధం
സിവിസ് റൊമാനസ്,సివిస్ రోమనస్
ക്ലാസിക്കൽ പ്രായം,సాంప్రదాయ వయస్సు
ക്ലെഫ്റ്റ് (=ക്ലെഫ്റ്റ്),క్లెఫ్ట్ (=క్లెఫ్ట్)
പൗരോഹിത്യം,మతాధికారం
ക്ലറച്ച്,క్లర్చ్
ക്ലൂനിയാക് പ്രസ്ഥാനം,క్లినియాక్ ఉద్యమం
കോട്ട് കവചം,కోటు కవచం
കോട്ട് ഓഫ് ആംസ്,కోట్ ఆఫ్ ఆర్మ్స్
കോട്ട് ഓഫ് ആംസ്,కోట్ ఆఫ్ ఆర్మ్స్
കോട്ട് ഓഫ് ആംസ്,కోట్ ఆఫ్ ఆర్మ్స్
കോട്ട് ഓഫ് മെയിൽ,కోట్ ఆఫ్ మెయిల్
കോഹോർട്ട്,కోహోర్ట్
കോമിറ്റിയ,కమిటియా
കോമിറ്റിയ സെഞ്ചൂറിയാറ്റ,కమిటియా సెంచురియాటా
കോമിറ്റിയ ക്യൂറിയാറ്റ,కమిటియా క్యూరియాటా
കോമിറ്റിയ ട്രിബ്യൂട്ട,కమిటియా ట్రిబ్యూటా
സ്മാരക കമാനം,స్మారక వంపు
സ്മാരക നാണയം,స్మారక నాణెం
സ്മരണിക മുദ്ര,స్మారక ముద్ర
പൊതുവായ ഫീൽഡ്,సాధారణ క్షేత్రం
കമ്മ്യൂണർഡ്,కమ్యూనార్డ్
കോൺകോർഡാറ്റ്,కాంకోర్డాట్
കോൺകോർഡാറ്റ്,కాంకోర్డాట్
കൊണ്ടോട്ടിയർ,కండోటియర్
സ്ഥിരീകരണം Cartarum,నిర్ధారణ కార్టరమ్
സംഘർഷം,సంఘర్షణ
സഭ,సభ
കീഴടക്കുന്ന സംസ്ഥാനം,రాష్ట్రాన్ని జయించడం
ജേതാവ്,విజేత
വിജയി,విజేత
കോൺസിലിയം,కన్సిలియం
കോൺസ്റ്ററി,క్రమబద్ధమైన
ഗൂഢാലോചന,కుట్ర
ഗൂഢാലോചന,కుట్ర
കോൺസുലേറ്റ്,కాన్సులేట్
കൺസൾട്ടേഷൻ പുസ്തകം,సలహా పుస్తకం
കോണ്ടിനെന്റൽ സിസ്റ്റം,ఖండాంతర వ్యవస్థ
കൺവെൻഷൻ പാർലമെന്റ്,కన్వెన్షన్ పార్లమెంట్
കോപ്പർഹെഡുകൾ (=സമാധാന ജനാധിപത്യവാദികൾ),కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు)
കോപ്പിഹോൾഡ്,కాపీహోల్డ్
കോർഡനിംഗ്,కార్డనింగ్
കൊറോണ,కరోనా
കിരീടധാരണം,పట్టాభిషేకం
കിരീടധാരണ കല്ല്,పట్టాభిషేక రాయి
കോർപ്പസ്,కార్పస్
കോർസെയർ,కోర్సెయిర్
കോർസെയർ,కోర్సెయిర్
കോർസെറ്റ് (=കോർസെലെറ്റ്),కార్సెట్ (=కోర్సెలెట్)
കോർട്ടെസ്,కోర్టెస్
കോട്ടർ (=കോട്ടിയർ),కోటార్ (=కోటియర్)
കോട്ടർ (=കോട്ടിയർ),కోటార్ (=కోటియర్)
പാലറ്റിനേറ്റ് എണ്ണുക,కౌంట్ పాలటినేట్
നാടൻ വീട്,పూరిల్లు
കൗണ്ടി,కౌంటీ
കൗണ്ടി ബറോ,కౌంటీ బరో
കൗണ്ടി കോടതികൾ,కౌంటీ కోర్టులు
കൗണ്ടി പാലറ്റൈൻ,కౌంటీ పాలటైన్
കോടതി,కోర్టు
കോടതി,కోర్టు
കോടതി സർക്കുലർ,కోర్టు సర్క్యులర్
കോടതി മര്യാദകൾ,కోర్టు మర్యాదలు
കോർട്ടിയർ,సభికుడు
കാസേഷൻ കോടതി,కోర్ట్ ఆఫ్ కాసేషన్
കോർട്ട് ഓഫ് ഡയറക്ടർമാർ (EIC),కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC)
ഉടമസ്ഥരുടെ കോടതി,యాజమాన్యాల న్యాయస్థానం
കോടതി കവി,ఆస్థాన కవి
ഉടമ്പടി കാമറോണിയക്കാർ,ఒప్పందం చేసుకున్న కామెరోనియన్లు
കിരീടം,కిరీటం
കിരീടം,కిరీటం
കിരീടം,కిరీటం
കിരീട ഭൂമി,కిరీటం భూమి
കിരീട ഭൂമി,కిరీటం భూమి
കിരീടാവകാശി,క్రౌన్ ప్రిన్స్
കുരിശുയുദ്ധം,క్రూసేడ్
കുരിശുയുദ്ധക്കാരൻ,క్రూసేడర్
ക്രിപ്റ്റോഗ്രാം,క్రిప్టోగ్రామ్
ക്യൂറാസ്,క్యూరాస్
ക്യൂറാസിയർ,క్యూరాసియర్
ആരാധനാ ദേവത,కల్ట్ దేవత
കൂരിയ,క్యూరియా
കൂരിയ,క్యూరియా
സാറിസം,జారిజం
ഇരുണ്ട ഭൂഖണ്ഡം,చీకటి ఖండం
വിധി ദിവസം,తీర్పు రోజు
വിധി ദിവസം,తీర్పు రోజు
ഡീൻ,డీన్
ദശാബ്ദം,దశాబ్దం
ഡെനാറിയസ്,డెనారియస్
സ്ഥാനഭ്രഷ്ടനായ രാജാവ്,పదవీచ్యుతుడైన చక్రవర్తి
നശിപ്പിക്കുക,పాడుచేయు
നാശം,చెడిపోవడం
സിംഹാസനസ്ഥനാക്കുക,సింహాసనాన్ని తొలగించు
ഡയഡം,డయాడెమ్
ഡയഡം,డయాడెమ్
ഡയഡം,డయాడెమ్
ഡയസിയ,డయాసియా
ഡികാസ്റ്റീരിയം,డికాస్టీరియం
ഡിലുവിയലിസ്റ്റ്,డైలువియలిస్ట్
രൂപത,డియోసెస్
രൂപത,డియోసెస్
ഡയറക്‌ടയർ (=ഡയറക്‌ടറി),డైరెక్టరీ (=డైరెక్టరీ)
ഡയറക്‌ടയർ (=ഡയറക്‌ടറി),డైరెక్టరీ (=డైరెక్టరీ)
ദിർഹം,దిర్హమ్
വിശ്വസ്തതയില്ലാത്ത,నమ్మకద్రోహం
വിശ്വസ്തതയില്ലാത്ത,నమ్మకద్రోహం
വീഴ്ചയുടെ സിദ്ധാന്തം,లోపము యొక్క సిద్ధాంతము
പ്രമാണം,పత్రం
ഡോക്യുമെന്ററി തെളിവുകൾ,డాక్యుమెంటరీ సాక్ష్యం
ഡോംസ്‌ഡേ ബുക്ക്,డోమ్స్‌డే బుక్
കോൺസ്റ്റന്റൈന്റെ സംഭാവന,కాన్స్టాంటైన్ విరాళం
വിധി,డూమ్
സ്ത്രീധന രാജ്ഞി,వరవరపు రాణి
