Assamese,Tamil
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,அடிப்படை விரிவாக்க எதிர்ப்பு
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,அடிப்படை விரிவாக்க எதிர்ப்பு
ভিত্তিৰ বেধ,அடிப்படை தடிமன்
ভিত্তি অভিগম,அடிப்படை அணுகல்
"ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন","அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்"
ভিত্তি সংগ্ৰাহক চুক্তি,அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்
গোন্ধ,வாசனை
বেছ ফ্ৰিকুৱেন্সি,பாஸ் அதிர்வெண்
বেটাৰি,மின்கலம்
baud,பாட்
বড হাৰ,பாட் விகிதம்
বড হাৰ জেনেৰেটৰ,பாட் ரேட் ஜெனரேட்டர்
বডো ক&#39;ড,போடோ குறியீடு
"সংকেত, বিকন","சமிக்ஞை, கலங்கரை விளக்கம்"
"মণিকা, বিড","மாணிக்கா, பீட்"
মেনিক কেপাচিটৰ,பித்து மின்தேக்கி
মণিকাৰতাপি ৰেজিষ্টৰ,மணிகர்தாபி எதிர்ப்பாளர்கள்
"ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা","பீம் ஆண்டெனா, பீம் ஆண்டெனா"
ৰশ্মি ডিটেক্টৰ,பீம் டிடெக்டர்
ৰশ্মি শক্তিৰ নলী,பீம் சக்தி குழாய்
ৰশ্মি চুইচিং নজেল,பீம் மாறுதல் முனைகள்
ৰশ্মি প্ৰসাৰণ,கற்றை விரிவாக்கம்
বিট ফ্ৰিকুৱেন্সি,துடிப்பு அதிர்வெண்
বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ,துடிப்பு-அதிர்வெண் ஆஸிலேட்டர்
পালছ দোলক,துடிப்பு ஆஸிலேட்டர்
বেল,மணி
বেণ্ডিং লছ,வளைக்கும் இழப்பு
বেচেল ফিল্টাৰ,பெசல் வடிகட்டி
বিটা,பீட்டா
খ-হ বক্ৰ,b-h வளைவு
"bias, পক্ষপাতিত্ব","சார்பு, சார்பு"
বায়াছ কাৰেণ্ট,சார்பு மின்னோட்டம்
বায়াছ ৰেজিষ্টেন্স,சார்பு எதிர்ப்பு
ডাবল এন্টেনা,இரட்டை ஆண்டெனா
দ্বিমুখী লোড কাৰেণ্ট,இருதரப்பு சுமை மின்னோட்டம்
দ্বিমুখী এন্টেনা,இருதரப்பு ஆண்டெனா
দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড,இருதரப்பு ஒளி உமிழும் டையோடு
দ্বিমুখী থাইৰিষ্টৰ,இருதரப்பு தைரிஸ்டர்
bi FET প্ৰযুক্তি,இரு FET தொழில்நுட்பம்
বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ,இரு புள்ளி மின்மாற்றி
ডাবল ফিউজন,இரட்டை இணைவு
দ্বিপাক্ষিক বৰ্তনী,இருதரப்பு சுற்று
বাইনাৰী,பைனரி
বাইনাৰী যোগফল,பைனரி தொகை
বাইনাৰী বৰ্তনী,பைனரி சுற்று
বাইনাৰী ক&#39;ড কৰা দশমিক,பைனரி குறியிடப்பட்ட தசம
বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা,பைனரி குறியிடப்பட்ட தசம அமைப்பு
বাইনাৰী ডাইপোল কেপাচিটৰ,பைனரி இருமுனை மின்தேக்கி
বাইনাৰী কেলকুলেটৰ,பைனரி கால்குலேட்டர்
বাইনাৰী কেলকুলেটৰ,பைனரி கால்குலேட்டர்
বাইনাৰী ডিকোডাৰ,பைனரி குறிவிலக்கி
বাইনাৰী জখলা,பைனரி ஏணி
বাইনাৰী পেথ&#39;মিটাৰ,பைனரி பாத்தோமீட்டர்
বাইনাৰী অৱস্থা,இருமை நிலை
বাইনাৰী-দশমিক ডিকোডাৰ,பைனரி-தசம குறிவிலக்கி
বাইনাৰী লোড,பைனரி சுமை
বাইনাৰী শব্দ,பைனரி வார்த்தைகள்
বাইপোলাৰ,இருமுனை
বাইপোলাৰ কেপাচিটৰ,இருமுனை மின்தேக்கி
বাইপোলাৰ ডিভাইচ,இருமுனை சாதனம்
বাইপোলাৰ উৎস,இருமுனை மூல
বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ,இருமுனை டிரான்சிஸ்டர்
বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ,இருமுனை சந்திப்பு டிரான்சிஸ்டர்
দ্বিঘাত ফিল্টাৰ,இருபடி வடிகட்டி
ডাবল পজিচন,இரட்டை நிலை
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,இரண்டு-நிலை மல்டிவைபிரேட்டர்
দ্বিমুখী ৰিলে,இருதரப்பு ரிலே
দুটা পৰ্যায়ৰ অৱস্থা,இரண்டு கட்ட நிலை
দুটা অৱস্থানৰ ট্ৰিগাৰ,இரண்டு நிலை தூண்டுதல்
বিট ভুল,பிட் பிழை
বিট ভুলৰ হাৰ,பிட் பிழை விகிதம்
বিট ভুল,பிட் பிழை
bitkal ত্ৰুটি,பிட்கல் பிழை
অন্ধ বাকচ,குருட்டு பெட்டி
ঘনীভূত স্পন্দন,அமுக்கப்பட்ட துடிப்பு
নিঃসৰণকাৰী,சுரப்பவர்
নিঃসৰণ প্ৰতিৰোধক,சுரக்கும் தடுப்பான்
অন্ধতা,குருட்டுத்தன்மை
ছেগমেণ্ট ডায়াগ্ৰাম,பிரிவு வரைபடம்
ব্লক কৰা ইম্পিডেন্স,தடுப்பு மின்தடை
ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ,துண்டு பரிமாற்றம்
ইন্টাৰচেপ্ট,இடைமறிக்கவும்
ৰেজিষ্টৰ কেপাচিটৰ,மின்தடை மின்தேக்கி
ৰেজিষ্টৰ কেপাচিটৰ,தடுப்பான் மின்தேக்கி
ব্লক কৰা দোলক,தடுக்கும் ஆஸிலேட்டர்
ৰেজিষ্টৰ দোলক,மின்தடை ஆஸிலேட்டர்
ৰেজিষ্টৰ ভল্টেজ,மின்தடை மின்னழுத்தம்
ব্ল&#39;ৱাৰ,ஊதுபவர்
বোড ডায়াগ্ৰাম,போட் வரைபடம்
voltzmann সম্পৰ্ক,வோல்ட்ஸ்மேன் உறவு
voltzmann ধ্ৰুৱক,வோல்ட்ஸ்மேன் மாறிலி
বান্ধোন,பத்திரம்
বান্ধি ৰখা ষ্ট্ৰেইন গেজ,பிணைக்கப்பட்ட திரிபு அளவு
স্ব-সহায়ক এম্প্লিফায়াৰ,சுயமாக இயக்கப்படும் பெருக்கி
বুলিয়ান বীজগণিত,பூலியன் இயற்கணிதம்
বুলিয়ান সমীকৰণ,பூலியன் சமன்பாடு
বুট ষ্ট্ৰেপন,துவக்க ஸ்ட்ராபன்
বুথৰ এলগৰিদম,பூத்தின் அல்காரிதம்
বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী,பூட்ஸ்ட்ராப் ப்ரிசம் சுற்று
bosscutts শাসন কৰে,bosscutts ஆட்சி
বসু-চৌধাৰী হকেনহাম (BCH) কোড,போஸ்-சௌத்ரி ஹாக்கன்ஹாம் (BCH) குறியீடு
"জপিয়াই, জপিয়াই","குதி, குதி"
বান্ধ খাই থকা ইলেক্ট্ৰন,பிணைக்கப்பட்ட எலக்ட்ரான்
bragg প্ৰতিফলক,ப்ராக் பிரதிபலிப்பான்
আন্তঃসংলগ্ন তাঁৰ,பின்னிப் பிணைந்த கம்பி
শাখা,கிளை
শাখা-প্ৰশাখা,கிளைகள்
পৰীক্ষা বৰ্ড,பரிசோதனை குழு
ব্ৰেক জ&#39;ন,எலும்பு முறிவு மண்டலம்
ভল্টেজ ভাঙি যোৱা,உடைக்கும் மின்னழுத்தம்
ব্ৰেকডাউন ডাইঅ&#39;ড,முறிவு டையோடு
ভাঙন স্থিৰকৰণ,எலும்பு முறிவு சரிசெய்தல்
ভল্টেজ ভাঙি যোৱা,உடைக்கும் மின்னழுத்தம்
সেঁতু,பாலம்
ব্ৰীজ ৰেক্টিফায়াৰ,பாலம் திருத்தி
বহল বেণ্ড,பரந்த இசைக்குழு
সম্প্ৰচাৰ বেণ্ড,ஒலிபரப்பு இசைக்குழு
নক্ষত্ৰীয় এৰে,நிழலிடா வரிசை
সম্প্ৰচাৰ,ஒளிபரப்பு
সম্প্ৰচাৰ এন্টেনা,ஒளிபரப்பு ஆண்டெனா
সম্প্ৰচাৰ গ্ৰাহক,ஒளிபரப்பு ரிசீவர்
কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক,அதிர்வெண் ஒளிபரப்பு பெறுதல்
সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ,ஒளிபரப்பு டிரான்ஸ்மிட்டர்
বুষ্টাৰ এন্টেনা,பூஸ்டர் ஆண்டெனா
বাছ এন্টেনা,பஸ் ஆண்டெனா
ব্ৰাছ বিসৰ্জন,தூரிகை மூழ்குதல்
bubbling AND গেট,குமிழ் மற்றும் வாயில்
বুডবুডু বা গেট,புட்புடு அல்லது கேட்
বুদবুদযুক্ত স্মৃতিশক্তি,குமிழி நினைவகம்
ক্ষতিপূৰণমূলক ভল্টেজ,மின்னழுத்தத்தை ஈடுசெய்யும்
বাফাৰ,தாங்கல்
বাফাৰ এম্প্লিফায়াৰ,தாங்கல் பெருக்கி
বাফাৰ বৰ্তনী,தாங்கல் சுற்று
বাফাৰ অপাৰেটৰ,தாங்கல் ஆபரேட்டர்
বাফাৰ ৰেজিষ্টাৰ,தாங்கல் பதிவு
বাল্ব,பல்பு
জনসংখ্যাৰ প্ৰভাৱ,மக்கள் தொகை விளைவு
মেক্ৰ&#39; অৰ্ধপৰিবাহী যন্ত্ৰ,மேக்ரோ குறைக்கடத்தி சாதனம்
মুঠি,கொத்து
ডুব যোৱা বিনিময়,மூழ்கிய பரிமாற்றம்
ডুব যোৱা স্তৰ,மூழ்கிய அடுக்கு
ডুব যোৱা সংস্পৰ্শ,மூழ்கிய தொடர்பு
ব্লাষ্ট এম্প্লিফায়াৰ,வெடிப்பு பெருக்கி
ব্লাষ্ট কভাৰ,குண்டு வெடிப்பு கவர்
ব্লাষ্ট ফায়াৰিং,குண்டு வெடிப்பு
বিস্ফোৰণ দুৱাৰ এম্প্লিফায়াৰ,வெடிப்பு கதவு பெருக்கி
বাৰ্ষ্ট মোড,வெடிப்பு முறை
বিস্ফোৰণ বিভাজক,வெடிப்பு பிரிப்பான்
বিস্ফোৰণ সংকেত,வெடிப்பு சமிக்ஞை
বাৰ্ষ্ট ভুল সংশোধক ক&#39;ড,வெடிப்பு பிழை திருத்தி குறியீடு
বাছ,போதும்
বাছ বাৰ,பஸ் பார்
বাছ সংস্থা,பேருந்து அமைப்பு
বাছৰ মানদণ্ড,பேருந்து தரநிலை
মাত্ৰ ক্ষণিক,வெறும் கணம்
ফিল্টাৰৰ মূল্যৰ মাখন,வெண்ணெய் மதிப்பு வடிகட்டி
bnc তাঁৰ,bnc கம்பி
বিএনচি জইণ্টাৰ,BNC இணைப்பாளர்
বাই-ৱে,வழியில்
বাইপাছ কেপাচিটৰ,பைபாஸ் மின்தேக்கி
বাইট,பைட்
ভি বেণ্ড,வி இசைக்குழு
C বেণ্ড এন্টেনা,சி பேண்ட் ஆண்டெனா
তাঁৰ,கம்பி
তাঁৰৰ ৰুটিং,கம்பி வழித்தடம்
টেলিগ্ৰাফ টেলিভিছন,தந்தி தொலைக்காட்சி
কেশ্ব মেমৰি,கேச் நினைவகம்
ছিছিম ফ্ৰিকুৱেন্সি ষ্টেণ্ডাৰ্ড,சிசிம் அதிர்வெண் தரநிலை
কেলকুলেটৰ,கால்குலேட்டர்
মানাংকন,அளவுத்திருத்தம்
কল ঠিকনা,அழைப்பு முகவரி
কলপিট দোলক,கால்பிட் ஆஸிலேட்டர்
কেম কৰ্ডাৰ,கேம் கார்டர்கள்
কেমেৰা,புகைப்பட கருவி
কেমেৰাৰ নলী,கேமரா குழாய்
কেণ্ডেলা,குத்துவிளக்கு
মমবাতিৰ শক্তি,மெழுகுவர்த்தி சக்தி
কেন্টিলিভাৰ ষ্ট্ৰেইন গেজ,கான்டிலீவர் ஸ்ட்ரெய்ன் கேஜ்
ধৰি ৰখা,வைத்திருக்கும்
ৰক্তচাপ ট্ৰেন্সডুচাৰ,கொள்ளளவு இரத்த அழுத்த மின்மாற்றி
ধাৰণকাৰী বিতৰক,வைத்திருக்கும் விநியோகஸ்தர்
চুক্তি ধাৰণ কৰা,ஒப்பந்தம் வைத்தல்
ধাৰণক্ষমতা গেজ,கொள்ளளவு அளவீடு
ধৰি ৰখা সংগ্ৰাহক,வைத்திருக்கும் சேகரிப்பான்
ধাৰণক্ষমতা বিক্ৰিয়াশীলতা,கொள்ளளவு எதிர்வினை
"কেপাচিটিভ এনাৰ্জি কনভাৰ্টাৰ, ট্ৰেন্সডুচাৰ","கொள்ளளவு ஆற்றல் மாற்றி, மின்மாற்றி"
কেপাচিটৰ,மின்தேக்கி
কেপাচিটৰ বেংক,மின்தேக்கி வங்கி
কেপাচিটৰ ফিল্টাৰ,மின்தேக்கி வடிகட்டி
কেপাচিটৰ ইনপুট ফিল্টাৰ,மின்தேக்கி உள்ளீடு வடிகட்டி
উইঞ্চ মটৰ,வின்ச் மோட்டார்
পুলি চাৰ্ভো বডি,புல்லி சர்வோ உடல்
চৰখী,சார்க்கி
বন্দী কৰা,பிடிப்பு
capture clause,பிடிப்பு பிரிவு
কেপচাৰ ইফেক্ট,பிடிப்பு விளைவு
বাহক শব্দ অনুপাত,கேரியர் இரைச்சல் விகிதம்
গাড়ী ৰেডিঅ&#39;,கார் வானொலி
কাৰ্বন ৰেজিষ্টৰ,கார்பன் மின்தடை
কাৰ্ড ৰিডাৰ,கார்டு ரீடர்
কাৰ্ডিঅ&#39;ইড ডায়েগ্ৰাম,இதய வரைபடம்
গাড়ী,வண்டி
carriage return,வண்டி திரும்புதல்
বাহক,கேரியர்
বাহক যোগাযোগ,கேரியர் தொடர்பு
বাহক ঘনত্ব,கேரியர் செறிவு
বাহক কম্পাঙ্ক,கேரியர் அதிர்வெண்
বাহক প্ৰজনন,கேரியர் இனப்பெருக்கம்
বাহক স্তৰ,கேரியர் நிலை
বাহক জীৱন,கேரியர் வாழ்க்கை
বাহক গতিশীলতা,கேரியர் இயக்கம்
বাহক গুণন,கேரியர் பெருக்கல்
বাহক শব্দৰ মাত্ৰা,கேரியர் இரைச்சல் நிலை
বাহক পৰিসৰ,கேரியர் வரம்பு
বাহক পুনৰুদ্ধাৰ বৰ্তনী,கேரியர் மீட்பு சுற்று
বাহক পুনৰ সন্নিৱিষ্ট কৰা,கேரியர் மறுசெருகல்
পৰিবাহী বিকিৰণ,கடத்தும் சிதறல்
বাহক দমন,கேரியர் அடக்குமுறை
বাহক পিঞ্জৰা,கேரியர் கூண்டு
বাহক বেগ,கேரியர் வேகம்
হেণ্ড বিট,கை பிட்
ধাৰণ কৰা পতাকা,கொடி நடைபெற்றது
"দখলৰ পঞ্জীয়ন, দখলৰ পঞ্জী","உடைமைப் பதிவு, உடைமைப் பதிவு"
পৰ্টেবল জেনেৰেটৰ,சிறிய ஜெனரேட்டர்
carson&#39;s আইন,கார்சன் சட்டம்
কাৰ্টিজ ফিউজ,கெட்டி உருகி
কাৰ্টিজ টেপ,கெட்டி நாடா
কেৰী ফষ্টাৰ ব্ৰীজ,கேரி ஃபாஸ்டர் பாலம்
ষ্টেপ এম্প্লিফায়াৰ,படி பெருக்கி
গ্ৰেডেচন,தரம்
কেছকেড এম্প্লিফায়াৰ,அடுக்கு பெருக்கி
"কেস্কোড এম্প্লিফায়াৰ, ষ্টেপ এম্প্লিফায়াৰ","கேஸ்கோட் பெருக்கி, படி பெருக்கி"
কেছেট,கேசட்
প্ৰৰোচনা,தூண்டுதல்
বন্দী কোটাৰ,சிறைப்பிடிக்கப்பட்ட பூச்சு
কেথ&#39;ড,கேத்தோடு
কেথ&#39;ড ট্ৰেইলিং,கேத்தோடு பின்வாங்கல்
কেথ&#39;ড ট্ৰেইলিং এম্প্লিফায়াৰ,காதோட் டிரெயிலிங் பெருக்கி
কেথ&#39;ড লুমিনেন্স,கேத்தோடு ஒளிர்வு
কেথ&#39;ড পদাৰ্থ,கேத்தோடு பொருள்
কেথ’ড ৰশ্মিৰ অচিলোস্কোপ,கேத்தோடு கதிர் அலைக்காட்டி
কেথ&#39;ড ৰশ্মিৰ নলী,கேத்தோடு கதிர் குழாய்
কেথ&#39;ড কণা নিক্ষেপ,கேத்தோடு துகள் படிவு
কেথ&#39;ড লুমিনেন্স,கேத்தோடு ஒளிர்வு
কুয়াৰ ফিল্টাৰ,தேங்காய் வடிகட்டி
kaver ফিল্টাৰ,கேவர் வடிகட்டி
কোটৰ,கோட்டார்
এণ্ট্ৰেল ৰেডিয়চন,ஆன்ட்ரல் கதிர்வீச்சு
কটাৰ অনুনাদক,cotter resonator
ফেট চাৰ্জ কাপল্ড ডিভাইচ (CCD),கொழுப்பு சார்ஜ் இணைக்கப்பட்ட சாதனம் (CCD)
cd ৰম,சிடிரோம்
cd ৰম ড্ৰাইভ,சிடி ரோம் டிரைவ்
কোষ (বেটাৰী),செல் (பேட்டரி)
কেন্দ্ৰীয় সম্পদ উপাদান,மைய வள உறுப்பு
কেন্দ্ৰীয় সম্পদ একক,மத்திய வள அலகு
