Kannada,Marathi
ಸಂಯೋಜಕ ಗುಂಪು,मिश्रित गट
ಸಂಯೋಜಕ ವಿಲೋಮ,additive inverse
ಸಂಯೋಜಕ ಆಸ್ತಿ,अतिरिक्त गुणधर्म
ಸಂಕಲನ,जोड
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,संलग्नता मॅट्रिक्स
ಪಕ್ಕದ,समीप
ಪಕ್ಕದ ಕೋನಗಳು,समीप कोन
ಪಕ್ಕದ ಶೃಂಗ,समीप शिरोबिंदू
ಹೊಂದು,संलग्न
ಪಕ್ಕದ,शेजारील
ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ,संलग्न निर्धारक
ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,संलग्न विभेदक समीकरण
ಸಂಯೋಜಿತ ಸಮೀಕರಣ,संलग्न समीकरण
ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,संलग्न मॅट्रिक्स
ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ,मॅट्रिक्सचा संलग्न
ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,मॅट्रिक्स समायोजित करा
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,स्वीकार्य निर्णय कार्य
ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ,स्वीकार्य गृहीतक
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,वायुगतिकीय शक्ती
ವಾಯುಬಲವಿಜ್ಞಾನ,वायुगतिकी
ಅಫೈನ್ ಜ್ಯಾಮಿತಿ,affine भूमिती
ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್,affine मॅपिंग
ಅಫೈನ್ ರೂಪಾಂತರ,affine परिवर्तन
ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ,एकत्रित व्हेरिएबल्स
ಬೀಜಗಣಿತ,बीजगणित
ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ,बीजगणितानुसार बंद
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,बीजगणितीय समीकरण
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,बीजगणितीय अभिव्यक्ती
ಬೀಜಗಣಿತ ರೂಪ,बीजगणितीय फॉर्म
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,बीजगणितीय कार्य
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,बीजगणितीय भूमिती
ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ,बीजगणितीय गुणाकार
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,बीजगणित प्रणाली
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,सर्व-पूर्णांक समस्या
ಹಂಚಿಕೆ ಸಮಸ್ಯೆ,वाटप समस्या
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,वर्णक्रमानुसार नोटेशन
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,वर्णमाला वर्ण
ಪರ್ಯಾಯ ಕೋನ,पर्यायी कोन
ಪರ್ಯಾಯ ರೂಪ,पर्यायी फॉर्म
ಪರ್ಯಾಯ ಗುಂಪು,पर्यायी गट
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,पर्यायी मॅट्रिक्स
ಪರ್ಯಾಯ ಸರಣಿ,पर्यायी मालिका
ಪರ್ಯಾಯ ಕಲ್ಪನೆ,पर्यायी गृहीतक
ಪರ್ಯಾಯ ಆಪ್ಟಿಮಾ,पर्यायी ऑप्टिमा
ಪರ್ಯಾಯ ಫಲಿತಾಂಶ,पर्यायी परिणाम
ಅನಲಾಗ್-ಟು-ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ,अॅनालॉग-टू-डिजिटल कनवर्टर
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,अॅनालॉग संगणक
ವಿಶ್ಲೇಷಣೆ,विश्लेषण
ಸಹವರ್ತಿತ್ವದ ವಿಶ್ಲೇಷಣೆ,सहप्रसरणाचे विश्लेषण
ಎಣಿಕೆಯ ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ,गणना डेटाचे विश्लेषण
ವ್ಯತ್ಯಾಸದ ವಿಶ್ಲೇಷಣೆ,भिन्नतेचे विश्लेषण
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ,विश्लेषणात्मक भूमिती
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ,विश्लेषणात्मक कार्य
ಕೋನ,कोन
ಸಂಪರ್ಕದ ಕೋನ,संपर्क कोन
ವಿಚಲನ ಕೋನ,विक्षेपण कोन
ಖಿನ್ನತೆಯ ಕೋನ,उदासीनता कोन
ವಿಚಲನ ಕೋನ,विचलन कोन
ವಿವರ್ತನೆಯ ಕೋನ,विवर्तन कोन
ಎತ್ತರದ ಕೋನ,उंचीचा कोन
ಘಟನೆಯ ಕೋನ,घटनेचा कोन
ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ,प्रक्षेपण कोन
ಪ್ರತಿಬಿಂಬದ ಕೋನ,परावर्तन कोन
ವಕ್ರೀಭವನದ ಕೋನ,अपवर्तन कोन
ತಿರುಗುವಿಕೆಯ ಕೋನ,रोटेशनचा कोन
ಒಟ್ಟು ಪ್ರತಿಫಲನದ ಕೋನ,एकूण परावर्तनाचा कोन
ಕೋನೀಯ ವೇಗವರ್ಧನೆ,कोनीय प्रवेग
ಕೋನೀಯ ಚಲನೆ,कोणीय गती
ಕೋನೀಯ ವೇಗ,कोनीय गती
ಕೋನೀಯ ವೇಗ,कोनीय गती
ವಾರ್ಷಿಕ,वलय
ಉತ್ತರ,उत्तर
ವಿರೋಧಿ ಉತ್ಪನ್ನ,विरोधी व्युत्पन्न
ಆಂಟಿಸಿಮೆಟ್ರಿಕ್ ಕಾರ್ಯ,विषमताविरोधी कार्य
ಅನ್ವಯಿಸುವ,लागू
ಅಪ್ಲಿಕೇಶನ್,अर्ज
ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,लागू डायनॅमिक प्रोग्रामिंग
ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ,लागू भूमिती
ಅನ್ವಯಿಕ ಗಣಿತ,लागू गणित
ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು,लागू आकडेवारी
ಸರಿಸುಮಾರು,अंदाजे
ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ,अंदाजे सतत कार्य
ಅಂದಾಜು ವಿಧಾನ,अंदाजे पद्धत
ಅಂದಾಜು ಪರಿಹಾರ,अंदाजे उपाय
ಅಂದಾಜು ಸಮಸ್ಯೆ,अंदाजे समस्या
ಅಂದಾಜು ಆಸ್ತಿ,अंदाजे मालमत्ता
ಆಪ್ಟಿಟ್ಯೂಡ್ ಟೆಸ್ಟ್ ಬ್ಯಾಟರಿ,योग्यता चाचणी बॅटरी
ಅರ್ಗಾಂಡ್ ರೇಖಾಚಿತ್ರ,आर्गंड आकृती
ನಿರಂಕುಶವಾಗಿ ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ,अनियंत्रितपणे निवडले
ನಿರಂಕುಶ,अनियंत्रित
ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ,अनियंत्रित स्थिरांक
ಅನಿಯಂತ್ರಿತ ಅಂಶ,अनियंत्रित घटक
ಅನಿಯಂತ್ರಿತ ಬಿಂದು,अनियंत्रित बिंदू
ಆರ್ಕೆಮಿಡಿಯನ್ ಕಾನೂನು,आर्किमेडियन कायदा
ಆರ್ಕಿಮಿಡಿಸ್ ತತ್ವ,आर्किमिडीज तत्त्व
ಆರ್ಕ್ ಉದ್ದ,चाप लांबी
ವೃತ್ತದ ಚಾಪ,वर्तुळाचा चाप
ಆರ್ಕ್ ಸೈನ್ ವಿತರಣೆ,आर्क साइन वितरण
ಆರ್ಕ್ ಸೈನ್ ರೂಪಾಂತರ,चाप साइन परिवर्तन
ಪ್ರದೇಶ,क्षेत्र
ಪ್ರದೇಶದ ವಿನ್ಯಾಸ,क्षेत्रीय पोत
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ವಾದ,जटिल संख्येचा युक्तिवाद
ಅಂಕಗಣಿತದ ಸರಾಸರಿ,अंकगणित सरासरी
ಅಂಕಗಣಿತದ ಕಾರ್ಯಾಚರಣೆ,अंकगणित ऑपरेशन
ಅಂಕಗಣಿತದ ಘಟಕ,अंकगणित एकक
ವ್ಯವಸ್ಥೆ,व्यवस्था
ಶ್ರೇಣಿ,रचना
ಕೃತಕ ಉಪಗ್ರಹ,कृत्रिम उपग्रह
ಕೃತಕ ವೇರಿಯಬಲ್,कृत्रिम व्हेरिएबल
ಏರು,चढणे
ಆರೋಹಣ,चढत्या
ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ,परिमाणाचा चढता क्रम
ಆರೋಹಣ ಸರಣಿ,चढत्या मालिका
ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ,असेंबलर भाषा
ನಿಯೋಜನೆ ಸಮಸ್ಯೆ,असाइनमेंट समस्या
ಸಹಾಯಕ ಕಾನೂನು,सहयोगी कायदा
ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ಕಾನೂನು,ऑपरेटर्सचा सहयोगी कायदा
ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ,सहयोगी ऑपरेशन
ಸಹಭಾಗಿತ್ವ,सहवास
ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ,सरासरी गृहीत धरले
ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ,गृहीत संभाव्यता वितरण
ಊಹೆ,गृहीतक
ಜ್ಯೋತಿಷ್ಯ,ज्योतिष
ಗಗನಯಾತ್ರಿ ಇಂಜಿನಿಯರ್,अंतराळवीर अभियंता
ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ,खगोलशास्त्रज्ञ
ಖಗೋಳ ಗಡಿಯಾರ,खगोलशास्त्रीय घड्याळ
ಖಗೋಳಶಾಸ್ತ್ರ,खगोलशास्त्र
ಅಸಮವಾದ ಕರ್ವ್,असममित वक्र
ಅಸಿಮ್ಮೆಟ್ರಿ,विषमता
ಲಕ್ಷಣರಹಿತ,लक्षणे
ಲಕ್ಷಣರಹಿತ,लक्षणे नसलेला
ಲಕ್ಷಣರಹಿತ ಪರಿಣಾಮಕಾರಿ ಅಂದಾಜುಗಾರ,असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता
ಲಕ್ಷಣರಹಿತವಾಗಿ ನಿಷ್ಪಕ್ಷಪಾತ ಅಂದಾಜುಗಾರ,asymptotically निष्पक्ष अंदाजकर्ता
ಲಕ್ಷಣರಹಿತ ನಡವಳಿಕೆ,लक्षणे नसलेले वर्तन
ಲಕ್ಷಣರಹಿತ ವಿತರಣಾ ಕಾರ್ಯ,एसिम्प्टोटिक वितरण कार्य
ಲಕ್ಷಣರಹಿತ ವಿಸ್ತರಣೆ,एसिम्प्टोटिक विस्तार
ವಾತಾವರಣದ ಒತ್ತಡ,वातावरणाचा दाब
ಯಾದೃಚ್ಛಿಕವಾಗಿ,यादृच्छिकपणे
ಗುಣಲಕ್ಷಣ,विशेषता
ಮಾದರಿ ವಿಧಾನದ ಗುಣಲಕ್ಷಣಗಳು,गुणधर्म नमुना प्रक्रिया
ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,संवर्धित मॅट्रिक्स
ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ,स्वयंसंबंध गुणांक
ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ,स्वयंसंबंध कार्य
ಆಟೋಕೋವೇರಿಯನ್ಸ್,autocovariance
ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್,स्वयंचलित संगणक
ಸ್ವಯಂ ಹಿನ್ನಡೆ,ऑटोरिग्रेशन
ಸಹಾಯಕ ಸಮೀಕರಣ,सहाय्यक समीकरण
ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (ASN ಕರ್ವ್),सरासरी नमुना क्रमांक वक्र (ASN वक्र)
ಮೂಲತತ್ವ,स्वयंसिद्ध
ಅಕ್ಷೀಯ ವಿಧಾನ,स्वयंसिद्ध दृष्टीकोन
ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ,संभाव्यतेचे स्वयंसिद्ध
ಅಕ್ಷರೇಖೆ,अक्ष
ಅಬ್ಸಿಸ್ಸಾದ ಅಕ್ಷ,abscissa चा अक्ष
ಭೂಮಿಯ ಅಕ್ಷ,पृथ्वीचा अक्ष
ಕ್ರಾಂತಿಯ ಅಕ್ಷ,क्रांतीची अक्ष
ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ,रोटेशनचा अक्ष
ಸ್ಪಿನ್ ಅಕ್ಷ,फिरकीचा अक्ष
ಬ್ಯಾಕ್-ಬದಲಿ,परत प्रतिस्थापन
ಹಿಂದುಳಿದ ವ್ಯತ್ಯಾಸ,मागास फरक
ಹಿಂದುಳಿದ-ಪ್ರಕ್ಷೇಪಣ ಸೂತ್ರ,बॅकवर्ड-इंटरपोलेशन सूत्र
ಸಮತೋಲನ,शिल्लक
ಸಮತೋಲಿತ ವಿನ್ಯಾಸ,संतुलित डिझाइन
ಆಯವ್ಯಯ ಪಟ್ಟಿ,ताळेबंद
ಬ್ಯಾಲಿಸ್ಟಿಕ್ ಕ್ಷಿಪಣಿ,बॅलिस्टिक क्षेपणास्त्र
ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್,बॅलिस्टिक्स
ಬಾರ್,बार
ಬೇಸ್,पाया
ಮೂಲ ಕೋನ,बेस कोन
ಲಾಗರಿಥಮ್ನ ಆಧಾರ,लॉगरिदमचा आधार
ಮೂಲಭೂತ,मूलभूत
ಮೂಲ ಕಾರ್ಯಸಾಧ್ಯ ಪರಿಹಾರ,मूलभूत व्यवहार्य उपाय
ಮೂಲ ಪರಿಹಾರ,मूलभूत उपाय
ಮೂಲ ವೇರಿಯಬಲ್,मूलभूत चल
ಆಧಾರದ,आधार
ಆಧಾರ ಅಂಶ,आधार घटक
ಆಧಾರ ಮ್ಯಾಟ್ರಿಕ್ಸ್,आधार मॅट्रिक्स
ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ,वेक्टर स्पेसचा आधार
ಉಪಸ್ಥಳದ ಆಧಾರ,सबस्पेसचा आधार
ಬೇಸಿಯನ್ ಅಂದಾಜು,बायसियन अंदाज
ಬೇಯ್ಸ್ ಕಾನೂನು,बायसचा कायदा
ಬೇಯಸ್ ಪ್ರಮೇಯ,बायसचे प्रमेय
ಬರ್ನೌಲ್ಲಿ ವಿತರಣೆ,बर्नौली वितरण
ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆ,बर्नौली क्रमांक
ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ,बर्नौली संभाव्यता कार्य
ಬರ್ನೌಲಿಯ ಸಮೀಕರಣ,बर्नौलीचे समीकरण
ಬೆರ್ರಿ ಕಾರ್ಯ,बेरी फंक्शन
ಅತ್ಯುತ್ತಮ ಫಿಟ್,सर्वोत्तम फिट
ಅತ್ಯುತ್ತಮ - ಫಿಟ್ ಲೈನ್,सर्वोत्तम - फिट लाइन
ಉತ್ತಮ ಪರಿಹಾರ,सर्वोत्तम उपाय
ಅತ್ಯುತ್ತಮ ತಂತ್ರಗಳು,सर्वोत्तम धोरणे
ಬೀಟಾ ವಿತರಣೆ,बीटा वितरण
ಪಕ್ಷಪಾತ,पक्षपात
ಪಕ್ಷಪಾತದ ಅಂದಾಜು,पक्षपाती अंदाज
ಬೈಹಾರ್ಮೋನಿಕ್ ಸಮೀಕರಣ,बिहारमोनिक समीकरण
ಬೈಜೆಕ್ಷನ್,द्विभाजन
ಬೈಜೆಕ್ಟಿವ್ ನಕ್ಷೆ,द्विभाषिक नकाशा
ಬೈಜೆಕ್ಟಿವ್ ಮ್ಯಾಪಿಂಗ್,द्विजात्मक मॅपिंग
ಬೈಲಿನಿಯರ್ ರೂಪ,द्विरेखीय फॉर्म
ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ,द्विरेखीय कार्य
ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ರೂಪ,द्विरेखीय हर्मिटियन फॉर्म
ಅವಳಿ,बायनरी
ಬೈನರಿ ಕೋಡ್,बायनरी कोड
ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ,बायनरी कोडेड दशांश
ಬೈನರಿ ಕೋಡಿಂಗ್,बायनरी कोडिंग
ಬೈನರಿ ಕಂಪ್ಯೂಟರ್,बायनरी संगणक
ದ್ವಿಮಾನ ಅಂಕಿ,बायनरी अंक
ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ,बायनरी ऑपरेशन
ಬೈನರಿ ಸಿಸ್ಟಮ್,बायनरी प्रणाली
ಬೈನರಿ ವೇರಿಯಬಲ್,बायनरी व्हेरिएबल
ದ್ವಿಪದ ಗುಣಾಂಕ,द्विपदी गुणांक
ದ್ವಿಪದ ವಿತರಣೆ,द्विपदी वितरण
ದ್ವಿಪದ ಸಮೀಕರಣ,द्विपद समीकरण
ದ್ವಿಪದ ವಿಸ್ತರಣೆ,द्विपदी विस्तार
ದ್ವಿಪದ ಅಭಿವ್ಯಕ್ತಿ,द्विपदी अभिव्यक्ती
ದ್ವಿಪದ ಯಾದೃಚ್ಛಿಕ ವೇರಿಯಬಲ್,द्विपदी यादृच्छिक चल
ದ್ವಿಪದ ಪ್ರಮೇಯ,द्विपद प्रमेय
ಇಬ್ಭಾಗ,दुभाजक
ವಿಭಜನಾ ವಿಧಾನ,दुभाजक पद्धत
ದ್ವಿಭಾಜಕ,दुभाजक
ಬೈಸೀರಿಯಲ್,द्विसेरियल
ಸ್ವಲ್ಪ,बिट
ದ್ವಿಪದ ದ್ವಿಪದ ವಿತರಣೆ,द्विपदी द्विपद वितरण
ದ್ವಿಗುಣ ಪರಸ್ಪರ ಸಂಬಂಧ ಗುಣಾಂಕ,द्विवैरिएट सहसंबंध गुणांक
ದ್ವಿಗುಣ ವಿತರಣೆ,द्विभिन्न वितरण
ದ್ವಿಗುಣ ಸಾಮಾನ್ಯ ವಿತರಣೆ,द्विवैरिएट सामान्य वितरण
ಬೈವೆಕ್ಟರ್,bivector
ಬೋಲ್ಟ್ಜ್‌ಮನ್ ಸಮೀಕರಣ,बोल्ट्झमन समीकरण
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ,बुलियन बीजगणित
ಬೋಸ್ - ಐನ್ಸ್ಟೈನ್ ಅಂಕಿಅಂಶಗಳು,बोस - आईन्स्टाईन आकडेवारी
ಗಡಿ ಸ್ಥಿತಿ,सीमा स्थिती
ಗಡಿ ಪದರ,सीमा स्तर
ಗಡಿ ರೇಖೆ,सीमारेषा
ಗಡಿ ಮೌಲ್ಯ,सीमा मूल्य
ಗಡಿ ಮೌಲ್ಯದ ಸಮಸ್ಯೆ,सीमा मूल्य समस्या
ಸೀಮಿತ ಕಾರ್ಯ,बंधनकारक कार्य
ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,सीमाबद्ध मॅट्रिक्स
ಗಡಿ ಪ್ರದೇಶ,सीमाबद्ध प्रदेश
ಸೀಮಿತ ಸೆಟ್,बांधलेला संच
ಬ್ರೌನಿಯನ್ ಚಲನೆ,ब्राउनियन गती
ಲೆಕ್ಕಾಚಾರ,गणना करा
ಲೆಕ್ಕಾಚಾರ,गणना करत आहे
ಲೆಕ್ಕಾಚಾರ ಯಂತ್ರ,गणना मशीन
ಲೆಕ್ಕಾಚಾರ,गणना
ಲೆಕ್ಕಾಚಾರದ ಕಾರ್ಯವಿಧಾನ,गणना प्रक्रिया
ಕ್ಯಾಲ್ಕುಲೇಟರ್,कॅल्क्युलेटर
ಕಲನಶಾಸ್ತ್ರ,कॅल्क्युलस
ವ್ಯತ್ಯಾಸದ ಕಲನಶಾಸ್ತ್ರ,भिन्नतेची गणना
ಕ್ಯಾಲೋರಿ,कॅलरी
ರದ್ದತಿ ಕಾನೂನು,रद्द करण्याचा कायदा
ಅಂಗೀಕೃತ ಸಮೀಕರಣ,प्रामाणिक समीकरण
ಅಂಗೀಕೃತ ರೂಪ,प्रामाणिक स्वरूप
ಅಂಗೀಕೃತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,कॅनोनिकल मॅट्रिक्स
ಕ್ಯಾಂಟರ್ ಸೆಟ್,कॅंटर सेट
ಕ್ಯಾಂಟರ್‌ನ ತ್ರಯಾತ್ಮಕ ಸೆಟ್,कॅंटरचा तिरंगी संच
ಸಾಮರ್ಥ್ಯದ ಸಾರಿಗೆ ಸಮಸ್ಯೆ,सक्षम वाहतूक समस्या
ಸಾಮರ್ಥ್ಯ,क्षमता
ಕ್ಯಾಪಿಲ್ಲರಿ ಬಲ,केशिका शक्ती
ಕಾರ್ಡಿನಲ್ ಸಂಖ್ಯೆ,मुख्य क्रमांक
ಕಾರ್ಟೇಶಿಯನ್ ಅಕ್ಷಗಳು,कार्टेशियन अक्ष
ಕಾರ್ಟೇಶಿಯನ್ ನಿರ್ದೇಶಾಂಕಗಳು,कार्टेशियन समन्वय
ಕಾರ್ಟೇಶಿಯನ್ ಉತ್ಪನ್ನ,कार्टेशियन उत्पादन
ಸೆಟ್‌ಗಳ ಕಾರ್ಟೇಶಿಯನ್ ಉತ್ಪನ್ನ,संचांचे कार्टेशियन उत्पादन
ಉದಾಹರಣಾ ಪರಿಶೀಲನೆ,केस स्टडी
ದುರಂತದ ಏರಿಳಿತ,आपत्तीजनक चढउतार
ಕ್ಯಾಟೆನರಿ,कॅटेनरी
ಕೌಚಿ ವಿತರಣೆ,कॉची वितरण
ಕೌಚಿ ಸೂತ್ರ,कॉची सूत्र
ಕೌಚಿ ಗೌರ್ಸಾಟ್ ಪ್ರಮೇಯ,कैची गौरसाट प्रमेय
ಕೌಚಿ ರೀಮನ್ ಪರಿಸ್ಥಿತಿಗಳು,Cauchy Riemann अटी
ಕೌಚಿ ಅನುಕ್ರಮ,कॉची क्रम
ಕೌಚಿ ಅವಿಭಾಜ್ಯ,कैची अभिन्न
ಕೌಚಿ ಪ್ರಧಾನ ಮೌಲ್ಯ,कॉची मुख्य मूल्य
ಕೌಚಿ ಶೇಷ ಪ್ರಮೇಯ,कॉची अवशेष प्रमेय
ಕೇಲಿ ಹ್ಯಾಮಿಲ್ಟನ್ ಪ್ರಮೇಯ,केली हॅमिल्टन प्रमेय
ಆಕಾಶಕಾಯ,आकाशीय शरीर
ಆಕಾಶ ಮಾಪನ,आकाशीय मापन
ಆಕಾಶ ಯಂತ್ರಶಾಸ್ತ್ರ,खगोलीय यांत्रिकी
ಆಕಾಶ ವಸ್ತು,खगोलीय वस्तू
ಜೀವಕೋಶದ ಆವರ್ತನ,सेल वारंवारता
ಜನಗಣತಿ,जनगणना
ಸೆಂಟಿಲ್,सेंटाइल
ಸೆಂಟಿಮೀಟರ್,सेंटीमीटर
ಸೆಂಟಿಮೀಟರ್ ಗ್ರಾಂ ಎರಡನೇ ವ್ಯವಸ್ಥೆ,सेंटीमीटर ग्रॅम दुसरी प्रणाली
ಕೇಂದ್ರ,मध्यवर्ती
ಕೇಂದ್ರ ಅಕ್ಷ,मध्य अक्ष
ಕೇಂದ್ರ ವ್ಯತ್ಯಾಸ,मध्यवर्ती फरक
ಕೇಂದ್ರ ವ್ಯತ್ಯಾಸ ಸೂತ್ರ,केंद्रीय फरक सूत्र
ಕೇಂದ್ರ ವ್ಯತ್ಯಾಸ ಕೋಷ್ಟಕ,मध्यवर्ती फरक सारणी
ಕೇಂದ್ರ ಮಿತಿ ಪ್ರಮೇಯ,केंद्रीय मर्यादा प्रमेय
ಕೇಂದ್ರ ಕ್ಷಣ,मध्यवर्ती क्षण
