Hindi,Bengali
चिप,চিপ
चिप सेट,চিপ সেট
"1.चुनना, 2.चयन",পছন্দ করা
वर्णिक रूप से,বর্ণগতভাবে
"1.सािफर,2. शून्य,3. सीफर",গোপনীয় কোড
परिपथ,সার্কিট
वर्तुल सूची,বৃত্তাকার তালিকা
सायरस,সাইরাস
उल्लेख,উদ্ধৃতি
"1.श्रेणी, 2.वर्ग",ক্লাস
वर्ग चर,ক্লাস পরিবর্তনশীল
वर्गीकरण,শ্রেণীবিভাগ
अपमार्जन,স্পষ্ট
अपमार्जित क्षेत्र,পরিষ্কার এলাকা
"1.अपमार्जित प्रणाली, 2.अपमार्जित चैनल",পরিষ্কার চ্যানেল
दबाना,ক্লিক
"1.ग्राहक,2. क्लाइट",ক্লায়েন্ট
"1.ग्राहक परिसेवक, 2.ग्राहक सर्वर",ক্লায়েন্ট সার্ভার
ग्राहक स्टब,ক্লায়েন্ট স্টাব
कर्तन कला,ক্লিপ আর্ট
कर्तन कला पुस्तकालय,ক্লিপ আর্ট লাইব্রেরি
क्लिप बोर्ड,ক্লিপ বোর্ড
क्लिपर,ক্লিপার
क्लिपर चिप,ক্লিপার চিপ
गुट,চক্র
"1.घड़ी,2. कालद",ঘড়ি
कालद चक्र,ঘড়ি চক্র
कालद आवृत्ति,ঘড়ি ফ্রিকোয়েন্সি
कालद हार्डवेयर,ঘড়ির হার্ডওয়্যার
कालद स्पंद,ঘড়ির নাড়ি
कालद गति,ঘরির গতি
कालद तुल्यकालन,ঘড়ি সিঙ্ক্রোনাইজেশন
कालद टिक,ঘড়ির টিক টিক
क्लोन,ক্লোন
बंद,বন্ধ
संवृत परिपथ टी.वी. (सी.सी.टी.वी.),ক্লোজ সার্কিট টিভি (সিসিটিভি)
संवरण,বন্ধ
"1.मेघाभिकलन,2.क्लाुड कंप्यूटिंग",ক্লাউড কম্পিউটিং
गुच्छ,ক্লাস্টার
"1.विलेपित कार्ड,2. विलेपित पत्रक",প্রলিপ্ত কার্ড
लेपित कागज,লেপা কাগজ
समाक्षीय,সমাক্ষীয়
समाक्ष केबल,সমাক্ষ তারের
कोडासिल,কোডাসাইল
"1.कूट, 2.कोड",কোড
"1.कूट जनक,2. कोड जनक",উৎপাদকের কোড
कूट पृष्ठ,কোড পৃষ্ঠা
"1.कूट शब्द, 2.कोड शब्द",কোড শব্দ
"1.कोडर, 2.कूटक",কোডার
"1.कूट लेखन जाँच, 2. कोडन जाँच",কোডিং চেক
कूट लेखन रूप,কোডিং ফর্ম
"1.कूटलेखन पत्र, 2. कोडन शीट",কোডিং শীট
गुणांक,গুণাঙ্ক
ससंजन,সমন্বয়
"1.शीत बूट, 2.शीत प्रारंभ",শীতল বুটজুতা
शीत प्रारंभ,ঠান্ডা শুরু
सहयोग,সহযোগিতা
निपात,পতন
"1.परिमिलन, 2.समानुक्रमित करना",জমাট বাঁধা
"1.समानुक्रमित टेप,2. कालेट टेप",কোলেট টেপ
टक्कर,সংঘর্ষ
कोलन,কোলন
"1.वर्ण, 2.रंग",রঙ রঙ)
रंग संतृप्ति,রঙ স্যাচুরেশন
रंग सारणी,রঙের টেবিল
स्तंभ,কলাম
संयोजन,সংমিশ্রণ
समिश्र पेटी,কম্বো বাক্স
"1.समादेश, 2.कमांड",আদেশ
समादेश बटन,আদেশ বোতাম
समादेश सूची,কমান্ড তালিকা
टिप्पणी,মন্তব্য
"1.वचन बद्धता, 2.प्रतिबद्धता",অঙ্গীকার
वस्तु,পণ্য
सामान्य व्यवसाय उन्मुखी भाषा (कोबोल),কমন বিজনেস ওরিয়েন্টেড ল্যাঙ্গুয়েজ (কোবোল)
सामान्य त्रुटि,সাধারণ ত্রুটি
सामान्य भाषा,সাধারণ ভাষা
"1.सामान्य नेमक,2. सामान्य नित्यक्रम",সাধারণ রুটিন
संचार,যোগাযোগ
संचार रेखा,যোগাযোগ লাইন
संचार विधा,যোগাযোগ মোড
"1. संचार नेटवर्क, 2. संचार जालक्रम",যোগাযোগ নেটওয়ার্ক
संचार प्राचल,যোগাযোগ পরামিতি
संचार तंत्र,যোগাযোগ ব্যবস্থা
संहनन,কম্প্যাকশন
संपीडप्रसारित्र,সঙ্গী
संपीडप्रसारण,companding
कंपनी नेटवर्क,কোম্পানি নেটওয়ার্ক
तुलना परीक्षण,তুলনা পরীক্ষা
"1.सुसंगति, 2.संगतता",সামঞ্জস্য
सुसंगत,উপযুক্ত
संकलन,সংকলন
संकलन तथा कार्यपालन,কম্পাইল এবং যান
"1.संकलक, 2.क्रमादेश अंतरक",কম্পাইলার
संकलक भाषा,কম্পাইলার ভাষা
पूरक,পরিপূরক
दस-पूरक,পরিপূরক-অন-দশ
पूरक,পরিপূরক
"1.संपूर्ण हस्तगत, 2.संपूर्ण हासिल",সম্পূর্ণ বহন
सम्मिश्र,জটিল
