Kannada,Bengali
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),সক্রিয় সার্ভার পৃষ্ঠা (এএসপি)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,সক্রিয় সংস্করণ
ಅಸೈಕ್ಲಿಕ್,অ্যাসাইক্লিক
ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್,অ্যাসাইক্লিক গ্রাফ
ಅದಾ ಭಾಷೆ,অ্যাডা ভাষা
ಅಡಾಪ್ಟರ್,অ্যাডাপ্টার
ಸೇರಿಸಿ,যোগ করুন
ಕಡತವನ್ನು ಸೇರಿಸು,ফাইল যুক্ত কর
ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ,অপারেশন যোগ করুন
ಸೇರಿಸುವವನು,যোগকারী
ವಿಳಾಸ,ঠিকানা
ವಿಳಾಸ ಬಸ್,ঠিকানা বাস
ವಿಳಾಸ ಫೈಲ್,ঠিকানা ফাইল
ವಿಳಾಸ ಸ್ವರೂಪ,ঠিকানা বিন্যাস
ವಿಳಾಸ ಜನರೇಟರ್,ঠিকানা জেনারেটর
ವಿಳಾಸ ಸಾಲು,ঠিকানা লাইন
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,ঠিকানা ম্যাপিং
ವಿಳಾಸ ಪಾಯಿಂಟರ್,ঠিকানা নির্দেশক
ವಿಳಾಸ ನೋಂದಣಿ,ঠিকানা রেজিস্টার
ವಿಳಾಸ ನಿರ್ಣಯ,ঠিকানা রেজোলিউশন
ವಿಳಾಸ ಅನುವಾದ,ঠিকানা অনুবাদ
ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,ঠিকানাযুক্ত স্মৃতি
ಉದ್ದೇಶಿಸಿ,সম্বোধন
ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು,পর্যাপ্ততার মানদণ্ড
ಪಕ್ಕದ,সংলগ্ন
ಆಡಳಿತ,প্রশাসন
ನಿರ್ವಾಹಕ,প্রশাসক
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,অ্যাডোবি অ্যাক্রোব্যাট
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,অ্যাডোবি ফটোশপ
ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP),অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP)
ಸುಧಾರಿತ ಡೇಟಾ,উন্নত তথ্য
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,উন্নত তথ্য সিস্টেম
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),উন্নত প্রযুক্তি (AT)
ಏಜೆಂಟ್,প্রতিনিধি
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,সমষ্টি
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,বায়ুবাহিত কম্পিউটার সিস্টেম
ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್,aldus পেজ মেকার
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,সতর্কতা বাক্স
ಆಲ್ಗೋಲ್,algol
ಅಲ್ಗಾರಿದಮ್,অ্যালগরিদম
ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ,অ্যালগরিদম বিশ্লেষণ
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,অ্যালগরিদম দক্ষতা
ಅಲಿಯಾಸ್,উপনাম
ಜೋಡಣೆ,প্রান্তিককরণ
ಹಂಚಿಕೆ,বরাদ্দ
ವರ್ಣಮಾಲೆಯ,বর্ণানুক্রমিক
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,আলফানিউমেরিক
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್,আলফানিউমেরিক কী বোর্ড
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ,আলফা-পরীক্ষা
ಆಲ್ಫಾ-ಆವೃತ್ತಿ,আলফা-সংস্করণ
ಆಲ್ಟ್ ಕೀ,alt কী
ಅಲ್ಟಾವಿಸ್ತಾ,আলতাভিস্তা
ಅಸ್ಪಷ್ಟತೆ,অস্পষ্টতা
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,অস্পষ্ট ব্যাকরণ
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI)
ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII),আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII)
ಅನಲಾಗ್,এনালগ
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,এনালগ কম্পিউটার
ಅನಲಾಗ್ ಸಾಧನ,এনালগ ডিভাইস
ಅನಲಾಗ್ ಮೋಡೆಮ್,এনালগ মডেম
ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC),এনালগ থেকে ডিজিটাল কনভার্টার (ADC)
ಮತ್ತು,এবং
ಮತ್ತು ಸರ್ಕ್ಯೂಟ್,এবং সার্কিট
ಮತ್ತು ಗೇಟ್,এবং গেট
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),এবং অপারেশন নয় (বর্জন)
ಅನಿಮೇಷನ್,অ্যানিমেশন
ಟಿಪ್ಪಣಿ,টীকা
ಅಸಂಗತತೆ,ব্যতিক্রম
ಪೂರ್ವಭಾವಿ,পূর্ববর্তী
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,প্রত্যাশিত পেজিং
ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ,বিরোধী প্রতিসম
ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ,অ্যান্টিভাইরাস প্রোগ্রাম
ಆಪ್ಲೆಟ್,অ্যাপলেট
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,অ্যাপ্লিকেশন ডেভেলপার
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,অ্যাপ্লিকেশন প্রোগ্রামিং
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API),অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,অ্যাপ্লিকেশন সফ্টওয়্যার
ಅನ್ವಯಿಕ ಭಾಷೆ,প্রয়োগমূলক ভাষা
ಅಂದಾಜು ಸಿದ್ಧಾಂತ,আনুমানিক তত্ত্ব
ವಾಸ್ತುಶಿಲ್ಪ,স্থাপত্য
ಪ್ರದೇಶ ವರ್ಗಾವಣೆ,এলাকা স্থানান্তর
ವಾದ,যুক্তি
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ,গাণিতিক এবং যুক্তিবিদ্যা ইউনিট
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,গাণিতিক চেক
ಅಂಕಗಣಿತ ಸ್ಥಿರ,গাণিতিক ধ্রুবক
ಅಂಕಗಣಿತದ ಡೇಟಾ,গাণিতিক তথ্য
ಅಂಕಗಣಿತದ ಸೂಚನೆ,গাণিতিক নির্দেশনা
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU),পাটিগণিত এবং যুক্তি ইউনিট (ALU)
ಅರ್ಪಾನೆಟ್,আরপানেট
ಶ್ರೇಣಿ,অ্যারে
ರಚನೆಯ ಸಂಗ್ರಹ,অ্যারে ক্যাশে
ಅರೇ ಕಂಪ್ಯೂಟರ್,অ্যারে কম্পিউটার
ರಚನೆಯ ಅಂಶ,অ্যারে উপাদান
ರಚನೆಯ ಹೆಸರು,অ্যারের নাম
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,অ্যারে প্রসেসর
ಬಾಣದ ಕೀಲಿಗಳು,তীর চিহ্ন
ಉಚ್ಚಾರಣೆ,উচ্চারণ
ಉಚ್ಚಾರಣಾ ಬಿಂದು,উচ্চারণ বিন্দু
ಕೃತಕ ಸಂಕೋಚನ,কৃত্রিম কম্প্যাকশন
ಕೃತಕ ನಿಯಂತ್ರಣ,কৃত্রিম নিয়ন্ত্রণ
ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ,কৃত্রিম বুদ্ধিমত্তা
ಆರೋಹಣ,আরোহী
ಆರೋಹಣ ರೀತಿಯ,আরোহী সাজানোর
ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್,ASCII বেটিকাল অর্ডার
ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ,ASCII নিয়ন্ত্রণ চরিত্র
ASCII ಫೈಲ್,ASCII ফাইল
ASCII ಫಾಂಟ್,ASCII ফন্ট
ASCII ವರ್ಗಾವಣೆ,ASCII স্থানান্তর
ಆಕಾರ ಅನುಪಾತ,আনুমানিক অনুপাত
ASPI,এএসপিআই
ASR ಟೈಮರ್,ASR টাইমার
ಜೋಡಿಸು,একত্রিত করা
ಅಸೆಂಬ್ಲರ್,সংযোজনকারী
ಸಭೆ,সমাবেশ
ಅಸೆಂಬ್ಲಿ ಭಾಷೆ,এসেম্বলি
ಪ್ರತಿಪಾದನೆ,দাবী
ನಿಯೋಜನೆ,নিয়োগ
ಸಂಘ,সংঘ
ಸಹಾಯಕ ವಿಳಾಸ,সহযোগী ঠিকানা
ಸಹಾಯಕ ಸ್ಮರಣೆ,সহযোগী স্মৃতি
ಆಸ್ಟರಿಕ್,asteric
ಅಸಮ್ಮಿತ,অপ্রতিসম
ಅಸಮಕಾಲಿಕ,অ্যাসিঙ্ক্রোনাস
ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL),অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL)
ಅಸಮಕಾಲಿಕ ಸಮಯ ವಿಭಾಗ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM),অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM)
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ,অ্যাসিঙ্ক্রোনাস স্থানান্তর
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM),অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম)
ಪರಮಾಣು,পরমাণু
ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್,সংযুক্ত নথি
ಲಗತ್ತಿಸಲಾದ ಕಡತ,সংযুক্ত ফাইল
ಬಾಂಧವ್ಯ,সংযুক্তি
ಗುಣಲಕ್ಷಣ,বৈশিষ্ট্য
ಆಡಿಯೋ,শ্রুতি
ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,অডিট প্রোগ্রামিং
ಆಡಿಟ್ ಟ್ರಯಲ್,নিরীক্ষা পথ
ವರ್ಧನೆ,বৃদ্ধি
ದೃಢೀಕರಣ ಪ್ರೋಟೋಕಾಲ್,প্রমাণীকরণ প্রোটোকল
ಲೇಖಕ ವ್ಯವಸ್ಥೆ,অথরিং সিস্টেম
ಅಧಿಕಾರ,অনুমোদন
ಸ್ವಯಂ ಅಮೂರ್ತ,স্বয়ংক্রিয় বিমূর্ত
ಸ್ವಯಂಬೂಟ್ ಮಾಡುವಿಕೆ,অটোবুটিং
ಆಟೋಕ್ಯಾಡ್,অটোক্যাড
ಸ್ವಯಂ ಲಾಗ್ ಆನ್,অটোলগ চালু
ಸ್ವಯಂಚಾಲಿತ,স্বয়ংক্রিয়
ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ,স্বয়ংক্রিয় তত্ত্ব
ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟಿಂಗ್,স্বয়ংক্রিয় কম্পিউটিং
ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ
ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ,স্বয়ংক্রিয় ত্রুটি সংশোধন
ಸ್ವಯಂಚಾಲಿತ ಕಾರ್ಯ,স্বয়ংক্রিয় ফাংশন
ಸ್ವಯಂಚಾಲಿತ ಸೂಚ್ಯಂಕ,স্বয়ংক্রিয় সূচীকরণ
ಸ್ವಯಂಚಾಲಿತ ಲೈಬ್ರರಿ ಕರೆ,স্বয়ংক্রিয় লাইব্রেরি কল
ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್,স্বয়ংক্রিয় প্রোগ্রামিং
ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ,স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম
ಸ್ವಯಂಚಾಲಿತ ದಿನಚರಿ,স্বয়ংক্রিয় রুটিন
ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ,স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার
ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರ (ATM),স্বয়ংক্রিয় টেলার মেশিন (এটিএম)
ಯಾಂತ್ರೀಕೃತಗೊಂಡ,অটোমেশন
ಸ್ವಚಾಲಿತ,স্বয়ংক্রিয় চালু
ಸ್ವಯಂ ಉಳಿಸಿ,অটোসেভ
ಸಹಾಯಕ,সহায়ক
ಸಹಾಯಕ ಸ್ಮರಣೆ,অক্জিলিয়ারী মেমরি
ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ,অক্জিলিয়ারী স্টোরেজ
ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ,প্রাপ্তিসাধ্য তালিকা
ಲಭ್ಯವಿರುವ ಸಮಯ,উপলব্ধ সময়
ಸರಾಸರಿ,গড়
awk (ಭಾಷೆ),awk (ভাষা)
ಬ್ಯಾಕೆಂಡ್,ব্যাকএন্ড
ಬ್ಯಾಕೆಂಡ್ ಪ್ರೊಸೆಸರ್,ব্যাকএন্ড প্রসেসর
ಹಿಂಬದಿ ತೆಗೆಯುವಿಕೆ,ব্যাকফেস অপসারণ
ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ,পটভূমি প্রক্রিয়াকরণ
ಬ್ಯಾಕಿಂಗ್ ಅಂಗಡಿ,ব্যাকিং স্টোর
ಬ್ಯಾಕ್‌ಪ್ಯಾಚಿಂಗ್,ব্যাকপ্যাচিং
ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್,ব্যাকস্পেস
ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್,ব্যাকট্র্যাকিং
ಬ್ಯಾಕ್ ಅಪ್,ব্যাক আপ
ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ,ব্যাক আপ মেমরি
ಹಿಂದುಳಿದ ದೋಷ ಚೇತರಿಕೆ,পিছনের ত্রুটি পুনরুদ্ধার
ಆಯವ್ಯಯ ಪಟ್ಟಿ,ব্যালেন্স শীট
ಬ್ಯಾಂಡ್,ব্যান্ড
ಬ್ಯಾಂಡ್ ಅಗಲ,ব্যান্ড প্রস্থ
ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್,ব্যাংকারের অ্যালগরিদম
ಬಾರ್ ಕೋಡ್,বার কোড
ಬಾರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನರ್,বারকোড স্ক্যানার
ಬಾರ್ ಗ್ರಾಫ್,বার গ্রাফ
ಮೂಲ ವಿಳಾಸ,ভিত্তি ঠিকানা
ಬೇಸ್ ಬ್ಯಾಂಡ್,বেস ব্যান্ড
ಮೂಲ ಸಂಖ್ಯೆ,ভিত্তি নম্বর
ಬೇಸ್ ಟೇಬಲ್,ভিত্তি টেবিল
ಬೇಸಿಕ್,বেসিক
ಮೂಲ ನಿಯಂತ್ರಣ,মৌলিক নিয়ন্ত্রণ
ಮೂಲ ಇನ್ಪುಟ್,মৌলিক ইনপুট
ಮೂಲ ಸೂಚನೆ,মৌলিক নির্দেশ
ಮೂಲ ಔಟ್ಪುಟ್,মৌলিক আউটপুট
ಮೂಲ ಹಂತ,মৌলিক পদক্ষেপ
ಬ್ಯಾಚ್,ব্যাচ
ಬ್ಯಾಚ್ ಫೈಲ್,ব্যাচ ফাইল
ಬ್ಯಾಚ್ ಸ್ಥಾನ,ব্যাচ অবস্থান
ಬ್ಯಾಚ್ ಸಂಸ್ಕರಣೆ,ধির গতির কাজ
ಬ್ಯಾಚ್ ವ್ಯವಸ್ಥೆ,ব্যাচ সিস্টেম
ಬಾಡ್,বউড
ಬೌಡ್ ದರ,বড হার
ಕಿರಣ,মরীচি
ಮಾನದಂಡ,মাপকাঠি
ದ್ವಿಮುಖ ಸಂವಹನ,দ্বিমুখী যোগাযোগ
ದ್ವಿಮುಖ ಲಿಂಕ್,দ্বিমুখী লিঙ্ক
ಬೈನರಿ ಕೋಡ್,বাইনারি কোড
ದ್ವಿಮಾನ ಅಂಕಿ,বাইনারি সংখ্যা
ಬೈನರಿ ಇನ್‌ಪುಟ್ ಔಟ್‌ಪುಟ್ ಸಿಸ್ಟಮ್ (BIOS),বাইনারি ইনপুট আউটপুট সিস্টেম (BIOS)
ಬೈನರಿ ಸಂಖ್ಯೆ,বাইনারি সংখ্যা
ಬೈನರಿ ಆಪರೇಟರ್,বাইনারি অপারেটর
ದ್ವಿಮಾನ ಸಂಬಂಧ,বাইনারি সম্পর্ক
ಬೈನರಿ ಹುಡುಕಾಟ,বাইনারি অনুসন্ধান
ಬೈನರಿ ಸರ್ಚ್ ಟ್ರೀ (BST),বাইনারি সার্চ ট্রি (BST)
ಬೈನರಿ ವರ್ಗಾವಣೆ,বাইনারি স্থানান্তর
ಅವಳಿ ಮರ,বাইনারি গাছ
ಬೈಪೋಲಾರ್ ಮೆಮೊರಿ,বাইপোলার মেমরি
ಜನನ ಮರಣ ಮಾದರಿ,জন্ম মৃত্যু মডেল
ಜನನ ಮರಣ ಪ್ರಕ್ರಿಯೆ,জন্ম মৃত্যু প্রক্রিয়া
ಸ್ವಲ್ಪ,বিট
ಸ್ವಲ್ಪ ತಪ್ಪು,বিট দোষ
ಬಿಟ್ ನಕ್ಷೆ,বিট মানচিত্র
ಬಿಟ್ ಮ್ಯಾಪ್ ಪಿಕ್ಸೆಲ್ (BMP),বিট ম্যাপ পিক্সেল (BMP)
ಬಿಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,বিট ম্যাট্রিক্স
ಬಿಟ್ ಮಾದರಿ,বিট প্যাটার্ন
ಬಿಟ್ ಸ್ಥಾನ,বিট অবস্থান
ಬಿಟ್ ದರ,বিট হার
ಕಪ್ಪು ಪೆಟ್ಟಿಗೆ ಪರೀಕ್ಷೆ,কালো বক্স পরীক্ষা
ಮಿಟುಕಿಸುವುದು,মিটমিট করে
ಬ್ಲಾಕ್,ব্লক
ಬ್ಲಾಕ್ ಸಂಗ್ರಹ,ব্লক ক্যাশে
ಬ್ಲಾಕ್ ಚೆಕ್,ব্লক চেক
ಬ್ಲಾಕ್ ನಕಲು,ব্লক কপি
ಬ್ಲಾಕ್ ರೇಖಾಚಿತ್ರ,ব্লক ডায়াগ্রাম
ನಿರ್ಬಂಧಿಸುವ ನೆಟ್ವರ್ಕ್,ব্লকিং নেটওয়ার্ক
ಬೋರ್ಡ್,বোর্ড
ಪುಸ್ತಕ ಗುರುತು,বই চিহ্ন
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ,বুলিয়ান বীজগণিত
ಬೂಲಿಯನ್ ಸಂಬಂಧ,বুলিয়ান সম্পর্ক
ಬೂಟ್ ವಿಭಾಗ,বুট পার্টিশন
ಬೂಟ್ ಸ್ಟ್ರಾಪಿಂಗ್,বুট strapping
ಬೂಟ್-ಸ್ಟ್ರಾಪ್ ಲೋಡರ್,বুট-স্ট্র্যাপ লোডার
ಸೇತುವೆ,সেতু
ಬ್ರಾಡ್‌ಬ್ಯಾಂಡ್ ನೆಟ್‌ವರ್ಕಿಂಗ್,ব্রডব্যান্ড নেটওয়ার্কিং
ಪ್ರಸಾರ,সম্প্রচার
ರೇಡಿಯೋ ಪ್ರಸಾರ,রেডিও সম্প্রচার
ಬ್ರೌಸ್,ব্রাউজ
ಬ್ರೌಸರ್,ব্রাউজার
ಬಿ-ಟ್ರೀ,বি-বৃক্ষ
ಬಬಲ್ ಮೆಮೊರಿ,বুদ্বুদ মেমরি
ಬಬಲ್ ರೀತಿಯ,বুদ্বুদ সাজানোর
ಬಕೆಟ್,বালতি
ಸ್ನೇಹಿತರ ವ್ಯವಸ್ಥೆ,বন্ধু সিস্টেম
ಬಜೆಟ್ ಪರಿಣಾಮಕಾರಿ ನಿಯಂತ್ರಣ,বাজেট কার্যকর নিয়ন্ত্রণ
ಬಫರ್,বাফার
ದೋಷ,বাগ
ಬಸ್,বাস
ಬೈಟ್,বাইট
ಬೈಟ್ ಕೋಡ್,বাইট কোড
ಸಿ,গ
C++,সি++
ಸಂಗ್ರಹ,ক্যাশে
ಸಂಗ್ರಹ ಬಫರ್,ক্যাশে বাফার
ಸಂಗ್ರಹ ಮೆಮೊರಿ,ক্যাশ মেমরি
ಲೆಕ್ಕಾಚಾರ,গণনা
ಕ್ಯಾಲ್ಕುಲೇಟರ್,ক্যালকুলেটর
ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಚಿಪ್,ক্যালকুলেটর চিপ
ಕರೆ,কল
ಹೆಸರಿನಿಂದ ಕರೆ ಮಾಡಿ,নামে ডাক
ಉಲ್ಲೇಖದ ಮೂಲಕ ಕರೆ ಮಾಡಿ,রেফারেন্স দ্বারা কল করুন
ಮೌಲ್ಯದಿಂದ ಕರೆ ಮಾಡಿ,মূল্য দ্বারা কল
ವೇರಿಯಬಲ್ ಮೂಲಕ ಕರೆ ಮಾಡಿ,ভেরিয়েবল দ্বারা কল
ಕರೆ ಗೇಟ್,কল গেট
ರದ್ದುಮಾಡು,বাতিল
ರದ್ದು ಬಟನ್,বাতিল বোতাম
ಅಂಗೀಕೃತ,ক্যানোনিকাল
ಅಂಗೀಕೃತ ರೂಪ,ক্যানোনিকাল ফর্ম
ಸಾಮರ್ಥ್ಯ,ক্ষমতা
ಸಾಮರ್ಥ್ಯ ಪಟ್ಟಿ,ক্ষমতা তালিকা
ಸಾಮರ್ಥ್ಯ,ক্ষমতা
ಕ್ಯಾಪ್ಸ್ ಲಾಕ್ ಕೀ,ক্যাপ লক কী
ಕಾರ್ಡ್,কার্ড
ಕಾರ್ಡ್ ರೀಡರ್,কার্ড পাঠক
ಕಾರ್ಡಿನಲಿಟಿ,কার্ডিনালিটি
ವಾಹಕ,বাহক
ವಾಹಕ ಬ್ಯಾಂಡ್,ক্যারিয়ার ব্যান্ড
ವಾಹಕ ಲೋಡ್,ক্যারিয়ার লোড
ವಾಹಕ ಸಂಕೇತ,ক্যারিয়ার সংকেত
ವಾಹಕ ತರಂಗ,ক্যারিয়ার তরঙ্গ
ಒಯ್ಯುತ್ತಾರೆ,বহন
ಅಂಕೆ ಸಾಗಿಸಿ,অঙ্ক বহন
ಧ್ವಜವನ್ನು ಒಯ್ಯುತ್ತಾರೆ,পতাকা বহন
