Assamese,Tamil
নিৰপেক্ষ সম্পত্তি,முழுமையான சொத்து
নিৰপেক্ষ স্কেলাৰ,முழுமையான அளவிடல்
উষ্ণতাৰ চূড়ান্ত স্কেল*,வெப்பநிலையின் இறுதி அளவு*
"নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা","absolute synchrony, absolute synchrony"
নিৰপেক্ষ চাপ,முழுமையான மன அழுத்தம்
নিৰপেক্ষ প্ৰতিসমতা,முழுமையான சமச்சீர்
নিৰপেক্ষ গতি শৰীৰ,முழுமையான இயக்க உடல்
নিৰপেক্ষ একক ব্যৱস্থা,முழுமையான அலகு அமைப்பு
নিৰপেক্ষ উষ্ণতা,முழுமையான வெப்பநிலை
নিৰপেক্ষ সময়,முழுமையான நேரம்
নিৰপেক্ষ এককসমূহ,முழுமையான அலகுகள்
নিৰপেক্ষ মূল্য,துல்லியமான மதிப்பு
পূৰ্ণসংখ্যা কেলকুলেটৰ,முழு எண் கால்குலேட்டர்
নিৰপেক্ষ বেগ,முழுமையான வேகம்
নিৰপেক্ষ আঠালতীয়াতা,முழுமையான பாகுத்தன்மை
নিৰপেক্ষ ওজন,முழுமையான எடை
নিৰপেক্ষ শূন্য*,முழுமையான பூஜ்ஜியம்*
শূন্যৰ নিৰপেক্ষ হজক,பூஜ்ஜியத்தின் முழுமையான வகுப்பான்
শুহি লোৱা,உறிஞ்சி
শোষণ সূচকাংক*,உறிஞ்சுதல் குறியீடு*
শোষিত শক্তি,உறிஞ்சப்பட்ட ஆற்றல்
"শোষক, শোষক","உறிஞ்சும், உறிஞ்சும்"
শোষক মাধ্যম*,உறிஞ்சும் ஊடகம்*
শোষণ ক্ষমতা,உறிஞ்சும் திறன்
শোষণ ক্ষমতা,உறிஞ்சுதல்
শোষণমাপক*,உறிஞ்சும் அளவி*
শোষণমিতি*,உறிஞ்சும் அளவீடு*
শোষণ,உறிஞ்சுதல்
শোষণ - বেণ্ড*,உறிஞ்சுதல் - இசைக்குழு*
শোষণ বৰ্তনী,உறிஞ்சுதல் சுற்று
শোষণ সহগ,உறிஞ்சுதல் குணகம்
শোষণ স্তম্ভ,உறிஞ்சுதல் நெடுவரிசை
শোষণ ধ্ৰুৱক,உறிஞ்சுதல் மாறிலி
শোষণ ধাৰাবাহিকতা,உறிஞ்சுதல் தொடர்ச்சி
শোষণ অঞ্চল,உறிஞ்சுதல் மண்டலம்
শোষণ কাৰেণ্ট,உறிஞ்சுதல் மின்னோட்டம்
শোষণ বক্ৰ*,உறிஞ்சுதல் வளைவு*
শোষণ ভাঙন,உறிஞ்சுதல் முறிவு
শোষণ কোৰ,உறிஞ்சுதல் மைய
শোষণ কাৰক,உறிஞ்சுதல் காரணி
শোষণ ফিল্টাৰ,உறிஞ்சுதல் வடிகட்டி
শোষণ শিখা ফটোমেট্ৰি*,உறிஞ்சுதல் ஃபிளேம் ஃபோட்டோமெட்ரி*
শোষণ হাইগ্ৰ’মিটাৰ,உறிஞ்சும் ஹைக்ரோமீட்டர்
শোষণ ঘাত,உறிஞ்சுதல் அடுக்கு
শোষণ প্ৰান্তীয়,உறிஞ்சுதல் விளிம்பு
শোষণ ৰেখা,உறிஞ்சுதல் வரி
শোষণ ক্ষতি,உறிஞ்சுதல் இழப்பு
শোষণ মডুলেচন,உறிஞ்சுதல் பண்பேற்றம்
পোহৰ শোষণ,ஒளி உறிஞ்சுதல்
বিকিৰণ শক্তি শোষণ কৰা,கதிர்வீச்சு ஆற்றலை உறிஞ்சுதல்
শোষণ শিখৰ,உறிஞ்சுதல் உச்சம்
শোষণ আলোকমিতি,உறிஞ்சுதல் ஒளி அளவீடு
শোষণ অনুপাত,உறிஞ்சுதல் விகிதம்
শোষণ পৰিসৰ*,உறிஞ்சுதல் வரம்பு*
শোষণ বৰ্ণালী আলোকমিতি*,உறிஞ்சும் நிறமாலை ஒளி அளவீடு*
শোষণ বৰ্ণালী*,உறிஞ்சுதல் ஸ்பெக்ட்ரம்*
"শোষণ নলী, শোষণ নলী","உறிஞ்சும் குழாய், உறிஞ்சும் குழாய்"
শোষণ হাইগ্ৰ’মিটাৰ,உறிஞ்சும் ஹைக்ரோமீட்டர்
শোষক*,உறிஞ்சக்கூடிய*
শোষক বাষ্পীভৱনকাৰী,உறிஞ்சும் ஆவியாக்கி
শোষণ নিয়ম*,உறிஞ்சுதல் சட்டம்*
শোষণ মাধ্যম,உறிஞ்சுதல் ஊடகம்
"শোষণ ক্ষমতা, শোষণ ক্ষমতা*","உறிஞ்சும் திறன், உறிஞ்சுதல்*"
শোষণ ক্ষমতা*,உறிஞ்சுதல்*
ষ্টুডিঅ&#39; সজ্জা,ஸ்டூடியோ அலங்காரம்
বহুগুণতা অনুপাত,பன்மடங்கு விகிதம்
abvolt,கைவிடு
বিষয়ে,பற்றி
ত্বৰান্বিত কৰক,முடுக்கி
ত্বৰণ-বন্ধ দূৰত্ব,முடுக்கம்-நிறுத்த தூரம்
খৰধৰকৈ উঠিল,விரைந்தார்
দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা,விரைவான நேர விளைவு சோதனை
দ্ৰুত প্ৰবাহ,விரைவான ஓட்டம்
দ্ৰুত গতি,விரைவான வேகம்
দ্ৰুত শৰীৰ,விரைவான உடல்
ত্বৰণকাৰী ওজনকাৰী,முடுக்கி எடை
ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*,முடுக்கி மின்முனை*
ত্বৰক সময়*,முடுக்கி நேரம்*
ত্বৰণকাৰী পৰ্যায়,முடுக்கி கட்டம்
ত্বৰণকাৰীৰ হাৰ,முடுக்கி விகிதம்
এক্সিলেটৰ ভোল্টেজ*,முடுக்கி மின்னழுத்தம்*
বেগ বৃদ্ধি,முடுக்கம்
ত্বৰান্বিত দহন,துரிதப்படுத்தப்பட்ட எரிப்பு
ত্বৰণ সহগ,முடுக்கம் குணகம்
ত্বৰণ উপাদান,முடுக்கம் கூறு
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,புவியீர்ப்பு காரணமாக முடுக்கம்
ত্বৰণ কাৰক,முடுக்கம் காரணி
ত্বৰিত চাৰ্জ,துரிதப்படுத்தப்பட்ட கட்டணம்
মাধ্যাকৰ্ষণৰ ত্বৰণ,ஈர்ப்பு முடுக்கம்
ত্বৰণ বিভৱ,முடுக்கம் சாத்தியம்
ত্বৰণ আইন,முடுக்கம் சட்டம்
ত্বৰণ প্ৰক্ৰিয়া,முடுக்கம் செயல்முறை
ত্বৰণ অঞ্চল,முடுக்கம் மண்டலம்
ত্বৰণ পদ্ধতি,முடுக்கம் முறை
"ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা","முடுக்கம் சகிப்புத்தன்மை, முடுக்கம் சகிப்புத்தன்மை"
ত্বৰণ ভেক্টৰ,முடுக்கம் திசையன்
ত্বৰণ-ভোল্টেজ,முடுக்கம்-மின்னழுத்தம்
ত্বৰণ তৰংগ,முடுக்கம் அலை
ত্বৰণকাৰী,முடுக்கி
"accelerate, ত্বৰণকাৰী*","முடுக்கி, முடுக்கி*"
ত্বৰক সমীকৰণ,முடுக்கி சமன்பாடு
ত্বৰণকাৰী*,முடுக்கி*
এক্সিলেৰমিটাৰ,முடுக்கமானி
এক্সিলেৰমিটাৰ মিলন,முடுக்கமானி பொருத்தம்
প্ৰিষ্ট্ৰেছাৰ,முன் அழுத்தம் கொடுப்பவர்
বৈধ আখৰ,சரியான எழுத்துக்கள்
গ্ৰহণযোগ্যতা কোণ,ஏற்றுக்கொள்ளும் கோணம்
গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ,ஏற்றுக்கொள்ளும் விவரக்குறிப்பு
গ্ৰহণযোগ্য পৰীক্ষা,ஏற்றுக்கொள்ளக்கூடிய சோதனை
"গ্ৰহণকাৰী*, গ্ৰহণকাৰী","ஏற்பவர்*, ஏற்பவர்"
ৰিচেপ্টৰ পৰমাণু,ஏற்பி அணு
ৰিচেপ্টৰ বণ্ড,ஏற்பி பிணைப்பு
ৰিচিভাৰ চাৰ্কিট,பெறுதல் சுற்று
ৰিচেপ্টৰ স্তৰ,ஏற்பி நிலை
দাতা অণু,நன்கொடையாளர் மூலக்கூறு
ৰিচেপ্টৰ বৈশিষ্ট্য,ஏற்பி சொத்து
ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ,ஏற்பி சொத்து நிலை
এক্সিলেটৰৰ নলী,முடுக்கி குழாய்
"প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ","அணுகல், காத்திருப்பு, அணுகல்"
প্ৰৱেশ ভূজ,புஜை அணுகவும்
অভিগম ব্যৱস্থাপ্ৰণালী,அணுகல் அமைப்பு
প্ৰৱেশ সময়,அணுகல் நேரம்
অভিগম্যতা,அணுகல்
"অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক","கூடுதல், துணை, துணை (v, ), துணைக்கருவிகள்"
অতিৰিক্ত নিষেধাজ্ঞা,கூடுதல் கட்டுப்பாடுகள்
কাকতালীয়,தற்செயல்
আকস্মিক সংশোধন,தற்செயலான திருத்தம்
আকস্মিক জৈৱজন্ম,தற்செயலான உயிர் உருவாக்கம்
আকস্মিক ডাইভাৰচন,தற்செயலான திசைதிருப்பல்
দৰ্শকৰ ভুল,பார்வையாளர் பிழை
"হঠাৎ বন্ধ, হঠাৎ বন্ধ","திடீர் நிறுத்தம், திடீர் கவ்வி"
আকস্মিক সংক্ৰমণ,தற்செயலான பரிமாற்றம்
ৰেণ্ডম ভ্যাৰিয়েন্স,சீரற்ற மாறுபாடு
সমন্বয়,சரிசெய்தல்
অৱস্থিত,அமைந்துள்ளது
সঞ্চিত ভুল,திரட்டப்பட்ட பிழை
"সঞ্চয়, সঞ্চয়","திரட்சி, குவிப்பு"
শক্তি সংৰক্ষণ,ஆற்றல் சேமிப்பு
এক্যুলেটৰ*,திரட்டி*
শুদ্ধতা,துல்லியம்
বাস্তৱতা,யதார்த்தம்
বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ,உண்மையான கருவி கவனிப்பு
সঠিক ৰেঞ্জ মাৰ্কাৰ,துல்லியமான வரம்பு குறிப்பான்
নিখুঁত স্কেনিং,துல்லியமான ஸ்கேனிங்
অভ্যাস,பயிற்சி
ত্বৰক কোষ*,முடுக்கி செல்*
ৰঙীন লেন্স*,நிறமற்ற லென்ஸ்*
অৰঙীন*,நிறமற்ற*
ৰঙীন বিশ্লেষক,நிறமற்ற பகுப்பாய்வி
ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা,அதிர்வெண் நடுநிலை ஆண்டெனா
ৰঙীন আকৃতি,நிறமற்ற வடிவம்
achromatic ফ্ৰিঞ্জ,நிறமற்ற விளிம்பு
ৰঙীন লেন্স*,நிறமற்ற லென்ஸ்*
ৰঙীন বিন্দু পথ,நிறமற்ற புள்ளி பாதை
ৰঙীন লেন্স,நிறமற்ற லென்ஸ்
ৰঙীন প্ৰিজম,வண்ணப் பட்டகம்
achromatic টেলিস্কোপ,வண்ணமயமான தொலைநோக்கி
achromaticity*,நிறமற்ற தன்மை*
achromatization*,நிறமாற்றம்*
achromaticity*,நிறமற்ற தன்மை*
"ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য","மீள், பயனற்ற, பயனற்ற"
"একৰ্ণ নলী, বঞ্জু নলী","ஏகோர்ன் ஹோஸ், பாஞ்சு ஹோஸ்"
ক্ষুদ্ৰ ভালভ,மினியேச்சர் வால்வு
প্ৰতিধ্বনি,அகோஃபோனி
একাউষ্টিক,ஒலியியல்
ধ্বনি শোষণ ক্ষমতা,ஒலி உறிஞ்சுதல்
শব্দৰ ক্ষীণকৰণ সহগ,ஒலியியல் குறைப்பு குணகம்
শব্দৰ ক্ষীণকৰণ,ஒலிக் குறைப்பு
একাউষ্টিক চোৰ এলাৰ্ম,ஒலி திருடன் அலாரம்
ধ্বনিযুক্ত ধাৰণক্ষমতা,ஒலியியல் கொள்ளளவு
শ্ৰৱণ কেন্দ্ৰ,கேட்கும் மையம்
ধ্বনিগত ব্যাখ্যা,ஒலியியல் விளக்கம்
একাউষ্টিক কভাৰ,ஒலி உறை
ধ্বনিগত প্ৰতিক্ৰিয়া,ஒலி பதில்
ধ্বনি উপাদান,ஒலியியல் கூறு
ধ্বনি পৰিবাহীতা,ஒலி கடத்துத்திறன்
একাউষ্টিক ডেম্পিং,ஒலி தணித்தல்
ধ্বনিগত বিক্ষিপ্ততা,ஒலி சிதறல்
শব্দ হেকাৰ,ஒலி ஹேக்கர்
ধ্বনি শক্তি*,ஒலி ஆற்றல்*
ধ্বনি শক্তি সমীকৰণ,ஒலி ஆற்றல் சமன்பாடு
ধ্বনি সমীকৰণ,ஒலி சமன்பாடு
শব্দ পুনৰুদ্ধাৰ,ஒலி மறுசீரமைப்பு
ক্লেডনি আকৃতি,கிளாட்னி வடிவங்கள்
একাউষ্টিক ফিল্টাৰ,ஒலி வடிகட்டி
শব্দ উৎপাদক,ஒலி ஜெனரேட்டர்
একাউষ্টিক গ্ৰেটিং,ஒலி தட்டு
একাউষ্টিক ইম্পিডেন্স*,ஒலி மின்மறுப்பு*
শব্দৰ জড়তা,ஒலி மந்தநிலை
শব্দৰ তীব্ৰতা,ஒலி தீவிரம்
শব্দৰ হস্তক্ষেপ মিটাৰ,ஒலி குறுக்கீடு மீட்டர்
একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ,ஒலி குறுக்கீடு கண்டறிதல்
একাউষ্টিক লেন্স,ஒலி லென்ஸ்
শব্দ ৰেখা,ஒலி வரி
ধ্বনিযুক্ত ভৰ,ஒலி நிறை
ধ্বনিগত পদাৰ্থ,ஒலி பொருள்
শব্দৰ অৰ্থ মুক্ত পথ,ஒலியியல் என்பது இலவச பாதை
একাউষ্টিক মোড,ஒலி முறை
শব্দৰ শব্দ,ஒலி சத்தம்
ধ্বনিযুক্ত ওম*,ஒலி ஓம்*
"একাউষ্টিক পেনেল, একাউষ্টিক বৰ্ড","ஒலியியல் குழு, ஒலி பலகை"
ধ্বনি পৰ্যায় ধ্ৰুৱক,ஒலி நிலை மாறிலி
একাউষ্টিক ৰিচিভাৰ,ஒலி ரிசீவர்
শব্দৰ চাপ,ஒலி அழுத்தம்
শব্দৰ প্ৰতিসমতা নিয়ম,ஒலியின் சமச்சீர் விதி
শব্দ সংক্ৰমণ,ஒலி பரிமாற்றம்
ধ্বনিগত ধৰ্ম,ஒலியியல் பண்புகள்
ধ্বনিযুক্ত চতুৰ্ভুজ,ஒலி நாற்புறம்
ধ্বনি বিকিৰণ মৌল,ஒலி கதிர்வீச்சு உறுப்பு
ধ্বনি বিকিৰণ,ஒலி கதிர்வீச்சு
শব্দ নিবাৰণ,ஒலி எதிர்ப்பு
একাউষ্টিক ৰেডিঅ&#39;মিটাৰ,ஒலி ரேடியோமீட்டர்
ধ্বনিগত প্ৰতিক্ৰিয়া,ஒலி அதிர்ச்சி
ধ্বনিগত পাৰস্পৰিকতা উপপাদ্য,ஒலி பரஸ்பர தேற்றம்
শব্দ হ্ৰাস কাৰক,ஒலி குறைப்பு காரணி
ধ্বনি প্ৰতিফলন সহগ,ஒலி பிரதிபலிப்பு குணகம்
ধ্বনি বিবৰ্তন,ஒலி ஒளிவிலகல்
শব্দ প্ৰতিৰোধ ক্ষমতা,ஒலி எதிர்ப்பு
ধ্বনিগত প্ৰতিক্ৰিয়া,ஒலி பதில்
ধ্বনিগত বিক্ষিপ্ততা,ஒலி சிதறல்
শুনা বিন্দু,கேட்கும் புள்ளி
শব্দৰ কঠিনতা,ஒலி விறைப்பு
শব্দ ব্যৱস্থা,ஒலி அமைப்பு
একাউষ্টিক থাৰ্মোমিটাৰ,ஒலி வெப்பமானி
শব্দৰ বেগ,ஒலி வேகம்
শব্দ তৰংগ,ஒலி அலை
একাউষ্টিক,ஒலியியல்
শব্দ শোষণ সহগ,ஒலி உறிஞ்சுதல் குணகம்
শব্দ শোষণ উপাদান,ஒலி உறிஞ்சுதல் கூறு
একাউষ্টিক বৰ্তনী,ஒலி சுற்று
ধ্বনিগত প্ৰতিক্ৰিয়া,ஒலி பதில்
শব্দ বিলম্ব ৰেখা,ஒலி தாமதக் கோடு
ধ্বনিগত বিকৃতি,ஒலி சிதைவு
একাউষ্টিক একাউষ্টিক,ஒலி ஒலியியல்
একাউষ্টিক ফিল্টাৰ,ஒலி வடிகட்டி
একাউষ্টিক ইম্পিডেন্স*,ஒலி மின்மறுப்பு*
ফ&#39;ন&#39;গ্ৰাফ,ஃபோனோகிராஃப்
ধ্বনিযুক্ত ওম*,ஒலி ஓம்*
ধ্বনি ধ্ৰুৱক,ஒலி மாறிலி
একাউষ্টিক ফ&#39;নন,ஒலி ஃபோனான்
ধ্বনি সংবহন ধ্ৰুৱক,ஒலி பரிமாற்ற மாறிலி
শব্দ পৰিৱৰ্তন সহগ,ஒலி மாற்று குணகம்
শব্দ প্ৰতিৰোধ ক্ষমতা,ஒலி எதிர்ப்பு
শব্দৰ কঠিনতা,ஒலி விறைப்பு
শব্দ একক,ஒலி அலகு
শব্দ নিবাৰণ,ஒலி எதிர்ப்பு
একাউষ্টিক চাইড লাইন,ஒலி பக்கக் கோடு
"শব্দবিজ্ঞান, ধ্বনিবিজ্ঞান","ஒலியியல், ஒலியியல்"
শব্দ মিটাৰ,ஒலி மீட்டர்
শব্দৰ চাপ,ஒலி அழுத்தம்
অধিগ্ৰহণ ৰাডাৰ,கையகப்படுத்தல் ரேடார்
সালোক সংশ্লেষণ বিকিৰণ,ஒளிச்சேர்க்கை கதிர்வீச்சு
এক্টিনিয়াম নিৰ্গমন,ஆக்டினியம் உமிழ்வு
এক্টিনো-ইউৰেনিয়াম,ஆக்டினோ-யுரேனியம்
এক্টিনো-ইউৰেনিয়াম শৃংখলা,ஆக்டினோ-யுரேனியம் தொடர்
ৰেডিঅ&#39;ইলেক্ট্ৰিক,கதிரியக்க மின்சாரம்
"এক্টিনোমিটাৰ, ফটোমাইক্ৰ&#39;মিটাৰ","ஆக்டினோமீட்டர், ஃபோட்டோமிக்ரோமீட்டர்"
"কাৰ্য্য, কাৰ্য্য","செயல், செயல்"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,செயல் மற்றும் எதிர்வினை
ক্ৰিয়া ধ্ৰুৱক,செயல் மாறிலி
প্ৰভাৱৰ ক্ষেত্ৰ,செல்வாக்கு மண்டலம்
"সক্ৰিয় কৰা হৈছে, সক্ৰিয় কৰা হৈছে","செயல்படுத்தப்பட்டது, செயல்படுத்தப்பட்டது"
সক্ৰিয় প্ৰসাৰণ,செயலில் பரவல்
"সক্ৰিয় কৰা ফাইবাৰ, সক্ৰিয় কৰা ফাইবাৰ","செயல்படுத்தப்பட்ட ஃபைபர், செயல்படுத்தப்பட்ட ஃபைபர்"
সক্ৰিয়কৰণ প্ৰভাৱ,செயல்படுத்தும் விளைவு
সক্ৰিয়কৰণ প্ৰভাৱ,செயல்படுத்தும் விளைவு
সক্ৰিয়কৰণ বিশ্লেষণ,செயல்படுத்தும் பகுப்பாய்வு
কাৰ্য্যকলাপ কেন্দ্ৰ,செயல்பாட்டு மையம்
সক্ৰিয়কৰণ পৰীক্ষক,செயல்படுத்தும் சோதனையாளர்
সক্ৰিয়কৰণ শক্তি,செயல்படுத்தும் ஆற்றல்
সক্ৰিয়কৰণ এণ্ট্ৰপি,செயல்படுத்தும் என்ட்ரோபி
সক্ৰিয়কৰণ অতিভোল্টেজ,செயல்படுத்தல் அதிக மின்னழுத்தம்
সক্ৰিয়কৰণৰ হাৰ,செயல்படுத்தும் விகிதம்
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা","செயல்படுத்துபவர், செயல்படுத்துபவர்"
সক্ৰিয়কৰ্তা পৰমাণু,செயல்படுத்தும் அணு
ত্বৰণকাৰী,முடுக்கி
সক্ৰিয় শোষণ,செயலில் உறிஞ்சுதல்
সক্ৰিয় আকাশী,செயலில் வான்வழி
বিকিৰণৰ বিপদজনক অঞ্চল,கதிர்வீச்சு ஆபத்து மண்டலம்
সক্ৰিয় ডিভাইচ,செயலில் உள்ள சாதனம்
সক্ৰিয় লক্ষ্য নিৰ্ধাৰণ,செயலில் இலக்கு
সক্ৰিয় হাইড্ৰজেন*,செயலில் உள்ள ஹைட்ரஜன்*
সক্ৰিয় জাল,செயலில் கண்ணி
সক্ৰিয় ৰেখা সক্ৰিয় ৰেখা,செயலில் வரி செயலில் வரி
সক্ৰিয় লুপ,செயலில் வளையம்
সক্ৰিয় ক&#39;ড*,செயலில் உள்ள குறியீடு*
সক্ৰিয় উপাদান,செயலில் உள்ள பொருட்கள்
সক্ৰিয় অণু,செயலில் உள்ள மூலக்கூறு
সক্ৰিয় জাল,செயலில் கண்ணி
সক্ৰিয় পুনৰ শোষণ,செயலில் மறுஉருவாக்கம்
সক্ৰিয় অঞ্চল,செயலில் உள்ள பகுதி
