Odiya,Hindi
ଅର୍ଜନ ବର୍ଣ୍ଣ,उपार्जित लक्षण
ଅଜାଣତର କାରଣ,उपार्जित प्रतिरक्षा
ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |,उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स)
ଅକାନିଆ,ऐक्रैनिया
ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ,एक्रिडीन रंजक
ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |,अग्रकेंद्री
ଆକ୍ରୋମିଅନ୍ |,अंसकूट
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,अग्राभिसारी अनुक्रम
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,अग्राभिसारी क्रम
ଆକ୍ରୋସିନ୍ |,एक्रोसिन
ଆକ୍ଟିନ୍ |,ऐक्टिन
ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |,ऐक्टिन-सम प्रोटीन
ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |,त्रिज्यासममित
ଆକ୍ଟିନୋମିସେସିସ୍ |,एक्टिनोमाइसिटीज
କାର୍ଯ୍ୟ ସମ୍ଭାବନା,क्रिया विभव
ସକ୍ରିୟ ସ୍ଲେଜ୍ |,सक्रियित आपंक
ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |,सक्रियित आपंक फ्लॉक
ସକ୍ରିୟ ଶକ୍ତି,सक्रियण ऊर्जा
ସକ୍ରିୟ ଶୋଷଣ,सक्रिय अवशोषण
ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |,सक्रिय प्रतिरक्षा
ସକ୍ରିୟ ବିକିରଣ |,सक्रिय विकिरण
ସକ୍ରିୟ ସାଇଟ୍,सक्रिय स्थल
କାର୍ଯ୍ୟକର୍ତ୍ତା,ऐक्टिविन
ଆକ୍ରମିନେଟ୍ |,लंबाग्र
ଆଡାମାସିଆ |,ऐडैम्सिया
ଅନୁକେତ,अनुकूलनशीलता
ଆଡାପ୍ଟେସନ୍,अनुकूलन
ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |,प्रकाश प्रवृत्ति के प्रति अनुकूलन
ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |,जलाभाव के प्रति अनुकूलन
ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |,अनुकूली (अभि) लक्षण
ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |,अनुकूली प्रतिरक्षा
ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |,अनुकूली विकिरण
ଆଡାପ୍ଟିଭ୍ ଗୁଣ |,अनुकूली विशेषक
ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |,अभ्यक्ष पृष्ठ
ନିଶା ବ୍ୟାଧି |,व्यसनी विकार
ଆଡେନିନ୍,ऐडेनीन
ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |,ऐडिनोकॉर्टिकोट्रॉपिन
Adenehiopophisisisis,ऐडेनोहाइपोफाइसिस
ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |,ऐडेनोसिन डाइफास्फेट
ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |,ऐडेनोसिन डीएमीनेज
ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |,ऐडेनोसिन मोनोफॉस्फेट
ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP),ऐडेनोसिन ट्राइफॉस्फेट
ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |,एडेनिलेट साइक्लेज
ଆଡେସିଭ୍ ଫୋର୍ସ |,आसंजी बल
ଆଡିପେଟ୍ କରନ୍ତୁ |,ऐडिपेट
Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍),वसाणु (वसा कोशिका)
ସିସ୍ୟୁଜ୍ ଟିସୁ |,वसा ऊतक
ଆଡନେଟ୍ |,संलग्न
ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |,संलग्न समुदाय
ଆଡ୍ରେନାଲ୍,अधिवृक्क
ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |,अधिवृक्क ग्रंथि
ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH),एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन
ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH),एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन
ଆଡସରବେଣ୍ଟ,अधिशोषक
ଆଡେର୍ସନ୍,अधिशोषण
ଉନ୍ନତ ମୂଲ୍ୟ |,उन्नत कशेरुकी
ଲାଭଦାୟକ ଗଣିତ |,लाभकारी उत्परिवर्तन
ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |,बाह्य कंचुक
ଖରାପ ମୂଳ,अपस्थानिक जड़
ପ୍ରତିକୂଳ ପ୍ରଭାବ,प्रतिकूल प्रभाव
AED ଗୁଡିକ,ईडीज
ସଂସ୍କୃତିର ଆରେସନ୍,संवर्ध-वातन
ଆତଙ୍କିତାମା |,वायूतक
ବାୟୁ,"वायव (वि.), एरियल (सं.)"
ବାୟୁଏଟ୍ ମୂଳ |,वायव जड़
ଏରିଲ୍ ସୁଟ୍ |,वायव प्ररोह
ଏରୋବିକ୍ ଶ୍ iration ଗଡା |,वायु श्वसन
ଏରୋବିକ୍ ଶ୍ iration ଗଡା |,ऑक्सी श्वसन
ସ est ନ୍ଦର୍ଯ୍ୟ,सौंदर्यबोध
ବାୟେ,पुष्पदल विन्यास
ବାୟେ,ग्रीष्मनिष्क्रियता
ବିଶଙ୍ଗ,अभिवाही
ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |,बंधुता वर्णलेखन
ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |,ग्रसित अंग
ଆଗ ଶତ୍ରୁମାନଙ୍କର,वनरोपण
ଆଗାମୋପର୍ମୀ |,अनिषेकबीजता
ଅଗର,ऐगार
ଆଗ୍ରୋଜ୍,ऐगेरोस
ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |,ऐगेरोस जेल वैद्युतकण संचलन
ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |,एगेरोस बहुलक जेल
ଆଗିଷ୍ଟ,एगास्ट
ଆଗେଭ୍,अगेव
ବୟସ ବଣ୍ଟନ |,आयु अनुसार वितरण
ବୟସ ପିରାମିଡ୍ |,आयु पिरैमिड
Agglutination,आश्लेषण
ସମୁଦାୟ,पुंज
ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |,पुटक पुंज
ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |,पुटक समुच्चय
ମିଳନ,"समुच्चय, समुच्चयन"
ଆକ୍ରମଣାତ୍ମକତା,आक्रामकता
Agiitor ତନ୍ତ୍ର,प्रक्षोभक तंत्र
ଆଗନାଥା,ऐग्नेथा
ଆଗାଉଟି,अगूटी
ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |,ग्रेना-रहित हरितलवक
ଆଗ୍ରାନୁଲାର୍,"अकणकीय, रवाहीन"
ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |,अकणिकाणु
କୃଷି,"कृषि, खेती"
Agroftry,कृषिवानिकी
Agrobacterium ମଧ୍ୟସ୍ଥି |,"ऐग्रोबैक्टीरियम माध्यित, कृषि-जीवाणु माध्यित"
Agrobacterium tumfacienss |,ऐग्रोबैक्टीरियम टूमिफेसियन्स
ଆଗ୍ରୋକେମିକାଲ୍ |,कृषि-रसायन
ଆଗ୍ରୋକେମିକାଲ୍ |,कृषि रसायनिक
Agrovillatatic ଜୋନ୍ |,कृषि-जलवायु अंचल
କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |,सस्यीय विशेषक
କିରେନୋନୋମ୍ବନ,सस्यविज्ञान
ଏଡଡ୍ସ,एड्स
ଏୟାର ବ୍ଲାଡର |,वायु आशय
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,वातानुकूलक
ବାୟୁ ପାସ୍ |,वायु पथ
ବାୟୁ ପ୍ରଦୂଷଣ,वायु प्रदूषण
ଏୟାର ଥଳି,वायु कोश
ବାୟୁ ଶୂନ୍ୟ,वायु धानी
ବାୟୁ ନିଶ୍ୱାସ ନେବା |,वायु-श्वसन
ଅଲିନ୍ |,एलेन
ଆଲେରୀ ମାଂସପେଶୀ |,पक्षाकार पेशी
ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |,अलास्काई भूरा भालू
ଆଲବିନୋ |,वर्णकहीन
ଆଲବୁଗୋ |,ऐल्बूगो
ଆଲବମିନ |,ऐल्बूमिन
ଆଲବମିନସ୍ ବିହନ |,ऐल्बूमिनी बीज
ଆଲବୁମିନିରିଆ |,"ऐल्बूमिनमेह, ऐल्बूमिन्यूरिया"
ଆଲବର୍ନମ୍,"रसकाष्ठ, एल्बर्नम"
ଆଲେଡା,ऐल्सीडी
ଆଲଡେହେଡି,ऐल्डिहाइड
ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |,ऐल्डोस्टेरोन तंत्र
ଆଲଡୋଷ୍ଟେରୋନ୍ |,ऐल्डोस्टेरोन
ଆଲେରୋନ୍ ସ୍ତର |,ऐल्यूरॉन परत
ଆଲେରୋପ୍ଲେଷ୍ଟ |,ऐल्यूरोप्लास्ट
Alfalfa,ऐल्फाल्फा
ଆଲଗାଲ୍ ଫୁଲ |,शैवाल प्रस्फुटन
ଅପଗନ୍,ऐल्जिन
ଏଲିଏନ୍ ଡିଏନ୍,विजातीय डी. एन. ए
ଏଲିଏନ୍ ପ୍ରଜାତି |,विदेशी जाति
ପରିଚାଳିତ,संरेखण
ପରିଚାଳିତ,अनुयोजन
ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |,आहार नाल
ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |,आहार-तंत्र
ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |,ऐलिस्मेसी
ଆଲକାଲାଇଡ୍ |,ऐल्केलॉइड
କ୍ଷାରିକ |,क्षारीय
ଅଲକାପଟୋନେର୍ଜିଆ,ऐल्कैप्टनमेह
ଆଲାନ୍ସିଟ୍,अपरापोषिका
ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |,विकल्पी आवृत्ति
ଆହେଲେ |,"विकल्पी, युग्मविकल्पी"
ଆଲୋଲେମୋମିକ୍ ଯୋଡି |,विकल्पी युग्म
ଆଲ୍ରେଜେନ |,"प्रत्यूर्जक, एलर्जन"
ଆଲିଗେଟର୍ |,"नक्र, ऐलिगेटर"
ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ,ऐलियम सीपा
ଆଲଗଲାମି |,परनिषेचन
ଆଲିଗ୍ରାଫ୍ଟ |,अपरनिरोप
ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |,विस्थानिक जाति-उद्भवन
ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |,अपरबहुगुणित
ଆଲିସ୍ମିକ ପ୍ରଭାବ,अपरस्थली प्रभाव
ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |,अपरस्थली एंजाइम
ଆଲିସ୍ଟର ଇନହିବିଟର୍ |,अपरस्थलीय संदमक
ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |,अपरस्थली मॉडुलन
ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |,अपरस्थलीय स्थान
ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |,अपरस्थली संदमन
Allototreplid,अपरचतुर्गुणित
Alnus,ऐलनस
ଆଲୋ,ऐलो
ଆକ୍ସନ୍ ସହିତ |,ऐक्सॉन की दिशा में
ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |,ऐल्फा-ऐंटीट्रीप्सिन
ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |,"ऐल्फा लैक्टऐल्बूमिन, ऐल्फा-दुग्धऐल्बूमिन"
ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |,अल्पाइन जलवायवीय परिस्थिति
ଆଲପାଇନ୍ ମଟର |,अल्पाइन शाद्वल
ଆଲପାଇନ୍ ଜୋନ୍,अल्पाइन क्षेत्र
ଆଲଷ୍ଟୋନିଆ,ऐल्स्टोनिया
ସର୍ବୋଚ୍ଚame,आल्टर्नेरिया
ବିକଳ୍ପ,एकांतर
ପି generation ଼ିର ବିକଳ୍ପ,पीढ़ी-एकांतरण
ଉଚ୍ଚତା ରୋଗ,तुंगता अस्वस्थता
ଉଚ୍ଚତା,तुगंता
ଆଲଭୋଲାର୍ ନଳୀ |,कूपिका वाहिनी
Aytes,एलाइटीज
ଅଲଜାଇମର ରୋଗ |,ऐल्जाइमर रोग
ଆମାକରାଇନ୍ ସେଲ୍ |,अतंत्रिकाक्षी कोशिका
ଅମରନ୍ତାସିଦା |,अमारेंथेसी
ଅମରାନ୍ତିନ |,अमारेंथस (चौलाई)
ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |,परिवेश परासरणी सांद्रण
ଅମ୍ବିଷ୍ଟୋମା |,ऐम्बिस्टोमा
ବନ୍ଧୁତ୍ୱ,ऐमाइड
ଆମିନୋ ଏସିଡ୍ |,ऐमीनो अम्ल
ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |,ऐमीनो अम्ल-ग्राही
AminoicaL t rna syntHetase |,ऐमीनोएसिल टी-आर.एन.ए.सिन्थेटेज
ଆମିନୋଫାଇସନ୍ |,ऐमीनोएसिलीयन
ଅମିତୋସାଇସ୍ |,असूत्री विभाजन
ଆମୋନିଆ,अमोनिया
ଆମୋନିଫିକେଟ୍,अमोनीकरण
ଆମାମୋଟେଲ୍ଜିମ୍ |,अमोनिया-उत्सर्जन
ଆମନିଓସେଣ୍ଟେସିସ୍ |,उल्बवेधन
ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |,उल्बवेधन तकनीक
ଆମନିଓକେଟ୍ |,उल्बकोशिका
ଆମନିଅନ୍,उल्ब
ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |,उल्ब तरल
ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |,उल्ब कला
ଆମନିଓଟିକ୍ ଥଳି |,उल्ब कोश
ଆମୋବା,अमीबा
ଆମୋବାଇଟିଟ୍ |,"अमीबाणु, अमीबीकोशिका"
ଆମୋବିଏଡ୍,"अमीबाभ, अमीबीय"
ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |,अमीबाभ लसीकाणु
ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |,"अमीबीय गति, अमीबाभ गति"
ଆମୋରଫସ୍ |,"रवाहीन, अक्रिस्टलीय"
ପରିମାଣ,"मात्रा, परिमाण"
ଆମ୍ଫେଟାମାଇନ୍ |,ऐम्फेटैमीन
ଆମ୍ଫିବିଆ,ऐम्फिबिया
ଆମ୍ଫିବିଆନ୍,ऐम्फिबियन (प्राणी)
ଆମ୍ଫିବିଆନ୍,उभयचर
ଆମ୍ଫାଇଓକ୍ସସ୍ |,एम्फिऑक्सस
ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |,ऐम्फिऑक्सस लेन्सयोलेटस
ଆମ୍ଫିସିଚିକ୍ |,उभयसंवेदी
ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |,उभयसंवेदी वसा
ଆମ୍ଫାଇସାର୍କା |,ऐम्फिसार्का
Ampicilillin,ऐम्पिसिलिन
ଅମପୁଲାଲା |,"तुंबिका, ऐंपुला"
ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |,तुंबिका ग्रंथि
ଆମିଜିଡାଲ୍ |,ऐमिग्डल
ଆମିଗଡାଲେ |,वातामक
ଆମିଗାଡାଲିନ୍ |,ऐमिग्डालिन
ଆମିଲେଜ୍,एमिलेज
ଆମିଏଲପ୍ଲାଷ୍ଟ |,मंडलवक
ଅବାନା,ऐनाबीना
ଅରବା,ऐनाबस
ଆନାବୋଲିକ୍ ପଥ |,उपचय पथक्रम
ଆନାବୋଲିଜିମ୍ |,उपचय
ଆନାଚାର୍ଡସିଆନା |,ऐनाकार्डिएसी
ରକ୍ତଦାତା,अरक्तता
ଆନାରୋବେ |,"अवायुजीव, अनॉक्सी जीव"
ଆନାରୋବିକ୍ ଇନ୍ଧନ |,अवायवी ईंधन
ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |,"अवायु-श्वसन, अनॉक्सीय श्वसन"
ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |,अवायवी आपंक पाचित्र
ଆନାରକୋବର |,"अवायवी, अवायुजीवी"
ଆନିମା,एनाइमा
ଆନାଲ୍,"गुदीय, गुद"
ଆନାଲ୍,पक्षांत
ଆନାଲ୍ ଆପେଚର |,"गुदीय द्वारक, गुद छिद्र"
ଆନାଲ୍ ccor,गुदलूम
ଆନାଲ୍ ଲୁପ୍ |,पक्षांत पाश
ଆନାଲ୍ ଶ style ଳୀ,गुदशूक
ଅନୁରୂପ,समवृत्ति
ଅନୁରୂପ,"सदृश, अनुरूप"
ଆନାଲୋଜି,समवृत्तिता
ଆନାଲୋଜି,"सादृश्य, अनुरूपता"
ବିଶ୍ଳେଷଣ |,विश्लेषण
ଅଯାସୀ,पश्चावस्था
ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |,शारीरी रोध
ଆନାଟୋମିକାଲ୍ ଦିଗ |,शारीरीय पक्ष
Anatomist-,शारीरज्ञ
ଆନାଟୋମି |,शारीर
ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |,पूर्वज वंशज अनुक्रम
ପ ancest ତୃକ ରେଖା |,पूर्वज वंशक्रम
ପ ancest ତୃକ କ୍ରମ |,पूर्वज अनुक्रम
ଏକସେଲୋସୋମା |,ऐंकिलोस्टोमा
ଆଣ୍ଡ୍ରୋକିୟମ୍ |,पुमंग
ଆଣ୍ଡ୍ରୋଜେନ |,"ऐंड्रोजेन, पुंजन"
ରକ୍ତଦାତା,अरक्तता
ଆନିମୋନ୍ |,अनेमनी
ଆନୁପ୍ଲଏଡ୍ |,असुगुणित
ଆନୁପ୍ଲୋଡି,असुगुणिता
ଆଞ୍ଜିନା,ऐंजाइना
ଆଞ୍ଜିୟରମ୍ |,वाहिकाचित्र
ଆଙ୍ଗିଓଗ୍ରାଗ୍,ऐंजिओग्राफ
ଆଙ୍ଗିଓଗ୍ରାଫି |,"वाहिकाचित्रण, ऐंजिओग्राफी"
An anivoplasty,"वाहिका-संधान, ऐंजिओप्लास्टी"
ଅଙ୍ଗୁଳି ପାରସ୍ପରିକ,आवृतबीजी
Anigiotensin |,ऐंजिओटेन्सिन
ଆଙ୍ଗିଓଟେନିନୋଜେନ |,ऐंजिओटेन्सिनोजन
ଅଙ୍ଗର ମାଛ |,वडिश मीन
ଆଞ୍ଜୁଆନା,ऐंग्विना
ଆଙ୍ଗୁଠି,ऐन्गुइस
ପଶୁ,प्राणी
ପଶୁ,पशु
ପଶୁ ଗୋବର,पशु शमल
ପଶୁ କୁମ୍ଭାରୀ,पशुपालन
ପଶୁ କାରିଟାଇପିଂ |,प्राणी गुणसूत्रप्ररूपण
ପଶୁ ରାଜ୍ୟ,प्राणिजगत्
ପଶୁ ଟିସୁ |,प्राणि-ऊतक
ପଶୁ,ऐनिमेलिया
ଆନାୟଣ,ऋणायन
ଆନିସୋଟ୍ରୋପିକ୍ ବ୍ୟାଣ୍ଡ |,विषमदैशिक पट्ट
ଆନାଲିଟିଂ,अनीलन
Annleled,ऐनेलिड (प्राणी)
ଆଙ୍କିଲଦା |,ऐनेलिडा
ବାର୍ଷିକ ରିଙ୍ଗ |,वार्षिक वलय
ପୁର୍ଣ୍ଣିକ,वलयाकार
ନିନ୍ଦା,"वलयांश, ऐन्यूल"
ଆନୋମାଲିୟ ପ୍ରକାର |,असंगत प्ररूप
ଅଧପତ୍ର,ऐनोफेलीज
ପିମ୍ପୁଡ଼ି ଭୋଜନକାରୀ,चींटीखोर
ବିରୋଧୀ |,विरोधी
ଅପବିତ୍ର,दक्षिण ध्रुवीय
ଆଣ୍ଟେନା |,शृंगिका
ଆଣ୍ଟେନା କମ୍ପ୍ଲେକ୍ସ |,ऐन्टेना संकुल
ଆଣ୍ଟେନାଲ୍ ଗ୍ରନ୍ଥି |,शृंगिका ग्रंथि
ଆଣ୍ଟରିଅର୍ (ଭେଣ୍ଟ୍ରାଲ୍) ଧୂସର ଶିଙ୍ଗ |,अग्र (अधर) घूसर शृंग
ଆଣ୍ଟ୍ଟରର ହାଇପୋଫାଇସିସ୍ |,अग्र पीयूषिका
ପୂର୍ବର ସେଣ୍ଟ୍ରଭେଷ୍ଟ୍ରିକୁଲାର୍ ସଲ୍କସ୍ |,अग्र अंतरानिलयी परिखा
ଅଙ୍କନ,परागकोश
ଆନାଥନ୍ ସଂସ୍କୃତି,पराग संवर्धन
ଆନିଚାଇଡିୟମ୍ |,पुंधानी
ଆନ୍ଥ୍ରୋଜଏଡ୍ |,पुमणु
ଆନ୍ଥୋକେସୋସ୍ |,ऐन्थोसिरोस
ଆନ୍ଫୋସିଆରୋଟୋସିଡା |,ऐन्थोसिरोटॉप्सिडा
ଆନ୍ଥ୍ରାକ୍ସ |,ऐन्थ्रैक्स
ଆନ୍ଥ୍ରୋପେନିକ୍ ବିଲୁପ୍ତ |,मानवजनित विलोपन
ଆନ୍ଥ୍ରୋପୋଲୋଜି |,मानवविज्ञान
ଆଣ୍ଟିବଜାର କଟୁ,प्रतिजीवाणुक
ଆଣ୍ଟିବାୟୋଟିକ୍ ପେନିସିଲିନ୍ |,प्रतिजैविक पेनिसिलिन
ଆଣ୍ଟିବାୟୋଟିକ୍ ପ୍ରତିରୋଧକ |,प्रतिजैविक प्रतिरोधी
ଆଣ୍ଟିବାୟୋଟିକ୍ (ଗୁଡିକ),प्रतिजैविक
ଆଣ୍ଟିବଡି |,"प्रतिरक्षी, प्रतिपिंड"
ଆଣ୍ଟିବଡି ଦମ୍ପତି |,"प्रतिरक्षी युग्म, प्रतिपिंड युग्म"
ଆଣ୍ଟିବଡି ମଧ୍ୟସ୍ଥତା ଅବିସ୍ମରଣୀୟ |,प्रतिरक्षी माध्यित प्रतिरक्षा
ଆଣ୍ଟିକୋଗୁଏଲାଣ୍ଟ |,प्रतिस्कंदक
ଆଣ୍ଟିକୋଡନ୍ ଲୁପ୍ |,प्रतिप्रकूट पाश (प्रतिकोडॉन पाश)
ପୃଥିବୀ ନିରାଶ,प्रति-अवसादक
ଆଣ୍ଟିଭାସିଟିକ୍ ହରମୋନ୍ (ADH),प्रतिमूत्रल हॉर्मोन
ଆଣ୍ଟିଗେନ୍ ଜିନ୍,प्रतिजन जीन
ଆଣ୍ଟିଜେନ୍-ଆଣ୍ଟିବଡି ଜଟିଳ |,प्रतिजन-प्रतिरक्षी सम्मिश्र
ଆଣ୍ଟିଜେନିକ୍ ନିର୍ଣ୍ଣୟ |,प्रतिजनी निर्धारक
ଆଣ୍ଟିନ୍ୟୁଟେସନ୍ ଫ୍ୟାକ୍ଟର୍ |,प्रतिपोषक कारक
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ୍ |,प्रतिऑक्सीकारक
ଆଣ୍ଟିପୋଡାଲ୍ ନ୍ୟୁକ୍ଲିୟସ୍ |,प्रतिव्यासांत केंद्रक
