Tamil,Kannada
பிணைக்கப்பட்ட உறுப்பினர்,ಬಂಧಿತ ಸದಸ್ಯ
பிணைக்கப்பட்ட பிந்தைய பதற்றம்,ಬಂಧಿತ ಪೋಸ್ಟ್ ಟೆನ್ಷನಿಂಗ್
பத்திர கல்,ಬಾಂಡ್ ಕಲ್ಲು
கட்டுப்பட்ட நீர்,ಬೌಂಡ್ ನೀರು
பெட்டி சாக்கடை,ಬಾಕ್ಸ್ ಗಟರ್
பிரேஸ்,ಬ್ರೇಸ್
விளிம்பில் செங்கல்,ಬ್ರಿಕ್ ಆನ್ ಎಡ್ಜ್
கடிவாளம்,ಬ್ರಿಡ್ಲ್
பிரகாசம்,ಹೊಳಪು
பழுப்பு மண்,ಕಂದು ಮಣ್ಣು
கட்டிடம்,ಕಟ್ಟಡ
கட்டிட சர்வேயர்,ಕಟ್ಟಡ ಸರ್ವೇಯರ್
தாங்கல்,ಬಫರ್
தாங்கல் வளைவு,ಬಫರ್ ಕರ್ವ್
தாங்கல்,ಬಫರಿಂಗ್
தாங்கல் திறன்,ಬಫರಿಂಗ್ ಸಾಮರ್ಥ್ಯ
பண்டர்,ಬಂದರ್
பட்டர்ஸ்,ಬಟ್ರೆಸ್
சி-அடிவானம்,ಸಿ-ಹಾರಿಜಾನ್
கேபிள்,ಕೇಬಲ್
கேபிள் மோல்டிங்,ಕೇಬಲ್ ಮೋಲ್ಡಿಂಗ್
கேபிளிங்,ಕೇಬಲ್ ಹಾಕುವುದು
அறை,ಕ್ಯಾಬಿನ್
கேபின் ஹூக்,ಕ್ಯಾಬಿನ್ ಹುಕ್
மந்திரி சபை,ಕ್ಯಾಬಿನೆಟ್
கபோல்ட் வெளியேறினார்,ಕಾಬೋಲ್ಟ್ ತೊರೆದರು
சிற்றுண்டியகம்,ಕೆಫೆಟೇರಿಯಾ
கூண்டு,ಪಂಜರ
கூண்டு கட்டுமானம்,ಪಂಜರ ನಿರ್ಮಾಣ
கெய்னின் சூத்திரம்,ಕೇನ್ ಅವರ ಸೂತ್ರ
கெய்சன்,ಕೈಸನ್
கெய்சன் நோய்,ಕೈಸನ್ ಕಾಯಿಲೆ
கெய்சன் அடித்தளம்,ಕೈಸನ್ ಅಡಿಪಾಯ
கெய்சன் குவியல்,ಕೈಸನ್ ರಾಶಿ
சுண்ணாம்பு செங்கல்,ಸುಣ್ಣದ ಇಟ್ಟಿಗೆ
சுண்ணாம்பு களிமண்,ಸುಣ್ಣದ ಜೇಡಿಮಣ್ಣು
சுண்ணாம்பு மேலோடு,ಕ್ಯಾಲ್ಕೇರಿಯಸ್ ಕ್ರಸ್ಟ್
கால்சிஃபிகேஷன்,ಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್
கால்சினேஷன்,ಕ್ಯಾಲ್ಸಿನೇಷನ್
கால்சின்,ಕ್ಯಾಲ್ಸಿನ್
கால்சைட்,ಕ್ಯಾಲ್ಸೈಟ್
கால்சியம்-அலுமினேட் சிமெண்ட்,ಕ್ಯಾಲ್ಸಿಯಂ-ಅಲ್ಯೂಮಿನೇಟ್ ಸಿಮೆಂಟ್
கால்சியம்-சிலிகேட் செங்கல்,ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಇಟ್ಟಿಗೆ
கால்சியம்-சிலிகேட் ஹைட்ரேட்,ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಹೈಡ್ರೇಟ್
கலிச்சே,ಕ್ಯಾಲಿಚೆ
கலிபோர்னியா தாங்கி விகிதம்,ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ ಬೇರಿಂಗ್ ಅನುಪಾತ
காலிபர்,ಕ್ಯಾಲಿಪರ್
கலோரிமீட்டர்,ಕ್ಯಾಲೋರಿಮೀಟರ್
கேம்பர்,ಕ್ಯಾಂಬರ್
கால்வாய்,ಕಾಲುವೆ
விதானம்,ಮೇಲಾವರಣ
கான்டிலீவர் அடிவாரம்,ಕ್ಯಾಂಟಿಲಿವರ್ ಫೂಟಿಂಗ್
தொப்பி,ಕ್ಯಾಪ್
திறன்,ಸಾಮರ್ಥ್ಯ
ஆயில் பாதையின் திறன்,ಏಲ್ ಟ್ರ್ಯಾಕ್ ಸಾಮರ್ಥ್ಯ
தொப்பி கேபிள்,ಕ್ಯಾಪ್ ಕೇಬಲ್
கேபிலரிட்டி,ಕ್ಯಾಪಿಲ್ಲರಿಟಿ
தந்துகி முறிவு,ಕ್ಯಾಪಿಲ್ಲರಿ ಬ್ರೇಕ್
தந்துகி ஓட்டம்,ಕ್ಯಾಪಿಲ್ಲರಿ ಹರಿವು
தந்துகி ஈரப்பதம் அல்லது தந்துகி நீர்,ಕ್ಯಾಪಿಲ್ಲರಿ ತೇವಾಂಶ ಅಥವಾ ಕ್ಯಾಪಿಲ್ಲರಿ ನೀರು
தந்துகி துளை இடம்,ಕ್ಯಾಪಿಲ್ಲರಿ ರಂಧ್ರದ ಜಾಗ
கேபிலரி போரோசிட்டி,ಕ್ಯಾಪಿಲ್ಲರಿ ಸರಂಧ್ರತೆ
தந்துகி வெளி,ಕ್ಯಾಪಿಲ್ಲರಿ ಸ್ಪೇಸ್
பிடிப்பு வேகம்,ಕ್ಯಾಪ್ಚರ್ ವೇಗ
கார்பனேற்றம்,ಕಾರ್ಬೊನೇಶನ್
கார்பன் கருப்பு,ಕಾರ್ಬನ್ ಕಪ್ಪು
காஸ்ட்பிள் பயனற்ற,ಕ್ಯಾಸ್ಟ್ಬಲ್ ವಕ್ರೀಕಾರಕ
காஸ்ட்-இன்-பிளேஸ் அல்லது காஸ்ட்-இன்-சிட்டு,ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ ಅಥವಾ ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ
காஸ்ட்-இன்-பிளேஸ் பைல்,ಎರಕಹೊಯ್ದ ರಾಶಿ
ஆமணக்கு,ಕ್ಯಾಸ್ಟರ್
வார்ப்பு கல்,ಎರಕಹೊಯ್ದ ಕಲ್ಲು
வினையூக்கி,ವೇಗವರ್ಧಕ
கேட்டனா,ಕ್ಯಾಟೆನಾ
பூனை முகம்,ಬೆಕ್ಕಿನ ಮುಖ
பூனை தலை,ಬೆಕ್ಕಿನ ತಲೆ
கேஷன்,ಕ್ಯಾಶನ್
பூனை நடை,ಬೆಕ್ಕಿನ ನಡಿಗೆ
குழிவுறுதல் சேதம்,ಗುಳ್ಳೆಕಟ್ಟುವಿಕೆ ಹಾನಿ
செலைட்,ಸೆಲೈಟ್
செல்லுலார் கான்கிரீட்,ಸೆಲ್ಯುಲಾರ್ ಕಾಂಕ್ರೀಟ್
செல்லுலார் கட்டுமானம்,ಸೆಲ್ಯುಲಾರ್ ನಿರ್ಮಾಣ
சிமெண்ட்,ಸಿಮೆಂಟ್
"சிமெண்ட், பிட்மினஸ்","ಸಿಮೆಂಟ್, ಬಿಟುಮಿನಸ್"
"சிமெண்ட், அதிக வலிமை","ಸಿಮೆಂಟ್, ಹೆಚ್ಚಿನ ಶಕ್ತಿ"
"சிமெண்ட், ஹைட்ராலிக்","ಸಿಮೆಂಟ್, ಹೈಡ್ರಾಲಿಕ್"
"சிமெண்ட், குறைந்த வெப்பம்","ಸಿಮೆಂಟ್, ಕಡಿಮೆ ಶಾಖ"
"சிமெண்ட், கொத்து","ಸಿಮೆಂಟ್, ಕಲ್ಲು"
"சிமெண்ட், இயற்கை","ಸಿಮೆಂಟ್, ನೈಸರ್ಗಿಕ"
"சிமெண்ட், போர்ட்லேண்ட்","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್"
"சிமெண்ட், போர்ட்லேண்ட் பிளாஸ்ட் ஃபர்னேஸ் ஸ்லாக்","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್"
"சிமெண்ட், போர்ட்லேண்ட் போஸோலன்","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಪೊಝೋಲನ್"
"சிமெண்ட், கசடு","ಸಿಮೆಂಟ್, ಸ್ಲ್ಯಾಗ್"
"சிமெண்ட், சல்பேட் எதிர்ப்பு","ಸಿಮೆಂಟ್, ಸಲ್ಫೇಟ್ ನಿರೋಧಕ"
"சிமெண்ட், சூப்பர் சல்பேட்","ಸಿಮೆಂಟ್, ಸೂಪರ್ ಸಲ್ಫೇಟ್"
"சிமெண்ட், வெள்ளை","ಸಿಮೆಂಟ್, ಬಿಳಿ"
சிமெண்ட்-மொத்த விகிதம்,ಸಿಮೆಂಟ್-ಒಟ್ಟಾರೆ ಅನುಪಾತ
சிமெண்ட் உள்ளடக்கம்,ಸಿಮೆಂಟ್ ವಿಷಯ
சிமெண்ட் ஜெல்,ಸಿಮೆಂಟ್ ಜೆಲ್
சிமெண்ட் துப்பாக்கி,ಸಿಮೆಂಟ್ ಗನ್
சிமெண்ட் சூளை,ಸಿಮೆಂಟ್ ಗೂಡು
சிமெண்ட் பெயிண்ட்,ಸಿಮೆಂಟ್ ಬಣ್ಣ
சிமெண்ட் பூச்சு,ಸಿಮೆಂಟ್ ಪ್ಲಾಸ್ಟರ್
சிமெண்ட் பாறை,ಸಿಮೆಂಟ್ ಕಲ್ಲು
சிமெண்ட் குழம்பு,ಸಿಮೆಂಟ್ ಸ್ಲರಿ
சிமெண்ட் சேமிப்பு,ಸಿಮೆಂಟ್ ಸಂಗ್ರಹಣೆ
சிமெண்டேஷன் செயல்முறை,ಸಿಮೆಂಟೇಶನ್ ಪ್ರಕ್ರಿಯೆ
மையப்படுத்துதல்,ಕೇಂದ್ರೀಕರಣ
மையப்படுத்துதல் மற்றும் மூடுதல்,ಕೇಂದ್ರೀಕರಿಸುವುದು ಮತ್ತು ಮುಚ್ಚುವುದು
மத்திய கலப்பு கான்கிரீட்,ಕೇಂದ್ರ ಮಿಶ್ರ ಕಾಂಕ್ರೀಟ್
மத்திய கலவை,ಕೇಂದ್ರ ಮಿಕ್ಸರ್
மையவிலக்கு விசிறி,ಕೇಂದ್ರಾಪಗಾಮಿ ಫ್ಯಾನ್
சுண்ணாம்பு,ಚಾಕ್
சேம்ஃபர்,ಚೇಂಫರ್
சேம்பர் துண்டு,ಚೇಂಫರ್ ಸ್ಟ್ರಿಪ್
சேனல் கற்றை,ಚಾನಲ್ ಕಿರಣ
சிறப்பியல்பு சுமை,ವಿಶಿಷ್ಟ ಲೋಡ್
பண்பு வலிமை,ವಿಶಿಷ್ಟ ಶಕ್ತಿ
சார்ஜ் ஆஃப்,ಚಾರ್ಜ್ ಆಫ್
சார்ஜ் செய்கிறது,ಚಾರ್ಜ್ ಆಗುತ್ತಿದೆ
சரிபார்க்கிறது,ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ
இரசாயன பிணைப்பு,ರಾಸಾಯನಿಕ ಬಂಧ
செர்னோசெம்,ಚೆರ್ನೋಜೆಮ್
கஷ்கொட்டை மண்,ಚೆಸ್ಟ್ನಟ್ ಮಣ್ಣು
புகைபோக்கி சாக்கடை,ಚಿಮಣಿ ಗಟಾರ
சிப் போர்டு,ಚಿಪ್ ಬೋರ್ಡ್
சிப்பிங்,ಚಿಪ್ಪಿಂಗ್
சீவல்கள்,ಚಿಪ್ಸ್
சரிவு,ಗಾಳಿಕೊಡೆ
வகுப்பு (கான்கிரீட்),ವರ್ಗ (ಕಾಂಕ್ರೀಟ್)
களிமண்,ಕ್ಲೇ
களிமண் உள்ளடக்கம்,ಕ್ಲೇ ವಿಷಯ
களிமண் பான்,ಕ್ಲೇ ಪ್ಯಾನ್
சுத்தம் செய்,ಕ್ಲೀನ್ಔಟ್
சுத்தம் செய்,ಸ್ವಚ್ಛಗೊಳಿಸಿ
கிளீட்,ಕ್ಲೀಟ್
கிளிங்கர்,ಕ್ಲಿಂಕರ್
கிளிப்,ಕ್ಲಿಪ್
உறைதல்,ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆ
கரடுமுரடான மொத்த,ಒರಟಾದ ಒಟ್ಟು
கரடுமுரடான தானிய மண்,ಒರಟಾದ ಧಾನ್ಯದ ಮಣ್ಣು
கோட்,ಕೋಟ್
காஃபர் அணை,ಕಾಫರ್ ಅಣೆಕಟ್ಟು
ஒருங்கிணைப்பு,ಒಗ್ಗಟ್ಟು
கொலாய்டு,ಕೊಲಾಯ್ಡ್
கூழ் ஈரப்பதம் சமமான விகிதம்,ಕೊಲೊಯ್ಡಲ್ ತೇವಾಂಶ ಸಮಾನ ಅನುಪಾತ
கூழ் அமைப்பு,ಕೊಲೊಯ್ಡಲ್ ವ್ಯವಸ್ಥೆ
கொலுவல் மண்,ಕೊಲ್ಯುವಿಯಲ್ ಮಣ್ಣು
நெடுவரிசை,ಅಂಕಣ
சீப்பு பூச்சு,ಬಾಚಣಿಗೆ ಮುಕ್ತಾಯ
இணைந்த அடி,ಕಂಬೈನ್ಡ್ ಫೂಟಿಂಗ್
ஒருங்கிணைந்த நீர்,ಸಂಯೋಜಿತ ನೀರು
பொதுவான அறை,ಸಾಮಾನ್ಯ ಕೊಠಡಿ
நிறைவு சான்றிதழ்,ಪೂರ್ಣಗೊಳಿಸುವಿಕೆ ಪ್ರಮಾಣಪತ್ರ
கூறு சதுரம்,ಘಟಕ ಚೌಕ
கான்கிரீட்,ಕಾಂಕ್ರೀಟ್
கான்கிரீட்,ಕಾಂಕ್ರೀಟಿಕರಣ
ஒருங்கிணைந்த விகிதம்/தட்டை விகிதம்,ಏಕೀಕೃತ ದರ/ಫ್ಲಾಟ್ ದರ
அசுத்தங்கள்,ಮಾಲಿನ್ಯಕಾರಕಗಳು
அல்கோவ் சமையல்,ಅಲ್ಕೋವ್ ಅಡುಗೆ
சமாளிப்பது,ನಿಭಾಯಿಸುವುದು
கோர்பெல்,ಕಾರ್ಬೆಲ್
கார்னிஸ்,ಕಾರ್ನಿಸ್
இணைப்பான்,ಸಂಯೋಜಕ
"கப்லர், இரட்டை","ಕಪ್ಲರ್, ಡಬಲ್"
"கப்லர், புட்லாக்","ಕಪ್ಲರ್, ಪುಟ್ಲಾಗ್"
"இணைப்பு, சுழல்","ಕಪ್ಲರ್, ಸ್ವಿವೆಲ್"
பாடநெறி,ಕೋರ್ಸ್
சீரற்ற இடிந்த கொத்து,ಕೋರ್ಸ್ಡ್ ಯಾದೃಚ್ಛಿಕ ಕಲ್ಲುಮಣ್ಣು ಕಲ್ಲುಗಳು
மூடப்பட்ட பகுதி,ಆವರಿಸಿದ ಪ್ರದೇಶ
தவழும்,ತೆವಳುವ
க்ரீப் குணகம்,ಕ್ರೀಪ್ ಗುಣಾಂಕ
குரோடோவின்,ಕ್ರೊಟೊವಿನ್
காக்கை கால்,ಕಾಗೆ ಕಾಲು
நொறுக்குத் தீனி அமைப்பு,ಕ್ರಂಬ್ ರಚನೆ
கட்டுப்படுத்து,ದಂಡೆ
தற்போதைய,ಪ್ರಸ್ತುತ
வளைவு எதிர்ப்பு,ಕರ್ವ್ ಪ್ರತಿರೋಧ
ஈரப்பதம் இல்லாத பாடநெறி,ತೇವಾಂಶ ನಿರೋಧಕ ಕೋರ್ಸ್
நிறைவு தேதி,ಪೂರ್ಣಗೊಂಡ ದಿನಾಂಕ
நிலைச்சுமை,ಡೆಡ್ ಲೋಡ್
இறந்த நீர்,ಸತ್ತ ನೀರು
டெசிபல்,ಡೆಸಿಬೆಲ್
டிஃப்ளோகுலேஷன்,ಡಿಫ್ಲೋಕ್ಯುಲೇಷನ್
காற்றோட்டம் அல்லது காற்று விண்வெளி விகிதம்,ಗಾಳಿ ಅಥವಾ ಗಾಳಿಯ ಅಂತರದ ಅನುಪಾತದ ಪದವಿ
திரட்டல் பட்டம்,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆಯ ಪದವಿ
சிதறல் பட்டம்,ಪ್ರಸರಣದ ಪದವಿ
செறிவூட்டல் பட்டம்,ಶುದ್ಧತ್ವದ ಪದವಿ
அடர்த்தி,ಸಾಂದ್ರತೆ
பாலைவன நடைபாதை,ಮರುಭೂಮಿ ಪಾದಚಾರಿ ಮಾರ್ಗ
பாலைவன மண்,ಮರುಭೂಮಿ ಮಣ್ಣು
விவரங்கள்,ವಿವರಗಳು
வளர்ச்சி காலம்,ಅಭಿವೃದ್ಧಿ ಅವಧಿ
டி-அடிவானம்,ಡಿ-ಹಾರಿಜಾನ್
மூலைவிட்ட பிணைப்பு,ಕರ್ಣೀಯ ಬಂಧ
வரைபடம்,ರೇಖಾಚಿತ್ರ
டிஜிட்டல் டாக்,ಡಿಜಿಟಲ್ ಡಾಕ್
வேறுபட்ட நீர் விகிதம்,ಭೇದಾತ್ಮಕ ನೀರಿನ ದರ
நீர்த்த காற்றோட்டம்,ದುರ್ಬಲಗೊಳಿಸುವ ವಾತಾಯನ
டிலுவியம்,ಡಿಲುವಿಯಂ
சாப்பிடும் அல்லது உணவருந்தும் அறை,ಊಟದ ಕೋಣೆ
திசை ஆப்பு,ದಿಕ್ಕಿನ ಪೆಗ್
சிதறல்,ಪ್ರಸರಣ
டிஸ்டெம்பர்,ಡಿಸ್ಟೆಂಪರ್
கப்பல்துறை,ಡಾಕ್
கதவு,ಬಾಗಿಲು
டார்மர்,ಡಾರ್ಮರ್
டார்மர் சோதனை,ಡಾರ್ಮರ್ ಚೆಕ್
இரட்டை சதை பிணைப்பு,ಡಬಲ್ ಫ್ಲೆಮಿಶ್ ಬಾಂಡ್
இரட்டை அடுக்கு,ಡಬಲ್ ಲೇಯರ್
டோவல்,ಡೋವೆಲ್
வரைதல் பலகை,ಡ್ರಾಯಿಂಗ್ ಬೋರ್ಡ್
வரைதல் அறை,ಡ್ರಾಯಿಂಗ್ ಕೊಠಡಿ
சறுக்கல்,ಡ್ರಿಫ್ಟ್
உலர் குமிழ் வெப்பநிலை,ಒಣ ಬಲ್ಬ್ ತಾಪಮಾನ
உலர் கப்பல்துறை,ಡ್ರೈ ಡಾಕ್
உலர் ரப்பர் கொத்து,ಒಣ ರಬ್ಬರ್ ಕಲ್ಲು
டச்சு பத்திரம்,ಡಚ್ ಬಾಂಡ್
குள்ள சுவர்,ಕುಬ್ಜ ಗೋಡೆ
குடியிருப்பு அலகு,ವಸತಿ ಘಟಕ
ஈவ்,ಈವ್
ஈவ்ஸ் சாக்கடை,ಈವ್ಸ್ ಗಟರ್
பொருளாதார சாத்தியம்,ಆರ್ಥಿಕ ಕಾರ್ಯಸಾಧ್ಯತೆ
எக்டோடைனமார்பிக் மண்,ಎಕ್ಟೋಡೈನಮಾರ್ಫಿಕ್ ಮಣ್ಣು
எட்டி,ಸುಳಿ
பயனுள்ள அளவு,ಪರಿಣಾಮಕಾರಿ ಗಾತ್ರ
மலர்ச்சி,ಪುಷ್ಪಮಯ
கழிவுநீர்,ಹೊರಹರಿವು
உயரம்,ಎತ್ತರ
எலுவியேஷன்,ಎಲುವಿಯೇಶನ್
எலுவியம்,ಎಲುವಿಯಮ್
எண்டோடைனமார்பிக் மண்,ಎಂಡೋಡೈನಮಾರ್ಫಿಕ್ ಮಣ್ಣು
