Kannada,Marathi
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,अनुकूलता
ಗ್ರಾಹಕೀಕರಣ,सानुकूलन
1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,1. आसंजन 2. आसंजन
ಮೇದಸ್ಸಿನ,सेबेशियस
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,समायोजन समीकरण
ಅಡೋಬ್ ಮಣ್ಣು,adobe माती
ಕಲಬೆರಕೆ,भेसळ करणारा
ಅಪಸ್ಥಾನೀಯ,एक्टोपिक
ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್,Isidiospore Isidium बीजाणू
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ,वायुगतिकीय प्रक्रिया
ಕುಹರದ,वेंट्रल
ಗಾಳಿ ಹಾಕಲು,वायुवीजन करणे
1. ಗಾಳಿ 2. ಆಕಾಶಿ,1. हवा 2. आकाशी
1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್,1. एरोमीटर 2. एरोमीटर 3. एरोमीटर
ಏರೋಸಾಲ್,एरोसोल
1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ,1. फुलणे 2. उन्हाळी सुप्तता
ರೋಗದ ವಿಜ್ಞಾನ,रोग विज्ञान
ಅರಣ್ಯೀಕರಣ,वनीकरण
1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ,1. आंदोलन 2. अशांतता
ಅಗ್ಮಾರ್ಕ್,Agmark
1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ,1. जमिनीशी संबंधित 2. कृषी
ಕೃಷಿ ಕ್ಲಿನಿಕ್,कृषी चिकित्सालय
1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ,1. शेतमजूर 2. शेतमजूर
ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,कृषी विपणन
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,कृषी तंत्रज्ञान
1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ,1. शेती 2. शेती 3. कृषी विज्ञान
ಕೃಷಿ ಅರಣ್ಯ,कृषी वनीकरण
ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ,कृषी जैवविविधता
ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು,कृषी सेंद्रिय दोष
ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ,कृषी जीवशास्त्र
ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ,कृषी-हवामान विविधता
ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ,कृषी हवामान क्षेत्र निर्मिती
ಕೃಷಿ ಅರಣ್ಯ,कृषी वनीकरण
ಕೃಷಿಶಾಸ್ತ್ರ,कृषीशास्त्र
ಕೃಷಿಶಾಸ್ತ್ರ,कृषीविषयक
ಕೃಷಿ ಪಶುಪಾಲಕ,कृषी खेडूत
ಬೆಳೆ ಸಂಸ್ಕರಣೆ,पीक प्रक्रिया
ಹುಲ್ಲು ವಿಜ್ಞಾನ,गवत विज्ञान
ಬೆಳೆ ಪ್ರಕಾರ,पीक प्रकार
ಎಪಿಫೈಟ್,epiphyte
ಐಕಿಯೋಚಿ ಮಣ್ಣು,aikiochi माती
ಬಣ್ಣಗುರುಡು,रंगाधळेपण
ಅಲ್ಫಿಸೋಲ್,अल्फिसोल
ಪಾಚಿ,एकपेशीय वनस्पती
ಪಾಚಿ ರೋಗ,एकपेशीय वनस्पती रोग
ಕ್ಷಾರ ನೀರು,अल्कली पाणी
ಕ್ಷಾರೀಯ,अल्कधर्मी
ಪರ್ಯಾಯ,पर्यायी
ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ,allelo रसायनशास्त्र
ಆಲೀಲ್,एलील
ಅಲೆಲೋಪತಿ,ऍलेलोपॅथी
ವೇಥಿ ಬೆಳೆ,वेठी पीक
ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ,पूर्णता
ಫಲೀಕರಣ,गर्भाधान
1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ,1. सापेक्षता 2. अॅलोमेट्री
ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್,मल्टिप्लॉइडी
1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ,1. पॅराझिगोसिटी
1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ,1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य
ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ,पर्यायी जमिनीचा वापर
ಪರಿಸರ,वातावरण
ಸುಧಾರಕ,सुधारक
ಮಿಟೋಸಿಸ್,मायटोसिस
ಅಮೀನನ್,आमीनान
ಅಮೋನಿಯನ್,अमोनियन
ಆಮ್ನಿಫೆರಸ್,amniferous
1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ,1. अप्रभावी रूप 2. अरुपी
ಉಭಯಚರ ಮಿಶ್ರಣ,उभयचर मिश्रण
ಆಂಫೋಟರಿಕ್,एम्फोटेरिक
ಸಂಗ್ರಹಣೆ,साठा करणे
1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು,1. ऍनेरोबिक 2. ऍनेरोबिक जीव
ಹ್ಯಾಪ್ಲಾಯ್ಡ್,हॅप्लॉइड
ಕೋನೀಯ ನೆಟ್ಟ,टोकदार लागवड
ಪಶುಸಂಗೋಪನೆ,पशुसंवर्धन
ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ,प्राण्यांचे मलमूत्र
ಜೀವನ ಶಕ್ತಿ,जिवंत ऊर्जा
ಅಸಂಗತ,विसंगत
ಒಂದು ವರ್ಷದ ಸಸ್ಯ,एक वर्ष जुनी वनस्पती
ವಾರ್ಷಿಕ,वार्षिक
1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ,1. परमानंद 2. तेज
ಆಂಥ್ರಾಕ್ಸ್,ऍन्थ्रॅक्स
ಮಾನವಜನ್ಯ ಅಂಶಗಳು,मानववंशजन्य घटक
ಬದುಕುಳಿಯುವಿಕೆ,जगणे
1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ,1. प्रतिजैविक 2. प्रतिजैविक
ಹಿಮ್ಮೆಟ್ಟಿಸುವ,तिरस्करणीय
ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ,अँटिऑक्सिडंट
ಆಂಟಿಟಾಕ್ಸಿನ್,अँटीटॉक्सिन
ಉಂಗುರದ ಬೆರಳು,अनामिका
1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ,1. ऍफिड 2. महू 3. चेपा
ಮೇಲಿನ ಮೊಗ್ಗು,शीर्ष अंकुर
ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ,शिखर प्रभावीता
ಜೇನುಸಾಕಣೆ,मधमाशी पालन
ಅಲೈಂಗಿಕತೆ,लैंगिकता
ಅಪೊಪ್ಟೋಸಿಸ್,apoptosis
ಅನುಬಂಧಗಳು,परिशिष्ट
ಜೀರ್ಣಕಾರಕವಾಗಿ,भूक वाढवणारे
ಅನ್ವಯಿಸಲಾಗಿದೆ,लागू
ಜಲವಾಸಿ ಕಳೆ,जलीय तण
1. ಮರ 2. ಮರದ ನಿವಾಸಿ,1. झाड 2. वृक्षवासी
ಕವಲೊಡೆಯುತ್ತಿದೆ,शाखा
ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು,प्रोटोबोटॅनिकल रेकॉर्ड
ವಲಯ ಸಂಖ್ಯೆ,झोन क्रमांक
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,1. क्षेत्रफळ 2. क्षेत्रफळ
ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ,कोरडे इकोसिस्टम
ಕೋಟಿಲ್ಡನ್,cotyledon
ಸೌರಭ್,सौरभ
ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ,सुगंधी वनस्पती
ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ,सुवासिक तांदूळ
ಇಕ್ಷು ಪುಷ್ಪನ್,इक्षु पुष्पन
ಅಸೆಪ್ಟಿಕ್,ऍसेप्टिक
1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್,1. ऍसेप्टिक 2. ऍसेप्टिक
ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ,अलैंगिक पुनरुत्पादन
ಗಾತ್ರ,आकार
ಆಸ್ತಿ,मालमत्ता
1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ,1. आत्मसात करणे 2. आत्मसात करणे
1. ಸಂಘ 2. ಸಂಘ,1. संघटना 2. संघटना
1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ,1. स्तंभ 2. तुरटपणा
ಹೆಟೆರೋಜೈಗೋಸಿಟಿ,heterozygosity
1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ,1. पूर्वज 2. Atavism
ಕಣ,कण
1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ,1. पुष्टीकरण 2. कमजोरी
ಸ್ವಯಂ ಜೋಡಣೆ,स्वत: ची जोडणी
ಆಟೋಲಿಸಿಸ್,ऑटोलिसिस
1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ,1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण
ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್,स्वत: मल्टिप्लेक्स
ಆಕ್ಸಿನ್,ऑक्सिन
1. ಷೂಕ್ 2. ಟೋಡ್,1. हादरले 2. टॉड
ದಂಡದ ವೈರಸ್,दंडात्मक व्हायरस
1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್,1. बॅसिलस 2. बॅसिलस
1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ,1. जीवाणू 2. जीवाणू
ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ,जिवाणू विष
ಬಗಸೆ,बॅगासे
ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,ताळेबंद
ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ,संतुलित खतांचा वापर
ಬಾರ್ ಗ್ರಾಫ್,बार आलेख
ತೊಗಟೆ,झाडाची साल
1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ,1. बॅरोमीटर 2. बॅरोमीटर
1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು,1. बजर 2. जड 3. वांझ
1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್,1. बेस 2. बेस 3. कपंग
1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ,1. तळा 2. खोरे
ತಲಾಬಿಸಾರಿ,तलाबिसरी
1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್,1. बेसिस्टर्नम 2. रूट धारक
ಗಲ್ಫ್ ಮಾನ್ಸೂನ್,गल्फ मान्सून
ಹಣ್ಣಿನ ಗಿಡ,फळ वनस्पती
ಹಾಸಿಗೆ,पलंग
ಹಾಸಿಗೆ ಸಸ್ಯ,बेड प्लांट
ಹಾಸಿಗೆ,बेडिंग
ಬೀಟ್ ಮೊಲಾಸಸ್,बीट मोलॅसेस
ಬೆಲ್ಲೋಸ್,घुंगरू
1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ,1. पट्टी 2. भूप्रदेश
ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,नफा-खर्च विश्लेषण
ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ),इच्छुक (नमुना)
ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು,द्विवार्षिक वनस्पती
ದ್ವಿಪದ,द्विपद
ಜೈವಿಕ ಅಂಶ,बायोफॅक्टर
ಜೈವಿಕ ಹವಾಮಾನ,जैविक हवामान
ಜೈವಿಕ ಶಕ್ತಿ,जैव ऊर्जा
ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ,प्राणी पर्यावरणशास्त्र
1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್,1. बायो-प्रोसेसर 2. बायो-रिअॅक्टर
ಜೀವಗೋಳ,बायोस्फीअर
ಜೈವಿಕ,जैविक
ಪ್ರಾಣಿಸಂಕುಲ,प्राणी
ದಿವಿಲಿಂಗಿ,दिविलिंगी
ಧವಳನ್,धवलन
1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ,1. प्रध्‍वसन (रोग) 2. गुस्‍त रोग
ಮಿಶ್ರಣ,मिश्रण
1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ),1. अंगमारी (रोग) 2. अनिष्ट (रोग)
1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್,1. फोड 2. फोड 3. उद्रेक 4. फोड
ನೀಲಿ ಕ್ರಾಂತಿ,निळी क्रांती
ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್,प्लॅनर हीटिंग चेंबर
ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ,प्लॅनर हीटिंग तंत्रज्ञान
ಹೊಟ್ಟು,कोंडा
ಕವಲೊಡೆಯುತ್ತಿದೆ,शाखा
1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ,1. डहाळी 2. उपशाखा
ತಳಿ,जाती
ಸಂತಾನೋತ್ಪತ್ತಿ,पुनरुत्पादन
ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ,लवकर उगवण उपचार
1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ,1. शावक 2. अंडी 3. गर्भ
ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ,होतकरू
ಬಜೆಟ್,बजेट
1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್,1.अॅम्फोटेरिक 2. बफर
ಸಿಹಿ ಆಲೂಗಡ್ಡೆ,रताळे
ಬಂಟ್ (ರೋಗ),बंट (रोग)
1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ,1. उप-उत्पादन 2. उप-उत्पादन
c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್,c ओलावा तपशील वक्र
ಎಣ್ಣೆ ಕೇಕ್,तेल केक
1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ,1. चुना 2. कॅल्शियम
ಕ್ಯಾಲ್ಸಿಯಾನ್,कॅल्शिअन
ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ,फॉस्फेट काढणे
1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ,1. किनटा 2. कॅलाटा
1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ,1.कॉलस 2. किरण
1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್,1. सेपल्स 2. कॅलिक्स
ಹೊರಗಿನ ಅಂತ್ಯ,बाह्य टोक
ಈಧಾ,इधा
ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),कॅन्कर (जीवाणूजन्य रोग)
ಕ್ಯಾನಿಂಗ್,कॅनिंग
ಆಕಾಶ,आकाश
ಹಣಕಾಸು,वित्त
ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು),परागकण (अंजीराचे)
1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್,1. कॅप्सूल 2. कॅप्सूल 3. कॅप्सूल
ಕಾರ್ಬೊನೈಸ್ಡ್,कार्बनयुक्त
ಕಾರ್ಬೊನಾನ್,कार्बनन
ಕ್ಯಾರಪೇಸ್,कॅरॅपेस
ಕಂಕಣ,ब्रेसलेट
1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ),1. कास्टिंग (लोह) 2. क्षिती (कीटक)
ಕ್ಯಾಟಬಾಲಿಸಮ್,अपचय
ಪ್ರೇರಣೆ,प्रलोभन
1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್,1. सुरवंट 2. सुरवंट
ಸಿ ಡಿ. ಎನ್. ಎ. ಸಂಗ್ರಹಣೆ,c d. एन. a संकलन
ವ್ಯಾಪ್ತಿ,श्रेणी
1. ಕೋಶ 2. ಕೋಶ,1. सेल 2. सेल
ಕೇಂದ್ರ ಮುಂಭಾಗದ ವ್ಯವಸ್ಥೆ,मध्यवर्ती फ्रंट सिस्टम
1. ಪಾಯಿಂಟ್ 2. ಫೋಕಸ್,1. पॉइंट 2. फोकस
ಕೇಂದ್ರಾಪಗಾಮಿ,केंद्रापसारक
ಕೇಂದ್ರಾಪಗಾಮಿ,अपकेंद्रित्र
ನಕ್ಷತ್ರ ಕೇಂದ್ರ,तारा केंद्र
ಎಪಿಜೆನೆಟಿಕ್,epigenetic
ಕೇಂದ್ರರಾಜ,केंद्रजा
ಮಗ್ಗ,यंत्रमाग
1. ಏಕದಳ 2. ಸೀರಿಯಲ್,1. तृणधान्ये 2. मालिका
1. ಪ್ರಮಾಣೀಕರಣ 2. ಪ್ರಮಾಣೀಕರಣ,1. प्रमाणन 2. प्रमाणन
ಪ್ರಮಾಣೀಕೃತ ಬೀಜ,प्रमाणित बियाणे
1. ಹುಲ್ಲು 2. ಕುಟ್ಟಿ 3. ಶಾಲಕ್ ಸಹಪಾತ್ರ,1. पेंढा 2. कुट्टी 3. शलक सहपात्रा
1. ನಿಭಾಗ್ 2. ಕೈಲಾಜಾ,1. निभाग 2. कैलाजा
ಕೈಮೊಗ್ರಫಿ,किमोग्राफी
1. ಕಿಯಾಜ್ಮಾ 2. ಕಾರ್ಯನಿರತ,1. कियाज्मा 2. व्यस्त
ಸೂಪರ್ ಕೂಲಿಂಗ್ ಗಂಟೆಗಳು,सुपर कूलिंग तास
ಫ್ರಾಸ್ಟ್ ಹಾನಿ,दंव नुकसान
1. ವಿಚಿರೋಟಕಿ 2. ಚಿಮೆರಾ,1. विचिरोटकी 2. चिमेरा
ಹಸಿರು ಗಂಜಿ,हिरवी लापशी
1. ಎಲೆಗಳು 2. ಹಸಿರು,1. पर्णसंभार 2. हिरवा
ಸೈನೋಸಿಸ್,सायनोसिस
ಜೈವಿಕ ವಿತರಣಾ ವಿಜ್ಞಾನ,जैविक वितरण विज्ञान
1. ಕ್ರೊಮಾಟಿಡ್ಸ್ 2. ಅರ್ಧ ವರ್ಣತಂತುಗಳು,1. क्रोमेटिड्स 2. अर्धा गुणसूत्र
ಕ್ರೊಮಾಟಿನ್,क्रोमॅटिन
ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,क्रोमॅटोग्राफी
ಕ್ರೊಮಾಟಿಲೇಷನ್,क्रोमॅटिनलेशन
ಹೃತ್ಕರ್ಣದ ಬಿಂದು,अलिंद बिंदू
ಕ್ರೊಮಾಟೊಜೆನೆಸಿಸ್,क्रोमेटोजेनेसिस
1. ಕ್ರೋಮೋಪ್ರೋಟೀನ್ 2. ಪಿಗ್ಮೆಂಟ್ಪ್ರೋಟೀನ್,1. क्रोमोप्रोटीन 2. पिगमेंटप्रोटीन
1. ವರ್ಣತಂತುಗಳು 2. ವರ್ಣತಂತುಗಳು,1. गुणसूत्र 2. गुणसूत्र
1. ದೀರ್ಘಕಾಲದ 2. ದೀರ್ಘಕಾಲದ 3. ದೀರ್ಘಕಾಲದ 4. ಬಳಕೆಯಲ್ಲಿಲ್ಲದ,1. क्रॉनिक 2. क्रॉनिक 3. क्रॉनिक 4. अप्रचलित
ಸಿಟ್ರೇಂಜ್,सायरेंज
ಶರತ್ಕಾಲದ ಹಬ್ಬ,गडी बाद होण्याचा क्रम
ವರ್ಗೀಕರಣ,वर्गीकरण
1. ಮಣ್ಣು 2. ಮಣ್ಣು,1. चिकणमाती 2. चिकणमाती
1. ಶುಚಿಗೊಳಿಸುವಿಕೆ 2. ಸ್ಕ್ರಬ್ಬಿಂಗ್ 3. ಸ್ವಚ್ಛಗೊಳಿಸುವಿಕೆ 4. ಶುದ್ಧೀಕರಣ,1. स्वच्छता 2. स्क्रबिंग 3. स्वच्छता 4. शुद्धीकरण
ನಿರಂತರ ಪರಾಗಸ್ಪರ್ಶ,सतत परागण
ಶಿಲುಬೆಯ ಹಣ್ಣು,क्रूसिफेरस फळ
ಹವಾಮಾನ,हवामान
ಹವಾಮಾನಶಾಸ್ತ್ರ,हवामानशास्त्र
ಬರಿಯ,कातरणे
ಉಂಡೆ (ಜೇಡಿಮಣ್ಣು),ढेकूळ (चिकणमाती)
ತದ್ರೂಪಿ,क्लोन
1.ಮೋಡಗಳು 2.ಮೋಡಗಳು,1.ढग 2.ढग
ಗೊಂಚಲು,गठ्ठा
ಗುಂಪನ್ನು,घड
1. ಒರಟು 2. ಒರಟು 3. ಕಚ್ಚಾ 4. ಒರಟು,1. खडबडीत 2. उग्र 3. कच्चा 4. खडबडीत
1. ಕವರ್ 2. ಲೆಥೆರೆಟ್,1. कव्हर 2. लेदररेट
ಕೋಯಾ,कोया
1. ಕೋಎಂಜೈಮ್ 2. ಸಹ-ಕಿಣ್ವ,1. कोएन्झाइम 2. को-एंझाइम
ಒಗ್ಗಟ್ಟು,एकसंधता
1. ಫೈಬರ್ (ಸೆಣಬು) 2. ತೆಂಗಿನಕಾಯಿ ಒರಟು,1. फायबर (ज्युट ज्यूट) 2. नारळ भरड
ಮುಳಂಕೂರು ಚೋಳ,मुलंकुर चोळ
,
ಕೊಲೊಯ್ಡ್ (ಮಣ್ಣು),कोलोइड (माती)
1.ಕಾಲಮ್ 2.ಕೊಲುಮೆಲ್ಲಾ,1.स्तंभ 2.columella
1. ಪೆನಾಲ್ಟಿ 2. ಕಾಲಮ್ 3. ಕಾಲಮ್,1. दंड 2. स्तंभ 3. स्तंभ
ಕಮ್ಯುನಿಯನ್,सहभागिता
ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್,व्यावसायिक बँक
1. ಸರಕು 2. ಸರಕು,1. वस्तू 2. व्यापारी माल
ಸಮುದಾಯ,समुदाय
ಸಂಕೋಚನ (ಮಣ್ಣಿನ),कॉम्पॅक्शन (मातीचे)
1. ಹೊಂದಾಣಿಕೆ 2. ಹೊಂದಾಣಿಕೆ,1. सुसंगतता 2. सुसंगतता
ಹೊಂದಾಣಿಕೆ,सुसंगतता
1. ಪರಿಹಾರ 2. ಪರಿಹಾರ,1. भरपाई 2. भरपाई
ಸ್ಪರ್ಧಾತ್ಮಕ ಪರಸ್ಪರ ಕ್ರಿಯೆ,स्पर्धात्मक संवाद
ಪೂರಕ ಬೆಳೆ,पूरक पीक
