ab initio,அடி முதலே
accountability,"கணக்குப்பொறுப்பு, கணக்குக்காட்டும் பொறுப்பு, பொறுப்புடைமை"
accountable,பதில் சொல்லும் பொறுப்புடைய
accountancy,கணக்கியல்
accountant,கணக்கர்
accredit,"செல்வாக்களி, நம்பிக்கை அளி, மதிப்பேற்று"
accrual,இயல்பாகச் சேர்தல்
accrued benefit,சேர்ந்தடைந்த பயன்
accrued pension,சேர்ந்தடைந்த ஓய்வூதியம்
accumulation,"குவிதல், சேர்தல்"
accuracy,"திட்ப நுட்பம், வழுவாமை, சரிநிலை"
accurate,"திட்ப நுட்பமான, வழுவாத, தவறாத, சரிநிலையான"
accuse,1. குற்றச்சாட்டு 2. குற்றம் சாட்டு
accused,குற்றம் சாட்டப்பட்டவர்
achievement,"சாதனை, முடிந்த செயல்"
acknowledgement,ஒப்புகை
acknowledgement due,ஒப்புகைச் சான்று
acquaintance,"அறிமுகம், அறிமுகமாயிருத்தல்"
acquisition,கையகப்படுத்துகை
acquittance,பற்றொப்பம்
act,1. செயல் 2. சட்டம் செய் 3. சட்டம்
act of God,கடவுள் செயல்
act of misconduct,தவறான நடத்தைச் செயல்
acting allowance,"முறைப்பணிப்படி, செயலாற்றுப்படி"
action,"செயல், நடவடிக்கை"
action plan,செயல் திட்டம்
active,"1. சுறுசுறுப்பான, செயல்திறமுடைய 2. தீவிர கவனித்தல், தீவிர கருதுபாட்டில்"
actively,முனைப்பாக
activist,செயல் திறனாளர்
acts of commission and omission,கவனக்குறைவான செயல்கள்
actual,"உள்ளபடியான, உண்மையான"
actuals,உள்ளவை
ad hoc,"தற்காலிக, குறிப்பிட்ட ஒன்றிற்கென"
ad hoc claim,தற்காலிக உரிமைக் கோரிக்கை
ad hoc committee,தற்காலிகக் குழு
ad hoc increase,தற்காலிக அதிகரிப்பு
ad hoc payment,1. தற்காலிகப் பணக்கொடுப்பு 2. குறிப்பிட்ட நோக்கத்திற்கான பணக்கொடுப்பு
ad valorem duty,"பெறுமானத் தீர்வை, மதிப்புத் தீர்வை"
adaptation,"தழுவல், பொருத்தமாக்கிக் கொள்ளுதல்"
addition,"கூட்டல், சேர்த்தல்"
addition and alteration,சேர்ப்புகளும் திருத்தங்களும்
additional charge,கூடுதல் பொறுப்பு
additional fund,கூடுதல் நிதி
additional grant,கூடுதல் மானியம்
additional information,கூடுதல் தகவல்
additional pay,கூடுதல் சம்பளம்
address,1. முகவரி 2. உரை 3. உரையாற்று
address of welcome,வரவேற்புரை
addressee,"முகவரியாளர், பெறுநர்"
adequate,"போதிய, ஏற்ற"
adhere to,"ஒட்டி ஒழுகு, ஒட்டுறவு"
adhesive,பசை ஒட்டிக்கொள்கிற
adhesive stamp,ஒட்டுவில்லை
adjacent,"அருகிலுள்ள, அண்மையிலுள்ள, பக்கத்திலுள்ள, அடுத்துள்ள"
adjoining (=contiguous),"அடுத்துள்ள, தொட்டடுத்த"
adjournment,"ஒத்திவைப்பு, ஒத்திப் போடுதல்"
adjournment motion,"ஒத்திவைப்புக் கோரிக்கை, ஒத்திவைப்புத் தீர்மானம்"
adjudge,"தீர்ப்புக்கூறு, முடிவு செய்"
adjudicate,"தீர்ப்புச் செய், தீர்ப்பு அளி"
adjudication,(வழக்குத்)தீர்ப்பு
adjudicator,தீர்ப்பாளர்
adjustment,"சரிப்படுத்தல், சரிக்கட்டல்"
administer,"ஆட்சி செய், நிர்வகி, செய்து வை"
administer oath,உறுதியேற்பு செய்வி
administration,"1. ஆட்சி, ஆளுகை 2. உடைமை"
administration of justice,"நீதி வழங்கல், நீதி செலுத்துதல்"
administrative,நிர்வாக
administrative action,"நிர்வாக நடவடிக்கை, அலுவலக நடவடிக்கை"
administrative appraisal,நிர்வாக முறையில் மதிப்பிடுதல்
administrative approval,நிர்வாக ஒப்புதல்
administrative authority,"நிர்வாக அதிகாரி, ஆட்சி ஆணைக்குழு"
administrative control,நிர்வாகக் கட்டுப்பாடு
administrative department,நிர்வாகத் துறை
administrative head,நிர்வாகத் தலைவர்
administrative headquarters,நிர்வாகத் தலைமையிடம்
administrative measures,"நிர்வாக நடவடிக்கைகள், செயல்படி நிலைகள்"
administrative power,"நிர்வாக அதிகராம், ஆட்சி அதிகாரம்"
administrative sanction,"நிர்வாக ஒப்புதல், ஆட்சிமுறை ஒப்பளிப்பு"
administrative technique,நிர்வாக நுட்பம்
administrative tribunal,நிர்வாகத் தீர்ப்பாயம்
admissibility,ஏற்கத்தக்க திறன்
admissible expenditure,ஏற்கத்தக்க செலவு
admit,"1. நுழையவிடு 2. ஏற்றுக்கொள், சேர்த்துக்கொள் 3. ஒப்புக்கொள், 4. அனுமதி"
admit card,சேர்க்கை அட்டை
admitted,"சேர்க்கப்பட்டது, அனுமதிக்கப்பட்டது"
admonish,"நயம்படக் கடிந்துரை, நன்மதி கூறு"
adoptee,தத்தெடுக்கப்பட்டவர்
adoption,"1. ஏற்பு, தெரிவு 2. தத்து எடுத்தல், தனதாக்குதல் 3. மேற்கொள்ளுதல்"
adoptor,தத்தெடுப்பவர்
adult,1. வயது வந்தவர் 2. முதியவர்
adult franchise,வயதுவந்தோர் வாக்குரிமை
adulteration,"கலப்பு, கலப்படம்"
adultery,"ஒழுக்கக்கேடு, கூடா ஒழுக்கம்"
advance,"முன்பணம், முன்னேறு"
advance booking,முன்பதிவு
advance copy,"முன் படி, முன் நகல்"
advance payment,"முன்பணம் செலுத்துகை, முன்பணம் வழங்குகை"
advanced increment,முன்கூட்டிய ஊதிய உயர்வு
adverse entry,எதிரான பதிவு
adverse remarks,குறைக் குறிப்புரைகள்
adverse report,"எதிரான கருத்து, எதிரான அறிக்கை"
advertisement,விளம்பரம்
advice,"அறிவுரை, நல்லுரை"
advice of payment,செலுத்துகை அறிவிப்பு
advisory committee,அறிவுரைக் குழுமம்
advisory council,"ஆலோசனை மன்றம், ஆலோசனைக் குழு"
advocate,வழக்குரைஞர்
affairs,"அலுவல்கள், காரியங்கள், விவகாரங்கள்"
affidavit,"ஆணை உறுதி ஆவணம், ஆணை உறுதி வாக்குமூலம்"
affiliation,"இணைத்தல், சேர்த்தல்"
affirmation,"மெய்யுறுதி, உறுதி கூறல்"
affirmative,நேர்முக உறுதியுரை
afford,1. வாய்ப்பளி 2. இயலும் நிலையோடிரு
aforesaid,"மேற்சொன்ன, முன்சொன்ன"
afresh,"புதிதாக, மறுபடியும்"
against,எதிராக
age,"வயது, அகவை"
age certificate,வயதுச் சான்றிதழ்
age for suffrage,வாக்குரிமைக்கான வயது
age limit,வயது வரம்பு
age of retirement,ஓய்வுறு வயது
age of superannuation,ஓய்வூதியம் பெறுவயது
agency,முகமை
agenda,பொருள் நிரல்
aggregation,சேருதல்
aggrieved,"இடருற்ற, தீங்குற்ற"
agitation,"கிளர்ச்சி, கலக்கம்"
AGM (annual general meeting),"ஆண்டுப் பொதுக் கூட்டம், ஆண்டுப் பேரவை"
agreement,"இணக்கம், உடன்படிக்கை"
agreement form,"உடன்படிக்கைப் படிவம், இணக்கப்படிவம்"
agriculture,"உழவு, வேளாண்மை"
agro-industry,வேளாண் தொழில்துறை
aid,உதவி
alarm,"அச்சம், இடர் எச்சரிக்கை, இடர் எச்சரிக்கை ஒலி"
alertness,விழிப்பான
alias,"மறுபெயர், மறுபெயராக"
all inclusive cost,எல்லா செலவும் அடங்கலாக
All India Services,அனைத்திந்தியப் பணித் தொகுதி
all rights reserved,அனைத்து உரிமைகளும் காப்புரிமையானவை
allegation,"சாட்டுரை, குறை கூறல்"
allegiance,"கடப்பாடு, பற்றுறுதி"
alliance,"திருமண உறவு, ஒப்பந்தம்"
allied services,இணைந்த சேவைகள்
allocation,ஒதுக்கீடு
allotment,"1. பங்கீடு, ஒதுக்கீடு 2. பிரித்துக் கொடுத்தல்"
allotment letter,ஒதுக்கீட்டுக் கடிதம்
allottee,ஒதுக்கீடு பெறுபவர்
allow an appeal,முறையீட்டை அனுமதி
allowable,அனுமதிக்கத்தக்க
allowable expenses,அனுமதிக்கத்தக்க செலவினங்கள்
allowance,படி
alphabetic order,அகரவரிசை முறை
altercation,வாய்ச்சண்டை
alternate,ஒன்றுவிட்டு ஒன்றான
alternative,"இரண்டில் ஒன்றான, மாற்று வழி"
amalgamation,ஒருங்கிணைப்பு
amended draft,"திருத்தப்பட்ட வரைவு, மாற்றப் பெற்ற வரைவு"
amendment,திருத்தம்
amenity,"நலம், வசதி"
amicable,நட்பிணக்கமான
ammunition,"படைத்தளவாடம், வெடிபொருள்கள்"
amortization of debt,"கடன் தீர நிதி சேர்த்தல், கடன் தீர்த்தல்"
amount,1. தொகை 2. அளவு
amount of pension,ஓய்வூதியத் தொகை
analogous post,"ஒப்புமையான இடம், ஒப்புமையான பதவி"
analysis,பகுப்பு
analytical study,பகுப்பாய்வு
ancestor,"முன்னோர், மூதாதை"
ancillary industry,துணைத்தொழில்
animosity,"பகைமை, கடும் வெறுப்பு"
annexure,"பிற்சேர்க்கை, இணைப்பு"
anniversary,"ஆண்டுவிழா, ஆண்டு நிறைவு"
announcement,"அறிவிப்பு, தெரிவிப்பு"
annoyance,"தொல்லை, எரிச்சல்"
annual financial statement,ஆண்டு நிதிநிலை அறிக்கை
annual report,ஆண்டறிக்கை
annuity,ஆண்டுத்தொகை
anonymous,எழுதியவர் பெயர் இல்லாத
anonymous complaint,பெயரில்லா முறையீடு
answer sheet,பதில் தாள்
answerability,"காரணம் கூறும் பொறுப்பு, பதில் கூறும் பொறுப்பு"
antagonist,"எதிரியாக்குபவர், எதிர்ப்பைத் தூண்டுபவர்"
antecedents,முந்தைய நிகழ்ச்சிகள்
anti-corruption measure,ஊழல் எதிர்ப்பு நடவடிக்கை
anti-dumping,கழிவு கொட்டுதலுக்கு எதிரான
anticipated expenditure,எதிர்பார்க்கப்படும் செலவு
anticipated income,எதிர்பார்க்கப்படும் வருமானம்
anticipation,எதிர்பார்த்தல்
anticipatory bail,"முன் ஜாமீன், முன் பிணையம்"
antique,"பழமைச் சின்னம், பண்டைப் பொருள்"
apartheid,"நிறவெறி, இனவெறி (கொள்கை)"
apathy,அக்கறையற்ற நிலை
apex body,"உச்சக்குழுமம், உயர்நிலைக் குழுமம், தலைமை அமைப்பு"
apology,மன்னிப்பு
appeal,1. மேல் முறையீடு 2. மேல் வழக்காடு 3. வேண்டுகோள் விடு
appearance,1. தோற்றம் 2. வருகை தரல்
appeasement,"திருப்திப்படுத்தல், சாந்தப்படுத்தல்"
appellate tribunal,மேல்முறையீட்டுத் தீர்ப்பாயம்
appendix,பின் இணைப்பு
appliance,துணைக்கருவி
applicable,பொருந்தக்கூடிய
applicant,விண்ணப்பதாரர்
application,1. விண்ணப்பம் 2. செயற்படுத்தல்
application form,விண்ணப்பப் படிவம்
applied,"செயல்முறை சார்ந்த, பயனுறு"
apply,1. இடு 2. கருத்தூன்று 3. விண்ணப்பி
appointee,"அமர்த்தப்பட்டவர், நியமிக்கப்பட்டவர்"
appointing authority,"நியமன அதிகாரி, அதிகார ஆயம்"
appointment,"நியமனம், பணியில் அமர்த்தல்"
appointment letter,நியமனக் கடிதம்
Appointments Committee of the Cabinet,அமைச்சரவை நியமனக் குழு
apportionment of wages,ஊதியப் பங்கீடு
appraisal,மதிப்பிடுதல்
appraiser,மதிப்பீட்டாளர்
appreciation,"பாராட்டுதல், மதித்தல்"
apprehension,"1. பிடுபடுதல் 2. கைது செய்யப்படுதல் 3. அச்சம், எண்ணம்"
apprentice,தொழில் பழகுநர்
approach,"1. அணுகு 2. அணுகுமுறை, காணுமுறை"
appropriate,"உரிய, பொருத்தமான"
appropriate action,உரிய நடவடிக்கை
appropriate head,"உரிய தலைப்பு, உரிய பிரிவு"
appropriation,"ஒதுக்கீடு, நிதி ஒதுக்கம்"
approval,"ஏற்பு, ஒப்புதல்"
approximate,ஏறத்தாழ
aptitude test,"உளச்சார்புத் தேர்வு, தகுதித் தேர்வு"
arbitrary,"விதிக் கட்டின்றி, தன்னிச்சையான"
arbitrate,தீர்ப்பளி
arbitration,1. நடுவர் தீர்ப்பு 2. மத்தியஸ்தம்
arbitration tribunal,"பொதுவர் தீர்ப்பாயம், இசைவுத் தீர்ப்பு மன்றம்"
arbitrator,நடுவர்
architecture,கட்டிடக் கலை
archives,1. ஆவணங்கள் 2. ஆவணக்காப்பகம்
area,"1. பரப்பு, பரப்பளவு 2. பகுதி"
area headquarter,பகுதிக்கான தலைமையகம்
argument,1. வாதம் 2. வழக்குரைத்தல்
arise,"எழுச்சியுறு, விழித்தெழு"
armed forces,ஆயுதப்படை
arrangement,ஏற்பாடு
arrear,நிலுவை
arrear statement,நிலுவை அறிக்கை
arrival report,வருகைத் தகவல் அறிவிப்பு
arrogance,"இறுமாப்பு, அகந்தை"
arsenal,"படைக் கொட்டில், ஆயுதக் கிடங்கு"
article,"1. பொருள், பண்டம், சரக்கு 2. கட்டுரை 3. பிரிவுக்கூறு"
articles,1. விதிமுறைகள் 2. பொருள்கள்
articles of association,சங்க அமைப்பு விதிகள்
as is where is,உள்ளது உள்ளபடியே
ascending order,ஏறுவரிசை
ascertain,"உறுதியாய் அறி, உறுதிப்படுத்து"
aspect,"1. அம்சம் 2. பார்வை, தன்மை"
aspersion,"பழி தூற்றுதல், அவதூறு"
assassination,படுகொலை
assault,வலிந்து தாக்குதல்
assemble,"1. ஒன்று கூடுதல், திரளுதல் 2. கூட்டு, திரட்டு, ஒன்று சேர் 3. பொருத்து"
assembly,"பேரவை, மன்றம்"
assent,"ஒப்புதல், இசைவு"
assert,"உறுதியாகக் கூறு, நிலைநாட்டு"
assessee,வரிவிதிப்புக்கு உரியவர்
assessment,"1. மதிப்பீடு, வரிவிதிப்பு மதிப்பீடு"
assessment year,வரிவிதிப்பு ஆண்டு
assessor,1. வரி விதிப்பவர் 2. மதிப்பிடுபவர்
assets,"சொத்து, உடைமை, நிலைமுதல்"
assignee,"ஒப்படை பெற்றவர், உரிமை மாற்றம் பெற்றவர், ஒதுக்கீடு பெற்றவர்"
assignment,1. ஒப்படைக்கப்பட்ட பணி 2. ஒப்படைத்தல்
assignor,"உரிமை மாற்றுநர், ஒப்படை செய்பவர்"
assistance,"உதவி, துணை"
associate,"இணை, இணையான, கூட்டாளி"
association,"கழகம், சங்கம்"
assumption of charge,பொறுப்பு ஏற்றல்
assurance,"உறுதி, நம்பிக்கை, காப்புறுதி"
assurance company,காப்பீட்டு நிறுவனம்
assure,உறுதி கூறு
at discount,தள்ளுபடியில்
at par,முகப்பு மதிப்பின்படி
at premium,தொகையத்தில் உயர்வு
atomic power,அணுசக்தி
attach,"இணை, சேர், ஒட்டு, பற்று"
attached office,"இணைக்கப்பட்ட அலுவலகம், அருகிலுள்ள அலுவலகம்"
attachment,"1. ஜப்தி, ஜப்தி செய்தல், பற்றுகை 2. இணைப்பு"
attachment order,"பற்றுகைக் கட்டளை, பற்றுகை ஆணை, ஜப்தி ஆணை"
attainment,"எய்துதல், மேன்மையுறுதல்"
attempt,முயற்சி
attendance,வருகை
attendance register,வருகைப் பதிவேடு
attendance slip,வருகைச் சீட்டு
attention,"கவனம், பார்வை"
attestation,சான்றொப்பம்
attested copy,"சான்றொப்பமிட்ட படி, சான்றொப்பமிட்ட நகல்"
attitude,"மனப்பான்மை, போக்கு"
attractive salary,கவர்ச்சிகரமான ஊதியம்
auction,ஏலம்
auction sale,ஏல விற்பனை
auctioneer,ஏலமிடுபவர்
audience,1. அவையோர் 2. பேட்டி தருதல்
audio-visual display,ஒலி-ஒளிக் காட்சி
audio-visual publicity,ஒலி-ஒளி மூலமான விளம்பரம்
audit,1. தணிக்கை 2. தணிக்கை செய்
audit objection,தணிக்கை மறுப்புரை
audit paragraph,தணிக்கையான பத்தி
audit report,தணிக்கை அறிக்கை
audited accounts,தணிக்கை செய்யப்பட்ட கணக்குகள்
audited balance sheet,தணிக்கை செய்யப்பட்ட ஐந்தொகைக் கணக்குகள்
auditing,தணிக்கை செய்தல்
auditor's report,தணிக்கையாளர் அறிக்கை
auditorium,"அவைக்கூடம், கலையரங்கம்"
austerity,"சிக்கன, எளிமையான"
austerity measures,சிக்கன நடவடிக்கைகள்
authentic,"நம்பத்தகுந்த, உற்ற வழியிலான"
authorised representative,"அதிகாரம் பெற்ற சார்பாளர், உரிமை பெற்ற சார்பாளர்"
authoritative,"அதிகாரம் பெற்ற, தகுதியுடைய"
authority,"1. அதிகாரம், அதிகாரி, ஆணைக்குழு 2. மேற்கோள் 3. அடிப்படை"
authority letter,"அதிகாரமளிக்கும் கடிதம், ஆணைமடல்"
authorized,"அதிகாரம் அளிக்கப்பட்ட, அதிகாரம் வழங்கப்பட்ட"
authorized capital,அதிகாரமளிக்கப்பட்ட முதலீடு
automatic,தானே இயங்குகிற
autonomous,தன்னாட்சி உரிமையுடைய
autonomous body,"தன்னாட்சி நிறுவனம், தன்னாட்சி அமைப்பு, தன்னாட்சி குழுமம்"
autonomy,தன்னாட்சி
auxiliary,"1. துணையான, உதவியான 2. உதவியாளர்"
available,கிடைக்கக்கூடிய
average,"சராசரி, நிரல்"
average leave,சராசரி விடுப்பு
aversion,"வெறுப்பு, பகைமை"
avert,"காத்துக்கொள், தவிர்த்துக்கொள்"
avoid,"தவிர், விலக்கு"
avoidance of tax,"வரி தவிர்ப்பு, வரி ஏயப்பு"
awaited,எதிர்பார்க்கப்படுகிறது
award,"1. தீர்ப்பு 2. பரிசு, விருது 3. வழங்கல்"
awarding authority,"வழங்கும் அதிகாரி, முடிவெடுக்கும் அதிகாரமுடைய அமைப்பு"
awareness,"விழிப்புநிலை, அறிநிலை"
back log,"தேக்கம், நிலுவை"
back out,பின்வாங்கல்
back reference,"பின்னுள்ள ஆதாரம், பார்வைக் குறிப்பு"
back up,"காப்பு ஏற்பாடு, காப்புச் செய்"
backdated,பின் தேதியிட்ட
background,"பின்னணி, முன் வரலாறு"
backward classes,"பிற்படுத்தப்பட்ட வகுப்பினர், பின்தங்கிய வகுப்பினர்"
backward tribe,பிற்படுத்தப்பட்ட பழங்குடியினர்
bad bargain,நட்டப் பேரம்
bad behaviour,"தீய நடத்தை, தீய ஒழுக்கம்"
bad character,"தீய பண்பு, தீய நடத்தை உள்ளவர்"
bad climate allowance,"குளிர்கால தட்பவெப்பப் படித்தொகை, மோசமான தட்பவெப்பப் படித்தொகை"
bad conduct,"மோசமான நடத்தை, மோசமான போக்கு"
bad debt,வாராக் கடன்
baggage,மூட்டை முடிச்சு
bail,"பிணையம், பிணை, ஜாமீன்"
balance,"1. மீதி நிலுவை, இருப்பு 2. நிறை கோல்"
balance brought down,கீழ் கொணரப்பட்ட இருப்பு
balance brought forward,முன்பக்கப்படி இருப்பு
balance sheet,"இருப்பு நிலைக்குறிப்பு, ஐந்தொகைக் குறிப்பு"
balanced budget,சமநிலை வரவு-செலவுத் திட்டம்
ballot,வாக்குச் சீட்டு
ballot box,வாக்குப் பெட்டி
ballot paper,வாக்குச் சீட்டு
ban,1. தடு 2. தடை
bank,1. வங்கி 2. கரை
bank account,வங்கிக் கணக்கு
bank balance,வங்கி இருப்பு
bank charges,வங்கிக் கட்டணம்
bank guarantee,"வங்கி உத்தரவாதம், வங்கிப் பிணை"
bank holiday,வங்கி விடுமுறை
bank rate,வங்கி விகிதம்
bank reconciliation,வங்கிக்கணக்கு சரிபார்ப்பு
bank security,"வங்கிப் பிணையம், வங்கிப் பாதுகாப்பு"
bank statement,வங்கி அறிக்கை
banking facility,வங்கி வசதி
banking hours,வங்கித் தொழில்நேரம்
banking transaction,வங்கிப் புழக்கம்
bankrupt,"நொடித்தவர், பொருளற்ற கடனாளி"
banquet,பெருவிருந்து
bar council,வழக்கறிஞர் மன்றம்
bargain,"1. பேரம் 2. விலை பேசு, பேரம் பேசு"
bargaining,பேரம் பேசுதல்
barren land,"தரிசு நிலம், வளமற்ற நிலம்"
barter,பண்டமாற்று
base,"அடி, அடிப்பகுதி, அடிப்படை"
base year,தொடக்க ஆண்டு
baseless,"ஆதாரமற்ற, அடிப்படையற்ற"
basement,"அடித்தளம், கீழ்த்தளம்"
basic,அடிப்படையான
basic intelligence,அடிப்படை அறிவுத்திறம்
basic pay,அடிப்படைச் சம்பளம்/ஊதியம்
basic scale of pay,அடிப்படை ஊதிய விகிதம்
basic training,அடிப்படைப் பயிற்சி
basically,அடிப்படையாக
basis,"அடிப்படை, அடிநிலை"
batch,"தொகுதி, பேட்ச்"
batch number,தொகுதி எண்
bearer cheque,ஆள் பெயரிட்ட காசோலை
before cited,முன்குறித்த
behaviour,"நடத்தை, ஒழுகலாறு, இயங்குமுறை"
belief,"நம்பிக்கை, கோட்பாடு"
below par,சராசரி மதிப்பிற்கும் கீழான
bench,"1. நீதிபதிகள் குழு, நடுவர் ஆயம் 2. நீள் இருக்கை"
benchmark,"அளவை மட்டக்குறி, இலக்குக் குறி"
beneficial,"நலம் பயக்கிற, பயனுள்ள"
beneficiary,பயனாளர்
benefit,"நன்மை, நற்பயன்"
benefit of doubt,"ஐயநிலைப் பலன், ஐயத்தால் உறுநலம்"
benevolence,"நலநாட்டம், நல்லுணர்வு"
benevolent fund,நல நிதி
bequeath,1. மரபுரிமையாக அளி 2. விருப்புறுதி வாயிலாக அளி
bequest,1. விருப்புறுதி 2. உயில்வழிக் கொடை
bereaved,இழப்புக்கு ஆளான
best endeavours,நன்முயற்சிகள்
betterment,"நலத் தேற்றம், சீர்திருத்தம், மேம்பாடு"
bias,ஒருதலைச் சார்பு
biased opinion,ஒருதலை சார்ந்த கருத்து
bibliography,"நூல்விவர அட்டவணை, நூற்றொகை"
bicameral,"இரட்டை அடுக்குமுறை, ஈரவை முறை"
biennial,ஈராண்டுக்கு ஒருமுறை
bifurcate,இரு கூறாக்கு
bigamy,இருதுணை மணம்
bilateral,இருதரப்புக்குரிய
bilingual,"இருமொழிக்குரிய, இருமொழி"
bill,"1. சட்டவரைவு, மசோதா 2. விலைப்பட்டி 3. விளம்பரச் சீட்டு"
bill of exchange,மாற்று முறி
bimonthly report,இரு மாதங்களுக்கான அறிக்கை
binding,1. கட்டுதல் 2. கட்டுப்படுத்தல்
biodata,(ஒருவரது) விவரக் குறிப்பு
bipartite,இருதரப்பு
bipartite agreement,"இருதரப்பு இணக்கம், இருதரப்பு உடன்பாடு"
birth anniversary,"பிறந்த நாள், பிறந்த ஆண்டுநிறைவு"
birth certificate,பிறப்புச் சான்றிதழ்
birth control,"பிறப்புக் கட்டுப்பாடு, குடும்பக் கட்டுப்பாடு"
birth date,பிறந்த தேதி
birth place,பிறப்பிடம்
birth rate,பிறப்பு விகிதம்
biweekly,இரு வாரத்திற்கு ஒருமுறை
black economy,கறுப்புப் பொருளாதாரம்
black list,தவறிழைத்தோர் பட்டியல்
black market,"கள்ளச் சந்தை, கறுப்புச் சந்தை"
blackmail,அச்சுறுத்திப் பணம் பறித்தல்
blame,"குறைகூறு, குற்றம் சாட்டு"
blank cheque,தொகை குறிப்பிடாக் காசோலை
blanket deal,1. அனைத்துக்கும் பொருந்தும் பேரம் 2. பூசி மெழுகுதல்
blanket order,"அனைத்துக்கும் பொருந்திய ஆணை, பொது ஆணை"
blast,1. வெடி 2. வெடித்துச் சிதறச் செய்
blending,கலத்தல்
block,"1. வட்டாரம் 2. கட்டிடத் தொகுதி 3. தடு 4. பாளம், அச்சுக்கட்டை"
block letter,"பெரிய எழுத்து, தெளிவான எழுத்து"
blockade,"மறிப்பு, தடை"
blocked capital,முடக்கிய முதலீடு
blood donation,"இரத்த தானம், குருதி தானம்"
blood relations,இரத்த உறவுகள்
blue collar job,"உயர்க்குடி வேலை, எழுத்து வேலை"
blueprint,"உருவரைபடம், நிழற்பட அச்சுமுறை"
bluff,பொய்கூறி ஏமாற்றுதல்
board,"1. வாரியம், மன்றம், குழுமம் 2. பலகை"
board of directors,இயக்குநர் குழுமம்
board of revenue,வருவாய் வாரியம்
boarding and lodging,"உணவு உறையுள் வசதி, உணவகமும் உறைவிடமும்"
body,1. குழுமம் 2. உடல்
bodyguard,மெய்க்காவலர்
bogus voucher,போலிச் சான்றுச்சீட்டு
bonafides,"உண்மையான, மெய்நோக்கம்"
bond,"1. பிணைமுறி 2. கடன் பத்திரம் 3. பிணைப்பு, தளை"
bonded labour,கொத்தடிமைக் கூலி
bonus,"மிகைச் சம்பளம், போனஸ்"
book of reference,தேவை நோக்கீட்டுப் புத்தகம்
book value,ஏட்டு மதிப்பு
book-keeper,கணக்கு வைப்பவர்
book-keeping,வணிகக் கணக்குமுறை
booking office,பதிவு அலுவலகம்
booklet,"சிறு நூல், பிரசுரம்"
booth,"சாவடி, சவுக்கை"
booth capturing,வாக்குச்சாவடியை கைப்பற்றல்
border allowance,எல்லையோரப் பணிப் படி
border line,எல்லைக் கோடு
