Malayalam,Kannada
"ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച","ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ"
പലപ്പോഴും ചാടുന്നു,ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು
കൈ*,ಕೈ*
പ്രതിഫലനം നഷ്ടപ്പെട്ടു,ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ
സ്പെക്ട്രം കാണുന്നില്ല,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
സമ്പൂർണ്ണ ത്വരണം,ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ
കേവല യാഥാർത്ഥ്യം,ಸಂಪೂರ್ಣ ವಾಸ್ತವ
സമ്പൂർണ്ണ വിലാസം,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ,ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್
ഭൂമിശാസ്ത്രപരമായ ഉയരം,ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ
കേവല ആമ്പിയർ,ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್
സമ്പൂർണ്ണ തിളനില,ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು
കേവല പ്രകാശം,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ
കേവല കപ്പാസിറ്റൻസ്,ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ
കേവല ഉയരം,ಸಂಪೂರ್ಣ ಎತ್ತರ
കേവല പിഗ്മെന്റ്,ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ
"സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ","ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ"
കേവല കൂലം,ಸಂಪೂರ್ಣ ಕೂಲಂಬ್
പൂർണ്ണമായ ഇരുട്ട്,ಸಂಪೂರ್ಣ ಕತ್ತಲೆ
സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്,ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ
കേവല സാന്ദ്രത*,ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*
സമ്പൂർണ്ണ ഡ്രെയിനേജ്,ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ
സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്),ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ)
സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്),ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ)
സമ്പൂർണ്ണ കാര്യക്ഷമത,ಸಂಪೂರ್ಣ ದಕ್ಷತೆ
കേവല ഇലക്ട്രോമീറ്റർ,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್
കേവല ആവൃത്തി കേവല ആവൃത്തി,ಸಂಪೂರ್ಣ ಆವರ್ತನ ಸಂಪೂರ್ಣ ಆವರ್ತನ
കേവല ഈർപ്പം,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
കേവല സംഭവങ്ങൾ,ಸಂಪೂರ್ಣ ಘಟನೆ
കേവല അപവർത്തന സൂചിക,ಸಂಪೂರ್ಣ ವಕ್ರೀಕಾರಕ ಸೂಚ್ಯಂಕ
സമ്പൂർണ്ണ അസ്ഥിരത,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
സമ്പൂർണ്ണ അസ്ഥിരത,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
"കേവല തീവ്രത, കേവല തീവ്രത","ಸಂಪೂರ್ಣ ತೀವ್ರತೆ, ಸಂಪೂರ್ಣ ತೀವ್ರತೆ"
അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി,ಅಸ್ತೇನಿಯಾದ ಸಂಪೂರ್ಣ ಮಿತಿ
കേവല പ്രകാശം സിൽ,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶದ ಸಿಲ್
കേവല പ്രകാശ വക്രം,ಸಂಪೂರ್ಣ ಬೆಳಕಿನ ಕರ್ವ್
കേവലമായ അളവ്,ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ
കേവല ബാരോമീറ്റർ,ಸಂಪೂರ್ಣ ಮಾಪಕ
പരമോന്നത പരമോന്നത,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
സമ്പൂർണ്ണ പരിധി,ಸಂಪೂರ್ಣ ವಿಪರೀತ
ഏറ്റവും താഴ്ന്നത്,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
കേവല ആക്കം,ಸಂಪೂರ್ಣ ಆವೇಗ
കേവല വേഗത,ಸಂಪೂರ್ಣ ವೇಗ
കേവല സംഗീതം,ಸಂಪೂರ್ಣ ಸಂಗೀತ
സമ്പൂർണ നിരീക്ഷണം,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
കേവല ഓം,ಸಂಪೂರ್ಣ ಓಂ
കേവല ഓറിയന്റേഷൻ,ಸಂಪೂರ್ಣ ದೃಷ್ಟಿಕೋನ
കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋನೆಜಿಟಿವಿಟಿ
കേവല ഗുരുത്വാകർഷണം,ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ
കേവല മർദ്ദം,ಸಂಪೂರ್ಣ ಒತ್ತಡ
സമ്പൂർണ്ണ സ്വത്ത്,ಸಂಪೂರ್ಣ ಆಸ್ತಿ
കേവല സ്കെയിലർ,ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್
താപനിലയുടെ കേവല സ്കെയിൽ*,ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*
"കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം","ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ"
സമ്പൂർണ്ണ സമ്മർദ്ദം,ಸಂಪೂರ್ಣ ಒತ್ತಡ
കേവല സമമിതി,ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ
കേവല ചലന ശരീരം,ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ
കേവല യൂണിറ്റ് സിസ്റ്റം,ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ
കേവല താപനില,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
കേവല സമയം,ಸಂಪೂರ್ಣ ಸಮಯ
കേവല യൂണിറ്റുകൾ,ಸಂಪೂರ್ಣ ಘಟಕಗಳು
യഥാർത്ഥ മൂല്യം,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ,ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
കേവല വേഗത,ಸಂಪೂರ್ಣ ವೇಗ
കേവല വിസ്കോസിറ്റി,ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ
കേവല ഭാരം,ಸಂಪೂರ್ಣ ತೂಕ
കേവല പൂജ്യം*,ಸಂಪೂರ್ಣ ಶೂನ್ಯ*
പൂജ്യത്തിന്റെ കേവല വിഭജനം,ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ
ആഗിരണം ചെയ്യുക,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
ആഗിരണ സൂചിക*,ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*
ആഗിരണം ചെയ്ത ഊർജ്ജം,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಶಕ್ತಿ
"ആഗിരണം, ആഗിരണം","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ*
ആഗിരണം ശേഷി,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
ആഗിരണം,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
അബ്സോർപ്റ്റിയോമീറ്റർ*,ಹೀರಿಕೊಳ್ಳುವ ಮಾಪಕ*
അബ്സോർപ്റ്റിയോമെട്രി*,ಅಬ್ಸಾರ್ಪ್ಟಿಯೋಮೆಟ್ರಿ*
ആഗിരണം,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ആഗിരണം - ബാൻഡ്*,ಹೀರಿಕೊಳ್ಳುವಿಕೆ - ಬ್ಯಾಂಡ್*
ആഗിരണം സർക്യൂട്ട്,ಹೀರಿಕೊಳ್ಳುವ ಸರ್ಕ್ಯೂಟ್
ആഗിരണം ഗുണകം,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
ആഗിരണം കോളം,ಹೀರಿಕೊಳ್ಳುವ ಕಾಲಮ್
ആഗിരണ സ്ഥിരത,ಹೀರುವಿಕೆ ಸ್ಥಿರ
ആഗിരണ തുടർച്ച,ಹೀರಿಕೊಳ್ಳುವ ನಿರಂತರತೆ
ആഗിരണം മേഖല,ಹೀರಿಕೊಳ್ಳುವ ವಲಯ
ആഗിരണം കറന്റ്,ಹೀರಿಕೊಳ್ಳುವ ಪ್ರಸ್ತುತ
ആഗിരണം വക്രം*,ಹೀರಿಕೊಳ್ಳುವ ವಕ್ರರೇಖೆ*
ആഗിരണം ഒടിവ്,ಹೀರಿಕೊಳ್ಳುವ ಮುರಿತ
ആഗിരണം കോർ,ಹೀರಿಕೊಳ್ಳುವ ಕೋರ್
ആഗിരണം ഘടകം,ಹೀರಿಕೊಳ್ಳುವ ಅಂಶ
ആഗിരണം ഫിൽട്ടർ,ಹೀರಿಕೊಳ್ಳುವ ಫಿಲ್ಟರ್
അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*,ಹೀರಿಕೊಳ್ಳುವ ಜ್ವಾಲೆಯ ಫೋಟೊಮೆಟ್ರಿ*
ആഗിരണം ഹൈഗ്രോമീറ്റർ,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
ആഗിരണ ഘാതം,ಹೀರಿಕೊಳ್ಳುವ ಘಾತ
ആഗിരണം നാമമാത്രമാണ്,ಹೀರಿಕೊಳ್ಳುವಿಕೆ ಕನಿಷ್ಠ
ആഗിരണം ലൈൻ,ಹೀರಿಕೊಳ್ಳುವ ರೇಖೆ
ആഗിരണം നഷ്ടം,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
ആഗിരണം മോഡുലേഷൻ,ಹೀರಿಕೊಳ್ಳುವ ಮಾಡ್ಯುಲೇಶನ್
പ്രകാശം ആഗിരണം,ಬೆಳಕಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം,ವಿಕಿರಣ ಶಕ್ತಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ആഗിരണം കൊടുമുടി,ಹೀರಿಕೊಳ್ಳುವ ಗರಿಷ್ಠ
ആഗിരണം ഫോട്ടോമെട്രി,ಹೀರಿಕೊಳ್ಳುವ ದ್ಯುತಿಮಾಪನ
ആഗിരണം അനുപാതം,ಹೀರಿಕೊಳ್ಳುವ ಅನುಪಾತ
ആഗിരണം പരിധി*,ಹೀರಿಕೊಳ್ಳುವ ಶ್ರೇಣಿ*
ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*,ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೋಟೋಮೆಟ್ರಿ*
ആഗിരണം സ്പെക്ട്രം*,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ*
"ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്","ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ, ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ"
ആഗിരണം ഹൈഗ്രോമീറ്റർ,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
ആഗിരണം ചെയ്യാവുന്ന*,ಹೀರಿಕೊಳ್ಳುವ*
ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം,ಹೀರಿಕೊಳ್ಳುವ ಬಾಷ್ಪೀಕರಣ
ആഗിരണം നിയമം*,ಹೀರಿಕೊಳ್ಳುವ ಕಾನೂನು*
ആഗിരണം മീഡിയം,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ
"ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*","ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ, ಹೀರಿಕೊಳ್ಳುವಿಕೆ*"
ആഗിരണം*,ಹೀರಿಕೊಳ್ಳುವಿಕೆ*
സ്റ്റുഡിയോ അലങ്കാരം,ಸ್ಟುಡಿಯೋ ಅಲಂಕಾರ
ഗുണിത അനുപാതം,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
അബോൾട്ട്,abvolt
കുറിച്ച്,ಸುಮಾರು
ത്വരിതപ്പെടുത്തുക,ವೇಗವನ್ನು
ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം,ವೇಗವರ್ಧನೆ-ನಿಲುಗಡೆ ಅಂತರ
തിടുക്കപ്പെട്ടു,ಆತುರಪಟ್ಟರು
ദ്രുത സമയ ഫല പരിശോധന,ತ್ವರಿತ ಸಮಯದ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
പെട്ടെന്നുള്ള ഒഴുക്ക്,ತ್ವರಿತ ಹರಿವು
പെട്ടെന്നുള്ള വേഗത,ತ್ವರಿತ ಗತಿ
പെട്ടെന്നുള്ള ശരീരം,ತ್ವರಿತ ದೇಹ
ആക്സിലറേറ്റർ തൂക്കം,ವೇಗವರ್ಧಕ ತೂಕ
ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*,ವೇಗವರ್ಧಕ ವಿದ್ಯುದ್ವಾರ*
ആക്സിലറേറ്റർ സമയം*,ವೇಗವರ್ಧಕ ಸಮಯ*
ആക്സിലറേറ്റർ ഘട്ടം,ವೇಗವರ್ಧಕ ಹಂತ
ആക്സിലറേറ്റർ നിരക്ക്,ವೇಗವರ್ಧಕ ದರ
ആക്സിലറേറ്റർ വോൾട്ടേജ്*,ವೇಗವರ್ಧಕ ವೋಲ್ಟೇಜ್*
ത്വരണം,ವೇಗವರ್ಧನೆ
ത്വരിതപ്പെടുത്തിയ ജ്വലനം,ವೇಗವರ್ಧಿತ ದಹನ
ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്,ವೇಗವರ್ಧಕ ಗುಣಾಂಕ
ത്വരണം ഘടകം,ವೇಗವರ್ಧಕ ಘಟಕ
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
ത്വരണം ഘടകം,ವೇಗವರ್ಧಕ ಅಂಶ
ത്വരിതപ്പെടുത്തിയ ചാർജ്,ವೇಗವರ್ಧಿತ ಚಾರ್ಜ್
ഗുരുത്വാകർഷണ ത്വരണം,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ത്വരണം സാധ്യത,ವೇಗವರ್ಧಕ ಸಾಮರ್ಥ್ಯ
ത്വരിതപ്പെടുത്തൽ നിയമം,ವೇಗವರ್ಧಕ ಕಾನೂನು
ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ,ವೇಗವರ್ಧಕ ಪ್ರಕ್ರಿಯೆ
ആക്സിലറേഷൻ സോൺ,ವೇಗವರ್ಧಕ ವಲಯ
ത്വരിതപ്പെടുത്തൽ രീതി,ವೇಗವರ್ಧಕ ವಿಧಾನ
"ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്","ವೇಗವರ್ಧಕ ಸಹಿಷ್ಣುತೆ, ವೇಗವರ್ಧನೆ ಸಹಿಷ್ಣುತೆ"
ആക്സിലറേഷൻ വെക്റ്റർ,ವೇಗವರ್ಧಕ ವೆಕ್ಟರ್
ത്വരണം-വോൾട്ടേജ്,ವೇಗವರ್ಧನೆ-ವೋಲ್ಟೇಜ್
ത്വരണം തരംഗം,ವೇಗವರ್ಧಕ ತರಂಗ
ആക്സിലറേറ്റർ,ವೇಗವರ್ಧಕ
"ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*","ವೇಗಗೊಳಿಸು, ವೇಗವರ್ಧಕ*"
ആക്സിലറേറ്റർ സമവാക്യം,ವೇಗವರ್ಧಕ ಸಮೀಕರಣ
ആക്സിലറേറ്റർ*,ವೇಗವರ್ಧಕ*
ആക്സിലറോമീറ്റർ,ವೇಗವರ್ಧಕ
ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ,ವೇಗವರ್ಧಕ ಹೊಂದಾಣಿಕೆ
പ്രിസ്ട്രെസർ,ಪ್ರಿಸ್ಟ್ರೆಸರ್
സാധുവായ പ്രതീകങ്ങൾ,ಮಾನ್ಯ ಅಕ್ಷರಗಳು
സ്വീകാര്യത കോൺ,ಸ್ವೀಕಾರ ಕೋನ
സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ,ಸ್ವೀಕಾರ ವಿವರಣೆ
സ്വീകാര്യമായ പരിശോധന,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
"സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ","ಸ್ವೀಕರಿಸುವವರು*, ಸ್ವೀಕರಿಸುವವರು"
റിസപ്റ്റർ ആറ്റം,ಗ್ರಾಹಕ ಪರಮಾಣು
റിസപ്റ്റർ ബോണ്ട്,ಗ್ರಾಹಕ ಬಂಧ
റിസീവർ സർക്യൂട്ട്,ರಿಸೀವರ್ ಸರ್ಕ್ಯೂಟ್
റിസപ്റ്റർ ലെവൽ,ಗ್ರಾಹಕ ಮಟ್ಟ
ദാതാവിന്റെ തന്മാത്ര,ದಾನಿ ಅಣು
റിസപ്റ്റർ പ്രോപ്പർട്ടി,ಗ್ರಾಹಕ ಆಸ್ತಿ
റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ,ಗ್ರಾಹಕ ಆಸ್ತಿ ಮಟ್ಟ
ആക്സിലറേറ്റർ ഹോസ്,ವೇಗವರ್ಧಕ ಮೆದುಗೊಳವೆ
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶ"
ഭുജിലേക്ക് പ്രവേശിക്കുക,ಭುಜ್ ಅನ್ನು ಪ್ರವೇಶಿಸಿ
ആക്സസ് സിസ്റ്റം,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
പ്രവേശന സമയം,ಪ್ರವೇಶ ಸಮಯ
പ്രവേശനക്ഷമത,ಪ್ರವೇಶಿಸುವಿಕೆ
"അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ","ಹೆಚ್ಚುವರಿ, ಸಹಾಯಕ, ಪರಿಕರಗಳು (v, ), ಬಿಡಿಭಾಗಗಳು"
അധിക നിയന്ത്രണങ്ങൾ,ಹೆಚ್ಚುವರಿ ನಿರ್ಬಂಧಗಳು
യാദൃശ്ചികം,ಕಾಕತಾಳೀಯ
ആകസ്മികമായ തിരുത്തൽ,ಆಕಸ್ಮಿಕ ತಿದ್ದುಪಡಿ
ആകസ്മികമായ ബയോജനസിസ്,ಆಕಸ್ಮಿಕ ಜೈವಿಕ ಉತ್ಪತ್ತಿ
ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ,ಆಕಸ್ಮಿಕ ತಿರುವು
സന്ദർശക പിശക്,ಸಂದರ್ಶಕರ ದೋಷ
"പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക","ಹಠಾತ್ ನಿಲುಗಡೆ, ಹಠಾತ್ ಕ್ಲ್ಯಾಂಪ್"
ആകസ്മികമായ കൈമാറ്റം,ಆಕಸ್ಮಿಕ ಪ್ರಸರಣ
ക്രമരഹിതമായ വ്യതിയാനം,ಯಾದೃಚ್ಛಿಕ ವ್ಯತ್ಯಾಸ
ക്രമീകരിക്കൽ,ಹೊಂದಾಣಿಕೆ
സ്ഥാനം പിടിച്ചു,ನೆಲೆಗೊಂಡಿದೆ
സഞ്ചിത പിശക്,ಸಂಚಿತ ದೋಷ
"ശേഖരണം, ശേഖരണം","ಶೇಖರಣೆ, ಶೇಖರಣೆ"
ഊർജ്ജ സംഭരണം,ಶಕ್ತಿ ಸಂಗ್ರಹಣೆ
ശേഖരണം*,ಸಂಚಯಕ*
കൃത്യത,ನಿಖರತೆ
റിയാലിറ്റി,ರಿಯಾಲಿಟಿ
യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം,ನಿಜವಾದ ಉಪಕರಣ ವೀಕ್ಷಣೆ
കൃത്യമായ റേഞ്ച് മാർക്കർ,ನಿಖರ ಶ್ರೇಣಿಯ ಮಾರ್ಕರ್
കൃത്യമായ സ്കാനിംഗ്,ನಿಖರವಾದ ಸ್ಕ್ಯಾನಿಂಗ್
പ്രാക്ടീസ്,ಅಭ್ಯಾಸ
ആക്സിലറേറ്റർ സെൽ*,ವೇಗವರ್ಧಕ ಕೋಶ*
അക്രോമാറ്റിക് ലെൻസ്*,ವರ್ಣರಹಿತ ಮಸೂರ*
അക്രോമാറ്റിക്*,ವರ್ಣರಹಿತ*
അക്രോമാറ്റിക് അനലൈസർ,ವರ್ಣರಹಿತ ವಿಶ್ಲೇಷಕ
ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന,ಆವರ್ತನ ತಟಸ್ಥ ಆಂಟೆನಾ
അക്രോമാറ്റിക് ആകൃതി,ವರ್ಣರಹಿತ ಆಕಾರ
അക്രോമാറ്റിക് തൊങ്ങൽ,ವರ್ಣರಹಿತ ಫ್ರಿಂಜ್
അക്രോമാറ്റിക് ലെൻസ്*,ವರ್ಣರಹಿತ ಮಸೂರ*
അക്രോമാറ്റിക് പോയിന്റ് പാത,ವರ್ಣರಹಿತ ಬಿಂದು ಮಾರ್ಗ
അക്രോമാറ്റിക് ലെൻസ്,ವರ್ಣರಹಿತ ಮಸೂರ
അക്രോമാറ്റിക് പ്രിസം,ವರ್ಣರಹಿತ ಪ್ರಿಸ್ಮ್
അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്,ವರ್ಣರಹಿತ ದೂರದರ್ಶಕ
അക്രോമാറ്റിറ്റി*,ವರ್ಣರಹಿತತೆ*
അക്രോമാറ്റിസേഷൻ*,ವರ್ಣಮಯಗೊಳಿಸುವಿಕೆ*
അക്രോമാറ്റിറ്റി*,ವರ್ಣರಹಿತತೆ*
