Assamese,English
কাই-বৰ্গ সূত্ৰ,chi-square formula
কাই-স্কেয়াৰ পৰীক্ষা,chi-square test
কৰ্ড,chord
কৰ্ড-বাইছেকচন পদ্ধতি,chord-bisection method
চাইফাৰ বাৰ্তা (=ক&#39;ড কৰা বাৰ্তা),cipher message (=coded message)
চাইফাৰ (শূন্য),cipher (zero)
বৃত্ত,circle
অভিসৰণৰ বৃত্ত,circle of convergence
বৰ্তনী মেট্ৰিক্স,circuit matrix
বৃত্তাকাৰ,circular
বৃত্তাকাৰ এছিম্পটট,circular asymptote
বৃত্তাকাৰ হেলিক্স,circular helix
বৃত্তাকাৰ গতি,circular motion
circumcentre,circumcentre
circumcircle কৰা হৈছে,circumcircle
circumscribe কৰক,circumscribe
পৰিসীমাবদ্ধ,circumscribed
circumscribed বৃত্ত,circumscribed circle
ধ্ৰুপদী ডিডক্টিভ কৌশল,classical deductive technique
ধ্ৰুপদী গতিশীলতা,classical dynamics
ধ্ৰুপদী অনুকূলন,classical optimization
ধ্ৰুপদী ধ্বংস সমস্যা,classical ruin problem
ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান,classical statistical mechanics
ভুলৰ শ্ৰেণীবিভাজন,classification of errors
শ্ৰেণীৰ ব্যৱধান,class interval
শ্ৰেণী-ব্যৱধান একক,class-interval unit
শ্ৰেণী সীমা,class limit
ঘড়ীৰ কাঁটাৰ দিশত,clockwise
clopen (= বন্ধ আৰু খোলা),clopen (= closed and open)
বন্ধ কৰা হৈছে,closed
বন্ধ উত্তল ঢাল,closed convex hull
বন্ধ ঘনক,closed cube
বন্ধ বক্ৰ,closed curve
বন্ধ ডমেইন,closed domain
বন্ধ চিত্ৰ,closed figure
বন্ধ ব্যৱধান,closed interval
বন্ধ অঞ্চল,closed region
বন্ধ চেট,closed set
বন্ধ পৃষ্ঠ,closed surface
বন্ধ কৰা,closure
বন্ধ অপাৰেটৰ,closure operator
বন্ধ বিন্দু (= সংস্পৰ্শ বিন্দু),closure point (= contact point)
বন্ধ কৰাৰ প্ৰস্তাৱনা,closure postulate
বন্ধ কৰা ছেট,closure set
ক্লাষ্টাৰ পইণ্ট,cluster point
ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা,cluster sampling
ক্লাষ্টাৰ ছেট,cluster set
সমাক্ষীয় বৃত্ত,coaxial circles
সমাক্ষীয় পেৰাবোলা,coaxial parabolas
সমাক্ষীয় সমতল,coaxial planes
সমাক্ষীয় ত্ৰিভুজ,coaxial triangles
কব - ডগলাস ফাংশন,Cobb - Douglas function
ক&#39;ডিং,coding
তথ্যৰ ক&#39;ডিং,coding of data
সহ-ডমেইন,co-domain
সহগ মেট্ৰিক্স,coefficient matrix
সম্পৰ্কৰ সহগ,coefficient of correlation
নিৰ্ণয়ৰ সহগ,coefficient of determination
স্থিতিস্থাপকতাৰ সহগ,coefficient of elasticity
প্ৰসাৰণৰ সহগ,coefficient of expansion
ঘৰ্ষণৰ সহগ,coefficient of friction
ৰৈখিক প্ৰসাৰণৰ সহগ,coefficient of linear expansion
ৰিগ্ৰেছনৰ সহগ,coefficient of regression
পৃষ্ঠীয় টানৰ সহগ,coefficient of surface tension
তাৰতম্যৰ সহগ,coefficient of variation
কোফেক্টৰ,cofactor
coin throw (মুদ্ৰা টছ),coin throw (coin toss)
নমুনা সংগ্ৰহ কৰা,collection of sample
collinear,collinear
collinearity,collinearity
স্তম্ভ,column
স্তম্ভ সমতুল্যতা,column equivalence
স্তম্ভ সমতুল্য,column equivalent
স্তম্ভ সমতুল্য মেট্ৰিক্স,column equivalent matrix
স্তম্ভ মেট্ৰিক্স,column matrix
স্তম্ভ ৰেংক,column rank
স্তম্ভ হ্ৰাস কৰা ইকলন মেট্ৰিক্স,column reduced echolon matrix
স্তম্ভ ভেক্টৰ,column vector
স্তম্ভ অনুসৰি,columnwise
সংযুক্ত সমীকৰণ,combined equation
সাধাৰণ কোণ,common angle
সাধাৰণ অক্ষ,common axis
সাধাৰণ ভিত্তি,common base
সাধাৰণ হৰ,common denominator
সাধাৰণ পাৰ্থক্য,common difference
সাধাৰণ কাৰক,common factor
সাধাৰণ লগাৰিদম,common logarithm
সাধাৰণ বহুগুণ,common multiple
সাধাৰণ অনুপাত,common ratio
সাধাৰণ অংশ,common section
সাধাৰণ দিশ,common side
সাধাৰণ স্পৰ্শক,common tangent
সাধাৰণ শব্দ,common term
কমিউটেটিভ ল&#39;,commutative law
পৰিৱৰ্তনশীল বৈশিষ্ট্য,commutative property
কমিউটেটিভ নিয়ম,commutative rule
যোগৰ পৰিৱৰ্তনশীল নিয়ম,commutative law of addition
গুণনৰ পৰিৱৰ্তনশীল নিয়ম,commutative law of multiplication
কমিউটেটিভ অপাৰেচন,commutative operation
কমিউটেটৰ গোট,commutator group
মেট্ৰিক্সৰ অহা-যোৱা কৰা,commuting of matrices
কম্পেক্ট চেট,compact set
তুলনামূলকতা,comparability
মাধ্যমৰ তুলনা,comparision of means
শতাংশৰ তুলনা,comparision of percentage
তুলনামূলক পৰীক্ষা,comparision test
সামঞ্জস্যতা সমীকৰণ,compatibility equation
প্ৰতিযোগিতামূলক খেল,competitive game
প্ৰতিযোগিতামূলক পৰিস্থিতি,competitive situation
প্ৰতিযোগিতামূলক কৌশল,competitive strategy
কম্পাইলাৰ,compiler
পৰিপূৰক,complementary
পৰিপূৰক কোণ,complementary angle
পৰিপূৰক ঘটনা,complementary event पूरक घटना
পৰিপূৰক কাৰক,complementary factor
পৰিপূৰক কাৰ্য্য,complementary function
পৰিপূৰক আধা স্থান,complementary half space
পৰিপূৰক ব্যৱধান,complementary interval
পৰিপূৰক গোট,complementary set
পৰিপূৰকতা,complementation
এটা গোটৰ পৰিপূৰক,complement of a set
সম্পূৰ্ণ লোকপিয়ল,complete census
সম্পূৰ্ণ সম্পৰ্কীয় মেট্ৰিক্স,complete correlation matrix
সম্পূৰ্ণ মেট্ৰিক স্থান,complete metric space
সম্পূৰ্ণ অৰ্থনৰ্মেল ছেট,complete orthonormal set
সম্পূৰ্ণ চতুৰ্ভুজ,complete quadrangle
সম্পূৰ্ণ ভাগফল,complete quotient
সম্পূৰ্ণ ছেট,complete set
সম্পূৰ্ণ সমাধান,complete solution
সম্পূৰ্ণৰূপে ৰেণ্ডম ডিজাইন,completely randomised design
জটিল যুক্তি,complex argument
জটিল সংযুক্ত,complex conjugate
জটিল পাৰ্থক্য,complex differentiation
জটিল ফলন,complex function
জটিল সংহতি,complex integration
জটিল মেট্ৰিক্স,complex matrices
জটিল সংখ্যা,complex number
জটিল সংখ্যাৰ ক্ষেত্ৰ,complex number field
জটিল অৰ্থগনেল মেট্ৰিক্স,complex orthogonal matrix
জটিল সমতল,complex plane
জটিল পৰিমাণ,complex quantity
জটিল পাৰস্পৰিক,complex reciprocal
জটিল ফলাফল,complex resultant
জটিল স্থান,complex space
জটিল মূল্যৱান ফলন,complex valued function
জটিল চলক,complex variable
কম্পোনেণ্ডো আৰু ডিভিণ্ডেণ্ডো,componendo and divindendo
উপাদান,component
উপাদান বিশ্লেষণ,component analysis
ভ্যাৰিয়েন্সৰ উপাদান,component of variance
ভেক্টৰৰ উপাদান,component of vector
কম্পোজিট ফাংচন,composite function
সংমিশ্ৰিত অনুমান,composite hypothesis
সংমিশ্ৰিত সংখ্যা,composite number
সংমিশ্ৰিত শৃংখলা,composite series
ভেক্টৰৰ গঠন,composition of vectors
যৌগিক কোণ,compound angle
যৌগিক বিভাজন,compound division
যৌগিক ভগ্নাংশ,compound fraction
চক্ৰান্ত সুত,compound interest
যৌগিক সম্ভাৱনা,compound probability
সংকোচনযোগ্য প্ৰবাহ,compressible flow
সংকোচন,compression
গণনা,computation
গণনামূলক সূত্ৰ,computational formula
গণনা কৰা মান,computed value
কম্পিউটাৰ,computer
কম্পিউটাৰ এলগৰিদম,computer algorithm
কম্পিউটাৰ প্ৰগ্ৰেম,computer programme
কম্পিউটাৰ প্ৰগ্ৰেমিং,computer programming
কম্পিউটাৰ চিমুলেচন,computer simulation
কম্পিউটিং,computing
অৱতল ফলন,concave function
অৱতল বহুভুজ,concave polygon
অৱতল প্ৰগ্ৰেমিং,concave programming
সমকেন্দ্ৰিক বৃত্ত,concentric circles
সমকেন্দ্ৰিক বক্ৰ,concentric curves
কংক্ৰিটৰ ৰূপ,concrete form
ৰেখাৰ সমকালীনতা,concurrency of lines
সমকালীন,concurrent
সমকালীন বল,concurrent forces
চৰ্তসাপেক্ষ ঘনত্ব ফলন,conditional density function
চৰ্তসাপেক্ষ বিতৰণ,conditional distribution
চৰ্তসাপেক্ষ প্ৰত্যাশা,conditional expectation
চৰ্তসাপেক্ষ গড়,conditional mean
চৰ্তসাপেক্ষ সম্ভাৱনা,conditional probability
ৰৈখিকতাৰ অৱস্থা,condition of collinearity
সামঞ্জস্যৰ অৱস্থা,condition of consistency
সংহতিযোগ্যতাৰ অৱস্থা,condition of integrability
স্পৰ্শকাতৰ অৱস্থা,condition of tangency
শঙ্কু,cone
আত্মবিশ্বাসৰ ব্যৱধান,confidence interval
আস্থাৰ ব্যৱধানৰ অনুমান,confidence interval estimate
আত্মবিশ্বাসৰ সীমা,confidence limits
আত্মবিশ্বাস অঞ্চল,confidence region
সংঘাতৰ পৰিস্থিতি,conflict situation
কনফ&#39;কেল কনিক্স,confocal conics
কনফ&#39;কেল উপবৃত্তাকাৰ,confocal ellipses
কনফ&#39;কেল জ্যামিতি,confocal geometry
কনফ&#39;কেল হাইপাৰব&#39;লা,confocal hyperbolae
কনফ&#39;কেল হাইপাৰব&#39;ল&#39;ইড,confocal hyperboloids
কনফ&#39;কেল পেৰাব&#39;লা,confocal parabola
কনফ&#39;কেল পেৰাব&#39;ল&#39;ইডাল কৰ্ডিনেট,confocal paraboloidal cordinates
কনফৰ্মেল,conformal
কনফৰ্মেল মেপিং,conformal mapping
সমন্বয়,congruence
বৃত্তৰ সমন্বয়,congruence of circles
সমন্বিত,congruent
সমন্বিত মেট্ৰিক্স,congruent matrices
কনিক,conic
শংকু আকৃতিৰ ফ্ৰষ্টাম,conical frustum
শংকু আকৃতিৰ হেলিক্স,conical helix
শংকু আকৃতিৰ অংশ,conical section
কনিক্স,conics
শংকুযুক্ত অংশ,conic section
সংযুক্ত,conjugate
সংযুক্ত কোণ,conjugate angles
সংযুক্ত অক্ষ,conjugate axis
সংযুক্ত জটিল সংখ্যা,conjugate complex numbers
সংযোজিত দিশ,conjugate directions
সংযুক্ত ফলন,conjugate functions
মেট্ৰিক্সৰ সংযুক্ত,conjugate of matrix
কনজুগেট পাৰ্মিউটেচন,conjugate permutation
