Assamese,Odiya
এক্সেছ স্কেন,ଆକ୍ସେସ୍ ସ୍କାନ୍ |
আনুষংগিক বস্তু,ଆନୁଷଙ୍ଗିକ
একাউণ্ট,ଖାତା
একাউণ্ট আইডি,ଖାତା ID
এক্যুলেটৰ,ଜମାକାରୀ
শুদ্ধতা,ସଠିକତା
acess,acess
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |
acess index,acess index
acess key,acess କି
acess মেট্ৰিক্স,acess matrix
প্ৰৱেশ ধৰণ,acess ମୋଡ୍ |
acess বিশেষাধিকাৰ,acess ଅଧିକାର
acess security,acess ସୁରକ୍ଷା |
এচেছ চাৰ্ভাৰ,acess ସର୍ଭର |
acess সময়,ଆକସେସ୍ ସମୟ |
স্বীকৃতি,ସ୍ୱୀକୃତି
শব্দবিজ্ঞান,ଆକାଶବାଣୀ
সংক্ষিপ্ত ৰূপ,ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ
কাৰ্য্য বাৰ্তা,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
সক্ৰিয়কৰণ,ସକ୍ରିୟ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP),ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP)
সক্ৰিয় সংস্কৰণ,ସକ୍ରିୟ ସଂସ୍କରଣ |
অচক্ৰীয়,acyclic
অচক্ৰীয় গ্ৰাফ,acyclic ଗ୍ରାଫ୍ |
আদা ভাষা,ଅଦା ଭାଷା |
এডাপ্টাৰ,ଆଡାପ୍ଟର
যোগ কৰা,ଯୋଡନ୍ତୁ |
ফাইল যোগ কৰক,ଫାଇଲ୍ ଯୋଡନ୍ତୁ |
অপাৰেচন যোগ কৰক,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
adder,ଆଡର୍
ঠিকনা,ଠିକଣା
ঠিকনা বাছ,ଠିକଣା ବସ୍
ঠিকনা নথিপত্ৰ,ଠିକଣା ଫାଇଲ୍ |
ঠিকনা বিন্যাস,ଠିକଣା ଫର୍ମାଟ୍
ঠিকনা উৎপাদক,ଠିକଣା ଜେନେରେଟର
ঠিকনা ৰেখা,ଠିକଣା ରେଖା
ঠিকনা মেপিং,ଠିକଣା ମ୍ୟାପିଂ
ঠিকনা পইণ্টাৰ,ଠିକଣା ସୂଚକ
ঠিকনা পঞ্জীয়ন,ଠିକଣା ରେଜିଷ୍ଟର
ঠিকনা সমাধান,ଠିକଣା ରେଜୋଲୁସନ
ঠিকনা অনুবাদ,ଠିକଣା ଅନୁବାଦ
ঠিকনাযুক্ত মেমৰি,ଠିକଣା ସ୍ମୃତି
সম্বোধন কৰা,ଠିକଣା
পৰ্যাপ্ততাৰ মাপকাঠী,ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ
সংযুক্ত,ଯୋଗ
প্ৰশাসন,ପ୍ରଶାସନ
প্ৰশাসক,ପ୍ରଶାସକ
এডোব এক্ৰ&#39;বেট,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
এডোব ফটোশ্বপ,ଆଡୋବ ଫଟୋଶପ୍ |
উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP),ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP)
উন্নত তথ্য,ଉନ୍ନତ ତଥ୍ୟ
উন্নত তথ্য ব্যৱস্থা,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
উন্নত প্ৰযুক্তি (AT),ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT)
এজেণ্ট,ଏଜେଣ୍ଟ
একত্ৰীকৰণ,ଏକୀକରଣ
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
aldus পৃষ্ঠা নিৰ্মাতা,aldus ପୃଷ୍ଠା ନିର୍ମାତା |
সতৰ্কবাণী বাকচ,ଆଲର୍ଟ ବାକ୍ସ
এলগোল,ଆଲଗୋଲ୍
এলগৰিদম,ଆଲଗୋରିଦମ |
এলগৰিদম বিশ্লেষণ,ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |
এলগৰিদম দক্ষতা,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
alias,ଛଦ୍ମନାମ
প্ৰান্তিককৰণ,ଶ୍ରେଣୀବଦ୍ଧତା |
আবণ্টন,ଆବଣ୍ଟନ
বৰ্ণানুক্ৰমিক,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
আলফানিউমেৰিক,ବର୍ଣ୍ଣମାଳା
আলফানিউমেৰিক কি বৰ্ড,ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |
আলফা-পৰীক্ষা,ଆଲଫା-ପରୀକ୍ଷା
আলফা-সংস্কৰণ,ଆଲଫା-ସଂସ୍କରଣ |
alt কি&#39;,alt କି
আলতাভিস্তা,altavista
অস্পষ্টতা,ଅସ୍ପଷ୍ଟତା |
অস্পষ্ট ব্যাকৰণ,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI),ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI)
তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII),ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII)
এনালগ,analog
এনালগ কম্পিউটাৰ,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
এনালগ ডিভাইচ,analog ଉପକରଣ
এনালগ মডেম,ଆନାଗଲ୍ ମୋଡେମ୍ |
এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC),ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC)
আৰু,ଏବଂ
AND বৰ্তনী,ଏବଂ ସର୍କିଟ |
AND গেট,ଏବଂ ଫାଟକ |
AND অপাৰেচন নহয় (বৰ্জন),ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର)
এনিমেচন,ଆନିମେସନ୍
টীকাকৰণ,ଟିପ୍ପଣୀ
বিজুতি,ଅନୋମାଲିୟା |
পূৰ্বসূৰী,ପ୍ରାଚୀନ
প্ৰত্যাশিত পেজিং,ଆଶାକର୍ମୀ ପେଜିଂ |
এন্টি-চিমেট্ৰিক,ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |
এন্টিভাইৰাছ প্ৰগ্ৰেম,ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |
applet,ଆପଲେଟ୍
এপ্লিকেচন ডেভেলপাৰ,ପ୍ରୟୋଗ ବିକାଶକାରୀ
এপ্লিকেচন প্ৰগ্ৰেমিং,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API),ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)
এপ্লিকেচন চফ্টৱেৰ,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
প্ৰয়োগমূলক ভাষা,ପ୍ରୟୋଗ ଭାଷା |
আনুমানিক তত্ত্ব,ଆନୁମାନିକ ତତ୍ତ୍। |
স্থাপত্য,ସ୍ଥାପତ୍ୟ
এলেকা হস্তান্তৰ,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |
তৰ্কাতৰ্কি,ଯୁକ୍ତି
গাণিতিক আৰু যুক্তিৰ একক,ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |
গাণিতিক পৰীক্ষা,ଗାଣିତିକ ଯାଞ୍ଚ |
গাণিতিক ধ্ৰুৱক,ଗାଣିତିକ ସ୍ଥିର |
গাণিতিক তথ্য,ଗାଣିତିକ ତଥ୍ୟ
গাণিতিক নিৰ্দেশনা,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
গাণিতিক আৰু যুক্তি একক (ALU),ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU)
ARPANET,ARPANET
এৰে,ଆରେ
এৰে কেচ,ଆରେ କ୍ୟାଚ୍
এৰে কম্পিউটাৰ,ଆରେ କମ୍ପ୍ୟୁଟର |
এৰে উপাদান,ଆରେ ଉପାଦାନ |
এৰেৰ নাম,ଆରେ ନାମ
এৰে প্ৰচেছৰ,ଆରେ ସଞ୍ଚାଳକ
কাঁড় চিহ্নসমূহ,ତୀର କିଗୁଡ଼ିକ
আৰ্টিকুলেচন,ଆର୍ଟିକିଲେସନ୍
আৰ্টিকুলেচন পইণ্ট,ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |
কৃত্ৰিম সংকোচন,କୃତ୍ରିମ ସଙ୍କୋଚନ |
কৃত্ৰিম নিয়ন্ত্ৰণ,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
কৃত্ৰিম বুদ্ধিমত্তা,କୃତ୍ରିମ ବୁଦ୍ଧି
আৰোহী,ଆରୋହଣ
আৰোহী সজাই পৰাই তোলা,ଆରୋହଣ କ୍ରମ
ASCII betical ক্ৰম,ASCII ବେଟିକାଲ୍ କ୍ରମ |
ASCII নিয়ন্ত্ৰণ আখৰ,ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |
ASCII নথিপত্ৰ,ASCII ଫାଇଲ୍ |
ASCII ফন্ট,ASCII ଫଣ୍ଟ |
ASCII স্থানান্তৰ,ASCII ସ୍ଥାନାନ୍ତର |
এস্পেক্ট ৰেচিঅ&#39;,ଆନୁମାନିକ ଅନୁପାତ
এ এছ পি আই,ASPI
ASR টাইমাৰ,ASR ଟାଇମର୍ |
একত্ৰিত কৰা,ଏକତ୍ର ହୁଅ
এছেম্বলাৰ,ଏକତ୍ରକାରୀ
সভা,ସଭା
সমাবেশ ভাষা,ସଭା ଭାଷା |
assertion,ଧାରଣା
আবণ্টন কৰা কাৰ্য,ଆସାଇନମେଣ୍ଟ
সংস্থা,ସଙ୍ଗଠନ
সহযোগী ঠিকনা,ସହଯୋଗୀ ଠିକଣା
সহযোগী স্মৃতিশক্তি,ସହଯୋଗୀ ସ୍ମୃତି
এস্টেৰিক,ନକ୍ଷତ୍ର
অসমতাপূৰ্ণ,ଅସୀମିତ |
এচিনক্ৰ&#39;নাছ,ଅସନ୍ତୁଳିତ |
ডিজিটেল গ্রাহক লাইন (ADSL),ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL)
asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |
এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM),ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍)
পৰমাণু,ପରମାଣୁ
সংলগ্ন নথিপত্ৰ,ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |
সংলগ্ন ফাইল,ସଂଲଗ୍ନ ଫାଇଲ୍ |
সংলগ্নক,ସଂଲଗ୍ନ
বৈশিষ্ট্য,ଗୁଣ
অডিঅ&#39;,ଅଡିଓ
অডিট প্ৰগ্ৰেমিং,ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |
অডিট ট্ৰেইল,ଅଡିଟ୍ ଟ୍ରେଲ୍ |
বৃদ্ধি কৰা,ବୃଦ୍ଧି
প্ৰমাণীকৰণ প্ৰটোকল,ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |
লেখক ব্যৱস্থা,ଲେଖକ ପ୍ରଣାଳୀ
অনুমোদন,ପ୍ରାଧିକରଣ
অটো বিমূৰ্ত,ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |
স্বয়ংক্ৰিয় বুট কৰা,ଅଟୋବୋଟିଂ
অটোকেড,ଅଟୋକ୍ୟାଡ୍ |
অটোলগ অন,ଅଟୋଲୋଜି ଅନ୍
automata,ଅଟୋମେଟା |
automata তত্ত্ব,ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |
স্বয়ংক্ৰিয় কম্পিউটিং,ସ୍ୱୟଂଚାଳିତ ଗଣନା
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
স্বয়ংক্ৰিয় ভুল সংশোধন,ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |
স্বয়ংক্ৰিয় কাৰ্য্য,ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ
স্বয়ংক্ৰিয় সূচীভুক্তকৰণ,ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |
স্বয়ংক্ৰিয় লাইব্ৰেৰী কল,ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |
স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং,ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |
স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম,ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |
স্বয়ংক্ৰিয় ৰুটিন,ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର
স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM),ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍)
অটোমেচন,ସ୍ୱୟଂଚାଳିତ
অটোপ্লে,ସ୍ଵତଃ ଚଳିତ
স্বয়ংক্ৰিয় সংৰক্ষণ কৰক,ଅଟୋସେଭ୍ |
সহায়ক,ସହାୟକକାରୀ
সহায়ক স্মৃতিশক্তি,ସହାୟକ ସ୍ମୃତି
সহায়ক সংৰক্ষণ,ସହାୟକ ଷ୍ଟୋରେଜ୍
উপলব্ধ তালিকা,ଉପଲବ୍ଧ ତାଲିକା |
উপলব্ধ সময়,ଉପଲବ୍ଧ ସମୟ |
গড়,ହାରାହାରି
awk (ভাষা),awk (ଭାଷା)
বেকএণ্ড,ବ୍ୟାକେଣ୍ଡ୍ |
বেকএণ্ড প্ৰচেছৰ,ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |
বেকফেচ আঁতৰোৱা,ବ୍ୟାକଫେସ୍ ଅପସାରଣ |
পটভূমি প্ৰক্ৰিয়াকৰণ,ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |
বেকিং ষ্ট&#39;ৰ,ବ୍ୟାକିଂ ଷ୍ଟୋର |
বেকপেচিং,ବ୍ୟାକପ୍ୟାଚ୍
বেকস্পেচ,ବ୍ୟାକସ୍ପେସ୍ |
পিছুৱাই যোৱা,ବ୍ୟାକଟ୍ରାକ୍
বেক-আপ,ବ୍ୟାକ୍ ଅପ୍ |
বেক-আপ মেমৰি,ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |
পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ,ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର
বেলেন্স শ্বীট,ତୂଳନା ପତ୍ର
বেণ্ড,ବ୍ୟାଣ୍ଡ
বেণ্ডৰ প্ৰস্থ,ବ୍ୟାଣ୍ଡ ଓସାର |
বেংকাৰৰ এলগৰিদম,ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |
বাৰ ক&#39;ড,ବାର୍ କୋଡ୍
বাৰ ক&#39;ড স্ক্যানাৰ,ବାର୍ କୋଡ୍ ସ୍କାନର୍ |
বাৰ গ্ৰাফ,ବାର୍ ଗ୍ରାଫ୍ |
ভিত্তি ঠিকনা,ମୂଳ ଠିକଣା
বেচ বেণ্ড,ବେସ୍ ବ୍ୟାଣ୍ଡ |
ভিত্তি সংখ্যা,ଆଧାର ସଂଖ୍ୟା
ভিত্তি টেবুল,ଆଧାର ଟେବୁଲ୍ |
প্ৰাথমিক,ବେସିକ୍ |
মূল নিয়ন্ত্ৰণ,ମ basic ଳିକ ନିୟନ୍ତ୍ରଣ |
মূল ইনপুট,ମ basic ଳିକ ଇନପୁଟ୍ |
মূল নিৰ্দেশনা,ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ
মূল আউটপুট,ମ basic ଳିକ ଆଉଟପୁଟ୍
মূল পদক্ষেপ,ମ basic ଳିକ ପଦକ୍ଷେପ |
বেটছ,ବ୍ୟାଚ୍
বেচ ফাইল,ବ୍ୟାଚ୍ ଫାଇଲ୍ |
বেচৰ অৱস্থান,ବ୍ୟାଚ୍ ସ୍ଥିତି |
বেচ প্ৰচেছিং,ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ |
বেচ ব্যৱস্থা,ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍ |
baud,baud
বড হাৰ,ବାଉଡ୍ ହାର
আলোকৰশ্মি,ବିମ୍
বেঞ্চমাৰ্ক,ମାନଦଣ୍ଡ
দ্বিমুখী যোগাযোগ,ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |
দ্বিমুখী সংযোগ,ଦ୍ୱି-ଦିଗୀୟ ଲିଙ୍କ୍ |
বাইনাৰী ক&#39;ড,ବାଇନାରୀ କୋଡ୍ |
বাইনাৰী অংক,ବାଇନାରୀ ଅଙ୍କ
বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS),ବାଇନାରୀ ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS)
বাইনাৰী সংখ্যা,ବାଇନାରୀ ସଂଖ୍ୟା
বাইনাৰী অপাৰেটৰ,ବାଇନାରୀ ଅପରେଟର୍ |
বাইনাৰী সম্পৰ্ক,ବାଇନାରୀ ସମ୍ପର୍କ |
বাইনাৰী সন্ধান,ବାଇନାରୀ ସନ୍ଧାନ |
বাইনাৰী সন্ধান গছ (BST),ବାଇନାରୀ ସନ୍ଧାନ ବୃକ୍ଷ (BST)
বাইনাৰী স্থানান্তৰ,ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |
বাইনাৰী গছ,ବାଇନାରୀ ଗଛ |
বাইপোলাৰ মেম’ৰী,ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି
জন্ম মৃত্যুৰ আৰ্হি,ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |
জন্ম মৃত্যু প্ৰক্ৰিয়া,ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |
বিট,ବିଟ୍
বিট দোষ,ବିଟ୍ ଦୋଷ |
বিট মেপ,ବିଟ୍ ମାନଚିତ୍ର
বিট মেপ পিক্সেল (BMP),ବିଟ୍ ମାନଚିତ୍ର ପିକ୍ସେଲ୍ (BMP)
বিট মেট্ৰিক্স,ବିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
বিট পেটাৰ্ণ,ବିଟ୍ ପ୍ୟାଟର୍ |
বিটৰ অৱস্থান,ବିଟ୍ ସ୍ଥିତି |
বিট হাৰ,ବିଟ୍ ହାର
ব্লেক বক্স পৰীক্ষা,କଳା ବାକ୍ସ ପରୀକ୍ଷା
টিপটিপিয়াই,ink ଲସି ଉଠୁଛି |
অৱৰুদ্ধ কৰা,ବ୍ଲକ
ব্লক কেচ,କ୍ୟାଚ୍ ଅବରୋଧ କରନ୍ତୁ |
ব্লক চেক কৰক,ଯାଞ୍ଚ ଯାଞ୍ଚ କରନ୍ତୁ |
ব্লক কপি,କପି କପି କରନ୍ତୁ |
ব্লক ডায়াগ্ৰাম,ବ୍ଲକ ଚିତ୍ର
নেটৱাৰ্ক ব্লক কৰা,ନେଟୱର୍କକୁ ଅବରୋଧ କରୁଛି
ব’ৰ্ড,ବୋର୍ଡ
বুক মাৰ্ক,ପୁସ୍ତକ ଚିହ୍ନ
বুলিয়ান বীজগণিত,ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |
বুলিয়ান সম্পৰ্ক,ବୁଲିଅନ୍ ସମ୍ପର୍କ |
বুট বিভাজন,ବୁଟ ବିଭାଜନ
বুট ষ্ট্ৰেপিং,ବୁଟ ଷ୍ଟ୍ରାପିଂ
বুট-ষ্ট্ৰেপ লোডাৰ,ବୁଟ-ଷ୍ଟ୍ରାପ ଲୋଡର
সেঁতু,ସେତୁ
ব্ৰডবেণ্ড নেটৱৰ্কিং,ବ୍ରଡବ୍ୟାଣ୍ଡ ନେଟୱର୍କିଙ୍ଗ |
সম্প্ৰচাৰ,ପ୍ରସାରଣ
সম্প্ৰচাৰ ৰেডিঅ&#39;,ରେଡିଓ ପ୍ରସାରଣ |
ব্ৰাউজ কৰক,ବ୍ରାଉଜ୍ କରନ୍ତୁ |
ব্ৰাউজাৰ,ବ୍ରାଉଜର୍
বি-বৃক্ষ,ବି-ଗଛ |
বুদবুদ স্মৃতিশক্তি,ବବୁଲ୍ ମେମୋରୀ |
বুদবুদ সজাই পৰাই তোলা,ବବୁଲ୍ ସର୍ଟ୍ |
বাল্টি,ବାଲଟି
বন্ধু ব্যৱস্থা,ସାଥୀ ସିଷ୍ଟମ୍
বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ,ବଜେଟ୍ ପ୍ରଭାବଶାଳୀ ନିୟନ୍ତ୍ରଣ |
বাফাৰ,ବଫର୍
পোক,ତ୍ରୁଟି
বাছ,ବସ୍
বাইট,ବାଇଟ୍ |
বাইট ক&#39;ড,ବାଇଟ୍ କୋଡ୍ |
গ,ଗ
C++,C ++
cache,କ୍ୟାଚ୍
কেশ্ব বাফাৰ,କ୍ୟାଚ୍ ବଫର୍ |
কেশ্ব মেমৰি,କ୍ୟାଶେ ମେମୋରୀ
গণনা কৰা,ଗଣନା
কেলকুলেটৰ,କାଲକୁଲେଟର
কেলকুলেটৰ চিপ,କାଲକୁଲେଟର ଚିପ୍
কল কৰা,କଲ୍ କରନ୍ତୁ |
নামেৰে ফোন কৰক,ନାମରେ କଲ୍ କରନ୍ତୁ |
ৰেফাৰেন্সৰ দ্বাৰা কল কৰক,ରେଫରେନ୍ସ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
মূল্যৰ দ্বাৰা কল কৰক,ମୂଲ୍ୟ ଅନୁଯାୟୀ କଲ୍ କରନ୍ତୁ |
চলকৰ দ্বাৰা কল কৰক,ଭେରିଏବଲ୍ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
গেট কল কৰক,କଲ୍ ଗେଟ୍ |
বাতিল কৰক,ବାତିଲ୍ କରନ୍ତୁ |
বাতিল বুটাম,ବାତିଲ୍ ବଟନ୍
canonical,କାନୋନିକାଲ୍ |
কেননিক ৰূপ,କାନୋନିକାଲ୍ ଫର୍ମ |
ক্ষমতা,ସାମର୍ଥ୍ୟ |
ক্ষমতা তালিকা,ସାମର୍ଥ୍ୟ ତାଲିକା |
ক্ষমতা,କ୍ଷମତା
caps লক চাবি,କ୍ୟାପ୍ ଲକ୍ କୀ |
কাৰ্ড,କାର୍ଡ
কাৰ্ড ৰিডাৰ,କାର୍ଡ ରିଡର୍ |
কাৰ্ডিনালিটি,ହୃଦୟ
বাহক,ବାହକ
বাহক বেণ্ড,ବାହକ ବ୍ୟାଣ୍ଡ |
বাহক বোজা,ବାହକ ଭାର
বাহক সংকেত,ବାହକ ସଙ୍କେତ
বাহক তৰংগ,ବାହକ ତରଙ୍ଗ |
কঢ়িওৱা,ବହନ କର
carry digit,ଅଙ୍କ ବହନ କର |
পতাকা কঢ়িয়াই নিয়া,ପତାକା ବହନ କର |
কাৰ্টিজ ডিস্ক,କାର୍ଟ୍ରିଜ୍ ଡିସ୍କ |
cascade,କ୍ୟାସକେଡ୍ |
ঘটনা,କେସ୍
কেথড ৰে টিউব (CRT),କ୍ୟାଥୋଡ୍ ରେଡ୍ ଟ୍ୟୁବ୍ (CRT)
কেথ&#39;ড ৰে টিউব (CRT),କ୍ୟାଥୋଡ୍ ରେଶ୍ ଟ୍ୟୁବ୍ (CRT)
CD ROM ডিষ্ক ড্ৰাইভ,CD ROM ଡିସ୍କ ଡ୍ରାଇଭ |
কোষ,କକ୍ଷ
কোষ এনিমেচন,ସେଲ୍ ଆନିମେସନ୍ |
চেলুলাৰ ফোন,ସେଲୁଲାର୍ ଫୋନ୍ |
কেন্দ্ৰীয় স্মৃতিশক্তি,କେନ୍ଦ୍ରୀୟ ସ୍ମୃତି
